a little	азчыкъ
respect	урьмет
respond	джевап бермек
response	сесленюв
responsibility	месулиет
responsible	месулиетли
rest	раатланмакъ
rest	къалгъан
rest	раатланув
rest in peace	яткъан еринъ дженнет олсун
restaurant	мейхане
restore	гъайрыдан къурмакъ
restrict	сынъырламакъ
result	акъибет
results	нетиджелер
resume	резюме
retail	кутьлевий сатыш
retain	сакълап къалдырмакъ
retention	тутып къалдырма
retired	нефакъаджы
retreat	кери чекильмек
retrieve	гъайрыдан тиклемек
return	къайтмакъ
reveal	мейданъа чыкъармакъ
revealed	ортагъа чыкъкъан
revenge	интикъам
revenue	келир
reverse	терс
review	козьден кечирмек
revise	козьден кечирмек
revision	козьден кечирюв
revolution	инкъиляп
reward	мукяфат
rhythm	везин
rib	къабургъа
rice	пирнич
rich	зенгин
rid	къуртулмакъ
ride	кезинмек
ridiculous	сачма
right	сагъ
right	акълы
right now	шу дакъкъасы
rigid	къатты
ring	юзюк
ring	алкъа
rinse	чайкъамакъ
riot	фесат
rip	йыртмакъ
ripe	пишкен
rise	осюв
risk	хавф
rival	ракъип
river	озен
road	ёл
roast	къызартмакъ
robust	сагълам
rock	эджель
rod	миль
role	роль
roll	айланмакъ
roof	дам
room	ода
root	тамыр
rope	аркъан
rotten	чюрюк
rough	къаба
roughly	къаба
round	тёгерек
route	сеяат ёлу
routine	рутина
row	сатыр
rub	окъаламакъ
rubber	сильгич
rubbish	эски-пуськю
rude	акъаретлейиджи
rug	килим
ruin	харапламакъ
rule	къаиде
ruler	джедвель
rules	къаиделер
run	чапмакъ
running	чапкъан
rural	койлю
rush	аджеле
rush	ашыкъмакъ
sack	чувал
sacred	мукъаддес
sacrifice	феда этмек
safe	хавфсыз
safe flight	огъурлы учушлар
safety	хавфсызлыкъ
sage	ада чайы
said	анъылгъан
said	деди
sail	елькен
sailing	денъизге чыкъмакъ
sake	хатыр
salary	айлыкъ
sale	сатыш
salmon	лосось балыгъы
salt	туз
same	айны
Same here	Айны мында
sample	мисаль
sand	къум
Sanskrit	Санскрит тили
sarcastic	мизахий
sassy	джурьатлы
sat	отурды
satisfaction	хошнутлыкъ
satisfied	хошнут
satisfy	къанаатлендирмек
satisfying	къанаатлендириджи
Saturday	Джумаэртеси
sausage	суджукъ
savage	кийик
save	къайд этмек
saw	корьдим
saw	пычкъы
say	айтмакъ
scale	ольчев
scam	ийлекярлыкъ
scar	яра изи
scarce	къыт
scared	къоркъкъан
scarf	шарф
scary	къоркъунчлы
scattered	дагъыныкъ
scene	сана
scenery	манзара
scent	къокъу
schedule	джедвель
school	мектеп
science	илим
scientist	бильги саиби
scientists	алимлер
scissors	макъас
scold	тазирлемек
scope	микъяс
score	баа
scrap	къырынты
scratch	тырнамакъ
scream	къычырма
screen	экран
screw	винт
script	сценарий
sea	денъиз
seal	муурь
search	къыдырмакъ
season	мевсим
seat	отургъыч
second	экинджи
secret	сыр
section	шубе
secure	телюкесиз
security	телюкесизлик
see	корьмек
see you	корюширмиз
see you later	кечче корюширмиз
see you soon	корюшкендже
see you tomorrow	ярын корюширмиз
seed	урлукъ
seek	къыдырмакъ
seem	корюнмек
seems	корюне
seen	корюнди
seize	тутмакъ
seizure	запт
seldom	сийрек
select	сечмек
self	озю
self healing	озь-озюни тедавийлев
selfish	нефисхор
sell	сатмакъ
send	йибермек
send me your picture	манъа ресиминъни ёлла
senior	уйкен
sense	мана
sensible	акъылгъа яткъан
sensitive	сезгир
sent	йиберильди
sentence	джумле
sentences	джумлелер
separate	айры
Sepedi	Сепеди тили
september	ильк кузь айы
sequence	ардысыралыкъ
series	сильсиле
serious	джиддий
seriously	джиддий оларакъ
serve	хызмет этмек
service	хызмет
session	отурыш
set	аярламакъ
set	такъым
set up	тиклемек
setting	сазлама
settle	ерлешмек
seven	еди
seventeen	он еди
seventy	етмиш
several	бир къач
severe	шиддетли
sew	тикмек
sh	ш
shade	талда
shadow	кольге
shake	салламакъ
shall	оладжакътыр
shallow	сай
shame	айып
shape	сыфат
share	пай
share	пайлашмакъ
sharp	отькюр
she	о
she has	онынъ бар
she is	о
shed	аран
sheep	къой
sheet	чаршаф
shelf	раф
shell	къабурчакъ
shelter	сыгъынакъ
shield	къалкъан
shift	йылышув
shine	парылдамакъ
ship	геми
shipping	теслим
shirt	кольмек
shoes	аякъкъап
shoot	атеш ачмакъ
shop	тюкян
shopping	алыш-вериш
shore	саиль
short	къыскъа
shortage	къытлыкъ
shot	атыш
should	япмалы
shoulder	омуз
shout	къычырмакъ
show	косьтермек
show	темаша
show me	косьтер манъа
shower	душ
shrimp	креветка
shrink	букшеймек
shut	къапатмакъ
shut up	сус
shy	утанчакъ
sibling	къардаш
siblings	догъмуш къардашлар
sick	хаста
side	тараф
sigh	оксюнмек
sight	козетмек
sightseeing	кезип корьме
sign	ишарет
signature	имза
significant	эмиетли
silence	сессизлик
silent	сакин
silk	ипек
silly	ахмакъ
silver	кумюш
similar	ошагъан
simp	матюв
simple	саде
simultaneously	бир вакъытта
since	берли
sincere	самимий
sincerely	хулюскяране
sing	йырламакъ
singer	йырджы
single	муджеррет
sink	чиркеф ери
Sir	Бей
sister	тата
sister in law	корюмдже
sit	отурмакъ
site	мейдан
situation	ал
six	алты
sixteen	он алты
sixty	алтмыш
size	буюклик
skill	мелеке
skills	мерафет
skin	тери
skinny	арыкъ
skip	къалдырып кечмек
skirt	этек
sky	сема
slave	къул
sleep	юкъламакъ
sleeping	юкълагъан
sleepy	юкъулы
sleeve	енъ
slice	тилим
slide	таймакъ
slightly	енгильден
slim	зариф
slip	йылышмакъ
slope	джап
slot	юва
slow	яваш
slowly	яваш
small	кичик
smart	башы чалышкъан
smell	сасыкъ
smile	тебессюм
smoke	тютюн чекмек
smooth	тегиз
snack	къапынма
snail	чыкъчыкъ балабан
snake	йылан
snap	чертмек
snow	къар
so	иште
so cute	пек хош
so far	шимдилик
soak	синъмек
soap	сабун
sober	айыныкъ
soccer	футбол
social	ичтимаий
society	джемаат
socks	чорап
soft	йымшакъ
software	язылым
soil	топракъ
sold	сатылгъан
sold out	эр шей сатылып битти
soldier	аскер
sole	табан
solid	къатты
solution	иринти
solve	иритмек
some	базы
somebody	бириси
somehow	насылдыр
someone	кимдир
something	бир шей
sometimes	кимерде
song	йыр
soon	якъын арада
sophisticated	муреккеп
Sorani	Сорани тили
sore	сызлагъан
sore throat	богъаз агърысы
sorrow	къаарь
Sorry	Багъышла
sort	чешит
sought	къыдырылгъан
soul	гонъюль
soulmate	джан аркъадашы
sound	сес
soup	шорба
sour	экши
source	менба
south	дженюп
space	кяинат
spam	спам
span	кемер
Spanish	Испанджа
spare	едек
speak	лаф этмек
special	махсус
species	тюрлер
specific	хусусий
spectacular	тесирли
speech	нутукъ
speechless	сессиз-солукъсыз
speed	сурьат
spell	ариф-ариф анълатмакъ
spend	масраф этмек
spent	сарф этильген
spicy	аджджы
spike	мамуз
spin	айланма
spinach	испанакъ
spirit	рух
spit	тюкюрмек
splendid	корьгемли
split	ярмакъ
spoil	бозмакъ
spoiled	бозукъ
spontaneous	бирден
spoon	къашыкъ
spot	леке
spouse	омюр аркъадашы
spread	таркъатмакъ
spread	таркъалув
spring	баарь
square	дёрткоше
squeeze	сувыны сыкъмакъ
squid	мерекеп балыгъы
squirrel	сансар
st	сокъ
stab	пычакъламакъ
stable	денъишмез
stack	кебен
staff	хадимлер
stage	сана
stain	леке
stairs	мердивенлер
stake	къазыкъ
stalk	сап
stall	ахыр
stamp	тамгъа
stand	турмакъ
standard	стандарт
star	йылдыз
start	башлама
started	башлангъан
starving	ач олгъан
state	девлет
statement	ресмий бильдирме
station	станция
statue	эйкель
status	вазиет
stay	къалмакъ
stay safe	озюнъе мукъайт ол
steady	сабит
steak	кебап
steal	хырсызламакъ
steam	був
steel	челик
steep	тик
stem	негиз
step	адым
stick	тыкъмакъ
stick	чубукъ
stiff	къатты
still	аля даа
sting	чакъмакъ
stingy	саран
stir	къарыштырмакъ
stock	ихтият
stolen	чалынгъан
stomach	ашкъазан
stone	таш
stood	турды
stool	курсю
stop	токътамакъ
storage	магъаза
store	тюкян
storm	фуртуна
story	ривает
stove	соба
straight	тюз
straightforward	саде
strain	кергинлик
strange	ят
stranger	ябанджы
strategy	стратегия
straw	тобан
strawberry	джилек
streak	ёлакъ
stream	яйынламакъ
stream	акъыш
street	сокъакъ
strength	къувет
stress	стресс
stretch	созмакъ
strict	талапкяр
strike	иш ташлав
string	сатыр
strip	ёлакъ
strive	тырышмакъ
stroke	сыйпамакъ
strong	кучьлю
struck	чарпты
structure	теркип
struggle	куреш
struggling	курешкен
stubborn	инат
stuck	сыкъылгъан
student	талебе
study	араштырув
studying	огренген
stuff	абур-чубур
stunning	шашыртыджы
stupid	аванакъ
style	тарз
subject	мевзу
submission	бойсунма
submit	такъдим этмек
substance	мадде
substitute	тебдиль
subtle	индже
succeed	мувафакъиет къазанмакъ
success	мувафакъиет
successful	мувафакъиетли
such	бойле
such as	киби
suck	эммек
sudden	апансыз
suddenly	апансыздан
suffer	азап чекмек
suffering	къыйналгъан
sufficient	етерли
sugar	шекер
suggest	теклиф этмек
suggestion	теклиф
suit	ярашмакъ
suitable	келишкен
suitcase	джемидан
sum	джеми
summary	къыскъа мундеридже
summer	яз
summit	юксек севиеде корюшюв
sun	кунеш
sunday	базар куню
sunny	кунешли
sunset	кунь батув
sunshine	кунеш нуру
super	супер
superior	усьтюн олгъан
supervisor	идареджи
supper	акъшам ашы
supply	тедарик этмек
support	къол тутмакъ
suppose	зан этмек
supposed	сёзде
sure	таби
surface	усть
surge	толкъун
surgery	джеррахий амелият
surname	сойады
surprise	сюрприз
surprised	шашкъын
surrender	теслим олмакъ
surrounding	чевре-четтеки
surveillance	козетме
survey	сорав
survive	сагъ къалмакъ
suspect	шекленмек
suspended	асылгъан
suspicious	шубели
sustain	дестеклемек
sustainability	истикърарлы
sustainable	дургъун
swag	пырт
swag	салланмакъ
swallow	ютмакъ
swap	алмашув
swear	ант этмек
sweat	тер
sweater	свитер
sweep	сипирмек
sweet	татлы
sweet dreams	татлы тюшлер
sweet tooth	татлы севген
sweetheart	яр
swell	къабармакъ
swelling	шишик
swim	ялдамакъ
swimming	ялдав
swing	салламакъ
swing	салынджакъ
switch	авуштырыджы
swollen	шишкен
sword	къылыч
symbol	тимсаль
sympathy	шефкъат
symptoms	делялетлер
system	тертибат
table	маса
table	джедвель
tackle	огърашмакъ
tag	тамгъа
tail	къуйрукъ
take	алмакъ
take away	алып кетмек
take care	къайгъырмакъ
take off	чыкъармакъ
taken	алынгъан
talk	къонушмакъ
talkative	лафазан
tall	узун бойлу
tap	къурна
tape	шерит
target	бельги
task	вазифе
taste	дат
tasty	леззетли
taught	огретти
tea	чай
teach	огретмек
teacher	оджа
team	такъым
tear	козьяш
tears	козьяшлар
tease	эриштирмек
technology	технология
teeth	тишлер
tell	айтып бермек
tell me	айт манъа
temper	къуй
temperature	сыджакълыкъ
temple	ибадетхане
temporary	вакътынджа
ten	он
ten thousand	он бинъ
tenant	кираджи
tend	мейиль олмакъ
tendency	мейиль
tender	ярыш
tense	кергин
tension	басым
tent	чадыр
tentative	сынама
term	муддет
terms	шартлар
terrible	къоркъунчлы
terrific	къоджаман
territory	ер
test	тест
text	метин
than	даа
thank	тешеккюр бильдирмек
thank you	сагъ ол
Thank you for your patience while we investigate shipment	Биз ёлланманы къыдыргъан арада сабыр эткенинъиз ичюн сагъ олунъыз
thank you so much	чокъ сагъ олунъыз
thank you very much	чокъ сагъ олунъыз
thanks	тешеккюрлер
Thanks for using our app	Илявемизни къуллангъанынъыз ичюн сагъ олунъыз
that	шу
that is	яни
that's good	бу
that's good	яхшыдыр
theft	хырсызлыкъ
their	оларнынъ
them	оларны
theme	фен
themselves	озьлерини
then	бундан сонъ
theory	назарие
there	анда
there are	бар
there is	бар
therefore	бунынъ ичюн
these	булар
they	олар
they are	олар
thick	къалын
thief	хырсыз
thigh	баджакъ
thin	арыкъ
thin	индже
thing	шей
things	шейлер
think	тюшюнмек
third	учюнджи
thirsty	сувсагъан
thirteen	он учь
thirty	отуз
this	бу
this is	бу
thorough	чалыкъ
thoroughly	тамамен
those	шу
though	лякин
thought	тюшюндим
thoughtful	тюшюнджели
thoughts	тюшюнджелер
thousand	бинъ
thread	йип
threat	хавф
threaten	къоркъутмакъ
three	учь
threshold	босагъа
thrilled	эеджанлы
thrive	онъмакъ
throat	тамакъ
through	вастасынен
throughout	боюнджа
throw	атмакъ
thumb	баш пармакъ
thunder	кок гудюрдиси
Thursday	Джумаакъшамы
thus	бойлеликнен
tick	ишарет
tide	артылув
tidy	мисмиль
tie	боюнбагъ
tiger	къаплан
tight	тыгъыз
Tigrinya	Тигринья тили
time	вакъыт
timid	тартынчакъ
tiny	бир къарыш
tip	бахшыш
tips	бахшышлар
tire	шын
tired	болдургъан
tissue	токъума
title	башлыкъ
to be	олмакъ
toast	къызартылгъан отьмек
today	бугунь
toddler	ильк адымларыны япкъан бала
toes	аякъ пармакълары
together	берабер
toilet	кенеф
told	айтты
tolerance	сабыр
tolerate	даянмакъ
tomato	помидор
tomorrow	ярын
tongue	тиль
tonight	бу гедже
too	къарардан зияде
too	де
took	алды
tool	алет
tools	алетлер
tooth	тиш
top	устю
topic	мевзу
torn	йыртыкъ
torture	азап
total	топлам оларакъ
touch	тиймек
tough	серт
tour	тур
toward	догъру
towards	таба
towel	ягъбез
town	къасаба
toxic	зеэрли
trace	из
track	тар сокъакъ
trade	тиджарет
tradition	аньане
traditional	аньаневий
traffic	ёл арекети
trail	из
train	трен
training	огретюв
trait	табиат чизгиси
traits	хусусиетлер
transfer	ерини денъиштирмек
transition	кечме
translate	терджиме этмек
transparent	шеффаф
transport	накълият вастасы
transportation	накълият
trap	къапкъан
trash	чёплюк
trauma	травма
travel	сеяат
tray	тепси
treasure	хазине
treat	тедавийлемек
treatment	тедавийлев
tree	терек
tremendous	пек буюк
trend	темаюль
trial	сынама
trick	ийлекярлыкъ
tried	тырышты
trigger	тетик
trim	къыркъмакъ
trip	ёлджулыкъ
trouble	къыйынлыкъ
trousers	штан
truck	юк машнасы
TRUE	догъру олгъан
trunk	кевде
trust	ишанч
truth	акъикъат
try	тырышмакъ
Tsonga	Тсонга тили
tube	бору
Tuesday	Салы
tuition	талим
turkey	корель
turmeric	зердечал
turn	бурмакъ
turtle	къаплы бакъа
tutor	оджа
twelve	он эки
twenty	йигирми
twenty-one	йигирми бир
Twi	Тви тили
twice	эки кере
twist	буклемек
two	эки
type	тюр
typical	типик
ugly	чиркин
ultimate	къатий
umbrella	шемсие
unable	япып оламай
uncle	эмдже
unconscious	байылгъан
under	тюбюнде
underneath	тюбюнде
underrated	ляйыкъ къыймет кесильмеген
understand	анъламакъ
understood	анълады
unfortunately	языкълар олсун ки
uniform	униформа
unique	бенъзерсиз
unit	ольчю бирлеми
university	университет
unknown	меджуль
unless	бу вакъыткъадже
until	къадар
unusual	тааджип
up	юкъары
up to you	санъа багълы
update	янъартмакъ
upgrade	юксельтме
upon	устюнде
upset	къасеветли
urban	шеэр
urge	тюртмек
urgent	аджеле
us	бизни
use	къулланмакъ
used	къулланылгъан
useful	файдалы
useless	нафиле
usual	басит
usually	адетиндже
utility	файда
vacation	татиль
vaccination	ашылама
vaccine	ашы
vacuum	вакуум
vague	бельгисиз
valid	акъикъий олгъан
valley	вадий
valuable	къыйметли
value	къадирине етмек
variety	чешитлик
various	тюрлю
vary	фаркълылыкъ косьтермек
vase	чичек савуты
vast	къулан
vegetable	себзе
vegetables	себзелер
vehicle	накълият вастасы
vendor	сатыджы
venom	зеэр
venture	маджера
venue	мекян
verify	тешкермек
versatile	чокъ тарафлама
version	версия
vertical	тик
very	пек
very good	пек яхшы
vessel	геми
via	вастасынен
vibe	муит
vibes	ихтизаз
vicious	амансыз
victim	къурбан
video	видео
view	бакъыш
village	кой
villain	ярамай адам
vinegar	сирке
vintage	юзюм джыювы
violence	зорбалыкъ
violent	джебрий
viral	вирус
virgin	бакъире
virtual	виртуаль
virtue	фазилет
vision	бакъыш
visit	зиярет
visual	тышкъы
vital	аятий эмиети олгъан
vivid	парлакъ
vocabulary	тиль байлыгъы
voice	сес
void	кечерсиз
volume	колем
volunteer	гонъюлли
vomit	къусмакъ
vulnerable	имаесиз
wage	мааш
wages	уджрет
waist	бель
wait	токъта
waiter	аякъчы
waiting	беклев
wake	уянмакъ
wake up	уянмакъ
walk	юрьмек
walking	юрюш
wall	дивар
wallet	джюздан
wander	доланмакъ
wanna	истемек
want	истемек
wanted	истеген
war	дженк
wardrobe	урба долабы
warehouse	анбар
warm	исси
warn	ихтар этмек
warning	тенби
warrior	дженкчи
was	эди
wash	ювмакъ
waste	бошуна сарф этмек
waste	къалымты
watch	саат
watch	бакъмакъ
water	сув
watermelon	къарпыз
wave	далгъа
way	усул
we	биз
we are	биз
we can	биз япып олурмыз
weak	зайыф
weakness	зайыфлыкъ
wealth	байлыкъ
wealthy	барлыкълы
wear	киймек
wearing	урба
weather	ава вазиети
wedding	той
Wednesday	Чаршенбе
weed	кийик от
week	афта
weekend	раатлыкъ куньлери
weight	агъырлыкъ
weird	худжур
welcome	хош кельдинъ
welfare	боллукъ
Well	Яхшы
Well	Айды
well done	аферин
went	кетти
were	бар эди
west	гъарп
wet	серс
whale	кит балыгъы
what	не
what about you	я сен
what are you doing	не япасынъ
what are you doing now	сен шимди не япасынъ
what are you doing right now	шимди не япасынъ
what do you do	не япасынъ
what do you do for a living	яшамакъ ичюн не иш япасынъыз
what do you mean	сен не айтмагъа истейсинъ
what do you want	не истейсинъ
what happened	не олды
what is	недир
what is this	бу недир
what is your job	ким олып чалышасынъ
what is your name	адынъ не
what's up	не олды
what's your name	адынъ не
whatever	не де олса
wheat	богъдай
wheel	копчек
when	не вакъыт
whenever	эр вакъыт
where	къайда
where are you	сен къайдасынъ
where are you from	сиз къайдан кельдинъиз
where are you now	сен шимди къайдасынъ
where do you live	къайда яшайсынъ
where is	къайдадыр
whereas	албуки
whether	олып-олмагъаны
which	къайсы
while	исе
whisper	фысылты
whistle	сызгъырмакъ
white	беяз
who	ким
who are you	сен кимсинъ
who is	кимдир
who is this	бу ким
whole	бутюн
whom	кимге
whose	кимнинъ
why	не ичюн
why not	неден олмасын
wicked	киндар
wide	кенъ
widow	тул къадын
width	кенълик
wife	къары
wild	кийик
will	оладжакъ
willing	азыр олгъан
win	енъмек
wind	ель
window	пенджере
windy	рузгярлы
wine	шарап
winter	къыш
wipe	сюртмек
wire	тель
wisdom	икмет
wise	икметли
wish	истек
wish you all the best	энъ эйи тилеклер
witch	джады
with	иле
withdraw	кери чекмек
withdrawal	алып чыкъарма
within	сынъырлары ичинде
without	олмадан
witness	шаат
witty	кескин акъыллы
wolf	къашкъыр
woman	къадын
women	къадынлар
won	гъалебе къазанды
won't	олмайджакъ
wonder	айретленмек
wonderful	муджизевий
wood	агъач
wool	юнь
word	сёз
words	сёзлер
work	иш
work out	ишлемек
working	чалышкъан
world	дюнья
worm	къурт
worn	йыпрангъан
worried	эеджанланды
worry	раатсызланмакъ
worse	даа бетер
worship	тапма
worst	бетер
worth	къыймет
worth it	къыйметке малик
worthy	мунасип
would	олур
wound	яра
Wow	Демесе
wrap	сармакъ
wrath	гъадап
wrist	билек
write	язмакъ
Write here	Мында яз
writing	язам
written	язылгъан
wrong	янълыш
wrote	язды
yard	азбар
yawn	эснемек
Yeah	Эбет
year	йыл
years	йыллар
yeast	мая
yell	багъырмакъ
yellow	сары
Yes	Э
yes baby	э, эвлядым
yes dear	эбет, джаным
yes honey	эбет, татлым
yes my love	эбет, севгилим
yes of course	э, эбет
yesterday	тюневин
yet	шимдилик
yield	кяр
you	сен
you are	сен
you are beautiful	сен дюльберсинъ
you are so beautiful	пек гузельсинъ
you are welcome	бир шей дегиль
you can	сен япып оласынъ
You know	Билесинъми
you too	сен де
you're welcome	Аллах разы олсун
young	генч
your	сенинъ
your welcome	бир шей дегиль
yourself	озюни
youth	яшлар
you’re welcome	Аллах разы олсун
yummy	дамлы
zero	сыфыр
