a	а
identify	лъазабизе
identify	чӀезабизе
identity	гӀадан
identity	инсан
identity	чи
idiot	гӀабдал
idle	кепалда гьабулеб
idle	хӀалтӀичӀого
if	ани
ignore	сан гьабунгутӀизе
ill	унтарав
ill	унтарай
ill	унтараб
illegal	законалда гьечӀеб
illegal	законалда рекъолареб
illegal	законалдаса бахъараб
illness	унти
illness	чорхол сахлъи хвей
Ilocano	Илокано
image	бихьизаби
imagine	цебетӀезаби
immediate	нахътӀамичӀеб
immediate	хехаб
immediately	Хехго
immense	цӀакъ кӀудияб
impact	асар гьабизе
impatient	сабру гьечӀев
impatient	яхӀ гьабизе
impatient	чӀезе кӀоларев
implement	тӀубазабизе
import	къватӀиса къайи босие
important	кӀвар бугеб
impose	бухьине
impossible	бажарулареб
impossible	лъугьунареб
impress	бихьизаби
impression	асар
impressive	рекӀее асар гьабулеб
improve	лъикӀлъизе
improvement	лъикӀлъизаби
in	в
in addition	гурони
In fact	хӀакъикъаталда
in front of	цебе
in order to	лъие гӀоло
inappropriate	сурукъаб
inappropriate	къабихӀаб
inappropriate	рекъечӀеб
incentive	сабаблъун бугеб жо
incentive	гӀиллалъун
incident	тунка-гӀуси
incident	гъалмагъир
incident	дагӀба-рагӀи
include	биччазе
including	жувалаго
income	тӀаде бачӀунеб хайир
inconvenience	санагӀат гьечӀолъи
inconvenience	рекъонгутӀи
increase	кӀодолъизе
increased	ворхана
incredible	божизе захӀматаб
incredible	букӀине бегьулареб гӀадаб
indeed	битӀун
independent	чияда бараб гьечӀолъи
India	индия
indicate	бихьизабизе
indigenous	бакӀалъулаб
individual	напсияб
industry	промышленность
inevitable	жиндаса рорчӀизе бакӀ гьечӀеб
inevitable	рес гьечӀеб
inevitable	чара гьечӀеб
infant	гьитӀинаб лъимер
infection	инфекциялъулаб унти
infinity	лъугӀи гьечӀолъи
infinity	рагӀа-ракьан гьечӀолъи
inflammation	гьорой
inflammation	цӀа-кан бахун
inflation	гӀарцул къимат хвей
influence	асар гьабизе
inform	лъазаби
inform	цӀех-рех гьаби
information	хабар лъазаби
ingredients	ингредиенты
inheritance	хварав чиясул бетӀергьанлъи гьесул ирсилазухъе бачӀин
initial	байбихьулаб
initial	бетӀераб
initiative	байбихьи
injured	зиян гьабизе
injured	зарал гьабизе
injury	перен. ругъун
injury	лъукъел
innocent	гӀайиб гьечӀолъи
innovation	цӀи раккарал жал
inquiry	гьикъизе
insane	гӀадаллъарав
insane	гӀадалав
insect	гьодал гьечӀел гӀисинал рухӀчӀаголъаби
insecure	божи гьечӀев
insert	квалквал гьабизе
inside	жаниб
insight	бичӀчӀи
insist	тӀад ччезе
insomnia	къишизе кӀунгуртӀи
inspiration	гъира-шавкъ
inspiration	шавкъ
inspiration	къасд ккей
inspiration	гъира
inspire	хӀасрат гьабизе
install	лъезе
instance	мисал
instant	цо параялъулаб
instant	цӀакъ хехаб
instead	гъолъул бакӀалда
instead of	лъилниги бакӀалда
instructions	инструкции
instrument	тӀагӀел
insult	къабихӀ гьави
insult	хӀакъир гьави
insult	инжит гьави
insurance	цӀунизе
intact	нетронутый
integrity	ритӀухълъи
integrity	намус буголъи
integrity	ракӀбацӀцӀалъи
intellectual	гӀакъилав чи
intelligence	гӀакълу
intelligence	пикру
intelligent	интеллигентлъи
intelligent	лъай
intelligent	культура буголъи
intend	ният гьаби
intended	ракӀалда букӀине
intended	къасд букӀине
intended	хиял
intense	хӀалуцун (кутакалда тӀаделъун) гьабулеб
intention	нигат
interact	цоцазе асар гьабизе
interaction	цоцазе асар гьаби
interest	ракӀбай
interested	сундулниги-лъилниги интерес гьабулев
interesting	интересаб
interfere	гьоркьове жуваге
intermediate	гьоркьохъеб
internal	жанисеб
internal	жанибехунисеб
international	халкъазда гьоркъосеб
internship	хӀалбихьиялъе хӀалтӀулеб заман
interpret	баян кьезе
interpret	магӀна бичӀчӀизабизе
interpreter	кӀалзул переводчик
interrupt	къотӀизе
interview	интервью
intimate	къватӀиб лъазе биччалареб
intimate	напсалъе хасаб
intimate	рекӀелъ бахчараб
into	в
introduce	лъай-хъвай гьабизе
introduction	цеберагӀи
introvert	живго жиндаго вукӀунев чи
intuition	цӀодорлъи
invalid	унтарав
invent	цӀияб жо ургъи
inventory	магӀишат
invest	гъарац лъезе
investigate	цӀех-рех гьабизе
invitation	ахӀи
invite	ахӀизе
invoice	рикӀкӀен
involve	хурхинаби
involve	гъорлъе цӀай
involved	хурхинабураб
iron	махх
is	буго
island	чӀинкӀиллъи
isolated	батӀа тӀураб
issue	суал
issues	суал
it	гъоб
it is	гьаб буго
it was	гьеб букӀана
it's	досул
it's	гьесул
it's	гъосул
it's ok	расги кквешаб жо гьечӀо
It's okay	кинабго лъикӀ буго
item	гьитӀинаб нугӀ
items	жо
its	долъул
I’m	дун
jacket	куртка
jail	туснахъ
January	январь
jar	банка
jaw	чӀандеро
jealous	жахӀда
jerk	гӀабдал
jerk	ахӀмакъ
jewelry	гӀарцул жал
job	хӀалтӀи
jogging	ракьа хин гьаби
join	цолъизабизе
join	жубазабизе
joint	жубазаби
joint	цолъизаби
joke	махсара гьабизе
journalist	журналист
journey	нух
joy	рохел
judge	диванбег
judge	судияв
juice	лъим
july	июль
jump	кӀанцӀезе
june	июнь
junk	басралъун хвараб къайи-матахӀ
junk	пайда гьечӀеб жо
just	уже
just do it	просто гьабе гьеб жо
justice	ритӀухълъи
justice	гӀадиллъи
justice	инсап буголъи
justify	щивниги ритӀухъавлъун вихьизавизе
Kalaallisut	Калолжат
keen	ракӀбараб
keep	ккой
keep it up	гьедин ккой
kept	ккун букӀана
kettle	чайник
key	кӀул
kick	цезе
kid	лъимер
kidding	махсара гьабун
kidney	бекӀ
kids	лъимал
kill	чӀвай
kill	чӀвай-хъвей
kind	тамахаб
kinda	гьадин абуни
kindly	разиго
kindly	недегьго
kindly	хӀеренго
kindness	рекӀел лъикӀлъи
king	хан
king	къирал
kiss	уба гьабизе
kitchen	богорукъ
kite	гьавадул борохь
kitten	кето
knee	наку
knew	лъалаан
knife	нус
knight	рыцарь
know	лъала
knowledge	лъай букӀин
knowledge	баян букӀин
known	лъала
Konkani	Конкани
Krio	Крио
label	тӀад хъвай-хъвагӀай гьабураб кагъат
labor	хӀалтӀи
labor	захӀмат
labour	хӀалтӀи
labour	захӀмат
lack	гӀунгутӀи
ladder	мали
lady	чӀужу
laid	бихьизабураб
laid	чӀезабураб
lake	хӀор
lamb	кьагӀрил тӀинчӀ
lame	рекъав
lamp	чирахъ
land	ракь
landscape	пейзаж
language	мацӀ
lap	накаби
large	кӀудияб
last	ахирисеб
last but not least	ахирисеб,амма гьединго къваригӀунеб
last name	ахирисеб цӀар
last name	отчество
late	кватӀун
lately	дагьаб цебегӀан
later	цинги
latest	тӀарамагъадисеб
latest	ахирияб
latest	ахирисеб
latter	тӀарамагъадисеб
latter	ахирияб
latter	ахирисеб
laugh	релъ
laughing	велъулев
laughter	релъи
launch	тадбир
launch	лъугьа-рихьи
laundry	ретӀел чурулеб бакӀ
law	къанун
lawn	гьитӀинаб мечӀ
lawyer	адвокат
lay	лъезе
lay	тӀамизе
layer	гъат
layout	модель
lazy	кӀвахӀалав
lazy	кӀвахӀалал
lazy	кӀвахӀалаб
lazy	кӀвахӀалай
lead	бетӀерлъизе
leader	цевехъан
leader	бетӀер
leader	нух бихьизабулев чи
leaf	тӀамах
leak	чвахун ин
lean	ваччизе
leap	халат кӀанцӀи
learn	лъазабизе
learning	лъай кьей
learning	цӀализари
lease	ижараялъ босизе
least	гӀодобегӀан
least	бищунго дагь
leather	хьвацӀилаб
leather	лакайдулаб
leave	ана
leaves	тӀамхал
led	вачана
left	ана
leg	хӀетӀе
legacy	ирс
legal	законияб
legend	таватур
legit	законияб
leisure	регӀараб
leisure	хӀалтӀи гьечӀеб заман
leisure	паракъатаб гӀуж
lend	бекӀеда кьезе
length	халалъи
less	дагьаб
lesson	дарс
let	изну кьезе
let	ихтияр кьезе
letter	хъвай-хъвагӀай
letter	кагъат
lettuce	латук
level	тӀасияб рахъ
level	битӀун кколеб бакӀ
level	гьумер
level	битӀараб бакӀ
leverage	хӀалтӀизабизе
liability	жавабчилъи
library	библиотека
lick	чӀикӀизе
lie	гьереси
lies	гьереси
life	гӀумро
lift	борхизе
light	канлъи
lightning	пири
like	бокьана
likely	букӀине бегьулеб
likewise	гьединго
line	хӀучч
line	мухъ
Lingala	Лингала
link	бухьен
link	хурхен
lion	гъалбацӀ
liquid	лъамалъи
liquid	лъамияб жо
list	сияхӀ
listen	гӀенеккизе
listening	гӀенеккун вуго
literally	литературно
literature	адабият
litter	чороклъи
litter	рищни-къул
little	гьитӀинаб
live	чӀаголъи
liver	тӀул
lives	гӀумри
living	гӀумру
living	яшав
living	бетӀербахъи
living room	гьоболасул рукъ
lizard	кьинч
load	бакӀлъи
loaf	буханка
loan	къарз
local	цо бакӀалда бугеб
local	цо бакӀалъул
location	вугев бакӀ
lock	хъала
lock	щулалъи
lockdown	карантин
log	перен
lol	велъанхъизе
lonely	ялгъузаб
lonely	янгъизаб
long	халатаб
long time no see	рихьичӀес гӀемер заман буго
look	балагьизе
loop	кӀичӀ
loose	эркенаб
lord	бетӀерчӀахъад
lose	билизе
lose	тӀагӀине
loss	били
loss	зарал ккей
loss	ками
loss	тӀагӀин
lost	билизе
lot	гӀемер
loud	кутакаб
loud	кӀудияб
lounge	чӀезе
lounge	щибго гьабунгутӀизе
lounge	расги гьабичӀого
love	рокьи
love you	дие мун вокьула
love you	дие мун йокьула
lovely	рокьулцӀураб
low	дагьаб
lower	лъухъаб
lower	гӀодобегӀанаб
lower	тӀуцаб
loyal	божилъи цӀунараб
loyalty	ритӀухълъи
loyalty	ракӀ-ракӀалъ мутӀигӀлъи
luck	икъбал
luck	бергьенлъи
luck	талихӀккей
luck	битӀккей
lucky	талихӀав
Luganda	Луганда
luggage	багаж
lump	къотӀел
lump	рекел
lump	бутӀа
lump	кесек
lump	гӀерекъ
lunch	къаде кванай
lungs	гьуърул
luxury	чӀухӀи
luxury	бечелъи
lying	гьереси бицунев
machine	аппарат
mad	гӀадаллъун
madam	хозяйка
made	гьабуна
magazine	журнал
magnificent	гьайбатаб
magnificent	цӀакъ берцинаб
maid	хъулухъчӀужу
main	тӀоцебесеб
maintain	гьоркьоб къотӀизе тунгутӀизе
maintain	хвезе тунгутӀизе
maintenance	къваригӀел тӀубазе
maintenance	хӀажалъи
maintenance	хъулухъ гьабизе
Maithili	Матили
major	кӀвар бугеб
majority	гӀемерал
majority	цӀикӀкӀараб бутӀа
make	гьабуна
make up	данде гьабизе
make up	гьабизе
male	бихьинчи
mall	даран-базаралъул
mall	дармил
mall	бичахисиялъул
man	чи
manage	зарал гьабизе
management	производствоялъе нухмалъи гьабиялъул къагӀидаби
manager	менеджер
mandatory	тӀадебоси
mandatory	чара гьечӀого
mandatory	кьуричӀого тӀубазабизе кколеб къотӀи
manifest	манифест
manipulate	манипулировать
manner	гӀадат
manual	нухмалъи
manual	бетӀерлъи гьаби
many	гӀемер
many many happy returns of the day	гӀемер-гӀемер лъикӀал нахъе руссарал къоял
march	ине
march	низамалда хъвадизе
margin	жаниве лъугьине изну
market	базар
marriage	бертин
married	росасда йикӀине
married	хъизан гьабурав
mask	тӀад хураб гьумер
mass	масса
massive	бакӀаб
massive	мазалияб
massive	кӀудияб
master	мастер
match	къец
mate	гьудул
material	материал
math	математика
matter	суал
maturity	цӀубай
maturity	барщи
may	балагьунбихьила
maybe	балагьунбихьила
me	дие
me too	дунги
meal	квен
mean	рекӀелъ букӀана
meaning	магӀна
means	магӀна
means	кӀвар букӀине
meant	рекӀелъ къарарлъизе
meanwhile	гьеб заманалда
measure	борцине
measures	меры
meat	гьан
medical	медицинаялъул
medicine	унтабазул гӀелму
meditation	ургъун бихьи
meditation	эргъей
medium	бакьулълъи
medium	бакьулъбакӀ
meet	дандечӀвана
meeting	дандечӀвай
Meiteilon	Мейтелон
melt	биине
melt	чапизе
memories	ракӀалде щварал жал
memory	ракӀалдачӀей
memory	ракӀцӀодорлъи
mental	психический
mention	рехсей
mentioned	ракӀалде щвезаби
mentor	насихӀатчи
merchant	базарган
merchant	даранчи
mercy	грухӀел-рахӀму
merely	бигьаго
merely	гӀадатго
merry christmas	цӀияб соналдасан
mess	бардак
message	кагъат
messy	бардак
metal	маххул квар
method	къагӀида
mice	гӀонкӀкӀолаб
middle	бакьулъбакӀ
midnight	сордо бащалъараб заман
might	балагьунбихьила
mild	гьоркьохъеб даражаялъул
mild	рекъараб
mild	гьоркьохъеб хӀалалъ бугеб
milestone	хӀуби
milestone	зани
military	рагъулав
milk	рахь
million	миллион
mind	пикрабазда
mindset	гӀакълу боси
mine	дир
mingle	жубазе
minor	дагьамакъаб
minor	дагьаб
minor	гьитӀинаб
minute	минута
minutes	минутал
miracle	гӀаламалъи
miracle	гӀажаиблъи
miracle	гӀажаибаб жо
mirror	матӀу
miscellaneous	батӀи-батӀияб
mischievous	кӀарчамав
mischievous	гогьав
mischievous	чанкӀкӀарав
miserable	талихӀ къараб
misery	захӀмалъаби
misery	къварилъаби
misery	тӀалихӀ къосин
miss	хьуллъун
miss you	дун урхъун вуго
miss you	дун урхъун йиго
missing	ургъел гьечӀеб
mission	цебеккунго гьабураб тӀадкъай, бихьизаби
mist	накӀкӀ
mistake	гъалатӀ
Mizo	Мизо
mobile	мобильный
mock	тӀад релъанхъизе
model	мисал гьабизе
moderate	гьоркьохъеб хӀалалъ бугеб
moderate	роцада бугеб
modern	жакъасеб
modern	гьабсагӀат бугеб
modern	гьанжесеб заманалъул
modest	гӀодове виччарав
modest	дагьалда разияв
modest	чӀухӀи гьечӀев
modest	хъантӀичӀев
moist	регьел бугеб
moist	рагьлилаб
moist	биччараб
moisture	реччел
moisture	регьел
mold	форма
mole	нухрагӀункӀкӀ
mom	эбел
mom	баба
moment	заман
moment	лахӀзат
moment	къокъаб заман
monday	итни къо
money	гӀарац
monitor	экран
monkey	маймалак
month	моцӀ
mood	рекӀел хӀал
moody	гогьаб
moody	барщарулеб
moon	моцӀ
moral	моралияб
more	цоги
moreover	тӀадеги
morning	рогьел
mortgage	мулк-ракь гъоркьлъалие лъун босулеб къарз
most	бищунго
mostly	сахго босани
mother	эбел
motion	багъа-бачари
motion	багъари
motivation	мотивация
mountain	мегӀер
mouse	гӀункӀкӀ
mouth	кӀал
move	багъаризе
movement	багъа-бачари
movement	багъари
movie	кино
mrs	миссис
much	гӀемер
mud	хӀарщ
mug	кружка
muscle	ччобори
museum	музей
mushroom	гӀурдахӀан
music	кечӀ
must	ккейи
mute	мацӀ лъаларев
mutual	кӀиязулго цоцадехун бугеб
my	дир
My dear	дир хирияв
My dear	дир хирияй
my friend	дир гьудул
My hovercraft is full of eels	дир гама воздухалъуд падушкида угрябазул цӀун буго
my love	дир рокьи
my name is	дида цӀар буго
my pleasure	Не за что
myself	жибго
myself	живго
myself	жийго
myself	жинцаго
myself	жалго
mysterious	нахъгӀунтӀулареб
mysterious	тамашаяб
mystery	балъголъи
mystery	балъгояб иш
myth	халкъияб бицен
myth	маргьадулаб
nail	малъ
naive	рекӀкӀ гьечӀев
naive	сундаго божулев
name	цӀар
narrative	цо лъугьабахъиналъул хӀакъалъулъ
narrative	бицин
narrative	хадуб-цебе ккезабун
narrow	къваридаб
narrow	чӀедераб
narrow	тӀеренаб
nasty	рокьукъаб
national	миллияб
nationality	миллат
native	гӀагараб
natural	тӀабигӀияб
natural	тӀабигӀаталъ
nature	тӀабигӀат
nausea	ракӀ багъари
nausea	лагӀизе бачӀин
nausea	ракӀ свери
near	аскӀоб
nearby	гӀагардегӀан
nearby	гӀагарда
nearby	аскӀоб
nearby	хьолбохъ
nearly	аскӀоб
neat	вакӀа-вахари
neat	рацӀцӀа-ракъалъи
neat	къачӀа-кӀатӀай
necessary	чара гьечӀелъи
neck	шекъер
necklace	маргъалазул цӀал
need	къваригӀин
negative	гӀаксаб
negative	мекъаб
neglect	сан гьабунгутӀи
negotiate	бачине
negotiate	кӀалъа-ралъай
neighbor	мадугьал
neighborhood	мадугьаллъи
neither	щибго
neither	кигӀан дагьабниги
nephew	вацасул яс
nephew	яцалъул вас
nephew	вацасул  вас
nerd	зануда
nervous	нервазулаб
nest	хӀанчӀибусен
net	сеть
network	хьури
neutral	нейтралияб
never	киданиги
never give up	киданиги мутӀигӀлъуге
never mind	дие батӀалъи гьечӀо
nevermind	кӀвар гьечӀого
nevertheless	кин бугонаниги
new	цӀияб
news	цӀияб жо
next	хадусеб
next to	гӀагардегӀан
next to	гӀагарда
next to	аскӀоб
next to	хьолбохъ
nice	лъикӀин
nice to meet you	лъикӀ буго  лъай-хъвай гьабизе
niece	яцалъул яс
niece	вацасул яс
night	сордо
nightmare	рокьукъаб макьу
nightmare	квешаб
nine	ичӀго
nineteen	анцӀила ичӀго
ninety	ункъоялда анцӀго
No	ууна
no problem	проблема гьечӀо
no way	киданиги
nobody	щивниги
noise	хъуй
noisy	гъавгъа гӀемераб
none	щивниги
noon	къалъулгӀуж
nope	гьечӀо
nope	гуро
nor	ни
normal	гӀадатаб
normal	букӀине кколеб гӀадаб
north	севералъулаб рахъ
nose	мегӀер
nostalgic	ракьалда щолеб
not	ууна
not at all	махӀниги
not at all	кигӀанги
not bad	лъикӀ
not bad	квеш гьечӀого
Not now	хӀанчи гуро
not yet	жиги гьечӀо
note	баян
noted	гуро
nothing	расги гуро
notice	халлъизе
noticed	бихьана
noun	предметияб цӀар
nouns	существительные
novel	роман
november	ноябрь
now	гьанже
nowadays	гьаб заман
nuisance	санагӀалъи гьечӀолъи
nuisance	къагӀида гьечӀолъи
null	нолалъул
numb	собозе
number	рикӀкӀен
nurse	медсестра
nut	цӀулакьо
nutmeg	мускатный цӀулакьо
nutrition	кванай
oath	гьеди
obesity	тӀатӀи рекӀин
obesity	кьаралъи
obey	кверщел гьабизе
obey	мутӀигӀ гьабизе
obey	кверщаликье бачине
object	объект
objective	ишан
objective	гӀуж
obligation	тӀадаблъун бугеб
obscure	бецӀ гьабизе
observation	халкквей
observation	балагьи
observe	хал кквезе
obsessed	сунцаниги жинда кверщел гьабурав
obsessed	кодове восарав
obsessed	кинаб бугониги хӀалалъ
obsession	сунцаниги жинда кверщел гьабурав
obsession	кинаб бугониги хӀалалъ
obsolete	нахъе ккараб
obsolete	басралъараб
obsolete	херлъараб
obstacle	квекӀен
obstacle	авара
obtain	щвезе
obtain	осизе
obtained	щвараб
obvious	берда бихьулеб
obvious	якъинаб
obvious	дагӀба гьечӀеб
obviously	берда бихьулеб
obviously	якъинаб
obviously	дагӀба гьечӀеб
occasionally	нагагьаб
occupation	хӀалтӀи-пиша
occupation	профессия
occupied	хӀалтӀулев
occupied	машгъуллъарав
occupied	хӀалтӀи бугев
occur	лъугьине
occurred	лъана
occurs	ракӀалда букӀинчӀеб
ocean	океан
october	октябрь
odd	хӀикматаб
odds	шансы
of	оф
of course	у
off	чӀезабизе
off	гьоркьоб къотӀизабизе
offensive	хӀакъир гьавулеб
offensive	инжит гьавулеб
offensive	къабихӀ гьавулеб
offer	цебе лъуна
office	офис
official	официалияб
often	гьарзаго
Oh	о
oh really	унго
oil	нах
ok	агьа
ok dear	агьа хирияв
ok honey	агьа ракӀалъ восулев
ok my love	агьа дир рокьи
okay	агьа
okay baby	агьа,лъимер
okay dear	агьа хирияв
okay honey	агьа хирияй
okay honey	агьа хирияв
okay my love	агьа дир рокьи
old	хераб
on	тӀад
once	цоцӀо
one	цо
one language is never enough	цо мацӀ киданиги букӀунаро гӀезегӀан
onion	пер
online	в сети
only	цохӀо
open	рагьизе
operation	операция
opinion	пикру
opportunities	рес
opportunity	хӀалкӀвейи
opposite	дандбитӀун
optimistic	оптимизмалъулаб
option	къагӀида
optional	тӀадаб гуреб
optional	тӀадаблъун гьечӀеб
or	ва
orange	апельсин
order	тӀад къай
ordinary	чӀараб
ordinary	ругьунаб
ordinary	кидаго гӀадаб
organization	орагнизация
orientation	нух бахъизе лъай
origin	рижи
origin	лъугьин
origin	бакки
original	хӀакъикъияб
original	жиндирго квералъ хъвараб
original	оригиналияб
Oromo	Оромо
orphan	бесдал лъимер
other	Цогияб
otherwise	батӀайиса
ought	ккола
our	нижер
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	нилъер гӀумру гьабиялӀул магӀна:  сахазего киса -кибего рес къезе   дуниял бичӀчӀине ва жиндирго пикру загьир гьабизе батӀибатӀиял мацӀалда
Our mission: to organize the world's information and make it universally accessible and useful.	нилъер гӀумру гьабиялӀул магӀна: динялалъулго информация системалде ккезабизе ва сахалго гӀадамазе бичӀчӀине ва хӀалтӀизабизе  бигьаяблъун
out	къватӀибе
outcome	къватӀире унеб бакӀ
outcome	къватӀибе нух
outfit	къваригӀунеб къайи-къоно
outgoing	къватӀибе унеб
outlet	биччай
outline	рикӀкӀадасан бихьулеб къватӀисеб сипат
outside	тӀасан
outside	къватӀисан
outstanding	цӀар араб
outstanding	машгьураб
oven	печь
over	тӀасан
over there	доба
over there	лъоба
over there	гъоба
overall	сундуего гӀаммаб
overall	киназего
overall	гӀахьалаб
overcome	къезабизе
overcome	къуркьизабизе
overthinking	къуризабизе
overwhelmed	бихха-хочараб
overwhelmed	рахӀат хвараб
overwhelming	баччизе кӀолареб
overwhelming	хӀехьезе
owe	бетӀергьанлъи
owl	руз
own	бетӀергьанлъи
owner	бетӀергьан чи
owner	хважайин
ox	оц
pace	риччай
pack	пакет
package	бухьа-къай
package	рекъезабун лъей
paid	къураб
paid	бецӀцӀараб
pain	унти
paint	сурат
painting	ракӀ бацӀцӀадав
pair	кӀигоял
pale	кьер тӀураб
palm	хъат
palm	огъохъат
pan	хьаг
pandemic	цо улкаялде яги улкаялъул бутӀаялде цадахъ унтаби рахин
panic	рихха-хочи
pants	тӀажу
paper	кагъат
paradise	алжан
parallel	параллелияб
parcel	посылка
pardon	тӀаса лъугьине
parents	эбел-эмен
parents	умумул
park	хьвадизе нухалги ругеб ах
parrot	гаргадулеб хӀинчӀ
parsley	петрушка
part	бутӀа
participate	гӀахьаллъизе
particular	тӀокаб
particularly	батӀаго
particularly	цӀакъго
partner	дандеяв
party	гӀодорчӀей
party	цӀадухъчӀей
pass	ккезе
passage	къокъид нух
passage	цо бакӀ къотӀун унеб нух
passed	араб
passion	шавкъ
passionate	кутакаб шавкъ бугев
passionate	кутакаб гӀишкъуялъул
passive	гурхӀулев
passive	гурхӀел бугев
password	пароль
past	цебесеб
past	араб
patch	унтараб бакӀалда чӀвалеб ххамил чӀоло
path	нух
pathetic	гъаримав
pathetic	пакъирав
pathetic	язихъав
patience	сабру
patient	унтарав
pattern	шаблон
pause	лъалхъи
pavement	тротуар
pay	хӀазе
payment	мухь кьей
peace	гӀодобе биччай
peace	сасин
peaceful	рекъел бокьулел
peaceful	дагӀба-къец гьабуларел
peach	микьир
peak	бетӀер
peak	борхалъи
peak	тӀогь
pear	гени
peas	хилъало
peculiar	батӀияб хасияталъул
pee	кӀущизе
peel	бацӀцӀине
peer	кӀвар кьун балагьизе
peers	гӀел бащадав
peers	кьерилав
pen	кверкъел
pencil	къалам
pending	балагьун чӀей
people	гӀадамал
pepper	пилпил
pepper	пучч
perceive	сангьавизе
perception	лъай
perception	къабул гьаби
perception	бичӀчӀи
perception	нахъгӀунтӀи
perfect	цӀакъ лъикӀаб
perform	тӀубазабизе
performance	цеве вахъин
performance	цейе яхъин
performance	цере рахъин
perhaps	балагьунбихьила
period	заман
permanent	гьоркьоса къотӀичӀеб
permission	изну, ихтияр
permit	биччазе
permit	бегьизе
perseverance	тӀаса вичӀунгутӀи
perseverance	къвакӀун чӀей
perseverance	тӀаделъи
persistent	жигараб
persistent	таваккалаб
persistent	тӀад чӀараб
person	гӀадан
person	инсан
person	чи
personal	живго бетӀергьанаб
personal	напсияб
personal	жиндирго
personal	жинцаго гьабулеб
personality	гӀадан
personality	инсан
personality	чи
perspective	цебе рехун бихьулеб сундулниги сурат
persuade	чӀезабизе
persuade	гьоркьоб къотӀизабизе
pervert	инкар гьабурав чи
pet	рокъосеб хӀайван
phase	сундул бугониги цебетӀеялъулъ хиса-баси кколеб лахӀзат
phenomenon	вачӀин
phenomenon	лъугьа-бахъин
philosophy	инсаният
philosophy	тӀабигӀат
philosophy	гӀакълу цебетӀеялъул гӀаммал законазул хӀакъалъулъ гӀелму
phone	телефон
photo	сурат
phrase	жугьа
phrase	калима
physical	физическияб
pick	бичизе
pick	бича-хисизе
pick	даран гьабизе
pick up	босизе
picture	сурат
piece	рекъел
pieces	бутӀаби
pig	болъон
pigeon	микки
pile	гохӀ
pile	гъуни
pillow	къандалъо
pilot	пилот
pilot	воржарухъан
pin	рукӀкӀен чӀван
pin	щула гьабизе
pineapple	ананас
pink	розаялъул кьераб
pink	багӀарккараб
pit	тонкӀо
pitch	майдан
pity	гъаримав
pity	пакъирав
pity	язихъав
place	бакӀ
places	чеспла
plague	чума
plague	къавуда
plain	гӀадатаб
plan	план
plane	самолет
plant	хурдул
plants	хурдул
plate	суркӀа
platform	рекӀунеб-рещтӀунеб бакӀ
play	хӀазе
playing	хӀазе
pleasant	бегьулеб
pleasant	квегӀенаб
pleasant	рекъон кколеб
please	дала кьегийин
pleased	рази гьавурав чи
pleasure	лазат
pleasure	рахӀат
pledge	присяга абизе
plenty	гӀемер
plot	магӀна кьолел лъугьа-бахъинал
plug	къайзе
plum	кокон
plumber	лъел нухъ къачӀалев чи
plumber	лъим бачунев
plural	множественное число
podcast	подкаст
poem	кочӀол цо мухъ
poetry	кочӀохъего хъварал асарал
point	бихьизабизе
point	нугӀлъи гьабизе
poison	загьру
police	полиция
policy	сиясат
polite	адаб-хъатир буголъи
polite	хӀеренлъи
pollution	чороклъи
pond	хӀор
pool	бассейн
poop	вилъизе
poor	язихъав
poor	мискинав
pop	поп
popular	бичӀчӀулеб
population	популяция
pork	болъонил гьан
porridge	хӀичи
porridge	карщ
port	гумул чӀезе гьабураб бакӀ
position	рагъулал ишал ругеб бакӀ
positive	уяб
positive	дурусаб
positive	рекъараб
positive	битӀараб
possess	бетӀергьанлъи гьабизе
possession	бетӀергьанлъи
possessive	притяжательный падеж
possible	балагьун бихьила
post	почта
postpone	нахъе лъезе
potato	картошка
potential	букӀине бегьулеб
pound	фунт
poverty	мискӀинлъи
power	гуч
power	къуват
power	хӀал
power	кутак
powerful	къуватаб
powerful	хӀал бугеб
powerful	гучаб
practical	иш лъалев
practical	хӀалбихьи бугев
practice	хӀал бихьизе
praise	беццизе
prank	бергьинелъун хӀазе лъугьин
pray	дугӀа-алхӀам гьабизе
pray	как базе
precious	берцинлъи
precious	гьайбатлъи
precious	хӀайранлъи
precious	беричлъи
precise	дурусаб
precise	мухӀканаб
precisely	гьеле гьедин
predict	букӀинесеб цебеккунго бицине
prefer	бокьи
preference	тӀокӀаблъун рикӀкӀин
preference	цо жо цогидалдаса лъикӀаблъун
pregnant	къинай
prejudice	цебеккунго жиндилъ ракӀчӀей бижарав
premises	рукъ
premises	мина
premises	ригь
premium	лъикӀаб хӀалтӀухъ кьолеб гӀарац
preparation	хӀадурлъи гьаби
prepare	хӀадурлъи гьабизе
prepared	хӀадураб
preposition	багьана
preposition	далил
preposition	сабаб
preposition	гӀилла
presence	цо бакӀалда вукӀин
present	сайигъат
presentation	бихьизаби
preserve	цӀунизе
president	президент
press	мерхьине
pressure	тӀадецуй
pressure	хӀалуцин
pretend	притворяться
pretty	гӀола
prevent	гьукъизе
previous	цебесеб
prey	балагьи
prey	бахъи
price	мухь
price	къимат
price	багьа
pride	чӀухӀи
priest	кашиш
primary	тӀоцебесеб
prime	аслияб
princess	къираласул яс
principal	аслияб
principal	бетӀераб
prior	цебесеб
prior	некӀсияб
priority	тӀоцебесеблъи
