a	un
persuade	kendrec'hiñ
pervert	siek
pet	loen-ti
phase	lankad
phenomenon	anadenn
philosophy	prederouriezh
phone	pellgomz
photo	luc'hskeudenn
phrase	frazenniñ
phrase	frazenn
physical	korf
pick	pigell
pick	dastum
pick	tapout
pick up	dastum
pick up	kemer
picture	skeudenn
piece	tamm
piece	pezh
pieces	pezhioù
pig	pemoc'h
pigeon	pichon
pile	bern
pillow	goubenner
pilot	loman
pin	spilhenn
pineapple	ananazenn
pink	roz
pit	mengleuz
pit	puñs
pit	foz
pitch	tachenn
pitch	kinnig
pity	truez
place	lec'h
place	lec'hiañ
places	plasoù
places	lec'hioù
plague	bosenn
plain	plaen
plain	unvan
plain	da vat
plan	steuñv
plan	steuñviñ
plane	plavañ
plane	nijerez
plant	plant
plant	plantañ
plants	plant
plate	asied
platform	savenn
play	pezh-c'hoari
play	seniñ
play	choari
playing	o c'hoari
pleasant	plijus
please	mar plij
pleased	plijet
pleasure	plijadur
pledge	gouestlañ
plenty	kalz
plenty	leun
plot	irienn
plot	steuñvekaat
plot	tachen
plug	lugañ
plum	prunenn
plumber	plomer
plural	liester
podcast	podskignañ
poem	barzhoneg
poetry	barzhoniezh
point	poent
poison	ampoezoniñ
poison	ampoezon
police	polis
policy	reolennoù
polite	seven
pollution	saotradur
pond	poull
pool	poull
pool	strollad
poop	kakac'h
poor	paour
pop	pop
pop	tarzhañ
popular	brudet
population	poblañs
pork	kig-moc'h
porridge	yod
port	moned
port	porzh
position	lec'hiadur
position	dalc'h
position	lec'hiañ
positive	pozitivel
possess	piaouiñ
possession	perc'henniezh
possessive	perc'hennus
possible	posupl
post	postañ
post	embann
post	pennad-skrid
postpone	ampellañ
potato	aval-douar
potential	galloudusted
pound	lur
poverty	paourentez
power	galloud
powerful	galloudus
practical	pleustrek
practice	pleustriñ
practice	pleustradenn
praise	reiñ gourc'hemennoù
praise	meuleudi
prank	farsadenn
pray	pediñ
precious	prizius
precise	resis
precisely	entr resis
predict	diouganañ
prefer	kavout gwell
preference	diuz
pregnant	dougerez
prejudice	gaou
premises	savadurioù
premises	staliadurioù
premises	burevioù
premium	eus ar c'hentañ
preparation	prientidigezh
prepare	prientiñ
prepared	prientet
preposition	araogenn
presence	bezañs
present	amzer-vremañ
present	kinnig
present	prof
presentation	kinnig
preserve	mirout
president	prezidant
press	gwask
press	moullerezh
press	kazetennerien
pressure	gwask
pressure	gwaskañ
pretend	reiñ da grediñ
pretty	koant
prevent	dizarbenn
previous	kent
prey	preizh
price	priz
pride	lorc'h
priest	beleg
primary	kentañ
prime	kentañ
prime	pennañ
prime	dibar
princess	priñsez
principal	pennañ
prior	kent
priority	priorelezh
prison	toull-bac'h
privacy	prevezded
private	soudard
private	prevez
private	personel
privilege	dreistwir
privilege	enor
prize	priz
probably	moarvat
problem	kudenn
procedure	argerzh
proceed	kenderc'hel
process	argerzh
process	treuzfurmiñ
produce	produiñ
product	produ
production	produadur
profession	micher
professional	micherel
profile	profil
profit	gounid
profound	pouezus
profound	don
profound	bras
progress	mont war-raok
progress	araokadenn
project	raktresañ
project	raktres
prominent	heverk
promise	prometiñ
promote	kas war-raok
promote	brudañ
promotion	araokadur
promotion	brudañ
prompt	prim
prone	brudañ
pronouns	raganvioù
pronunciation	distagadur
proof	prouenn
proper	dereat
proper	reizh
proper	azas
properly	evel m'eo dleet
properties	perzhioù
property	lojeiz
property	peadra
property	glad
proposal	kinnig
prospect	spi
prospect	perspektivenn
prosperity	berzh
prosperous	en e aez
protect	gwareziñ
proud	fier
prove	prouiñ
provide	pourchas
provided	pourvezet
province	proviñs
provision	degasadenn
provision	pourvezadenn
provision	pourchas
puberty	kaezouregezh
public	publik
pull	tennañ
pull	sachañ
pull	dornell
pumpkin	sitrouilhezenn
punctual	e-koulz
pupil	skoliad
purchase	prenañ
pure	glan
purple	mouk
purpose	abeg
purpose	pal
purse	yalc'h
pursue	kenderc'hel
pursue	klask
pursue	embreger
pursuit	klask
push	bountañ
push	bountadenn
put	lakaat
qualification	perzhadur
quality	kalite
quantity	kementad
quarantine	dispell
quarrel	tabut
quarrel	tabutal
quarter	karter
quarter	kard
quarter	trimiziad
Quechua	kechuaeg
queen	rouanez
queer	iskis
queer	heñvelreviad
query	goulenn
question	goulenn
queue	lost
queue	lostenniñ
queue	lostennad
quick	buan
quickly	fonnus
quiet	sioul
quilt	pluñveg-treid
quit	kuitaat
quite	a-walc'h
quiz	kwiz
quiz	goulennaoueg
quotation	prizadenn
quotation	rakpriz
quotation	krochedig
quote	arroud
quotes	arroudoù
rabbit	konikl
race	gouenn
race	kenstrivadeg
race	redadeg
rage	kounnar
rain	glav
rain	ober glav
raise	sevel
raise	kreskiñ
raise	gwellaat
raised	savet
ran	redet
random	dre zegouezh
range	dibab
range	skalfad
rapid	prim
rapidly	buan
rare	rouez
rarely	ral a wech
rash	debron
rat	razh
rate	fonnder
rate	feur
rather	kentoc'h
ratio	feur
rational	poellek
raw	kriz
re	zo
re	eo
reach	tizhout
reached	tizhet
reaction	ersav
read	lenn
reading	o lenn
ready	prest
real	gwir
reality	gwirvoud
realize	merzout
realized	sevenet
really	evit gwir
really	da vat
rear	kein
rear	penn a-dreñv
rear	desevel
reason	abeg
reasonable	poellek
recall	degas da soñj
recall	kaout soñj
receipt	notenn
receive	degemer
received	resevet
recent	nevez
recently	nevez zo
reception	degemer
recipe	rekipe
reckless	digaz
recognition	anaoudegezh
recognize	anavezout
recommend	erbediñ
recommended	erbedet
record	pladenn
record	enrollañ
recover	adtapout
recover	sevel e gein
recovery	pareañs
recovery	adsevel
rectangle	skouergorneg
red	ruz
redeem	dasprenañ
redemption	daspren
reduce	krennañ
redundant	diezhomm
refer	ober dave da
reference	dave
reflect	disvannañ
reflect	lakaat d'en em soñjal
reflect	diskouez
reflection	dasked
reflection	preder
refrain	moustrañ war
refrain	mirout ouzh
refrigerator	yenerez
refund	resteurel
refuse	nac'hañ
refused	nac'het
regard	resped
regarding	evit ar pezh a sell ouzh
regardless	lakaet er-maez
regards	a galon
region	rannvro
register	enrollañ
register	marilh
register	enrolladenn
regret	keuziañ
regret	keuz
regular	reoliek
regularly	ingal
reject	disteurel
relate	lakaat e darempred
related	liammet gant
related	kar gant
relationship	darempred
relative	kar
relative	e liamm
relatives	kerent
relax	distegnañ
release	embann
release	lezel da vont er-maez
released	dieubet
released	embannet
relevant	talvoudus
reliable	fizius
relief	disamm
relieve	disammañ
relieved	disammet
religion	relijion
religious	relijiel
reluctant	a-c'hin
rely	kontañ war
remain	chom
remaining	a chom
remarkable	heverk
remedy	diskoulmañ
remedy	reizhañ
remedy	louzoù
remember	derc'hel soñj
remind	degas da soñj
reminder	dalc'h-soñj
remote	pell
remove	lemel kuit
render	resteurel
render	lakaat da vezañ
rent	feurmiñ
repair	kempenn
repeat	adlavaret
replace	erlec'hiañ
reply	respont
report	kas keloù
represent	dileuriañ
reputation	brud
request	goulenn
require	goulenn groñs
required	rekis
rescue	saveteiñ
research	enklask
resemble	tostaat
resemble	tennañ da
resentment	droukrañs
reservation	miradenn
reserve	pourvezad
reserve	mirva
reserve	mirout
resident	annezad
resign	reiñ e zilez
resilience	dalc'husted
resilient	dalchus
resilient	reziliant
resilient	solut
resist	rezistiñ
resistance	rezistañs
resolution	mennad
resolve	diskoulmañ
resort	kreizenn
resort	leti
resort	staliadur
resources	loazioù
respect	doujañ
respond	respont
response	respont
responsibility	atebegezh
responsible	atebek
rest	diskuizh
rest	ehan
rest in peace	doue d'e bardono
restaurant	preti
restore	assevel
restrict	strishaat
result	disoc'h
results	disoc'hoù
resume	diverrañ
resume	kregiñ en-dro
retail	a-vunut
retail	gwerzhañ a-vunut
retain	derc'hel
retention	dalc'had
retired	war e leve
retreat	emdenn
retreat	en em dennañ
retrieve	adpakañ
return	distreiñ
reveal	diskuliañ
revealed	roet da c'houzout
revealed	diskuliet
revenge	digoll
revenue	korvoder
reverse	eilpennañ
review	arnodenn
review	adlenn
review	adwelet
revise	adwelet
revision	adweladenn
revolution	dispac'h
reward	priziañ
reward	prof
rhythm	lusk
rib	kostenn
rice	riz
rich	pinvidik
rid	dizober
ride	ruilhal
ride	tro
ride	marc'hegañ
ridiculous	lu
right	reizh
right	gwir
right	dehoù
right now	bremañ diouzhtu
rigid	reut
ring	pellgomz
ring	kurunenn
ring	gwalenn
rinse	riñsañ
riot	emsavadeg
rip	diregiñ
ripe	azv
rise	sevel
risk	riskl
risk	risklañ
rival	kevezer
river	ster
road	hent
roast	rostañ
robust	solut
rock	roc'h
rock	hejañ
rock	rock
rod	bazh
role	roll
roll	ruilhal
roll	roll
roof	toenn
room	kambr
room	plas
root	gwirizienn
rope	kordenn
rotten	brein
rough	garv
rough	kriz
roughly	dre-vras
round	korolladenn
round	ront
round	tro
route	hent
routine	standur
row	renk
row	linenn
rub	frotañ
rubber	gommenn
rubber	stevell
rubbish	sotonioù
rubbish	lastez
rude	diseven
rude	rust
rug	moketenn
rug	pallenn
ruin	distrujañ
ruin	dismantroù
rule	reolenn
ruler	mestr
rules	reolennoù
run	redek
run	redadenn
running	redek
rural	a-ziwar ar maez
rush	redadeg
sack	drastañ
sack	sac'h
sacred	sakr
sacrifice	aberzhiñ
sacrifice	aberzh
safe	e surentez
safe flight	nijadenn diarvar
safety	surentez
sage	fur
said	lavaret
sail	merdeiñ
sail	gouel
sailing	merdeiñ-dre-lien
sake	silvidigezh
sake	mad
salary	gopr
sale	gwerzh
sale	gwerzhañ
salmon	eog
salt	holen
same	heñvel
Same here	Heñvel amañ
sample	standilhon
sand	traezh
Sanskrit	sanskriteg
sarcastic	goapaus
sassy	dichek
sat	a azeze
satisfaction	plijadur
satisfied	plijet
satisfy	plijout
satisfy	plijet
satisfying	bastus
Saturday	Sadorn
sausage	silzig
savage	gouez
save	arboellañ
save	koufr-houarnet
save	saveteiñ
saw	gwelet
say	lavaret
scale	skeul
scale	ment
scam	taol-c'hwib
scar	kleizhenn
scarce	rouez
scared	spontet
scarf	skerb
scary	ankenius
scattered	strewet
scene	leurenn
scenery	ardremez
scenery	senario
scent	c'hwezh
schedule	deiziataer
schedule	implij-amzer
schedule	steuñvekaat
school	skol
science	skiant
scientist	skiantour
scientists	skiantourien
scissors	sizailhoù
scold	gourdrouz
scope	ampled
score	merkañ
scrap	houarnaj
scrap	diverkañ
scrap	dilezel
scratch	skrabadenn
scratch	skrabañ
scream	yudadenn
scream	yudal
screen	skramm
screw	biñs
screw	biñsañ
screw	stardañ
script	testenn
sea	mor
seal	klozañ
seal	sailh
seal	reunig
search	klask
season	koulz-amzer
seat	azezenn
seat	azezañ
second	eil
secret	kevrin
section	rann
secure	sur
security	surentez
see	gwiriañ
see	eskopti
see	gwelet
see you	ken ar c'hentañ
see you later	ken ar c'hentañ
see you soon	d'ar c'hentañ gweled
see you tomorrow	ken arc'hoazh
seed	diwanañ
seed	had
seed	splus
seek	klask
seem	seblantout
seems	a heñvel
seen	bet gwelet
seize	sezisañ
seizure	preizhadenn
seldom	ral a wech
select	diuzañ
self	an-unan
self healing	embareañ
selfish	emgar
sell	gwerzhañ
send	kas
send me your picture	kas din da skeudenn
senior	den war an oad
sense	mod
sense	santout
sensible	kizidik
sensitive	kizidik
sent	kas
sentence	kondaoniñ
sentence	frazenn
sentences	frazennoù
separate	diforc'h
separate	dispartiañ
Sepedi	sothoeg an Norzh
september	Gwengolo
sequence	prantad
series	stiradoù
serious	grevus
serious	sirius
seriously	evit gwir
serve	servijout
service	servij
session	dalc'h
set	rikoù
set	staliañ
set	termeniñ
set up	kefluniañ
set up	staliañ
setting	reizhadur
setting	staliadur
setting	kefluniadur
settle	diskoulmañ
settle	renkañ
seven	seizh
seventeen	seitek
seventy	dek ha tri-ugent
several	meur a hini
severe	grevus
severe	sirius
sew	gwriat
shade	skeud
shadow	skeud
shake	hejañ
shall	a raio
shallow	bas
shame	mezh
shape	stumm
share	rannañ
share	kevrann
share	treuzkas
sharp	lemm
she	hi
she has	hi he deus
she is	hi zo
shed	skuilhañ
shed	bannañ
shed	skiber
sheep	dañvad
sheet	liñsel
sheet	follenn
sheet	doubier
shelf	estajerenn
shell	obuz
shell	bombezata
shell	krogenn
shelter	reiñ bod
shield	skoed
shield	gwareziñ
shift	cheñchamant
shift	gwintañ
shift	dilec'hiañ
shine	lugerniñ
ship	lestr
shipping	o verdeiñ
shirt	roched
shoes	botoù
shoot	tennañ
shoot	filmañ
shoot	lazhañ
shop	staliaoua
shop	stal
shop	ober prenadennoù
shopping	staliaoua
shore	aod
short	film berr
short	bragoù-berr
short	berr
shortage	berrentez
shot	tennañ
shot	tenn
shot	tenn fuzuilh
should	dlefe
shoulder	skoaz
shout	huchal
show	abadenn
show	diskouez
show me	diskouezit din
shower	barrad glav
shower	strinkerezh
shrimp	chevr
shrink	krennañ
shut	klozañ
shut up	tav
shy	lent
sibling	breudeur ha c'hoarezed
siblings	breudeur ha c'hoarezed
sick	klañv
side	tu
sigh	huanadenn
sight	gwel
sight	sell
sightseeing	gweladenn
sightseeing	touristel
sightseeing	endro kaer
sign	sinañ
sign	sin
signature	sinadur
significant	bras a-walc'h
significant	heverk
silence	didrouz
silent	mut
silk	seiz
silly	sot
silver	arc'hant
similar	heñvel
simple	eeun
simple	simpl
simultaneously	war un dro
since	abaoe
sincere	onest
sincerely	a wir galon
sing	kanañ
singer	kaner
single	en e-unan
single	un
sink	mont d'ar strad
sink	dar
sink	sankañ
Sir	Aotrou
sister	c'hoar
sister in law	c'hoar-gaer
sit	azezañ
site	lec'hienn
situation	plegenn
six	c'hwec'h
sixteen	c'hwezek
sixty	tri-ugent
size	ment
skill	barregezh
skills	barregezhioù
skin	kroc'hen
skinny	treut-ki
skip	lammat
skip	lezel a-gostez
skirt	brozh
sky	oabl
slave	sklav
sleep	kousk
sleep	kousket
sleeping	o kousket
sleepy	c'hoant kousket gantañ
sleeve	milgin
slice	jelkenn
slide	luc'hvann
slightly	dousik
slim	moan
slip	riklañ
slope	dinaou
slot	faout
slow	gorrek
slowly	gorrek
small	bihan
smart	poellek
smell	chwezh
smell	chwesha
smile	mousc'hoarzhin
smile	mousc'hoarzh
smoke	moged
smoke	butunat
smooth	plaen
smooth	levn
smooth	dousaat
snack	gortozenn
snack	digor-kalon
snack	merenn-vihan
snail	maligorn
snake	naer
snap	serr-lagad
snap	tek
snap	stlakal
snow	erc'h
so	neuze
so cute	pegen moutik
so far	betek-henn
soak	sankañ
soak	lakaat en dour
soap	soavon
sober	sirius
sober	divezvet
sober	divanne
soccer	mell-droad
social	sokial
society	kevredigezh
socks	loeroù
soft	blot
soft	kuñv
software	meziant
soil	douar
sold	gwerzhet
sold out	peurwerzhet
soldier	soudard
sole	nemetañ
solid	solut
solution	diskoulm
solve	diskoulmañ
some	un nebeud
some	un tamm
somebody	unan bennak
somehow	mod-pe-vod
someone	unan bennak
something	un dra bennak
sometimes	a-wechoù
song	kanaouenn
soon	a-raok pell
sophisticated	cheuc'h
Sorani	kurdeg kreiz
sore	gloaz
sore throat	poan-gouzoug
sorrow	doan
Sorry	Ma digarezit
sort	doare
sort	seurt
sought	klasket
soul	ene
soulmate	amourouz
sound	seniñ
sound	son
soup	soubenn
sour	trenk
source	mammenn
south	su
space	egor
space	lec'h
spam	strob
span	pad
span	treuziñ
Spanish	spagnoleg
spare	espern
spare	eil
spare	rod-sikour
speak	komz
special	dibar
species	spesadoù
specific	arbennik
spectacular	bamus
speech	kaoz
speechless	dilavar
speed	tizh
speed	sankañ tizh
spell	strobinell
spell	digejañ
spend	bevañ
spend	dispign
spend	tremen
spent	dispignet
spicy	temzet
spike	pikern
spin	troidellat
spin	tro
spin	lakaat da dreiñ
spinach	pinochez
spirit	spered
spit	ber
spit	tufañ
splendid	splann
split	dispartiañ
split	disrann
spoil	koulouchañ
spoil	gwastañ
spoiled	gwastet
spontaneous	emdarzh
spoon	loa
spot	lec'h
spot	spurmantiñ
spouse	gwreg
spread	skignañ
spread	neriñ
spring	strinkañ
spring	mammenn
spring	nevezamzer
square	plasenn
square	onest
square	karrezenn
squeeze	gwask
squeeze	gwaskañ
squid	morgad
squirrel	gwiñver
st	str.
stab	goustilhañ
stable	stabil
stack	bern
stack	berniañ
staff	koskor
stage	leurenn
stain	saotr
stain	livañ
stairs	diri
stake	skodenn
stake	perzh
stake	risklañ
stalk	garenn
stalk	harellat
stalk	brank
stall	kraou
stall	stankañ
stamp	timbr
stand	sevel en e sav
standard	standard
star	steredenn
star	esparadenn
start	deroù
start	penn-kentañ
start	loc'hañ
started	boulc'het
starving	marnaoniek
state	stad
state	disklêriañ
statement	disklêriadur
station	arsav
statue	delwenn
status	statud
stay	chom
stay	chomadenn
stay safe	grit war ho tro
steady	sonn
steak	steak
steal	laerezh
steam	burezh
steam	divogediñ
steel	dir
steep	uhel
steep	glec'hiañ
steep	sonn
stem	garenn
step	derez
step	piltrotat
step	kammed
stick	bazh
stick	pegañ
stiff	stegn
still	atav
still	c'hoazh
still	diflach
sting	flemmañ
stingy	pizh
stir	meskañ
stock	stok
stolen	laeret
stomach	stomog
stone	maen
stood	a oa en e sav
stool	tous
stop	paouez
storage	sanailhañ
store	memor
store	stal
store	sanailhañ
storm	korventenn
storm	argadiñ
story	istor
stove	fornigell
straight	arallreviat
straight	eeun
straight	didro
straightforward	didro
strain	tennder
strain	skuizhder
strain	skuizhañ
strange	iskis
stranger	estren
strategy	strategiezh
straw	foenn
straw	plouz
strawberry	sivienn
streak	gwazhienn
streak	poulc'henn
streak	roudenn
stream	froud
stream	gwazh-dour
street	straed
strength	nerzh
stress	pouezañ
stress	stres
stretch	astenn
stretch	stirenn
stretch	dic'hourdañ
strict	strizh
strike	harz-labour
strike	tagadenn
strike	skeiñ
string	neudenn
string	chaîne
strip	diwiskañ
strip	bandenn
strive	strivañ
stroke	taol-kalon
stroke	taol
stroke	skeiñ
strong	kreñv
struck	skoet
structure	frammañ
structure	framm
struggle	emgann
struggle	en em gannañ
struggling	o stourm
stubborn	pennek
stuck	peget
stuck	stanket
stuck	sanket
student	studier
study	studiadenn
study	studiañ
studying	o studiañ
stuff	choukañ
stuff	aferioù
stuff	dafar
stunning	bamus
stupid	droch
style	stil
subject	danvez
subject	danvez-studi
submission	sujidigezh
submit	kinnig
submit	kas
substance	danvezenn
substitute	erlec'hiañ
subtle	soutil
succeed	dont a-benn
success	berzh
successful	a ra berzh
such	hevelep
such	seurt
such as	evel
suck	sunañ
sudden	dic'hortoz a-grenn
suddenly	a-daol-trumm
suffer	gouzañv
suffering	o c'houzañv
sufficient	a-walc'h
sugar	sukr
suggest	aliañ
suggestion	kinnig
suit	abit
suit	klotañ
suit	kas dirak ar justis
suitable	azas
suitcase	malizenn
sum	sammad
sum	jedadenn
sum	priz
summary	diverrañ
summer	hañv
summit	barr
summit	kendalc'h
sun	heol
sunday	Sul
sunny	heoliek
sunset	kuzh-heol
sunshine	bann-heol
super	dreist
superior	dreist
supervisor	gourseller
supper	koan
supply	pourveziñ
support	skoazell
support	harpañ
suppose	goulakaat
supposed	goulakaet
sure	sur
surface	gorread
surge	diflukañ
surgery	oberatadenn
surname	anv-familh
surprise	souezhadenn
surprise	souezhiñ
surprised	souezhet
surrender	kodianañ
surrounding	tro-war-dro
surveillance	evezh
survey	sontadeg
survey	enklask
survey	studi
survive	treuzvevañ
suspect	gouselled
suspect	douetus
suspect	diskrediñ
suspended	nullet
suspicious	diskredik
sustain	dougen
sustainability	padusted
sustainable	padus
swag	traoùigoù
swag	stalikez
swallow	lonkañ
swap	eskemm
swear	touiñ
sweat	c'hwezhiñ
sweater	sweat
sweep	skubellat
sweet	c'hwek
sweet	madig
sweet dreams	hunvreoù kaer
sweet tooth	beg lipous
sweetheart	kalonig
swell	c'hwezañ
swelling	koeñvadenn
swelling	tanijenn
swim	neuial
swimming	o neuial
swing	brañsigell
swing	gwintañ
switch	eilpennañ
switch	cheñch
switch	afell
swollen	koeñvet
sword	sabrenn
symbol	arouez
sympathy	simpatiezh
symptoms	simptomoù
system	reizhiad
table	taolenn
table	taol
tackle	talañ ouzh
tackle	diskoulmañ
tag	tikedenn
tag	ger-alc'hwez
tag	merk
tail	lost
take	kemer
take away	kas gant unan bennak
take away	lemel
take care	gra war da dro
take off	dibradañ
take off	diwiskañ
taken	kemeret
talk	kaozeal
talk	kaozeadenn
talkative	teodek
tall	bras
tap	kog
tape	enrollañ
tape	kasedig
target	gwenn
target	bukañ
task	trevell
taste	tañva
taste	blaz
tasty	saourus
taught	kelennet
tea	te
teach	kelenn
teacher	kelenner
team	skipailh
tear	rogadenn
tear	daeraouenn
tear	regiñ
tears	daeroù
tease	hegañ
technology	teknologiezh
teeth	dent
tell	lavaret
tell me	lavar din
temper	temz-spered
temper	moderiñ
temperature	gwrez
temple	templ
temporary	dibad
ten	dek
ten thousand	dek mil
tenant	feurmer
tend	plediñ gant
tendency	tuadur
tender	tener
tender	kinnig
tender	galv da ginnigoù
tense	amzer
tense	stegn
tension	tennder
tent	teltenn
tentative	taol-esae
term	termen
terms	termenoù
terrible	spontus
terrific	dreist
territory	tiriad
test	amprouiñ
test	arnodenn
text	testenn
than	eget
thank	trugarekaat
thank you	trugarez deoc'h
Thank you for your patience while we investigate shipment	Ho trugarekaat evit ho pasianted e-keit m'emaomp o kontrolliñ ho marc'hadourezh
thank you so much	trugarez vras deoc'h
thank you very much	ho trugarekaat
thanks	trugarez
Thanks for using our app	Trugarez da implijout hon arload
that	an dra-se
that is	a zo
that is	se zo
that's good	mat eo an dra-se
the	an
theft	laeroñsi
their	o
them	int
theme	dodenn
themselves	int o-unan
then	neuze
theory	teorienn
there	aze
there are	bez' ez eus
there is	bez' ez eus
therefore	setu perak
these	ar re-mañ
they	int
they are	int zo
thick	tev
thief	laer
thigh	morzhed
thin	moan
thing	tra
things	traoù
think	soñjal
third	trede
thirsty	sec'hedik
thirteen	trizek
thirty	tregont
this	an dra-mañ
this is	se a zo
thorough	don
thoroughly	pervezh
those	ar re-se
though	koulskoude
thought	soñj
thoughtful	prederiet
thoughtful	madelezhus
thoughtful	fur
thoughts	soñjoù
thousand	mil
thread	neud
thread	kaozeadenn
threat	gourdrouz
threaten	gourdrouz
three	tri
threshold	treuz
thrilled	fromet
thrive	ober berzh
throat	gourlañchenn
through	a-dreuz
through	a drugarez da
through	dre
throughout	dre-holl
throw	stlepel
thumb	bid-meud
thumb	follennata
thunder	kurun
Thursday	Yaou
thus	gant se
tick	askañ
tick	ask
tide	mare
tidy	kempenn
tie	liammañ
tie	skoulm
tie	kravatenn
tiger	tigr
tight	strizh
tight	tenn
tight	start
Tigrinya	tigrignaeg
time	amzer
time	eur
timid	lent
tiny	munut
tip	gwerzh-butun
tip	kuzul
tips	kuzulioù
tire	bandenn-rod
tired	skuizh
tissue	mouchouer
title	titl
to	da
to be	bezañ
toast	krazañ
today	hiziv
toddler	krouadur
toes	bizied-treid
together	a-gevret
toilet	privezioù
told	lavaret
tolerance	gouzañvusted
tolerate	gouzañv
tomato	tomatezenn
tomorrow	warc'hoazh
tongue	teod
tonight	fenoz
too	re
too	ivez
took	kemeret
tool	benveg
tools	binvioù
tooth	dant
top	laez
topic	kraf
torn	roget
torn	pilhoù
torture	boureviañ
total	hollad
touch	stokenn
touch	touchañ
tough	luziet
tough	start
tour	troiad
tour	tro
toward	war-zu
towards	war-zu
towel	serviedenn
town	kêr
toxic	pistrius
trace	roud
track	bezañ war roudoù unan bennak
track	roud
trade	kenwerzh
tradition	hengoun
traditional	hengounel
traffic	tremeniri
traffic	floderezh
trail	hentad
train	gourdonañ
train	tren
training	gourdonañ
trait	perzh
traits	perzhioù
transfer	treuzkas
transition	prantad tremen
translate	treiñ
transparent	treuzwelus
transport	treuzdougen
transportation	treudougen
trap	trap
trap	trapañ
trash	lastez
trauma	traoma
travel	beajiñ
tray	tablezenn
tray	pladenn
treasure	teñzor
treat	friko
treat	pareañ
treat	louzaouiñ
treatment	louzoù
tree	gwezenn
tremendous	dreistordinal
trend	lusk
trial	prosez
trial	barnañ
trick	tapout
trick	tour
trick	tro-gamm
tried	klasket
trigger	penn-kaoz
trigger	pluenn
trim	kinkladur
trim	didroc'hañ
trip	beaj
trouble	trubuilh
trousers	brageier
truck	sammgarr
true	GWIR
trunk	poent-kej
trunk	kef
trust	krediñ
trust	fiziañs
truth	gwirionez
truth	gwirvoud
truth	onestiz
try	tañva
try	klask
try	taol-esae
Tsonga	tsongaeg
tube	bouzellenn
tube	metro
tube	korzenn
Tuesday	Meurzh
tuition	kelenn
tuition	mizoù-skol
tuition	enskrivadur
turkey	yar-Indez
turmeric	kurkuma
turn	treiñ
turn	tro
turtle	baot
tutor	gward
twelve	daouzek
twenty	ugent
twenty-one	unan warn-ugent
Twi	twieg
twice	div wech
twist	korvigell
twist	distummañ
two	daou
type	doare
type	seurt
typical	tipik
ugly	divalav
ultimate	diwezhañ
umbrella	disglavier
unable	dibosupl
uncle	eontr
unconscious	hep anaoudegezh
under	dindan
underneath	dindan
underrated	ispriziet
understand	kompren
understood	komprenet
unfortunately	siwazh deoc'h
uniform	lifre
unique	nemetañ
unique	unik
unit	strollad
unit	unvez
unit	unanenn
university	skol-veur
unknown	dianv
unless	nemet
until	betek
unusual	divoas
up	d'ar muiañ
up	el laez
up to you	deoc'h da welet
update	hizivaat
upgrade	gwellaat
upgrade	hizivaat
upon	war
upset	dipitet
urban	kêrel
urge	azgoulenn
urgent	mallus
us	deomp
use	implijout
used	implijet
useful	talvoudus
useless	didalvez
usual	boas
usually	dre voaz
utility	talvoudegezh
vacation	amzer-vak
vaccination	vaksinadur
vaccine	vaksin
vaccine	vaksinañ
vacuum	goullo
vague	diresis
valid	reizh
valid	kadarnaat
valley	traoñienn
valuable	talvoudus
value	priziañ
value	talvoud
variety	liesdoare
variety	liesseurt
various	a bep seurt
vary	bezañ cheñch-dicheñch
vase	lestr-bleunioù
vast	ec'hon
vegetable	legumaj
vegetables	legumaj
vehicle	karbed
vendor	gwerzher
venom	binim
venture	oberiadenn
venture	embregerezh
venture	risklañ
venue	donedigezh
verify	gwiriañ
versatile	hedro
version	doare
vertical	a-serzh
very	tre
very good	mat-tre
vessel	lestr
via	dre
vibe	gwagenn
vibe	aergelc'h
vibes	aergelc'h
vibes	gwagennoù
vicious	siek
victim	reuziad
video	video
view	sellet
view	gwel
view	sell
village	kêriadenn
villain	drouk
vinegar	gwinêgr
vintage	mod-kozh
violence	feulster
violent	feuls
viral	viruzel
virgin	gwerc'h
virtual	galloudel
virtue	vertuz
vision	gwel
visit	gweladenn
visit	gweladenniñ
visual	gwelus
visual	skeudenn
visual	grafek
vital	hollret
vivid	bev
vivid	livet
vocabulary	geriaoueg
voice	mouezh
void	goullo
volume	ec'honad
volume	live son
volunteer	den a-youl-vat
vomit	dislonkañ
vulnerable	bresk
wage	gopr
wages	goproù
waist	gouriz
waist	divlez
wait	gortoz
waiter	mevel
waiting	o chortoz
wake	dihuniñ
wake up	dihuniñ
walk	kerzhadenn
walk	kerzhet
walking	o kerzhet
wall	moger
wallet	doug-bilhedoù
wander	kantren
wanna	fellout da
want	kaout c'hoant
wanted	klasket
war	brezel
wardrobe	armel-dilhad
warehouse	sanailh
warm	klouar
warn	kemenn
warning	o sachañ evezh
warrior	brezelour
was	oa
wash	gwalc'hiñ
waste	foranañ
waste	gwastañ
waste	lastez
watch	evezh
watch	sellet
watch	eurier
water	dour
watermelon	pastekez
wave	gwagenn
wave	saludiñ
way	doare
way	hent
we	ni
we are	ni zo
we can	gallout a reomp
weak	gwan
weakness	gwander
wealth	puilhded
wealth	peadra
wealth	pinvidigezh
wealthy	en e aez
wear	gwiskañ
wearing	o wiskañ
weather	amzer
wedding	dimeziñ
Wednesday	Merc'her
weed	dilouzaouiñ
weed	kanab
