পৰিত্যাগ	abandon
ঋতু	season
আসন	seat
দ্বিতীয়	second
গোপনীয়	secret
শাখা	section
সুৰক্ষিত	secure
সুৰক্ষা	security
চোৱা	see
বীজ	seed
বিচৰা	seek
বাজেয়াপ্ত	seizure
কাচিত্‍	seldom
নিজক	self
স্বাৰ্থপৰ	selfish
পঠোৱা	send
জ্যেষ্ঠ	senior
জ্ঞান	sense
বুদ্ধিমান	sensible
সংবেদনশীল	sensitive
বাক্য	sentence
বাক্যসমূহ	sentences
পৃথক	separate
সেপেডী	Sepedi
ছেপ্টেম্বৰ	september
ক্ৰম	sequence
শৃংখলা	series
গহীন	serious
সেৱা	service
অধিৱেশন	session
ছেটিং	setting
সাত	seven
সোতৰ	seventeen
সত্তৰ	seventy
কেইবাটাও	several
অতিশয়	severe
চিলাই	sew
ছাঁ	shadow
কঁপা	shake
কৰিব	shall
ফোপোলা	shallow
লজ্জা	shame
আকাৰ	shape
চোকা	sharp
তাই	she
ভেড়া	sheep
চাদৰ	sheet
খলপ	shelf
খোলা	shell
আশ্ৰয়	shelter
ঢাল	shield
জিলিকা	shine
জাহাজ	ship
পঠিওৱা	shipping
চাৰ্ট	shirt
জোতা	shoes
দোকান	shop
দাঁতি	shore
চুটি	short
কান্ধ	shoulder
চিঞৰা	shout
প্ৰদৰ্শনী	show
শ্বাৱাৰ	shower
মিছামাছ	shrimp
সংকোচন	shrink
বন্ধ	shut
লাজকুৰীয়া	shy
সহোদৰ	sibling
ভাই-ভণ্টি	siblings
বেমাৰী	sick
এফালৰ	side
হুমুনিয়াহ	sigh
দৃষ্টি	sight
চহী	sign
চহী	signature
উল্লেখযোগ্য	significant
নীৰৱতা	silence
নীৰৱ	silent
ৰেশম	silk
নিৰ্বোধ	silly
ৰূপ	silver
একেধৰণৰ	similar
সহজ	simp
সাধাৰণ	simple
যিহেতু	since
গম্ভীৰ	sincere
বিনীতভাৱে	sincerely
গোৱা	sing
গায়ক	singer
একক	single
ডুবা	sink
মহোদয়	Sir
ভণ্টি	sister
নবৌ	sister in law
বহক	sit
স্থান	site
পৰিস্থিতি	situation
ছয়	six
ষোল্ল	sixteen
ষাঠি	sixty
আকাৰ	size
দক্ষতা	skill
দক্ষতাসমূহ	skills
ছাল	skin
খীণ	skinny
স্কাৰ্ট	skirt
আকাশ	sky
দাস	slave
টোপনি	sleep
টোপনি	sleepy
শ্লীভ	sleeve
টুকুৰা	slice
এফলীয়া	slide
অলপীয়াকৈ	slightly
পাতল	slim
পিছলা	slip
এঢলীয়া	slope
ছাঁদ	slot
সৰু	small
স্মাৰ্ট	smart
গোন্ধ	smell
হাঁহি	smile
ধোঁৱা	smoke
মসৃণ	smooth
শামুক	snail
সাপ	snake
ছৱি	snap
তুষাৰ	snow
তেন্তে	so
ডুবুওৱা	soak
চাবোন	soap
সংযত	sober
সামাজিক	social
সমাজ	society
মোজা	socks
কোমল	soft
ছ’ফ্টৱেৰ	software
মাটি	soil
চিপাহী	soldier
একমাত্ৰ	sole
গোটা	solid
সমাধান	solution
সমাধান	solve
কিছুমান	some
কোনোবাই	somebody
কেনেবাকে	somehow
কেতিয়াবা	sometimes
গান	song
সোনকালে	soon
অত্যাধুনিক	sophisticated
সোৰানী	Sorani
ঘাঁ	sore
বেজাৰ	sorrow
দুঃখিত	Sorry
সজোৱা	sort
আত্মা	soul
প্ৰাণপ্ৰিয়	soulmate
ধ্বনি	sound
ছু’প	soup
টেঙা	sour
উত্‍স	source
দক্ষিণ	south
স্থান	space
স্পাম	spam
সময়ছোৱা	span
স্পেনিছ	Spanish
অতিৰিক্ত	spare
বিশেষ	special
প্ৰজাতি	species
নিৰ্দিষ্ট	specific
বক্তৃতা	speech
নিৰ্বাক	speechless
বেগ	speed
বানান	spell
খৰচ	spend
মছলাযুক্ত	spicy
কাঁইট	spike
ঘূৰ্ণন	spin
পালেংশাক	spinach
আত্মা	spirit
চমৎকাৰ	splendid
স্বতস্ফূৰ্ত	spontaneous
চামুচ	spoon
স্থান	spot
বিয়পা	spread
বসন্ত	spring
বৰ্গ	square
স্কুইড	squid
কেৰ্কেটুৱা	squirrel
স্থায়ী	stable
স্তূপ	stack
কৰ্মচাৰী	staff
মঞ্চ	stage
দাগ	stain
চিৰি	stairs
অংশীদাৰী	stake
ঠাৰি	stalk
মোহৰ	stamp
মানদণ্ড	standard
তৰা	star
ৰাজ্য	state
বিবৃতি	statement
ষ্টেছন	station
মূৰ্তি	statue
স্থিতি	status
থকা	stay
স্থিৰ	steady
টুকুৰা	steak
চুৰি	steal
ভাপ	steam
তীখা	steel
থিয়	steep
কাণ্ড	stem
পদক্ষেপ	step
লাঠী	stick
টান	stiff
তথাপি	still
হুল	sting
কৃপণ	stingy
লৰোৱা	stir
ভঁৰাল	stock
পেট	stomach
শিল	stone
মল	stool
ৰ’ব	stop
সংৰক্ষণ	storage
দোকান	store
ধুমুহা	storm
কাহিনী	story
চৌকা	stove
পোন	straight
পোনপটীয়া	straightforward
চাপ	strain
আচৰিত	strange
অচিনাকি	stranger
কৌশল	strategy
ষ্ট্ৰ’	straw
ষ্ট্ৰ’বেৰী	strawberry
ধাৰা	streak
নিজৰা	stream
ৰাষ্টা	street
শক্তি	strength
চাপ	stress
কঠোৰ	strict
তাঁৰ	string
পট্টি	strip
আঘাত	stroke
শক্তিশালী	strong
গাঁঠনি	structure
সংগ্ৰাম	struggle
জেদী	stubborn
ছাত্ৰ	student
বস্তু	stuff
অঁকৰা	stupid
শৈলী	style
বিষয়	subject
পদাৰ্থ	substance
প্ৰতিস্থাপিত	substitute
সূক্ষ্ম	subtle
সফলতা	success
সফল	successful
তেনে	such
যেনে	such as
চুষক	suck
আকস্মিক	sudden
হঠাতে	suddenly
ভোগা	suffer
কষ্ট	suffering
পৰ্যাপ্ত	sufficient
চেনি	sugar
পৰামৰ্শ	suggestion
যোগ্য	suitable
চুটকেছ	suitcase
মুঠ	sum
সাৰাংশ	summary
গ্ৰীষ্ম	summer
সন্মিলন	summit
সূৰ্য	sun
দেওবাৰ	sunday
সূৰ্যাস্ত	sunset
ৰ’দ	sunshine
অতি	super
শ্ৰেষ্ঠ	superior
পৰ্যবেক্ষক	supervisor
যোগান	supply
সমৰ্থন	support
নিশ্চয়	sure
পৃষ্ঠ	surface
ঢৌ	surge
অস্ত্ৰোপচাৰ	surgery
উপাধি	surname
সমৰ্পণ	surrender
চাৰিওফালে	surrounding
নিৰীক্ষণ	surveillance
জৰীপ	survey
সন্দেহ	suspect
সন্দেহজনক	suspicious
স্থিৰতা	sustainability
বহনক্ষম	sustainable
লুট	swag
গিলা	swallow
অদলবদল	swap
শপত	swear
ঘাম	sweat
ছুৱেটাৰ	sweater
মিঠা	sweet
সোণজনী	sweetheart
সাঁতোৰ	swim
সাঁতোৰ	swimming
ঝুলা	swing
চুইচ	switch
তৰোৱাল	sword
চিহ্ন	symbol
সহানুভূতি	sympathy
লক্ষণ	symptoms
পদ্ধতি	system
মেজ	table
চম্ভালা	tackle
টেগ	tag
নেজ	tail
লোৱা	take
লোৱা	taken
কথকী	talkative
ওখ	tall
টিপক	tap
টেপ	tape
লক্ষ্য	target
কাৰ্য	task
সোৱাদ	taste
শিকাইছিল	taught
চাহ	tea
শিক্ষণ	teach
শিক্ষক	teacher
দল	team
চকুপানী	tear
চকুপানী	tears
জোকোৱা	tease
প্ৰযুক্তি	technology
দাঁত	teeth
কওক	tell
খং	temper
তাপমান	temperature
মন্দিৰ	temple
অস্থায়ী	temporary
দহ	ten
ভাড়াতীয়া	tenant
প্ৰৱণতা	tend
প্ৰৱণতা	tendency
নিবিদা	tender
কাল	tense
দুঃচিন্তা	tension
তম্বু	tent
সম্ভাব্য	tentative
কাল	term
চৰ্তাৱলী	terms
ভয়ানক	terrible
সাংঘাতিক	terrific
অঞ্চল	territory
পৰীক্ষা	test
পাঠ্য	text
ধন্যবাদ	thank
ধন্যবাদ	thanks
ধন্যবাদ	thank you
সেইটো	that
চুৰি	theft
তেওঁলোকৰ	their
তেওঁলোকক	them
বিষয়বস্তু	theme
তেতিয়া	then
তত্ত্ব	theory
তাত	there
সেয়েহে	therefore
এইবিলাক	these
তেওঁলোক	they
শকত	thick
চুৰ	thief
কৰঙন	thigh
পাতল	thin
বস্তু	thing
বস্তুবোৰ	things
তৃতীয়	third
তেৰ	thirteen
ত্ৰিশ	thirty
এইটো	this
এইটো	this is
পুংখানুপুংখ	thorough
ভালদৰে	thoroughly
সেইবিলাক	those
যদিও	though
ভাবিছিল	thought
বিচাৰশীল	thoughtful
চিন্তা	thoughts
এশ	thousand
সূতা	thread
ভাবুকি	threat
ভাবুকি	threaten
তিনি	three
দুৱাৰডলি	threshold
ৰোমাঞ্চিত	thrilled
নেলু	throat
মাজেদি	through
সৰ্বত্ৰ	throughout
দলিওৱা	throw
বজ্ৰপাত	thunder
বৃহস্পতিবাৰ	Thursday
গতিকে	thus
টিক্চিহ্ন	tick
চফা	tide
পৰিপাটি	tidy
বন্ধা	tie
বাঘ	tiger
টান	tight
টিগৰিন্যা	Tigrinya
সময়	time
ভয়াতুৰ	timid
ক্ষুদ্ৰ	tiny
কিটিপ	tip
কিটিপসমূহ	tips
ক্লান্ত	tire
ভাগৰুৱা	tired
টিছ্যু	tissue
অলপ	title
লৈ	to
ট’ষ্ট	toast
হ’বলৈ	to be
আজি	today
কেঁচুৱা	toddler
একেলগে	together
শৌচাগাৰ	toilet
কৈছিল	told
সহনশীলতা	tolerance
সহনশীল	tolerate
বিলাহী	tomato
কাইলৈ	tomorrow
জিভা	tongue
লগতে	too
লৈছিল	took
সঁজুলি	tool
সঁজুলি	tools
দাঁত	tooth
শীৰ্ষ	top
বিষয়	topic
ফটা	torn
নিৰ্যাতন	torture
মুঠ	total
স্পৰ্শ	touch
কঠিন	tough
যাত্ৰা	tour
দিশে	toward
টাৱেল	towel
চহৰ	town
বিষাক্ত	toxic
দাগ	trace
ট্ৰেক	track
বাণিজ্য	trade
পৰম্পৰা	tradition
পৰম্পৰাগত	traditional
ট্ৰেফিক	traffic
গমনপথ	trail
ৰেলগাড়ী	train
প্ৰশিক্ষণ	training
বৈশিষ্ট্য	trait
বৈশিষ্ট্যসমূহ	traits
স্থানান্তৰ	transfer
স্থানান্তৰ	transition
স্বচ্ছ	transparent
পৰিবহন	transport
পৰিবহন	transportation
ফান্দ	trap
আৱৰ্জনা	trash
ক্ষতি	trauma
ভ্ৰমণ	travel
ট্ৰে	tray
গুপ্তধন	treasure
উপচাৰ	treatment
গছ	tree
প্ৰচণ্ড	tremendous
পৰীক্ষণ	trial
কৌশল	trick
ট্ৰিগাৰ	trigger
যাত্ৰা	trip
সমস্যা	trouble
ট্ৰাউজাৰ	trousers
ট্ৰাক	truck
সঁচা	true
মূঢ়া	trunk
বিশ্বাস	trust
সত্য	truth
সোংগা	Tsonga
টিউৱ	tube
মঙ্গলবাৰ	Tuesday
টিউশ্যন	tuition
তুৰ্কী	turkey
হালধি	turmeric
কেঁকুৰি	turn
কাছ	turtle
টিউটৰ	tutor
বাৰ	twelve
বিশ	twenty
একৈশ	twenty-one
ট্বী	Twi
দুবাৰ	twice
পাক	twist
দুই	two
প্ৰকাৰ	type
সাধাৰণ	typical
কুত্‍সিত	ugly
চূড়ান্ত	ultimate
ছাতি	umbrella
অক্ষম	unable
খুড়া	uncle
মামা	uncle
অচেতন	unconscious
অধীনত	under
তলত	underneath
নিম্নদৰ	underrated
দুৰ্ভাগ্যবশতঃ	unfortunately
অনন্য	unique
একক	unit
বিশ্ববিদ্যালয়	university
অজ্ঞাত	unknown
নহ’লে	unless
যেতিয়ালৈকে	until
অসাধাৰণ	unusual
ওপৰত	up
নবীকৰণ	update
ওপৰত	upon
বিমৰ্ষ	upset
নগৰ	urban
তাড়না	urge
আমাক	us
ব্যৱহাৰ	use
ব্যৱহৃত	used
উপযোগী	useful
অদৰকাৰী	useless
সচৰাচৰ	usual
সাধাৰণতে	usually
ছুটী	vacation
টিকাকৰণ	vaccination
ভেকচিন	vaccine
তৰংগ	vague
মান্য	valid
উপত্যকা	valley
মূল্যৱান	valuable
মান	value
বৈচিত্ৰ্য	variety
বিভিন্ন	various
ভিন্ন	vary
ফুলদানী	vase
বিশাল	vast
শাক-পাচলি	vegetable
শাক-পাচলি	vegetables
বাহন	vehicle
বিক্ৰেতা	vendor
বিষ	venom
উদ্যম	venture
বহুমুখী	versatile
সংস্কৰণ	version
উলম্ব	vertical
অতি	very
পাত্ৰ	vessel
যোগেদি	via
অনুভূতি	vibe
অনুভূতি	vibes
দুষ্ট	vicious
চিকাৰ	victim
ভিডিঅ’	video
দৰ্শন	view
গাওঁ	village
খলনায়ক	villain
ভিনেগাৰ	vinegar
পুৰণিকালৰ	vintage
হিংসা	violence
হিংসাত্মক	violent
বিষাক্ত	viral
কুমাৰী	virgin
অপাৰ্থিৱ	virtual
গুণ	virtue
দৃষ্টি	vision
চাক্ষুষ	visual
গুৰুত্বপূৰ্ণ	vital
শব্দভাণ্ডাৰ	vocabulary
কণ্ঠ	voice
পৰিমাণ	volume
স্বেচ্ছাসেৱক	volunteer
বমি	vomit
দুৰ্বল	vulnerable
দৰমহা	wage
মজুৰি	wages
কঁকাল	waist
ৱেইটাৰ	waiter
জাগ্ৰত	wake
খোজকঢ়া	walk
দেৱাল	wall
বিচৰা	wanna
বিচৰা	want
বিচাৰিছিল	wanted
যুদ্ধ	war
আলমাৰি	wardrobe
গোদাম	warehouse
উষ্ণ	warm
সতৰ্কবাণী	warning
যোদ্ধা	warrior
আছিল	was
ধুৱা	wash
আৱৰ্জনা	waste
চোৱা	watch
পানী	water
তৰমুজ	watermelon
সোঁত	wave
পথ	way
আমি	we
দুৰ্বল	weak
দুৰ্বলতা	weakness
সম্পত্তি	wealth
সমৃদ্ধিশালী	wealthy
পিন্ধা	wear
বতৰ	weather
বিবাহ	wedding
বুধবাৰ	Wednesday
ঘাঁহ	weed
সপ্তাহ	week
সপ্তাহান্ত	weekend
ওজন	weight
অদ্ভুত	weird
স্বাগতম	welcome
কল্যাণ	welfare
বাৰু	Well
বঢ়িয়া	well done
গৈছিল	went
পশ্চিম	west
ভিজা	wet
কি	what
কি	what is
ঘেঁহু	wheat
চকা	wheel
কেতিয়া	when
যেতিয়াই	whenever
ক’ত	where
কোনটো	which
যেতিয়া	while
সুহুৰি	whistle
বগা	white
কোন	who
গোটা	whole
কাক	whom
কাৰ	whose
কিয়	why
দুষ্ট	wicked
বহল	wide
বিধৱা	widow
প্ৰস্থ	width
পত্নী	wife
বনৰীয়া	wild
জয়	win
বায়ু	wind
খিৰিকী	window
সুৰা	wine
শীতকাল	winter
মচা	wipe
তাঁৰ	wire
জ্ঞান	wisdom
জ্ঞানী	wise
ডাইনী	witch
সৈতে	with
প্ৰত্যাহাৰ	withdrawal
ভিতৰত	within
অবিহনে	without
সাক্ষী	witness
বিনোদ	witty
কুকুৰনেছীয়া	wolf
মহিলা	woman
মহিলা	women
জিকিছিল	won
আশ্চৰ্য	wonder
বঢ়িয়া	wonderful
নকৰিব	won't
কাঠ	wood
ঊল	wool
শব্দ	word
শব্দ	words
কাম	work
বিশ্ব	world
পোক	worm
উদ্বিগ্ন	worried
উপাসনা	worship
মূল্য	worth
মূল্যৰ	worth it
যোগ্য	worthy
ঘাঁ	wound
ৱাঃ	Wow
মেৰিওৱা	wrap
মণিবন্ধ	wrist
লিখা	write
লিখনি	writing
অশুদ্ধ	wrong
লিখিছিল	wrote
গজ	yard
হামিওৱা	yawn
হয়	Yeah
বছৰ	year
বছৰবোৰ	years
কিণ্ব	yeast
চিঞৰা	yell
হালধীয়া	yellow
হয়	Yes
কালি	yesterday
এতিয়ালৈকে	yet
আপুনি	you
যুৱ	young
আপোনাৰ	your
যুৱকাল	youth
আপুনিও	you too
সুস্বাদু	yummy
শূন্য	zero
প্ৰয়োজনতকৈ অধিক চিন্তা	overthinking
বিশেষ অধিকাৰ	privilege
লৈ অনা	fetch
উলিয়াই অনা	withdraw
গুগল অনুবাদ	Google Translate
মোৰ অনুমান	i guess
ইয়াক অব্যাহত ৰাখক	keep it up
জটিল অৱস্থা	critical
গোটেই অংশ	gross
গুৰুত্বপূৰ্ণ অংশ	highlight
বৰ্জিত অংশ	scrap
আপোনাক অশেষ ধন্যবাদ	thank you very much
বৈ অহা	flow
সান্ধ্য আইন বলবত্‍ হোৱা কাল	curfew
সময়তকৈ আগত	ahead
বুঢ়া আঙুলি	thumb
ভৰিৰ আঙুলি	toes
মোৰ আছিল	I had
এইটো আছিল	it was
মই আছিলোঁ	I have been
মই আছিলোঁ	I was
ঠিক আছে	all right
ঠিক আছে	Alright
আহি আছে	coming
আহি আছে	coming soon
মৰি আছে	dying
তেওঁৰ আছে	he has
মোৰ আছে	I have
ঠিক আছে	it's ok
ঠিক আছে	ok
ঠিক আছে	okay
খেলি আছে	playing
বাকী আছে	remain
তাইৰ আছে	she has
শুই আছে	sleeping
তাত আছে	there are
তাত আছে	there is
পিন্ধি আছে	wearing
ক’ত আছে	where is
আপুনি আছেনে	are you there
ঠিক আছে প্ৰিয়তম	ok dear
ঠিক আছে প্ৰিয়তম	ok honey
ঠিক আছে মোৰ প্ৰিয়তম	ok my love
ঠিক আছে সোণ	okay baby
ঠিক আছে সোণ	okay dear
কৰি আছো	doing
গৈ আছো	going
আমি আছো	we are
আপোনাৰ আজি কেনেকুৱা	how are you today
মোৰ আনন্দ	my pleasure
মেক আপ	make up
আৰু আপুনি	and you
নমস্কাৰ আপুনি কেনে আছে	hello how are you
ম‍ই আপোনাক চাব বিচাৰোঁ	I want to see you
ম‍ই আপোনাক বৰ ভাল পাওঁ	I love you so much
মই আপোনাক বুজি নাপাওঁ	I don't understand you
মই আপোনাক ভাল পাওঁ	I love you
ময়ো আপোনাক ভাল পাওঁ	I love you too
সোনকালেই আপোনাক লগ পাম	see you soon
নমস্কাৰ, আপোনাৰ কি খবৰ	hi how are you
আজি আপোনাৰ কেনে	how are you doing today
মোলৈ আপোনাৰ ছৱি পঠিয়াওক	send me your picture
নমস্কাৰ, আপোনাৰ ভাল নে	hello how are you doing
শুভ আবেলি	good afternoon
উৰিবলৈ আৰম্ভ কৰা	take off
সোনকালে আৰোগ্য হওক	get well soon
ইয়ালৈ আহক	come here
পুৱাৰ আহাৰ	breakfast
নৈশ আহাৰ	dinner
দুপৰীয়াৰ আহাৰ	lunch
লঘু আহাৰ	snack
আপোনালৈ ইমানকৈ মনত পৰে	I miss you so much
আপুনি ইমান ধুনীয়া	you are so beautiful
ম‍ই ইয়াত	I'm here
ম্যাদ উকলিছে	expired
জিলিকি উঠিব	glow up
অতি উত্তম	excellent
ধন উভতোৱা	refund
বিচাৰি উলিওৱা	find out
সুখেৰে এই দিনটো আকৌ উভতি আহে যেন	many many happy returns of the day
কিহবাৰ এক চতুৰ্থাংশ	quarter
প্ৰচলিত এক নতুন ধাৰা	trend
ইয়াত একেই	Same here
কোনো এজনে	anyone
কোনোবা এজনে	someone
অন্য এটা	another
যিকোনো এটা	either
কিবা এটা	something
আপুনি এতিয়াও আছেনে?	Are you still there?
আপুনি এতিয়া ক’ত আছে	where are you now
আপুনি এতিয়া কি কৰিছে	what are you doing now
আপুনি এতিয়া কি কৰিছে	what are you doing right now
আমাৰ এপসমূহ ব্যৱহাৰ কৰাৰ বাবে ধন্যবাদ	Thanks for using our app
কাৰোবাৰ ওপৰত চকু ৰখা	monitor
আপোনাৰ ওপৰতে	up to you
জন্মদিনৰ ওলগ জনালোঁ	happy birthday
মোক কওক	tell me
পাতলকৈ কটা	trim
খোজ কঢ়া	walking
লগত কঢ়িয়াই নিয়া সামগ্ৰী	luggage
আপুনি ক’ত আছে	where are you
আপুনি ক’ত থাকে	where do you live
মিছা কথা	lies
কল্পিত কথা	myth
কোনো কথা নাই	never mind
কোনো কথা নাই	nevermind
খুব কম	few
আগতকৈ কম	fewer
খুব কম	hardly
সবাতোকৈ কম	least
অতি কমেও	at least
প্ৰয়োগ কৰক	apply
বাতিল কৰক	Cancel
পৰীক্ষা কৰক	check
বাছনি কৰক	choose
স্পষ্ট কৰক	clarify
সংযুক্ত কৰক	connect
যোগাযোগ কৰক	contact
সম্পাদনা কৰক	edit
ফূৰ্তি কৰক	enjoy
যোগদান কৰক	join
আৰম্ভ কৰক	start
দাখিল কৰক	submit
অপেক্ষা কৰক	wait
আপোনাৰ ক’ৰ পৰা আহিছে	where are you from
পৰিত্যক্ত কৰা	abandoned
গ্ৰহণ কৰা	accept
প্ৰাপ্ত কৰা	achieve
স্বীকাৰ কৰা	acknowledge
কাৰ্য কৰা	action
যোগ কৰা	add
প্ৰশংসা কৰা	admire
প্ৰভাৱিত কৰা	affect
ভয় কৰা	afraid
প্ৰশংসা কৰা	appreciate
অভিমূল্যন কৰা	appreciation
তৰ্ক কৰা	argue
মূল্যাংকন কৰা	assess
নিযুক্ত কৰা	assign
ধাৰণা কৰা	assume
সংলগ্ন কৰা	attach
চেষ্টা কৰা	attempt
দৰদাম কৰা	bargain
ভাৰবহন কৰা	bearing
প্ৰহাৰ কৰা	beat
আৰম্ভ কৰা	begin
বেঁকা কৰা	bend
পক্ষপাত কৰা	biased
দায়ী কৰা	blame
আশীৰ্বাদ কৰা	bless
অৱৰুদ্ধ কৰা	block
প্ৰচাৰ কৰা	boost
ধাৰ কৰা	borrow
ক্ৰয় কৰা	buy
কল কৰা	call
বন্দী কৰা	capture
পালন কৰা	carry out
সলনি কৰা	change
স্নেহ কৰা	cherish
দাবী কৰা	claim
উত্‍সাহিত কৰা	come on
তুলনা কৰা	compare
তুলনা কৰা	comparison
অভিযোগ কৰা	complain
সম্পূৰ্ণ কৰা	complete
আপোচ কৰা	compromise
মনোনিবেশ কৰা	concentrate
স্বীকাৰ কৰা	confess
বিবেচনা কৰা	consider
গ্ৰাস কৰা	consume
ব্যক্ত কৰা	convey
হিচাপ কৰা	count
সৃষ্টি কৰা	create
গুড়ি কৰা	crush
আলিংগন কৰা	cuddle
অনুকুলন কৰা	custom
অস্বীকাৰ কৰা	decline
সংজ্ঞায়িত কৰা	define
পলম কৰা	delay
বিলি কৰা	deliver
বিলি কৰা	delivery
দাবী কৰা	demand
প্ৰত্যাখ্যান কৰা	deny
নিয়োজিত কৰা	deploy
বৰ্ণনা কৰা	describe
ধ্বংস কৰা	destroy
চিনাক্ত কৰা	detect
নিৰ্দ্ধাৰণ কৰা	determine
বিকাশ কৰা	develop
খনন কৰা	dig
বৰ্জন কৰা	discard
আৱিষ্কাৰ কৰা	discover
আলোচনা কৰা	discuss
পাৰ্থক্য কৰা	distinguish
আমনি কৰা	disturb
ভাগ কৰা	divide
দান কৰা	donate
পান কৰা	drink
বাস কৰা	dwell
উপাৰ্জন কৰা	earn
বিব্ৰত কৰা	embarrassing
সক্ষম কৰা	enable
বিৰোধিতা কৰা	encounter
সহ্য কৰা	endure
বৰ্ধন কৰা	enhance
নিশ্চিত কৰা	ensure
প্ৰৱেশ কৰা	enter
স্থাপন কৰা	establish
মূল্যায়ন কৰা	evaluate
পৰীক্ষা কৰা	examine
কাৰ্যান্বিত কৰা	execute
কাৰ্যান্বিত কৰা	execution
সম্প্ৰসাৰণ কৰা	expand
আশা কৰা	expect
ব্যাখ্যা কৰা	explain
অণ্বেষণ কৰা	explore
প্ৰকাশ কৰা	express
নিষ্কাশন কৰা	extract
উপলভ্য কৰা	facilitate
অনুভৱ কৰা	feel
যুঁজ কৰা	fighting
নিৰ্ধাৰণ কৰা	figure out
সন্ধান কৰা	find
সমাপ্ত কৰা	finished
ঠিক কৰা	fix
ওলোটা কৰা	flip
অনুসৰণ কৰা	follow
ক্ষমা কৰা	forgive
লাভ কৰা	gain
সৃষ্টি কৰা	generate
অনুসৰণ কৰা	ghosting
পৰিত্যাগ কৰা	give up
সম্বোধন কৰা	greet
ৰক্ষা কৰা	guard
অনুমান কৰা	guess
আনন্দ কৰা	have fun
সংকোচ কৰা	hesitate
পৰ্বতাৰোহণ কৰা	hiking
ভাড়া কৰা	hire
সোনকাল কৰা	hurry up
চিনাক্ত কৰা	identify
অগ্ৰাহ্য কৰা	ignore
কল্পনা কৰা	imagine
প্ৰয়োগ কৰা	implement
আৰোপ কৰা	impose
প্ৰভাৱিত কৰা	impress
উন্নত কৰা	improve
বৃদ্ধি কৰা	increase
অৱগত কৰা	inform
প্ৰবিষ্ট কৰা	insert
জোৰ কৰা	insist
অনুপ্ৰাণিত কৰা	inspire
স্থাপন কৰা	install
ভাৱ-বিনিময় কৰা	interact
বিনিয়োগ কৰা	invest
অনুসন্ধান কৰা	investigate
ব্যায়াম কৰা	jogging
মাত্ৰ কৰা	just do it
ধেমালি কৰা	kidding
স্থাপন কৰা	lay
পচন্দ কৰা	like
নিৰ্মাণ কৰা	make
ব্যৱস্থাপনা কৰা	manage
মীমাংসা কৰা	negotiate
অনুভৱ কৰা	observe
প্ৰাপ্ত কৰা	obtain
বন্ধ কৰা	off
পৰিশোধ কৰা	pay
প্ৰস্ৰাৱ কৰা	pee
সম্পাদন কৰা	perform
অধিকাৰ কৰা	possess
প্ৰশংসা কৰা	praise
ধেমালি কৰা	prank
প্ৰাৰ্থনা কৰা	pray
পক্ষপাত কৰা	prejudice
প্ৰতিৰোধ কৰা	prevent
প্ৰচাৰ কৰা	promote
ৰক্ষা কৰা	protect
প্ৰমাণ কৰা	prove
প্ৰদান কৰা	provide
প্ৰদান কৰা	provided
ক্ৰয় কৰা	purchase
অনুসৰণ কৰা	pursue
বৃদ্ধি কৰা	raise
চিনাক্ত কৰা	recognize
ৰিডীম কৰা	redeem
হ্ৰাস কৰা	reduce
অস্বীকাৰ কৰা	refuse
পঞ্জীয়ন কৰা	register
অনুশোচনা কৰা	regret
সম্পৰ্কিত কৰা	relate
প্ৰৰ্তিস্থাপন কৰা	replace
অভিযোগ কৰা	report
বিৰোধ কৰা	resist
বিৰোধ কৰা	resistance
উদ্ধাৰ কৰা	retrieve
প্ৰকাশ কৰা.	reveal
খৰধৰ কৰা	rush
সন্তুষ্ট কৰা	satisfy
সঞ্চয় কৰা	save
জব্দ কৰা	seize
চয়ন কৰা	select
বিক্ৰী কৰা	sell
প্ৰেৰণ কৰা	sent
সেৱা কৰা	serve
স্থাপন কৰা	set
নিষ্পত্তি কৰা	settle
স্থাপন কৰা	set up
ভাগ-বতৰা কৰা	share
স্থানান্তৰ কৰা	shift
নিক্ষেপ কৰা	shoot
বজাৰ কৰা	shopping
নষ্ট কৰা	spoil
নষ্ট কৰা	spoiled
প্ৰসাৰিত কৰা	stretch
আঘাত কৰা	strike
চেষ্টা কৰা	strive
অধ্যয়ন কৰা	study
দাখিল কৰা	submission
আচৰিত কৰা	surprise
চিন্তা কৰা	think
অনুবাদ কৰা	translate
ব্যৱহাৰ কৰা	treat
চেষ্টা কৰা	try
বিকশিত কৰা	upgrade
সত্যাপন কৰা	verify
দৰ্শন কৰা	visit
সতৰ্ক কৰা	warn
বাঞ্চা কৰা	wish
ব্যায়াম কৰা	work out
চিন্তা কৰা	worry
উত্‍পাদন কৰা	yield
ছুৰিৰে কৰা আঘাত	stab
ঘৰত কৰা কাম	homework
আবণ্টন কৰা কাৰ্য	assignment
নিক্ষেপ কৰা কাৰ্য	shot
বিলি কৰা হ’ল	delivered
চেষ্টা কৰা হৈছিল	tried
সংলগ্ন কৰা হৈছে	attached
দাবী কৰা হৈছে	demanding
অস্বীকাৰ কৰা হৈছে	denied
আশা কৰা হৈছে	expected
আশা কৰা হৈছে	hopefully
লক্ষ্য কৰা হৈছে	noticed
প্ৰস্তুত কৰা হৈছে	prepared
উপলব্ধি কৰা হৈছে	realized
প্ৰাপ্ত কৰা হৈছে	received
অস্বীকাৰ কৰা হৈছে	refused
চুৰি কৰা হৈছে	stolen
