abandoned	सोडून वचप
monitor	मॉनिटर
monkey	माकड
month	म्हयनो
moody	लहरी
mood	लहर
moon	चंद्रीम
moral	उपदेश
moreover	आनीक
moreover	तेभायर
more	चड
morning	सकाळ
mortgage	घाणवट
mortgage	घाणाक दवरिल्ली वस्त
mortgage	तारण
mostly	चडशें
most	चडशें
mother	आवय
motion	गती
motivation	उर्बां
motivation	प्रोत्साहन
mountain	दोंगर
mountain	पर्वत
mouse	उंदीर
mouth	तोंड
movement	हालचाल
move	हालोवचें
movie	मुव्ही
mrs	श्रीमती
much	कितले
much	खूब
mud	चिखल
mug	मग
muscle	स्नायू
museum	वस्तुसंग्रहालय
mushroom	अळमें
music	संगीत
must	आसूंकूच जाय
must	फावो
mute	मोनो
mutual	परस्पर
mutual	म्युच्युअल
My dear	म्हजे मोगाळ
my friend	म्हजे इश्टा
My hovercraft is full of eels	म्हजें होवरक्राफ्ट हिचणांनी भरलां
my love	म्हजे मोगा
my name is	म्हजें नांव आसा
my pleasure	तुमकां पावप म्हजेखातीर सुखदिणें
myself	हांव
mysterious	रहस्यमय
mystery	रहस्य
myth	दंतकथा
my	म्हजें
nail	नाकुट
naive	भावार्थी
name	नांव
narrative	भाशांतर करपायोग्य
narrow	अरुंद
nasty	घाणयारें
nasty	दुश्ट
nationality	राष्ट्रीयत्व
national	राष्ट्रीय
native	थळावो
natural	सैमीक
nature	सैम
nausea	ओंकारो
nearby	लागसरचें
nearly	लागीं लागीं
near	लागसार
near	लागीं
neat	जुस्ताजुस्त
neat	नीट
neat	वेवस्थीत
necessary	गरजेचें
necessary	म्हत्वाचें
necklace	हार
neck	मान
need	गरज
negative	नकारात्मक
negative	नेगेटीव
neglect	दुर्लक्ष
negotiate	घासाघीस
neighborhood	शेजारधर्म
neighbor	शेजारी
neither	खंयचेंच न्हय
nephew	पुतणो
nephew	भाचो
nerd	समाजघाणो
nervous	नेर्वोझ
nervous	भिवकुटें
nest	घोटेर
network	नॅटवर्क
net	एकंदरीत
net	जाळें
neutral	तटस्थ
never give up	केन्नाच निरशेवचें न्हय
never give up	केन्नाच सोडून दिवचें न्हय
nevermind	काय नजो
never mind	कांय नजो
nevermind	हरकत ना
nevertheless	अशें आसुनूय
nevertheless	तरीय
never	केन्नाच ना
news	खबरो
new	नवें
next to	हाचे फुडलें
next	फुडें
nice to meet you	तुमकां मेळून बरें दिसलें
nice	खूब बरें
nice	सोबीत
niece	पुतळी
niece	भाची
nightmare	धास्ती
night	रात
nineteen	एकोणीस
ninety	णव्वद
nine	णव
nobody	कोणूच न्हय
noise	आवाज
noise	ध्वनी
noisy	आवाजाचें
none	कांयच ना
noon	दनपार
nope	ना
no problem	कांय नजो
no problem	समस्या कांयच ना
normal	सामान्य
north	उत्तर
nor	तेय ना
nose	नाक
nostalgic	घरची ओड
not at all	नाच्च
not at all	सामकेंच न्हय
not bad	ततिलेशें वायट ना
noted	नामनेचो
noted	नोंद घेतली
note	टीप
note	नोंद घेवची
nothing	कांयच ना
noticed	दिसून आयलां
notice	नोटीस
notice	सुचोवणी
Not now	आतां न्हय
not yet	अजून न्हय
not	ना
not	न्हय
nouns	नाम
noun	नाम
novel	कादंबरी
november	नोव्हेंबर
nowadays	आतांच्या दिसांनी
no way	केन्नाच ना
now	आतां
No	ना
nuisance	उपद्रव
null	शुन्य
number	आंकडो
numb	भेरावप
numb	सुस्त
nurse	नर्स
nutmeg	जायफळ
nutrition	पोशक
nut	बी
oath	सोपूत
obesity	जाडी
obey	पाळो दिवप
objective	उद्देश्य
object	ऑब्जॅक्ट
object	वस्तू
obligation	लागणूक
obscure	गूढ
observation	निरिक्षण
observe	निरिक्षण करचें
obsessed	आंगार येवप
obsessed	भूतबादा जावप
obsession	पिशें
obsolete	अमर्याद
obsolete	निजाचें
obstacle	आडमेळीं
obtained	मेळ्ळें
obtain	प्राप्त
obtain	मेळोवप
obtain	संपादन
obviously	सकृतदर्शनी
obviously	सहजतायेन
obvious	प्रत्यक्ष
obvious	सहज
occasionally	केन्नाकेन्नाय
occasionally	प्रासंगीक
occupation	वेवसाय
occupied	सुवात घेतल्या
occurred	घडलें
occurs	घडटा
occur	घडटा
ocean	म्हासागर
october	ऑक्टोबर
odds	वितुश्ट
odd	विचित्र
odd	विशम
of course	नक्की
of course	शॅर्त
offensive	अपमानकारक
offer	ऑफर
offer	प्रस्ताव
office	कचेरी
official	अधिकृत
off	बंद करचें
often	चडशेदां
of	चें
oh really	अशें ख-यानीच
Oh	अरेरे
Oh	ओ
oil	तेल
okay baby	बरें बाय
okay dear	बरें मोगा
okay honey	बरें मोगा
okay my love	बरें म्हजे मोगा
okay	बरें आसा
ok dear	ओके मोगा
ok honey	बरें भांगरा
ok my love	बरें म्हजे मोगा
ok	बरें
old	पोरणें
once	एकदां
one language is never enough	आमकां एक भास खबर आसून कांयच फायदो ना
one	एक
onion	कांदो
onion	पियांव
online	ऑनलायन
only	फकत
on	हाचेर
open	उकतें
open	उगडप
operation	ऑपरेशन
opinion	अभिप्राय
opinion	मत
opportunities	संद्यो
opportunity	संद
opposite	आड
opposite	विरुध्द
optimistic	आशावादी
optional	पर्यायी
option	पर्याय
orange	संत्र
order	आदेश
order	क्रम
ordinary	हलकें
organization	संघटणा
orientation	कल
original	मूळ
origin	मूळ
Oromo	ओरोमो
orphan	अनाथ
or	वा
otherwise	अन्यथा
otherwise	नाजाल्यार
other	हेर
ought	गरज आसा
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	आमचें ध्येय: जण एकल्याक, जगाच्या खंयच्याय कोनशाक जग समजून घेवंक आनी भाशेंत व्यक्त जावंक सक्षम करप.
Our mission: to organize the world's information and make it universally accessible and useful.	आमचें ध्येय: जगातली म्हायती एकठांय करप आनी ती सगल्याक पावतली आनी उपेगाक ये सारकी करप.
our	आमचें
outcome	निष्पत्ती
outfit	पोशेग
outgoing	आवटगोईंग
outlet	आउटलेट
outline	रुपरेखा
outside	भायर
outstanding	सर्वोत्तम
out	बाद
oven	ओवन
overall	एकंदरीत
overcome	मात करप
over there	थंयसर
overthinking	अतिविचार
overwhelmed	चिड्डप
overwhelmed	नाकापुरो करप
overwhelming	हरोवप
over	चेर
owe	रिणांत आसपी
owl	घुगूम
owner	धनी
own	धनी
own	मालकी
own	स्वताचें
ox	बैल
pace	वेग
package	पॅकेज
pack	पॅक
paid	फारीक केल्लें
painting	चित्रकला
painting	पितारप
paint	पितारप
paint	रंग
pain	दुखप
pain	वेदना
pair	जोडी
pale	निस्तेज
palm	माडा झाड
pandemic	म्हामारी
panic	आकांत
pants	पॅण्ट्स
pan	पान
pan	पॅन
paper	कागद
paradise	सर्ग
parallel	समांतर
parcel	पार्सल
pardon	क्षमा
pardon	भोगसणी
pardon	माफी
parents	पालक
park	उद्यान
parrot	पोपट
parsley	ओवो
parsley	वोंवो
participate	वांटेकार
participate	सहभागी
particularly	थारावीक
particular	थारावीक
partner	भागीदार
party	पक्ष
party	पार्टी
part	भाग
passage	उतारो
passage	पांयवाट
passage	मार्ग
passed	उत्तिर्ण जालो
passed	पास जालें
passed	संवसाराक अंतरलो
passionate	भावनाविवश
passion	इत्सा
passive	निश्क्रीय
passive	सोंशीक
password	पासवर्ड
pass	उत्तिर्ण
pass	पास
past	आदलें
past	भूतकाळ
patch	थिगळ
patch	पॅच
pathetic	करुणाजनक
path	मार्ग
path	रस्तो
patience	पासियेंस
patient	पासिंयेंस
pattern	पद्दत
pause	रावप
pavement	पासेयेची वाट
payment	फारीकसाण
pay	फारीक करचें
peaceful	शांत
peace	शांती
peach	जरदाळु
peak	शिखर
pear	पिअर
peas	मटर
peculiar	विचित्र
peel	सोलप
peers	पिअर्स
peer	पिअर
pee	मूतप
pencil	पॅन्सील
pending	अनिर्णित
pending	प्रलंबीत
pen	पॅन
people	लोक
pepper	मिरयां
perceive	जाणविकाय
perception	समज
perfect	अचूक
perfect	योग्य
perfect	रास्त
performance	सादरीकरण
perform	सादर करप
perhaps	कदाचीत
period	कालावधी
period	मासीक पाळी
permanent	कायमचें
permission	अनुमती
permit	अनुमती
perseverance	चिकाटी
persistent	सातत्यान
personality	व्यक्तिमत्व
personal	खाजगी
person	व्यक्ती
perspective	दृश्टीकोण
persuade	मन घुंवडावप
persuade	समजावप
pervert	विकृत करप
pet	पाळीव
phase	टप्पो
phenomenon	घडणूक
phenomenon	विलक्षण
philosophy	तत्वज्ञान
phone	फोन
photo	फोटो
phrase	वाक्प्रचार
physical	भौतिक
physical	शारीरिक
pick up	पिक अप
pick up	व्हरप
pick up	स्वारी व्हरप
pick	वेंचप
picture	चित्र
pieces	कुडके
piece	कुडको
pigeon	कबुतर
pigeon	पारवो
pig	दुकर
pile	रास
pillow	उशें
pilot	पायलट
pineapple	अनस
pink	गुलाबी
pin	पिन
pitch	पिच
pity	दया
pit	फोंडकूल
places	सुवाती
place	सुवात
plague	प्लेग
plain	सपाट
plain	सरळ
plane	विमान
plants	वनस्पती
plant	वनस्पत
plan	प्लान
plate	ताट
plate	बशी
platform	माची
playing	खेळप
play	खेळप
pleasant	मनोहर
pleasant	मोहक
pleased	खोस जाली
please	उपकार करून
pleasure	आनंद
pledge	तारण
plenty	खूब
plot	कुडको
plot	प्लॉट
plug	प्लग
plumber	प्लंबर
plum	बोर
plural	अनेकवचन
podcast	पोडकास्ट
poem	कविता
poetry	कविता
point	गूण
point	बिंदू
poison	विश
poison	वीख
police	पुलिस
policy	धोरण
polite	थंड
polite	नम्र
pollution	प्रदुशण
pond	तळें
pool	पूल
pool	साकंव
poop	भितल्लें
poor	गरीब
poor	दुबळो
popular	लोकप्रिय
population	लोकसंख्या
pop	पॉप
pork	पोर्क
porridge	पेज
port	बंदर
position	सुवात
position	स्थिती
positive	पोझिटिव
positive	सकारात्मक
possession	ताबो
possessive	कब्जाचें
possess	ताब्यात आसप
possess	स्वताकडेन आसप
possible	शक्य
postpone	फुडें धुकलप
post	पोस्ट
potato	बटाट
potential	संभाव्य
pound	तळें
pound	पौंंड
poverty	गरिबी
powerful	बळिश्ट
power	बळ
practical	वेव्हारीक
practice	सराव
praise	स्तुती
prank	मस्करी
pray	प्रार्थना
precious	मोलादीक
precisely	ज्यूस्त
precise	ज्युस्त
predict	अदमास
preference	प्राथमिकताय
prefer	पसंती दिवप
pregnant	गुरवार
prejudice	पक्षपात
premises	संकुलात
premium	प्रिमियम
preparation	तयारी
prepared	तयार आसा
prepared	तयारी केल्या
prepare	तयारी
preposition	शब्दयोगी अव्यय
presence	उपस्थिती
presentation	सादरीकरण
present	इनाम
present	देणें
present	हाजीर
preserve	राखीव
president	अध्यक्ष
pressure	दाब
press	प्रेस
pretend	तड्डकां सांगप
pretty	मोहक
prevent	आडायता
prevent	प्रतिबंध
previous	आदलें
prey	शिकार
price	किंमत
pride	गर्व
priest	भट
primary	प्राथमिक
prime	प्रायम
prime	मुखेल
princess	राजकुंवरी
principal	प्राचार्य
priority	प्राथमिकताय
prior	आदीं
prior	पूर्व
prison	कादय
privacy	गुप्तताय
private	खाजगी
privilege	विशेशाधिकार
prize	इनाम
probably	कदाचीत
problem	समस्या
procedure	कार्यपद्दत
proceed	फुडें वचचें
process	प्रक्रिया
produce	उत्पन्न
production	उत्पादन
product	उत्पादन
professional	तज्ञ
professional	वेवसायीक
profession	वेवसाय
profile	प्रोफायल
profit	नफो
profound	गंभीर
progress	प्रगती
project	प्रकल्प
prominent	उठून दिसपी
prominent	प्रतिश्ठीत
promise	उतर
promote	प्रसिद्दी करप
promotion	बढती
prompt	तत्पर
prone	प्रवृत्त
pronouns	सर्वनामा
pronunciation	उच्चारण
proof	पुरावो
properly	योग्यरितीन
properly	सारकें
properties	गूणधर्म
property	मालमत्ता
proper	योग्य
proposal	प्रस्ताव
prospect	देखावो
prosperity	उत्कर्श
prosperity	भरभराट
prosperous	भरभराटीचें
protect	राखण करची
protect	संरक्षण
proud	अभिमानी
proud	गर्व
prove	सिद्द करप
provided	पुरवण केलां
provide	पुरवण करचें
province	प्रांत
provision	तजविज
puberty	जुंवानपण
public	भौशीक
pull	ओडचें
pumpkin	दुदी
punctual	वेळ पाळपी
pupil	विद्यार्थी
purchase	खरेदी
pure	निव्वळ
purple	जांभळो
purpose	उद्देश्य
purse	पर्स
pursue	फाटल्यान लागप
pursuit	उद्देश्य
push	धुकलप
put	घालप
qualification	पात्रताय
quality	गूणवत्ता
quality	दर्जो
quantity	प्रमाण
quarantine	वेगळें दवरप
quarrel	शत्रूत्व
quarter	चतुर्थांश
quarter	पाव
Quechua	केचुवा
queen	राणी
queer	विलक्षण
query	क्वॅरी
question	प्रस्न
queue	प्रतिक्षावळ
queue	रांक
quickly	जलद
quick	जलद
quiet	ओग्गी
quiet	खुपशेदां
quilt	गोधडी
quilt	गोयडी
quite	ओग्गी
quite	खुबदां
quit	सोडप
quiz	प्रस्नमंच
quotation	उतारो
quotes	उतारे
quote	उतारो
rabbit	ससो
race	धांवप
race	सर्त
rage	रेज
rain	पावस
raised	उबारिल्लें
raise	उठवप
raise	उबारप
random	बिनहिशोबी
range	पल्लो
range	रेंज
ran	धांवप
rapidly	जलद
rapid	सतत
rarely	किरकोळ
rarely	क्वचित
rare	किरकोळ
rash	दाग येवप
rate	दर
rather	खरें सांगचें जाल्यार
rational	माफक
rational	विचारवान
ratio	प्रमाण
rat	उंदीर
raw	कच्चें
raw	तन्ने
reached	पावलो
reach	गांठप
reach	पावप
reaction	प्रतिक्रिया
reading	वाचन
reading	वाचप
ready	तयार
read	वाचप
reality	खरें
reality	सत
realized	जाणा जावप
realize	जाणवलें
really	ख-यानीच
really	खरेंच
really	वास्तवीक
real	अस्सल
real	खरें
real	वास्तवीक
rear	किरकोळ
reasonable	माफक
reason	कारण
recall	परत आपोवप
receipt	पावती
received	प्राप्त जाल्लें
received	मेळिल्लें
receive	प्राप्त करप
receive	मेळोवप
receive	सेपादन
recently	हालींच
recent	हालींचें
reception	रिसेप्शन
recipe	रेसिपी
reckless	साहसी
recognition	नामनां
recognition	वळख
recognize	नामनां
recognize	वळख करप
recommended	शिफारस केल्लें
recommended	सुचयल्लें
recommend	शिफारस
recommend	सुचयल्लें
record	नोंंद
recovery	रिकव्हरी
recover	रिकव्हर
rectangle	आयत
redeem	रिडीम करचें
redemption	सूट
reduce	उणावप
reduce	कमी करप
redundant	अनावश्यक
red	तांबडें
reference	संदर्भ
refer	कळोवप
refer	म्हायती दिवप
refer	संदर्भ लावप
reflection	प्रतिबिंब
reflect	प्रतिबिंबीत
refrain	आडावप
refrigerator	फ्रीज
refund	परतावो
refund	रिफंड
refused	न्हयकार दिवप
refuse	न्हयकार
regarding	हाचे विशीं
regardless	हे शिवाय
regards	इश्टचिंतन
regard	इश्टचिंतन
regard	संबंद आसप
region	प्रदेश
region	प्रांत
register	नोंदणी
regret	खेद
regularly	नेमान
regular	नियमीत
reject	न्हयकार
related	संबंदीत
relate	संबंदीत
relationship	नातें
relatives	सोयरे
relative	नातें
relative	सोयरो
relax	आराम
released	उजवाडावणी
released	मुक्ती
release	उजवाडावणी
release	उत्सर्जन
release	मुक्ती
release	सोडोवप
relevant	प्रसंगोचीत
relevant	वास्तवीक
reliable	भंरवशाचें
reliable	विस्वासाचें
relief	मजत
relief	सुसेग
relieved	सोडयलें
relieve	सुटका
relieve	सुसेग
religion	धर्म
religious	धर्मिक
reluctant	नाखूश
rely	पातयेवप
remaining	बाकी
remaining	शिल्लक
remain	बाकी
remain	शिल्लक
remarkable	याद उरपासारकें
remedy	उपाय
remember	उगडास
remember	याद
remember	स्मरण
reminder	स्मरण
remind	स्मरण
remote	पयसुल्लें
remote	रिमोट
remove	काडचें
render	रेंडर
rent	भाडें
repair	दुरुस्ती
repeat	पुनरावृत्ती
replace	बदलचें
reply	जाप दिवप
reply	प्रत्युत्तर
report	अहवाल
report	कळोवणी
represent	प्रतिनिधित्व करता
reputation	मान
request	मागणी
request	विनंती
required	गरजेचें
require	गरज आसा
rescue	वाटावप
research	संशोधन
resemble	साम्य आसप
resemble	सारकें आसप
resentment	तिडक
reservation	आरक्षण
reserve	आरक्षीत
resident	निवासी
resign	राजीनामो
resilience	कोल्लीपण
resilience	लवचीकपणा
resilient	फोल्ग
resistance	प्रतिकार
resist	प्रतिकार
resist	विरोध
resolution	थाराव
resolution	संकल्प
resolve	सोडोवप
resort	रेझॉर्ट
resources	साधनसामुग्र्यो
respect	आदर
respect	मान
respond	प्रतिसाद
response	प्रतिसाद
response	मत
responsibility	जापसालदारकी
responsible	जापसालदार
restaurant	उपहारगृह
restaurant	रॅस्तोरण्ट
rest in peace	आत्म्याक शांती मेळूं
restore	पूर्ववत करप
restore	पूर्वस्थितीर हाडप
restrict	मर्यादीत करप
rest	बाकीचें
rest	विसव
results	निकाल
result	निकाल
resume	परतून सुरू
resume	रिझ्युमे
retail	किरकोळ
retain	दवरप
retention	धारणशक्त
retired	निवृत्त
retreat	आलाशिरो
retreat	विसव
retrieve	पुनर्प्राप्ती
return	परत येवप
revealed	उघड केल्लें
reveal	उघड करप
revenge	बदलो
revenue	महसूल
reverse	उरफाटें
reverse	परतें
review	नियाळ
revise	उजळणी
revise	सुदारणा
revision	उजळणी
revolution	क्रांती
reward	इनाम
reward	पुरस्कार
rhythm	ताल
rhythm	मेळ
rib	बरगडी
rice	तांदूळ
rich	गिरेस्त
ride	रपेट
ride	सवारी
ridiculous	हास्यास्पद
rid	मुक्त
rid	मेकळें
right now	आतांच
right	उजवें
right	बरोबर
rigid	निबर
ring	मुदी
rinse	धुंवप
riot	रथ
ripe	पिकिल्लें
rip	फाळप
rise	उदेवप
rise	वाडप
risk	धोको
rival	शत्रूत्व
river	न्हंय
road	मार्ग
road	रस्तो
roast	भाजप
robust	बळिश्ट
rock	शिळा
rod	तोणको
rod	रॉड
role	भुमिका
roll	रोल
roof	छप्पर
roof	पाखें
room	कूड
room	सुवात
root	मूळ
rope	दोरी
rope	राजू
rotten	कुशील्लें
roughly	ओबडधोबड
rough	ओबडधोबड
rough	खडबडीत
round	गोल
route	मार्ग
routine	रुटीन
row	रांक
row	वळ
rubber	रब्बर
rubbish	वायट
rub	घासप
rude	निश्ठूर
rug	रग
ruin	मातयेभरवण
ruler	राजा
ruler	शासक
rules	नेम
rule	नेम
running	धांवडी
run	धांवडी
run	धांवप
rural	ग्रामीण
rush	गर्दी
rush	धांव
sack	साक
sacred	पवित्र
sacrifice	त्याग
safe flight	सुरक्षीत उड्डाण
safety	सुरक्षा
safe	सुरक्षीत
sage	तपस्वी
said	संबंदीत
said	सांगप
sailing	सफर
sail	सफर
sake	खातीर
sake	पासत
salary	पगार
sale	विक्री
salmon	रावस
salt	मीठ
Same here	हांगाय तशेंच
same	समान
sample	नमूनो
sand	रेंव
Sanskrit	संस्कृत
sarcastic	उपहासाचें
sarcastic	थोमण्यांचें
sassy	सेसी
satisfaction	समाधान
satisfied	समाधानी
satisfying	धादोशी करप
satisfy	समाधान
Saturday	शेनवार
sat	शेन
sausage	सौसेज
savage	क्रूर
savage	पाशवी
save	सांबाळचें
saw	खरवत
say	म्हण
say	सांग
scale	प्रमाण
scale	स्केल
scam	घोटाळो
scarce	दुर्मिळ
scared	भियेल्ले
scared	भियोवपाचें
scarf	स्कार्फ
scary	भिरांकुळ
scary	भिश्टेवणे
scar	दाग
scattered	पसरिल्लें
scenery	सैमीक दृश्य
scene	दृश्य
scent	चेर
scent	परमळ
schedule	थारावप
schedule	नियोजन
schedule	वेळापत्रक
school	शाळा
science	विज्ञान
scientists	शास्त्रीय
scientist	शास्त्रज्ञ
scissors	कात्री
scold	तापोवप
scope	आंवाठ
score	स्कोअर
scrap	भंगार
scratch	वयलें आवरण काडप
scratch	सडे पडप
scream	आड्डप
scream	रडप
screen	स्क्रीन
screw	स्क्रू
script	लिखीत
script	लिपी
seal	छाप
seal	सील
search	सोद
season	हंगाम
seat	सीट
sea	दर्या
second	दुसरो
second	सेकंद
secret	गुपीत
section	विभाग
secure	सुरक्षीत
security	सुरक्षा
seed	बियो
seek	सोदप
seems	दिसता
seem	दिसता
seen	पळयलें
see you later	मागीर मेळया
see you soon	रोखडेंच मेळया
see you tomorrow	तुका फाल्यां मेळटा
see you	परत मेळया
see	पळोवप
seize	जप्ती
seizure	धाड
seldom	क्वचीत
select	वेंचचें
self healing	स्वता पेकपी
selfish	सुवार्थी
self	स्वता
sell	विकप
send me your picture	म्हाका तुमचें चित्र धाडात
send	धाडचें
send	धाडप
senior	वडिल
sense	अक्कल
sense	सँस
sensible	अर्थपूर्ण
sensitive	संवेदनशील
sentences	वाक्यां
sentence	वाक्य
sent	धाडलें
separate	वेगळें
Sepedi	सेपेडी
september	सप्टेंबर
sequence	अनुक्रम
series	माळो
seriously	ख-यानीच
seriously	गंभीरतायेन
serious	गंभीर
serious	तीव्र
serve	वाडप
serve	सेवा
service	सेवा
session	सत्र
setting	मांडावळ
setting	सेटिंग्स
settle	निकाल लावप
settle	निर्णय
set up	स्थापना
set	मांडप
seventeen	सतरा
seventy	सत्तर
seven	सात
several	साबार
severe	खर
severe	गंभीर
severe	निश्ठूर
sew	शिंवप
shade	छटा
shadow	सावळी
shake	हालोवचें
shallow	अप्लबुद्दी
shallow	उथळ
shall	करतले
shall	जातले
shall	शक्य जावपाचें
shame	लज
shape	आकार
share	वांटचें
share	वांटो
share	हिस्सो
sharp	टोकदार
sharp	तिक्ष्ण
shed	शेड
shed	सावळी
sheep	मेंढरां
sheet	पत्रक
sheet	पत्रो
she has	तीचेकडेन आसा
she is	तें आसा
shelf	शॅल्फ
shell	शिपली
shelter	आलाशिरो
shelter	घर
she	ती
she	तें
shield	ढाल
shift	दुसरेकडेन व्हरप
shift	शिफ्ट
shine	चकचकसाण
shipping	शिपींग
ship	जहाज
shirt	बुशकोट
shoes	बूट
shoes	शूज
shoot	कोंब
shoot	फोटे काडप
shopping	खरेदी
shop	दुकान
shore	दर्यादेग
shortage	उणाव
short	ल्हान
short	संक्षिप्त
shot	गूळी घाली
shot	शॉट
shoulder	खांद
shoulder	भूज
should	आसूंक जाय
shout	आड्डप
shower	शिंवर
show me	म्हाका दाखय
show	कार्यावळ
show	दाखोवचें
shrimp	पोटिंग
shrink	आकुंचन
shut up	ओग्गी राव
shut up	चूप्प
shut	बंद
shy	भिडेस्त
sh	श्य
siblings	भावंडां
sibling	भावडां
sick	दुयेंत
side	कूस
sightseeing	प्रेक्षणीय थळां पळोवप
sight	नदर
sigh	सुसकार
signature	सय
significant	अर्थपूर्ण
significant	म्हत्वाचें
sign	चिन्न
sign	लक्षणा
silence	शांतताय
silent	ओग्गी राव
silent	शांत
silk	रेशमी
silly	मूर्ख
silver	रुपें
similar	समान
simple	सोंपें
simp	सीम्प
simultaneously	तेच वांगडा
sincerely	विस्वासू
sincere	निश्ठावान
sincere	प्रामाणीक
since	सावंन
singer	गायक
single	एकसुरो
single	एकोडो
sing	गाणे
sing	पद गावप
sink	खचप
sink	मोरी
Sir	घुसळप
Sir	हालोवप
sister in law	नणंद
sister in law	भावज
sister in law	मेवणी
sister	भयण
site	सायट
site	सुवात
situation	स्थिती
sit	बसप
sixteen	सोळा
sixty	साठ
six	स
size	आकार
skills	कौशल्यां
skill	कौशल्य
skinny	कांतीचें
skin	कात
skip	सोडप
skirt	घागरो
skirt	स्कर्ट
sky	मळब
slave	गुलाम
sleeping	न्हिदप
sleepy	झेमेवपी
sleep	न्हीद
sleeve	बाह्यो
sleeve	हात
slice	स्लायस
slide	स्लायड
slightly	थोडेंशें
slightly	मात्शें
slim	पातळ
slip	स्लीप
slope	देंवती
slot	स्लॉट
slowly	सवकास
slow	सवकास
small	ल्हान
smart	सुंदर
smart	स्मार्ट
smell	घाण
smell	वास
smile	हांसो
smoke	धुम्रपान
smooth	नरम
smooth	मवाळ
smooth	मोव
smooth	लुसलुशीत
snack	अल्पाहार
snail	गोगलगाय
snake	जिवाणें
snap	फोटो
snap	स्नॅप
snow	बर्फ
soak	भिज घालप
soap	शाबू
sober	विचारशील
soccer	सॉकर
social	समाजीक
society	सोसायटी
socks	मेय
socks	सॉक्स
so cute	खूब सुंदर
so far	आता मेरेन
software	सॉफ्टवॅर
soft	मोव
soil	माती
soldier	सरदार
sold out	खपलें
sold out	विकलें
sold	खपलें
sold	विकलें
sole	एकमेव
sole	स्वता
solid	घन
solution	उपाय
solution	समाधान
solve	सोडोवप
somebody	कोणतरी
somehow	कशेंतरी
someone	कोणतरी
something	किदेंतरी
sometimes	कांयवेळा
sometimes	केन्नाय
some	कांय
song	गाणे
song	पद
soon	रोखडेंच
sophisticated	अर्विल्ले विचारसरणी
sophisticated	विकसीत
Sorani	सोरानी
sore throat	ताळो सुजला
sore	दुखपी
sorrow	दुख्ख
Sorry	माफ करचें
sort	वर्गवारी
sought	तपास
soulmate	जीवनसाथी
soul	आत्मो
sound	आवाज
soup	शाबू
source	स्त्रोत
sour	आंबट
sour	आमट
south	दक्षिण
so	अशे तरेन
so	कारण
so	ताका लागून
so	म्हणून
so	म्हूण
space	अंतर
space	सुवात
spam	स्पॅम
Spanish	स्पेनीश
span	काळ
spare	सुटे
speak	उलय
speak	उलोवप
speak	चर्चा
special	विशेश
species	प्रजाती
specific	खास
specific	विशेश
spectacular	भव्य
speechless	मुकें
speechless	मोनें
speech	भाशण
speech	वाचा
speed	वेग
spell	बोली
spell	वर्णरचना
spend	खर्च
spent	खर्च
spicy	मसालेदार
spike	कणशी
spinach	पालक
spin	घुंवप
spirit	तेज
spit	थुंकप
splendid	भव्य
split	फूट
split	फोडप
spoiled	पाड करप
spoil	पेड्डेर
spontaneous	सातत्यान
spoon	कुलेर
spot	खीण
spot	सुवात
spouse	जोडीदार
spread	विस्तार
spring	झरांव
spring	वसंत
square	चवकोन
square	वर्ग
squeeze	पिळप
squid	माणकी
squirrel	चानी
stable	थीर
stab	घाय
stack	दाळ
staff	कर्मचारीवर्ग
stage	माची
stain	दाग
stairs	जिनो
stairs	पाय-यो
stake	भाग
stake	स्टेक
stalk	देठ
stall	मांड
stamp	छाप
stamp	शिक्को
standard	प्रमाणित
stand	स्टॅण्ड
started	सुरू केल्लें
start	सुरवात
starving	झुजप
star	नखेत्र
statement	निवेदन
statement	विधान
state	राज्य
state	स्थिती
station	स्टेशन
statue	पुतळो
status	स्थिती
stay safe	पयस राव
stay	रावचें
stay	रावप
steady	थीर
steak	कपो
steal	चोरप
steam	वाफ
steel	तिख्यें
steep	उबी चडटी वा देंवती
stem	देठ
step	कृती
step	पांवडो
step	पावल
stick	बडी
stiff	आंखुडिल्लें
still	तरी
still	लेगीत
stingy	कंजूस
sting	दंश
stir	घुंवडावप
stir	धवळप
stock	रास
stock	स्टॉक
stolen	चोरलें
stomach	पोट
stone	फातर
stood	उबें राव
stool	कदेल
stool	गू
stop	थांब
stop	राव
storage	सांठवण
store	दुकान
store	सांठवण
store	स्टोअर
storm	वादळ
story	काणी
stove	स्टोव
straightforward	तोंडार उलोवपी
straight	सरळ
strain	कश्ट
strain	तकालस
stranger	परकी
strange	अजापाचें
strange	अपरिचीत
strange	विचित्र
strategy	युक्ती
strawberry	स्ट्रॉबेरी
straw	स्ट्रॉ
streak	आघात
streak	स्ट्रीक
stream	झरो
stream	प्रवाह
stream	स्ट्रीम
street	वाट
strength	ताकद
strength	बळ
stress	ताण
stretch	ओडप
stretch	ताणप
strict	कडक
strike	आघात
strike	खोडप
strike	संप
string	दोरी
string	माळ
strip	स्ट्रीप
strive	कश्ट करप
strive	झूजप
stroke	आघात
stroke	स्ट्रोक
strong	खर
strong	ताकदी
strong	बळिश्ट
struck	चिकटप
structure	बांदावळ
struggle	खर येत्न करप
struggle	झगडप
struggle	झुंज दिवप
struggling	झुजता
stubborn	घमंडी
stubborn	निश्ठूर
stuck	चिकटप
stuck	दसून उरप
