abandoned	naibati
shoulder	abaga
should	kasapulan
shout	agpukkaw
shower	arimukamok
show	ipakita
show me	ipakitam kaniak
shrimp	ipon
shrink	ages-es
shut	iserra
shut up	tagari
shy	managbabain
sibling	kabsat
siblings	dagiti agkakabsat
sick	masakit
side	igid
sigh	sennaay
sight	panangkita
sightseeing	panagpasiar
signature	pirma
significant	napateg
sign	sinyales
silence	kinaulimek
silent	naulimek
silk	seda
silly	maag
silver	pirak
similar	agpada ti
simple	simple
simp	tungngang
simultaneously	aggiddan
since	manipud
sincerely	sipupudno
sincere	naimpusuan
sing	agkanta
singer	agkankanta
single	agmaymaysa
sink	lumned
Sir	Apo
sister in law	ipag
sister	kabsat a babai
sit	agtugaw
site	lugar
situation	kasasaad
six	innem
sixteen	sangapulo ket innem
sixty	innem a pulo
size	kadakkel
skill	ammo nga aramiden
skills	dagiti ammo nga aramiden
skin	kudil
skinny	nakuttong
skip	laktawan
skirt	palda
sky	langit
slave	adipen
sleeping	mat-maturog
sleep	maturog
sleepy	makatur-turog
sleeve	manggas
slice	iwaen
slide	iyalis
slightly	bassit laeng
slim	kullayot
slip	agkalagsi
slope	bakras
slot	lugar
slowly	nabattag
slow	nabattag
small	bassit
smart	nasirib
smell	angot
smile	isem
smoke	asok
smooth	nalammuyot
snack	merienda
snail	birurukong
snake	uleg
snap	tukkulen
snow	niebe
soak	ibabad
soap	sabon
sober	natanang
soccer	soccer
social	kinatao
society	gimong
socks	dagiti medias
so cute	nakaay-ayat
so far	pay
soft	nalukneng
software	software
soil	daga
so	isu nga
soldier	soldado
sold	nagatangen
sold out	naibusen
sole	isu laeng
solid	natangken
solution	solusion
solve	ipamuspusan
somebody	maysa a tao
somehow	kaskasano
someone	maysa a tao
some	sumagmamano
something	maysa a banag
sometimes	no dadduma
song	kanta
soon	apaman
sophisticated	natangig
Sorani	Sorani
sore	lumteg
sore throat	nagatil a karabukob
sorrow	ladinget
Sorry	Pasensya
sort	nadumaduma
sought	nagsapul
soul	kararua
soulmate	kadua
sound	timek
soup	sabaw
source	pammataudan
sour	naalsim
south	abagatan
space	espasio
spam	saan a naanatup
Spanish	Español
span	kabayag
spare	surok
speak	agsao
special	naisingsingayan
species	species
specific	naisalumina
spectacular	nakaskasdaaw
speech	bitla
speechless	awan maibagana
speed	kapartak
spell	agispel
spend	gastoen
spent	nagasto
spicy	naadat
spike	dawa
spinach	saluyot
spin	ipusipos
spirit	espiritu
spit	agtupra
splendid	nagmayat
split	bingayen
spoil	banglesen
spoiled	nabangles
spontaneous	bulanos
spoon	kutsara
spot	lugar
spouse	asawa a lalaki
spread	iwaras
spring	ubbug
square	kuadrado
squeeze	pekkelen
squid	pusit
squirrel	mutit
stable	kuadra
stab	saksaken
stack	isalunsun
staff	empleado
stage	kanito
stain	mantsa
stairs	dagiti agdanan
stake	pasok
stalk	garami
stall	tienda
stamp	selyo
standard	kadawyan
stand	tumakder
star	bituen
started	nangrugi
start	irugi
starving	mabisbisin unay
state	estado
statement	keddeng
station	istasion
statue	estatua
status	estado
stay	agtalinaed
stay safe	agtalinaed a natalged
steady	sitatakder
steak	naluto a karne ti baka
steal	takawen
steam	alingasaw
steel	landok
steep	nangato
stem	ungkay
step	addang
stick	bislak
stiff	nasikel
still	latta
sting	nasagibar
stingy	kuripot
stir	ikiwar
stock	pempen
stolen	natakaw
stomach	buksit
stone	bato
stood	nagtakder
stool	takki
stop	isardeng
storage	pagikkan
store	tiendaan
storm	bagyo
story	istorya
stove	kalan
straightforward	natarus
straight	natarus
strain	pannakabennat
strange	karkarna
stranger	gannaet
strategy	stratehiya
straw	arutang
strawberry	lumboy
streak	panagsasaruno
stream	karayan
street	kalsada
strength	pigsa
stress	tuok
stretch	bennaten
strict	istrikto
strike	aghuelga
string	kuerdas
strip	aglabos
strive	agregget
stroke	stroke
strong	napigsa
struck	natamaan
structure	istruktura
struggle	rigat
struggling	marigrigatan
stubborn	nasukir
stuck	ipasdek
student	estudiante
study	agadal
studying	panagadal
stuff	ipempen
stunning	nalagaw
stupid	dagmel
style	estilo
subject	maad
submission	panangidatag
submit	idatag
substance	substansia
substitute	sublaten
subtle	nalapat
succeed	agballigi
success	balligi
successful	naballigi
such as	kas iti
such	kas
suck	supsupen
suddenly	apagkanito
sudden	nakellaat
suffering	panagrigat
suffer	sagabaen
sufficient	naan-anay
sugar	asukar
suggestion	singasing
suggest	isingasing
suitable	maibagay
suitcase	maleta
suit	ipagalad
sum	dagup
summary	dagup
summer	kalgaw
summit	tuktok
sunday	dominggo
sun	init
sunny	nainit
sunset	ilelenek ti init
sunshine	lawag ti init
super	grabe
superior	nangat-ngato
supervisor	mangkit-kita
supper	pangrabii
supply	suplay
support	suporta
supposed	naipatang
suppose	ipagarup
sure	sigurado
surface	rabaw
surge	ayos
surgery	operasion
surname	apelyido
surprised	nasiddaaw
surprise	siddaaw
surrender	sumuko
surrounding	lawlaw
surveillance	panangkita
survey	surbey
survive	agbiag
suspect	maipagarup
suspended	nasuspende
suspicious	agduda
sustainability	kinabayag a mamentenar
sustainable	makanunongan
sustain	kanunongan
swag	lastug
swallow	tilmunen
swap	isukat
swear	agkari
sweater	suweter
sweat	ling-et
sweep	agwalis
sweet dreams	nasam-it a tagainep
sweetheart	dungngo
sweet	nasam-it
sweet tooth	kaykayat ti nasam-it
swell	agletteg
swelling	panagletteg
swim	aglangoy
swimming	panaglangoy
swing	i-uyauy
switch	agbaliw
swollen	lumteg
sword	espada
symbol	simbolo
sympathy	simpatia
symptoms	dagiti sintomas
system	sistema
table	lamesaan
tackle	saritaen
tag	nailaktip
tail	ipus
take	alaen
take away	alaen
take care	agannad
taken	naalan
take off	pumanaw
talk	agsao
talkative	natarabitab
tall	natayag
tape	idikkit
tap	pikpik
target	gandat
task	tarabaho
taste	ramanan
tasty	naimas
taught	insuro
teacher	maestra
teach	suruan
team	yasmang
tear	lua
tears	dagiti lua
tease	angawen
tea	tsaa
technology	teknolohiya
teeth	ngipen
tell	ibaga
tell me	ibagam kaniak
temperature	temperatura
temper	rikna
temple	templo
temporary	temporario
tenant	kasamak
tend	agduyos
tendency	matmattit
tender	nalangto
ten	sangapulo
tense	sikkil
tension	tension
tentative	temporario
ten thousand	sangapulo a sangaribo
tent	tolda
terms	dagiti termino
term	termino
terrible	nakaal-alingget
terrific	nagmayat
territory	teritorio
test	eksamen
text	teksto
thank	pagyamanan
thanks	agyaman
Thanks for using our app	Agyaman ti panagusar iti app-mi
thank you	aagyaman
Thank you for your patience while we investigate shipment	Agyaman para ti pasensiam kabayatan ti panagimbestigami ti naipaw-it
thank you so much	agyaman la unay
thank you very much	agyaman la unay
than	ngem
that	adayta
that is	dayta ket
that's good	mayat dayta
theft	agtatakaw
their	da
theme	amad
them	isuda
themselves	dagiti bukodda
then	no kasta
theory	teoria
there are	adda dagiti
therefore	no kasta ngarud
there	idiay
there is	adda ti
these	dagitoy
the	ti
they are	isuda ket
they	isuda
thick	napuskol
thief	agtatakaw
thigh	luppo
thing	banag
things	dagiti banag
think	panunoten
thin	naingpis
third	maikatlo
thirsty	mawaw
thirteen	sangapulo ket tallo
thirty	trenta
this	daytoy
this is	daytoy ket
thoroughly	nalaing
thorough	nalaing
those	dagidiay
though	nupay
thought	balabala
thoughtful	makatulong
thoughts	dagiti balabala
thousand	sangaribo
thread	sinulid
threat	butngen
threaten	layatan
three	tallo
threshold	pagserrekan
thrilled	naganasan
thrive	agbiag a nasayaat
throat	karabukob
through	babaen
throughout	kabayatan ti
throw	ibelleng
thumb	tangan
thunder	gurruod
Thursday	Huebes
thus	isu ti gapuna
tick	tsekan
tide	panagngato wenno panagbaba iti danum ti baybay
tidy	naurnos
tie	igalot
tiger	tigre
tight	nairut
Tigrinya	Tigrinya
time	oras
timid	agiing
tiny	bassit
tips	dagiti singasing
tip	singasing
tired	nabannog
tire	gulong
tissue	taba
title	titulo
toast	itostado
to be	agbalin a
today	ita nga aldaw
toddler	ubing
toes	dagiti ramay ti saka
together	agkukuyog
toilet	kasilyas
told	imbaga
tolerance	panagibtur
tolerate	ibturen
tomato	kamatis
tomorrow	inton bigat
tongue	dila
tonight	ita a rabii
took	innala
tool	alikamen
tools	dagiti alikamen
too	met
tooth	ngipen
topic	maad
top	ngato
torn	napirges
torture	parigaten
total	dagup
to	tapno
touch	sagiden
tough	naamnot
tour	agpasiar
toward	papan ti
towards	agpaturong idiay
towel	tuwalya
town	ili
toxic	sabidong
trace	ibakat
track	dalan
trade	isukat
traditional	tradisional
tradition	tradision
traffic	panagdaliasat
trail	sebbang
training	panagsagana
train	tren
trait	katatao
traits	dagiti katatao
transfer	iyakar
transition	agbaliw
translate	itarus
transparent	saragasang
transportation	transportasion
transport	ibiahe
trap	pakat
trash	basura
trauma	pakabutbutngan
travel	agbiahe
tray	pagikkan
treasure	ilalaen
treatment	panangtrato
treat	tratoen
tree	kayo
tremendous	nakaro
trend	uso
trial	panagpadas
trick	allilawen
tried	pinadas
trigger	kalbiten
trim	puteden
trip	biahe
trouble	riri
trousers	dagiti pantalon
truck	trak
true	agpayso
trunk	poon ti kayo
trust	talek
truth	agpayso
try	padasen
Tsonga	Tsonga
tube	tubo
Tuesday	Martes
tuition	babayadan iti eskuwelaan
turkey	pabo
turmeric	turmeric
turn	ipusipos
turtle	pag-ong
tutor	mannursuro
twelve	dose
twenty	bente
twenty-one	bente uno
twice	mamindua
twist	ipusipos
Twi	Twi
two	dua
type	tipo
typical	kadawyan
ugly	naalas
ultimate	maudi
umbrella	payong
unable	awan ti kabaelan
uncle	angkal
unconscious	saan a nakariing
under	baba
underneath	baba
underrated	saan nga ipatpateg
understand	awaten
understood	naawatan
unfortunately	daksanggasat
uniform	uniporme
unique	naidumduma
unit	yunit
university	unibersidad
unknown	saan nga ammo
unless	malaksid
until	inggana
unusual	saan a kadawyan
update	pabaroen
upgrade	papintasen
up	ngato
upon	iti rabaw
upset	nadismaya
up to you	depende kenka
urban	ili
urge	guyugoyen
urgent	nagannat
used	nausar
useful	kasapulan
useless	awan serbina
use	usaren
us	sitayo
usual	kadawyan
usually	kadawyan
utility	kasapulan
vacation	bakasion
vaccination	panagbakuna
vaccine	bakuna
vacuum	agsupsop
vague	saan a maawatan
valid	mabalin
valley	lungog
valuable	maipateg
value	pateg
variety	adu a kita
various	agduduma
vary	agduma
vase	paso
vast	nalawa
vegetable	gulay
vegetables	dagiti gulay
vehicle	lugan
vendor	aglak-lako
venom	gita
venture	baro a negosio
venue	lugar
verify	iberipika
versatile	nalappiot
version	bersion
vertical	patakder
very good	naglaing unay
very	unay
vessel	pagikkan ti danum
via	babaen
vibes	vibes
vibe	vibe
vicious	nadamka
victim	biktima
video	bideo
view	kitaen
village	bario
villain	kalaban
vinegar	suka
vintage	daan
violence	panangrugsot
violent	nasalungasing
viral	uso
virgin	birhen
virtual	birtual
virtue	dayaw
vision	parmata
visit	bisitaen
visual	bisual
vital	napateg
vivid	nalawag
vocabulary	bokabulario
voice	timek
void	awanan
volume	kapigsa
volunteer	situtulnog
vomit	agsarua
vulnerable	nalupoy
wages	dagiti tangan
wage	tangan
waist	siket
wait	aguray
waiter	agidasar
waiting	agur-uray
wake	agriing
wake up	agriing
walking	magmagna
walk	magna
wall	diding
wallet	pitaka
wander	agbintor
wanna	kayat a
wanted	kaykayat
want	kayat
wardrobe	aparador
warehouse	kamalig
war	gubat
warm	nabara
warning	pakdaar
warn	pakdaaran
warrior	soldado
wash	bugguan
was	ket
waste	sayangen
watch	agbuya
water	danum
watermelon	sandia
wave	alon
way	wagas
weak	nakapsot
weakness	kinakapsut
wealth	baknang
wealthy	nabaknang
wear	agkawes
we are	sikami ket
wearing	panagsuot
weather	tiempo
we can	mabalintayo
wedding	kasar
Wednesday	Mierkoles
weed	ruot
weekend	gibus ti lawas
week	lawas
weight	kinadagsen
weird	nakaal-alingget
welcome	naragsak nga isasangbay
welfare	kinakaradkad
well done	naglaing
Well	Naimbag
went	napan
were	ket
we	sikami
west	laud
wet	nabasa
whale	balyena
what about you	ania ti maipapan kenka
what	ania
what are you doing	ania ti ar-aramidem
what are you doing now	ania ar-aramidem tatta
what are you doing right now	ania iti ar-aramidem ita
what do you do	ania ti tarabahom
what do you do for a living	ania ti tarabahom
what do you mean	ania ti kayatmo a saoen
what do you want	ania ti kayatmo
whatever	uray ania
what happened	ania napasamak
what is	ania ti
what is this	ania daytoy
what is your job	ania ti tarabahom
what is your name	ania ti naganmo
what's up	ania ngay
what's your name	ania ti naganmo
wheat	trigo
wheel	kararit
whenever	nu
when	no
where are you from	taga-ano ka
where are you now	sadinno ti ayanmo itatta
where are you	sadinno ti ayanmo
whereas	kasupadi
where do you live	taga-ano ka
where is	sadinno ti
where	sadinno
whether	no
which	ania
while	kabayatan
whisper	arasaas
whistle	agsigawisiw
white	puraw
who are you	asinno ka
who	asinno
who is	asinno ti
who is this	asinno daytoy
whole	buo
whom	asinno
whose	asinno
why	apay
why not	apay saan
wicked	managdakes
wide	nalawa
widow	balo
width	kaakaba
wife	asawa a babai
wild	naatap
willing	situtulnog
will	pagayatan
wind	angin
window	tawa
windy	naangin
wine	arak
win	mangabak
winter	tiempo ti lam-ek
wipe	punasan
wire	banteng
wisdom	kapanunotan
wise	nasirib
wish	panggepen
wish you all the best	tarigagay ko a nasayaat ka koma a kanayon
witch	aran
withdrawal	panangibabawi
withdraw	ibabawi
within	iti uneg ti
with	kadua
without	awanan
witness	saksi
witty	nalaing
wolf	lobo
woman	babai
women	dagiti babai
wonder	agsiddaaw
wonderful	makaskasdaaw
won	nangabak
won't	saan to
wood	kayo
wool	dutdot
word	sarita
words	dagiti sarita
working	agtar-tarabaho
work out	agwatwat
work	tarabaho
world	lubong
worm	igges
worn	naisuot
worried	madanagan
worry	agdanag
worse	nakamadmadi
worship	idiaya
worst	kamamadian
worth it	sulit
worth	pateg
worthy	napateg a maikari
would	naitalek
wound	sugat
Wow	Wow
wrap	bungonen
wrath	pungtot
wrist	pungopunguan
Write here	Isurat ditoy
write	isurat
writing	panagsurat
written	naisurat
wrong	kamali
wrote	insurat
yard	yarda
yawn	agsuyaab
Yeah	Wen
years	dagiti tawen
year	tawen
yeast	bubud
yell	agiryaw
yellow	duyaw
yes baby	wen anak ko
yes dear	wen dungngo
yes honey	wen dungngo
yes my love	wen ay-ayatek
yes of course	wen siempre
yesterday	idi kalman
Yes	Wen
yet	pay
yield	agbunga
you are beautiful	nagpintas ka
you are	sika ket
you are so beautiful	nagpintas ka unay
you are welcome	awan ti aniaman
you can	kabaelam
You know	Ammomon
young	ubing
your	bukod mo
you're welcome	awan ti aniaman
you’re welcome	awan ti aniaman
yourself	bukodmo
your welcome	ti isasangbaymo
you	sika
youth	kinabannuag
you too	uray sika
yummy	naimas
zero	awan
