abandoned	si wogblẽ ɖi
part	akpa
participate	kpɔ gome
particularly	abe ame ɖeka
particular	ma
partner	hati
party	dunyaheha
passage	nuŋlɔɖi
passed	kpɔ ŋudzedze
passionate	kple seselelãme
passion	seselelãme sesẽ
passive	si metsɔ ɖeke le eme o
pass	to eme
password	safuinya
past	tsã
patch	tre nu
path	afᴐmᴐ
pathetic	wɔ nublanui
patience	dzigbᴐɖi
patient	dzigbɔɖi
pattern	ɖoɖome
pause	tɔ vie
pavement	mɔtokpe
payment	fexexe
pay	xe fe
peaceful	le ŋutifafa me
peace	ŋutifafa
peach	na
peak	kɔkɔƒe
pear	pɛya
peas	ayi
peculiar	nye nu ɖeka tɔ
pee	aɖuɖɔ
peel	kle
peer	hati
peers	hatiwo
pencil	nuŋlɔti
pending	le lalam
pen	nuŋlɔti
people	amewo
pepper	atadi
perceive	kpɔ nu
perception	nukpᴐkpᴐ
perfect	de blibo
performance	dᴐwᴐwᴐ
perform	wᴐ nu
perhaps	ɖewòhĩ
period	ɣeyiɣi
permanent	si li tegbee
permission	mᴐɖeɖe
permit	ɖe mɔ
perseverance	kutrikuku
persistent	edziedzi
personal	ame ɖeka ƒe nu
personality	ame tɔxɛ
person	ame
perspective	nukpɔkpɔ
persuade	ble enu
pervert	ŋunyɔ
pet	ameƒelã
phase	akpa
phenomenon	nudzɔdzɔ
philosophy	nunya
phone	kaƒomɔ
photo	foto
phrase	nyatiatia
physical	ŋutilã me
pick	fɔ
pick up	tsᴐe
picture	nutata
piece	nu kakɛ
pieces	nu kakɛwo
pigeon	ahɔnɔe
pig	ha
pile	ƒo kɔ
pillow	suɖi
pilot	yameʋukula
pin	abui
pineapple	atɔtɔ
pink	dzẽ
pitch	gbadzaƒe
pit	ʋe
pity	nublanui
places	teƒewo
place	teƒe
plague	dɔxɔleameŋu
plain	si me kᴐ
plan	ɖoɖo
plane	gbadza
plant	ati
plants	atiwo
plate	nuɖugba
platform	nugbadza
play	fe fefe
playing	le fefem
pleasant	nya se
pleased	kpɔ ŋudzedze
please	taflatsɛ
pleasure	dzidzᴐkpᴐkpᴐ
pledge	ɖe adzɔgbe
plenty	sɔgbɔ
plot	babla
plug	katsyiãnu
plum	atɔ
plumber	tsidɔwɔla
plural	agbɔsɔsɔ
podcast	na
poem	hakpanya
poetry	hakpanya ŋuti nunya
point	asitɔƒe
poison	aɖi
police	kpovitɔ
policy	ɖoɖo
polite	bua ame
pollution	ɖiƒoƒo
pond	tsi ʋe
pool	tsi xaxa
poop	mí
poor	da ahe
pop	pɔp
popular	nyanyɛ
population	amehawo
pork	halã
porridge	dzogbɔ
port	ʋudzeƒe
position	ɖoƒe
positive	si nyo
possession	nunɔamesi
possessive	nutɔnyeye
possess	lé
possible	ate ŋu adzᴐ
post	dzɔƒe
postpone	dae ɖe gbebugbe
potato	nagoti
potential	ŋutete
pound	pɔŋ
poverty	ahedada
powerful	ŋusẽtɔ
power	ŋusẽ
practical	asidɔwɔwɔ
practice	kasa
praise	kafu
prank	amebeble
pray	do gbe ɖa
precious	tᴐxɛ
precisely	tututu
precise	tututu
predict	gblɔ nya ɖi
preference	tiatia
prefer	tiã
pregnant	fɔfu
prejudice	nazã
premises	nyagɔmenya
premium	si xɔ asi
preparation	dzadzraɖo
prepared	dzraɖo
prepare	dzrãɖo
preposition	nya ŋgɔnya
presence	amegbɔnɔnɔ
presentation	nunana
present	fifia
preserve	le ɖi
president	dukplɔla
press	te ɖe anyi
pressure	nuteɖeamedzi
pretend	wᴐ abe
pretty	nya kpɔ
prevent	xe mᴐ
previous	si do ŋgᴐ
prey	xeƒonu ƒe nuɖuɖu
price	asi
pride	dada
priest	trɔ̃nua
primary	gɔmedzeƒe
prime	xɔ asi
princess	fiavinyɔnu
principal	nua ŋutɔ
prior	do ŋgɔ
priority	nu si le veviẽ
prison	mɔ
privacy	adzame
private	ame ŋutᴐ ƒe
privilege	mɔnukpɔkpɔ tɔxɛ
prize	dziɖufiakuku
probably	ɖewòhĩ
problem	kuxi
procedure	afᴐɖeɖe
proceed	yi edzi
process	nuwᴐna
produce	wɔ
production	nuwɔwɔ
product	nu si wowɔ
professional	dɔnyala
profession	dɔwɔwɔ
profile	ŋuti nya
profit	viɖe
profound	si me goglo
progress	ŋgᴐyiyi
project	dɔwɔna
prominent	le ŋgɔ
promise	ŋgbedodo
promote	do ɖe ŋgɔ
promotion	dodoɖe ŋgɔ
prompt	ka fee
prone	mlɔ anyi legbe
pronouns	ŋkɔteƒenɔnyawo
pronunciation	nyayɔyɔ
proof	kpeɖodzi
properly	nyuie
proper	nyuietᴐ
properties	nunɔamesiwo
property	nunᴐamesi
proposal	nyadoɖa
prospect	ŋgɔkpɔkpɔ
prosperity	nudzedziname
prosperous	hotsuikpɔkpɔ
protect	tɔ kpɔ ƒo xlã
proud	dana
prove	ɖo kpe edzi
provided	ne esɔ ko
provide	na
province	nutoga
provision	nuhiahiawo
puberty	ɖetugbivãvã
public	amedome
pull	hee
pumpkin	na
punctual	le game dzi
pupil	nusrɔ̃vi
purchase	ƒle
pure	si me kɔ
purple	dzẽ
purpose	taɖodzi
purse	gakotoku
pursue	tsi eyome
pursuit	ti eyome
push	tutu
put	da ɖi
qualification	ŋudzedzekpɔkpɔ
quality	nyonyo
quantity	agbɔsɔsɔ
quarantine	ɖeɖe ɖe aga
quarrel	dzre
quarter	kuata
Quechua	Quechua
queen	fianyɔnu
queer	si to vovo
query	biabia
question	biabia
queue	fli
quick	kaba
quickly	kaba
quiet	zi ɖoɖoe
quilt	na
quit	do le eme
quite	abe
quiz	dodokpɔ
quotation	nyatoto
quotes	nyatotowo
quote	to nya
rabbit	fɔmizi
race	ɖimekeke
rage	do dɔmedzui
rain	tsidzadza
raised	kɔ ɖe dzi
raise	kᴐe ɖe dzi
random	si mele ɖoɖonu o
ran	ƒu du
range	kekeme
rapid	kabakaba
rapidly	kabakaba
rarely	medzᴐna zi geɖe o
rare	mebᴐ o
rash	ŋutsetsi
rat	alegeli
rate	asixᴐxᴐ
rather	boŋ
ratio	ɖoɖo
rational	le susunu
raw	mumu
reached	de
reach	te ɖe egbɔ
reaction	ŋuɖoɖo
reading	nuxexlẽ
read	xlẽ
ready	le ŋudzᴐ
reality	nyateƒe
realized	de dzesi
realize	kpɔe be
really	nyateƒea
real	ŋutᴐ
rear	nyi
reasonable	le susu nu
reason	susu
recall	gayɔ
receipt	fexegbalẽ
received	xᴐ
receive	xᴐ
recently	medidi o
recent	si gbɔ medidi o
reception	amexɔƒe
recipe	nuɖaɖa ŋuti ɖoɖo
reckless	maɖɔʋu
recognition	dzesidede
recognize	de dzesi
recommend	ɖo aɖaŋu
recommended	doe ɖa
record	nyaleɖi
recover	xɔe gbɔ
recovery	hayahaya
rectangle	aɖaka legbee
red	dzẽ
redeem	ɖe
redemption	ɖeɖekpɔkpɔ
reduce	ɖe edzi
redundant	si tsi edzi
refer	ɖo ɖa
reference	ɖeɖe fiã
reflection	dzedze
reflect	klẽ
refrain	dzudzɔ
refrigerator	nufamɔ
refund	gbugbɔ ga na
refused	gbe
refuse	gbe
regarding	le enu
regard	kpɔ
regardless	si ŋu womebu o
regards	gbedoname
region	nuto
register	ŋlɔ ŋkɔ
regret	se veve
regular	edzidzi
regularly	edziedzi
reject	gbe
related	do ƒome
relate	do ƒome
relationship	ƒomedodo
relative	ƒometɔ
relatives	ƒometɔwɔ
relax	gbɔdzi ɖi
released	si ŋuti woɖe asi le
release	ɖe asi le
relevant	le veviẽ
reliable	woaka ɖe edzi
relief	gbᴐɖeme
relieved	kpɔ gbɔɖeme
relieve	na gbɔɖeme
religion	subɔsubɔ
religious	subɔsubɔ nu
reluctant	mele lɔlɔm o
rely	ɖo ŋu
remaining	si kpɔtɔ
remain	tsi anyi
remarkable	si dze
remedy	atike
remember	ɖo ŋku edzi
remind	ɖo ŋku edzi
reminder	ŋkuɖodzi
remote	si gbɔ dzi dzi
remove	ɖee le eme
render	tsɔ na
rent	haya
repair	dzrae ɖo
repeat	gawɔe ake
replace	ɖo eteƒe
reply	ɖo eŋu
report	nutsotso
represent	si le eteƒe
reputation	bubudede
request	bia
required	si hiã
require	hiã
rescue	ɖe le fu me
research	numekuku
resemble	ɖi
resentment	dɔmedzoedodo
reservation	megbedede
reserve	si woda ɖi
resident	dumenɔla
resign	ɖe asi le dɔ ŋuti
resilience	tenɔnɔ
resilient	si seŋu
resistance	agladzedze
resist	gbe
resolution	nuɖoɖo
resolve	le avu
resort	amedzrodzeƒe
resources	nunɔamesiwo
respect	bu ame
respond	ɖo eŋu
response	ŋuɖoɖo
responsibility	dɔdeasi
responsible	wᴐ nuteƒe
restaurant	nuɖuƒe
rest	dzudzᴐ
rest in peace	dzudzɔ le ŋutifafa me
restore	ɖoe eteƒe
restrict	xe mɔ
result	metsonu
results	metsonu
resume	gadze egᴐme
retail	agbadzi nudzadzra
retain	le ɖi
retention	nuléleɖi
retired	xɔ dzudzɔ
retreat	yi megbe
retrieve	xɔegbɔ
return	trᴐ gbᴐ
reveal	ɖe ɖe go
revealed	si woɖe ɖe go
revenge	teƒeɖoɖo
revenue	gakpᴐkpᴐ
reverse	yi megbe
review	dzro eme
revise	wɔ tɔtrɔ
revision	ɖɔɖɔɖo
revolution	tɔtrɔ yeye
reward	fetu
rhythm	ʋugbe
rib	axadameƒu
rice	mᴐli
rich	kpᴐ ga
rid	ɖe ɖa
ride	ku
ridiculous	ɖi kokoe
right now	fifi laa
right	nyui
rigid	si dzeti
ring	asigɛ
rinse	kpala
riot	aglãdzedze
ripe	ɖi
rip	klɔ nu le nu ŋutsi
rise	yi dzi
risk	ŋɔdzi
rival	atsusi
river	tɔsisi
road	mɔ
roast	me
robust	si sẽ
rock	ahliha
rod	kpo
role	wɔƒe
roll	mli
roof	xɔgbagbã
room	xɔ
root	ke
rope	ka
rotten	gblẽ
rough	ƒlatsa
roughly	lɔƒo
round	nogo
route	mɔ
routine	gbe sia gbe nuwɔna
row	akpa
rubber	aŋe
rubbish	gbeɖuɖɔ
rub	si
rude	dze aglã
rug	ɖovu
ruin	gblẽ edome
ruler	dziɖula
rule	se
rules	sewo
run	ƒu du
running	le du dzi
rural	kɔƒeme
rush	si du
sack	kotoku
sacred	si ŋuti kɔ
sacrifice	vɔsa
safe flight	yameʋuɖoɖo dedie
safe	le dedie
safety	dedienɔnɔ
sage	nunyala
said	gblᴐ
sailing	le tsidzi zɔm
sail	zɔ tɔdzi
sake	ta
salary	fetu
sale	nudzadzra
salmon	sama
salt	dze
same	ema ke
Same here	afi sia hã
sample	kpɔɖeŋunu
sand	ke
Sanskrit	Sanskrit
sarcastic	alɔmeɖenya
sassy	dzetugbe
satisfaction	ƒoɖiɖi
satisfied	ɖi ƒo
satisfy	ɖi ƒo
satisfying	le ƒo ɖim
sat	nɔ anyi
Saturday	Memlɛɖa
sausage	na
savage	tso gbe me
save	dzrae ɖo
saw	kpᴐ
say	gblᴐ
scale	dudanu
scam	adzodamɔnu
scar	abikukuteƒe
scarce	si mebɔ o
scared	vɔ̃
scarf	taku
scary	do ŋɔdzi
scattered	kaka
scene	nukpɔkpɔ
scenery	nukpɔkpɔ
scent	ʋeʋe
schedule	ɖoɖo si dzi woazɔ
school	suku
science	dzᴐdzᴐme ŋuti nusᴐsrɔ̃
scientist	dzɔdzɔmeŋutinunyala
scientists	dzɔdzɔmeŋutinunyalawo
scissors	sakisi
scold	gbenya
scope	kekeme
score	do age
scrap	nu gbagbã
scratch	kukɔ nu ŋu
scream	do ɣli
screen	mɔxenu
screw	gatagbadze totro
script	nuŋlɔɖi
sea	atsyiaƒu
seal	nutrenu
search	di
season	ɣeyiɣi
seat	zikpui
second	evelia
secret	nuɣaɣla
section	akpa
secure	le dedie
security	dedienɔnɔ
seed	nuku
seek	di
see	kpɔ
seem	dze ame
seems	dze abe
seen	kpɔ
see you later	miado go emegbe
see you	miado go
see you soon	miado go
see you tomorrow	tsɔ míado go
seize	zi nu dzi
seizure	nudzisesẽ
seldom	si medzᴐna edziedzi o
select	tia
self	ame ŋutɔ
self healing	yɔadɔ eɖokui
selfish	di eɖokui tᴐ
sell	dzra
send	dᴐ
send me your picture	ɖo wò nɔnɔmetata ɖem
senior	ametsitsi
sense	susu
sensible	si me susule
sensitive	sea nu
sent	dɔ
sentence	nyagbe
sentences	nyagbewo
separate	to vovo
Sepedi	Sepedi
september	anyɔnyɔ
sequence	yomenuwo
series	siwo kplɔ wo nɔewo ɖo
seriously	veviẽ
serious	moveviẽ
serve	subɔ
service	dɔ
session	akpa
set	ɖoe
setting	ɖoɖo
settle	dze anyi
set up	ɖo anyi
seven	adrẽ
seventeen	wuiadrẽ
seventy	blaadrẽ
several	geɖe
severe	seŋu
sew	tɔ
shade	vɔvɔli
shadow	vɔvɔli
shake	ʋuʋu
shall	na
shallow	megoglo o
shame	ŋkpe
shape	dzedzeme
share	ma
sharp	ɖaɖɛ
shed	agbadɔ
she	e
sheep	alẽ
sheet	agbalẽ kakɛ
she has	le esi
she is	eyae nye
shelf	agba
shell	dzato
shelter	bebeƒe
shield	akpoxɔnu
shift	te yi
shine	klẽ
ship	mɛli
shipping	agbaɖoɖo ɖa
shirt	awu
sh	na
shoes	afɔkpawo
shoot	da
shop	fiase
shopping	nuƒeƒle
shore	tɔto
shortage	mademade
short	kpuie
shot	dada
shoulder	abɔta
shout	do ɣli
show	ɖe fia
shower	tsinyɔnyɔ
show me	fiam
shrimp	bɔlu
shrink	no ɖe eme
shut	tu
shut up	zi ɖoɖoe
shy	ŋukpem
sibling	nɔvi
siblings	nᴐviwo
sick	le dɔ lém
side	axa
sigh	ɖe hũu
sight	nukpᴐkpᴐ
sightseeing	ŋkutsatsa
signature	asinu dzesi
sign	dzesi
significant	le veviẽ
silence	ɖoɖoezizi
silent	zi ɖoɖoe
silk	ɖetsi
silly	abunɛ
silver	klosalo
similar	sᴐ
simp	abunɛtɔ
simple	ɖagbuie
simultaneously	enumake
since	esi wònye
sincerely	le nyateƒe me
sincere	toa nyateƒe
sing	dzi ha
singer	hadzila
single	ɖeka
sink	yi to
Sir	amega
sister in law	nɔvi ŋutsu srɔ̃
sister	nᴐvi nyᴐnu
site	teƒe
sit	nɔ anyi
situation	ɣeyiɣi
six	adẽ
sixteen	wuiadẽ
sixty	blaadẽ
size	lolome
skill	aɖaŋuwɔwɔ
skills	aɖaŋuwɔwɔ
skinny	nye ƒu ɖeɖe
skin	ŋutigbalẽ
skip	dzo to eta
skirt	siketi
sky	yame
slave	kluvi
sleep	dᴐ alɔ̃
sleeping	le alɔ̃dɔm
sleepy	alɔ̃ le etsɔm
sleeve	awubɔ
slice	kpakpɛ
slide	ɖiɖi
slightly	vie ko
slim	tsralɛ
slip	agbalẽvi
slope	aga
slot	nudeƒe
slow	blewu
slowly	blewu
small	sue
smart	zãzɛ̃
smell	ʋeʋẽ
smile	alɔgbɔnu
smoke	dzudzɔ
smooth	zrɔ̃
snack	numeɖenu
snail	abɔbɔ
snake	dã
snap	to dɔ
snow	sno
soak	de tsi
soap	adzalẽ
sober	se nu gɔme
soccer	bɔl ƒoƒo
social	hame
society	du
socks	afɔwui
so cute	nyakpɔ ŋutɔ
so	eyata
so far	va se ɖe fifia
soft	bᴐbᴐ
software	sɔƒtwɛ
soil	ke
sold	dzra
soldier	asrafo
sold out	wodzrae
sole	ɖeka
solid	nu sesẽ
solution	ŋuɖoɖo
solve	ɖo eŋu
somebody	ame aɖe
some	ɖe
somehow	ɖewuiɖewui
someone	ame aɖe
something	nane
sometimes	ɣeaɖewoɣi
song	ha
soon	madidi o
sophisticated	si me nu geɖe le
Sorani	Sorani
sore	abi
sore throat	vemexɔabi
sorrow	konyifafa
Sorry	Babaa
sort	ɖo
sought	di
soul	luʋɔ̃
soulmate	na
sound	gbeɖiɖi
soup	detsi
source	dzᴐtsoƒe
sour	le vevem
south	anyiehe
space	teƒe gbadza
spam	na
Spanish	Spaniagbe
span	lũ
spare	kpeɖeŋu
speak	ƒo nu
special	tᴐxɛ
species	ƒome
specific	si dzi wotᴐ asi
spectacular	nukpɔla
speechless	mate ŋu aƒo nu o
speech	nuƒoƒo
speed	dusisi
spell	yɔ ŋɔŋlɔdzesiwo
spend	zã
spent	zã
spicy	le aɖe
spike	ŋu
spinach	ama
spin	tro
spirit	gbɔgbɔ
spit	ɖe ta
splendid	nyakpɔ ŋutɔ
split	ma
spoiled	gblẽ
spoil	gblẽ
spontaneous	enumake
spoon	gatsi
spot	teƒe
spouse	srɔ̃
spread	kaka
spring	gagᴐdɔ̃e
square	dzogoe ene
squeeze	mía
squid	bosrã
squirrel	adɔ
stable	dze mo anyi
stab	tɔ hɛ
stack	nuƒoƒu
staff	dᴐwᴐlawo
stage	fefewɔƒe
stain	ɖi
stairs	trakpui
stake	ati si wotu
stalk	ɖia ame
stall	tɔ kplo
st	amekɔkɔe
stamp	nutredzesi
standard	dzidzenu
stand	tso
star	ɣletivi
start	dze egᴐme
started	dze egɔme
starving	dɔ le wuwum
state	dukɔ
statement	nyadu
station	ʋuɖoƒe
statue	kpetata
status	ɖoƒe
stay	nᴐ anyi
stay safe	nɔ dedie
steady	dzɔ
steak	nyilãmeme
steal	fi
steam	dzudzɔ
steel	ga
steep	si glɔ̃
stem	ati
step	afɔɖeɖe
stick	ati
stiff	dzeti
still	kokooko
sting	te
stingy	nye dɔnuitɔ
stir	blu
stock	asigba
stolen	si wofi
stomach	ƒodo
stone	kpe
stood	tso
stool	zikui
stop	tᴐ
storage	nudzadzraɖo
store	fiase
storm	ahom
story	ŋutinya
stove	mlekpui
straight	dzɔ
straightforward	yi tẽe
strain	he eɖokui
stranger	amedzro
strange	si womekpᴐ kpᴐ o
strategy	ayɛ
strawberry	na
straw	gbekui
streak	flitsotsowo
stream	tᴐsisi
street	mɔdodo
strength	ŋusẽ
stress	nuteɖeamedzi
stretch	he eme
strict	ƒe nyame sẽ
strike	ƒo
string	ka
strip	ɖe le eŋu
strive	do ŋusẽ nu
stroke	gbagbãdᴐ
strong	sẽ
struck	ƒo
structure	nɔnɔme
struggle	ʋli
struggling	le fu kpem
stubborn	dze aglã
stuck	tsi teƒe ɖeka
student	nusrɔ̃la
studying	le nusrɔm
study	srɔ̃ nu
stuff	nuwo
stunning	wᴐ nuku
stupid	abunɛ
style	atsyiã
subject	nyati
submission	nu tsɔtsɔ yi
submit	tsᴐe yi
substance	nu
substitute	teƒenɔla
subtle	le aye me
succeed	kpɔ dzidzedze
success	dzidzedzekpᴐkpᴐ
successful	dze edzi
such	abe
such as	abe
suck	no
sudden	emumake
suddenly	tete
suffering	fukpekpe
suffer	kpe fu
sufficient	de
sugar	sukli
suggest	doe ɖa
suggestion	nudodoɖa
suitable	si nyo
suitcase	potomato
suit	dziwui
sum	home
summary	totoɖeme
summer	dzomeŋɔli
summit	takpekpegã
sunday	kɔsiɖa
sun	ɣe
sunny	ŋdɔkutsu
sunset	ɣetoɖoɖo
sunshine	ɣedzedze
superior	si de ŋgɔ wu
super	nyo ŋutɔ
supervisor	dzikpɔla
supper	fiɛ̃ nuɖuɖu
supply	nunana
support	de megbe
suppose	bui be
supposed	bui be
sure	ka ɖe edzi
surface	ŋkume
surgery	amekoko
surge	yi dzi
surname	ƒome ŋkɔ
surprised	wɔ nuku
surprise	si do le kpome
surrender	na ta
surrounding	nu siwo ƒo xlã
surveillance	gbetakpɔkpɔ
survey	le ŋku ɖe eŋu gbadza
survive	tsi agbe
suspect	bu nazã
suspended	si dzi woɖo asi
suspicious	nye nu vɔɖi wɔla
sustainability	anyinɔnɔ didi
sustainable	si ate ŋu anɔ anyi
sustain	le ɖe te
swag	xɔmetsovɔ legbe
swallow	mi
swap	tutu eme
swear	ka atam
sweat	dze fifia
sweater	vuvɔmewu
sweep	kplɔ nu
sweet dreams	ku droẽ viviwo
sweetheart	lɔlɔ̃tɔ
sweet tooth	numevivi
sweet	vivi
swelling	tete
swell	te
swim	ƒutsi
swimming	tsiƒuƒu
swing	dayidagbɔe
switch	si
swollen	te
sword	yi
symbol	dzesi
sympathy	akɔfafa
symptoms	dɔléle dzesi
system	mɔnu
table	kplɔ̃
tackle	afɔdeme
tag	dzesidekpe
tail	asikɛ
take away	ɖee le eme
take care	lebenɛ
taken	tsɔ
take off	dze mɔ
take	tsɔ
talkative	ƒoa nukpoloe
talk	ƒo nu
tall	kᴐkᴐ
tape	nudzidzeka
tap	ƒo edzi
target	taɖodzinu
task	dɔ
taste	ɖᴐe kpᴐ
tasty	le aɖe
taught	fia nu
teacher	nufiala
teach	fia nu
team	dɔwɔha
tear	aɖatsi
tears	aɖatsiwo
tease	ɖia ame nu
tea	tii
technology	mɔɖaŋu
teeth	aɖuwo
tell	gblᴐ
tell me	gblᴐe nam
temperature	dzoxɔxɔ
temper	dziku
temple	gbedoxɔ
temporary	manᴐ anyi adidi o
tenant	xɔhayala
tendency	ŋutete
tender	bᴐbᴐ
tend	tea ŋu
ten	ewo
tense	kpɔ̃ɔ
tension	dzimaɖeɖi
tent	agbadɔ
tentative	si dzi womeɖo kpee o
ten thousand	akpe ewo
term	nya
terms	ɖoɖowo
terrible	ɖi vᴐvɔ̃
terrific	si sẽŋu
territory	anyigbã
test	dodokpɔ
text	nuŋɔɖi
thank	akpe
thanks	akpe
Thanks for using our app	Akpe be nèzã app sia
thank you	akpe na wò
Thank you for your patience while we investigate shipment	Akpe be nègbɔ dzi ɖi na mí le esime míenɔ nugɔmekuku la wɔm
thank you so much	akpe na wò kakaaka
thank you very much	akpe na wò kakaaka
than	wu
that is	ema nye
that	nu ma
that's good	ema nyo
theft	fififi
their	woƒe
theme	nyati
themselves	woawo ŋutɔ
them	wo
then	ɣe ma ɣi
theory	agbalẽmenya
there	afi ma
there are	wo li
therefore	eya ta
there is	nane le
these	nu siawo
the	the
they are	woawoe nye
they	wo
thick	tri
thief	fiafi
thigh	atagba
thing	nu
things	nuwo
think	bu tame
thin	lɛe
third	etɔ̃lia
thirsty	tsikɔ le wum
thirteen	wuietɔ̃
thirty	blaetɔ̃
this is	esia nye
this	nu sia
thoroughly	memie
thorough	memie
those	emawo
thought	bui be
thoughtful	bua tame
though	togbɔ
thoughts	tamesusuwo
thousand	akpe
thread	ka
threaten	do vɔvɔ̃
threat	ŋᴐdzidodo
three	etɔ̃
threshold	kpui
thrilled	do dzidzɔ
thrive	le agbe tim
throat	vetome
throughout	katã me
through	to eme
throw	da
thumb	degblefetsu
thunder	dziɖegbe
Thursday	Yawoɖa
thus	eya ta
tick	de dzesi
tide	ƒudada
tidy	le dzadzɛ
tie	sa kᴐ
tiger	kpɔ̃
tight	mía
Tigrinya	Tigrinya
time	ɣeyiɣi
timid	vɔna
tiny	sue
tip	nunana
tips	aɖaŋuɖoɖowo
tired	ɖeɖi te eŋu
tire	te ɖeɖi
tissue	ayi
title	tanya
toast	ɖo dze
to be	nyenye
today	egbe
toddler	vitata
toes	afɔbidɛ
together	ɖekae
toilet	afɔdzi
told	gblɔ
tolerance	dzigbɔɖi
tolerate	ɖe mɔ
tomato	tomatre
tomorrow	tsɔ si gbɔna
tongue	aɖe
tonight	fiɛ̃ sia
too	hã
took	tsᴐ
tool	dɔwɔnu
tools	dɔwɔnuwo
tooth	aɖu
top	dzi
topic	nyati
torn	vuvu
torture	funyafunya
total	ƒuƒoƒo
touch	ka asi
tough	sẽ ŋu
tour	tsaɖiɖi
toward	ɖo ta
towards	ɖo ta
towel	papaŋu
town	du
toxic	nye aɖi
to	yi
trace	ti eyome
track	gbememᴐ
trade	asitsatsa
traditional	dekɔnu nu
tradition	dekɔnu
traffic	trafik
trail	le megbe
training	hehe
train	na hehe
trait	nɔnɔme
traits	nɔnɔmewo
transfer	tsɔ yi teƒe bubu
transition	dodo le eme
translate	ɖe gbe gɔme
transparent	si me kɔ
transportation	ʋuɖoɖo
transport	de ʋu
trap	mɔ
trash	gbeɖuɖɔ
trauma	vevesesegã
travel	zɔ̃ mᴐ
tray	agbagbadzɛ
treasure	kesinɔnu
treatment	dᴐyᴐyᴐ
treat	wɔ nu ɖe
tree	ati
tremendous	si lolo ŋutɔ
trend	le tsi dzi
trial	dodokpᴐ
trick	ayɛ
tried	dze agbagba
trigger	daƒe
trim	lũ
trip	mᴐzɔ̃zᴐ
trouble	kuxi
trousers	atalegbe
truck	keke
true	nyateƒe
trunk	nugo
trust	ka ɖe edzi
truth	nyateƒe
try	dze agbagba
Tsonga	Tsonga
tube	nuto
Tuesday	blãɖa
tuition	nufiafia
turkey	dɔkɔ
turmeric	na
turn	trᴐ
turtle	klo
tutor	nufiala
twelve	wuieve
twenty	blaeve
twenty-one	blaeve-vɔ-ɖɛkɛ
Twi	Blugbe
twice	zi eve
twist	tro
two	eve
type	ƒomevi
typical	ŋutɔŋutɔ
ugly	vlo
ultimate	le nuwuwu
umbrella	xexi
unable	mate ŋui o
uncle	nyrui
unconscious	yi ɖime
under	egɔme
underneath	gɔme
underrated	da ɖe anyi
understand	se egᴐme
understood	se egɔme
unfortunately	dzᴐgbevᴐetᴐ
uniform	si sɔ
unique	tɔxɛ
unit	nu ɖeka
university	yunivesiti
unknown	si womenya o
unless	negbe
until	va se ɖe
unusual	si womekpɔ kpɔ o
update	doe ɖe ŋgᴐ
up	dzi me
upgrade	do ɖe ŋgɔ
upon	na
upset	kpɔ dziku
up to you	ele gbɔwò
urban	dugãme
urgent	si hiã enumake
urge	xlɔ̃ nu
used	si wozã
useful	ɖe vi
useless	si ŋu ŋudɔwɔnu aɖeke mele o
use	zã
us	mí
usually	zi geɖe
usual	si dzɔna
utility	ŋudɔwɔnu
vacation	mᴐkeke
vaccination	abuidodo
vaccine	abuitike
vacuum	nu ɖi gbɔlo
vague	si me mekɔ o
valid	le enu
valley	bali
valuable	si xɔ asi
value	asixᴐxᴐ
variety	vovovowo
various	vovovo
vary	to vovo
vase	agba
vast	si keke
vegetable	amagbewo
vegetables	amagbewo
vehicle	ʋu
vendor	nudzrala
venom	aɖi
venture	dze agbagba
venue	nuwɔƒe
verify	ɖo kpe edzi
versatile	si wɔa nu geɖe
version	nukpɔkpɔ
vertical	tsi tsitre
very good	nyo ŋutɔ
very	ŋtᴐ
vessel	nugo
via	to eme
vibes	dzidzᴐ nyawo
vibe	seselelãme
vicious	vɔɖi
victim	fukpela
video	video
view	kpᴐ
village	kɔƒe
villain	amevɔ̃ɖi
vinegar	ahatsitsi
vintage	si xɔ ŋkɔ
violence	avuwɔwɔ
violent	si wɔ avu
viral	si le kakam
virgin	ɖetugbui si menya ŋutsu o
virtual	na
virtue	nu nyuie
vision	nukpɔkpɔ
visit	sasrã
visual	nukpɔkpɔ
vital	le veviẽ
vivid	si mekɔ nyuie
vocabulary	nya nyanya
voice	gbeɖiɖi
void	ɖi ƒuƒlu
volume	ɣlidodo
volunteer	tsɔ ɖokui na
vomit	ɖe xe
vulnerable	gbᴐdzᴐ
wage	fetu
wages	fetu
waist	ali
waiter	subɔla
waiting	le lalam
wait	lala
wake	nyɔ
wake up	nyɔ
walking	le zɔzɔm
walk	zɔ̃
wallet	gakotoku
wall	glĩ
wander	tsa
wanna	di be
want	di
wanted	wo di
war	aʋa
wardrobe	awudzraɖoƒe
warehouse	agbaxɔ
warm	xɔ dzo
warn	ɖo afɔ afɔta
warning	kpɔnyuiedodo
warrior	aʋawɔla
wash	nya nu
was	nye
waste	gbeɖuɖᴐ
watch	kpɔ
watermelon	dzamatre
water	tsi
wave	ƒutsotsoe
way	mᴐ
weak	gbᴐdzᴐ
weakness	gbɔdzɔgbɔdzɔ
wealth	hotsuikpᴐkpᴐ
wealthy	gatɔ
wear	do
we are	míawoe nye
wearing	do
weather	ya me
we can	míate ŋu
wedding	srɔ̃ɖeɖe
Wednesday	Kuɖa
weed	gbe
weekend	kɔsiɖanuwuwu
