a	ɖé
month	sùn
mood	é ɖò wɛn
moody	adawùn
moon	sun
moral	hwɛjijɔ
more	hú
more	nǔ ɖevo lɛ
moreover	é ɖò có
morning	zanzan
mortgage	ɖó agban
most	mɛ gègě
mostly	hwɛhwɛ ɔ
mother	nɔ
motion	nùjlɛ́n
motivation	nùkpinkpan
mountain	só
mouse	xɛ
mouth	nu
move	ɖyɔ́
movement	dindàn
movie	fílimu
mrs	nyɔnu
much	nǔ gègě
mud	kɔ́
mug	agbàn
muscle	azɔngban
museum	nùɖúɖúxwé
mushroom	hùnto
music	nùxixo
must	ɖó nà
mute	memɔnɔdɔ́xo
mutual	mɛ ɖokpo ɖokpo
my	ce
My dear	Mɛvíví ce
my friend	xɔ́ntɔn ce
My hovercraft is full of eels	Hovercraft ce gɔ́n ɔ
My hovercraft is full of eels	agɔnkpo gɔ́
my love	wanyiyi ce
my name is	nyǐkɔ ce wɛ nyí
my pleasure	e nyɔ́ nú mì
myself	nyɛ ɖésú
mysterious	nùxámɛ
mystery	nùbúdo
myth	nùjlɛdonǔwu
nail	wùjɔ́nù
naive	tlennɔ́
name	nyikɔ
narrative	hwenuxo
narrow	godwé
nasty	nǔ nyanya
national	tò tò
nationality	tò tò
native	tò tò
natural	jujɔ́
nature	jijɔ́
nausea	nùxámɛ
near	tòfi
nearby	kpò
nearly	é ɖò xixo wɛ
neat	ɖò
neat	zinzin
necessary	joxɛnù
neck	kɔ
necklace	nùjlɛ́nú
need	aɖò gblà mɛ
need	nukùnmyà
negative	nùɖé ǎ
neglect	ɖekpo
negotiate	ɖɔ xó
neighbor	nɔzo
neighborhood	nɔzo
neither	ɖě ǎ
nephew	mɛvíví
nerd	gɔgùnɔ́
nervous	é ɖò adohu adohu wɛ
nest	xɛ
net	nùɖé
network	nùjlɛ́n
neutral	démadokantɔ́
never	hweɖebǔnu
never give up	ma jó gbè gbeɖé ó
never mind	é ɖò wɛn
nevermind	É ɖò wɛn
nevertheless	é ɖò có
new	yɔyɔ
news	xota lɛ
next	mɛ e ná bɔ d'ewu é
next to	kpá
nice	é nyɔ́
nice to meet you	é víví nú mì ɖɔ un mɔ mi
niece	nɔví nyɔnu tɔn
night	zǎn
nightmare	nǔ nyanya
nine	tɛntɔn
nineteen	kanwe afɔtɔn
ninety	kanɖé gban
No	gbeɖé
no problem	tagba ɖé ǎ
no way	é nyí mɔ̌ ǎ
nobody	mɛɖebǔ
noise	jɔhɔn
noisy	jɔhɔn
none	ɖě ǎ
noon	zanzan
nope	éǒ
nor	mɔ́mɔ́
normal	sɔ́ gbè
north	totaligbé
nose	nù
nostalgic	nùxámɛ
not	é nyí
not at all	é nyí mɔ̌ gbeɖé ǎ
not bad	é nyɔ́
Not now	É nyí din ǎ
not yet	é ko lín ǎ
note	wlan wlan
noted	è ɖɔ
nothing	nǔtí ă
nothing	nùɖé ă
notice	xójlawema
noticed	mɔ ɖɔ
noun	nyi
nouns	nyikɔ́
novel	nùjlɛdonǔwu
november	azanzan
now	din
nowadays	égbé
nuisance	nùklɛ́n
null	nùɖé ǎ
numb	mɔ́kpàn
number	nùkan
nurse	dŏwùn
nut	nùsúnnú
nutmeg	nùsúnnú
nutrition	nùɖuɖu
oath	akpágbánúmɛ
obesity	ɖùɖù
obey	se tónú
object	nùjɔnǔ
objective	nukúnɖíɖó
obligation	azɔ̀
obscure	nùjlɛ́jlɛ́
observation	nǔ kpɔ́n
observe	kpɔ́n
obsessed	é nɔ́ yí wǎn
obsession	avivi
obsolete	nùɖíɖó tɔn lɛ
obstacle	gbeta
obtain	yí
obtained	è mɔ
obvious	é ɖò wɛn
obviously	é ɖò wɛn
occasionally	hweɖelɛnu
occupation	un nyí
occupied	è nɔ́ yí
occur	nǔ nɔ jɛ
occurred	é jɛ
occurs	nǔ nɔ jɛ
ocean	xù
october	azan ɔ
odd	mɛ mù
odds	nùkpɔnmɛ
of	un
of course	é ɖò wɛn
off	e ɖo azɔ́
offensive	nùbló
offer	xógbé
offer	flɔ́n
office	azɔxɔ
official	azɔ̌watɔ́
often	azɔn gègě wɛ
Oh	éé
oh really	nugbǒ wɛ
oil	ami
ok	é nyɔ́
ok dear	alɔví ce
ok honey	E nyɔ́
ok my love	Kún ce
okay	é nyɔ́
okay baby	é nyɔ́ vǐví
okay dear	é nyɔ́ xɔ́ntɔn
okay honey	é nyɔ́, vǐví
okay my love	e nyɔ́ xɔ́ntɔn
old	mɛxó
on	ɖò
once	azɔn ɖokpo
one	ɖokpo
one language is never enough	gbè ɖokpo kún kpé ó
onion	xɛ
online	nǔ e ɖò wemaxɔmɛ lɛ é
only	xlohùn
open	hun
operation	azɔ
opinion	linlin
opportunities	tɛnkpɔn
opportunity	dŏ wŭ
opposite	kpénà
optimistic	nukúnɖíɖó
option	gbeta
optional	nùɖé ǎ
or	alǒ
orange	yovo zin
order	zi zon
order	zon
ordinary	nùɖíɖó lɛ
organization	tuto
orientation	gbeta
origin	fí è é sín
original	tòxó
Oromo	Oromo
orphan	mɛ e ma ɖó tɔ́ ǎ
other	nǔ ɖevo lɛ
otherwise	é nyí mɔ̌ ǎ ɔ
ought	ɖó
our	mε tɔn
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Nǔɖiɖe mǐtɔn wɛ nyí ɖɔ mǐ na d'alɔ mɛ bǐ bɔ ye na mɔ nukúnnú jɛ gbɛ̀ ɔ mɛ bo na ɖɔ xó dó gbè vovo mɛ.
Our mission: to organize the world's information and make it universally accessible and useful.	Nǔɖiɖe mǐtɔn wɛ nyí ɖɔ mǐ na bló bɔ nǔ e ɖò wɛ̀kɛ ɔ́ mɛ lɛ́ɛ bǐ ná mɔ nukúnnú jɛ nǔ e ɖò wɛ̀kɛ ɔ́ mɛ lɛ́ɛ wú, bɔ nǔ ɖagbe lɛ́ɛ na jɛ.
out	hɔn
outcome	ledudu
outfit	awu
outgoing	hwezize
outlet	tintɔ́n
outline	nùjlɛdonǔwu
outside	hɔnto
outstanding	nǔ e ɖò jijɛ wɛ é
oven	jɔhɔn
over	ɖi
over there	ɖò fínɛ́
overall	nǔ bǐ
overcome	len
overthinking	nùxámɛ
overwhelmed	e ɖò nǔ kpé wɛ
overwhelming	nǔ kpinkpɛn
owe	é ɖó
owl	xɛ
own	ayihun
owner	xwétɔ́
ox	nyibú
pace	wefɔ́
pack	blá
package	nùbiblà
paid	sù àkwé
pain	wuvɛ̌
paint	tinmɛ
painting	wemafɔ
pair	kpɔ́
pale	nyénminyénmi
palm	atín
pan	ganzen
pandemic	nùxámɛ
panic	kpò
pants	gàn
paper	wèmá
paradise	palaɖisi
parallel	nùɖé lɛ
parcel	ayikúngban
pardon	hwɛ kɛ mì
parents	mɛjitɔ́ lɛ
park	gletoxo
parrot	àcùkpà
parsley	nùsúnnú
part	akpáxwé
participate	ɖù
particular	nùɖé
particularly	tawun
partner	alɔwliwli
party	xwé
pass	wà yì
passage	nùɖé
passed	Un ɖu
passion	jlǒ
passionate	ayihunhun
passive	hundidà
password	xókwin
past	hwexónu tɔn
patch	nùkpàkpà
path	ali
pathetic	nùblóbló
patience	suúlu
patient	azinzɔnnɔ
patient	ɖó suúlu
pattern	nùjlɛdonǔwu
pause	gbɔjɛ
pavement	alijɛmɛ
pay	su àkwè
payment	nùxámɛ
peace	alàfià
peaceful	fífá
peach	hwevihuhù
peak	atà
pear	dugo
peas	gbǎ
peculiar	nùɖé
pee	ɖŏ
pee	ɖù
peel	atinflo
peer	mɛ ɖokpo ɖokpo
peers	mɛɖòdó
pen	kpɔn
pencil	nùjlɛ́mɛ
pending	e ɖò te
people	mɛ lɛ
pepper	atakin
perceive	mɔ
perception	nǔ kpinkplɔn
perfect	nùkpinkpɔn
perform	wà
performance	azɔwanúwiwa
perhaps	é sixu nyí
period	xwè
permanent	nɔ nɔ
permission	gbè
permit	gbè
perseverance	kanɖodonǔwu
persistent	nùɖíɖó
person	mɛ
personal	mɛtɔn
personality	me
perspective	nukúnɖíɖó
persuade	yí gbè
pervert	mɛdídá
pet	làn
phase	tɛnkpɔn
phenomenon	nùɖé
philosophy	nùnywɛxó
phone	alokan
photo	foto
phrase	xógbe
physical	agbaza tɔn
pick	yí
pick up	yí
picture	nùjlɛdonǔwu
piece	nùɖé
pieces	nù
pig	xɛ
pigeon	ahwanné
pile	pilàa
pillow	kɔɖonù
pilot	jɔmɛhun
pin	nùkpá
pineapple	nùsúnnú
pink	kɔ́wé
pit	ayisùnhwin
pitch	sô do
pity	hwɛ kɛ mɛ
place	tin mɛ
place	zédo
places	fí lɛ
plague	azɔnkwín
plain	jihùn
plan	gbeta
plane	jɔmɛhun
plant	atín
plants	atín
plate	gblɛlɛ
platform	aligbɔn
play	dayin houn
play	ɖù
play	ayi houn dida
playing	dà ayihun
pleasant	nyɔ́
please	kɛnklɛ́n
pleased	xomɛ nɔ hun mì
pleasure	xomɛhunhun
pledge	gbeji
plenty	nǔ gègě
plot	nùɖé
plug	yí
plum	sunmi
plumber	gbatesɔ́tɔ́
plural	mɔ́kpàn
podcast	nùjlɛdonǔwu
poem	nùjlɛ́mɛ
poetry	xójlawema
point	nǔ
poison	nùnina
police	kpodo kpodo kpodo
policy	alixlɛ́mɛ
polite	mɛɖesɔhwe
pollution	nùxámɛ
pond	tɔ̀n
pool	xù
poop	lanmi
poor	wamamɔnɔ
pop	awadakpèkpè
popular	nùjlajla tɔn
population	tomɛni
pork	xasun
porridge	hwinhwen
port	tɔjihun
position	tɛn
positive	nùjlɛdonǔwu
possess	ɖó
possession	nùnɔ́
possessive	xwétɔ́
possible	nǔ sixu jɛ
post	wɛn ɖé
post	wɛn
postpone	ɖŏ gbè
potato	atín
potential	wlenwin
pound	goyitɔ́
poverty	wamamɔnɔ
power	hlɔnhlɔn
powerful	hlɔnhlɔn
practical	nùjiwǔ
practice	sé dó
praise	kpa
prank	lɔ́yà
pray	xoɖɛ
precious	xɔ akwɛ
precise	é jɛxa
precisely	é ɖò wɛn
predict	ɖŏ ɖŏ
prefer	yí wǎn
preference	e è nɔ yí gbè ná
pregnant	xò
prejudice	ɖŏ wŭ
premises	xɔmɛ
premium	akwɛ́
preparation	nùxámɛ
prepare	blóɖó
prepared	è bló
preposition	nùnùklàjé
presence	ɖò
present	ɖŏ
presentation	nǔɖɔɖókpɔ́
preserve	ɖù
president	gǎn
press	zin
press	é zin zin
pressure	kancica
pretend	ɖŏ nù
pretty	nyɔ ɖεkpε
pretty	é nyɔ́ ganjí
prevent	kpà kɛ́n
previous	nukɔn tɔn
prey	nùwli kànlin
price	akwɛ́ tɔn
pride	goyiyi
priest	vɔ̌sánú-xwlémawutɔ́
primary	nùɖíɖó nukɔntɔn
prime	xùnà
princess	axɔsuvi
principal	akwɛ́ kpinkpɛn
prior	nukɔnmɛ
priority	nukɔn yiyi
prison	ganxó
privacy	mɛɖokponɔ
private	mɛɖesunɔ tɔn
privilege	wǔjɔmɛ ɖé wɛ
prize	ajɔ
probably	é sixu nyí
problem	tagba
procedure	azɔwanú
proceed	yì nukɔn
process	gbèjé
process	hwɛɖíɖó
produce	do tè
product	nùɖé
production	kplididé
profession	azɔ̌
professional	azɔ̌watɔ́
profile	nùjlɛdonǔwu
profit	lèdudu
profound	nùkanmɛ
progress	yi nukɔ́n
progress	nukɔnyiyi
project	azɔwanú
prominent	nùɖíɖó nukúnɖeji
promise	akpá
promise	akpá dido
promote	d'alɔ mɛ
promotion	ɖyɔ́dó
prompt	kpò
prone	ɖíɖá
pronouns	me élɔ́ lé
pronunciation	kpɔn
proof	kúnnuɖenú
proper	jɔwùn
properly	ɖ'ayǐ
properties	mimé
property	nùnyɔ́nà
proposal	xogbè
prospect	nukúnɖíɖó
prosperity	ɖùɖù
prosperous	dɔkunnɔ
protect	cyɔn alɔ jí
proud	goyiyi
prove	xlé
provide	nà
provided	è ná
province	tokpɔn
provision	cédéé
puberty	mɛvǔmɛ
puberty	mɛɖesɔhwe
public	mɛ lɛ
pull	dɔn
pumpkin	ayikpen
punctual	nɔ ɖó ganmɛ
pupil	nùkpàkpà
purchase	xɔ
pure	ayi ɖó wɛ́n
purple	alɔví
purpose	linlin
purse	akwɛ́kpo
pursue	blà gbà nu me
pursuit	dŏ gudo
push	dŏ
put	sɔ́
qualification	nǔwukpikpé
quality	jujɔ́
quantity	nabi Ka wɛ
quarantine	è ɖó ná ɖó wǔ
quarrel	ɖgi lɛ
quarrel	ba hjo
quarter	xota ɖokpo
Quechua	Quechua
queen	axɔ́sú
queer	nǔglɔ́
query	nùkanbyɔ
question	nùkanbyɔ
queue	alɔ́
queue	avɔnu
quick	yá wǔ
quickly	yá wǔ
quiet	dŏ wŭ
quilt	nùɖúɖú
quit	jó dó
quite	é kpé
quiz	nùkanbyɔ
quotation	kinkanbyɔ́
quote	xókwín
quote	ɖɔ
quotes	xota lɛ
rabbit	azwi
race	gbɛ̀
rage	xomɛsin
rain	jĭ
raise	xwégbe
raise	è xwégbe
raised	è sɔ́
ran	hɔn
random	nùɖé
range	sè xwè
rapid	bibi
rapidly	kpɔnkpɔn
rare	nùxámɛ
rarely	hweɖelɛnu
rash	xomegblédome
rat	xɛ
rate	xùnà
rather	é nyɔ́
ratio	nùjlɛ́n
rational	nùɖíɖó
raw	lanjɔmɔ́
re	ðò
reach	kpé
reached	ɖŏ wŭ
reaction	nǔwiwa
read	bǐ
reading	xà
ready	mǐ ɖò gbesisɔmɛ
real	nùjɔnǔ
reality	nùgbonùgbo
realize	mɔ nǔ jɛ
realized	mɔ nǔ jɛ
really	nugbǒ wɛ
rear	gudo
reason	hwɛjijɔ
reasonable	nùnywɛ kpé
recall	yí gbè
receipt	yiyi
receive	yí
received	yíyi
recent	hweɖenu
recently	zaanɖé dìn
reception	yí
recipe	nùdidà
reckless	glàglà
recognition	kpɛ ɖíɖo
recognize	tuùn
recognize	mɔ
recommend	ɖè wě xá
recommended	è ɖɔ
record	ɖŏ wŭ
recover	ɖyɔ́
recovery	ɖyɔ́
rectangle	nùkùnmé
red	alɔvɔ
redeem	yí
redemption	yí yí
reduce	ɖé kpò
redundant	nùɖíɖó e ma ɖó hudo tɔn ǎ
refer	ɖɔ xó
reference	nùjlɛ́n
reflect	nɔ ɖɔ
reflection	ayixà
refrain	hanyiyi
refrigerator	nùɖúɖú
refund	yí gbè
refuse	gbɛ́
refused	è gbɛ́
regard	kpɔ́n
regarding	ɖó xó dó
regardless	é ɖò có
regards	kpɔ́n
region	fí ɖé
register	wemaxɔmɛ
regret	hwɛ dó mì
regular	hwɛhwɛ
regularly	hwɛhwɛ
reject	gbɛ́
relate	ɖɔ xó
related	nùɖé
relationship	kancica
relative	ɖiɖo
relative	miman ɖiɖo
relatives	mɛɖòdó
relax	gbɔjɛ́
release	édjo do
release	djo do
released	jo nyi
relevant	daxo
reliable	alǒ
reliable	È sixu ɖeji dó wu
relief	gbɔdónúmɛ
relieve	gbɔjɛ
relieved	e ɖè sín azɔ̌ tɔn mɛ
religion	sinsɛn
religious	sinsɛn
reluctant	nǔ nɔ jló mɛ ǎ
rely	ɖíɖá
remain	nɔ̀
remaining	nǔ e kpo lɛ é
remarkable	nǔ nukúnɖeji
remedy	gbɔdónúmɛ
remember	flín
remind	flín
reminder	nùjiwǔ
remote	lin lin
remove	ɖè
render	ɖ'ayi
rent	xɔ xɔ
repair	ɖyɔ́
repeat	lɛ́ ɖɔ̀
replace	ɖyɔ
reply	yí gbe
reply	ɖŏ gbè
report	alinu
report	le sɔ́ yi
represent	ɖekúnnu
reputation	nyikɔ
request	byɔ́ byɔ́
request	kan bɔ́
require	byɔ
required	nǔ è ɖó ná bló
rescue	hwlɛn
research	nùkpinkplɔn
resemble	ɖi
resentment	xomɛsin
reservation	e ɖù kpɔ́n gǎndido tɔn lɛ
reserve	kpasin
resident	nɔ nɔ
resign	jó azɔ̌ ɔ dó
resilience	nǔwukpikpé
resilient	é nɔ́ gbò
resist	ɖíɖá
resistance	ɖíɖá
resolution	gbeta ɖé
resolve	gbeta ɖé
resort	gbɔjɛtɛn
resources	akwɛ
respect	si
respect	mɛsisi
respond	yí gbe
response	xósin
responsibility	azɔ̌
responsible	agbandotanànɔ
rest	gbɔjɛ
rest in peace	gbɔjɛ́ ɖo fífá mɛ
restaurant	nùɖuɖu
restore	ɖyɔ́n
restrict	buwùntù
result	xɔxɔ́
results	xɔxɔ́
resume	ɖŏ azɔ̀
retail	nùɖúɖú tɔn
retain	ɖo ken ji
retention	ze nu hén
retired	mɛ e yì ezɔ́
retreat	ɖyɔ́
retrieve	yí sin
return	lɛkɔ
reveal	ɖè xlè
revealed	e ɖe xlɛ́
revenge	hlɔn
revenue	akwɛ́ e è nɔ mɔ
reverse	yì gudo
review	kéjékéjé
review	kéjé kpɔ́n
revise	ɖyɔ́
revision	kpɔnkpɔn
revolution	huzuhuzu
reward	ajɔ
rhythm	ayihun
rib	xù
rice	molukun
rich	dɔkunnɔ
rid	ɖè sin
ride	gboblibli
ride	klà
ridiculous	nùblóbló
right	jlɔ́jlɔ́
right now	dìn dìn
rigid	é nɔ gblé
ring	nùɖé
rinse	hù
riot	nǔdindɔn
rip	voun
rip	évoun
ripe	nùkún
rise	jijɛji
rise	sɔ́ do é ji
risk	djidi déya
risk	édo djidi déya
rival	kpɔ́n kpɔ́n
river	tɔsisa
road	ali
roast	sisɔ
robust	é nɔ́ syɛ́n
rock	só
rod	bàtakùn
role	wà
roll	wlan
roof	xɔ
room	xɔ
root	gúdó
rope	kàn
rotten	nyinyɔ
rough	gidigidi
roughly	nùɖé
round	gbloboto
route	ali è nɔ gbɔn
routine	nùxámɛ
row	xwé
rub	ɖì
rubber	gú
rubbish	awinyà
rude	mɛ ma ɖó sísí ǎ
rug	tikwéé
ruin	gblégblé
rule	nugbodòdó
ruler	wèmàzénù
rules	nugbodòdó lɛ
run	hɔn
running	jijɔ
rural	gleta tɔn
rush	nùxámɛ
rush	tɔ́n
sack	adɔ́kpo
sacred	nǔ mímɛ́
sacrifice	vɔsisa
safe	nùɖé nɔ́ wà ǎ
safe flight	jɔmɛhun ɖé
safety	vivomimɔ́
sage	nùnywétɔ́
said	ɖɔ
sail	xù
sailing	xù
sake	yehwè
salary	azɔkwɛ
sale	nùblíblí
salmon	tɔ́n
salt	jɛ
same	ɖĕvo
Same here	Nyɛ lɔ ɔ
sample	kpɔ́ndéwú
sand	kɔ́n
Sanskrit	Sanskrit
sarcastic	lennɔ́
sassy	do gbangbè
sat	nɔ́ nɔ́ nɔ́
satisfaction	nyɔ́nú
satisfied	é nyɔ́ xomɛ
satisfy	kpé nukún dó
satisfying	nǔ nyɔ́
Saturday	gbɔjɛzán
sausage	nùsúnnú
savage	gblǒ
save	xàsà do
saw	nǔjlɛ́n
say	ɖɔ
scale	kpò
scam	nùblíblí
scar	ɖá
scarce	nùxámɛ
scared	xɛsi ɖi mì
scarf	alɔkpa
scary	xɛsi ɖi
scattered	gba kpé
scene	nùɖé
scenery	vivanù
scent	wǎn
schedule	azǎnzángbè
school	azɔmɛxɔmɛ
science	nùnywɛ xwitixwiti
scientist	nùnywɛ xwitixwiti
scientists	nùnywɛ xwitixwiti
scissors	nùsúnnú
scold	hlun
scope	azɔwanú
score	kpɔnkpɔn
scrap	xwyɔ́
scratch	klù
scream	xlɛ́
screen	xàgbàjé
screw	afɔkpá
script	nùwlanwlan
sea	xù
seal	xɛ
search	ba
season	xwè tɔn
seat	tɛn
second	wegɔ́ ɔ
secret	wèmá
section	akpáxwé
secure	é ɖò ganjí
security	sekirité
see	d'alɔ
see you	mɔ mi
see you later	Mǐ ná mɔ mi ɖò nukɔnmɛ
see you soon	Mǐ ná mɔ mi ɖò malín málín mɛ
see you tomorrow	Nukɔntɔn
seed	jinukún
seek	ba
seem	é ci
seems	é cí ɖɔ
seen	mɔ
seize	wii
seizure	nùxámɛ
seldom	hweɖelɛnu
select	sɔ́
self	mɛɖesunɔ tɔn
self healing	nùjlɛ́jlɛ́
selfish	éɖokponɔ
sell	sà
send	sɛ́ dó
send me your picture	sɛ́ wuntun towe dó mì
senior	mɛxo
sense	nùnywɛ
sensible	nùnywɛ kpé
sensitive	càywé
sent	sè
sentence	xota
sentences	xota lɛ
separate	è ɖè
Sepedi	Sepedi
september	suntɔn
sequence	ɖén dén
series	nùjlɛdonǔwu
serious	nùɖé syɛnsyɛn
seriously	wè wè
serve	flɔ̀n
service	azɔ̌
session	kplé
set	ɖŏ wŭ
set	gbeta
set up	ɖŏtana
setting	ɖŏ
settle	ɖŏ
seven	tɛ́nwe
seventeen	xwè kanɖé gban
seventy	kanɖé gban
several	nùɖé lɛ
severe	adàntɔ́nɔ́
sew	ɖà
sh	ɖ
shade	hùn
shadow	yɔdo
shake	xò
shall	ɖó na
shallow	nù
shame	winnyá
shape	alɔkpa
share	nùmima
sharp	dà
she	é
she has	é ɖó
she is	é wɛ
shed	kɔ́n nyi
sheep	lɛngbɔ́
sheet	wèmá
shelf	akakadà
shell	xù
shelter	xɔ
shield	gǎglónú
shift	ɖŏ
shine	é nɔ́ kɔ́n
ship	tɔjihun
shipping	tɔjihun
shirt	awu
shoes	afɔkpa
shoot	dŏ
shop	xɔ
shopping	xɔxɔ
shore	xù
short	kpéwùn
shortage	hihàn
shot	da twi
shot	da
should	ɖó na
shoulder	alɔ
shout	sú xó
show	sɔ xlɛ
show	gàn
show me	xlɛ́ mì
shower	wùlèxɔ́sà
shrimp	xɛ̀n
shrink	ɖè kpo
shut	xò
shut up	nɔ xwɛ
shy	winnyá
sibling	nɔví
siblings	nɔví
sick	azɔn
side	akpá
sigh	gbɔdónúmɛ
sight	nukún
sightseeing	kpɔ́n fí lɛ
sign	wuntun
signature	alɔwliwli
significant	nùjɔnǔ
silence	xwɛ
silent	xwɛ
silk	nùsúnnú
silly	yɛjɛɛ́
silver	akwɛ
similar	nǔ ɖokpo ɔ
simp	nùɖé kpowun
simple	blakasaà
simultaneously	ɖò hwe ɖokpó ɔ́ mɛ
since	sín hwenu e
sincere	nugbǒ nugbǒ
sincerely	nugbǒ nugbǒ
sing	ji han
singer	nùxixo
single	mɛ ɖokpo
sink	kéjé kpɔ́n
sink	gbéjègbéjé
Sir	Mɛɖaxó
sister	nɔví nyɔnu
sister in law	nɔví nyɔnu
sit	nɔ ayǐ
site	tɛn
situation	nyinyi
six	ayizɛ́n
sixteen	kanwe afɔtɔn
sixty	kanɖé kanɖé
size	jlɛ̀n
skill	ɖŏ mε
skills	azɔwanú
skin	kɔ́
skinny	kéncéén
skip	linlɔ́n
skirt	awu
sky	jixwé
slave	kannumɔ
sleep	dɔ amlɔ
sleeping	amlɔ
sleepy	amlɔ
sleeve	alɔkpa
slice	ouncin
slice	nucincin
slide	nùjlɛdonǔwu
slightly	hweɖě
slim	kpikpa
slip	ɖŏ
slope	dŏ
slot	mɔ
slow	kpò zɔ́n
slowly	dèdè
small	kpɛví
smart	nùnywɛ
smell	wǎn
smile	nu kiko
smoke	jɔhɔn
smooth	ɖì
snack	nùɖúɖú
snack	ayimenù
snail	xɛ́
snake	dan
snap	kpɔn
snow	sεnεn
so	hǔn
so cute	é víví tawun
so far	káká jɛ din
soak	xwi
soap	nùsúnnú
sober	yàyà
soccer	bɔlu
social	gbɛ̀nɔ
society	agun ɔ
socks	afɔkpa
soft	dide
software	azɔwanú
soil	ayikúngban
sold	è sa
sold out	è sa nǔ tɔn bǐ
soldier	sɔ́ja
sole	tɔ́n
solid	jangbaàn
solution	wè
solve	ɖeɖɛ
some	ɖé lɛ
somebody	mɛ ɖé
somehow	gbɔn alɔkpa ɖé mɛ
someone	mɛ ɖé
something	nùɖé
sometimes	hweɖelɛnu
song	han
soon	zaanɖé
sophisticated	nǔ kpinkpɛn
Sorani	Sorani
sore	nuvɛ nan
sore throat	ɖù
sorrow	aluwɛ
Sorry	é vɛ́ nú mì
sort	ɖŏ azɔ̌
sought	ba
soul	ayi
soulmate	mɛ e ɖò gbɛ xá emi é
sound	gbeɖiɖe
soup	nùsúnnú
sour	mùmù
source	tɔ́jɔ́tén
south	tofɔligbé
space	tɛntin
spam	nùjlɛ́jlɛ́
span	gbò
Spanish	Epanɛ́n
spare	fí
spare	tɛn
speak	ɖɔ xó
special	vó
species	alɔkpa lɛ
specific	nùɖé
spectacular	nǔ nukúnɖeji
speech	xóɖiɖɔ
speechless	é nɔ́ ɖɔ xó ǎ
speed	gege
spell	nùɖé
spend	zán
spent	è zán
spicy	kpéclenkùn
spike	wùn
spin	ɖŏ jĭ
spinach	fɔ́tetè
spirit	gbigbɔ
spit	dè atàn
splendid	é nyɔ́ ɖɛkpɛ
split	klànklàn
split	vlɔ́
spoil	gblé
spoiled	nùblawú
spontaneous	sù
spoon	àgiwi
spot	tɛntin
spouse	alɔwliwli
spread	gbló
spring	gbε
square	tɛnkpɔn
squeeze	sin kàn do
squid	xɛ
squirrel	dɔ́n
st	nù
stab	dŏ
stable	é nɔ́ nɔ̀
stack	donu
staff	azɔ̌watɔ́
stage	tɛnkpɔn
stain	ɖì
stairs	siká
stake	akɔ́
stalk	atinkàn
stall	agbantitè
stamp	wuntun
stand	ginnaà
stand	mlè tè
standard	gàn
star	sunví
start	jɛ̀
started	e jɛ
starving	xovɛ́ ɖò xovɛ́ wɛ
state	ninon min
state	yidé
statement	xóɖiɖɔ
station	tɛntin
statue	atinmesɔ́
status	tɛnkpɔn
stay	nù kpùkpo
stay	ci tè
stay safe	nɔ ayijayǐ mɛ
steady	ɖíɖá
steak	xɛ́
steal	yí
steam	jɔhɔn
steel	ganwliwli
steep	kocaà
stem	atinkàn
step	dŏ
stick	kpàn
stiff	dŏ wŭ
still	ayǐhɔ́ngbe
sting	nùmeme
stingy	nǔglɔ́
stir	tukla
stock	cédéé
stolen	wŭ
stomach	adɔgo
stone	awǐnnya
stood	nɔ te
stool	zinkpo
stop	nɔ te
storage	sin
store	xɔ ɔ
storm	jɔhɔn ɖaxó
story	xota
stove	zanzan
straight	ɖisi
straightforward	blakasaà
strain	bǐbɛ̌mɛ
strange	nùxámɛ
strange	nùɖé
stranger	jonɔ
strategy	tuto
straw	fàn
strawberry	nùxuxu
streak	ɖŏ
stream	xù
street	ali
strength	hlɔnhlɔn
stress	adǎn
stretch	dlen
strict	adàntɔ́nɔ́
strike	nùɖé
string	nùjlɛjlɛ
strip	xɛ́
strive	dó gǎn
stroke	nùxámɛ
strong	hlɔnhlɔn
struck	do alɔ́ wù
structure	xɔ́gbigbà
struggle	asàdànnyidànnyi
struggle	xò hùn
struggling	ɖò ahwan fun wɛ
stubborn	gblé
stuck	é ɖò xú
student	azɔmɛvi
study	kplɔ́n wèmà
study	kplɔ́nkplɔ́n
studying	azɔmɛ
stuff	nǔ lɛ
stunning	kpodo ayihun kpo
stupid	xlonɔ
style	nǔwiwa
subject	Nùnina ɔ
submission	hwíhwɛ́
submit	xwlé nùdé me
substance	nùɖé
substitute	tɛnkpɔn
subtle	dide
succeed	kpà me
success	é ɖù
successful	é ɖù
such	mɔ̌hunkɔtɔn
such as	ɖi ɖi
suck	gbɔ́n
sudden	nǔ kpò
suddenly	azɔn ɖokpo
suffer	ya ji
suffering	yajiji
sufficient	nǔ kpé
sugar	suklu
suggest	ɖè wě
suggestion	wěɖexámɛ
suit	awù
suitable	nùɖíɖó e sɔgbe é
suitcase	azɔkwɛ́
sum	kpikpé
summary	nùɖé kpinkplɔn
summer	xwè
summit	atà
sun	hwezivɔ
sunday	gbadanu
sunny	hwezivɔ
sunset	hwe ɖì
sunshine	hwesivɔ
super	nyla kàn
superior	mɛ e hú gǎn
supervisor	nukúnkpinkpan
supper	hunmexwlé
supply	nà
supply	kpasin
support	dŏ alɔ
support	alɔ dŏ
suppose	ɖɔ
supposed	é ɖó ná nyí
sure	é ɖò wɛn
surface	fí è ɖè
surge	nùxámɛ
