a little	бичииле
rectangle	дорт-булуңчук
red	кызыл
redeem	дедир садып алыр
redemption	арылдырышкын
reduce	эвээжедиир
redundant	артыкшылдыг
refer	хамааржыр
reference	айтыг
reflect	чайыннандырар
reflection	дүрзү
refrain	кызыгаарлаар
refrigerator	соодукчу
refund	акша эгидери
refuse	хандырбас
refused	чөшпээревээн
regard	хүндүлээри
regarding	дугайында
regardless	турза-даа
regards	хүндүлел-биле
region	регион
register	бүрүткээр
regret	хараадаар
regret	хомудаар
regular	доктаамал
regularly	үе саанда
reject	чөпшээревес
relate	хамааржыр
related	хамаарышкан
relationship	харылзаа
relative	төрели
relatives	төрелдер
relax	дыштаныр
release	салыр
released	үндүрүпкен
relevant	тааржыр
reliable	бүзүрелдиг
relief	чиигээри
relieve	хостаар
relieved	чиигээн
religion	шажын
religious	шажынчы
reluctant	күзел чокка
rely	идегээр
remain	артар
remaining	чыдып калган
remarkable	кайгамчык
remedy	чепсек-херексел
remember	сактып чоруур
remind	сагындырар
reminder	сагындырары
remote	ырактан
remove	арылдадыр
render	чедирер
rent	хөлезилээр
repair	септелге
repeat	каттаптаар
replace	солуур
reply	харыылаар
report	илеткел
represent	таныштырар
reputation	ат-алдар
request	дилэг
request	негелде
require	хереглээр
required	негелде
rescue	амы-тынын алыры
research	шинчилел
resemble	дөмейлежир
resentment	килең
reservation	бронялаар
reserve	резерв
resident	чурттакчы
resign	халажыр
resilience	шөйлүүчели
resilient	дыгый
resist	удурланыр
resistance	удурланыышкын
resolution	доктаал
resolve	шиитпирлээр
resort	курорт
resources	курлавыр
respect	хүндүткел
respond	харылаар
response	харылаар
responsibility	харыысалгалыы
responsible	харыысаалгалыг
rest	дыштаныр
rest in peace	чыдар чери чымчак болзун
restaurant	ресторан
restore	катап тургузар
restrict	кызыгаарлаар
result	түңнел
results	түңнелдер
resume	дүңнээр
retail	үүрмектей садар
retain	тудар
retention	тудары
retired	халажкан
retreat	аткаарлаар
retrieve	эгидер
return	эглир
reveal	ажыдар
revealed	илереткен
revenge	өжээн
revenue	орулга
reverse	дедир
review	допчулал
revise	эде көөр
revision	эде көөрү
revolution	революция
reward	шаңнал
rhythm	ритм
rib	ээги
rice	рис
rich	бай
rid	хосталыр
ride	мунар
ridiculous	утка чок
right	шын
right	оң
right now	ам дораан
rigid	кадыг
ring	билзек
rinse	былгаар
riot	үймээн
rip	үзүлген чер
ripe	бышкан
rise	кодүрлур
risk	айыылдыг чүве кылыр
rival	адаанныг кижизи
river	хем
road	орук
roast	быжырар
robust	быжыг
rock	даш
rod	өзек
role	роль
roll	чуктаар
roof	крыша
room	өрээл
root	дазыл
rope	хендир
rotten	ирик
rough	бөзүргей
roughly	хире
round	борбак
route	эртер орук
routine	рутина
row	чиг
rub	дүрбүүр
rubber	резина
rubbish	бок
rude	ааспырак
rug	хевис
ruin	бузар
rule	дүрүм
ruler	чагырыкчы
rules	дүрүмнер
run	маңнаар
running	маңнап турар
rural	көдээниң
rush	далажыыр
sack	шоодай
sacred	ыдыктыг
sacrifice	хайыралавас
safe	айыыл чок
safe flight	эки ужар
safety	айыыл чогу
sage	шалфей
said	чугалаан
sail	эжиндирери
sailing	хемелээри
sake	дээш
salary	шалың
sale	садар
salmon	лосось
salt	дус
same	дөмей
Same here	база ындыг
sample	үлегер
sand	элезин
Sanskrit	санскрит
sarcastic	сарказмныг
sassy	бардам
sat	олурган
satisfaction	күзел ханары
satisfied	сеткили канган
satisfy	хандырар
satisfying	элээн эки
Saturday	суббота
sausage	сосиска
savage	каржы
save	камгалаар
saw	көрген
say	чугаалаар
scale	хемчээл
scam	бузурукчу чорук
scar	сорбу
scarce	чедишпес
scared	корткан
scarf	ораашкын
scary	коргунчуг
scattered	тарадыр октаткан
scene	сцена
scenery	пейзаж
scent	чыт
schedule	хуваарь
school	школа
science	эртем
scientist	эртемдээн
scientists	эртемдээннер
scissors	хачы
scold	бак сөглээр
scope	туран
score	санаары
scrap	артыңчы
scratch	шыйбак
scream	алгы
screen	экран
screw	ээриил
script	сценарий
sea	далай
seal	таңма
search	дилээр
season	үе
seat	олурар
second	ийи дугаар
secret	чажыт
section	хуваажыры
secure	айыыл чогун хандырар
security	айыыл чогу
see	көөр
see you	байырлыг
see you later	дараазыңга чедир
see you soon	ужурашкыже
see you tomorrow	даарта ужуражыр бис
seed	үрезин
seek	дилээр
seem	көстүр
seems	көстүр
seen	көрген
seize	тудуп алыр
seizure	эжелеп алыры
seldom	ховар
select	шилиир
self	бот
self healing	бодун эмнээр
selfish	дужун хараары
sell	садар
send	чоргузар
send me your picture	менче бодуңнуң чурууң чоргузуп берем
send me your picture	Менче бодуңарның чурууңар чоргузуңар
senior	үстүкү
sense	минниишкин
sensible	чүвени шын бодаар
sensitive	миниичел
sent	чоргускан
sentence	домак
sentences	домактар
separate	чарар
Sepedi	Сепеди
september	тос ай
sequence	туруштуу
series	серия
serious	шыңгыы
seriously	шынап-ла
serve	бараан болур
service	хандырылга
session	сессия
set	тургузар
set	өрүлге
set up	тургузар
setting	тургузары
settle	кээп чурттаар
seven	чеди
seventeen	он чеди
seventy	чеден
several	чамдык
severe	кадыг-дошкун
sew	даараар
sh	ш
shade	хөлеге
shadow	хөлеге
shake	силгиир
shall	ужурлуг
shallow	сыык
shame	бак ат
shape	хевир
share	үлежир
sharp	чидиг
she	ол (кыс кижи)
she has	ол кыс кижи
she is	ол кыс кижи
shed	сери
sheep	хой
sheet	арын
shelf	полка
shell	курт хавы
shelter	чаштынар чер
shield	щит
shift	шимчедири
shine	чырыыр
ship	далай хемези
shipping	чедирери
shirt	хөйлең
shoes	идиктер
shoot	адар
shop	садыг
shopping	садыгланыыры
shore	далай эрии
short	чолдак
shortage	чедишпези
shot	адар
should	ужурлуг
shoulder	эгин
shout	алгы
show	көргүзер
show me	меңээ көргүс
shower	душ
shrimp	креветка
shrink	кызырлыр
shut	хаар
shut up	аскың хаап ал
shy	ыядар
sibling	төрел
siblings	төрелдер
sick	аарыг
side	тала
sigh	улуг тынар
sight	көрүш
sightseeing	экскурсия
sign	ат салыр
signature	хол үжүү
significant	чугула
silence	шыпшың
silent	аяар
silk	торгу
silly	аамай
silver	мөнгүн
similar	дөмей
simp	бөдүүн сеткилдиг кижи
simple	бөдүүн
simultaneously	чангыс угда
since	ол үеден бээр
sincere	чүректиң ханызындан
sincerely	шын сеткили-биле
sing	ырылаар
singer	ыраажы
single	чаңгыс
sink	раковина
Sir	Ноян
sister	угбай
sister in law	кунчуу
sit	олурар
site	сайт
situation	байдал
six	алды
sixteen	он алды
sixty	алдан
size	размер
skill	арга-мергежил
skills	арга-мергежилдер
skin	кеш
skinny	арган
skip	этирер
skirt	юбка
sky	дээр
slave	кул
sleep	удуур
sleeping	удуп чыдар
sleepy	уйгузураан
sleeve	хеңчең
slice	кескинди
slide	таяр
slightly	аяар
slim	хөнү
slip	таяр
slope	бел
slot	ойнаар автоматтар
slow	оожум
slowly	оожум
small	хензиг
smart	угааныг
smell	чыттаар
smile	хүлүмзүрүг
smoke	ыш
smooth	дески
snack	чем
snail	улитка
snake	чылан
snap	таккыладыр
snow	хар
so	ынчаарга
so	ынчангаш
so cute	дыка чаптанчыг
so far	ам мөрүнде
soak	сиңирер
soap	саваң
sober	бодамчалыг
soccer	футбол
social	ниитилел
society	ниитилел
socks	уктар
soft	чымчак
software	программа
soil	хөрзүн
sold	саттынган
sold out	саттынган
soldier	шериг кижи
sole	чаңгыс
solid	кадыг
solution	шиитпир
solve	бодаар
some	чамдык
somebody	бир-ле кижи
somehow	бир канчаан
someone	бир-ле кижи
something	бир-ле чүве
sometimes	чамдыкта
song	ыры
soon	удавас
soon	дүрген
sophisticated	нарын
Sorani	Сорани
sore	язва
sore throat	боостаа аарыр
sorrow	муңгарал
Sorry	буруулуг болдум
sort	ылгаар
sought	дилээр
soul	сеткил
soulmate	төрел сеткилдиг кижи
sound	ыыт
soup	мүн
sour	ажыг
source	үндезин
south	мурну чүк
space	делгем
spam	спам
span	аразы
Spanish	испан
spare	курлавыр
speak	чугаалаар
special	тускай
species	хевирлер
specific	онзагай
spectacular	кайгамчыктыг
speech	чугаа
speechless	ыыт чок
speed	дүргени
spell	үжүктеп адаар
spend	чарар
spent	чарыпкан
spicy	ажыг
spike	тен
spin	дескинери
spinach	шпинат
spirit	сеткил-сорук
spit	дукурер
splendid	кончуг эки
split	адырар
spoil	үрээр
spoiled	үрегдетинген
spontaneous	хенертен
spoon	омааш
spot	былчак
spouse	өөнүң-ишти
spread	тарадыр
spring	час
square	дөрбелчин
squeeze	чыырар
squid	кальмар
squirrel	дииң
st	ст
stab	шанчар
stable	доктаамал
stack	оваа
staff	персонал
stage	уе-чада
stain	былчак
stairs	чада
stake	кезек
stalk	кедеп чоруур
stall	мал турар чер
stamp	тамга
stand	турар
standard	стандарт
star	сылдыс
start	эгелээр
started	эгелепкен
starving	аштап турар
state	аймак
statement	медеглел
statement	билдириишкин
station	станция
statue	тураскаал
status	байдал
stay	артып каар
stay safe	айыыл чок бол
steady	турум
steak	стейк
steal	оорлаар
steam	агым
steel	каң
steep	кадыр
stem	үндезин
step	базым
stick	чышпырар
stiff	көжүй берген
still	амдыызында
still	амда
sting	шагар
stingy	харам
stir	былгаар
stock	склад
stolen	оорлапкан
stomach	хырын
stone	даш
stood	турган
stool	сандай
stop	тур
storage	шыгжаар чер
store	садыг
storm	шуурган
story	солун-чугаа
stove	плита
straight	дорт
straightforward	бөдүүн
strain	хере дыртыышкын
strange	чиктиг
stranger	танывазы кижи
strategy	стратегия
straw	саваң
strawberry	честек-кат
streak	дилиндек
stream	агым
street	кудумчу
strength	күш
stress	күжениишкин
stretch	дурту
strict	шыңгыы
strike	согары
string	одуруг
strip	дилиндек
strive	оралдажыр
stroke	кагары
strong	күштүг
struck	магадаан
structure	тургузуг
struggle	демисел
struggling	демисежип турар
stubborn	дедир
stuck	чыдыпкан
student	студент
study	өөренир
studying	өөредилге
stuff	чүүлдер
stunning	аажок кайганыр
stupid	аамай
style	аян
subject	чүүл
subject	чүве
submission	чагырары
submit	чоргузар
substance	бүдүмел
substitute	солуур
subtle	нарын
succeed	чедиишкинниг
success	чедиишкин
successful	чедиишкинниг
such	мындыг
such as	чижээлээрге
suck	сорар
sudden	хенертен
suddenly	хенертен
suffer	хикчектенир
suffering	түреп турар
sufficient	четчир
sugar	чигир
suggest	саналдаар
suggestion	сүме
suit	костюм
suitable	таарымчалыг
suitcase	чемодан
sum	ниитизи
summary	эдертиг
summer	чай
summit	саммит
sun	хүн
sunday	улуг-хүн
sunny	хүннүг
sunset	кызыл хүн
sunshine	хүн чырыы
super	супер
superior	ажып турар
supervisor	супервайзер
supper	кежээки чем
supply	хандырары
support	деткимче
suppose	деп бодаар
supposed	деп бодаан
sure	ынчанмайн канчаар
surface	кыры
surge	чалгыг
surgery	хирургия
surname	фамилия
surprise	хенертен болган чүүл
surprised	магадаан
surrender	дүжүп бээр
surrounding	долгандыр турар
surveillance	хайгаарал
survey	айтырары
survive	дириг артар
suspect	каразыыр
suspended	тургузупкан
suspicious	караданчыг
sustain	хевээр тудар
sustainability	чурталга доктаамалы
sustainable	туруштуг
swag	үп-саап
swallow	ажырар
swap	орнун солур
swear	даңгырак
sweat	деридер
sweater	свитер
sweep	ширбиир
sweet	чигирсиг
sweet dreams	эки дүштерни күзедим
sweet tooth	чигирзиг чем чиксээр кижи
sweetheart	ынак кижизи
swell	хөөр
swelling	бичии ыжа бергени
swim	эштиир
swimming	эштири
swing	чайгаар
switch	солукчу
swollen	дөгдегер
sword	селеме
symbol	демдек
sympathy	сонуургал
symptoms	симптомнар
system	система
table	ширээ
tackle	херекселдер
tag	демдек
tail	кудурук
take	алыр
take	ап алыр
take away	апаар
take care	човаар
take off	ужуга бээр
taken	алдынган
talk	чугаалажыыр
talkative	чугаакыр
tall	бедик
tap	кран
tape	лента
target	кара
task	сорулга
taste	амдан
tasty	амданныг
taught	өөредип турган
tea	шай
teach	өөредир
teacher	башкы
team	команда
tear	ора дыртар
tears	чаштар
tease	хорададыр
technology	технология
teeth	диштер
tell	чугаалаар
tell me	меңээ чугаала
temper	аажы-чаң
temperature	температура
temple	хүрээ
temporary	түр
ten	он
ten thousand	он муң
tenant	хөлезилекчи
tend	адакталыр
tendency	тенденция
tender	чассыг
tense	күженген
tension	күжениишкин
tent	майгын
tentative	баштайгы
term	хуусаа
terms	дугуржулгалар
terrible	дыка коргунчуг
terrific	коргунчуг
territory	девискээр
test	тест
text	текст
thank	өөрүп четтирер
thank you	Четтирдим
Thank you for your patience while we investigate shipment	Чедирерин тодарадып турувуста манааныңар дээш четтирдивис
thank you so much	улуу биле четтирдим
thank you very much	улуу-биле четтирдим
thanks	четтирдим
Thanks for using our app	четтирдивис бистиң приложение ажыглааны дээш
that	ол
that is	ол дээрге
that's good	ол эки-дир
theft	оорлаары
their	оларның
them	оларның
theme	тема
themselves	боттарын
then	оон
then	инчеш
theory	теория
there	түгдэ
there	ында
there are	ында
there is	ынды
therefore	ынчангаш
these	бо (хөйнүң саны)
they	олар
they are	олар
thick	кылын
thief	оор
thigh	дөңмек
thin	чуга
thin	арган
thing	чүве
things	эт-сеп
think	боданыыр
third	үш дугаар
thirsty	сускаар
thirteen	он үш
thirty	ужен
this	бо
this is	бо дээрге
thorough	хынамчалыг
thoroughly	хынамчалыг
those	олар
though	болза
thought	бодал
thoughtful	боданган шинчилиг
thoughts	бодалдар
thousand	муң
thread	удазын
threat	кыжаның
threaten	кыжаныр
three	үш
threshold	кызыгаар
thrilled	сирилээр
thrive	өзер
throat	бооста
through	өттүр
throughout	дургузунда
throw	октаар
thumb	улуг салаа
thunder	диңмирээшкин
Thursday	четверг
thus	мынчангаш
tick	саргы
tide	далайның көдүрлүрү
tidy	шевергин
tie	галстук
tiger	пар
tight	тар
Tigrinya	Тигринья
time	үе
timid	тыртылчак
tiny	арган
tip	арга-сүме
tips	молдурук
tire	шина
tired	шылаан
tired	шылап калган
tissue	пөс
title	эге
to be	болур
toast	йөрээл
today	бо хүн
toddler	өпея
toes	бут салаалары
together	кады
toilet	туалет
told	чугаалаттынган
tolerance	негелде чогу
tolerate	шыдажып эртер
tomato	помидор
tomorrow	эртен
tomorrow	даарта
tongue	дыл
tonight	бо кежээ
too	база
took	алган
tool	инструмент
tools	инструментилер
tooth	диш
top	үстүкү
topic	тема
torn	орулган
torture	хилинчектээшкин
total	ниити
touch	дээр
tough	быжыг
tour	ээлчег
toward	өтүр
towards	этир
towel	аржыыл
town	бичии хоорай
toxic	хоранныг
trace	ис
track	орук
trade	садыглажыр
tradition	чаңчыл
traditional	традициялыг
traffic	трафик
trail	ис
train	өөредиир
training	өөредилге
trait	аажы-чаңының онза чүүлү
traits	аажы-чаңының онза чүүлдери
transfer	өскээр тургузары
transition	шилчиири
translate	очулдурар
transparent	өттүр көстүр
transport	транспорт
transportation	дажыыры
trap	какпа
trash	бок
trauma	кемдээри
travel	аян-чорук кылыр
tray	поднос
treasure	эртине
treat	эмнээр
treatment	эмнээри
tree	ыяш
tremendous	канчаар-даа аажок улуг
trend	угланыышкын
trial	шенелде
trick	кажар арга
tried	шенээн
trigger	мажы
trim	каасталга
trip	чорук
trouble	берге байдал
trousers	чүгүр
truck	чүък машиназы
trunk	багажник
trust	бузурел
truth	шын
try	шенээр
Tsonga	Цонга
tube	хоорза
Tuesday	вторник
tuition	өөредилге
turkey	индюк
turmeric	куркума
turn	корүнер
turtle	языты-мелегей
tutor	репетитор
Tuvan	тыва
twelve	он ийи
twenty	чээрби
twenty-one	чээрби бир
Twi	Тви
twice	ий катап
twist	дескиндирер
two	ийи
type	хевир
typical	ылаптыг
ugly	чараш эвес
ugly	чүдек
ultimate	сөөлгү
umbrella	хол майгыны
unable	шыдавас
uncle	даайы
uncle	акызы
unconscious	моорап калган
under	адаанда
underneath	адаанда
underrated	чедир үнелеттинмээн
understand	билип алыр
understood	билип алган
unfortunately	хараадаан
uniform	униформа
unique	эң ховар
unit	хемчээл
university	университет
unknown	билдинмес
unless	азы эвес
until	чедир
unusual	бөдүүн эвес
up	өөрү
up to you	сен шили
update	чаартыыр
upgrade	чаартыр
upon	кырында
upset	хөңнү баксыраан
urban	хоорайныың
urge	албадаар
urgent	далаштыг
us	бисти
use	ажыглаар
used	ажыглаттынган
useful	ажыктыг
useless	ажык чок
usual	анаа
usually	анаада
utility	ажык-дуза
vacation	шөлээ
vaccination	вакцина салыр
vaccine	вакцина
vacuum	вакум
vague	тода эвес
valid	күштүг
valley	узун чоога
valuable	үнелиг
value	үне
variety	янзы-бүрү
various	янзы-бүрү
vary	кончуг
vase	ваза
vast	алгыг-делгем
vegetable	ногаа
vegetables	ногаа аймаа
vehicle	транспорт
vendor	садыгжы
venom	хоран
venture	бүдүрүлге
venue	ужуражыр чер
verify	шынзыдар
versatile	янзы-бүрү талалыг
version	версия
vertical	вертикальдыг
very	дыка
very good	дыка эки
vessel	сава
via	ажыр
vibe	сирлеңнээри
vibes	сирлеңнээри
vicious	бужар
victim	өргүл
video	видео
view	көстүрү
village	суур
villain	өжээтен
vinegar	уксус
vintage	эрги шагның
violence	күчүлел
violent	күчүлел
viral	вирустуг
virgin	бүдүн
virtual	виртуал
virtue	эки мөзү
vision	көрүлге
visit	баар
visual	карак-биле кылыр
vital	эң чугула
vivid	өңгүр
vocabulary	дылдың сөс байлаа
voice	үн
void	хос болуру
volume	хемчээл
volunteer	эки турачы
vomit	куску
vulnerable	суларгай
wage	шалың
wages	ажыл төлевири
waist	бел
wait	манаар
waiter	официант
waiting	манаашкын
wake	оттур
wake up	оттуп кээр
walk	кылаштаар
walking	чорууру
wall	хана
wallet	акша хавы
wander	кезиир
wanna	күзээр
want	күзээр
wanted	сураглап тыптырган
war	дайын
wardrobe	хеп шкавы
warehouse	склад
warm	чылыг
warn	сагындырар
warning	сагындырары
warrior	дайынчы
was	турган
wash	чуурга
waste	артыңчы
watch	көөр
water	суг
watermelon	арбуз
wave	чалгыг
way	орук
we	бис
we	бистер
we are	бистер
we can	бистер шыдаар
weak	кошкаак
weakness	шагзыргайы
wealth	байлак
wealthy	шыырак
wear	кедер
wearing	кедип турар
weather	агаар бойдус
wedding	куда
Wednesday	среда
weed	чашпан
week	неделя
weekend	дыштаныр хүн
weight	кил
weird	элдептиг
weird	чиктиг
welcome	кирип моорлаңар
welfare	чаагай байдал
Well	Эки
well done	эки кылган
went	чораан
were	болган
were	болганнар
west	барыын чүк
wet	өл
whale	кит
what	чүү
what	чүнү
what about you	харын сен
what about you	харын силер
what are you doing	Чүнү канчап тур сен
what are you doing	Чүнү кылып тур силер
what are you doing now	Ам чүнү канчап тур силер
what are you doing now	Ам чүнү кылып тур сен
what are you doing right now	сен ам чүнү кылып тур сен
what are you doing right now	силер ам чүнү кылып тур силер
what do you do	чүнү канчап турар сен
what do you do	чүнү канчап турар силер
what do you do for a living	чурталгада чүү-биле ажылдап ап тур сен
what do you do for a living	чурталгада чүү-биле ажылдап ап турсилер
what do you mean	чүү деп тур сен
what do you mean	чүү деп тур силер
what do you want	чүнү күзеп тур сен
what happened	чүү болган
what is	бо дээрге
what is	ол дээрге
what is this	бо чүү чувел
what is your job	ажылың кандыг
what is your job	ажылыңар кандыг
what is your name	адыңар кым
what's up	чүү-дүр
what's your name	адың кым
whatever	чүү-даа болза
wheat	кызыл-тас
wheel	дугуй
when	кажан
whenever	санында-ла
where	кайы
where	кайда
where are you	силер кайда силер
where are you	сен кайда сен
where are you from	кайыын келген сен
where are you from	кайыын силер
where are you now	силер ам кайда силер
where are you now	сен ам кайда сен
where do you live	кайда чурттап тур сен
where do you live	кайда чурттап тур силер
where is	кайда
whereas	ол үеде
whether	ирги бе
which	кайы
which	кайызы
while	үезинде
whisper	сымыраныр
whistle	сыгырар
white	ак
who	кым
who are you	силер кым силер
who are you	сен кым сен
who is	кым деп
who is this	бо кым чувел
whole	бүдүн
whom	кым
whose	кымның
why	чүге
why not	чуге чок
wicked	кара сагыштыг
wide	калбак
widow	өөнүң ишти калган кижи
width	калбаа
wife	кадай
wild	черлик
willing	белен
win	удар
wind	хат
window	соңга
windy	хаттыг
wine	кызыл-арага
winter	кыш
wipe	чодар
wire	провод
wisdom	мерген угаан
wise	мерген угаанныг
wish	кузээр
wish you all the best	сеңээ эң эки чүвелерни күзеп тур мен
witch	азакадай
with	биле
withdraw	уштуур
withdrawal	үндүрүлге
within	иштинде
without	чокта
witness	көрген кижи
witty	чечен
wolf	бөрү
woman	херээжен
women	херээжен кижи
won	удуп алган
won't	чок боор
wonder	кайгаар
wonderful	кайгамчык чараш
wood	ыяш
wool	дүктен кылган пөс
word	сөс
words	сөстер
work	ажыл
work out	ажылдаар
working	ажылдап турар
world	делегей
worm	курт
worn	элээн
worried	сеткили дүүрээн
worry	дүвүрээр
worse	оон багай
worship	мөгеери
worst	эң багай
worth	үнези
worth it	үне дүүшкен
worthy	хүндүлүг
wound	балыг
Wow	вау
wrap	ораар
wrath	ажынары
wrist	билек
write	бижиир
Write here	маңаа бижиир
writing	бижиг
written	бижээн
wrong	шын эвес
wrong	меге
wrote	бижип турган
yard	бажың чаны
yawn	эзээр
Yeah	Ындыг
year	чыл
years	чылдар
yeast	ажыткы
yell	алгырар
yellow	сарыг
Yes	Ийе
yes baby	ийе ынаам
yes dear	ийе эргимим
yes honey	ийе сарыым
yes my love	Ийе мээң ынакшылым
yes of course	ийе ынчамайн
yesterday	дүүн
yet	амдыызында
yet	амда чок
yield	чайлап бээр
you	сен
you	силер
you are	силер дээрге
you are	сен дээрге
you are beautiful	силер чараш силер
you are beautiful	сен чараш сен
you are so beautiful	силер дыка чараш силер
you are so beautiful	сен дыка чараш сен
you are welcome	моорлаңар
you can	сен шыдаар сен
you can	силер шыдаар силер
You know	силер билир силер
You know	сен билир сен
you too	сен база
you too	силер база
you're welcome	ажырбас
young	аныяк
your	сээң
your	силерниң
your welcome	ажырбас
yourself	бодуң
yourself	бодуңар
youth	аныяктар
you’re welcome	ажырбас анаа
yummy	чаагай
zero	тик
