ए	a
मावथारनांगौ मुवा	must
बाध्य जा	must
बबा	mute
गावजों गाव	mutual
आंनि	my
आंनि आंगो	My dear
आंनि लोगो	my friend
आंनी जाहाजा नाबामिजं बुंफबजोबनाय	My hovercraft is full of eels
आंनि अननाय	my love
आंनि मुंआ	my name is
खावलायनाय	my pleasure
आं गावनो	myself
गोमोथाव	mysterious
रहस्य	mystery
गोदोनि सल' बाथा	myth
गाजोल	nail
गोरलै	naive
मुं	name
बिजिरलु	narrative
गुसेब	narrow
गिलु बालु	nasty
हारियारि	national
नोगोरथि	nationality
जोनोम जायगा	native
मिथिंगायारि	natural
मिथिंगा	nature
गोबाल' गोबाल' मोननाय	nausea
खाथि	near
साखाथि	nearby
खाथियै	nearly
साफा	neat
गोनांथार	necessary
गोदोना	neck
माला	necklace
गोनांथि	need
गोनां जा	need
गैयि	negative
गोसो दाहो	neglect
सावराय	negotiate
न'खाथिनि मानसि	neighbor
खाथि खालायाव थानाय जायगा	neighborhood
मोनसेआबो नङा	neither
बानायसो	nephew
लोरबांथि	nervous
बासा	nest
जे	net
मिरुनि राहा	network
दिदोम	neutral
माब्लाबाबो जायै	never
माब्लाबाबो जेननो नाङा	never give up
नेवसिगार	never mind
जेबो दासान	nevermind
अब्लाबो	nevertheless
गोदान	new
रादाब	news
फैगौ	next
उननि	next to
मोजां	nice
नोंथांखौ लोगो हमना गोजोननाय मोन्दों	nice to meet you
भागिन जो	niece
हर	night
गिथाव सिमां	nightmare
गु	nine
जिगु	nineteen
गुजि	ninety
नङा	No
जेबो नङा	no problem
जेबो राहा गैया	no way
रावबो नङा	nobody
दावराव	noise
दावराव	noisy
रावबो नङा	none
सानजौफु	noon
नङा	nope
गैया एबा नङा	nor
सरासनस्रायै	normal
साहा दिक	north
गनथं	nose
गोसोखांथि	nostalgic
नङा	not
नंथारा	not at all
गाज्रि नङा	not bad
दानो नङा	Not now
सुंद' फोरमायथि	note
गोसोआव ला	noted
जेबो गैया एबा जाया	nothing
नुनाय	notice
नायसननाय	noticed
मुंमा	noun
मुंमा	nouns
सल'मा	novel
इंराजि बोसोरनि जिसेथि दान	november
दा	now
आजिखालि	nowadays
दावराव दावसि	nuisance
जेबो गैयै	null
थ'र गैयै	numb
अनजिमा	number
बेरामि जाथोन लाग्रा हिनजाव	nurse
सायाव गोरा बिगुर एबा बिखंथानाय बेगर	nut
जाइफल	nutmeg
आदार एबा खाजा	nutrition
समायखिरा	oath
लोदोद्राय	obesity
बिथोन फालि	obey
मुवा	object
थांखि	objective
बिबान	obligation
खोमसि	obscure
धियान	observation
नोजोर हो	observe
नागिर थिं	obsessed
भुतनि गागलोबनाय	obsession
गोजाम बाहायजायै	obsolete
बादा	obstacle
लाभ खालाम	obtain
मोन	obtained
नुसारनाय	obvious
रोखायै	obviously
सम समै	occasionally
सासे सुबुंनि खामानि	occupation
दखल खालामनाय	occupied
जाजानाय	occur
जाथाय जानाइ	occurred
जाथाय जानाय	occurs
लैथोमा	ocean
इंराजि बोसोरनि जिथि दान	october
गोमोथाव	odd
खाबु	odds
नि	of
निफ्राय	of
नंथारगौ	of course
गोजानाव	off
अफमान गोनां	offensive
दान होनाय	offer
जासि	offer
मावख'	office
सरकारि बिबानगिरि	official
गले गले	often
गोमोनाय	Oh
नंगौना	oh really
थाव	oil
जागोन	ok
जागोन स'ना	ok dear
अनजालि	ok honey
जागोन अनजालु	ok honey
जागोन आंनि अनजालि	ok my love
थिक दं	okay
जागोन अनजालि	okay baby
जागोन नोंथां	okay dear
जागोन रजे	okay honey
जागोन आंनि अनजालि	okay my love
बैसो जानाय	old
सोलिबाय थानाय	on
खोनसे	once
से	one
मोनसे रावआ थोआ	one language is never enough
सामब्राम गोजा	onion
सुंजाब जानाय	online
मोनसेल'	only
फाङै	open
मावफुंनाय	operation
बिबुंथि	opinion
खाबुफोर	opportunities
खाबु	opportunity
उलथा	opposite
आसागोनां	optimistic
सायख'नाय	option
गावनि गोसोनि	optional
एबा	or
नारें कमला	orange
नारें कमला गाब	orange
बिथोन	order
हुखुम हो	order
सरासनस्रा	ordinary
फसंथान	organization
नोजोर लानाय	orientation
गुदि	origin
गुबै	original
साहा खेनियानि राव	Oromo
रावबो आंगो गैजायै	orphan
गुबुन	other
नङाब्ला	otherwise
मोजां जा	ought
जोंनि	our
जोंनि थांखि: गासैबो, जेरावबो संसारखौ बुजिनो हानाय आरो गासै राव आव फोरमायनो हानाय खालामनाय	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
जोंनि थांखि: बुहुमनि खौरांफोरखौगौथुम खालामना गासै मुलुग आव मोननो हानाय आरो बाहायनो हाथाव खालामनाय	Our mission: to organize the world's information and make it universally accessible and useful.
बाहेराव	out
फिथाइ	outcome
सि-जोम	outfit
बिदायी	outgoing
ओंखार लांग्रा लामा एबा गुदुं	outlet
सिमा हांखो	outline
बाहेरा	outside
जोबोद गाहाम	outstanding
सौखा	oven
सायाव	over
बैयाव	over there
गासै	overall
देरहा	overcome
बांद्राय साननाय	overthinking
फुरायै फेजेन	overwhelmed
जोबोद गेदेर	overwhelming
दाहार	owe
फेसा	owl
बिगोमा जा	own
गावनि	own
बिगोमा	owner
बलद मोसौ	ox
जायगा	pace
थन	pack
थालि थफला	package
रां हो	paid
सानाय	pain
गाब	paint
गाब फोननाय खामानि खामानि	painting
जरा	pair
बेरानि खुनथा	pale
खिजुर	palm
एवखां खावखां खालामग्रा दो	pan
हादर नाङै गोसारनाय	pandemic
हरखाब गिनाय	panic
पायजामा	pants
लेखा बिलाइ	paper
गोजोनफुरि	paradise
समान	parallel
थफ्ला	parcel
खमा हो	pardon
बिमा बिफा	parents
मटर - गारि लाखिग्रा जायगा	park
भाटौ	parrot
मोदोमफ्रु मैगं	parsley
बाहागो	part
बाहागो ला	participate
मोनसे थि आइदा	particular
मोनसे थि आयदा	particularly
बाहागोगिरि	partner
दोलो	party
बारलां	pass
बारलांनाय	passage
बारबाय	passed
अननाय	passion
रागा	passionate
सहायसुला	passive
रैखाथि होग्रा अनजिमा	password
थांखानाय	past
थालि हो	patch
लामा	path
दुखुनांथाव	pathetic
सहायनाय	patience
सहायहाग्रा	patient
जब्रा	patient
बिदिनथि	pattern
दोनथ'	pause
फुतपाथ	pavement
हो	pay
सुख'नाय	payment
सांति	peace
गोजोनगोनां	peaceful
बिलाथि बैग्रि	peach
हाजो थिखिनि	peak
नाचपति	pear
मटर	peas
बिसेस	peculiar
हासुनाय	pee
हासु	pee
जिर	peel
समरा समरि लोगो	peer
समान थाखोनि	peers
कलम	pen
तुलि	pencil
दिनदां थानाय	pending
मानसिफोर	people
गोसोम गाबनि मस्ला गथा	pepper
नोजोर हो	perceive
मोनदांथि	perception
आबुं	perfect
मावफुं	perform
मावफुंनाय	performance
जानो हागौ	perhaps
सम	period
अरायथा	permanent
गनायथि	permission
गनायथि	permit
मोजाङै लाखिनाय	perseverance
हमथाबबाय थाग्रा	persistent
सुबुं	person
गावनि	personal
सुबुंसार	personality
नुथाय	perspective
बुरखाय	persuade
गाज्रि लिमाथिं बोख्लें	pervert
फिसिनाय जुनार	pet
थाखो	phase
गोमोथाव नुथाय	phenomenon
सानथौ बिगियान	philosophy
जानबुं	phone
सावगारि	photo
बाथ्रा खोनदोब	phrase
देहायारि	physical
खन	pick
दिखां	pick up
सावगारि	picture
खोनदो	piece
थुख्रा	pieces
अमा	pig
बाथ'	pigeon
दामोल	pile
गानदु	pillow
अख्रां दिङा सालायगिरि	pilot
खिला	pin
रायमालि	pineapple
जाथोसे बिबार	pink
हाखर	pit
धुना	pitch
अनखांनाय	pity
थि थावनि	place
लाखि एबा दोन	place
जायगाफोर	places
महामारि	plague
समान	plain
हांखो सावगारि	plan
एर'प्लेन	plane
गाय	plant
लाइफां	plants
थोरसि	plate
जौसां	platform
गेलेनाय	play
गेले	play
गेलेदों	playing
निजोम	pleasant
अननानै	please
गोजोननाय	pleased
रंजानाय	pleasure
समाय लानाय	pledge
बुरजा	plenty
दब्लाय	plot
मुखा	plug
बैग्रि फिथाइ	plum
पाइप मिस्रि	plumber
गोबां	plural
खनथाय	poem
खनथाय बिदां	poetry
बिजौ	point
बिस	poison
पुलिच	police
राजखानथियारि मावसोला	policy
सोद्रोम	polite
गुबुंले जानाय	pollution
फुख्रि	pond
फुक्रि	pool
नेहात जामबा मानसि	poop
गोरिब	poor
नुजा	pop
मोन्थि जानाय	popular
सुबुं अनजिमा	population
अमा बेदर	pork
पायस	porridge
जाहाज गाथोन	port
जायगा	position
खाथां	positive
बिगोमा	possess
लोगोआव थानाय	possession
दबथायनो नागिर नाय	possessive
हाथाव	possible
खुनथिया	post
सिथाब हो	post
दोनथ'	postpone
आलु	potato
जानोहाथाव गुनथानाय	potential
देख्रुब	pound
निखावरि	poverty
सकति	power
गोहोगोरा	powerful
मावनो हाथाव	practical
सर' खालाम	practice
सर'	practice
बाखनाय	praise
थामसा	prank
आरज गाब	pray
दाम गोसा	precious
थार	precise
थार	precisely
सिगांनो बुं	predict
सायख'नाय	prefer
सायख'नाय	preference
गोरबोगोनां	pregnant
बानगैयै साननाय	prejudice
थानाय जायगा	premises
गिबिसिन	premium
थागथियारि	preparation
थागथियारि जा	prepare
थियारि	prepared
महरथि	preposition
नुजाथि	presence
आथिखाल	present
दानि सम	present
बानथा	present
दिनथिनाय खामानी एबा बानथाहोनाय खामानि	presentation
मोजां लाखिनाय	preserve
आफादगिरि	president
सेबखांग्रा जनथ्र'	press
नारसिन	press
नारथाय	pressure
जाप्ला	pretend
खमबो नङा बाराबो नङा बिब्दि रोखोमै	pretty
नाइनो मोजां	pretty
इसे बिबाङै	pretty
होबथा	prevent
सिगांनि	previous
मैहुर	prey
बेसेन	price
दुगा	pride
दौरि	priest
गुदि	primary
गिबिसिन	prime
राजखुंग्रि	princess
गोरायुं	principal
आगोलनि	prior
गोनांथि खालामनाय	priority
जोबथेसालि	prison
निजोमथि	privacy
लाखोमानो गोनां	private
जुनिया	privilege
बानथा	prize
जोबोद जानोहाथाव	probably
जेंना	problem
खानथि	procedure
आवगाय	proceed
मावख'आरि नेमजों माव	process
फारिखानथि	process
दिनथि	produce
दिहुनजा मुवा	product
दिहुनजा मुवा	production
बृत्ति	profession
फालांगियारि	professional
खेंसालिया महर	profile
लाभ	profit
गोथौ	profound
दावगानाय	progress
दावगा	progress
बिथांखि	project
मुंदांखा	prominent
समाय	promise
समाय ला	promise
जौगा	promote
मासि जौगानाय	promotion
हरखाब	prompt
गोसोजानाय	prone
मुंराय	pronouns
रिंसार खालाम	pronunciation
फोरमान	proof
थार	proper
आरजाथाव	properly
समफथिफोर	properties
समफथि	property
थांखि	proposal
फैलाव नुथाय	prospect
जौगानाय	prosperity
जौगालु	prosperous
रैखा	protect
दुगा	proud
फोरमान खालाम	prove
जगार खालामना हो	provide
जगाय	provided
प्रदेस	province
थाकथियारि	provision
लाइमोन बैसो	puberty
राइजो राजा	public
बो	pull
जोगोनार	pumpkin
सम फालिग्रा	punctual
सोलोंसाफोर	pupil
बायनाय	purchase
गोथार	pure
फान्थाव गाब	purple
थांखि	purpose
रां लाग्रा मना	purse
ला	pursue
उनसंनाय	pursuit
नार	push
दोन	put
रोंगौथि	qualification
गुन	quality
अनजिमा	quantity
हारसिं दोननाय	quarantine
नांलायनाय	quarrel
नांलाय	quarrel
ब्रै बाहागोनि से बाहागो	quarter
आमेरिखान इंडियान राव	Quechua
रानि	queen
आसदा	queer
सोंथि	query
सोंलु	question
सारि जा	queue
सारि	queue
हरखाब	quick
थाब	quickly
सिरि	quiet
लेप	quilt
नागार	quit
सिरि	quite
निजोम	quite
फुरायै	quite
सोंथि सों	quiz
मख'नाय राव	quotation
बिदिनथि हो	quote
मालायनि बुंनायखौ बुंफिन	quote
बेसेन खालाम	quotes
सेसा	rabbit
फोलेर	race
रागा	rage
अखा	rain
जोथोन खालाम	raise
गोजौआव दैखां एबा दैखो	raise
गोजौआव दैखांनाय	raised
खारलां	ran
जिखुनु	random
सारि	range
गोख्रै	rapid
गोखोरै	rapidly
मोननो थाङै	rare
खमैसो	rarely
माबार माबार मावनाय	rash
एनजर	rat
दाम	rate
बबेखानि	rather
रुजुथाय	ratio
गियानि	rational
गोथां मुवा	raw
नंगौ	re
मोनहै	reach
सफैबाय	reached
उलथा जाथाय खालाम	reaction
फराइ	read
फरायनाय खामानि	reading
थियारि	ready
नंगुबै	real
सैथोथा	reality
बुजिमोन	realize
बुजिमोनबाय	realized
थारैनो	really
उन बाहागो	rear
जाहोन	reason
जुक्ति गोनां	reasonable
गोसोखां	recall
रचीट	receipt
नाजाव	receive
नाजावबाय	received
गोदान	recent
बावैसो	recently
बरायनाय	reception
संनाय खावनायनि दिथा	recipe
गोसो होयै	reckless
गनायथि होनाय	recognition
सिनाय	recognize
बाखनायना होनाय	recommend
मोजां बुंना होनाय	recommended
रेबगनथि	record
लिरना दोन	record
फाहामजानाय	recover
मोनफिननाय	recovery
आयट दबलाय	rectangle
गोजा	red
उदां खालाम	redeem
बोखांनाय	redemption
खम खालाम	reduce
बांद्राय	redundant
मुंख'	refer
रायखांनाय	reference
मोदान	reflect
रिफिनाय	reflection
गावखौ दबथाय	refrain
गुसुयै लाखिग्रा जनथ्र'	refrigerator
रांखौ हरफिननाय	refund
नेवसि	refuse
नेवसि	refused
नोजोर हो	regard
नोजोर बोनानै	regarding
गोसो होआलासे	regardless
मान	regards
ओनसोल	region
हाजिरा बही	register
दुखु खालाम	regret
गले गले	regular
सानफ्रोमबो	regularly
नागार	reject
बिजिर	relate
सोमोन्दो गोनां	related
सोमोनदो	relationship
सोमोनदो थानाय	relative
खुरमा	relative
बाहागि	relatives
गुरै खालाम	relax
हगारना होनाय	release
हगारना हो	release
हगार	released
लोबबा गोनां	relevant
फोथाइ जाथाव	reliable
सुगलायनाय	relief
रेहाय	relieve
खमायनाय	relieved
धोरोम	religion
धोरोमि	religious
गोसोगैयै	reluctant
सोनार	rely
थालां	remain
था	remaining
नामजादा	remarkable
मुलि	remedy
गोसोखां	remember
गोसोखांहो	remind
गोसोखांहोग्रा	reminder
गोजान	remote
बोखार	remove
हरथ'	render
भारा	rent
फाहाम	repair
बुंफिन	repeat
सिगांनि जायगायाव दोनफिन	replace
फिननाय हो	reply
फिननाय	reply
खौरां हर	report
फोरमायथि	report
सोरनिबा जानानै मावनाय	represent
मुंदांखाथि	reputation
खावलाय	request
आरज गाबनाय	request
गोनां	require
गोनांथि	required
बोखांनाय	rescue
नाइबिजिरनाय	research
गोरोब	resemble
रागा	resentment
खथा	reservation
जुनियायै दोन	reserve
बासिन्दा	resident
एंगार	resign
सिगांनि अबस्थायाव फैफिननाय गोहो	resilience
सिगांनि अबस्थायाव फैफिननाय गोहो	resilient
होबथा	resist
बादा	resistance
गोसोनि गोराथि	resolution
जेंना बोस्रां	resolve
उफाय	resort
राहा	resources
मान	respect
मान खालाम	respect
फिननाय	respond
फिननाय	response
बिबान	responsibility
दाय गोनां	responsible
जिरायनाय	rest
गोजोनै आराम खालामदो	rest in peace
हथेल	restaurant
मोनफिन	restore
सिमा गोनां खालाम	restrict
फिथाइ	result
फिननाय	results
जागायफिन	resume
खुसरायै फान एबा फान जा	retail
लाखि	retain
गोसोखांनाय	retention
आजिरा लानाय	retired
गिदिंना थांफिन	retreat
उदां खालाम	retrieve
फैफिन	return
खोनथानाय	reveal
बुंथिना ला	revealed
फिनसाजा	revenge
खाजोना	revenue
गुबुन दिकफारसे	reverse
बिसावरायनाय	review
बिजिरना नाइफिन	review
फिन आनजाद नायनाय	revise
फोसाबनाय	revision
बिग्रायनाय	revolution
बानथा	reward
ख'बाम	rhythm
बेगें	rib
माइरं	rice
धोनि	rich
उदां जा	rid
गारियाव दावबाय	ride
सालायनाइ	ride
जाथावै	ridiculous
थार	right
थिक	right
आगदा	right
दानो	right now
गोरा	rigid
आसथाम	ring
दैजों सुस्रा	rinse
दाङाबाजि	riot
बिसिनाय	rip
बिसि	rip
गोमोन	ripe
सिखां	rise
दावखोनाय	rise
बिबान	risk
खैफोद आफोद एबा गोमानाय - खहा जानायनि बिबानखौ ला	risk
बादायारि	rival
दैमा	river
लामा	road
अराव साव	roast
जांगिला	robust
अनथाइ	rock
लावथि	rod
बाहागो	role
मेराय	roll
न'नि उखुम	roof
खथा	room
रोदा	root
दिरुं	rope
गेसाव	rotten
गोब्रा	rough
गोरायै	roughly
सोरगिदिं	round
लामा	route
मावफारि	routine
सारि	row
हु	rub
हुखुमोरग्रा	rubber
दाखोर - दाला	rubbish
खाब्रां खाथां	rude
कमबल	rug
सिलिंखार	ruin
सासन	rule
सासनगिरि	ruler
नेम	rules
खार	run
खारगासिनो	running
गामियारि	rural
हाखु दाखु	rush
नारला नारसि	rush
बस्ता	sack
गोथार	sacred
बाउनाय	sacrifice
खैफोथ गैयि	safe
खैफोद गैयि बिरलां	safe flight
रैखा	safety
साधु	sage
बुंनाय	said
जाव	sail
जावगासिनो	sailing
थाखाय	sake
दरमा	salary
फाननाय	sale
जाथोसे गेदेर ना	salmon
संक्रि	salt
एखे	same
बियावबो एखे	Same here
नमुना	sample
बाला	sand
हिनदुनि लिरग्रा हांखो	Sanskrit
जंखायलु	sarcastic
गोख्रों जानाय	sassy
जिराय	sat
गोजोननाय	satisfaction
गोजोनबाय	satisfied
गोजोनहो	satisfy
गोजोनहोनाय	satisfying
शनिबार	Saturday
संख्रि होनानै जानाय बेदरनि लारु	sausage
सोद्रोमनङै	savage
बासाय	save
नुदों	saw
बुं	say
ज'खासुग्रा लावथि	scale
थगायनानै रां आरजिनाय	scam
दागो	scar
दाग	scarce
गिनाय	scared
माफलार	scarf
गिथावना	scary
गोसारना थानाय	scattered
नायजाब फैसालि	scene
मिथिंगायारि	scenery
मोदोमफ्रु मोदोमनाय	scent
तालिका एबा सम फारिलाइ बानाय	schedule
समनि फारिलाइ	schedule
फरायसालि	school
बिगियान	science
बैगानिक	scientist
बैगानिक	scientists
खेमसि	scissors
रायनाय	scold
सुबिदा	scope
नैजि अनजिमा	score
फिसा थुख्रा	scrap
खुर	scratch
हज्रि	scream
फैसालि	screen
बलथु	screw
साफायनाय हांखो	script
लैथो	sea
गोरायै बन्द' खालामनाय	seal
नागिर	search
बोथोर	season
मासि	seat
नैथि	second
सिंनि	secret
बाहागो	section
खैफोद गैयै	secure
रैखाथि	security
नाइ	see
थाबैनो नुज्लायगोन	see you
इयुनाव लोगो हमलाय फिनगोन	see you later
नोंथांजों थाबैनो नुज्लायगोन	see you soon
नोथांखौ गाबोन लोगो हमगोन	see you tomorrow
बेगर	seed
नाइगिर	seek
आनदाज खालाम	seem
आनदाज खालाम	seems
नुनाय	seen
हरखाबै हम	seize
गागलोबनाय	seizure
माब्लाबा माब्लाबा	seldom
सायख'	select
गावनो	self
गाव हारसिं फाहामथाय	self healing
गावखौल' सानग्रा	selfish
फानहर	sell
हर	send
आनो नोनि सावगारिखौ दैथाय सर	send me your picture
देरसिन	senior
मोनदां	sense
बुजिगोरों	sensible
मोनदांथि	sensitive
दैथाय हर	sent
बाथरा	sentence
बाथ्राफोर	sentences
आलादा	separate
साहा स'थ' नि राव	Sepedi
इंराजि बोसोरनि गुथि दान	september
थाखो फारि	sequence
फारि	series
गोनांथार	serious
गोसो गोथौयै	seriously
खामानियाव फै	serve
खामानि	service
जुथुममा	session
मुवाफोरनि हानजा	set
दोन	set
थासारि	set up
गायसननाय	setting
मिमांसा खालाम	settle
स्नि अनजिमा	seven
जिस्नि	seventeen
स्निजि	seventy
गोबां बुरजा	several
गोब्राब	severe
सावले	sew
साया	shade
सायखं	shadow
जांख्रि	shake
इयुन फोरमायग्रा लोगो थाइजा	shall
थौले	shallow
लाजिनाय	shame
महर	shape
बाहागो	share
गोबौ	sharp
बिथांजो	she
बिथांजो हा	she has
बिथांजो	she is
उखुम साल	shed
बोरमा मेनदा	sheep
धातु	sheet
आइजें आइला	shelf
बिखं	shell
आश्रय	shelter
दाहाल	shield
जायगा सोलाय	shift
जों	shine
गेदेर जाहाज	ship
दैथाय हरनाय	shipping
गसला	shirt
जुथा	shoes
गुलि गाव	shoot
गला	shop
बायहैनाय	shopping
लैथोनि फार	shore
गुसुं	short
खम जानाय	shortage
गुलि गावनाय सोदोब	shot
गुलि गावनाय	shot
मोजां	should
गाहाम	should
फाफलि	shoulder
हसिख्रावनाय	shout
दिनथिनाय	show
दिनथि	show
आंनो दिनथि	show me
अखा दामब्रा हानाय	shower
नाथुरना	shrimp
थनथ्र	shrink
फांथे	shut
सिरि था	shut up
लाजिगुसु	shy
आंगोनि बिदा फंबाय एबा बिब बिनानाव	sibling
बिदा - फंबाइ एबा बिब बिनानावफोर	siblings
बेरामि	sick
रुगुं	side
हांमा सुरनाय	sigh
नुथाय गोहो	sight
नायदिंनाय	sightseeing
नेरसोन	sign
चही	signature
ओंथिगोनां	significant
निजोम	silence
सिरि	silent
मुगा खुनदुं	silk
आदुवा	silly
रुफा	silver
एखे	similar
जाम्बा मानसि	simp
गोरलै	simple
एखे समावनो जानाय एबा खालामनाय	simultaneously
बै समनिफ्रायनो	since
नंगुबै	sincere
नंगुबैयै	sincerely
खन	sing
रोजाबगिरि	singer
हारसिं	single
गाजाव	sink
दोबै	sink
मानिनां	Sir
बिनानाव	sister
बाजै	sister in law
ज'	sit
जायगा	site
थासारि	situation
द' अनजिमा	six
जिद'	sixteen
द'जि	sixty
बिबां	size
सोलो	skill
गुन गोनां	skills
मोदोमनि बिगुर	skin
रानथें	skinny
बाज्ल'	skip
हिनजावफोरनि जानजियाव गाननाय सि	skirt
अख्रां	sky
ग'लाम	slave
उनदु	sleep
उनदुदों	sleeping
उनदुनो ओंखारनाय	sleepy
गसलानि आखाइ	sleeve
थुख्रा थुख्रा हानाय	slice
थुख्रा हा	slice
रिमोनलां	slide
इसे	slightly
गांजेब	slim
रिमोन	slip
खेंसालिया जायगा	slope
थि खालामनाय सम	slot
लासै	slow
लासै	slowly
फिसा	small
सियान	smart
मुनामसु	smell
मिनिखैरो मिनिनाय	smile
मिनि खैरो मिनिनाय	smile
उखुन्दै	smoke
मिहि	smooth
रेजें खाजा	snack
साम'	snail
जिबौ	snake
हरखाब अर	snap
बरफ	snow
बेनिखायनो	so
जोबोर अन्थाव	so cute
बेसे गोजान	so far
रान	soak
साबुन	soap
दद्र'	sober
जोलुर	soccer
सामाजिक	social
समाज	society
मुजा	socks
गुरै	soft
नोरोमथि	software
जहा	soil
फान	sold
फान हरबाय	sold out
सानथ्रि	soldier
खेंसालिया जायगा	sole
गथा	solid
जेंना सुस्रांनाय	solution
समाधान	solve
खायसे	some
सोरबा सासे	somebody
खुनुरुखु	somehow
सोरबा	someone
माबा मोनसे	something
माब्लाबा	sometimes
मेथाय	song
थाबै	soon
गोदान आदब खायदाजों जेथो गोनां	sophisticated
इरान इराखनि राव	Sorani
बिस गोनां	sore
साबाय थानाय	sore
गारमा सानाय	sore throat
दुखु - दाहा	sorrow
निमाहा बिनाय	Sorry
जाथो	sort
नागिर	sought
जिवमा	soul
जिउनि लोगो	soulmate
सोदोब	sound
बिदै	soup
गोखै	sour
फुंखा	source
खोला दिक	south
लांदां जायगा	space
नंखाय	spam
गुवार	span
सफेनिस	Spanish
ईसे इसेयै बाहाय	spare
निमाहा हो	spare
बुं	speak
सरासनस्रा नङै	special
जाथि	species
मबेबा मोनसे	specific
बिबुंथि	speech
बाथ्रा गैयै	speechless
गोख्रै	speed
हांखो जथाय	spell
बाहाय	spend
बाहाय	spent
फानलु गोसा	spicy
खिलि	spike
गिदिंनाय	spin
जाथोसे रोसिगोनां मैगं	spinach
जिवमा	spirit
मुजु	spit
साबना हामना	splendid
गावस्रानाय	split
गावस्रा हो	split
गारजि खालाम	spoil
गारजि खालाम	spoiled
एरैनो जानाय	spontaneous
सामस	spoon
दागो	spot
हवा - हिनजाव	spouse
गोसार हो	spread
गोबारै बाजल'	spring
बर्ग महरनि मुवा	square
सेब	squeeze
जाथोसे लैथोनि ना	squid
मान्दाब	squirrel
धोरोमसुला मानसि	st
सु	stab
गराय दोनग्रा जायगा	stable
गांसो	stack
लोगोसे खामानि मावग्रा हानजा	staff
फैसालि	stage
दागो	stain
जांख्ला	stairs
खुनथिया	stake
नायखुमा	stalk
मोसौ मैसो	stall
आथिंजों गादामब्ला	stamp
थोंजों था	stand
गसं	stand
फिरफिला	standard
हाथरखि	star
जागाय	start
जागायबाय	started
उखैनाय	starving
अबस्ता	state
बिजिर	state
फोरमायनाय	statement
दावबाइयारि दैखांग्रा जायगा	station
मुरथि	statue
सनमान	status
थानाय खामानि	stay
था	stay
गाहामै था	stay safe
गोम गसंनाय	steady
बेदर एबा नानि दाबला थुख्रा	steak
खाव	steal
दैसा	steam
तिखा	steel
थोंगोर	steep
देनथा	stem
आगान	step
लावथि	stick
फदमनो हायि	stiff
बे समसिम	still
दासिमबो	still
निजोम हास्रि	still
खिसलां जों सु	sting
खिलाजों सु	stingy
सोमाव	stir
दोनथुमनाय	stock
खावजानाय	stolen
उदै	stomach
अनथाइ	stone
गसंदों	stood
जनाय तुल	stool
थाट'	stop
बाख्रि	storage
दोनथुम	store
बारहुंखा	storm
स'ल'	story
सौखा	stove
सिदा	straight
सादा सिदा	straightforward
गोरायै बो	strain
सिनायमोनै	strange
सिनाय मोनि	stranger
दावहानि सालो	strategy
जिगाब	straw
जामु फिथाइ	strawberry
रेगा	streak
आयदा	stream
सहरनि लामा	street
बोलो	strength
मेलेमारि नारसिनथाय	stress
बोफलाव	stretch
खरा	strict
सौदाव	strike
फिसा दिरुं	string
लनथं खालाम	strip
नांलाय	strive
हुब्लिर	stroke
बोलोगोरा	strong
थाबथानाय	struck
दाथाय	structure
जोबोद नाजा	struggle
जुजिनाय	struggle
खस्त मोन्दों	struggling
बुजियै	stubborn
थाबथाना थानाय	stuck
फरायसा	student
गोसो होथाबना फरायनाय	study
गोसो होनानै फराय	study
फरायदों	studying
माल माथा	stuff
बिराद समायना	stunning
आदुवा	stupid
फाव	style
फोरजा	subject
दाखिल खालामनाय	submission
गथाय	submit
सार बाहागो	substance
सोलाय	substitute
फालथु	subtle
देरहा	succeed
जाफुंसार	success
जाफुंसार	successful
बिब्दि	such
बेरोखोमै	such as
सोला	suck
हरखाब	sudden
हरखाबै	suddenly
भुगि	suffer
खस्थ मोननाय	suffering
थोजासे	sufficient
चिनि	sugar
बोसोन हो	suggest
बोसोन हो	suggestion
गसर	suit
खाब जा	suit
मेलायनाय	suitable
सि सोग्रा बाकसु	suitcase
दाजाबगासे	sum
गुबै राव	summary
गोलोम बोथोर	summer
थिखिनि	summit
सान	sun
रबिबार	sunday
सानदुं स्रां जानाय	sunny
मोनाबिलि	sunset
सानदुं	sunshine
जोबोर मोजां	super
गेदेरसिन	superior
नायदिंगिरि	supervisor
मोनाबिलिनि खाजा	supper
जगायना हो	supply
जगायनाय	supply
हेफाजाब	support
मदद हो	support
हमना ला	suppose
हमना ला	supposed
थार	sure
नंथारगौ	sure
सा बाहागो	surface
गेदेर दैथुन	surge
अस्त्रसिकितसा	surgery
उफ्रा मुं	surname
गोमोनाय	surprise
बाखदावखांनाय	surprised
गेजेन जा	surrender
सोरगिदिं	surrounding
नायदिंनाय	surveillance
जरिप	survey
हानि ज'खा सु	survey
बासायना था	survive
सन्देह खालामनाय	suspect
सन्देह खालाम	suspect
बन्द' खालामथ' नाय	suspended
सन्देह गोनां	suspicious
सौसिनाय	sustain
जोरथि	sustainability
जोरथाव	sustainable
गोसो बायदि थानाय	swag
मन'	swallow
सोलाय सोल'	swap
समाय ला	swear
गोलोमदै	sweat
गुदुं गसला	sweater
सिब	sweep
गोदै	sweet
गोदै सिमां	sweet dreams
गोदै हाथाइ	sweet tooth
रजे	sweetheart
बुखांनाय	swell
