ani	a
tichhia	spoil
tichhia	spoiled
fian	spoon
hmunbik	spot
kawppui	spouse
tidarh	spread
bultanna	spring
square	square
hmetsawr	squeeze
squid	squid
thehlei	squirrel
vit	stab
ngelnghet	stable
chherchhuan	stack
thawktu	staff
dawhsan	stage
bal	stain
kailawn	stairs
dahkham	stake
chawlhtir	stall
chhinchhiah	stamp
ding	stand
arsi	star
tan	start
tan	started
riltam	starving
nihphung	state
thu	statement
chawlhhmun	station
milim	statue
nihna	status
cham	stay
muangchang	steady
ru	steal
hu	steam
thir	steel
mu	steep
kuang	stem
rahbi	step
tiang	stick
phiarfat	stiff
zuk	sting
uikawm	stingy
chawk	stir
khawl	stock
rukbo	stolen
pumpui	stomach
lung	stone
ding	stood
ek	stool
tawp	stop
dahthatna	storage
dahtha	store
thlipui	storm
thawnthu	story
thuk	stove
ngil	straight
mak	strange
hmelhriatloh	stranger
remhriatna	strategy
kuang	straw
strawberry	strawberry
khawlai	street
chakna	strength
rimtawng	stress
fan	stretch
khirh	strict
vua	strike
hrui	string
phelh	strip
tum	strive
thai	stroke
chak	strong
deng	struck
ruangam	structure
bei	struggle
tuar	struggling
tumruh	stubborn
tang	stuck
zirlai	student
zir	study
zir	studying
hnawh	stuff
atthlak	stupid
tihdan	style
thupui	subject
inpumpekna	submission
thehlut	submit
thupui	substance
thlakthleng	substitute
hlawhtling	succeed
hlawhtling	success
hlawhtling	successful
chutiang	such
fawp	suck
thut	sudden
thawklehkhatah	suddenly
tuar	suffer
tuarna	suffering
tawk	sufficient
chini	sugar
thurawn	suggest
kawhhmuh	suggestion
ti suh	don't
Lungngai suh	Don't worry
hmeh	suit
inhmeh	suitable
belhkhawm	sum
khaihtawi	summary
nipui	summer
chhip	summit
ni	sun
Chawlhni	sunday
thlur sung	streak
nisa	sunny
nitla	sunset
lutuk	super
chungnung	superior
endiktu	supervisor
zanriah	supper
pechhuak	supply
rinchhan	support
ringchhin	suppose
pawnlang	surface
pung	surge
inzai	surgery
hnamhming	surname
inpe	surrender
chhehvel	surrounding
enzuina	surveillance
zirchiang	survey
damchhuak	survive
ringhlel	suspect
hnawl	suspended
ringhlel	suspicious
chhawmdawl	sustain
inthen	swag
lem	swallow
thlakthleng	swap
chhechham	swear
thlan	sweat
kawrlum	sweater
phiat	sweep
thlum	sweet
duhlai	sweetheart
vung	swell
vung	swelling
tuihleuh	swim
then	swing
thlakthleng	switch
vung	swollen
ngunhnam	sword
chhinchhiahna	symbol
lainatna	sympathy
natna	symptoms
tihdan	system
kal ta	ago
dawhkan	table
buan	tackle
thlung	tag
mei	tail
nasa tak	acute
duhawm tak	adorable
anihna takah chuan	actually
anihna takah chuan	basically
anihna takah chuan	In fact
ninawm tak	annoying
ring taka nui	lol
chhe tak	awful
nuam tak	bliss
chuvang tak chuan	indeed
chhe tak	crap
la	take
tlin tak	efficiency
laksak	taken
nasa tak	extreme
duhzawng tak	favourite
dik tak	genuine
nasa tak	immense
tam takin	a lot
tam takin	a lot of
fimkhur takin	carefully
thlamuang takin chawl ang che	rest in peace
ropui tak	incredible
awlsam takin	easily
bik takin	especially
nasa takin	extremely
nal takin	fluently
vanneihthlak takin	fortunately
nuam takin hmang rawh	have fun
rinawm takin	honestly
tluang takin in thlawk dawn nia	safe flight
tha takin le	all the best
Tha takin le	good luck
rang takin	quickly
tlang takin	straightforward
nasa tak	intense
vanduaithlak takin	unfortunately
tam tak	many
dik tak	original
nasa tak	overwhelming
duhzawng tak	passion
anihna tak	reality
tunah tak	right now
duhawm tak	so cute
inkawprem tak	soulmate
duhawm tak	stunning
chhe tak	terrible
te tak te te	minutes
nasa tak	tremendous
duh takzet	desperate
tlem tal	at least
bia	talk
tawngduh	talkative
sang	tall
ka ta	mine
i tan	for you
chhawr tangkai	benefit
kik	tap
tihtur	task
tem	taste
tui	tasty
zirtir	taught
ngaihtuah tawh	considered
ti tawh	did
thi tawh	expired
zo tawh	finished
mu tawh rawh	go to bed
hmu tawh	seen
hun tawi te	moment
awm tawk	adequate
phak tawk	affordable
leng tawk	capacity
Assamese tawng	Assamese
Aymara tawng	Aymara
Bambara tawng	Bambara
Bhojpuri tawng	Bhojpuri
boruak tawngchin	vibe
Dhivehi tawng	Dhivehi
Dogri tawng	Dogri
Ewe tawng	Ewe
Fulfulde tawng	Fulfulde
Guarani tawng	Guarani
Ilocano tawng	Ilocano
Kalaallisut tawng	Kalaallisut
Konkani tawng	Konkani
Krio tawng	Krio
Google tawnglehna	Google Translate
Lingala tawng	Lingala
Luganda tawng	Luganda
Maithili tawng	Maithili
Meiteilon tawng	Meiteilon
Mizo tawng	Mizo
Oromo tawng	Oromo
Quechua tawng	Quechua
Sanskrit tawng	Sanskrit
Sepedi tawng	Sepedi
Sorani tawng	Sorani
Tigrinya tawng	Tigrinya
Tsonga tawng	Tsonga
Twi tawng	Twi
tawn tawnin	each other
a tawpah chuan	eventually
a tawpah chuan	finally
a tawp berah chuan	last but not least
thingpui	tea
zirtir	teach
zirtirtu	teacher
pawl	team
mittui	tear
mittui	tears
chhaih	tease
pindan te	cabinet
ha	teeth
lenzawng tehna	size
ho te	lame
thil telh	ingredients
hrilh	tell
sawi tel	mentioned
rilru	temper
biakin	temple
sawm	ten
luahtu	tenant
vulh	tend
nem	tender
thinthawng	tense
phawklek	tension
aitechhinna	tentative
singkhat	ten thousand
ral tep	endangered
dil te	pond
pindan tereuhte	closet
thil tereuh te	minute
hunbi	term
inremsiamna	terms
dan te	rules
fiahna	test
lui te	stream
thumal	text
a tha alawm	that's good
A tha e	Alright
a tha e duhtak	okay dear
ka tha e	I am fine
ka tha e	I'm fine
a tha e	it's ok
a tha e	It's okay
a tha e	ok
a tha e	okay
lei tha	fertile
chakna thahrui	energy
Ka tha	I'm good
rorelna tha	justice
mang tha le	sweet dreams
a tha lutuk	excellent
i tha maw	how do you do
aiin	than
lawm	thank
hriatna tha	sensitive
sawmi	that
enkawl tha	take care
a tha vek e	all right
kuta thawh	manual
i thawk tha e	good job
chumi	the
ruk	theft
ni thei	eligible
fan thei	flexible
loh theih loh	compulsory
ven theih loh	inevitable
a theih loh	no way
inhnial theihna	controversial
tih theih	practical
pawm theih	reasonable
ka thei	I can
ka thei lo	I can't
mu thei lo	insomnia
tawng thei lo	mute
zo thei lo	sustainable
chesawn thei	mobile
an	their
kan thei	we can
I thei	you can
anni	them
thupui	theme
thil them	pieces
anni	themselves
mi themthiam	artist
tichuan	then
pawl then	section
thu	theory
sawtah	there
chuvangin	therefore
hengte	these
anni	they
tunlai thiamna	technology
ka thian	my friend
chhah	thick
rukru	thief
malpui	thigh
inlam thil	household
sakhaw thil	religious
nitin thiltih chhinchhiahna	diary
Kan thiltum: khawvel chanchin khaikhawmna siam a, mitin tana banphak leh tangkaia siam	Our mission: to organize the world's information and make it universally accessible and useful.
Kan thiltum: mitin, khawihmuna mi pawh, tawng tin hmang pawh, khawvel chanchin hriatthiamtir	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
liver	thin
thil	thing
thilte	things
ngaihtuah	think
hrawk thip	sore throat
pathumna	third
tuihal	thirsty
sawmpathum	thirteen
sawmthum	thirty
hei	this
parsley thlai	parsley
i thlalak min lo thawn teh	send me your picture
dik thlap	accurate
dik thlap	precise
zir thlen chin	qualification
lo thleng tep	coming soon
engnge thleng	what happened
thil thlum ngaina	sweet tooth
ni tho mai	kinda
chipchiar	thorough
kimchangin	thoroughly
ngaihtuah	thought
ngaihtuahthui	thoughtful
ngaihtuahna	thoughts
sangkhat	thousand
la	thread
vau	threat
vau	threaten
pathum	three
bulthut	threshold
thanglian	thrive
hrawk	throat
tlang	through
tluanin	throughout
paih	throw
savun thuahkhawm	felt
pawl thu hla	official
kutzungpui	thumb
khawpui	thunder
a thuphung	concept
Ningani	Thursday
chuvangin	thus
tawpsan thut	ghosting
phih thut	jerk
ka ti ang	I will
rilru tibuai	confused
rilru tibuai	confusion
vawt ti	chill
thai	tick
ka ti dawn	going to
inherna	tide
fai	tidy
suih	tie
ka ti e	I do
mak ti	fascinating
sakei	tiger
tawt	tight
Ka tih awmzia	I mean
i tihdan dan	up to you
in tihlim rawh le	glow up
Ka tihpalh	I'm sorry
ka ti lo	I don't
hun	time
zakzum	timid
engtin tin emawni	somehow
tereuhte	tiny
hmawr	tip
thil ti	perform
a tirah	initial
chau	tire
chau	tired
theih tir	enable
tawrh tir	impose
tisa	tissue
mak ti	surprise
mak ti	surprised
i ti tha e	well done
nuam ti	thrilled
nihna	title
entawn tlak	model
hriatreng tlak	remarkable
ziak tlar	list
chelh tlat	hold on
duh tlat	insist
dik tluang	proper
ah	to
vawiin	today
nausen	toddler
kezungtang	toes
huho	together
ekin	toilet
hrilh	told
dawhtheihna	tolerance
tomato	tomato
naktuk	tomorrow
lei	tongue
zanin	tonight
pawh	too
la	took
hmanrua	tool
hmanrua	tools
ha	tooth
chung	top
thupui	topic
thler	torn
nghaisa	torture
belhkhawm	total
khawih	touch
tuarchhel	tough
zinvak	tour
lamah	toward
panin	towards
hrukpuan	towel
khawpui	town
hlauhawmtak	toxic
hnuchhui	trace
chhui	track
sumdawntawnna	trade
tihdanphung	traditional
motor	traffic
hnu	trail
zirtir	train
inzirna	training
hmelhmang	trait
ziarang	traits
sawn	transfer
inthlakthleng	transition
letling	translate
langtlang	transparent
thawn	transport
thilthawnna	transportation
thang	trap
bawlhhlawh	trash
lungchhiatthlak	trauma
zin	travel
dawhthleng	tray
ro	treasure
enkawl	treat
tihdamna	treatment
thingkung	tree
kalphung	trend
chhin	trial
bum	trick
tum	tried
hlawi	trim
tlu	trip
buaina	trouble
kekawr	trousers
truck	truck
dik	true
thinrem	trunk
ring	trust
thudik	truth
bei	try
khaw tual mi	indigenous
na tuar	hurt
dawt	tube
Thawhlehni	Tuesday
inzirtirna	tuition
hunbi tuk	routine
thlawhna tumhmun	airport
na turin	in order to
aieng	turmeric
inher	turn
zawm tur	procedure
ei tur	snack
sumsi	turtle
ni tur	to be
zirtirtu	tutor
sawmpahnih	twelve
sawmhnih	twenty
nawn	twice
herh	twist
pahnih	two
lampang	type
thuhmun	typical
Duhtakte u	Dear All
hmelchhia	ugly
ka u hmeichhia hi ka hmangaih a ni	I love my big sister
nihliap	umbrella
ka u mipa hi ka hmangaih a ni	I love my big brother
kawppui unaunu	sister in law
kawppui unaupa	brother in law
putea	uncle
hnuai	under
hnuaiah	underneath
hrethiam	understand
hrethiam	understood
danglam	unique
chunglam	up
tharlam	update
tichangtlung	upgrade
chungah	upon
lungawilo	upset
khawpui	urban
tur	urge
hmanhmawhthlak	urgent
chhang urna	bakery
keini	us
hmang	use
hmang	used
tangkai	useful
tangkailo	useless
tlangpui	usual
atlangpuiin	usually
tangkaina	utility
chawlhhun	vacation
invenna	vaccination
invenna	vaccine
ngaihtuah vak vak	overthinking
nung	valid
ruam	valley
hlu	valuable
hlutna	value
danglamna	variety
bursei	vase
zau	vast
hun vawng dik	punctual
sum vawnna	account
tel ve	attendance
thlai	vegetable
thlaihnah	vegetables
motor	vehicle
thil vei	emotional
tel ve	involve
dik vek	flawless
zuartu	vendor
in veng	defend
tur	venom
hmun	venue
tel ve	participate
tichiang	verify
lutuk	very
bawm	vessel
kaltlangin	via
rawng	vicious
tuartu	victim
video	video
thlir	view
thingtlang	village
misual	villain
vinegar	vinegar
tharumthawh	violence
tharum	violent
darh	viral
thianghlim	virgin
hmuhtheih	virtual
hlutna	virtue
hmathlir	vision
tlawh	visit
hmuhtheih	visual
pawimawh	vital
nung	vivid
thumal	vocabulary
aw	voice
ruak	void
luak	vomit
hlauthawnawm	vulnerable
hlawh	wage
hlawh	wages
kawng	waist
nghak	wait
nghaktu	waiter
nghak	waiting
harh	wake
kal	walk
kal	walking
bang	wall
vakvai	wander
duh	wanna
duh	want
duhna	wanted
indona	war
lum	warm
vau	warn
vaulawkna	warning
raldotu	warrior
tawh	was
su	wash
thilchhia	waste
thlir	watch
tui	water
dawnfawh	watermelon
vai	wave
kawng	way
keini	we
chaklohna	weakness
hausakna	wealth
hausa	wealthy
ha	wear
ha	wearing
khawchin	weather
inneihna	wedding
NIlaini	Wednesday
hnim	weed
kar	week
kartawp	weekend
buk	weight
mak	weird
chibai	welcome
hamthatna	welfare
Awle	Well
kal	went
an	were
khawthlang	west
huh	wet
nghapui	whale
engnge	what
engpawhnise	whatever
engtikah	when
engtiklaipawhin	whenever
khawnge	where
emaw	whether
khawi	which
laiin	while
hrilhru	whisper
faifuk	whistle
var	white
tunge	who
pumpui	whole
tunge	whom
suaksual	wicked
zau	wide
hmeithai	widow
vang	width
nupui	wife
ramhnuai	wild
duhdan	will
duh	willing
chak	win
thli	wind
tukverh	window
thlithaw	windy
uain	wine
thlasik	winter
hru	wipe
hrui	wire
finna	wisdom
fing	wise
duhsak	wish
nen	with
lachhuak	withdraw
lachhuak	withdrawal
tellovin	without
thuhretu	witness
fing	witty
chinghnia	wolf
hmeichhia	woman
hmeichhia	women
chak	won
ngaihtuah	wonder
duhawm	wonderful
thing	wood
sahmul	wool
thumal	word
thumalte	words
hnathawk	work
hnathawk	working
khawvel	world
rulhut	worm
ha	worn
mangang	worried
lungngai	worry
chawimawina	worship
hlutna	worth
manhla	worth it
phu	worthy
ang	would
hliam	wound
Uai	Wow
tuam	wrap
thinrimna	wrath
banrek	wrist
ziak	write
ziak	writing
ziak	written
ziak	wrote
tual	yard
ham	yawn
Awle	Yeah
kum	year
kum	years
dawidim	yeast
au	yell
eng	yellow
Awle	Yes
nimin	yesterday
thlengin	yet
hmuchhuak	yield
nangmah	you
naupang	young
i	your
nangma	yourself
tleirawl	youth
tui	yummy
mimal zalenna	privacy
mu zal	lying
man zat	bill
eng zat nge	how much
a zat	number
darh zau	diverse
zawi zawiin	gradually
tha zawk	better
zawk zawk	either
tlem zawk	fewer
hla zawk	further
duh zawk	prefer
upa zawk	senior
duh zawk thlang	optional
chhe zawk	worse
thumal zawmna	conjunction
sakhal zawng	density
rei zawng	duration
ngainat zawng	hobby
zau zawng	range
mi zawng zawng	everyone
thilh zawrhna hmunpui	mall
ti zel rawh	keep it up
ti zel rawh le	carry on
bial	zero
kan zingah	among us
chhum zing	foggy
engtianga zingin	how often
lawnga zin	sailing
ti zo	done
hmang zo	exhausted
lu zo	sassy
hralh zo	sold out
hmu zuai	glimpse
insiamrem zung zung	versatile
