а	a
лъазабизе	identify
чӀезабизе	identify
гӀадан	identity
инсан	identity
чи	identity
гӀабдал	idiot
кепалда гьабулеб	idle
хӀалтӀичӀого	idle
ани	if
сан гьабунгутӀизе	ignore
унтарав	ill
унтарай	ill
унтараб	ill
законалда гьечӀеб	illegal
законалда рекъолареб	illegal
законалдаса бахъараб	illegal
унти	illness
чорхол сахлъи хвей	illness
Илокано	Ilocano
бихьизаби	image
цебетӀезаби	imagine
нахътӀамичӀеб	immediate
хехаб	immediate
Хехго	immediately
цӀакъ кӀудияб	immense
асар гьабизе	impact
сабру гьечӀев	impatient
яхӀ гьабизе	impatient
чӀезе кӀоларев	impatient
тӀубазабизе	implement
къватӀиса къайи босие	import
кӀвар бугеб	important
бухьине	impose
бажарулареб	impossible
лъугьунареб	impossible
бихьизаби	impress
асар	impression
рекӀее асар гьабулеб	impressive
лъикӀлъизе	improve
лъикӀлъизаби	improvement
в	in
гурони	in addition
хӀакъикъаталда	In fact
цебе	in front of
лъие гӀоло	in order to
сурукъаб	inappropriate
къабихӀаб	inappropriate
рекъечӀеб	inappropriate
сабаблъун бугеб жо	incentive
гӀиллалъун	incentive
тунка-гӀуси	incident
гъалмагъир	incident
дагӀба-рагӀи	incident
биччазе	include
жувалаго	including
тӀаде бачӀунеб хайир	income
санагӀат гьечӀолъи	inconvenience
рекъонгутӀи	inconvenience
кӀодолъизе	increase
ворхана	increased
божизе захӀматаб	incredible
букӀине бегьулареб гӀадаб	incredible
битӀун	indeed
чияда бараб гьечӀолъи	independent
индия	India
бихьизабизе	indicate
бакӀалъулаб	indigenous
напсияб	individual
промышленность	industry
жиндаса рорчӀизе бакӀ гьечӀеб	inevitable
рес гьечӀеб	inevitable
чара гьечӀеб	inevitable
гьитӀинаб лъимер	infant
инфекциялъулаб унти	infection
лъугӀи гьечӀолъи	infinity
рагӀа-ракьан гьечӀолъи	infinity
гьорой	inflammation
цӀа-кан бахун	inflammation
гӀарцул къимат хвей	inflation
асар гьабизе	influence
лъазаби	inform
цӀех-рех гьаби	inform
хабар лъазаби	information
ингредиенты	ingredients
хварав чиясул бетӀергьанлъи гьесул ирсилазухъе бачӀин	inheritance
байбихьулаб	initial
бетӀераб	initial
байбихьи	initiative
зиян гьабизе	injured
зарал гьабизе	injured
перен. ругъун	injury
лъукъел	injury
гӀайиб гьечӀолъи	innocent
цӀи раккарал жал	innovation
гьикъизе	inquiry
гӀадаллъарав	insane
гӀадалав	insane
гьодал гьечӀел гӀисинал рухӀчӀаголъаби	insect
божи гьечӀев	insecure
квалквал гьабизе	insert
жаниб	inside
бичӀчӀи	insight
тӀад ччезе	insist
къишизе кӀунгуртӀи	insomnia
гъира-шавкъ	inspiration
шавкъ	inspiration
къасд ккей	inspiration
гъира	inspiration
хӀасрат гьабизе	inspire
лъезе	install
мисал	instance
цо параялъулаб	instant
цӀакъ хехаб	instant
гъолъул бакӀалда	instead
лъилниги бакӀалда	instead of
инструкции	instructions
тӀагӀел	instrument
къабихӀ гьави	insult
хӀакъир гьави	insult
инжит гьави	insult
цӀунизе	insurance
нетронутый	intact
ритӀухълъи	integrity
намус буголъи	integrity
ракӀбацӀцӀалъи	integrity
гӀакъилав чи	intellectual
гӀакълу	intelligence
пикру	intelligence
интеллигентлъи	intelligent
лъай	intelligent
культура буголъи	intelligent
ният гьаби	intend
ракӀалда букӀине	intended
къасд букӀине	intended
хиял	intended
хӀалуцун (кутакалда тӀаделъун) гьабулеб	intense
нигат	intention
цоцазе асар гьабизе	interact
цоцазе асар гьаби	interaction
ракӀбай	interest
сундулниги-лъилниги интерес гьабулев	interested
интересаб	interesting
гьоркьове жуваге	interfere
гьоркьохъеб	intermediate
жанисеб	internal
жанибехунисеб	internal
халкъазда гьоркъосеб	international
хӀалбихьиялъе хӀалтӀулеб заман	internship
баян кьезе	interpret
магӀна бичӀчӀизабизе	interpret
кӀалзул переводчик	interpreter
къотӀизе	interrupt
интервью	interview
къватӀиб лъазе биччалареб	intimate
напсалъе хасаб	intimate
рекӀелъ бахчараб	intimate
в	into
лъай-хъвай гьабизе	introduce
цеберагӀи	introduction
живго жиндаго вукӀунев чи	introvert
цӀодорлъи	intuition
унтарав	invalid
цӀияб жо ургъи	invent
магӀишат	inventory
гъарац лъезе	invest
цӀех-рех гьабизе	investigate
ахӀи	invitation
ахӀизе	invite
рикӀкӀен	invoice
хурхинаби	involve
гъорлъе цӀай	involve
хурхинабураб	involved
махх	iron
буго	is
чӀинкӀиллъи	island
батӀа тӀураб	isolated
суал	issue
суал	issues
гъоб	it
гьаб буго	it is
гьеб букӀана	it was
досул	it's
гьесул	it's
гъосул	it's
расги кквешаб жо гьечӀо	it's ok
кинабго лъикӀ буго	It's okay
гьитӀинаб нугӀ	item
жо	items
долъул	its
дун	I’m
куртка	jacket
туснахъ	jail
январь	January
банка	jar
чӀандеро	jaw
жахӀда	jealous
гӀабдал	jerk
ахӀмакъ	jerk
гӀарцул жал	jewelry
хӀалтӀи	job
ракьа хин гьаби	jogging
цолъизабизе	join
жубазабизе	join
жубазаби	joint
цолъизаби	joint
махсара гьабизе	joke
журналист	journalist
нух	journey
рохел	joy
диванбег	judge
судияв	judge
лъим	juice
июль	july
кӀанцӀезе	jump
июнь	june
басралъун хвараб къайи-матахӀ	junk
пайда гьечӀеб жо	junk
уже	just
просто гьабе гьеб жо	just do it
ритӀухълъи	justice
гӀадиллъи	justice
инсап буголъи	justice
щивниги ритӀухъавлъун вихьизавизе	justify
Калолжат	Kalaallisut
ракӀбараб	keen
ккой	keep
гьедин ккой	keep it up
ккун букӀана	kept
чайник	kettle
кӀул	key
цезе	kick
лъимер	kid
махсара гьабун	kidding
бекӀ	kidney
лъимал	kids
чӀвай	kill
чӀвай-хъвей	kill
тамахаб	kind
гьадин абуни	kinda
разиго	kindly
недегьго	kindly
хӀеренго	kindly
рекӀел лъикӀлъи	kindness
хан	king
къирал	king
уба гьабизе	kiss
богорукъ	kitchen
гьавадул борохь	kite
кето	kitten
наку	knee
лъалаан	knew
нус	knife
рыцарь	knight
лъала	know
лъай букӀин	knowledge
баян букӀин	knowledge
лъала	known
Конкани	Konkani
Крио	Krio
тӀад хъвай-хъвагӀай гьабураб кагъат	label
хӀалтӀи	labor
захӀмат	labor
хӀалтӀи	labour
захӀмат	labour
гӀунгутӀи	lack
мали	ladder
чӀужу	lady
бихьизабураб	laid
чӀезабураб	laid
хӀор	lake
кьагӀрил тӀинчӀ	lamb
рекъав	lame
чирахъ	lamp
ракь	land
пейзаж	landscape
мацӀ	language
накаби	lap
кӀудияб	large
ахирисеб	last
ахирисеб,амма гьединго къваригӀунеб	last but not least
ахирисеб цӀар	last name
отчество	last name
кватӀун	late
дагьаб цебегӀан	lately
цинги	later
тӀарамагъадисеб	latest
ахирияб	latest
ахирисеб	latest
тӀарамагъадисеб	latter
ахирияб	latter
ахирисеб	latter
релъ	laugh
велъулев	laughing
релъи	laughter
тадбир	launch
лъугьа-рихьи	launch
ретӀел чурулеб бакӀ	laundry
къанун	law
гьитӀинаб мечӀ	lawn
адвокат	lawyer
лъезе	lay
тӀамизе	lay
гъат	layer
модель	layout
кӀвахӀалав	lazy
кӀвахӀалал	lazy
кӀвахӀалаб	lazy
кӀвахӀалай	lazy
бетӀерлъизе	lead
цевехъан	leader
бетӀер	leader
нух бихьизабулев чи	leader
тӀамах	leaf
чвахун ин	leak
ваччизе	lean
халат кӀанцӀи	leap
лъазабизе	learn
лъай кьей	learning
цӀализари	learning
ижараялъ босизе	lease
гӀодобегӀан	least
бищунго дагь	least
хьвацӀилаб	leather
лакайдулаб	leather
ана	leave
тӀамхал	leaves
вачана	led
ана	left
хӀетӀе	leg
ирс	legacy
законияб	legal
таватур	legend
законияб	legit
регӀараб	leisure
хӀалтӀи гьечӀеб заман	leisure
паракъатаб гӀуж	leisure
бекӀеда кьезе	lend
халалъи	length
дагьаб	less
дарс	lesson
изну кьезе	let
ихтияр кьезе	let
хъвай-хъвагӀай	letter
кагъат	letter
латук	lettuce
тӀасияб рахъ	level
битӀун кколеб бакӀ	level
гьумер	level
битӀараб бакӀ	level
хӀалтӀизабизе	leverage
жавабчилъи	liability
библиотека	library
чӀикӀизе	lick
гьереси	lie
гьереси	lies
гӀумро	life
борхизе	lift
канлъи	light
пири	lightning
бокьана	like
букӀине бегьулеб	likely
гьединго	likewise
хӀучч	line
мухъ	line
Лингала	Lingala
бухьен	link
хурхен	link
гъалбацӀ	lion
лъамалъи	liquid
лъамияб жо	liquid
сияхӀ	list
гӀенеккизе	listen
гӀенеккун вуго	listening
литературно	literally
адабият	literature
чороклъи	litter
рищни-къул	litter
гьитӀинаб	little
чӀаголъи	live
тӀул	liver
гӀумри	lives
гӀумру	living
яшав	living
бетӀербахъи	living
гьоболасул рукъ	living room
кьинч	lizard
бакӀлъи	load
буханка	loaf
къарз	loan
цо бакӀалда бугеб	local
цо бакӀалъул	local
вугев бакӀ	location
хъала	lock
щулалъи	lock
карантин	lockdown
перен	log
велъанхъизе	lol
ялгъузаб	lonely
янгъизаб	lonely
халатаб	long
рихьичӀес гӀемер заман буго	long time no see
балагьизе	look
кӀичӀ	loop
эркенаб	loose
бетӀерчӀахъад	lord
билизе	lose
тӀагӀине	lose
били	loss
зарал ккей	loss
ками	loss
тӀагӀин	loss
билизе	lost
гӀемер	lot
кутакаб	loud
кӀудияб	loud
чӀезе	lounge
щибго гьабунгутӀизе	lounge
расги гьабичӀого	lounge
рокьи	love
дие мун вокьула	love you
дие мун йокьула	love you
рокьулцӀураб	lovely
дагьаб	low
лъухъаб	lower
гӀодобегӀанаб	lower
тӀуцаб	lower
божилъи цӀунараб	loyal
ритӀухълъи	loyalty
ракӀ-ракӀалъ мутӀигӀлъи	loyalty
икъбал	luck
бергьенлъи	luck
талихӀккей	luck
битӀккей	luck
талихӀав	lucky
Луганда	Luganda
багаж	luggage
къотӀел	lump
рекел	lump
бутӀа	lump
кесек	lump
гӀерекъ	lump
къаде кванай	lunch
гьуърул	lungs
чӀухӀи	luxury
бечелъи	luxury
гьереси бицунев	lying
аппарат	machine
гӀадаллъун	mad
хозяйка	madam
гьабуна	made
журнал	magazine
гьайбатаб	magnificent
цӀакъ берцинаб	magnificent
хъулухъчӀужу	maid
тӀоцебесеб	main
гьоркьоб къотӀизе тунгутӀизе	maintain
хвезе тунгутӀизе	maintain
къваригӀел тӀубазе	maintenance
хӀажалъи	maintenance
хъулухъ гьабизе	maintenance
Матили	Maithili
кӀвар бугеб	major
гӀемерал	majority
цӀикӀкӀараб бутӀа	majority
гьабуна	make
данде гьабизе	make up
гьабизе	make up
бихьинчи	male
даран-базаралъул	mall
дармил	mall
бичахисиялъул	mall
чи	man
зарал гьабизе	manage
производствоялъе нухмалъи гьабиялъул къагӀидаби	management
менеджер	manager
тӀадебоси	mandatory
чара гьечӀого	mandatory
кьуричӀого тӀубазабизе кколеб къотӀи	mandatory
манифест	manifest
манипулировать	manipulate
гӀадат	manner
нухмалъи	manual
бетӀерлъи гьаби	manual
гӀемер	many
гӀемер-гӀемер лъикӀал нахъе руссарал къоял	many many happy returns of the day
ине	march
низамалда хъвадизе	march
жаниве лъугьине изну	margin
базар	market
бертин	marriage
росасда йикӀине	married
хъизан гьабурав	married
тӀад хураб гьумер	mask
масса	mass
бакӀаб	massive
мазалияб	massive
кӀудияб	massive
мастер	master
къец	match
гьудул	mate
материал	material
математика	math
суал	matter
цӀубай	maturity
барщи	maturity
балагьунбихьила	may
балагьунбихьила	maybe
дие	me
дунги	me too
квен	meal
рекӀелъ букӀана	mean
магӀна	meaning
магӀна	means
кӀвар букӀине	means
рекӀелъ къарарлъизе	meant
гьеб заманалда	meanwhile
борцине	measure
меры	measures
гьан	meat
медицинаялъул	medical
унтабазул гӀелму	medicine
ургъун бихьи	meditation
эргъей	meditation
бакьулълъи	medium
бакьулъбакӀ	medium
дандечӀвана	meet
дандечӀвай	meeting
Мейтелон	Meiteilon
биине	melt
чапизе	melt
ракӀалде щварал жал	memories
ракӀалдачӀей	memory
ракӀцӀодорлъи	memory
психический	mental
рехсей	mention
ракӀалде щвезаби	mentioned
насихӀатчи	mentor
базарган	merchant
даранчи	merchant
грухӀел-рахӀму	mercy
бигьаго	merely
гӀадатго	merely
цӀияб соналдасан	merry christmas
бардак	mess
кагъат	message
бардак	messy
маххул квар	metal
къагӀида	method
гӀонкӀкӀолаб	mice
бакьулъбакӀ	middle
сордо бащалъараб заман	midnight
балагьунбихьила	might
гьоркьохъеб даражаялъул	mild
рекъараб	mild
гьоркьохъеб хӀалалъ бугеб	mild
хӀуби	milestone
зани	milestone
рагъулав	military
рахь	milk
миллион	million
пикрабазда	mind
гӀакълу боси	mindset
дир	mine
жубазе	mingle
дагьамакъаб	minor
дагьаб	minor
гьитӀинаб	minor
минута	minute
минутал	minutes
гӀаламалъи	miracle
гӀажаиблъи	miracle
гӀажаибаб жо	miracle
матӀу	mirror
батӀи-батӀияб	miscellaneous
кӀарчамав	mischievous
гогьав	mischievous
чанкӀкӀарав	mischievous
талихӀ къараб	miserable
захӀмалъаби	misery
къварилъаби	misery
тӀалихӀ къосин	misery
хьуллъун	miss
дун урхъун вуго	miss you
дун урхъун йиго	miss you
ургъел гьечӀеб	missing
цебеккунго гьабураб тӀадкъай, бихьизаби	mission
накӀкӀ	mist
гъалатӀ	mistake
Мизо	Mizo
мобильный	mobile
тӀад релъанхъизе	mock
мисал гьабизе	model
гьоркьохъеб хӀалалъ бугеб	moderate
роцада бугеб	moderate
жакъасеб	modern
гьабсагӀат бугеб	modern
гьанжесеб заманалъул	modern
гӀодове виччарав	modest
дагьалда разияв	modest
чӀухӀи гьечӀев	modest
хъантӀичӀев	modest
регьел бугеб	moist
рагьлилаб	moist
биччараб	moist
реччел	moisture
регьел	moisture
форма	mold
нухрагӀункӀкӀ	mole
эбел	mom
баба	mom
заман	moment
лахӀзат	moment
къокъаб заман	moment
итни къо	monday
гӀарац	money
экран	monitor
маймалак	monkey
моцӀ	month
рекӀел хӀал	mood
гогьаб	moody
барщарулеб	moody
моцӀ	moon
моралияб	moral
цоги	more
тӀадеги	moreover
рогьел	morning
мулк-ракь гъоркьлъалие лъун босулеб къарз	mortgage
бищунго	most
сахго босани	mostly
эбел	mother
багъа-бачари	motion
багъари	motion
мотивация	motivation
мегӀер	mountain
гӀункӀкӀ	mouse
кӀал	mouth
багъаризе	move
багъа-бачари	movement
багъари	movement
кино	movie
миссис	mrs
гӀемер	much
хӀарщ	mud
кружка	mug
ччобори	muscle
музей	museum
гӀурдахӀан	mushroom
кечӀ	music
ккейи	must
мацӀ лъаларев	mute
кӀиязулго цоцадехун бугеб	mutual
дир	my
дир хирияв	My dear
дир хирияй	My dear
дир гьудул	my friend
дир гама воздухалъуд падушкида угрябазул цӀун буго	My hovercraft is full of eels
дир рокьи	my love
дида цӀар буго	my name is
Не за что	my pleasure
жибго	myself
живго	myself
жийго	myself
жинцаго	myself
жалго	myself
нахъгӀунтӀулареб	mysterious
тамашаяб	mysterious
балъголъи	mystery
балъгояб иш	mystery
халкъияб бицен	myth
маргьадулаб	myth
малъ	nail
рекӀкӀ гьечӀев	naive
сундаго божулев	naive
цӀар	name
цо лъугьабахъиналъул хӀакъалъулъ	narrative
бицин	narrative
хадуб-цебе ккезабун	narrative
къваридаб	narrow
чӀедераб	narrow
тӀеренаб	narrow
рокьукъаб	nasty
миллияб	national
миллат	nationality
гӀагараб	native
тӀабигӀияб	natural
тӀабигӀаталъ	natural
тӀабигӀат	nature
ракӀ багъари	nausea
лагӀизе бачӀин	nausea
ракӀ свери	nausea
аскӀоб	near
гӀагардегӀан	nearby
гӀагарда	nearby
аскӀоб	nearby
хьолбохъ	nearby
аскӀоб	nearly
вакӀа-вахари	neat
рацӀцӀа-ракъалъи	neat
къачӀа-кӀатӀай	neat
чара гьечӀелъи	necessary
шекъер	neck
маргъалазул цӀал	necklace
къваригӀин	need
гӀаксаб	negative
мекъаб	negative
сан гьабунгутӀи	neglect
бачине	negotiate
кӀалъа-ралъай	negotiate
мадугьал	neighbor
мадугьаллъи	neighborhood
щибго	neither
кигӀан дагьабниги	neither
вацасул яс	nephew
яцалъул вас	nephew
вацасул  вас	nephew
зануда	nerd
нервазулаб	nervous
хӀанчӀибусен	nest
сеть	net
хьури	network
нейтралияб	neutral
киданиги	never
киданиги мутӀигӀлъуге	never give up
дие батӀалъи гьечӀо	never mind
кӀвар гьечӀого	nevermind
кин бугонаниги	nevertheless
цӀияб	new
цӀияб жо	news
хадусеб	next
гӀагардегӀан	next to
гӀагарда	next to
аскӀоб	next to
хьолбохъ	next to
лъикӀин	nice
лъикӀ буго  лъай-хъвай гьабизе	nice to meet you
яцалъул яс	niece
вацасул яс	niece
сордо	night
рокьукъаб макьу	nightmare
квешаб	nightmare
ичӀго	nine
анцӀила ичӀго	nineteen
ункъоялда анцӀго	ninety
ууна	No
проблема гьечӀо	no problem
киданиги	no way
щивниги	nobody
хъуй	noise
гъавгъа гӀемераб	noisy
щивниги	none
къалъулгӀуж	noon
гьечӀо	nope
гуро	nope
ни	nor
гӀадатаб	normal
букӀине кколеб гӀадаб	normal
севералъулаб рахъ	north
мегӀер	nose
ракьалда щолеб	nostalgic
ууна	not
махӀниги	not at all
кигӀанги	not at all
лъикӀ	not bad
квеш гьечӀого	not bad
хӀанчи гуро	Not now
жиги гьечӀо	not yet
баян	note
гуро	noted
расги гуро	nothing
халлъизе	notice
бихьана	noticed
предметияб цӀар	noun
существительные	nouns
роман	novel
ноябрь	november
гьанже	now
гьаб заман	nowadays
санагӀалъи гьечӀолъи	nuisance
къагӀида гьечӀолъи	nuisance
нолалъул	null
собозе	numb
рикӀкӀен	number
медсестра	nurse
цӀулакьо	nut
мускатный цӀулакьо	nutmeg
кванай	nutrition
гьеди	oath
тӀатӀи рекӀин	obesity
кьаралъи	obesity
кверщел гьабизе	obey
мутӀигӀ гьабизе	obey
кверщаликье бачине	obey
объект	object
ишан	objective
гӀуж	objective
тӀадаблъун бугеб	obligation
бецӀ гьабизе	obscure
халкквей	observation
балагьи	observation
хал кквезе	observe
сунцаниги жинда кверщел гьабурав	obsessed
кодове восарав	obsessed
кинаб бугониги хӀалалъ	obsessed
сунцаниги жинда кверщел гьабурав	obsession
кинаб бугониги хӀалалъ	obsession
нахъе ккараб	obsolete
басралъараб	obsolete
херлъараб	obsolete
квекӀен	obstacle
авара	obstacle
щвезе	obtain
осизе	obtain
щвараб	obtained
берда бихьулеб	obvious
якъинаб	obvious
дагӀба гьечӀеб	obvious
берда бихьулеб	obviously
якъинаб	obviously
дагӀба гьечӀеб	obviously
нагагьаб	occasionally
хӀалтӀи-пиша	occupation
профессия	occupation
хӀалтӀулев	occupied
машгъуллъарав	occupied
хӀалтӀи бугев	occupied
лъугьине	occur
лъана	occurred
ракӀалда букӀинчӀеб	occurs
океан	ocean
октябрь	october
хӀикматаб	odd
шансы	odds
оф	of
у	of course
чӀезабизе	off
гьоркьоб къотӀизабизе	off
хӀакъир гьавулеб	offensive
инжит гьавулеб	offensive
къабихӀ гьавулеб	offensive
цебе лъуна	offer
офис	office
официалияб	official
гьарзаго	often
о	Oh
унго	oh really
нах	oil
агьа	ok
агьа хирияв	ok dear
агьа ракӀалъ восулев	ok honey
агьа дир рокьи	ok my love
агьа	okay
агьа,лъимер	okay baby
агьа хирияв	okay dear
агьа хирияй	okay honey
агьа хирияв	okay honey
агьа дир рокьи	okay my love
хераб	old
тӀад	on
цоцӀо	once
цо	one
цо мацӀ киданиги букӀунаро гӀезегӀан	one language is never enough
пер	onion
в сети	online
цохӀо	only
рагьизе	open
операция	operation
пикру	opinion
рес	opportunities
хӀалкӀвейи	opportunity
дандбитӀун	opposite
оптимизмалъулаб	optimistic
къагӀида	option
тӀадаб гуреб	optional
тӀадаблъун гьечӀеб	optional
ва	or
апельсин	orange
тӀад къай	order
чӀараб	ordinary
ругьунаб	ordinary
кидаго гӀадаб	ordinary
орагнизация	organization
нух бахъизе лъай	orientation
рижи	origin
лъугьин	origin
бакки	origin
хӀакъикъияб	original
жиндирго квералъ хъвараб	original
оригиналияб	original
Оромо	Oromo
бесдал лъимер	orphan
Цогияб	other
батӀайиса	otherwise
ккола	ought
нижер	our
нилъер гӀумру гьабиялӀул магӀна:  сахазего киса -кибего рес къезе   дуниял бичӀчӀине ва жиндирго пикру загьир гьабизе батӀибатӀиял мацӀалда	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
нилъер гӀумру гьабиялӀул магӀна: динялалъулго информация системалде ккезабизе ва сахалго гӀадамазе бичӀчӀине ва хӀалтӀизабизе  бигьаяблъун	Our mission: to organize the world's information and make it universally accessible and useful.
къватӀибе	out
къватӀире унеб бакӀ	outcome
къватӀибе нух	outcome
къваригӀунеб къайи-къоно	outfit
къватӀибе унеб	outgoing
биччай	outlet
рикӀкӀадасан бихьулеб къватӀисеб сипат	outline
тӀасан	outside
къватӀисан	outside
цӀар араб	outstanding
машгьураб	outstanding
печь	oven
тӀасан	over
доба	over there
лъоба	over there
гъоба	over there
сундуего гӀаммаб	overall
киназего	overall
гӀахьалаб	overall
къезабизе	overcome
къуркьизабизе	overcome
къуризабизе	overthinking
бихха-хочараб	overwhelmed
рахӀат хвараб	overwhelmed
баччизе кӀолареб	overwhelming
хӀехьезе	overwhelming
бетӀергьанлъи	owe
руз	owl
бетӀергьанлъи	own
бетӀергьан чи	owner
хважайин	owner
оц	ox
риччай	pace
пакет	pack
бухьа-къай	package
рекъезабун лъей	package
къураб	paid
бецӀцӀараб	paid
унти	pain
сурат	paint
ракӀ бацӀцӀадав	painting
кӀигоял	pair
кьер тӀураб	pale
хъат	palm
огъохъат	palm
хьаг	pan
цо улкаялде яги улкаялъул бутӀаялде цадахъ унтаби рахин	pandemic
рихха-хочи	panic
тӀажу	pants
кагъат	paper
алжан	paradise
параллелияб	parallel
посылка	parcel
тӀаса лъугьине	pardon
эбел-эмен	parents
умумул	parents
хьвадизе нухалги ругеб ах	park
гаргадулеб хӀинчӀ	parrot
петрушка	parsley
бутӀа	part
гӀахьаллъизе	participate
тӀокаб	particular
батӀаго	particularly
цӀакъго	particularly
дандеяв	partner
гӀодорчӀей	party
цӀадухъчӀей	party
ккезе	pass
къокъид нух	passage
цо бакӀ къотӀун унеб нух	passage
араб	passed
шавкъ	passion
кутакаб шавкъ бугев	passionate
кутакаб гӀишкъуялъул	passionate
гурхӀулев	passive
гурхӀел бугев	passive
пароль	password
цебесеб	past
араб	past
унтараб бакӀалда чӀвалеб ххамил чӀоло	patch
нух	path
гъаримав	pathetic
пакъирав	pathetic
язихъав	pathetic
сабру	patience
унтарав	patient
шаблон	pattern
лъалхъи	pause
тротуар	pavement
хӀазе	pay
мухь кьей	payment
гӀодобе биччай	peace
сасин	peace
рекъел бокьулел	peaceful
дагӀба-къец гьабуларел	peaceful
микьир	peach
бетӀер	peak
борхалъи	peak
тӀогь	peak
гени	pear
хилъало	peas
батӀияб хасияталъул	peculiar
кӀущизе	pee
бацӀцӀине	peel
кӀвар кьун балагьизе	peer
гӀел бащадав	peers
кьерилав	peers
кверкъел	pen
къалам	pencil
балагьун чӀей	pending
гӀадамал	people
пилпил	pepper
пучч	pepper
сангьавизе	perceive
лъай	perception
къабул гьаби	perception
бичӀчӀи	perception
нахъгӀунтӀи	perception
цӀакъ лъикӀаб	perfect
тӀубазабизе	perform
цеве вахъин	performance
цейе яхъин	performance
цере рахъин	performance
балагьунбихьила	perhaps
заман	period
гьоркьоса къотӀичӀеб	permanent
изну, ихтияр	permission
биччазе	permit
бегьизе	permit
тӀаса вичӀунгутӀи	perseverance
къвакӀун чӀей	perseverance
тӀаделъи	perseverance
жигараб	persistent
таваккалаб	persistent
тӀад чӀараб	persistent
гӀадан	person
инсан	person
чи	person
живго бетӀергьанаб	personal
напсияб	personal
жиндирго	personal
жинцаго гьабулеб	personal
гӀадан	personality
инсан	personality
чи	personality
цебе рехун бихьулеб сундулниги сурат	perspective
чӀезабизе	persuade
гьоркьоб къотӀизабизе	persuade
инкар гьабурав чи	pervert
рокъосеб хӀайван	pet
сундул бугониги цебетӀеялъулъ хиса-баси кколеб лахӀзат	phase
вачӀин	phenomenon
лъугьа-бахъин	phenomenon
инсаният	philosophy
тӀабигӀат	philosophy
гӀакълу цебетӀеялъул гӀаммал законазул хӀакъалъулъ гӀелму	philosophy
телефон	phone
сурат	photo
жугьа	phrase
калима	phrase
физическияб	physical
бичизе	pick
бича-хисизе	pick
даран гьабизе	pick
босизе	pick up
сурат	picture
рекъел	piece
бутӀаби	pieces
болъон	pig
микки	pigeon
гохӀ	pile
гъуни	pile
къандалъо	pillow
пилот	pilot
воржарухъан	pilot
рукӀкӀен чӀван	pin
щула гьабизе	pin
ананас	pineapple
розаялъул кьераб	pink
багӀарккараб	pink
тонкӀо	pit
майдан	pitch
гъаримав	pity
пакъирав	pity
язихъав	pity
бакӀ	place
чеспла	places
чума	plague
къавуда	plague
гӀадатаб	plain
план	plan
самолет	plane
хурдул	plant
хурдул	plants
суркӀа	plate
рекӀунеб-рещтӀунеб бакӀ	platform
хӀазе	play
хӀазе	playing
бегьулеб	pleasant
квегӀенаб	pleasant
рекъон кколеб	pleasant
дала кьегийин	please
рази гьавурав чи	pleased
лазат	pleasure
рахӀат	pleasure
присяга абизе	pledge
гӀемер	plenty
магӀна кьолел лъугьа-бахъинал	plot
къайзе	plug
кокон	plum
лъел нухъ къачӀалев чи	plumber
лъим бачунев	plumber
множественное число	plural
подкаст	podcast
кочӀол цо мухъ	poem
кочӀохъего хъварал асарал	poetry
бихьизабизе	point
нугӀлъи гьабизе	point
загьру	poison
полиция	police
сиясат	policy
адаб-хъатир буголъи	polite
хӀеренлъи	polite
чороклъи	pollution
хӀор	pond
бассейн	pool
вилъизе	poop
язихъав	poor
мискинав	poor
поп	pop
бичӀчӀулеб	popular
популяция	population
болъонил гьан	pork
хӀичи	porridge
карщ	porridge
гумул чӀезе гьабураб бакӀ	port
рагъулал ишал ругеб бакӀ	position
уяб	positive
дурусаб	positive
рекъараб	positive
битӀараб	positive
бетӀергьанлъи гьабизе	possess
бетӀергьанлъи	possession
притяжательный падеж	possessive
балагьун бихьила	possible
почта	post
нахъе лъезе	postpone
картошка	potato
букӀине бегьулеб	potential
фунт	pound
мискӀинлъи	poverty
гуч	power
къуват	power
хӀал	power
кутак	power
къуватаб	powerful
хӀал бугеб	powerful
гучаб	powerful
иш лъалев	practical
хӀалбихьи бугев	practical
хӀал бихьизе	practice
беццизе	praise
бергьинелъун хӀазе лъугьин	prank
дугӀа-алхӀам гьабизе	pray
как базе	pray
берцинлъи	precious
гьайбатлъи	precious
хӀайранлъи	precious
беричлъи	precious
дурусаб	precise
мухӀканаб	precise
гьеле гьедин	precisely
букӀинесеб цебеккунго бицине	predict
бокьи	prefer
тӀокӀаблъун рикӀкӀин	preference
цо жо цогидалдаса лъикӀаблъун	preference
къинай	pregnant
цебеккунго жиндилъ ракӀчӀей бижарав	prejudice
рукъ	premises
мина	premises
ригь	premises
лъикӀаб хӀалтӀухъ кьолеб гӀарац	premium
хӀадурлъи гьаби	preparation
хӀадурлъи гьабизе	prepare
хӀадураб	prepared
багьана	preposition
далил	preposition
сабаб	preposition
гӀилла	preposition
цо бакӀалда вукӀин	presence
сайигъат	present
бихьизаби	presentation
цӀунизе	preserve
президент	president
мерхьине	press
тӀадецуй	pressure
хӀалуцин	pressure
притворяться	pretend
гӀола	pretty
гьукъизе	prevent
цебесеб	previous
балагьи	prey
бахъи	prey
мухь	price
къимат	price
багьа	price
чӀухӀи	pride
кашиш	priest
тӀоцебесеб	primary
аслияб	prime
къираласул яс	princess
аслияб	principal
бетӀераб	principal
цебесеб	prior
некӀсияб	prior
тӀоцебесеблъи	priority
