chuchoko	a little
kupumula pa ntchito	retired
kuwelera	retreat
sanga	retrieve
welela	return
manyiska	reveal
kuvumbula	revealed
welezgela	revenge
ndalama	revenue
nyumwa	reverse
welelamo	review
welelamo	revise
welezga	revision
kuwukila	revolution
mphaso	reward
sumu	rhythm
nthiti	rib
mupunga	rice
sambazga	rich
kuwuskapo	rid
kwela	ride
chawaka	ridiculous
unenesko	right
sono apa	right now
wakukhora	rigid
mphete	ring
kama	rinse
chiwawa	riot
NNA	rip
kuphya	ripe
uka	rise
chiwopsezo	risk
mulwani	rival
dambo	river
musewu	road
wotcha	roast
wakukhora	robust
libwe	rock
nthonga	rod
ntchito	role
kugadabula	roll
denga	roof
chipinda	room
musisi	root
chingwe	rope
chakuvunda	rotten
kukhoma	rough
mu nthowa yiheni	roughly
zingilira	round
nthowa	route
mwamadazi ghose	routine
muzele	row
phaka	rub
labala	rubber
uzeleza	rubbish
nkhwesa	rude
chakuyala	rug
nanga	ruin
lamulo	rule
mulongozgi	ruler
malamulo	rules
tchimbila	run
kutchimbila	running
kumizi	rural
tchimbilila	rush
thumba	sack
vinthu vyakupatulika	sacred
sembe	sacrifice
wakuvikilirika	safe
ndege yakuvikilirika	safe flight
chitetezgo	safety
munthu wamahara chomene	sage
yowoya	said
ghambuka	sail
kughambuka	sailing
chifukwa	sake
malipilo	salary
guliska	sale
salmon	salmon
muchele	salt
kuyana	same
kunoso nthenanthena	Same here
chiyezgelero	sample
muchenga	sand
Sanskrit	Sanskrit
kuyowoya mwanthontho	sarcastic
wakujikuzga	sassy
khala	sat
kukhutila	satisfaction
kukhutiskika	satisfied
khutiska	satisfy
khutiskika	satisfying
chisulo	Saturday
soseji	sausage
mzerezga	savage
sunga	save
sona	saw
beka	saw
yowoya	say
sikelo	scale
boza	scam
bamba	scar
kusoba	scarce
kuofyeka	scared
mpango	scarf
viofyi	scary
vyakutayika	scattered
chakuchitika	scene
kawonekero	scenery
kununkhira	scent
ndondomeko	schedule
sukulu	school
sayansi	science
wasayansi	scientist
wa sayansi	scientists
sizasi	scissors
tuka	scold
kutandazika	scope
hozya	score
viswaswa	scrap
kwantha	scratch
chemelezga	scream
chakubekerapo vinthu sikirini	screen
kumasula	screw
malemba	script
nyanja	sea
kumata	seal
penja	search
nyengo	season
mpando	seat
wachiwiri	second
chisisi	secret
chigaba	section
kuvikilirika	secure
walonda	security
wona	see
tisanganenge	see you
tisanganenge nyengo inyakhe	see you later
tisanganenge	see you soon
tisanganenge namachelo	see you tomorrow
mbewu	seed
penja	seek
kuwoneka	seem
vikuwoneka	seems
woneka	seen
poka	seize
kukomoka	seizure
kaŵirikaŵiri	seldom
sankha	select
yekha	self
kupola chekha	self healing
kujitemwa	selfish
guliska	sell
tumizga	send
tuma pikichala yako	send me your picture
mulala	senior
kumanyikwa	sense
vuazelu	sensible
kukhwasika	sensitive
tuma	sent
chiganizo	sentence
viganizo	sentences
patulapo	separate
Sepedi	Sepedi
sepitembala	september
ndondomeko	sequence
mndandanda	series
kuzirwa	serious
mwambura kukayika	seriously
gwilila ntchito	serve
uteŵeti	service
gawa	session
wikika	set
kuwikika	set up
ndondomeko	setting
khazikika	settle
vinayi na viwiri	seven
khumi na vikhondi na viŵiri	seventeen
makumi ghankhondi na ghawiri	seventy
vinandi	several
ŵinya	severe
sona	sew
mthunzi	shade
chizgezge	shadow
sukunya	shake
yikwenera	shall
chifupi	shallow
soni	shame
kawonekero	shape
gawa	share
kuthwa	sharp
iyo	she
wali na	she has
iyo wali	she is
janda	shed
khosa	sheep
pepala	sheet
shelefu	shelf
shelo	shell
mwakukhala	shelter
chiskango	shield
suntha	shift
kuwala	shine
sitima	ship
kutumizga katundu	shipping
malaya	shirt
skapato	shoes
womba	shoot
shopu	shop
kugula	shopping
pamtunda	shore
mufupi	short
kuchepa	shortage
womba	shot
wakeneranga	should
chiphanga	shoulder
chemelezga	shout
longola	show
nioneske	show me
shawa	shower
shirimpi	shrimp
konyeka	shrink
jala	shut
jala	shut up
soni	shy
mubale	sibling
wabali	siblings
kuluwala	sick
luwande	side
kupuma mwakukwiya	sigh
kuwonela	sight
kuwona malo	sightseeing
chilongozgi	sign
siginitchala	signature
khumbika chomene	significant
chiwawa	silence
kwambula chiwawa	silent
silika	silk
uzeleza	silly
siliva	silver
kuyana	similar
simpi	simp
chipusu	simple
pa nyengo yimoza	simultaneously
kufuma	since
kugomezgeka	sincere
mwakunweka	sincerely
yimba	sing
wakwimba	singer
yekha	single
mila	sink
Bwana	Sir
mudumbu wako mwanakazi	sister
mlamu	sister in law
khala	sit
malo	site
chakuchitika	situation
vinkhondi na chimoza	six
khumi na vikhondi na chimoza	sixteen
makumi ghankhondi na limoza	sixty
saizi	size
luso	skill
maluso	skills
thupi	skin
kughanda	skinny
jumpha	skip
siketi	skirt
kuchanya	sky
kapolo	slave
gona	sleep
kugona	sleeping
tulo	sleepy
woko la chakuvyala	sleeve
chidutswa	slice
teremuka	slide
pachoko waka	slightly
kughanda	slim
kuteremuka	slip
pakukhila	slope
bowo	slot
pachoko	slow
pachokopachoko	slowly
kachoko	small
waluso	smart
kununkha	smell
mwetulila	smile
josi	smoke
kusalala	smooth
sinaki	snack
nkhono	snail
njoka	snake
chithunzi	snap
sinowo	snow
ntheula	so
kutowa chomene	so cute
mpaka sono	so far
nyika	soak
sopo	soap
wakuŵa maso	sober
bola	soccer
umoyo wa ŵanthu	social
mudzi	society
stionking'i	socks
kufewa	soft
dongo	soil
guliskika	sold
vyaguliskika	sold out
musilikali	soldier
-moza	sole
chakukhorwa	solid
zgoro	solution
werengeska	solve
vinyake	some
munyakhe	somebody
mu nthowa yinyake	somehow
munthu munyakhe	someone
chinthu chinyakhe	something
nyengozinyakhe	sometimes
sumu	song
sono sono	soon
makono	sophisticated
Sorani	Sorani
vilonda	sore
vilonda vya pa singo	sore throat
chitima	sorrow
Phepani	Sorry
nozga	sort
penja	sought
muzimu	soul
bwenzi lako	soulmate
phokoso	sound
musuni	soup
kuwawaska	sour
uko chafuma	source
kumwela	south
malo	space
sipamu	spam
utali wanyengo	span
Chisipanishi	Spanish
kuleka	spare
yowoya	speak
chapadera	special
mitundu	species
kuyowoya waka	specific
chakuzizwiska	spectacular
kayowoyelelo	speech
kwambula mazgo	speechless
luwiro	speed
chithumwa	spell
kugwiriskira ntchito	spend
nanga	spent
chakunowa	spicy
kukwera chomene	spike
kuzungulizga	spin
sipinachi	spinach
mzimu	spirit
thunya	spit
makora chomene	splendid
gawa	split
nanga	spoil
nanga	spoiled
mwazizizi	spontaneous
supuni	spoon
malo	spot
mufumuwako	spouse
mwanakazi wako	spouse
tambasula	spread
nyengo ya vula	spring
sikweya	square
finya	squeeze
sikwidi	squid
sikwilu	squirrel
gwaza	stab
wakukhora	stable
unjika	stack
watchito	staff
siteji	stage
kudayika	stain
masitepe	stairs
chakugwazira	stake
phesi	stalk
khola	stall
chidindo	stamp
ima	stand
sitandade	standard
nyenyezi	star
yamba	start
kuyamba	started
kufwa na njala	starving
chalo	state
mazgu	statement
siteshoni	station
chikozgo	statue
udindo	status
khala	stay
khala makola	stay safe
chakukhazikika	steady
nyama yambura mafupa	steak
iba	steal
muthuzi	steam
chisulo	steel
malo ghakulutira kusika	steep
nthonga	stem
sitepe	step
ndodo	stick
wakukhora	stiff
nangauli	still
luma	sting
mukaka	stingy
chiwawa	stir
katundu	stock
kwibika	stolen
nthumbo	stomach
libwe	stone
ima	stood
tebulo lichoko	stool
ima	stop
mwakusungila	storage
sitolo	store
chivundungwelu	storm
nkhani	story
chitofu	stove
kunyoloka	straight
vyakunyoloka waka	straightforward
kusefa	strain
minthondwe	strange
mulendo	stranger
nthowa	strategy
sitirowo	straw
sitiroberi	strawberry
muzere	streak
dambo	stream
nthowa	street
nkhongono	strength
kusuzgika maghanoghano	stress
kutakasuka	stretch
wakukhora	strict
tchaya	strike
chingwe	string
kuvula	strip
kulimbikira	strive
sitiroko	stroke
wakukhora	strong
kutchayika	struck
ndondomeko	structure
kulimbana	struggle
kulimbana	struggling
kunonopeska	stubborn
wakakika	stuck
mwana wa sukulu	student
welenga	study
kuwazga	studying
vinthu	stuff
chakutowa chomene	stunning
chindele	stupid
sitailo	style
mutu	subject
kujipeleka	submission
peleka	submit
chinthu	substance
m'malo mwa	substitute
suzga kupulikiska	subtle
kutola malo	succeed
kupambana	success
fiska	successful
ntheura	such
nga ni	such as
yonkha	suck
mabuchibuchi	sudden
mwamabuci	suddenly
suzgika	suffer
kusuzgika	suffering
vakukwana	sufficient
shuga	sugar
sachizga	suggest
sachizgo	suggestion
suti	suit
wakwenelera	suitable
sutikesi	suitcase
samuzi	sum
chidule	summary
chihanya	summer
ungano	summit
zuba	sun
sabata	sunday
kwa zuba	sunny
manjililo gha zuba	sunset
kubala kwa zuba	sunshine
chakurya chanamize	super
bwana	superior
wakubekerera	supervisor
chakurya cha namise	supper
peleka	supply
kuovwila	support
tiyelezgere	suppose
ŵakughanaghana	supposed
kuneneska	sure
pachanya	surface
kukwera mwamabuchi	surge
sajale	surgery
zina la dada	surname
buchizga	surprise
chuluskika	surprised
kujipeleka	surrender
vyakuzingilira	surrounding
kubekerera	surveillance
kafukufuku	survey
pulumuka	survive
ŵakukayika	suspect
lekiska	suspended
kukaikiska	suspicious
kupa moyo	sustain
kukwaniskika	sustainability
kukhazikika	sustainable
katani	swag
mila	swallow
sintha	swap
lumbila	swear
thukuta	sweat
swetala	sweater
phyela	sweep
kunowa	sweet
maloto ghawemi	sweet dreams
kutemwa vyakunong'omera	sweet tooth
wakutemweka	sweetheart
tupa	swell
kutupa	swelling
kuskamba	swim
kuskamba	swimming
zendewera	swing
sintha	switch
kutupa	swollen
lupanga	sword
chimanyisko	symbol
chitima	sympathy
vimanyisko	symptoms
ndondomeko	system
thebulu	table
nozga	tackle
pepala lakumata kulongola mtengo wa chinthu	tag
muchila	tail
tola	take
tolera kunyake	take away
ujipwelelele	take care
nyamuka	take off
toleka	taken
yowoya	talk
wakuyowoya	talkative
utali	tall
mpopi	tap
kaseti	tape
kuchalira	target
ntchito	task
kanowelo	taste
vakunowa	tasty
sambizga	taught
tiyi	tea
sambizga	teach
musambizi	teacher
timu	team
kelula	tear
mazosi	tears
kusuzga	tease
umanyi	technology
mino	teeth
phalila	tell
niphalile	tell me
ukali	temper
tempuritcha	temperature
tchalitchi	temple
chambula kukhazikika	temporary
khumi	ten
vikwi khumi	ten thousand
uyo wakurenta	tenant
kutemwa	tend
kukhumba kuchita	tendency
peleka	tender
wakufipa mtima	tense
kusuzgika maghanoghano	tension
tenti	tent
keyezgerereka	tentative
teremu	term
mazgu	terms
kuofya	terrible
chiofyi	terrific
chigawa	territory
kanowelo	test
malemba	text
kuluska	than
wonga	thank
yewo	thank you
naonga	thank you
Tawonga pakuzizipizga kwinu apo tafufuzanga za katundu winu uyo wakatumizgika	Thank you for your patience while we investigate shipment
naonga chomene	thank you so much
naonga chomene	thank you very much
taonga	thanks
naonga	thanks
taong apakugwiliska ntchito app yithu	Thanks for using our app
iyo	that
ni ivi	that is
vili makola	that's good
kwiba	theft
awo	their
iwo	them
mutu	theme
Iwo	themselves
apo	then
kulongosola maghanoghano	theory
apo	there
pali	there are
pali	there is
ntheula	therefore
ivi	these
iwo	they
wali na	they are
-nandi	thick
mukhungu	thief
ntchafu	thigh
kughanda	thin
chinthu	thing
vinthu	things
ganiza	think
chitatu	third
nyota	thirsty
khumi na zitatu	thirteen
makumi ghatatu	thirty
ichi	this
ichi ni	this is
mwakukwana	thorough
mwakukwana	thoroughly
awo	those
mu	though
ghanoghano	thought
wakughanaghanira	thoughtful
maghanoghano	thoughts
chikwi	thousand
uzi	thread
wuofyi	threat
wofya	threaten
vitatu	three
pakunjilira	threshold
kondwa	thrilled
chita makora	thrive
kusingo	throat
kwizira mu	through
kose	throughout
hucha	throw
chigunyo	thumb
bingu	thunder
chinayi	Thursday
ntheura	thus
chonga	tick
mathithi	tide
kutowa	tidy
kaka	tie
nyalugwe	tiger
thina	tight
Tigrinya	Tigrinya
nyengo	time
wakuchita wofi	timid
kachoko	tiny
nsonga	tip
matipi	tips
vuka	tire
kuvuka	tired
tishu	tissue
mutu	title
ku	to
kuwa	to be
tositi	toast
mwahuno	today
mwana wakukhwaba	toddler
njowe	toes
vose	together
chimbuzi	toilet
phalira	told
kuzizipizga	tolerance
kupulikana	tolerate
tomato	tomato
namachelo	tomorrow
lulime	tongue
usiku uno	tonight
nawo	too
tola	took
chiwiya	tool
vipangizo	tools
mino	tooth
pachanya	top
mutu	topic
kukelika	torn
pweteka	torture
vyose pamoza	total
khwaska	touch
chinonono	tough
ulendo	tour
sendela	toward
ku	towards
thawulo	towel
mzinda	town
chapoizoni	toxic
kulondezga	trace
nthowa	track
malonda	trade
kakhaliro	tradition
chikhalidwe	traditional
thirafiki	traffic
nthowa	trail
sitima	train
kusambizga	training
nkharo	trait
mikhaliro	traits
lutiska malo ghanyakhe	transfer
kusintha	transition
tanthauzgila	translate
vyakuonekela	transparent
mayendelo	transport
mayendelo	transportation
koleka	trap
vyambula ntchito	trash
kuzizika	trauma
yenda	travel
thireyi	tray
usambazi	treasure
kusamalira	treat
wovwiri	treatment
khuni	tree
ghakuru chomene	tremendous
manyikwa	trend
kuyezgelela	trial
kupusikika	trick
kuyezga	tried
kwambiska	trigger
chepeska	trim
ulendo	trip
suzgo	trouble
buluku	trousers
galimoto ikulu yakunyamula katundu	truck
vyaunenesko	TRUE
thunthu	trunk
khulupilila	trust
unenesko	truth
yezga	try
Tsonga	Tsonga
chitoliro	tube
chibiri	Tuesday
malipiro gha sukulu	tuition
Tumbuka	Tumbuka
nkhukundembo	turkey
turmeric	turmeric
khweta	turn
kamba	turtle
musambizgi	tutor
khumi na viwiri	twelve
makumi ghawiri	twenty
makumi ghaŵiri na limoza	twenty-one
Twi	Twi
kabiri	twice
pinda	twist
vibiri	two
mutundu	type
kawirikawiri	typical
uheni	ugly
kuumaliro	ultimate
ambulera	umbrella
kutondeka	unable
asibweni wanalume	uncle
kufenta	unconscious
pasi	under
pasi	underneath
kukaikila	underrated
pulikiska	understand
pulikiska	understood
mwambura kukondwa	unfortunately
yunifolomu	uniform
wapadera	unique
chigawa	unit
univesite	university
wambulakumanyikwa	unknown
pokhapokha	unless
kufikila	until
vyambula kuchitikachitika	unusual
kukwera	up
vili na iwe	up to you
kusintha	update
kwezga	upgrade
pa	upon
kukwiya	upset
mu tawuni	urban
kukhuŵilizgika	urge
luwiloluwilo	urgent
ise	us
gwilisa ntchito	use
kugwilisa ntchito	used
cha ntchito	useful
wambula ntchito	useless
chizgowezi	usual
chomene chomene	usually
kugwiriskira ntchito	utility
tchuthi	vacation
nyereti	vaccination
katemela	vaccine
mwambula kanthu	vacuum
pulikikwa makora yayi	vague
kuzomerezgeka	valid
chigodobu	valley
vyamakopala	valuable
mutengo	value
vyakupambanapambana	variety
vinandi	various
kupambana	vary
vasi	vase
unandi	vast
mphangwe	vegetable
mphangwe	vegetables
galimoto	vehicle
wamalonda	vendor
ululu	venom
kuchita chinthu chakofya	venture
malo	venue
kuwoneseska	verify
kugwiliskira ntchito vinthu vinandi	versatile
baibolo	version
ima sitileti	vertical
chomene	very
wachita makola	very good
sitima	vessel
kujumphira	via
umo ukujipulikira	vibe
nkharo	vibes
ŵankhaza	vicious
wakuzuzika	victim
kanema	video
beka	view
kukaya	village
muheni	villain
viniga	vinegar
chaka cha mpheska	vintage
zawe	violence
mbembe	violent
mwanakazi uyo wandagoneko na mwanalume	virgin
pafupifupi	virtual
uwemi	virtue
masomphenya	vision
wona	visit
vyakuoneka	visual
chakuzirwa	vital
kuwonekera	vivid
mazgu	vocabulary
mazgo	voice
mwambura kanthu	void
unandi	volume
wakujipeleka	volunteer
bokola	vomit
-mbura chitetezo	vulnerable
malipilo	wage
malipilo	wages
chiuno	waist
lindila	wait
wakupelekela	waiter
kulindilila	waiting
wuka	wake
wuka	wake up
yenda	walk
kuyenda	walking
chiliba	wall
waleti	wallet
kwendayenda	wander
tikukhumba	wanna
nkhukhumba	want
kumbikwa	wanted
nkhondo	war
kabati ya vyakuvwara	wardrobe
nyumba yakusungiramo katundu	warehouse
kufunda	warm
kuofya	warn
chenjezgo	warning
wa nkhondo	warrior
wakawa	was
chapa	wash
nangika	waste
wonela	watch
maji	water
chimwamaji	watermelon
funde	wave
nthowa	way
ise	we
ise ndi	we are
tingapanga	we can
kufooka	weak
kufooka	weakness
chuma	wealth
chuma	wealthy
vwala	wear
kuvwala	wearing
nyengo	weather
zowala	wedding
chitatu	Wednesday
thondo	weed
sabata	week
umaliro wa sabata	weekend
uzito	weight
chakuzizika	weird
nakupokelela	welcome
mwapokeleleka	welcome
umoyo uwemi	welfare
Makola	Well
wapanga makola	well done
luta	went
wakawa	were
kumanjiliro gha dazi	west
nyowa	wet
chisomba cha whale	whale
vichi	what
iwe ke	what about you
kasi ukuchita vichi	what are you doing
apa ukuchita vichi	what are you doing now
ukuchita vichi apa nthe	what are you doing right now
ukuchita vichi	what do you do
ukuchita vichi kuti usange chakurya	what do you do for a living
ukung	what do you mean
anamula vichi	what do you mean
ukukhumba vichi	what do you want
changuchitika ntchivichi	what happened
ichi ni	what is
ni vichi	what is this
ukugwila ntchito uli	what is your job
zina lako ni njani	what is your name
kasi nchi vichi	what's up
zina lako ni njani	what's your name
chilichose	whatever
tirigu	wheat
magudumu	wheel
pa uli	when
nyengo iliyonse	whenever
nkhu	where
Uli nkhu	where are you
kasi ukufuma nkhu	where are you from
uli nkhu sono	where are you now
ukukhala nkhu	where do you live
vili nkhu	where is
apo	whereas
panji	whether
izo	which
apo	while
kutokotosela	whisper
pinto	whistle
chituba	white
njani	who
niwe njani	who are you
ni njani	who is
ni njani uyu	who is this
chose	whole
uyo	whom
ni yanjani	whose
chifukwa wuli	why
chifukwa wuli yayi	why not
uheni	wicked
usani	wide
chokolo	widow
mu ufupi	width
muboli wako	wife
chamuthondo	wild
kuzamuwa	will
khumbilo	willing
wina	win
mphepo	wind
windo	window
mphepo	windy
phele	wine
nyengo ya kuzizima	winter
kusisita	wipe
waya	wire
zeru	wisdom
mahala	wise
khumbilo	wish
nkhukukhumbila viwemi vyose	wish you all the best
mufwiti	witch
na	with
leka	withdraw
kufunyako	withdrawal
mukati	within
kwambula	without
kaboni	witness
kuchita vinthu mwakuchenjera	witty
chirombo	wolf
mwanakazi	woman
wanakazi	women
kuwina	won
nipangenge yayi	won't
dabwa	wonder
kuzizwiska	wonderful
chikhuni	wood
weya	wool
mazgo	word
mazgo	words
ntchito	work
panga	work out
kugwila ntchito	working
chalo cha pasi	world
nyongolosi	worm
kukeluka	worn
kufipa mutima	worried
ndandaulo	worry
kuyipa kwakuluska	worse
pemphela	worship
uheni chomene	worst
chuma	worth
chakwenelera	worth it
wakwenelera	worthy
wangachita	would
chilonda	wound
Wooo	Wow
kuvwala	wrap
ukali	wrath
janja	wrist
lemba	write
lemba apa	Write here
kulemba	writing
kulembeka	written
chiheni	wrong
kulemba	wrote
muyezo	yard
yasamula	yawn
Enya	Yeah
chilumika	year
vyaka	years
yisiti	yeast
kuchemerezga	yell
chikasu	yellow
Enya	Yes
enya wakutemweka	yes baby
enya wakutemweka	yes dear
enya wakutemweka	yes honey
enya wakutemweka	yes my love
enya na	yes of course
mayilo	yesterday
mpaka sono	yet
kolola	yield
imwe	you
iwe	you
ndimwe	you are
uli wakutowa	you are beautiful
uli wakutowa	you are so beautiful
nakupokelela	you are welcome
ungapanga	you can
ukumanya	You know
iweso	you too
ndagha	you're welcome
muchoko	young
wako	your
wapokeleleka	your welcome
ine	yourself
ukilano	youth
muli wakupokeleleka	you’re welcome
namupokelerani	you’re welcome
kunowa	yummy
Zero	zero
