Ein	a
koma fyri seg	recover
heilsubót	recovery
rættvinklaður	rectangle
reytt	red
gjalda skuldina aftur	redeem
útgjalding	redemption
minka	reduce
óneyðugur	redundant
vísa til	refer
tilvísing	reference
varpa aftur	reflect
afturbragd	reflection
niðurlag	refrain
kuldaskáp	refrigerator
endurgjaldiing	refund
nokta	refuse
sýttur	refused
at meta høgt	regard
viðvíkjandi	regarding
uttan mun til	regardless
virðing	regards
øki	region
skrá	register
angra	regret
fastur kundi	regular
regluliga	regularly
kveistra burtur	reject
siga frá	relate
skyldur við	related
parlag	relationship
skyldfólk	relative
skyldfólk	relatives
slappa av	relax
leysgeving	release
sleppa av við	release
geva út	release
leysgivin	released
sum hevur týdning	relevant
álítandi	reliable
lætti	relief
lætta	relieve
lætnaður	relieved
átrúnaður	religion
trugvandi	religious
trekur	reluctant
líta á	rely
verða	remain
standa eftir	remain
blíva	remain
verandi	remaining
óvanligur	remarkable
hjálparráð	remedy
minnast	remember
áminning	remind
áminning	reminder
fjarur	remote
taka burtur	remove
veiting	render
leiga	rent
umvæla	repair
endurtøka	repeat
seta í staðin	replace
svara	reply
endurtaka	reply
tíðindasending	report
frágreiðing	report
umboða	represent
mæti	reputation
umbøn	request
krevja	require
kravdur	required
ásettur	required
skydligur	required
bjarging	rescue
gransking	research
minna um	resemble
líkjast	resemble
agg	resentment
bílegging	reservation
goymsla	reserve
íbúgvi	resident
fara úr starvi	resign
lívsmáttur	resilience
seigur	resilient
standa ímóti	resist
mótstøða	resistance
støðufesti	resolution
loysa	resolve
útvegur	resort
megi	resources
snarræði	resources
virðing	respect
aftursvar	respond
aftursvar	response
svar	response
ábyrgd	responsibility
sum ber ábyrgd av	responsible
ábyrgur	responsible
hvíla	rest
hvíl í friði	rest in peace
matstova	restaurant
umvæla	restore
avmarka	restrict
úrslit	result
úrslit	results
taka uppaftur	resume
smásøla	retail
varðveita	retain
varðveiðsla	retention
loystur úr starvi	retired
afturtøka	retreat
fara	retrieve
afturkoma	return
heimkoma	return
avhylja	reveal
siga frá	reveal
avdúka	reveal
avdúkaður	revealed
hevnd	revenge
inntøka	revenue
vend	reverse
yvirlit	review
endurskoðan	revise
endurskoðan	revision
uppreistur	revolution
samsýning	reward
rútma	rhythm
rivjabein	rib
rís	rice
ríkur	rich
loysa	rid
túrur	ride
koyritúrur	ride
súkklutúrur	ride
láturligt	ridiculous
tápuligt	ridiculous
rættindi	right
rættur	right
beint nú	right now
stívur	rigid
ringur	ring
reinsan	rinse
ófriður	riot
skrædl	rip
búgvin	ripe
rísa	rise
vandi	risk
kappingarneyti	rival
sambiðil	rival
á	river
vegur	road
steik	roast
treystur	robust
rokkur	rock
stong	rod
leiklutur	role
rulla	roll
tak	roof
rúm	room
rót	root
reip	rope
rotið	rotten
ráur	rough
harðliga	roughly
rundur	round
farleið	route
handahógv	routine
røð	row
vandamál	rub
gummi	rubber
rusk	rubbish
ófólkaligt	rude
ófólkaligur	rude
teppi	rug
toft	ruin
at stýra	rule
valdsharri	ruler
lineal	ruler
reglugerð	rules
renna	run
renning	running
bygdarligur	rural
skund	rush
sekkur	sack
heilagur	sacred
offur	sacrifice
tryggur	safe
trygga flogferð	safe flight
trygd	safety
vísmaður	sage
segði	said
salt	sail
siglur	sailing
søk	sake
løn	salary
útsøla	sale
søla	sale
laksur	salmon
salt	salt
sama	same
sama her	Same here
roynd	sample
sandur	sand
Sanskrit	Sanskrit
speiskur	sarcastic
frekur	sassy
sat	sat
nøgdsemi	satisfaction
nøgdur	satisfied
nøktandi	satisfy
nøktandi	satisfying
leygardagur	Saturday
pylsa	sausage
illmenni	savage
villmaður	savage
bjarga	save
sá	saw
siga	say
sig	say
lønarstigi	scale
skálkagerð	scam
arr	scar
knappur	scarce
bangin	scared
turriklæði	scarf
ræðandi	scary
knústur	scattered
pallur	scene
vakurt landslag	scenery
angi	scent
skrá	schedule
tíðarætlan	schedule
arbeiðsætlan	schedule
skúli	school
vísund	science
vísindafólk	scientist
vísindafólk	scientists
saksur	scissors
skelda	scold
rúmar ræsur	scope
støða	score
spjørr	scrap
klóran	scratch
skíggja	scream
skýggi	screen
skrúva	screw
handrit	script
hav	sea
innsigli	seal
leita	search
árstíð	season
setur	seat
sekund	second
loyndarmál	secret
partur	section
tryggur	secure
trygd	security
síggja	see
vit síggjast	see you
síggjast seinni	see you later
síggjast skjótt	see you soon
síggjast í morgin	see you tomorrow
fræ	seed
leita eftir	seek
tykist	seem
tykist	seems
sá	seen
tríva í	seize
tøka	seizure
sjáldan	seldom
velja	select
kjósa	select
sjálvur	self
sjálvsleking	self healing
sjálvsøkin	selfish
selja	sell
senda	send
send mær tína mynd	send me your picture
eldri	senior
sansa	sense
vitugur	sensible
viðkvæmur	sensitive
sent	sent
setningur	sentence
setningar	sentences
skilja	separate
sundurluta	separate
Sepedi	Sepedi
septembur	september
partur	sequence
sendirøð	series
álvarsamur	serious
álvarsamt	serious
álvarsom	serious
í álvara	seriously
tæna	serve
tænasta	service
seta	session
seta	set
skipna	set up
at fara niður	setting
bonkur	settle
sjey	seven
seytjan	seventeen
sjeyti	seventy
fleiri	several
álvarsamur	severe
seyma	sew
Sh	sh
skuggi	shade
skuggi	shadow
rysta	shake
skulu	shall
grunnur	shallow
skomm	shame
skap	shape
formur	shape
snið	shape
luta	share
deila	share
hvassur	sharp
hon	she
hon hevur	she has
hon er	she is
skúr	shed
seyður	sheep
ark	sheet
hill	shelf
skal	shell
vernd	shelter
skjødur	shield
skifti	shift
skina	shine
lýsa	shine
skip	ship
skipan	shipping
skjúrta	shirt
skógvar	shoes
skjót	shoot
handil	shop
keypa	shopping
strond	shore
stuttur	short
trot	shortage
skot	shot
skuldi	should
øksl	shoulder
rópa	shout
framførsla	show
vísa	show
sýna	show
vís mær	show me
bað	shower
rækja	shrimp
svinna	shrink
afturlatið	shut
tig	shut up
leypa til viks	shy
smæðin	shy
systkin	sibling
systkin	siblings
sjúkur	sick
síða	side
suffa	sigh
sjón	sight
vitjan á kendum støðum	sightseeing
teknin	sign
skelti	sign
undirskrift	signature
týdningarmikil	significant
týðandi	significant
stilli	silence
stillur	silent
silki	silk
býttlingur	silly
býttur	silly
býtt	silly
silvur	silver
eins	similar
býttlingur	simp
einfalt	simple
samsundis	simultaneously
síðan	since
hjartaligur	sincere
ærliga	sincerely
syng	sing
sangari	singer
stakur	single
støk	single
vask	sink
Harri	Sir
systir	sister
bróðurkona	sister in law
sit	sit
stað	site
støða	situation
seks	six
sekstan	sixteen
seksti	sixty
trýss	sixty
stødd	size
gávur	skill
evni	skills
húð	skin
klænur	skinny
lop	skip
kjóli	skirt
himmal	sky
trælur	slave
svav	sleep
svevur	sleeping
linur	sleepy
erma	sleeve
flís	slice
glið	slide
eitt sindur	slightly
slakna	slim
glið	slip
skrái	slope
riva	slot
seinur	slow
spakuliga	slowly
lítil	small
snildur	smart
luktur	smell
smíl	smile
roykur	smoke
smildliga	smooth
argjamáltíð	snack
snigil	snail
slanga	snake
klamsur	snap
kavi	snow
so	so
so elskuligur	so cute
so fittur	so cute
higartil	so far
dýggjan	soak
sápa	soap
edrúur	sober
fóbóltur	soccer
sosialur	social
samfelag	society
sokkar	socks
bleytur	soft
forrit	software
mold	soil
seld	sold
útselt	sold out
hermaður	soldier
sóli	sole
fast evni	solid
avgerð	solution
loysa	solve
nakrar	some
nakrir	some
nøkur	some
onkur	somebody
onkusvegna	somehow
onkur	someone
okkurt	something
eitthvørt	something
av og á	sometimes
viðhvørt	sometimes
songur	song
skjótt	soon
fínligur	sophisticated
Sorani	Sorani
sárur	sore
ilt í hálsinum	sore throat
sorg	sorrow
Orsaka	Sorry
Umber	Sorry
slag	sort
umbiðin	sought
sál	soul
andans vinur	soulmate
ljóð	sound
suppa	soup
súrur	sour
kelda	source
suður	south
rúm	space
ruskpostur	spam
spenni	span
spanskt	Spanish
spara	spare
tosa	speak
serligur	special
slag	species
serstakur	specific
neyvur	specific
stórfingin	spectacular
røða	speech
málleysur	speechless
ferð	speed
stava	spell
brúka	spend
nýta	spend
nýtti	spent
kryddaður	spicy
píkur	spike
hvirlan	spin
spinat	spinach
andi	spirit
spíta	spit
framúrskarandi	splendid
klúgva	split
oðileggja	spoil
spiltur	spoiled
spontanur	spontaneous
skeið	spoon
stað	spot
maki	spouse
spjaða	spread
vár	spring
fýrkantur	square
kroysta	squeeze
høgguslokkur	squid
íkorn	squirrel
stinga	stab
rossafjós	stable
lað	stack
starvsfólk	staff
pallur	stage
blettur	stain
trappur	stairs
steyri	stake
tráelta	stalk
steðgaði	stall
frimerki	stamp
standa	stand
støði	standard
stjørna	star
byrjan	start
byrjaði	started
hungurstungin	starving
lega	state
ríki	state
støða	state
fráboðan	statement
boð	statement
frásøgn	statement
støð	station
standmynd	statue
støða	status
standur	status
verða verandi	stay
uppihald	stay
ansa eftir tær	stay safe
støðugur	steady
búffur	steak
stjala	steal
dampur	steam
sjala	steel
bratti	steep
stelkur	stem
fet	step
pinnur	stick
stívur	stiff
framvegis	still
longu	still
enn	still
stinga	sting
pírin	stingy
rørsla	stir
goymsla	stock
stolið	stolen
búkur	stomach
steinur	stone
stóð	stood
skjóta	stool
steðga	stop
goymslurúm	storage
handil	store
ódnarveður	storm
søga	story
ovnur	stove
beint	straight
beint strekki	straight
beinur teinur	straight
beina leið	straightforward
órógva	strain
løgin	strange
fremmandur	stranger
strategi	strategy
strá	straw
jarðber	strawberry
strika	streak
streymur	stream
stroyma	stream
gøta	street
styrki	strength
strongd	stress
teinur	stretch
toyggja	stretch
strangur	strict
slag	strike
snórur	string
ál	strip
stremba	strive
tilburður	stroke
sterkur	strong
sligin	struck
uppbygging	structure
strev	struggle
stríð	struggle
stríðist	struggling
tvørur	stubborn
treiskur	stubborn
fangaður	stuck
lesandi	student
nám	study
lestur	study
lesnaður	studying
tilfar	stuff
evni	stuff
yndisligur	stunning
býttur	stupid
stílur	style
evni	subject
undirgivin	submission
geva seg undir	submit
evni	substance
eftirgerð	substitute
hárhvassur	subtle
eydnast	succeed
gott úrslit	success
væleydnaður	successful
slíkur	such
tílíkur	such
sovorðin	such
sum til dømis	such as
súgving	suck
knappligur	sudden
brádliga	suddenly
knappliga	suddenly
pínast	suffer
líða	suffer
líðing	suffering
nóg mikið	sufficient
sukur	sugar
skjóta upp	suggest
sipa til	suggest
uppskot	suggestion
klædningur	suit
hóskandi	suitable
sum hóskar	suitable
kuffert	suitcase
peningaupphædd	sum
samanumtøka	summary
summar	summer
tindur	summit
sól	sun
sunnudagur	sunday
sólskygdur	sunny
sólsetur	sunset
sólskin	sunshine
nógvur	super
yvirmaður	superior
umsjónarfólk	supervisor
nátturði	supper
útgerð	supply
stuðul	support
halda	suppose
væntaður	supposed
ivaleyst	sure
vissur	sure
vísur	sure
yvirfláti	surface
brotasjógvur	surge
skurðviðgerð	surgery
fornavn	surname
kemur óvart á	surprise
tikin á bóli	surprised
at lata av hondum	surrender
umhvørvi	surrounding
eftirlit	surveillance
umsjón	survey
kanning	survey
yvirlit	survey
yvirliva	survive
undir illgruna	suspect
hongdur upp	suspended
illgrunasamur	suspicious
halda á	sustain
burðardygni	sustainability
burðardyggur	sustainable
blómuleinkja	swag
svølg	swallow
umbýti	swap
svørja	swear
sveitta	sweat
troyggja	sweater
sópan	sweep
søtt	sweet
søtur	sweet
droym søtt	sweet dreams
søt tonn	sweet tooth
elskaða	sweetheart
elskaði	sweetheart
bólgnan	swell
bólgnaður	swelling
svimja	swim
svimjing	swimming
reiggja	swing
kontakt	switch
hovin	swollen
bólgnaður	swollen
svørð	sword
tekin	symbol
samkensla	sympathy
eyðkenni	symptoms
skipan	system
borð	table
reiðskapur	tackle
spjaldur	tag
hali	tail
taka	take
sum kann takast heim við	take away
ansa eftir tær	take care
fráferð	take off
tikin	taken
tosa	talk
prátingarsamur	talkative
høgur	tall
klikk	tap
band	tape
mið	target
starv	task
munnbiti	taste
smakkur	taste
smakkgott	tasty
lærdi	taught
te	tea
læra	teach
frálæra	teach
lærari	teacher
toymi	team
tár	tear
tár	tears
arga	tease
tøkni	technology
tenn	teeth
siga frá	tell
sig mær	tell me
sinnalag	temper
hitastig	temperature
tempul	temple
fyribils	temporary
tíggju	ten
tíggju túsund	ten thousand
leigari	tenant
røkja	tend
lyndi	tendency
eymur	tender
mjukur	tender
spentur	tense
fjálturstungin	tense
spenning	tension
tjald	tent
roynd	tentative
skeið	term
máliska	terms
øgiligur	terrible
ræðuligur	terrible
framúrskarandi	terrific
lendi	territory
roynd	test
tekstur	text
enn	than
tøkk	thank
Takk fyri	thank you
Takk fyri títt tolsemi meðan vit kannað ferming	Thank you for your patience while we investigate shipment
stóra tøkk	thank you so much
stóra tøkk	thank you very much
Takk fyri	thanks
takk fyri at tú nýtti app okkara	Thanks for using our app
tað	that
hetta er	that is
tað er gott	that's good
tað	the
stuldur	theft
teirra	their
tey	them
evni	theme
sjálvar	themselves
sjávlir	themselves
tá	then
ástøði	theory
har	there
har eru	there are
har er	there is
tí	therefore
hesi	these
tey	they
tey eru	they are
tjúkkur	thick
tjóvur	thief
lær	thigh
tunnur	thin
klænur	thin
lutur	thing
lutir	things
hugsa	think
triðingur	third
tystur	thirsty
trettan	thirteen
tríati	thirty
hetta	this
hetta er	this is
nágreiniligur	thorough
fullkomuliga	thoroughly
hasar	those
hasir	those
hasi	those
men	though
hóast	though
tó at	though
tanki	thought
hugsan	thought
hugsunarsamur	thoughtful
tankar	thoughts
túsund	thousand
tráður	thread
hótta	threat
hótta	threaten
trý	three
gátt	threshold
eldhugaður	thrilled
trivnaður	thrive
hálsur	throat
gjøgnum	through
alla tíðina	throughout
úr enda í enda	throughout
blaka	throw
tummil	thumb
tora	thunder
hosdagur	Thursday
soleiðis	thus
á henda hátt	thus
slikka	tick
fljóð og fjøra	tide
nossligt	tidy
reint	tidy
binda	tie
tikari	tiger
tættskipaður	tight
tættur	tight
Tigrinya	Tigrinya
tíð	time
mótleysur	timid
lítil	tiny
oddur	tip
drykkipengar	tips
dekk	tire
troyttur	tired
vevnaður	tissue
heiti	title
til	to
at vera	to be
skál	toast
í dag	today
óviti	toddler
smábarn	toddler
tær	toes
saman	together
vesi	toilet
segði frá	told
tolsemi	tolerance
tola	tolerate
tomat	tomato
í morgin	tomorrow
tunga	tongue
í kvøld	tonight
eisini	too
taka	took
amboð	tool
amboð	tools
tonn	tooth
toppur	top
tindur	top
evni	topic
sundurskræddur	torn
píning	torture
samantald upphædd	total
nerta	touch
tó	tough
rundferð	tour
imóti	toward
móti	towards
handklæði	towel
býur	town
eitrandi	toxic
spor	trace
slóð	track
rás	track
gøta	track
starv	trade
siðvenja	tradition
siðbundin	traditional
ferðsla	traffic
gøta	trail
tok	train
venjing	training
andlitsbragd	trait
eginleiki	traits
flutningur	transfer
yvirgonga	transition
týða	translate
skyggin	transparent
flutningur	transport
sending	transport
flutningur	transportation
fella	trap
skrell	trash
sálarligur snuddur	trauma
ferðast	travel
bakki	tray
skattur	treasure
fara við	treat
viðgerð	treatment
træ	tree
skelkandi	tremendous
stevna	trend
royndarkoyring	trial
rættarkanning	trial
snildir	trick
royndi	tried
elva til	trigger
formur	trim
ferð	trip
trupulleiki	trouble
buksur	trousers
lastbilur	truck
sandur	true
viðførisrúm	trunk
álit	trust
sannleiki	truth
royna	try
Tsonga	Tsonga
slanga	tube
týsdagur	Tuesday
undirvísing	tuition
leiðbeining	tuition
kalkun	turkey
gurkemaia	turmeric
snúningur	turn
skjaldbøka	turtle
universitetslærari	tutor
tólv	twelve
tjúgu	twenty
einogtjúgu	twenty-one
Twi	Twi
tvær reisur	twice
surra	twist
tvey	two
slag	type
eyðkendur	typical
ljótur	ugly
endaligur	ultimate
regnskjól	umbrella
ikki vera førur fyri	unable
pápabeiggi	uncle
mammubeiggi	uncle
i óviti	unconscious
undir	under
undirsíða	underneath
undirmeta	underrated
skilja	understand
skilti	understood
tíverri	unfortunately
vanlukkutíð	unfortunately
til alla vanlukku	unfortunately
herbúni	uniform
framúrskarandi	unique
frálíkur	unique
eindømi	unique
eind	unit
lærdur háskúli	university
ókendur	unknown
uttan	unless
inntil	until
óvanligur	unusual
upp	up
tað er upp til tín	up to you
dagføring	update
betring	upgrade
á	upon
óð	upset
uppøst	upset
býar	urban
eggjan	urge
skund	urgent
okkum	us
nýta	use
brúktur	used
gagnligur	useful
ónýtiligur	useless
vanligur	usual
vanliga	usually
gagn	utility
fráflyting	vacation
frítíð	vacation
koppseting	vaccination
koppingarevni	vaccine
tómi	vacuum
veikur	vague
væl grundaður	valid
dalur	valley
virðismikið	valuable
verð	value
fjølbroytni	variety
ymissir	various
ymisir	various
ymiskir	various
broytast	vary
vasi	vase
ovurstórur	vast
grønmeti	vegetable
grønmeti	vegetables
akfar	vehicle
seljari	vendor
eitur	venom
váðaverk	venture
staður	venue
kanna	verify
fjølkønur	versatile
avbrigdi	version
frágreiðing	version
útlegging	version
loddrættur	vertical
berur	very
ógvuliga	very
sera	very
sera gott	very good
kar	vessel
um	via
darran	vibe
titran	vibe
darran	vibes
titran	vibes
óreinur	vicious
offur	victim
sjónband	video
útsýni	view
bygd	village
illmenni	villain
edikur	vinegar
árgangs	vintage
harðskapur	violence
harðligur	violent
fer sum eldur um alnetið til teldupostar og sosialar miðlar	viral
jomfrú	virgin
veruligur	virtual
dygd	virtue
sjón	vision
vitjan	visit
myndapartur	visual
lívsneyðugur	vital
livandi	vivid
orðafeingi	vocabulary
rødd	voice
tómrúm	void
nøgd	volume
ljóðstyrki	volume
sjálvboðin	volunteer
spýggja	vomit
viðbrekin	vulnerable
løn	wage
løn	wages
miðja	waist
bíða	wait
tænari	waiter
bíðing	waiting
vakin	wake
vakna	wake up
ganga	walk
ganga	walking
veggur	wall
pengamappa	wallet
ganga	wander
vil	wanna
vilja	want
verða ynsktur	wanted
kríggj	war
klædnaskáp	wardrobe
vøruhús	warehouse
heitt	warm
ávara	warn
hitandi	warning
hermaður	warrior
var	was
vaska	wash
spilla	waste
hyggja	watch
varðhald	watch
síggja	watch
vatn	water
vatnmelón	watermelon
alda	wave
vegur	way
vit	we
vit eru	we are
vit kunnu	we can
veikur	weak
veikleiki	weakness
ríkidømi	wealth
ríkur	wealthy
ílatin	wear
brúkt	wearing
veður	weather
brúdleyp	wedding
mikudagur	Wednesday
illgras	weed
veikur	week
vikuskifti	weekend
vekt	weight
lodd	weight
løgi	weird
vælkomin	welcome
ger so væl	welcome
vælferð	welfare
Gott	Well
væl frágingið	well done
fór	went
vóru	were
vestur	west
vátur	wet
hvalur	whale
hvat	what
hvussu við tær	what about you
hvat ger tú	what are you doing
hvat ger tú nú	what are you doing now
hvat ger tú í løtuni	what are you doing now
Hvat ger tú beint nú	what are you doing right now
hvat ger tú	what do you do
hvørjum tekst tú við	what do you do for a living
hvørjum arbeiðir tú við	what do you do for a living
Hvat er starv títt	what do you do for a living
hvat meinar tú við	what do you mean
hvat vilt tú	what do you want
hvat hendi	what happened
hvat fór fram	what happened
hvat er	what is
hvat er hetta	what is this
hvørjum starvast tú við	what is your job
hvussu eitur tú	what is your name
Hvussu gongur	what's up
hvussu eitur tú	what's your name
óansæð	whatever
hveiti	wheat
hjól	wheel
tá	when
tá tað liggur fyri	whenever
hvar	where
hvar ert tú	where are you
Hvar er tú frá	where are you from
hvaðini er tú	where are you from
hvaðani er tú	where are you from
hvar er tú nú	where are you now
hvar byr tú	where do you live
hvar er	where is
harafturímóti	whereas
um	whether
antin	whether
hvør	which
hvat	which
tíð	while
løta	while
ímeðan	while
teska	whisper
floyta	whistle
hvítt	white
hvør	who
hvør er tú	who are you
hvør er	who is
hvør er hetta	who is this
heilt	whole
hvør	whom
hvørs	whose
hví	why
hví ikki	why not
óreinur	wicked
óndur	wicked
miskast	wide
breiður	wide
einkja	widow
vídd	width
maki	wife
kona	wife
villur	wild
vil	will
viljugur	willing
vinna	win
vindur	wind
vindeyga	window
gluggi	window
vindmikil	windy
vín	wine
vetur	winter
at turka av	wipe
veirur	wire
vísdómur	wisdom
vísur	wise
ynski	wish
eg ynski tær alt tað besta	wish you all the best
heks	witch
við	with
taka aftur	withdraw
afturtøka	withdrawal
innvortis	within
innan	within
uttan	without
við ongum	without
vitni	witness
stuttligur	witty
úlvur	wolf
kvinna	woman
kvinnur	women
vunnu	won
vil ikki	won't
undurverk	wonder
undur	wonder
undursamur	wonderful
ótrúligur	wonderful
undurfullur	wonderful
træ	wood
ull	wool
orð	word
orð	words
arbeiði	work
íðka	work out
arbeiður	working
heimur	world
ormur	worm
brúkt	worn
stúrin	worried
ekki	worry
verri	worse
guddyrkan	worship
ringast	worst
virði	worth
tað var tað vert	worth it
verdigur	worthy
vildi	would
vil	would
sár	wound
Wow	Wow
balla uttan um	wrap
vreiði	wrath
handlið	wrist
skriva	write
skriva her	Write here
skriva	writing
skrivað	written
skeift	wrong
skrivaði	wrote
garður	yard
geisp	yawn
Ja	Yeah
ár	year
ár	years
ger	yeast
róp	yell
gult	yellow
Ja	Yes
Ja, góði	yes baby
ja, góða	yes baby
ja, góði	yes dear
ja, góða	yes dear
ja, góði	yes honey
ja, góða	yes honey
ja, mín elskaði	yes my love
ja, mín elskaða	yes my love
ja, sjálvsagt	yes of course
í gjár	yesterday
enn	yet
avgrøði	yield
tú	you
tú er	you are
tú er vøkur	you are beautiful
tú er vakur	you are beautiful
tú er so vakur	you are so beautiful
tú er so vøkur	you are so beautiful
onki at takka	you are welcome
ger so væl	you are welcome
tú kann	you can
tú kanst	you can
tú veit	You know
eisini tú	you too
ger so væl	you're welcome
ungur	young
tín	your
ger so væl	your welcome
sjálvur	yourself
ungdómur	youth
ger so væl	you’re welcome
lekkurt	yummy
null	zero
