a	sere
see you later	saggenta sibuntulu pole
see you soon	saggenta sibuntulu pole
see you tomorrow	sibuntulukki ammuko
seed	benih
seek	abboya
seem	kacinikang
seems	singkammanna
seen	kacinikan
seize	menangkap
seizure	kaddoro
seldom	masagala
select	pile
self	kalenku
self healing	anggassingi bata kale
selfish	kalennaji naturuki
sell	abbalu
send	angngiring
send me your picture	kirinngi mae fotonu
senior	daeng
sense	akkala
sensible	antama ri akkala
sensitive	alusu
sent	ta'kirim
sentence	kalima
sentences	kalima
separate	nipasisa'la
Sepedi	Sepedi
september	september
sequence	urutan
series	dro
serious	attojeng tojeng
seriously	attojeng tojeng
serve	melayani
service	appakasadia
session	sidang
set	angnyusung
set	atoroki
set up	appakasadia
setting	angngaturu
settle	ammantang
seven	tuju
seventeen	sampulo tuju
seventy	tuju pulo
severe	battala
sew	angjai
sh	sh
shade	naungan
shadow	bayangan
shake	appagiyo
shall	siratanna
shallow	tena na lantang
shame	siri
shape	appare
share	abbage
sharp	tarang
she	kalenna baine
she has	ia pata
she is	iami antu
shed	gudang
sheep	domba
sheet	a'lawara
shelf	rak
shell	kerang
shelter	tampa accakko
shield	palindung
shift	aggesere
shine	accora
ship	angngiring
shipping	angngirim
shirt	baju
shoes	sapatu
shoot	annemba'
shop	gade
shopping	abbalanja
shore	tamparan
short	bodo
shortage	kekurangan
shot	tembakang
shot	annemba
should	sibajikna
shoulder	salangga
shout	ammarrang
show	angjojjoki
show	pertunjukan
show me	cinikka beng
shower	ajjene
shrimp	doang
shrink	annyusu
shut	nitongko
shut up	sannang
shy	siri
sibling	saribbattang
siblings	aaribattang
sick	garring
side	sa'ri
sigh	mendesah
sight	paccini
sightseeing	accini cini
sign	tanda
signature	tanda tangan
significant	parallu
silence	assino
silent	sannang
silk	sutra
silly	konyol
silver	perak
similar	assingkamma
simp	tau tolo
simple	lomo lomo
simultaneously	appada
since	sibungasana
sincere	jujuru
sincerely	attojeng tojeng
sing	akkelong
singer	pakkelong
single	tau rungka
sink	westafel
sink	tallang
Sir	pak
sister	saribbattang baine
sister in law	ipara
sit	ammempo
site	tampa
situation	situasi
six	annang
sixteen	sampulo annang
sixty	annang pulo
size	ukkuran
skill	kaporean
skills	keterampilan
skin	kuli
skinny	roso
skip	allaloi
skirt	ro'
sky	langi
slave	jongoso
sleep	tinro
sleeping	attindroki
sleepy	tado'do
sleeve	lengan baju
slice	ammolong
slice	molong
slide	anggesere
slightly	agak
slim	longkoro
slip	tappaleccoro
slope	lereng
slot	slot
slow	lamba
slowly	palang palang
small	caddi
smart	carakde
smell	bau
smile	tersenyum
smile	semuyan
smoke	akkaluru
smooth	mulusu
snack	kanre-kanrean
snail	siput
snake	ulara
snap	tepo
snow	salju
so	jari
so cute	caddi caddi dudu
so far	sallona anne
soak	akmasak
soap	sabun je'ne
sober	tena nisaringi
soccer	akkarena golo
social	sosial
society	rakya
socks	kaus bankeng
soft	alusu
software	perangkat lunak
soil	butta
sold	laku
sold out	labbusu ngaseng
soldier	tantara
sole	akkale
solid	akkalepu
solution	larutan
solve	appaklebba
some	jai
somebody	sere tau
somehow	antekamma pun
someone	se're tau
something	iare
sometimes	punna
song	lagu
soon	tettere
sophisticated	sokala
Sorani	Sorani
sore	garring
sore throat	parrisi karro karro
sorrow	duka
Sorry	Pammoporanga
sort	appasisa'la
sought	niboya
soul	nyawa
soulmate	pamai hati
sound	sa'ra
soup	sup
sour	kacci
source	poko
south	timboro
space	langit
spam	spam
span	nagappai
Spanish	tau Spanyol
spare	meluangkan
spare	senggang
speak	a'bicara
special	spesial
species	jannisi
spectacular	spektakuler
speech	pidato
speechless	tena kulle bicara
speed	panggassingan
spell	anggeja
spend	ammalli
spent	nipa'labbusu
spicy	bambang
spike	paku
spin	putaran
spinach	bayam
spirit	roh
spit	appi'ru
splendid	sanna gaggana
split	tappasah
split	ammue
spoil	appakalabiri
spoiled	nimanja
spontaneous	spontan
spoon	si'ru
spot	titti
spouse	pasangan
spread	tassiara
spring	musim semi
square	passegi
squeeze	meremas
squid	cumi-cumi
squirrel	tupai
stab	annoddo
stable	stabil
stack	tumpukan
staff	ana' bua
stage	pangung
stain	noda
stairs	tuka
stake	a'botoro
stalk	tangkai
stall	mace
stamp	stempel
stand	gadde
stand	menteng
standard	sitandara
star	bintang
start	uru uru
started	pakaramula
starving	kacipurang
state	kajadiang
state	nagara
statement	pernyataan
station	stasiun
statue	patung
status	status
stay	abbangngi
stay	mantang
stay safe	jaga kasalamakkang
steady	stabil
steak	daging panggang
steal	allukka
steam	uap
steel	baja
steep	curam
stem	tangke
step	ajappa
stick	tongkat
stiff	kaddoro
still	tetaki
still	tetak
sting	menyengat
stingy	sekke
stir	aggaru
stock	modala
stolen	nilukka
stomach	battang
stone	batu
stood	menteng
stool	bangko
stop	ammari
storage	pammolikan
store	gadde
storm	angin lonpo
story	carita
stove	komporo
straight	lambusu
straightforward	gampang
strain	tekanang
strange	ganjili
stranger	labbi aneh
strategy	strategi
straw	pipe
strawberry	stroberi
streak	garisi
stream	binanga cadi
street	agadan
strength	pa'gassingang
stress	annekang
stretch	ammeru
strict	ketat
strike	ammajji
string	rangkaian
strip	abba'bi
strive	ajjuang
stroke	stroke
strong	kassa
struck	niparappasa
structure	struktur
struggle	perjuangan
struggle	ajjuang
struggling	berjuang
stubborn	kaddoro
stuck	terjebak
student	murid
study	penelitian
study	appilajara
studying	ampilajari
stuff	Iyamiantu
stunning	appalannasa
stupid	tolo tolo
style	gaya
submission	penyerahan
submit	kirim
substance	zat
substitute	passambe
subtle	assamara
succeed	berhasil
success	kesuksesan
successful	sukses
such	singkamma
such as	singkamma
suck	angngisu
sudden	tiba tiba
suddenly	tiba-tiba
suffer	sessa
suffering	sessa
sufficient	memadai
sugar	golla
suggest	angngussulu
suggestion	saran
suit	coco
suit	setelah
suitable	singkamma
suitcase	koporo
sum	ganna
summary	nyingkaan
summer	timoro
summit	cappa
sun	mata allo
sunday	Aha
sunny	singara
sunset	naungi mata allo
sunshine	singara mata allo
super	super
superior	unggul
supervisor	pengawasa
supper	nganre bangngi
supply	ampantama
supply	pasokan
support	pandukung
support	mandukung
suppose	appakira kira
supposed	niparakirai
sure	nassa
surface	permukaan
surge	kenaikan
surgery	operasi
surname	areng riboko
surprise	tabbanka
surprised	tabbanka
surrender	mallami
surrounding	rampi na
surveillance	pengawasan
survey	anninjau
survey	penelitian
survive	bertahan tallasa
suspect	mencurigai
suspect	tersangka
suspended	tergantung
suspicious	accurigakang
sustain	angpertahankan
sustainability	pakatarrusu
sustainable	anu tarrusu
swag	barang nilukka
swallow	kiti lompo
swap	appassambe
swear	assumpah
sweat	keringat
sweater	sweter
sweep	abbarrasa
sweet	te'ne
sweet dreams	bayo bayoang baji
sweet tooth	gigi gagga
sweetheart	sayang
swell	kambang
swelling	pakbakkangan
swim	allange
swimming	allange
swing	ayunan
swing	mengayun
switch	annyambei
switch	sambe
swollen	kambang
sword	pandang
symbol	simbolo
sympathy	simpati
symptoms	gejala
system	sistem
table	meja
tackle	menangani
tag	menandai
tail	ingkong
take	ngalle
take away	angngerang a'lampa
take care	atutu
take off	rappasa ri landasang
taken	nialle
talk	abbicara
talk	ceramah
talkative	jai kana
tall	longga
tap	akkatto
tap	keran
tape	tape
target	menargetkan
target	target
task	tugasa
taste	merasakan
taste	rasa
tasty	nyamang
taught	ri ajara
tea	teh
teach	angngajara
teacher	guru
team	tim
tear	angngekke
tears	je'ne mata
tease	anggoda
technology	teknologi
teeth	gigi
tell	assare kabara
tell me	poanga
temper	appaluna
temperature	suhu
temple	kuil
temporary	ia mo anne rong
ten	sampulo
ten thousand	sampulo sa'bu
tenant	passewa
tend	cenderung
tendency	kecenderungan
tender	alusu
tense	tegang
tension	ketegangan
tent	tenda
tentative	akkulle minra
term	katantuan
terms	katantuang
terrible	sanna kodina
terrific	pore
territory	parasangang
test	uijang
test	annguji
text	teks
than	ribandingkan
thank	tarima kasi
thank you	tarima kasi
Thank you for your patience while we investigate shipment	Tarima kasih kasabbarangta mange rikatte aseng anne amparessai pangirimanga
thank you so much	tarima kasih jai
thank you very much	tarima kasi jai
thanks	tarimakasi
Thanks for using our app	terimakasih lebba ki pake aplikasi ku
that	anjo
that is	anjo iamintu
that's good	anjo gaga
theft	palukkakkang
their	iya ngaseng pata
them	yangaseng
theme	tema
themselves	kale
then	nampa
theory	teori
there	rinni
there are	nia
there is	nia
therefore	nasaba anjo
these	anne
they	paraia
they are	para iya
thick	kapala'
thief	palukka
thigh	bonggang
thin	roso'
thing	benda
things	hal hal
think	ammikkiri
third	maka tallu
thirsty	rere
thirteen	sampulo tallu
thirty	tallumpulo
this	anne
this is	anne
thorough	ia ngaseng
thoroughly	ia ngaseng
those	anjo
though	manna mamo
thought	nawa nawa
thought	pikkiri
thoughtful	rassi pattimbangan
thoughts	pikkirang
thousand	sabbu
thread	bannang
threat	ancaman
threaten	anngancam
three	tallu
threshold	batasa
thrilled	sannang sanna
thrive	attimbo sanna
throat	karro karro
through	laloi
throughout	selama
throw	anyambila
thumb	jempolo
thunder	guruh
Thursday	Kammisi
thus	ia mi antu
tick	kutu
tide	gelombang pasang
tidy	rappi
tie	annyikko
tie	dasi
tiger	harimau
tight	ketat
Tigrinya	Tigrinya
time	wattu
timid	passirikang
tiny	caddi
tip	passarean
tips	pakainga
tire	ban
tired	mangngang
tissue	jaringan
title	judulu
to	mange
to be	anjari
toast	roti panggang
today	anne alloa
toddler	balita
toes	ana bangken
together	siagang
toilet	toilet
told	nipoang
tolerance	toleransi
tolerate	annarima
tomato	tagalae
tomorrow	ammuko
tongue	lilah
tonight	anne bangngi
too	ia tong
took	lebbami angngalle
tool	ala
tools	peralatan
tooth	gigi
top	rate
topic	tema
torn	kekke
torture	annyessa
total	ia ngaseng
touch	annyento
tough	terasa'
tour	wisata
toward	anjoreng
towards	namange
towel	handu
town	kota
toxic	beracun
trace	bate
track	abboya
trade	paddanggangang
trade	a'dangang
tradition	tradisi
traditional	anu riolo
traffic	lalu lintas
trail	bate
train	kereta
training	pelatihan
trait	sipa
traits	sipa sipa
transfer	ngirim
transition	transisi
translate	anterjemahkan
transparent	transparan
transport	mengangkut
transportation	paerang
trap	perangkap
trash	loro
trauma	trauma
travel	a'lampa
tray	baki
treasure	barang tallan
treat	ammarakai
treatment	paggaukang
tree	poko-poko
tremendous	sanna lompona
trend	kecenderungan
trial	ni coba
trick	annipu
tried	accoba
trigger	appagio
trigger	pemicu
trim	ammolong
trip	oloang
trouble	masalah
trousers	saluara la'bu
truck	tere
true	TOJENG
trunk	belalai
trust	patapakkang
trust	angpatappa
truth	anu tojeng
try	angnyoba
Tsonga	Tsonga
tube	tabung
Tuesday	Salasa
tuition	biyaya sikola
turkey	turki
turmeric	kunyit
turn	allekko
turtle	penyu
tutor	tutor
twelve	sampulon rua
twenty	rompulo
twenty-one	ruampulo se're
Twi	Twi
twice	pinruang
twist	ammutara
two	rua
type	jenis
typical	khas
ugly	kodi
ultimate	riboko dudu
umbrella	payung
unable	tena gappa
uncle	purina
unconscious	tena sadara
under	i rawa
underneath	ri rawa
underrated	tena ri hati bati
understand	memahami
understood	nipahami
unfortunately	sayangna
uniform	seragam
unique	masagala
unit	se'rean
university	universitas
unknown	tena ri issengi
unless	mingka antu
until	sanggengna
unusual	tena biasa
up	naik
up to you	battu ri katte
update	appaka beru
update	paling beru
upgrade	appakanaik
upgrade	panaikang
upon	ri
upset	kanawa nawang
urban	perkotaan
urge	dorongan
urge	angdesak
urgent	andesak
us	paraikatte
use	ammake
used	dipake
useful	amatu matu
useless	tina gunanna
usual	biasa
usually	biasanna
utility	matu matu
vacation	liburan
vaccination	vaksinasi
vaccine	vaksin
vacuum	kekosongan
vague	tena nasingara
valid	sah
valley	lembah
valuable	berharga
value	nilai
value	anghargai
variety	arrupa rupa
various	arrupa rupa
vary	arrupa rupa
vase	po bunga
vast	luara
vegetable	gangang gangang
vegetables	ganganga
vehicle	kendaraan
vendor	pabalu
venom	bisa ulara
venture	usaha
venue	tampa
verify	ammaressa
versatile	serbaguna
version	versi
vertical	vertikal
very	sanna
very good	sanna bajina
vessel	kappala
via	angngolo
vibe	atmosfer
vibes	atmosfer
vicious	bambala
victim	koroban
video	pidio
view	accinik
village	kampong
villain	penjahat
vinegar	cuka
vintage	antik
violence	katerassan
violent	brutal
viral	virus
virgin	perawan
virtual	maya
virtue	kabajikan
vision	paccini
visit	ambattui
visit	kujungan
visual	visual
vital	poko
vivid	jelas
vocabulary	kosakata
voice	sa'ra
void	ruangan kosong
volume	volume
volunteer	sukarelawan
vomit	ta'langnge
vomit	langngei
vulnerable	lamma
wage	gaji
wages	gaji
waist	sarring
wait	tayang
waiter	pakkasadia
waiting	attayang
wake	bangung
wake up	ambangun
walk	ajjappa
walk	trotoar
walking	sedang ajjappa
wall	tembo
wallet	dompet
wander	afappa jappa
wanna	ero
want	ero'
wanted	nikeroki
war	bundu
wardrobe	care care
warehouse	gudang
warm	kammuk
warm	tena nabambang dudu
warn	appaka inga
warning	pappakainga
warrior	pahlawang
was	riolo
wash	assassa
waste	cammara
waste	boros
watch	accini
water	je'ne
watermelon	mandike
wave	adda
way	ajjappa
we	ikatte
we are	katte
we can	anggappaki
weak	lamma
weakness	kelammangang
wealth	kakalumannyangngan
wealthy	kalumannyang
wear	ammake
wearing	ammake
weather	rammang
wedding	pabbuntingan
Wednesday	araba
weed	gulma
week	pekan
weekend	akhir pekan
weight	appabattala
weight	battala
weird	mara'-maraeng
welcome	salama battu
welfare	kaselawangan
Well	Gassing
well done	sanna baji'na
went	a'lampami
were	riolo
west	lau
wet	basa
whale	paus
what	apa
what about you	antekamma antu katte
what are you doing	apa nu pare
what are you doing now	apa nupare kamma kamma anne
what are you doing right now	apa nu pare kamma kammayya anne
what do you do	apa jama jamannu
what do you do for a living	apa jamannu
what do you mean	apa massunnu
what do you want	apa ikatte kieroki
what happened	apa kajarian
what is	apa anjo
what is this	apa anne
what is your job	apa jamannu
what is your name	nai arennu
what's up	nia apa
what's your name	nai arennu
whatever	apapun
wheat	gandum
wheel	roda
when	ringngapanna
whenever	sambaran wattu
where	kemae
where are you	kemaeko
where are you from	battu kemaeko
where are you now	kimae katte kamma anne
where do you live	kimaeki ammantang
where is	kemae
whereas	ingka
whether	apa anjo
while	punna
whisper	bisi bisi
whistle	pippiri
white	kebo
who	nai
who are you	inaiki
who is	inai ang
who is this	nai anne
whole	rassi
whom	yang
whose	yang
why	ngapai
why not	angngapa tena
wicked	jaha
wide	labba
widow	janda
width	labba
wife	baine
wild	liara
will	punna
will	punna ngapa
willing	assedia
win	ammeta
wind	angin
window	tontongan
windy	angngangin
wine	anggoro
winter	bara
wipe	angngapusu
wire	kabala
wisdom	kebijaksanaan
wise	bijak
wish	ero
wish	angharap
wish you all the best	semoga nugappa ngasengi paling bajika
witch	panyihiri
with	siagang
withdraw	abbeso'
withdrawal	penarikan
within	ilalang
without	tena
witness	sassi
witness	menyaksikan
witty	caradde
wolf	serigala
woman	ba'baine
women	baine
won	won
won't	tena ero
wonder	pakkasia sannang
wonderful	luar biasa
wood	kayu
wool	wol
word	kana
words	kana-kana
work	anjama
work	jama
work out	olaraga
working	anjama
world	lino
worm	cacing
worn	nipake
worried	ripikkiri
worry	abbata bata
worse	sanna kodina
worship	appaganti
worst	paling kodi
worth	matu matu
worth it	singkamma
worthy	cocok
would	erok
wound	loko
wrap	abbungkusu
wrath	kalarroang
wrist	gallang lima
write	annulisi
Write here	tulisikki rinni
writing	annulisi
written	tattulisi
wrong	salah
wrote	annulisi
yard	halaman
yawn	anguap
yawn	angnguap
year	taun
years	attahung tahung
yeast	ragi
yell	marrang
yellow	kunyi
Yes	Iye
yes baby	iye sayang
yes dear	iye, ngai
yes honey	iye, sayang
yes my love	iya, sayangku
yes of course	iye, attantumi
yesterday	subangngi
yet	tenapa
yield	appajjari
you	katte
you are	katte
you are beautiful	katte gagga
you are so beautiful	ga'ga sannakki
you are welcome	tarima kasi kembali
you can	ikau kulle
You know	kau nisseng
you too	ikau poleng
you're welcome	tarima kasi motere
young	lolo
your	anunnu
your welcome	singkamma
yourself	kalennu
youth	tau runka
you’re welcome	terimakasih motere
yummy	nyamang
zero	nolo
