Langai	a
ahkang jaw gumhpraw	grant
shagrau jaw ai	granted
ahkang jaw ai	granted
tsabyi si ni	grapes
magra tawn ai	grasp
tsing	grass
chyeju dum ai	grateful
chyeju dum ai	gratitude
chyeju	gratitude
grai sawng ai	grave
lup sung hku	grave
grai tsang ra ai	grave
kara hpraw nsam	gray
wan hkut nsam	gray
Mai kaja dik sai	great
kaja dik sai	great
lu malun myit	greed
nam mak law hpa ai	greed
lawhpa ai	greedy
tsit ai	green
shakram ai	greet
shakram ga	greeting
shakram ga	greetings
kara hpraw nsam	grey
wan hkut nsam	grey
muk muk re ai	grey
yawn hkyen	grief
ningtsang	grief
rin ai	grind
grang ai	grind
gum nup kau ai	grip
manta chyit di ai	grip
jum tek da ai	grip
gunrai hkum sum hpa dut ai seng	grocery
la nnan	groom
zai ai	gross
n-ga	ground
ga	ground
wu hpung	group
hpung	group
rawt jat wa ai	grow
kaba wa ai	grow
galu kaba masa lam	growth
majoi joi jawp ai	grumpy
Guarani	Guarani
madi shadaw ya ai lam	guarantee
sin langa	guard
bau sin ai	guard
makawp maga ai	guard
tak ai	guess
manam	guest
matsun madun ai lam	guidance
lam woi madun ai lam	guidance
matsun madun ai	guide
woi awn ai	guide
mara lu ai	guilty
masha	guy
jahpoi asawng ai	guy
ginsup dum	gym
ginsup nta	gym
akyang	habit
lai nsam	habit
nga ai shara	habitat
mu lu ai shara	habitat
nga ai	had
marang si	hail
marang si hkrat ai	hail
marawn bawp la ai	hail
kara	hair
daw mi	half
chyen mi	half
gawk nu kaba	hall
shawa hting nu	hall
lata	hand
ta	hand
magra ai	handle
lashum	handle
jum tek ai	handle
shingkang ai	handsome
dau si ai	hang
lam tawn ai	hang
noi tawn ai	hang
majoi nga hkawm ai	hang out
majoi yu hkawm ai	hang out
jahkring jahkra wam hkawm chyai ai	hang out
byin wa ai	happen
byin pru ai	happen
byin wa ai	happened
byin pru ai	happened
pyaw hpa lam	happiness
pyaw ai	happy
Ngwi pyaw ai shangai nhtoi rai u ga	happy birthday
Ngai pyaw ai shangai nhtoi rai u ga yaw	happy birthday to you
ngwi pyaw ai shaning nna rai u ga	happy new year
yak ai	hard
agying agang	hardly
ja ja	hardly
yak yak hkak hkak	hardly
yak ga ai	hardly ever
hkrit tsang hpa	harm
dingbai dingla	harm
tsin yam jaw lu ai	harmful
shoi hpa jaw lu ai	harmful
myit hkrum ai lam	harmony
yu ngwi masa	harmony
nsen rap ra ai lam	harmony
hkara	harsh
n mut ten	harvest
mam dan ten	harvest
nga ai	has
n ju ai	hate
n dawng ai	hate
n yawt ai	hate
Lu ai	have
Nga ai	have
Nhtoi kaja rai u ga	have a good day
Ngwi pyaw ai shani rai u ga	have a nice day
jahpawt shat sha u	have breakfast
pyaw u ga	have fun
Sha ngut sai i?	have you eaten
nga ai	having
sa dan ai lam	hazard
hkrit hpa lam	hazard
n hpu mawng ai	haze
bungshi	haze
Dai wa	he
Shi	he
shi kaw nga ai	he has
shi gaw	he is
baw	head
baw machyi ai	headache
shamai ai	heal
tsi lajang ya ai	healing
shamai shatsai ya ai	healing
shamai ya ai	healing
hkam ja lam	health
hkam kaja ai	healthy
na ai	hear
na lu ai	heard
salum	heart
wan dap	heat
kahtet ai	heat
sumsing mungdan	heaven
li ai	heavy
nak ai	heavy
myit law ai	hectic
bungli grai kyin ai	hectic
tsaw shadang	height
sali dagraw na wa	heir
sali wunli hkam wa	heir
damya mya ai lam	heist
kashun ai lam	heist
jum ai	held
ngarai di	hell
Kaja ai i	Hello
E tsawra	hello dear
E ning, hkam ja ai i	hello how are you
E hkau nang zeng gaw rai nga n ni?	hello how are you doing
lagup	helmet
hpri lagup	helmet
karum ai	help
karum kahtau	help
shingtau chye ai	helpful
garum chye ai	helpful
akyu rawng ai	helpful
dai majaw	hence
shi na	her
dumsu hpung	herd
ndai kaw	here
sali wunli hkam la lu ai	heritage
dawn ai	hesitate
tsang ai	hesitate
E	Hey
Hi, Hkam ja nga ai i?	hi how are you
magap da ai	hidden
makoi da ai	hidden
makoi ai	hide
lagyim ai	hide
hpung sara up hkang masa	hierarchy
tsaw ai	high
shadan dan ai	highlight
shadawng dan ai	highlight
shapraw dan ai	highlight
lam hkawm ai	hike
lagaw lam hkawm ai	hike
bum lung ai	hiking
nachying mani hpa	hilarious
bum	hill
shi hpe	him
la kap n na tsun ai ga	hint
ga machyan	hint
dangkawp	hip
mashi	hips
dang kang	hips
shap ai	hire
shap taw ai	hiring
shaga taw ai	hiring
shi na	his
labau	history
adup ai	hit
hkra ai	hit
Hmmm	Hmm
myit lawm bungli	hobby
ra sharawng bungli	hobby
poi galaw ai	hold
jum	hold
jum da u	hold on
jahkring	hold on
sharang u	hold on
hku	hole
n hkun	hole
ban sa nhtoi	holiday
krawk ai	hollow
nhkun nhkaw	hollow
jahtau marawn ai	hollow
dum nta	home
nta kaw galaw ra ai laika	homework
ding ai	honest
dingman ai	honest
myit madu dingman lam	honestly
asan sha	honestly
Lagat n tsin	Honey
Tsaw	Honey
shagrau ai	honor
sha a ai	honor
magap ya ai rai	hood
baw magap	hood
myek	hook
hkai	hook
chyinghkyi	hook
gumlawt hkawm ai	hop
ka gumlawt ai	hop
myit mada lam	hope
grai myit mada let	hopefully
grai kam kaba let	hopefully
myit mada shara n nga ai	hopeless
nda hpan re ai	horizontal
nda tang re ai	horizontal
rung	horn
hkrit kajawng hpa	horrible
hkrit makren hpa re ai	horrible
hkrit gari ai lam	horror
laring gumra	horse
gumra	horse
tsi rung	hospital
manam daw chye ai lam	hospitality
hkap la ai wa	host
madu	host
ninghtan shai hkat ai	hostile
hpyen tai ai	hostile
jap ai	hot
kahtet ai	hot
manam jarawp	hotel
hkying mum	hour
ahkying	hour
hkying hkum	hours
ahkying	hours
nta	house
dinghku	household
gara hku rai	how
Nang gaw gara hku rai?	how about you
Hkam kaja ai i	how are you
zeng re nga ai i	how are you doing
daini zeng rai nga nni	how are you doing today
Nang dai ni gara hku rai?	how are you today
Nang hpa ni galaw ai rai?	how do you do
gara hku na?	how is
kade ram rai?	how many
kade rai	how much
kade lang rai?	how often
Nang na asak kade rai	how old are you
mani gara hku rai	how was your day
Mana gara hku rai	how was your night
Raitim mung	however
gara hku raitim	however
hting chyai	hub
kasha kawa	hubby
madu wa	hubby
chyit ai	hug
hpum ai	hug
kaba dik ai	huge
shinggyim masha hte seng ai	human
shinggyim masha	human
myit sha gyip	humble
myit shanyem ai	humble
bam ai	humid
madi ai	humid
bam nyap masa	humidity
madi nyap	humidity
latsa	hundred
kaw si ai	hungry
kut ai	hungry
tam ai	hunt
hkwi ai	hunt
shan gap ai	hunt
laru	hurricane
nbung laru kaba	hurricane
lawan ladan	hurry
lawan di u	hurry up
lawan	hurry up
kaprep ai	hurt
machyi ai	hurt
madu wa	husband
ningrum ningtau wa	husband
shawa num	hustle
atik anang gau sha le ai	hustle
sum	hut
yi hkyap	hut
ginsum	hut
hkam kaja lam	hygiene
Ngai	I
ngai gaw	I am
Ngai kaja ai	I am fine
ngai dang di lu ai	I can
ngai n dang di ai	I can't
ngai galaw ai	I do
ngai n chye ai	I do not know
ngai nchye na ai	I do not understand
ngai n re	I don't
Ngai n chye ai	I don't know
Ngai n chye na ai	I don't understand
Nang hpa tsun mayu ai hpe ngai n chye na ai.	I don't understand what you mean
ngai nang hpe n chye na sai	I don't understand you
ngai nchye ai	I don’t know
ngai n chye na ai	I don’t understand
ngai shadu ai	i guess
ngai htang ai	i guess
ngai kaw nga ga ai	I had
ngai kaw nga ai	I have
ngai galaw hpang wa ai	I have been
Ngai mung myit mada ai	I hope so
Ngai chye ai	I know
ngai ra ai	I like
Ngai nang hpe ra ai	I like you
ngai tsawra ai	I love
Ngai nye hpu ba hpe tsawra ai	I love my big brother
Ngai nye kana hpe tsawra ai	I love my big sister
Ngai nye wa hpe tsawra ai	I love my father
Ngai nye kanau la sha hpe tsawra ai	I love my little brother
Ngai nye kanau numsha hpe tsawra ai	I love my little sister
Ngai nye nu hpe tsawra ai	I love my mother
Nang hpe ngai tsawra ai	I love you
Nang hpe ngai grai tsawra ai	I love you so much
Ngai mung nang hpe tsawra ai	I love you too
ngai tsun mayu ai gaw	I mean
Ngai nang hpe dum ai	I miss you
Nang hpe ngai grai dum ai	I miss you so much
ngai chye na sai	I see
ngai shadu ai	I think
ngai chye na ai	I understand
ngai ra ai	I want
Ngai nang hpe hkrum mayu ai	I want to see you
Ngai nang hpe ra ai	I want you
Ngai gaw	I was
ngai galaw na re	I will
ngai galaw na re	I would be
ngai gaw	I'm
ngai zeng re ai	I'm fine
ngai kaja ai	I'm good
ngai ndai kaw re ai	I'm here
myit n pyaw sai	I'm sorry
ngai tawng ban ai yaw	I'm sorry
hkyen	ice
hka ge	ice
hkyen muk	ice cream
myit mang ai lam	idea
myit masa	idea
kamang	ideal
kasi	ideal
htung hte seng ai	ideal
bung pre ai	identical
masat masa	identify
sawk tam nna tang madun ai	identity
bung pre lam	identity
mana	idiot
bungli n lu ai	idle
lagawn ai	idle
aten majoi shalai ai	idle
lama na	if
koi yen ai	ignore
hkum n pyaw ai	ill
machyi makaw ai	ill
tara n shang ai	illegal
machyi makaw ai	illness
Ilocano	Ilocano
gawk ngu sumla	image
hkrang sumla	image
sasat ai	imagine
myit mang ai	imagine
kalang ta nan	immediate
ya jang jang	immediate
hkyak hkyak	immediate
ya jang jang	immediately
kalang ta	immediately
na chying law ai	immense
na chying kaba ai	immense
byin shangun ai	impact
akyu byin ai	impact
myit n galu ai	impatient
myit katu ai	impatient
n dawt ai	impatient
shabyin shatai ai	implement
jashawn ai	import
jashawn gun rai	import
ahkyak ai	important
ahkun hkanse hta ai	impose
masat la ai	impose
n mai byin ai	impossible
myit chyung mat ai	impress
myit hta chyung mat ai lam	impression
ning mu	impression
htang kaba ai	impressive
rawt jat wa ai	improve
rawt jat wa ai lam	improvement
kata kaw	in
dai kaw	in
kata e	in
hta sha n ga	in addition
kaja ngu yang	In fact
shawng e	in front of
shawng hta	in front of
matu	in order to
byin na matu	in order to
n htap htuk ai	inappropriate
myit sharawng rai	incentive
myit shalen rai	incentive
byin pru chye ai	incident
byin nga masa	incident
lawm ai	include
shalawm ai	including
mung lawm ai	including
shang gumhpaw	income
n manu n mana byin ai	inconvenience
jat ai	increase
rawt jat wa ai	increase
jat wa ai	increased
rawt jat wa ai	increased
mau na zawn re	incredible
manu mana	incredible
kaja sha	indeed
kaja nan	indeed
shanglawt ai	independent
shamyet shanat ai lam n nga ai	independent
gala mung	India
madi madun ai	indicate
htawng madun ai	indicate
mungchying sha hte seng ai	indigenous
dinghkrai	individual
langai hpra	individual
jak rung	industry
marai	industry
bungli	industry
n tawt lai lu ai	inevitable
ma chyangai	infant
ma kaji	infant
ana	infection
yawga kap ai lam	infection
htum ngu n nga	infinity
hti ndang hkra	infinity
bum ai	inflammation
gumbawm	inflation
gumhpraw bawm masa	inflation
kaput ai	influence
tsun dan ai	inform
shiga shana ai	inform
shana ai	inform
shiga	information
gayau bang ai rai	ingredients
sali wunli hkam la ai lam	inheritance
sali wunli da graw ai	inheritance
shawng ningnan	initial
npawt nhpang	initial
shawng ai	initiative
machyi hkrum ai	injured
ning ma	injury
hkra machyi ai	injury
kaw lakai ai	innocent
lak lai rai galaw ai lam	innovation
rai n nan galaw shapraw ai	innovation
san jep ai lam	inquiry
san sagawn ai lam	inquiry
ngawk ai	insane
mana ai	insane
shagri	insect
shingtai sumbra	insect
shim ai ngu n hkam sha ai	insecure
bang ai	insert
shakap ai	insert
matep bang ai	insert
kata	inside
shingran myit	insight
maja galaw ra ai	insist
madung da ai	insist
yupgan	insomnia
yup n pyaw mai ai lam	insomnia
myit katu shangun ai	inspiration
wenyi n-gun	inspiration
atsam jaw ai	inspiration
shatsam ya ai	inspire
wenyi n-gun jaw ai	inspire
bang la ai	install
dung ai	install
ga shadawn	instance
ga shadawn madun ai	instance
kalang ta re ai	instant
a kajawng sha re ai	instant
malai	instead
dai na malai	instead of
na malai	instead of
sharin shaga lam	instructions
matsun ga	instructions
hking hku	instrument
madum sumpyi	instrument
n kaw n law di ai	insult
roi ai	insult
pahkam bungli	insurance
pahkam hkam ai lam	insurance
nan nan re ai	intact
shara n nawt ai	intact
arawng sadang	integrity
kraw hpaji kung ai masha	intellectual
hpaji rawng ai	intelligence
nyan zen ai	intelligence
byin ai	intelligent
nyan marai	intelligent
yaw shada ai	intend
yaw shada ai	intended
kaja wa	intended
teng teng	intended
shajan shalai ai	intense
lapyin ai	intense
yaw shada ai	intention
shada da hting lu hting lai ai	interact
shada da hting lu hting lai ai	interaction
myit shang sha ai	interest
myit shang sha ai	interested
myit shang sha ai	interesting
myit lawm ai	interesting
lapren shang shaga ai	interfere
chying bai re ai	interfere
pran wan na	intermediate
dinghku kata na	internal
mung	internal
kata na	internal
mungdan ga daga hte seng ai	international
bungli sharin hkam ai	internship
ga gale tsun dan ai	interpret
ga gale tsun ya ai wa	interpreter
hkrau tsun ai	interrupt
tsun gin jang ai	interrupt
tsun achyau ai	interrupt
masha san jep ai lam	interview
ga san ga htai	interview
hkau chyap ai	intimate
hku hkau ai	intimate
hku nna	into
de	into
shachyen ai	introduce
shaga ai	introduce
shachyen shaga ai	introduction
langai hkrai nga ai wa	introvert
myihtoi myit	intuition
shi hte shi chye ai myit	intuition
shi hkrai shi chye ai nyan	intuition
tara n shang ai	invalid
n hkam kaja ai wa	invalid
n nan gyin shapraw ai	invent
sawk gyin ai	invent
lu la gun rai jahpan	inventory
jahpan hta ai lam	inventory
arang bang ai	invest
rang ai	invest
ga sawk yu ai	investigate
shiga manaw la ai	investigate
saw shaga ai lam	invitation
saw shaga ai	invite
shaga ai	invite
shang lawm ai	involve
malawm	involved
shang lawm ai	involved
hpri	iron
re ai	is
rai ai	is
zunlawng	island
san san di da ai	isolated
kaga san da ai	isolated
shapraw	issue
lawng lam	issue
shale ai	issues
shapraw ai	issues
Dai	it
dai gaw	it is
dai re ai	it was
dai gaw	it's
Hpa n ra ai	it's ok
hpa n ra ai	It's okay
amyu	item
lamang	item
amyu	items
hpan	items
lamang	items
dai gaw	its
ngai gaw	I’m
ntsa palawng	jacket
palawng kaba	jacket
hkyuk htawng	jail
htawng	jail
hkru ta	January
hka yam	jar
yam	jar
shakap	jaw
ga manaw galu ai	jaw
manawn masham	jealous
manawn ai	jealous
nabai	jerk
ja lung seng rai	jewelry
kan bau bungli	job
bungli	job
gat hkawm ai lam	jogging
hkin dun ai	join
shang lawm ai	join
matut ai	join
hkri hkraw	joint
lamyi	joint
mani hpa galaw ai	joke
mani hpa	joke
shiga sawk ai wa	journalist
hkrun lam	journey
kabu aw law ai	joy
tara dara ai	judge
daw dan ai	judge
ntsin	juice
jahku	juice
shi mari ta	july
gumlawt ai	jump
shing tawt ai	jump
sangan ta	june
miwa sanghpaw	junk
ya sha	just
sha di dat yu	just do it
tara rap ra ai lam	justice
teng man ai lam madun ai	justify
Jinghpaw	Kachin
Kalaallisut	Kalaallisut
myit rawt ai	keen
zing ai	keep
kyem ai	keep
matut manoi galaw u	keep it up
yu lajang ai	kept
kyem da ai	kept
mazing da ai	kept
hpun lum di	kettle
zaw si	key
sum saw	key
hkin dit ai	kick
htawng ai	kick
hkalung	kid
bainam kasha	kid
ma kasha	kid
majoi shala chyai ai	kidding
shala ai	kidding
sinde	kidney
ma kasha ni	kids
hkalung ni	kids
sat ai	kill
tsawra matsan dum chye ai	kind
amyu hpan	kind
tsawm ra mi	kinda
matsan dum lama hte	kindly
matsan dum lama chye ai myit	kindness
hkaw hkam	king
manam ai	kiss
pup ai	kiss
shat gawk	kitchen
maisau galang	kite
langji	kite
galang	kite
hkalung	kitten
lanyau kasha	kitten
lahput	knee
chye da ai	knew
nhki	knife
nhtu	knife
share magan	knight
chye ai	know
machye machyang	knowledge
chye ai	known
mying gum hkawng ai	known
Konkani	Konkani
Krio	Krio
madi madun ai	label
bungli masha	labor
magam	labor
magam bungli	labour
bungli galaw ai	labour
n nga ai	lack
gawng kya ai	lack
lakang	ladder
arawng aya lu ai hpaw mi	lady
hpaw mi	lady
tawn ai	laid
mara tawn ai	laid
u di di ai	laid
hka nawng	lake
sagu kasha	lamb
chyahten	lame
wan kawk	lamp
pyen ding	lamp
pa	land
bum maling sumla	landscape
ga	language
aga	language
lahpyen	lap
kahpam ai	lap
kaba ai	large
dam lada ai	large
jahtum	last
grin ai	last
jahtum gaw re raitim n ahkyak ai lam gaw n re	last but not least
amyu mying	last name
hpang hkrat ai	late
ndai laman	lately
hpang daw de	lately
yat	later
hpang e	later
jahtum re ai	latest
dai hpang	latter
Mani ai	laugh
mani ai	laughing
mani ai	laughter
galaw hpang ai	launch
rai hkrut ya ai shara	laundry
tara	law
tsing du pa	lawn
tara agyi	lawyer
galeng ai	lay
u di di ai	lay
htap	layer
tsang	layer
hkrang kasi	layout
kasi	layout
lagawn ai	lazy
numshawn	lead
woi awn ai	lead
hpa awn	leader
woi awn ai wa	leader
laika alam	leaf
namlap	leaf
kayun ai	leak
yun hkrat ai	leak
nyawt	lean
nhkrem	lean
gumlawt ai	leap
kagan mat wa ai	leap
hka ja ai	learn
hka ja taw ai	learning
sharin hkam la taw ai	learning
shaning galu hkoi shap ga sadi laika	lease
hkoi jaw ai lam	lease
yawm dik htum	least
shan hpyi	leather
ahkang	leave
Pru u	leave
Pru mat u	leave
ahkang	leaves
le mat ai	leaves
namlap	leaves
woi ningshawng ai	led
lam woi ai	led
machyu ai	led
pru mat wa sai	left
lapai maga de	left
ngam da ai	left
lagaw	leg
hkringhtawng	legacy
tara lam hte seng ai	legal
tara shang ai	legal
matsun maroi	legend
teng ai lam	legit
tara shang ai	legit
ban sa ai	leisure
hkoi shap ai	lend
shadawn shadang	length
shau ai	less
sharin hkam la hpa	lesson
ga	let
laika	letter
tsang	level
madang	level
lit nga ai	liability
jaw ra ai	liability
laika dum	library
mata sha ai	lick
shinglet hte kasut sha ai	lick
masu ai	lie
taw	lie
masu ai	lies
hka lem ai	lies
prat	life
ka aw	lift
jahpai	lift
aw	lift
nhtoi	light
tsang ai	light
myihprap	lightning
bung ai	like
zawn re	like
ra ai	like
byin na masa nga ai	likely
dai hte maren	likewise
maren	likewise
dai zawn	likewise
hkang	line
lam	line
Lingala	Lingala
matut ai	link
hkang hkyi	lion
jahku	liquid
ntsin	liquid
jahpan	list
jahpan galaw ai	list
madat u	listen
madat ai	listen
madat mara taw ai	listening
madat taw ai	listening
kaja nan	literally
laika	literature
maza jahkrat ai	litter
shanut shanawt	litter
loi mi	little
kaji ai	little
shanu(nga ai)	live
nga ai	live
sin	liver
shanu nga ai	lives
nga ai	lives
asak rawng ai	living
daw dap	living room
shingnyen	lizard
hka sin gu	lizard
magun lit	load
lit shagun ai	load
tawng	loaf
a ngaw hkawm ai	loaf
a jawt hkawm ai	loaf
hkoi shap ai	loan
buga ginra	local
buga ginra hte seng ai	local
nga shara	location
pad da ai	lock
sum saw	lock
hkum pat da ai lam	lockdown
tawng	log
mai lung	log
hpun tawng	log
garen ai	lonely
galu ai	long
N hkrum ai grai na sai	long time no see
nsam	look
yu ai	look
shanghkawng	loop
dawnggawng	loop
mat ai	loose
hkrat ai	loose
sum ai	loose
du	lord
madu	lord
hkrat sum ai	lose
shamat ai	lose
dinglut ai	lose
sum ai	loss
sum ai	lost
shamat ai	lost
dinglut ai	lost
yawng	lot
ngoi ai	loud
daw dap	lounge
Tsawra ai	love
Nang hpe tsawra ai	love you
tsawra dik ai	lovely
nyem ai	low
shagrit ai	lower
shanem ai	lower
shayu dat ai	lower
kang ka ai	loyal
sadi dung ai	loyal
sadi dung ai lam	loyalty
gam maka	luck
gam kaja ai	lucky
gam rawng ai	lucky
Luganda	Luganda
buhkawm yupra	luggage
buhkawm rai	luggage
tawng	lump
shani shat	lunch
sin wawp	lungs
pyaw hpa lam	luxury
zing hkam rai	luxury
u di di taw ai	lying
galeng taw ai	lying
jak	machine
ngawk ai	mad
pawt ai	mad
hpaw mi	madam
hkawp	madam
majan	madam
galaw ai	made
yam dek	magazine
laika buk	magazine
hkik hkam ai	magnificent
hpung shingkang rawng ai	magnificent
hkawn ram	maid
mahkawn	maid
madung	main
yu reng ai	maintain
yu reng ai	maintenance
Maithili	Maithili
madung	major
madung	majority
law malawng	majority
galaw ai	make
dawdan ai	make up
shakya rai	make up
La	male
gat dut shara	mall
La	man
hparen ai	manage
hparan ai	manage
hparan hpareng ai	management
ningbaw	manager
shadik shatup ra ai	mandatory
shadan shaleng tsun dan ai	manifest
lachyum pru ai	manifest
lata hte jum ai	manipulate
lata hte galaw ai	manipulate
lai nsam	manner
sat lawat	manner
lata hte seng ai	manual
lakchyoi	manual
law law	many
dawtsa	many
mana maka	many
Dai shani hta kabu kara ai lam law law lu la u ga	many many happy returns of the day
wut shata	march
rawt sa wa ai	march
nchyan	margin
matu	margin
gat	market
gat ginra	market
hkungran ai lam	marriage
hkungran da ai	married
dinghku hte re ai lam	married
myiman magap	mask
atawng apa rai	mass
missa hkungga	mass
tawng kaba ai	massive
htat ai	massive
grai kaba ai	massive
li ai	massive
sara	master
madu	master
htuk ai	match
manang	mate
madu jan	mate
madu wa	mate
arung arai	material
sawnhpan hpaji	math
lam	matter
myitsu ai lam	maturity
kunghpan lam	maturity
mai byin ai	may
rai na re	maybe
Ngai	me
Ngai mung	me too
Ngai ma	me too
shat lusha	meal
tsun mayu ai lam gaw	mean
lachyum pru ai	mean
lachyum	meaning
lachyum hpyen ai	means
lachyum	means
lachyum pru ai	means
lachyum pru ai	meant
laman	meanwhile
dai ten hta	meanwhile
shadawn ai	measure
sharam ai	measure
shadawn ai	measures
shan	meat
tsi hpaji hte seng ai	medical
tsi	medicine
tsi mawan	medicine
tara dung ai	meditation
ka'ang	medium
ram daw	medium
myi htoi	medium
hkrum ai	meet
zuphpawng	meeting
Meiteilon	Meiteilon
shabyawng ai	melt
matsing nyan	memories
sumhting nyan	memories
matsing nyan	memory
sumhting nyan	memory
myit hte seng ai	mental
madi madun ai	mention
htawng madun ai	mention
tsun dan ai	mentioned
tsun yan dan ai	mentioned
lam matsun madun ai wa	mentor
hpaga masha	merchant
hpaga la	merchant
n gaw n wai myit	mercy
matsan dum myit	mercy
majoi sha	merely
majoi mi	merely
Ngwi pyaw ai Hkritsmat	merry christmas
abut abye	mess
mazuk mazak	mess
matsun maroi laika	message
abut abye	messy
mazuk mazak	messy
nhprang	metal
mahkrun	method
yu ni	mice
ka-ang hkup	middle
yup tung	midnight
mai byin ai	might
sumnung ai	mild
madung lam	milestone
luk suk	military
hpyen	military
hpyen la hte seng ai	military
chyu	milk
chyu shup ai	milk
wan	million
masin salum	mind
myit	mind
myit jasat	mindset
ngai na	mine
gayau ai	mingle
hkawn bang ai	mingle
madung n re ai	minor
minit	minute
minit	minutes
lamik kum la	miracle
mau hpa lam	miracle
pat	mirror
n kaja ai gam maka byin wa ai	miscellaneous
n myit mada ai lam byin wa ai	miscellaneous
kajam kalam re ai	mischievous
myit n pyaw ai	miserable
jam jau ai	miserable
n ni n kri	misery
nchyi nmu lam	misery
dum ai	miss
ngam mat ai	miss
nang hpe dum ai	miss you
mat taw ai	missing
marit taw ai	missing
dumhprut taw ai	missing
dat kasa hpung, sasana hpung	mission
sai wan	mist
shut shai ai lam	mistake
Mizo	Mizo
htawt hkawm mai ai	mobile
jaw ai	mock
ajet n re ai	mock
ashu kau ai	mock
kamang	model
kasi	model
shadawn sharam ai	moderate
prat dep ai	modern
ya prat	modern
sari rawng ai	modest
gaya chye ai	modest
bam ai	moist
madi manyap nga ai	moist
bam masa	moisture
madi manyap masa	moisture
sharu	mole
prat	mole
anu	mom
chyahkring mi	moment
bat langai ya	monday
but sani	monday
gumhpraw	money
jawng ma ningbaw wa	monitor
reng hkang ai	monitor
up hkang ai	monitor
woi	monkey
shata	month
hkam sha lam	mood
myit sat lawat	moody
shata	moon
len	moral
hta n ga	more
hta sha n-ga	moreover
jahpawt manap	morning
rai shadun ai	mortgage
law malawng	most
madung hku nna	mostly
law malawng gaw	mostly
Anu	mother
shamu shamawt ai lam	motion
n-gun jaw ga	motivation
n-gun jaw ai lam	motivation
bum jinghkang	mountain
bum	mountain
yu	mouse
n-gup	mouth
sit u	move
htawt ai	move
shamu shamawt ai lam	movement
sumla hkrung	movie
jan	mrs
mana maka	much
hkum pa	mud
hkum pup	mud
kawk	mug
n-gun shan	muscle
madun gawk	museum
mati	mushroom
yu-ngwi	music
tup hkrak	must
ma a ai	mute
n chye shaga ai	mute
hti htang re ai	mutual
lahkawng maga	mutual
Ngai na	my
nye na	my
ngai na tsawra	My dear
ngai na nja	My dear
ngai na manang	my friend
Ngai na sabawng pyen li kaw gaw hkang shan tup hpring taw ai	My hovercraft is full of eels
Ngai na nja	my love
Ngai na tsawra	my love
ngai na mying gaw	my name is
ngai na tsawra myit re	my pleasure
madu hkum madu	myself
ngai nan	myself
lachyum sung ai	mysterious
chye na yak ai	mysterious
mauhpa lam	mystery
lachyum sung ai lam	mystery
mau mwi mau sa	myth
hpri woi na	nail
lamyin	nail
a ngawk ai	naive
mahkrum madup n nga ai	naive
mying	name
maumwi	narrative
n shu n shang	narrow
gyip ai	narrow
chyat ai	narrow
zai ai	nasty
nkaja ai	nasty
amyu sha hte seng ai	national
amyu sha amyu	nationality
dai daw ga	native
shingra tara	natural
shingra tara	nature
kraw galau ai	nausea
ka awn machyi ai	nausea
ani sha	near
ni ai	near
ni htep ai	near
ni ai	nearby
a ni sha kaw	nearby
hkawt	nearly
na daram	nearly
ganoi noi sha	nearly
yu htuk manu ai	neat
san seng ai	neat
ra ahkyak ai	necessary
ra ai	necessary
du	neck
ka chyi	necklace
du gali	necklace
ningra	need
ra ai	need
ninghkang ai	negative
nda de	negative
n gau shinggang di ai	neglect
myi man shinggang kau ai	neglect
hting rat ya ai	negotiate
hting rai ya ai	negotiate
hting bu	neighbor
htingbu	neighborhood
langai ma n re	neither
kahkri	nephew
kanam	nephew
myit kahpra ai	nervous
u tsip	nest
sumgawn	net
sut	net
mahkri	network
hkailau hte seng ai	neutral
tsep kawp	never
kalang pyi	never
galoi asum hkum jaw	never give up
myit galoi hkum daw	never give up
hpa n ra ai	never mind
myit kaw hkum bang da	never mind
hpa hkum sawn	nevermind
myit kaw hkum bang da	nevermind
raitim mung	nevertheless
nnan	new
ning nan	new
shiga	news
hpang langai	next
ya na	next
makau kaw	next to
Mai kaja dik sai	nice
hkrak sai	nice
Hkrum zup lu ai majaw grai kabu sai	nice to meet you
kanam	niece
shana	night
yup dip	nightmare
jahku	nine
shi jahku	nineteen
jahku shi	ninety
N re ai	No
manghkang n nga ai	no problem
byin na lam n nga ai	no way
n mai byin ai	no way
kadai ma n re	nobody
mahku	noise
arung	noisy
hpa n re ai	none
shani ka ang	noon
n re	nope
gara mung nre ai	nor
lahkawng yen n re ai	nor
hkrak sha re	normal
masa hte maren re	normal
dingdung de	north
ladi	nose
nta marit ana	nostalgic
n re	not
yawng n re	not at all
ram nga ai	not bad
hkrak nga ai	not bad
Ya n re	Not now
grai n re shi ai	not yet
matsing laika buk	note
matsing ai	note
mying kaba ai	noted
mying gumhkawng ai	noted
Kaman lila	nothing
Hpa n re	nothing
dum dat ai	notice
sadi jaw ai	noticed
myit maju jung ai lam	noticed
matsing da ai	noticed
mying ni	nouns
shingteng ni	nouns
sumroi laika	novel
maji ta	november
Ya	now
ndai prat hta gaw	nowadays
ya dai ni ten hta gaw	nowadays
myit n ji nmu byin hpa	nuisance
akyu n nga ai	null
kaman re ai	null
a ngawk ai	numb
nuk ai	numb
hti hkum	number
tsi sara num	nurse
kawp ja ai namsi	nut
kawp ja ai namsi	nutmeg
hkrum ra lu sha	nutrition
ga shaka	oath
dagam ga	oath
ahtun ai lam	obesity
