a	ah
update	update
upgrade	upgrade
upon	pon
upset	upset
urban	kuntry
urge	compell
urgent	pressin
us	wi
use	use
used	use
useful	have use
useless	useless
usual	same
usually	usually
utility	bills
vacation	vocation
vaccination	juk
vaccine	vaccine
vacuum	suck up
vague	vague
valid	real
valley	valley
valuable	have value
value	value
variety	diffrent diffrent
various	diffrent
vary	vary
vase	vaze
vast	wide
vegetable	vegiteble
vegetables	vegiteble
vehicle	veekle
vendor	venda
venom	poisin
venture	venture
venue	venue
verify	verify
versatile	versatile
version	vershan
vertical	vertical
very	very
very good	gud gud
vessel	vessel
via	via
vibe	enagy
vibes	vibez
vicious	vishous
victim	victim
video	video
view	site
village	villij
villain	bad man
vinegar	viniga
vintage	vintij
violence	vilence
violent	vilent
viral	viral
virgin	virgin
virtual	virtwal
virtue	clean haat
vision	vijan
visit	cum tuh
visual	cyan si
vital	impotant
vivid	abvious
vocabulary	vocabulery
voice	vice
void	empty
volume	valume
volunteer	valinteer
vomit	piyuk
vulnerable	vulnerable
wage	pay
wages	pay
waist	wais' line
wait	wait
waiter	waita
waiting	a wait
wake	wake up
wake up	git up
walk	waak
walking	waak
wall	wall
wallet	wallit
wander	move roun'
wanna	want tuh
want	waan
wanted	did waan
war	war
wardrobe	waadrob
warehouse	warehouse
warm	waam
warn	wawn
warning	waanin
warrior	solja
was	ben deh
wash	wash
waste	waste
watch	watch
water	Wata
watermelon	melan
wave	wave
way	way
we	wi
we are	wi a
we can	wi cyan
weak	weak
weakness	weakniss
wealth	cashy
wealthy	wealty
wear	put on
wearing	a wear
weather	wedda
wedding	weddin'
Wednesday	Wensday
weed	pick out
week	inna e week
weekend	weeken
weight	weight
weird	weird
welcome	welcum
welfare	welfare
Well	Well
well done	gud jab
went	guh
were	did a
west	wes
wet	wet up
whale	whale
what	wah
what about you	wah bout yuh
what are you doing	weh yah do
what are you doing now	weh yuh a do now
what are you doing right now	weh yuh duh yah now
what do you do	wah yuh duh
what do you do for a living	weh yuh duh fi a livin
what do you mean	weh yuh mean
what do you want	weh yuh waan
what happened	wah happn
what is	a wah
what is this	a wah dis
what is your job	wah kinna wuk yuh duh
what is your name	weh yuh name
what's up	wah gwaan
what's your name	weh yuh name
whatever	wateva
wheat	wheat
wheel	tire
when	wen
whenever	wen eva
where	weh
where are you	weh yuh deh
where are you from	weh yuh cum from
where are you now	weh yuh deh now
where do you live	weh yuh live
where is	a weh
whereas	az
whether	wedda
which	wish
while	wile
whisper	wispa
whistle	blow
white	white
who	who
who are you	hu yuh bi
who is	a who
who is this	a who dis
whole	hola
whom	ho fa
whose	ho fah
why	wah mek
why not	wah mek
wicked	wickid
wide	wide
widow	hussy ded
width	wit
wife	wify
wild	wile
will	we
willing	wi dweet
win	a win
wind	breeze
window	window
windy	breezy
wine	wine
winter	winta
wipe	wipe up
wire	wyah
wisdom	briteness
wise	brite
wish	ope fah
wish you all the best	wish yuh all di bess
witch	witch
with	wid
withdraw	tek out
withdrawal	withdraw
within	inna
without	widout
witness	witniss
witty	smaat
wolf	wulf
woman	oman
women	oman
won	wan
won't	naaw guh
wonder	wanda
wonderful	wandaful
wood	wud
wool	wool
word	wud
words	wud dem
work	wuk
work out	wurk out
working	a wuk
world	wurl
worm	wurm
worn	dun wear
worried	fret
worry	fret
worse	di baddess
worship	praise
worst	worse
worth	wut
worth it	wut i
worthy	wurdy
would	woulda
wound	cut
Wow	Jeezam
wrap	rap up
wrath	fury
wrist	ris
write	rite
Write here	rite yah suh
writing	a rite
written	rite dung
wrong	rang
wrote	rite
yard	yaad
yawn	yawn
Yeah	Mhm
year	ear
years	eternity
yeast	fungus
yell	shout
yellow	yellow
Yes	Yea
yes baby	yea babes
yes dear	yea dear
yes honey	yea 'oney
yes my love	yea mi luv
yes of course	yea af course
yesterday	yestideh
yet	yet
yield	gi way
you	yuh
you are	yuh a
you are beautiful	yuh pretty enuh
you are so beautiful	yuh pretty enuh
you are welcome	yuh welcum
you can	yuh can
You know	yuh dun know
you too	yuh tuh
you're welcome	yuh welcum
young	fresh
your	fi yuh
your welcome	yuhwelcum
yourself	yuhself
youth	youngin
you’re welcome	yuh welcum
yummy	taas gud
zero	zero
