сахал	a little
политика	policy
сăпайлă	polite
вараланчăк	pollution
пĕве	pond
бассейн	pool
пăх	poop
чухăн	poor
шаплаттарни	pop
сумлă	popular
пурăнакан халăх	population
сысна ашĕ	pork
пăтă	porridge
порт	port
позици	position
майлă	positive
тытса тăр	possess
пурлăх	possession
камăнлăх	possessive
пулма пултаракан	possible
пĕлтер	post
пĕлтерӳ	post
кайрана хăвар	postpone
çĕр улми	potato
пулма пултаракан	potential
стерлинг фунчĕ	pound
чухăнлăх	poverty
хăват	power
хăватлă	powerful
куллен усă курмалли	practical
хăнăх	practice
меслет	practice
мухта	praise
шалча	prank
кĕл ту	pray
хаклă	precious
тĕп-тĕрĕс	precise
шăп та шай	precisely
пулассине кала	predict
мала хур	prefer
мала хуни	preference
йывăр çын	pregnant
пĕлсех тăни	prejudice
пÿлĕм	premises
преми	premium
хатĕрленÿ	preparation
хатĕрле	prepare
хатĕр	prepared
сӑлтавӗ	preposition
пурри	presence
хальхи	present
парне	present
халь	present
презентаци	presentation
хуп	preserve
президент	president
пусни	press
пус	press
пусăм	pressure
кӳште	pretend
илĕртӳллĕ	pretty
сирсе яр	prevent
малтанхи	previous
тупӑш	prey
хак	price
мăнаçлăх	pride
священник	priest
пĕрремĕш	primary
чи лайӑххи	prime
принцесса	princess
аслă	principal
маларах	prior
приоритет	priority
тĕрме	prison
пӗччен пулни	privacy
харпăр	private
çăмăллăх	privilege
преми	prize
пулĕ	probably
ыйту	problem
процедура	procedure
малалла тăс	proceed
тирпейле	process
процесс	process
туса кăлар	produce
продукт	product
производство	production
професси	profession
професионал	professional
профиль	profile
тупăш	profit
тарăн шухăшлă	profound
прогресс	progress
малалла пыр	progress
проект	project
палăрăмлă	prominent
сăмах пани	promise
сăмах пар	promise
малалла яр	promote
малалла кайни	promotion
хӑвӑрт	prompt
хырăм çинче выртакан	prone
кала	pronouns
сӑмах каланăвĕ	pronunciation
çи витти	proof
тĕрĕс	proper
лайăх	properly
паллисем	properties
пурлăх	property
сĕнӳ	proposal
малашлӑх	prospect
вӑйлӑ аталанни	prosperity
ăнăçуллă	prosperous
хутĕле	protect
мăнаçлă	proud
кӑтартса пар	prove
тивĕçтер	provide
янтăланă	provided
провинци	province
саппас	provision
çитĕнсе çитни	puberty
обществăлла	public
турт	pull
кавăн	pumpkin
пунктуаллӑ	punctual
вĕренекен	pupil
туян	purchase
таса	pure
кĕрен	purple
тĕл	purpose
енчĕк	purse
тытса пыр	pursue
хӑвалани	pursuit
чыш	push
хур	put
ăсталăх	qualification
пахалăх	quality
хисеп	quantity
карантин	quarantine
тавлаш	quarrel
тавлашу	quarrel
чĕрĕк	quarter
Кечуала	Quechua
королева	queen
хӑйне евĕрлĕ	queer
ыйту	query
ыйту	question
черете тăр	queue
черет	queue
хăвăрт	quick
хăвăрт	quickly
шăп	quiet
хайса çĕле	quilt
çитет	quit
çителĕклĕ	quite
йӑлт	quite
квиз	quiz
хакла сӗнӳ	quotation
цитат	quote
цитатăла	quote
кавычкăсем	quotes
кролик	rabbit
ăмăрту	race
хаярлӑх	rage
çумăр	rain
çĕкле	raise
çĕклени	raise
çĕкленнĕ	raised
чупнă	ran
суйласа	random
анлăш	range
вӑрт-варт	rapid
ыткăнса	rapidly
сайра	rare
сайра	rarely
силлени	rash
йĕкехÿре	rat
хак	rate
пайтах	rather
пропорци	ratio
ăслă-тăнлă	rational
чĕртавар	raw
çит	reach
çитнĕ	reached
реакци	reaction
вула	read
вулани	reading
хатĕр	ready
чӑн	real
чăнлăх	reality
ăнкарса ил	realize
пурнӑҫа кӗртнӗ	realized
чăннипех	really
кайри	rear
сӑлтав	reason
рационаллӑ	reasonable
тепĕр хут шăнкăравла	recall
рецепт	receipt
ил	receive
илнĕ	received
тин	recent
нумаях пулмасть	recently
йышăну	reception
рецепт	recipe
пахмат	reckless
паллани	recognition
палла	recognize
сĕн	recommend
сĕннĕ	recommended
çырни	record
çыр	record
ҫӗнӗрен ту	recover
юсав	recovery
тӳркĕтеслĕх	rectangle
хӗрлӗ	red
тÿлесе ил	redeem
хӑтару	redemption
пĕчĕклет	reduce
тепĕр хут	redundant
пăх	refer
ссылка	reference
ӳкерсе ил	reflect
сăнарланни	reflection
тытса чар	refrain
холодильник	refrigerator
укçа-тенке тавăрса пани	refund
ан килӗш	refuse
йышӑнман	refused
мĕне те пулин пăхни	regard
ҫыхăннӑ	regarding
пăхмасăр	regardless
хисеплесе	regards
регион	region
реестр	register
пӑшӑрхан	regret
шавах	regular
тӑтӑш	regularly
тирке	reject
ҫыхăнса тăр	relate
çыхăннă	related
хутшăну	relationship
тăван	relative
тăванлăх	relative
тӑвансем	relatives
çемçел	relax
хăтарни	release
хăтар	release
кăларнă	released
кирлĕ пек	relevant
шанчӑклӑ	reliable
лăш кайни	relief
хăтар	relieve
кăларнă	relieved
тĕн	religion
тӗн	religious
хирĕç тăракан	reluctant
шанса тăр	rely
юл	remain
юлашки	remaining
паллă	remarkable
пĕтер	remedy
асту	remember
аса илтер	remind
аса илтерни	reminder
инçет	remote
кăларса ил	remove
ту	render
арендăла	rent
юса	repair
тепĕр хут ту	repeat
улăштар	replace
хуравла	reply
хурав	reply
отчет ту	report
отчет	report
паллаштар	represent
чаплăлăх	reputation
ыйт	request
ыйту	request
ыйт	require
кирли	required
хăтар	rescue
тĕпчев	research
пӗрпеклӗхлĕ пул	resemble
тарăху туйăмĕ	resentment
резервлани	reservation
резерв	reserve
резидент	resident
отставкӑна тух	resign
пиçĕлĕх	resilience
пиҫӗ	resilient
хирĕç тăр	resist
хирĕç тăру	resistance
йышăну	resolution
шухăш тыт	resolve
курорт	resort
ресурссем	resources
хисеп	respect
хисепле	respect
хуравла	respond
хурав	response
яваплăх	responsibility
шанчăклă	responsible
кан	rest
тăпри çăмăл пултăр	rest in peace
ресторан	restaurant
юсаса ҫитер	restore
чар	restrict
результат	result
результатсем	results
резюме	resume
расна суту-илÿ	retail
хăвар	retain
тытса чарни	retention
ӗҫрен кӑларнӑ	retired
чак	retreat
каялла тавăр	retrieve
таврăн	return
уҫ	reveal
уҫнӑ	revealed
тавăру	revenge
тупăш	revenue
каялла	reverse
пăхса тухни	review
пăхса тух	review
тепĕр хут ту	revise
редакци	revision
революци	revolution
чыслав	reward
ритм	rhythm
аяк пӗрчи	rib
рис	rice
пуян	rich
хӑтар	rid
кайса килни	ride
утлан	ride
кулăшла	ridiculous
сылтăм	right
тĕрĕслĕх	right
çак самантрах	right now
хытă	rigid
çĕрĕ	ring
чÿхе	rinse
култармăш	riot
ҫурӑлу	rip
çурăл	rip
пиçнĕ	ripe
ÿсни	rise
ÿстер	rise
хатарлăх	risk
хатарлан	risk
тупăшуçă	rival
юхан шыв	river
çул	road
ăшала	roast
патвар	robust
чул купи	rock
йĕпсе	rod
вырăн	role
рулон	roll
хупă	roof
пÿлĕм	room
тымар	root
кантра	rope
пăсăк	rotten
яка мар	rough
тӳрккессӗн	roughly
саврака	round
маршрут	route
яланхи	routine
рет	row
сăтăр	rub
резина	rubber
ӑпӑр-тапӑр	rubbish
евĕксĕр	rude
кавир	rug
ишĕлчĕк	ruin
правилă	rule
линейка	ruler
правилӑсем	rules
чуп	run
чупу	running
ялти	rural
вăркăн	rush
васкав	rush
мишук	sack
сакраллă	sacred
парне кÿр	sacrifice
хăрамалла мар	safe
хăрамалла мар вĕçев	safe flight
хăрушсăрлăх	safety
ӑслӑ ҫын	sage
каларĕ	said
парăс	sail
карапа тытса пыни	sailing
сăлтав	sake
шалу	salary
суту--илÿ	sale
лосось	salmon
тăвар	salt
пĕрпек	same
Кунта çавăн пекех	Same here
пример	sample
хăйăр	sand
Санскритла	Sanskrit
сарказмлă	sarcastic
ҫивӗч чӗлхеллӗ	sassy
лар	sat
çырлаху	satisfaction
кăмăлĕ тулнă	satisfied
тивĕçтер	satisfy
юрамалла	satisfying
шăмат кун	Saturday
кăлпасси	sausage
сĕмсĕр	savage
хăтар	save
курчĕ	saw
кала	say
виçе	scale
ултавлă ĕç	scam
йĕр	scar
пурлă-ҫуклӑ	scarce
хăранă	scared
шарф	scarf
хăратакан	scary
сапаланчӑк	scattered
сцена	scene
пейзаж	scenery
ырӑ шӑршӑ	scent
график ту	schedule
график	schedule
шкул	school
наука	science
ученӑй	scientist
ăсчахсем	scientists
хачă	scissors
ятла	scold
сфера	scope
шут	score
татăк	scrap
шăйăрăлчăк	scratch
кӑшкӑру	scream
экран	screen
винт	screw
почерк	script
тинĕс	sea
пичет	seal
шырав	search
сезон	season
вырăнти	seat
иккĕмĕш	second
вăрттăнлăх	secret
секци	section
хăрушсăрлантар	secure
хăрушсăрлăх	security
кур	see
тĕл пулапăр-ха	see you
курнăçăпăр	see you later
курнӑҫӑпӑр	see you soon
ыранччен	see you tomorrow
вăрлăх	seed
шыра	seek
туйăнать	seem
туйăнать	seems
курни	seen
ярса ил	seize
конфискаци	seizure
сайра	seldom
суйла	select
хам	self
хăйне хăй сиплекен	self healing
хăй çине ытлашши шанакан	selfish
сут	sell
яр	send
сăн ÿкерчĕкне ман пата ярса пар	send me your picture
аслă	senior
туйăм	sense
ӑслӑ-тӑнлӑ	sensible
сисчĕвлĕ	sensitive
отправленный	sent
предложени	sentence
предложенисем	sentences
уйрăм	separate
Сепедила	Sepedi
авăн уйăхĕ	september
йĕрке	sequence
сери	series
тарӑн шухӑшлакан	serious
татăклă	seriously
тивĕçтер	serve
пулăшу	service
сесси	session
набор	set
наборла	set
вырнаçтар	set up
параметрсем	setting
халăх пурăн	settle
çиччĕ	seven
вун çиччĕ	seventeen
çитмĕл	seventy
темиçе	several
йывӑр	severe
çĕле	sew
тӗс	shade
мĕлке	shadow
кисренӳ	shake
ăшăх	shallow
намăс	shame
форма	shape
пайла	share
ҫивĕч	sharp
вăл	she
унăн пур	she has
вăл	she is
витнĕ вырăн	shed
сурăх	sheep
лист	sheet
çÿлĕк	shelf
раковина	shell
лупас	shelter
щит	shield
смена	shift
çиç	shine
карап	ship
турттарни	shipping
арçын кĕпи	shirt
туфли	shoes
пер	shoot
лавкка	shop
туяну	shopping
çыран	shore
кĕске	short
ҫитменлӗх	shortage
ӳкерчĕк	shot
ӳкерчĕк ту	shot
хул пуççи	shoulder
кăшкăр	shout
кăтарт	show
кăтарту	show
мана кăтарт	show me
душ	shower
креветка	shrimp
пĕчĕклетес	shrink
хуп	shut
хуп	shut up
вăтанчăк	shy
пĕр тăван	sibling
пĕр тăвансем	siblings
чирлĕ	sick
ен	side
ассӑн сывлани	sigh
курăм	sight
паллӑ вырӑнсене пӑхса çӳрени	sightseeing
паллӑ	sign
алă пусни	signature
пĕлтерĕшлĕ	significant
шăплăх	silence
шăплăх	silent
пурçăн	silk
ăссăр	silly
кĕмĕл	silver
пĕрпек	similar
айван	simp
ахаль	simple
пĕр вăхăтрах	simultaneously
унтанпа	since
таса чӗреллӗ	sincere
тӳрĕ кăмăлпа	sincerely
юрлама	sing
юрăçă	singer
пĕччен	single
раковина	sink
анса кай	sink
Господин	Sir
йăмăк	sister
хӗрсем	sister in law
лар	sit
площадка	site
лару-тӑру	situation
улттă	six
вун улттă	sixteen
утмăл	sixty
размер	size
хăнăху	skill
ăслай	skills
тир	skin
типшӗм	skinny
сиктерсе хăвар	skip
юбка	skirt
тÿпе	sky
чура	slave
çывăр	sleep
çывăракан	sleeping
ыйхăллă	sleepy
çанă	sleeve
чĕлĕ	slice
чĕллĕн-чĕллĕн кас	slice
слайд	slide
кăштах	slightly
яштака	slim
вăрттăн тар	slip
тайлӑк	slope
хушăк	slot
ерипе	slow
майпен	slowly
пĕчĕккĕ	small
хӳхĕм	smart
шăршă	smell
кул	smile
кулă	smile
тĕтĕм	smoke
яка	smooth
ҫырткаламалли	snack
шуй	snail
çĕлен	snake
шĕкĕлче	snap
юр	snow
çапла	so
питĕ çивĕч ăслă	so cute
ку таранччен	so far
кĕлер	soak
супăнь	soap
урӑ ҫын	sober
соккер	soccer
хутшăнма юратакан	social
общество	society
нуски	socks
ҫемҫе	soft
программа	software
тăпра	soil
сутăннă	sold
сутăннă	sold out
салтак	soldier
атă-пушмак тĕпĕ	sole
хытă	solid
мел	solution
шутла	solve
кăшт	some
камтăр	somebody
темле май	somehow
камтӑр	someone
мĕн те пулин	something
хутран-ситрен	sometimes
юрă	song
час	soon
çепĕç	sophisticated
Соранила	Sorani
чирлĕрех	sore
ыратни	sore
пыр ыратни	sore throat
хуйхă	sorrow
Каçарăр	Sorry
уйăр	sort
шырамалли	sought
чун	soul
çывăх чун	soulmate
сасă	sound
яшка	soup
йӳçек	sour
сӑлтав	source
кăнтăр	south
космос	space
спам	spam
хушă	span
Испанла	Spanish
янтăлăх	spare
сыхла	spare
калаçма	speak
юри	special
тĕс	species
ятарлă	specific
курăмлă	spectacular
калаçу	speech
чĕмсĕр	speechless
хăвăртлăх	speed
сас паллисемпе кала	spell
тăккалан	spend
тăкакланă	spent
шарак	spicy
шӗвӗр вӗҫ	spike
çавăр	spin
шпинат	spinach
хавал	spirit
сирпĕт	spit
капăр	splendid
пайл	split
пайлани	split
пăсăл	spoil
пăсăк	spoiled
питĕ хăвăрт	spontaneous
кашăк	spoon
пăнчă	spot
мăшăр	spouse
сар	spread
çуркунне	spring
квадрат	square
пӑчӑртаса кӑлар	squeeze
кальмар	squid
пакша	squirrel
чик	stab
çирĕп	stable
хутлă-хутлă çӳлĕк	stack
штат	staff
картлашка	stage
морилка	stain
картлашкисем	stairs
шалчасемпе ҫап	stake
мăнаçлăн ут	stalk
киоск	stall
пичет	stamp
тăр	stand
стенд	stand
стандартлă	standard
çăлтар	star
пуçла	start
пуçларĕ	started
выҫӑллӑ-тутӑллӑ	starving
кăтарт	state
хал	state
çирĕплетсе калани	statement
станци	station
статуя	statue
статус	status
чарăн	stay
чарăну	stay
асăрхануллă пул	stay safe
çирĕп	steady
стейк	steak
вăрла	steal
пăс	steam
хурçă	steel
чӑнкӑ вырӑн	steep
кӗпҫе	stem
утăм	step
патак	stick
пиçĕ мар	stiff
лăпкă	still
лăп	still
сăнă	sting
хыт кукар	stingy
пăтрат	stir
янтă пурри	stock
вăрланă	stolen
хырăм	stomach
чул	stone
тăнă	stood
пукан	stool
чарăн	stop
управ	storage
упра	store
тăвăл	storm
калав	story
плита	stove
тӳрĕ	straight
тӳрĕ	straightforward
тăс	strain
тĕлĕнтермĕш	strange
ҫул ҫӳревҫӗ	stranger
стратеги	strategy
улăм перчи	straw
ҫӗр ҫырли	strawberry
çинçе йĕр	streak
юхăм	stream
урам	street
вӑй-хал	strength
пăлхану	stress
турт	stretch
çирĕп	strict
çап	strike
хĕлĕх	string
ансӑр йӗр	strip
пурнăçла	strive
сулăм	stroke
вăйлă	strong
çапнă	struck
тытăм	structure
кĕрешӳ	struggle
кĕреш	struggle
кĕрешекен	struggling
улшăнми	stubborn
кĕрсе ларнă	stuck
студент	student
вӗренӳ	study
вӗрен	study
вӗренӳ	studying
япала	stuff
хăлхана çуракан	stunning
ухмах	stupid
стиль	style
предмет	subject
пăхса тухма пани	submission
пăхса тух	submit
япала	substance
вырнаҫтар	substitute
вăрттăн	subtle
преемник пул	succeed
ăнăçу	success
ăнăçуллă	successful
капла	such
çавăн пек	such as
сăхса ил	suck
кӗтмен ҫӗртен	sudden
кĕтмен çĕртен	suddenly
аптăра	suffer
асапланакан	suffering
çителĕклĕ	sufficient
сахăр	sugar
сĕн	suggest
сĕнÿ	suggestion
тивĕçтер	suit
костюм	suit
юрăхлă	suitable
чăматан	suitcase
сумма	sum
сводка	summary
çулла	summer
аслă шайлă канашлу	summit
хĕвел	sun
вырсарни кун	sunday
хĕвеллĕ	sunny
хĕвел анăç	sunset
хĕвел çути	sunshine
супер	super
çÿлти	superior
тĕрĕслевçĕ	supervisor
каçхи апат	supper
илсе кил	supply
илсе килни	supply
пулăшу	support
пулăш	support
шан	suppose
шухӑшлакан	supposed
шанăçлă	sure
çий	surface
шăмпăлтату	surge
хирург	surgery
хушамат	surname
кĕтменлĕх	surprise
тӗлӗннӗ	surprised
парăн	surrender
таврари	surrounding
асăрхав	surveillance
тĕпчев	survey
тĕпче	survey
чĕрĕ юл	survive
шанманлӑх	suspect
сиссе ил	suspect
çакăнса тăракан	suspended
иккĕлентерекен	suspicious
чăтса ирттер	sustain
тавралăх патне тимлĕ пулни	sustainability
çирĕп	sustainable
усӑнса ан	swag
чĕкеç	swallow
ылмаштар	swap
тупа ту	swear
тар	sweat
свитер	sweater
шăл	sweep
пылак	sweet
тутлӑ тĕлĕксем	sweet dreams
пылак юратакан	sweet tooth
пылак юратакан	sweetheart
кÿпчесе кай	swell
кӳпчени	swelling
иш	swim
ишев	swimming
ярӑнчӑк	swing
суллан	swing
переключатель	switch
куҫар	switch
шыçăннă	swollen
хĕç	sword
паллӑ	symbol
симпати	sympathy
паллăсем	symptoms
система	system
сĕтел	table
хатӗр-хӗтӗр	tackle
тэг	tag
хÿре	tail
ил	take
илсе кай	take away
пăх	take care
салтăн	take off
илнĕ	taken
калаҫу	talk
калаҫ	talk
калаçма юратакан	talkative
ҫуллӗ	tall
шаккани	tap
шакка	tap
пленка	tape
тӗл ларт	target
тӗл	target
хушнă ĕç	task
тутан	taste
тутă	taste
тутлă	tasty
вӗрентрӗ	taught
чей	tea
вĕрент	teach
вĕрентекен	teacher
команда	team
ăнтăл	tear
куççуль	tears
чăркăш	tease
технологи	technology
шăлсем	teeth
каласа пар	tell
мана кала	tell me
екки	temper
температура	temperature
шаблон	temple
вӑхӑтлӑх	temporary
вуннă	ten
вунă пин	ten thousand
хваттерте пурăнакан	tenant
тайăл	tend
тенденци	tendency
тендер	tender
вăхăт	tense
карӑнтарни	tension
палатка	tent
хӑюсӑр	tentative
термин	term
терминсем	terms
хӑрамалла	terrible
калама ҫук	terrific
территори	territory
тĕрĕслев	test
тĕрĕсле	test
текст	text
тав ту	thank
тавтапуç	thank you
Тав сире чăтăмлă пулнăшăн эпир яракан япалана тĕрĕсленĕ вăхăтра	Thank you for your patience while we investigate shipment
пысăк тав сана	thank you so much
пысăк тав	thank you very much
тав	thanks
Тавтапуç пирĕн приложенипе усă курнăшăн	Thanks for using our app
çав	that
çак	that is
ку лайăх	that's good
вăрлани	theft
вĕсен	their
вĕсене	them
тема	theme
хăйсемех	themselves
унтан	then
теори	theory
унта	there
пур	there are
эппин	therefore
кусем	these
вӗсем	they
вĕсем	they are
хулăм	thick
вăрă	thief
пĕçĕ	thigh
çинçе	thin
япала	thing
япаласем	things
шутла	think
виççĕмĕш	third
ӗҫес килет	thirsty
вун виççĕ	thirteen
вăтăр	thirty
ку	this
ку	this is
тӗплӗ	thorough
тĕплĕ	thoroughly
вĕсем	those
çавах	though
шухăшланă	thought
шухăшла	thought
шухăшлă	thoughtful
шухăшсем	thoughts
пин	thousand
çип	thread
хăрушлăх	threat
хăратса тар	threaten
виççĕ	three
чикĕ	threshold
чӗтре	thrilled
паркалан	thrive
пыр	throat
витĕр	through
пĕтĕм	throughout
ывăт	throw
пуç пÿрне	thumb
аслати	thunder
Кĕçнерникун	Thursday
çавна пула	thus
тиклет	tick
юхӑм май иш	tide
тирпейлĕ	tidy
çых	tie
йăлă	tie
тигр	tiger
хивре	tight
Тигриньяла	Tigrinya
вӑхӑт	time
шиклĕ	timid
пĕчĕк	tiny
вĕç	tip
усăллă канашсем	tips
шина	tire
ывăннă	tired
пусма	tissue
ят	title
еннелле	to
пул	to be
гренок	toast
паян	today
утма вӗренекен пӗчӗк ача	toddler
ура пÿрни	toes
пĕрле	together
туалет	toilet
каланă	told
чăтăмлăх	tolerance
тÿс	tolerate
помидор	tomato
ыран	tomorrow
чĕлхе	tongue
кĕçĕр	tonight
та	too
илчĕ	took
мел	tool
мелсем	tools
шăл	tooth
çӳлти	top
тема	topic
ҫӗтӗк	torn
асап	torture
пурĕ	total
тĕкĕн	touch
хытă	tough
тур	tour
хирĕç	toward
хирӗҫ	towards
башня	towel
пысăк мар хула	town
наркăмăшлă	toxic
йĕр	trace
йĕр	track
суту-илӳ	trade
сутă ту	trade
йăла	tradition
йăлана кĕнĕ	traditional
куçăм	traffic
йӗрле	trail
поезд	train
вĕрентÿ	training
паллă уйрăмлăх	trait
пит-куҫ йӗрӗсем	traits
куçар	transfer
куҫни	transition
куçар	translate
витӗр курӑнакан	transparent
транспорт	transport
турттарса куçар	transportation
капкăн	trap
çÿп-çап	trash
травма	trauma
ҫул ҫӳре	travel
поднос	tray
мул	treasure
сипле	treat
сыватни	treatment
йывăç	tree
мăнă	tremendous
тренд	trend
тĕрĕслени	trial
чеелĕх	trick
тăрăшнă	tried
тапратса ямалли япала	trigger
тапратса яр	trigger
чутла	trim
ҫул ҫӳрев	trip
ырă мар япала	trouble
йĕм	trousers
грузовик	truck
чăнлăх	true
хобот	trunk
шанăç	trust
шан	trust
тĕрĕслĕх	truth
тăрăш	try
Тсонгала	Tsonga
пăрăх	tube
Ытлари кун	Tuesday
вĕренÿшĕн тÿлемелли хак	tuition
кăркка	turkey
куркума	turmeric
пăр	turn
тимĕр шапа	turtle
воспитатель	tutor
вун иккĕ	twelve
çирĕм	twenty
çирĕм пĕрре	twenty-one
Твила	Twi
икĕ хут	twice
пĕтĕр	twist
иккĕ	two
тĕс	type
кăтартуллă	typical
сăнсăр	ugly
татӑклӑ	ultimate
сунчăк	umbrella
пултарайман	unable
пичче	uncle
тӑнран кайнӑ	unconscious
айĕнче	under
аялти пайĕ	underneath
кирлĕ пек хакламан	underrated
ăнлан	understand
ăнланчĕ	understood
шел	unfortunately
униформа	uniform
пĕртен-пĕр	unique
пĕрре	unit
университет	university
паллă мар	unknown
çитиччен	until
хайне евĕрле	unusual
çӳлте	up
санран килет	up to you
ҫӗнет	update
ҫӗнетни	update
модернизациле	upgrade
модернизаци	upgrade
хыççӑн	upon
салху	upset
хулари	urban
васкат	urge
хăвăрт	urge
хăвăрт	urgent
пире	us
усă курни	use
усă кур	use
усă курнă	used
киревлĕ	useful
усăсăр	useless
яланхи пек	usual
куллен	usually
инженер тетелӗсем	utility
каникул	vacation
вакцинаци	vaccination
вакцина	vaccine
вакуум	vacuum
уçăмсăр	vague
вăйне çухатман	valid
айлӑм	valley
хаклă	valuable
хак	value
хакла	value
тĕрлĕлĕх	variety
тĕрлĕрен	various
уйрăлса тăр	vary
ваза	vase
пысăк	vast
пахча çимĕç	vegetable
пахча çимĕçсем	vegetables
грузовой машина	vehicle
поставщик	vendor
тарӑхтар	venom
предприяти	venture
ирттермелли вырӑн	venue
тĕрĕсле	verify
тĕрлĕ енлĕ	versatile
верси	version
вертикальлĕ	vertical
питĕ	very
питĕ лайăх	very good
карап	vessel
урлӑ	via
сисĕм	vibe
туйăм	vibes
пăсăк	vicious
инкек курни	victim
видео	video
курăм	view
ял	village
путсӗр	villain
уксус	vinegar
винтажлӑ	vintage
ирӗксӗрлӗх	violence
хаяр	violent
анлă саралнă	viral
çын пырса тĕкĕнмен	virgin
чăн пурнăçри мар	virtual
чыслăх	virtue
курӑну	vision
пырса кур	visit
пырса курни	visit
куçпа пăхма пулать	visual
пысăк пĕлтерĕшлĕ	vital
курăмлă	vivid
сăмахсар	vocabulary
сасă	voice
вăйне çухатнă	void
хисеп	volume
волонтер	volunteer
хăс	vomit
хăсăк	vomit
амантма çăмăл	vulnerable
ĕç укçи	wage
ĕçлесе илнĕ укçа	wages
пилĕк	waist
кĕт	wait
официант	waiter
кĕтекен	waiting
вăрат	wake
тăр	wake up
уҫӑлса ҫӳрени	walk
уҫӑлса ҫӳр	walk
уçăлса çӳрекен	walking
стена	wall
енчĕк	wallet
ҫӳре	wander
кӑмӑл ту	wanna
сĕмлен	want
ыйтакан	wanted
вăрçă	war
гардероб	wardrobe
склад	warehouse
ӑшӑ	warm
ӑшӑт	warm
систер	warn
асăрхаттару	warning
çар ҫынни	warrior
пулнă	was
çу	wash
салат	waste
ҫӳпӗ	waste
сăна	watch
шыв	water
арбуз	watermelon
хум	wave
çул	way
эпир	we
эпир	we are
эпир пултаратпăр	we can
халсăр	weak
вӑйсӑрлӑх	weakness
пуянлăх	wealth
пуян	wealthy
тăхăн	wear
тумланнă	wearing
ҫут-ҫанталӑк	weather
туй	wedding
Юн кун	Wednesday
çум	weed
эрне	week
кану кунĕ	weekend
виç	weight
виçе	weight
темĕскерле	weird
ырă сунса кĕтетпĕр	welcome
ырлӑх	welfare
Аван	Well
лайăх тунă	well done
кайрĕ	went
пулчĕç	were
анăç	west
йӗперех	wet
кит	whale
мĕн	what
эсӗ мӗнле	what about you
эсир мĕн тăватăр	what are you doing
халĕ эсир мĕн тăватăр	what are you doing now
эсĕ халь мĕн тăватăн	what are you doing right now
кам пулса ĕçлетĕр	what do you do
эсĕ мĕн ĕçлесе пурăнатăн	what do you do for a living
эсĕ мĕн каласшăн кунпа	what do you mean
сана мӗн кирлӗ	what do you want
мĕн пулчĕ	what happened
мĕн	what is
ку мĕн	what is this
эсĕ кам пулса ĕçлетĕн?	what is your job
эсĕ мĕн ятлă	what is your name
мĕн пулчĕ?	what's up
Эсĕ мĕн ятлă	what's your name
кирек мĕн	whatever
тулă	wheat
кустăрма	wheel
хăçан	when
хăçан та пулин	whenever
ăçта	where
эсĕ ӑҫта	where are you
ăçтан эсир	where are you from
эсӗ ӑҫта халь	where are you now
эсĕ ăçта пурăнатăн	where do you live
ăçта	where is
шута илсе	whereas
ши	whether
хăшĕ	which
çав вăхăтрах	while
пăшăлтату	whisper
шăхличĕ	whistle
шурă	white
кам	who
эсӗ кам пулатӑн	who are you
кам	who is
кам ку	who is this
пӗтӗмпех	whole
кама	whom
камӑн	whose
мĕншĕн	why
ма çук	why not
сипетсĕр	wicked
сарлака	wide
тăлăх арăм	widow
анăш	width
арăм	wife
тискер	wild
ăнтăлу	will
хаваллă	willing
çĕнтер	win
çил	wind
чÿрече	window
ҫиллӗ	windy
эрех	wine
хĕл	winter
шăл	wipe
пралук	wire
ăслăх	wisdom
ăс-халлă	wise
сун	wish
сунни	wish
сана чи пахине сунатăп	wish you all the best
тухатмăш	witch
пĕрле	with
каялла ил	withdraw
чӗнсе ил	withdrawal
вăхăтĕнче	within
свидетель	witness
кăтартса пар	witness
çивĕч ăслă	witty
кашкăр	wolf
хĕрарăм	woman
хĕрарăм	women
çĕнтернĕ	won
пулмастӑп	won't
асам	wonder
ытарма çук	wonderful
вутă	wood
çăм	wool
сӑмах	word
сăмахсем	words
ĕçле	work
ĕç	work
туса кăлар	work out
ĕçлекен	working
мир	world
ăман	worm
çĕтĕлнĕ	worn
хумханса кайнă	worried
пăшăрхан	worry
начартарах	worse
шута хуни	worship
чи япӑххи	worst
пахалӑх	worth
тĕшне тăрать	worth it
тивӗҫлӗ	worthy
суран	wound
Ой-ой	Wow
чĕрке	wrap
витĕр тарӑху	wrath
алă сулли	wrist
çыр	write
Кунта çыр	Write here
çыру ĕçĕ	writing
çырнă	written
йăнăш	wrong
çырчĕ	wrote
картиш	yard
анасла	yawn
анаслу	yawn
Ăхă	Yeah
çул	year
çулсем	years
çĕпре	yeast
çухăрни	yell
сарă	yellow
Çапла	Yes
çапла пепкем	yes baby
çапла, хаклă çыннăм	yes dear
çапла чунăм	yes honey
çапла манăн юратăвăм	yes my love
паллах	yes of course
ĕнер	yesterday
ха	yet
тухăçлăх	yield
эсир	you
эсĕ	you are
эсир хитре	you are beautiful
эсир питĕ хитре	you are so beautiful
ырă сунса кĕтетпĕр	you are welcome
эсĕ пултаратăн	you can
Эсĕ пĕлетĕн	You know
эсĕ те	you too
ырӑ сунса кӗтетпӗр	you're welcome
çамрăк	young
сирĕн	your
ырă сунса кĕтетпĕр	your welcome
хам	yourself
çамрăксем	youth
ырă сунса кĕтетпĕр	you’re welcome
тутлă	yummy
ноль	zero
