abandoned	جێهێڵراو
pepper	بیبەر
perceive	وەرگرتن
perception	وەرگرتن
perfect	بێخەوش
performance	ئەدا
perform	ئەنجامدان
perhaps	بێگومان
period	ماوە
permanent	هەمیشەیی
permission	ڕێپێدان
permit	ڕێپێدان
perseverance	پاراستن
persistent	بەردەوام
personality	کەسایەتی
personal	کەسی
person	کەس
perspective	تێڕوانین
persuade	ڕازیکردن
pervert	لادەر
pet	ئاژەڵی ماڵی
phase	قۆناغ
phenomenon	دیاردە
philosophy	فەلسەفە
phone	تەلەفۆن
photo	وێنە
phrase	گرێ
physical	جەستەیی
pick up	هەڵگرتن
pick	هەڵگرتن
picture	وێنە
pieces	پارچەکان
piece	پارچە
pigeon	کۆتر
pig	بەراز
pile	کەڵەکە
pillow	سەرین
pilot	فڕۆکەوان
pineapple	ئەنەناس
pink	پەمبە
pin	دەمبوز
pitch	ئاوازی دەنگ
pity	بەزەیی
pit	چاڵ
places	شوێنەکان
place	شوێن
plague	تاعون
plain	تەخت
plane	فڕۆکە
plants	ڕووەکەکان
plant	درەخت
plan	پلان
plate	قاپ
platform	پلاتفۆرم
playing	یاری کردن
play	یاری
pleasant	خۆش
pleased	خۆشحاڵ
please	تکایە
pleasure	خۆشی
pledge	پەیمان دان
plenty	زۆرێک
plot	پیلان
plug	پلاک
plumber	بۆڕیچی
plum	ئالوبالو
plural	کۆ
podcast	پۆدکاست
poem	هۆنراوە
poetry	هۆنراوە
point	خاڵ
poison	ژەهر
police	پۆلیس
policy	سیاسەت
polite	بەڕێز
pollution	پیس بوون
pond	پۆند
pool	مەلەوانگە
poop	پیسایی
poor	هەژار
popular	باو
population	دانیشتوان
pop	پۆپ
pork	گۆشتی بەراز
porridge	تێکوشە
port	بەندەر
position	شوێن
positive	ئەرێنی
possession	هەبوون
possessive	خاوەنداریەتی
possess	هەبوون
possible	دەشێت
postpone	دواخستن
post	پۆست
potato	پەتاتە
potential	پێشبینیکراو
pound	پاوند
poverty	هەژاری
powerful	بەهێز
power	هێز
practical	کرداریی
practice	پەیڕەوکردن
praise	پیاهەڵدان
prank	گاڵتە
pray	نوێژ
precious	بەهادار
precisely	بە ووردی
precise	وورد
predict	پێشبینی کردن
preference	خواست
prefer	بە باش زانین
pregnant	دووگیان
prejudice	دەمارگیری
premises	ناوچەکان
premium	نایاب
preparation	ئامادەکاری
prepared	ئامادەی کرد
prepare	ئامادە کردن
preposition	ئامازی پەیوەندی
presence	هەبوون
presentation	پێشکەش کردن
present	ئێستا
preserve	پاراستن
president	سەرۆک
pressure	فشار
press	پەستان
pretend	نواندن
pretty	جوان
prevent	ڕێگری کردن
previous	پێشووتر
prey	نێچیر
price	نرخ
pride	شانازی
priest	قەشە
primary	سەرەکی
prime	سەرەکی
princess	شازادە خاتوون
principal	بەڕێوەبەر
priority	ئەولەویەت
prior	پێشوو
prison	بەندیخانە
privacy	تایبەتمەندیەتی
private	تایبەت
privilege	ئیمتیاز
prize	خەڵات
probably	ئەگەر
problem	کێشە
procedure	ڕێکار
proceed	بەردەوام بوون
process	پرۆسە
produce	بەرهەم هێنان
production	بەرهەم هێنان
product	بەرهەم
professional	پیشەگەر
profession	پیشە
profile	پرۆفایل
profit	قازانج
profound	کاریگەر
progress	بەرەو پێش چوون
project	پرۆژە
prominent	دیار
promise	پەیمان
promote	بەرزکردنەوە
promotion	بەرزکردنەوە
prompt	وەڵام
prone	بەروانکە
pronouns	جێناو
pronunciation	گۆکردن
proof	بەڵگە
properly	بەدروستی
properties	تایبەتمەندیەکان
property	سامان
proper	گونجاو
proposal	پێشنیار
prospect	لایەن
prosperity	گەشە
prosperous	سەرکەوتوو
protect	پاراستن
proud	شانازی
prove	سەلماندن
provided	دابینی کرد
provide	دابینکردن
province	پارێزگا
provision	دابینکردن
puberty	تەمەنی باڵغ بوون
public	گشتی
pull	ڕاکێشان
pumpkin	کولەکەی زەرد
punctual	لەکاتی خۆی
pupil	قوتابی
purchase	کڕین
pure	پاک
purple	مۆر
purpose	مەبەست
purse	جانتا
pursue	ئەنجامدان
pursuit	گەڕان بەدوای
push	پاڵنان
put	دانان
qualification	لێهاتوویی
quality	کواڵیتی
quantity	بڕ
quarantine	کەرەنتین
quarrel	مشتوومڕکردن
quarter	چارەک
Quechua	کێچوا
queen	شاژن
queer	نامۆ'
query	پرس
question	پرسیار
queue	نۆرە
quickly	بەخێرایی
quick	خێرا
quiet	هێمن
quilt	لێف
quite	تەواو
quit	وازهێنان
quiz	کویز
quotation	وەرگرتن
quotes	وەرگیراو
quote	وەرگرتە
rabbit	کەروێشک
race	پێشبڕکێ
rage	تووڕەیی
rain	باران
raised	بەرز کردەوە
raise	بەرزکردنەوە
random	دەگمەن
range	ڕێژە
ran	ڕای کرد
rapidly	بەخێرایی
rapid	خێرا
rarely	بە دەگمەن
rare	دەگمەن
rash	پەلەکردن
rate	ڕێژە
rather	جیا
rational	بیرمەندانە
ratio	ڕێژە
rat	جورج
raw	ڕێز
reached	گەیشت
reach	گەیشتن
reaction	کاردانەوە
reading	خوێندنەوە
ready	ئامادە
read	خوێندنەوە
reality	ڕاستی
realized	زانی
realize	ناسینەوە
really	بەڕاستی
real	ڕاستەقینە
rear	دواوە
reasonable	شیاو
reason	هۆکار
recall	بیرکەوتنەوە
receipt	ڕەچەتە
received	وەرگرت
receive	وەرگرتن
recently	بەم دواییانە
recent	بەم دواییانە
reception	پرسگە
recipe	ڕەچەتە
reckless	بێباک
recognition	پێزانین
recognize	ناسینەوە
recommended	پێشنیاری کرد
recommend	پێسنیارکردن
record	تۆمار
recovery	چاک بوونەوە
recover	چاک بوونەوە
rectangle	لاکێشە
redeem	قەرەبوو کردنەوە
redemption	ڕزگارکردن
reduce	کەمکردنەوە
redundant	دووبارە
red	سوور
reference	سەرچاوە
refer	ئاماژە
reflection	ڕەنگدانەوە
reflect	ڕەنگدانەوە
refrain	خۆ بەدوورگرتن
refrigerator	سەلاجە
refund	قەرەبوو کردنەوە
refused	ڕەتی کردەوە
refuse	ڕەتکردنەوە
regarding	سەبارەت
regardless	بێ گوێدانە
regards	سڵاو
regard	سەبارەت
region	هەرێم
register	تۆمارکردن
regret	پەشیمانی
regularly	ئاساییانە
regular	ئاسایی
reject	ڕەتکردنەوە
related	پەیوەست
relate	پەیوەست
relationship	پەیوەندی
relatives	خزمەکان
relative	خزم
relax	حەسانەوە
released	ئازاد کرا
release	ئازادکردن
relevant	پەیوەندیدار
reliable	جێ متمانە
relief	حەسانەوە
relieved	حەساوە
relieve	هێوکردنەوە
religion	ئایین
religious	ئایینی
reluctant	دوودڵ
rely	پشت پێبەستن
remaining	ماوە
remain	مانەوە
remarkable	بەرچاو
remedy	قەرەبوو
remember	بیرهاتنەوە
reminder	بیرخەرەوە
remind	بیرخستنەوە
remote	دوور
remove	لابردن
render	گۆڕین
rent	کرێ
repair	چاککردنەوە
repeat	دووبارەکردنەوە
replace	شوێن گرتنەوە
reply	وەڵامدانەوە
report	ڕاپۆرت
represent	نوێنەرایەتی
reputation	ناوبانگ
request	داواکاری
required	داواکراو
require	داواکردن
rescue	ڕزگارکردن
research	توێژینەوە
resemble	دەچێت لە
resentment	نائاسوودەیی
reservation	پاراستن
reserve	پاراستن
resident	دانیشتوو
resign	دەست لە کار کێشانەوە
resilience	گونجاویی
resilient	گونجاو
resistance	بەرگری کردن
resist	بەرگری کردن
resolution	بڕیار
resolve	توانەوە
resort	پەناگە
resources	سەرچاوەکان
respect	ڕێزگرتن
respond	وەڵامدانەوە
response	وەڵامدانەوە
responsibility	بەرپرسیاریەتی
responsible	بەرپرسیار
restaurant	چێشتخانە
rest in peace	ڕوحی شاد بێت
restore	گەڕاندنەوە
restrict	سنووردارکردن
rest	پشوو
results	ئەنجامەکان
result	ئەنجام
resume	دەستپێکردنەوە
retail	تاکفرۆشی
retain	هێشتنەوە
retention	هێشتنەوە
retired	خانەنشین
retreat	کشانەوە
retrieve	گەڕاندنەوە
return	گەڕانەوە
revealed	ئاشکرای کرد
reveal	ئاشکرا کردن
revenge	تۆڵە
revenue	داهات
reverse	پێچەوانە کردنەوە
review	پێداچوونەوە
revise	پێداچوونەوە
revision	پێداچوونەوە
revolution	شۆڕش
reward	خەڵات
re	دەربارەی
rhythm	ڕیتم
rib	پەراسوو
rice	برنج
rich	دەوڵەمەند
ride	سواربوون
ridiculous	بێمانا
rid	خۆ ڕزگارکردن
right now	ئێستا
right	ڕاست
rigid	پتەو
ring	ئەڵقە
rinse	شۆردن
riot	ناڕەزایی
ripe	گەیشتوو
rip	دابڕین
rise	بەرز بوونەوە
risk	مەترسی
rival	پێشبڕکێکار
river	ڕووبار
road	ڕێگا
roast	برژان
robust	بەهێز
rock	بەرد
rod	گۆچان
role	ئەرک
roll	خل بوونەوە
roof	بنمیچ
room	ژوور
root	ڕەگ
rope	پەت
rotten	بۆگەن
roughly	بە نزیکەیی
rough	نزیکە
round	خول
route	ڕێڕەو
routine	ڕۆتین
row	ڕیز
rubber	ڕەشکۆ
rubbish	پاشەڕۆ
rub	شێلان
rude	توند
rug	بەرماڵ
ruin	تێکدان
ruler	ڕاستە
rules	ڕێساکان
rule	ڕێسا
running	ڕاکردن
run	ڕاکردن
rural	لادێی
rush	خێرا
sack	کیس
sacred	پیرۆز
sacrifice	قوربانی
safe flight	بەهیوای گەشتێکی سەلامەت
safety	سەلامەتی
safe	سەلامەت
sage	ژیر
said	ووتی
sailing	گەشتکردن بە کەشتی
sail	چارۆک
sake	لەپێناو
salary	مووچە
sale	فرۆشتن
salmon	سەلەمۆن
salt	خوێ
Same here	هەمان شت
same	هەمان
sample	نموونە
sand	خۆڵ
Sanskrit	سانسکریت
sarcastic	گاڵتەجاڕی
sassy	بێ شەرم
satisfaction	ڕازیکردن
satisfied	ڕازی
satisfying	ڕازیکەر
satisfy	ڕازی بوون
Saturday	شەمە
sat	دانیشت
sausage	سۆس
savage	ساویلکە
save	هەڵگرتن
saw	بینی
say	ووتن
scale	سکەیڵ
scam	سکام
scarce	کەمی
scared	ترساو
scarf	سەرپۆش
scary	ترسناک
scar	قەتماخە
scattered	پەرش
scenery	دیمەن
scene	دیمەن
scent	بۆن
schedule	خشتە
school	قوتابخانە
science	زانست
scientists	زاناکان
scientist	زانا
scissors	مقەس
scold	سەرزەنشت کردن
scope	مەودا
score	نمرە
scrap	سیکراب
scratch	خوراندن
scream	قیژە
screen	شاشە
screw	بورغی
script	سکریپت
seal	مۆر
search	گەڕان
season	وەرز
seat	کورسی
sea	دەریا
second	دووەم
secret	نهێنی
section	بەش
secure	پارێزراو
security	ئاسایش
seed	تۆو
seek	گەڕان
seems	لەوە دەچێت
seem	لەوە دەچێت
seen	بینراو
see you later	دواتر دەتبینمەوە
see you soon	بەهیوای دیدار لە کاتێکی زوو
see you tomorrow	بەیانی دەتبینمەوە
see you	بەهیوای دیدار
see	بینین
seize	گرتن
seizure	گرتن
seldom	دەگمەن
select	دەسنیاشنکردن
self healing	خود چاکردنەوە
selfish	خۆپەرست
self	خود
sell	فرۆشتن
send me your picture	وێنەی خۆت بۆ من بنێرە
send	ناردن
senior	باڵا
sense	هەست
sensible	هەستیار
sensitive	هەستیار
sentences	ڕستەکان
sentence	ڕستە
sent	ناردی
separate	جیا
Sepedi	سێپێدی
september	ئەیلول
sequence	زنجیرە
series	زنجیرە
seriously	بە جددی
serious	جددی
serve	خزمەتکردن
service	خزمەتگوزاری
session	وانە
setting	دۆخ
settle	یەکلا کردنەوە
set up	ئامادە کردن
set	دانان
seventeen	حەڤدە
seventy	حەفتا
seven	حەوت
several	چەندین
severe	تووند
sew	درووی
shade	سێبەر
shadow	سێبەر
shake	شەقاندن
shallow	ناوبۆش
shall	پێویستە
shame	شەرمەزاری
shape	شێوە
share	هاوبەشکردن
sharp	تیژ
shed	سێبەر
sheep	مەڕ
sheet	پەڕە
she has	هەیتی
she is	ئەو
shelf	ڕەفە
shell	قاوغ
shelter	پەناگە
she	ئەو
shield	قەڵغان
shift	گۆڕین
shine	درەوشانەوە
shipping	ناردن
ship	کەشتی
shirt	کراس
shoes	پێڵاو
shoot	لێدان
shopping	بازاڕکردن
shop	دوکان
shore	کەنار
shortage	کورتهێنان
short	کورت
shot	تەقە
shoulder	شان
should	پێویستە
shout	هاوارکردن
shower	گەرماوکردن
show me	پێمی نیشان بدە
show	نیشاندان
shrimp	ڕۆبیان
shrink	بچووک کردنەوە
shut up	دەمت داخە
shut	داخستن
shy	شەرم
siblings	برا
siblings	خوشک
sibling	برا
sibling	خوشک
sick	نەخۆش
side	لا
sightseeing	شوێن بینین
sight	دیدە
sigh	ئاه
signature	واژۆ
significant	گرنگ
sign	نیشانە
silence	بێدەنگی
silent	بێدەنگ
silk	ئاوریشم
silly	بێ ئەقڵ
silver	زیو
similar	هاوشێوە
simple	سادە
simp	ساویلکە
simultaneously	لە هەمان کاتدا
sincerely	دڵسۆزت
sincere	دڵسۆز
since	لەوەتەی
singer	گۆرانی بێژ
single	تاک
sing	گورانی
sink	نوقم بوون
Sir	بەڕێز
sister in law	زڕ خوشک
sister	خوشک
site	شوێن
situation	بارودۆخ
sit	دانیشتن
sixteen	شازدە
sixty	شەست
six	شەش
size	قەبارە
skills	کارامەییەکان
skill	کارامەیی
skinny	لاواز
skin	پێست
skip	بازدان
skirt	تەنورە
sky	ئاسمان
slave	کۆیلە
sleeping	خەوتن
sleepy	خەواڵوو
sleep	نووستن
sleeve	قۆڵ
slice	قاش
slide	سلاید
slightly	کەمێک
slim	لاواز
slip	خزین
slope	سلۆپ
slot	ڕیز
slowly	بەهێواشی
slow	هێواش
small	بچووک
smart	ژیر
smell	بۆن
smile	خەندە
smoke	دووکەڵ
smooth	لووس
snack	ژەمی خێرا
snail	لوولپێچ
snake	مار
snap	لەپڕ
snow	بەفر
soak	خستنە ناو ئاو
soap	سابون
sober	ڕەسەن
soccer	تۆپی پێ
social	کۆمەڵایەتی
society	کۆمەڵگە
socks	گۆرەوی
so cute	زۆر قەشەنگ
so far	تا ئێستا
software	سۆفتوێر
soft	نەرم
soil	خاک
soldier	سەرباز
sold out	فرشتی
sold	ڕەق
sole	تەنها
solid	ڕەق
solution	چارەسەر
solve	چارەسەر
somebody	کەسێک
somehow	کەمێک
someone	کەسێک
something	شتێک
sometimes	هەندێک جار
some	هەندێک
song	گۆرانی
soon	زوو
sophisticated	ئاڵۆز
Sorani	سۆرانی
sore throat	گەرووی ئاوساو
sore	ئاوساو
sorrow	خەم
Sorry	ببوورە
sort	جۆر
sought	گەڕان
soulmate	هاوڕێی گیان
soul	گیان
sound	دەنگ
soup	شۆربا
source	سەرچاوە
sour	ترش
south	باشوور
so	بۆیە
space	مەودا
spam	سپام
Spanish	ئیسپانی
span	مەودا
spare	یەدەگ
speak	قسەکردن
special	تایبەت
species	جۆرەکان
specific	تایبەت
spectacular	نایاب
speechless	بێ قسە
speech	قسە
speed	خێرایی
spell	شێوە ووشە
spend	بەسەربردن
spent	بەسەری برد
spicy	تیژ
spike	بەرز بوونەوە
spinach	سپێناغ
spin	پێچانەوە
spirit	گیان
spit	تف
splendid	نایاب
split	لەتکردن
spoiled	تێکیدا
spoil	تێکدان
spontaneous	لەخۆڕا
spoon	کەوچک
spot	پەڵە
spouse	هاوسەر
spread	بڵاو بوونەوە
spring	بەهار
square	چوارگۆشە
squeeze	گوشین
squid	سکوید
squirrel	سمۆرە
stable	جێگیر
stab	لێدان
stack	کەڵەکە
staff	ستاف
stage	قۆناغ
stain	پەڵە
stairs	پەیژە
stake	بەرژەوەندی
stalk	چاودێریکردن
stall	کورسی پێشەوە
stamp	مۆر
standard	ستاندەر
stand	وەستان
started	دەستی پێکرد
start	دەستپێکردن
starving	برسی بوون
star	ئەستێرە
statement	ووتە
state	دۆخ
station	وێستگە
statue	پەیکەر
status	دۆخ
stay safe	بە سەلامەتی بمێنەوە
stay	مانەوە
steady	ئامادە
steak	پارچە گۆشت
steal	دزین
steam	تەوژم
steel	ستیل
steep	هەوراز
stem	قەد
step	هەنگاو
stick	پەیوەست
stiff	تووند
still	هێشتا
stingy	چاوچنۆک
sting	پێوەدان
stir	تێکدان
stock	کەرەستە
stolen	دزراو
stomach	گەدە
stone	بەرد
stood	وەستا
stool	پیسایی
stop	وەستان
storage	کۆگا
store	فرۆشگا
storm	زریان
story	چیرۆک
stove	فڕن
straightforward	ڕاستەوخۆ
straight	ڕاستەوخۆ
strain	فشار
stranger	بێگانە
strange	نامۆ
strategy	ستراتیجیەت
strawberry	شیلیک
straw	قامیش
streak	هێڵ
stream	تەوژم
street	شەقام
strength	بەهێزی
stress	فشار
stretch	کێشهێنانەوە
strict	تووند
strike	لێدان
string	ڕستە
strip	لابردن
strive	کۆڵ نەدان
stroke	لێدان
strong	بەهێز
struck	لێیدا
structure	پێکهاتە
struggle	کێشە
struggling	کێشەی هەیە
stubborn	کەلە ڕەق
stuck	چەقی
student	قوتابی
studying	خوێندن
study	خوێندن
stuff	شت
stunning	سەرنج ڕاکێش
stupid	گێل
style	ستایڵ
st	شەقام
subject	بابەت
submission	پێشکەش کردن
submit	پێشکەشکردن
substance	ماددە
substitute	جێگرەوە
subtle	بە ووردی
succeed	سەرکەوتن
successful	سەرکەوتوو
success	سەرکەوتن
such as	وەک
such	چەشن
suck	مژین
suddenly	لەناکاو
sudden	لەناکاو
suffering	چەشتن
suffer	چەشتن
sufficient	گونجاو
sugar	شەکر
suggestion	پێشنیار
suggest	پێشنیار
suitable	گونجاو
suitcase	جانتا
suit	شیاو
summary	پوختە
summer	هاوین
summit	لووتکە
sum	بڕ
sunday	یەک شەمە
sunny	ساماڵ
sunset	خۆرهەڵاتن
sunshine	درەوشانەوەی خۆر
sun	خۆر
superior	باڵاتر
supervisor	سەرپەرشتیار
super	بەرز
supper	زۆر
supply	دابینکردن
support	پشتیوانی
supposed	پێشبینیکراو
suppose	پێشبینی
sure	دڵنیا
surface	ڕووپۆش
surgery	نەشتەرگەری
surge	زیادکردن
surname	نازناو
surprised	سەرسووڕماو
surprise	سوپرایس
surrender	خۆ بەدەستەوەدان
surrounding	دەوروبەر
surveillance	چاودێری کردن
survey	ڕووپێوی
survive	ڕزگاربوون
suspect	گومانلێکراو
suspended	هەڵپەساردن
suspicious	گوماناوی
sustainability	بەدرەوامی
sustainable	بەردەوام
sustain	درێژە پێدان
swag	دەستکەوت
swallow	قووتدان
swap	جێگۆڕین
swear	سوێند خواردن
sweater	چاکەت
sweat	ئارەقە
sweep	ماڵین
sweet dreams	بەهیوای خەونی خۆش
sweetheart	ئازیز
sweet tooth	زۆر حەز لە شیرینی دەکات
sweet	شیرین
swelling	ئاوسان
swell	ئاوسان
swimming	مەلەکردن
swim	مەلە
swing	جوڵانە
switch	سویچ
swollen	قوتی دا
sword	خەنجەر
symbol	هێما
sympathy	بەزەیی
symptoms	نیشانەکان
system	سیستەم
table	خشتە
tackle	چارەسەرکردن
tag	نیشانە
tail	کلک
take away	بردن
take care	ئاگاداری خۆت بە
taken	بردراو
take off	فڕین
take	بردن
talkative	زۆر ڕەو
talk	قسەکردن
tall	بەرز
tape	کاسێت
tap	بەلوعە
target	ئامانج
task	ئەرک
taste	تام
tasty	بەچێژ
taught	فێرکرد
teacher	مامۆستا
teach	فێرکردن
team	تیم
tears	تێکدان
tear	فرمێسک
tease	گاڵتەپێکردن
tea	چا
technology	تەکنەلۆجیا
teeth	ددان
tell me	پێم بڵێ
tell	پێ ووتن
temperature	پلەی گەرمی
temper	میزاج
temple	پەرستگا
temporary	کاتیى
tenant	کرێگرتە
tendency	خواست بەرەو
tender	تەندەر
tend	نیاز
tense	چڕ
tension	گرژی
tentative	پێشبینیکراو
ten thousand	دە هەزار
tent	خێمە
ten	دە
terms	مەرجەکان
term	چەمک
terrible	خراپ
terrific	جەرگبڕ
territory	ناوچە
test	تاقیکردنەوە
text	دەق
Thanks for using our app	سوپاس بۆ بەکارهێنانی ئەپلیکەیشنەکە
thanks	سوپاس
Thank you for your patience while we investigate shipment	سوپاس بۆ ئارامگرتنت لەو کاتەی سەیری بارەکەت دەکەین
thank you so much	زۆر سوپاس
thank you very much	زۆر سوپاس
thank you	سوپاس
thank	سوپاس
than	لە
that is	ئەمە برتیە لە
that's good	ئەمە باشە
that	کە
theft	دزی
their	هی ئەوان
theme	مەبەستی سەرەکی
themselves	خۆیان
them	ئەوان
then	ئەو کات
theory	گریمانە
there are	هەن
therefore	بۆیە
there	لەوێ
these	ئەمانە
they are	ئەوان
they	ئەوان
the	ەکە
thick	ئەستوور
thief	دز
thigh	ڕان
things	شتەکان
thing	شت
think	بیرکردنەوە
thin	لاواز
third	سێیەم
thirsty	تێنوو
thirteen	سێزدە
thirty	سی
this is	ئەمە بریتیە لە
this	ئەمە
thoroughly	بەگشتی
thorough	گشتگیر
those	ئەمانە
thoughtful	بیرمەندانە
thoughts	بیرۆکەکان
thought	بیرۆکە
though	گەرچی
thousand	هەزار
thread	داو
threaten	هەڕەشە لێکراو
threat	هەڕەشە
three	سێ
threshold	لێوار
thrilled	دڵخۆش
thrive	کۆڵنەدان
throat	گەروو
throughout	لەماوەی
through	لەڕێگەی
throw	هاوێشتن
thumb	پەنجەی گەورە
thunder	گەوارە
Thursday	پێنج شەمە
thus	بەم شێوەیە
tick	نیشانکردن
tide	هەڵچوون
tidy	ڕێک
tie	بۆیناغ
tiger	پڵنگ
tight	تووند
Tigrinya	تیگرینا
time	کات
timid	ماڵی
tiny	بچووک
tips	سەرنج
tip	سەرنج
tired	ماندوو
tire	تایە
tissue	شانە
title	ناونیشان
toast	تۆست
to be	ببێت بە
today	ئەمڕۆ
toddler	پێرەوکەر
toes	پەنجەی پێ
together	بەیەکەوە
toilet	توالێت
told	پێی ووت
tolerance	لێبووردەیی
tolerate	لێبووردن
tomato	تەماتە
tomorrow	بەیانی
tongue	زمان
tonight	ئەمشەو
took	بردی
tools	ئامرازەکان
tool	ئامراز
tooth	ددان
too	هەروەها
topic	بابەت
top	سەروو
torn	تێکشکاند
torture	ئەشکەنجە
total	کۆ
touch	دەست لێدان
tough	توند
tour	گەشت
towards	بەرەو
toward	بەرەو
towel	خاولی
town	شار
toxic	ژەهراوی
to	بۆ
trace	شوێنپێ
track	ڕێگا
trade	بازرگانی
traditional	تەقلیدی
tradition	نەریت
traffic	هاتوچۆ
trail	شوێنەوار
training	ڕاهێنان
train	ڕاهێنان
traits	تایبەتمەندی
trait	ڕووخسار
transfer	گواستنەوە
transition	گواستنەوە
translate	وەرگێڕان
transparent	ڕوون
transportation	گواستنەوە
transport	گواستنەوە
trap	تەڵە
trash	خاشاک
trauma	ترۆما
travel	گەشتکردن
tray	سنی
treasure	گەنجینە
treatment	چارەسەر
treat	مامەڵە
tree	درەخت
tremendous	مەزن
trend	خواست
trial	تاقیکاری
trick	فێڵ
tried	تاقیکردەوە
trigger	وورژاندن
trim	بڕین
trip	گەشت
trouble	کێشە
trousers	پانتۆڵ
truck	بارهەڵگر
true	ڕاست
trunk	قەد
trust	متمانە
truth	ڕاستی
try	هەوڵدان
Tsonga	چۆنگا
tube	تیوب
Tuesday	سێ شەمە
tuition	وانە ووتنەوە
turkey	عەلەشیش
turmeric	زەردەچەوە
turn	سووڕان
turtle	کیسەڵ
tutor	مامۆستای تایبەت
twelve	دوازدە
twenty-one	بیست و یەک
twenty	بیست
twice	دوو جار
twist	پێچان
Twi	توی
two	دوو
type	جۆر
typical	نموونەیی
ugly	ناشیرین
ultimate	کۆتایی
umbrella	چەتر
unable	ناتوانێت
uncle	مام
unconscious	بێ ئاگا
underneath	لە ژێرەوە
underrated	بە کەم زانین
understand	تێگەیشتن
understood	تێگەیشت
under	لەژێر
unfortunately	بەداخەوە
uniform	یەکپۆشی
unique	بێهاوتا
unit	یەکە
university	زانکۆ
unknown	نەزانراو
unless	مەگەر
until	تا
unusual	نائاسایی
update	نوێکردنەوە
upgrade	بەرزکرنەوە
upon	بەگوێرەی
upset	بێزار
up to you	بە ویستی خۆت
up	سەروو
urban	شارستان
urgent	لەناکاو
urge	هاندان
used	بەکارهاتوو
useful	بەسوود
useless	بێ سوود
use	بەکارهێنان
usually	بەگشتی
usual	ئاسایی
us	ئێمە
utility	سوود
vacation	پشوو
vaccination	کوتان
vaccine	ڤاکسین
vacuum	بۆشایی
vague	ناڕوون
valid	ڕەوا
valley	دۆڵ
valuable	بەهادار
value	بەها
variety	هەمەچەشنی
various	هەمەجۆر
vary	هەمەچەشن
vase	گوڵدان
vast	زەبەلاح
vegetables	سەوزەکان
vegetable	میوە
vehicle	ئۆتۆمبێل
vendor	فرۆشیار
venom	ژەهر
venture	سەرکەش
venue	هۆڵ
verify	سەلماندن
versatile	فرە ڕەهەند
version	وەشان
vertical	ستوونی
very good	زۆر باشە
very	زۆر
vessel	کەشتی
via	لەڕێگەی
vibes	کەرەستە
vibe	کەش
vicious	دڕندە
victim	قوربانی
video	ڤیدیۆ
view	دیمەن
village	گوند
villain	چەپەڵ
vinegar	سرکە
vintage	وەرزی ترێ لێکردنەوە
violence	توندوتیژی
violent	تووندوتیژ
viral	گرنگ
virgin	کچی شوونەکردوو
virtual	ڤیرچوەڵ
virtue	چاکە
vision	دیدگا
visit	سەردان
visual	بینراو
vital	گرنگ
vivid	ڕوون
vocabulary	وشە
voice	دەنگ
void	بەتاڵ
volume	قەبارە
volunteer	خۆبەخش
vomit	ڕشانەوە
vulnerable	لاواز
wages	کرێ
wage	کرێ
waist	قەد
waiter	گارسۆن
waiting	چاوەڕوان کردن
wait	چاوەڕوان بە
wake up	بەئاگا وەرە
wake	بەئاگا
walking	پیاسەکردن
walk	پیاسە
wallet	جزدان
wall	دیوار
wander	سووڕانەوە
wanna	دەمەوێت
wanted	ویستراو
want	ویستن
wardrobe	کانتۆر
warehouse	کۆگا
warm	گەرم
warning	ئاگادار کردنەوە
warn	ئاگادار کردنەوە
warrior	جەنگاوەر
war	جەنگ
wash	شوشتن
waste	بەفیڕۆدان
was	بوو
watch	سەیرکردن
watermelon	شووتی
water	ئاو
wave	شەپۆڵ
way	رێگا
weakness	لاوازی
weak	لاواز
wealthy	دەوڵەمەند
wealth	سامان
we are	ئێمە
wearing	پۆشین
wear	پۆشین
weather	کەشوهەوا
we can	دەتوانین
wedding	زەماوەند
Wednesday	چوار شەمە
weed	هەوەس
weekend	پشووی کۆتایی هەفتە
week	هەفتە
weight	کێش
weird	سەیر
welcome	بەخێربێیت
welfare	خۆشگوزەرانی
well done	ئافەرین
Well	باش
went	چوو
west	خۆرئاوا
wet	تەڕ
we	ئێمە
whale	نەهەنگ
what about you	چی دەربارەی تۆ
what are you doing now	ئێستا چی دەکەیت
what are you doing right now	ئێستا چی دەکەیت
what are you doing	چی دەکەیت
what do you do for a living	چ کارێک دەکەیت
what do you do	چی دەکەیت
what do you mean	مەبەستت چیە
what do you want	چیت دەوێت
whatever	هەرچیەک بێت
what happened	چی ڕوویدا
what is this	ئەمە چیە
what is your job	چ کارێک دەکەیت
what is your name	ناوت چیە
what is	چیە
what's up	چی هەیە
what's your name	ناوت چیە
what	چی
wheat	گەنم
wheel	تایە
whenever	هەر کاتێک
when	کەی
where are you from	خەڵکی کوێی
where are you now	ئێستا لە کوێی
where are you	لە کوێیت
whereas	کە
where do you live	لە کوێ دەژیت
where is	لە کوێ
where	لەکوێ
whether	کامە
which	کامە
while	لەکاتێکدا
whisper	چرپە
whistle	فیکە
white	سپی
who are you	تۆ کێی
who is this	ئەمە کێیە
who is	کە
whole	هەموو
whom	کێ
whose	هی کێ
who	کێ
why not	بۆچی نا
why	بۆچی
wicked	شەڕانگێز
wide	فراوان
widow	بێوەژن
width	پانی
wife	هاوسەر
wild	کێوی
willing	ویست
will	ویست
window	پەنجەرە
windy	با
wind	با
wine	مەی
winter	زستان
win	بردنەوە
wipe	سڕینەوە
