a little	chuchoko
retired	kupumula pa ntchito
retreat	kuwelera
retrieve	sanga
return	welela
reveal	manyiska
revealed	kuvumbula
revenge	welezgela
revenue	ndalama
reverse	nyumwa
review	welelamo
revise	welelamo
revision	welezga
revolution	kuwukila
reward	mphaso
rhythm	sumu
rib	nthiti
rice	mupunga
rich	sambazga
rid	kuwuskapo
ride	kwela
ridiculous	chawaka
right	unenesko
right now	sono apa
rigid	wakukhora
ring	mphete
rinse	kama
riot	chiwawa
rip	NNA
ripe	kuphya
rise	uka
risk	chiwopsezo
rival	mulwani
river	dambo
road	musewu
roast	wotcha
robust	wakukhora
rock	libwe
rod	nthonga
role	ntchito
roll	kugadabula
roof	denga
room	chipinda
root	musisi
rope	chingwe
rotten	chakuvunda
rough	kukhoma
roughly	mu nthowa yiheni
round	zingilira
route	nthowa
routine	mwamadazi ghose
row	muzele
rub	phaka
rubber	labala
rubbish	uzeleza
rude	nkhwesa
rug	chakuyala
ruin	nanga
rule	lamulo
ruler	mulongozgi
rules	malamulo
run	tchimbila
running	kutchimbila
rural	kumizi
rush	tchimbilila
sack	thumba
sacred	vinthu vyakupatulika
sacrifice	sembe
safe	wakuvikilirika
safe flight	ndege yakuvikilirika
safety	chitetezgo
sage	munthu wamahara chomene
said	yowoya
sail	ghambuka
sailing	kughambuka
sake	chifukwa
salary	malipilo
sale	guliska
salmon	salmon
salt	muchele
same	kuyana
Same here	kunoso nthenanthena
sample	chiyezgelero
sand	muchenga
Sanskrit	Sanskrit
sarcastic	kuyowoya mwanthontho
sassy	wakujikuzga
sat	khala
satisfaction	kukhutila
satisfied	kukhutiskika
satisfy	khutiska
satisfying	khutiskika
Saturday	chisulo
sausage	soseji
savage	mzerezga
save	sunga
saw	sona
saw	beka
say	yowoya
scale	sikelo
scam	boza
scar	bamba
scarce	kusoba
scared	kuofyeka
scarf	mpango
scary	viofyi
scattered	vyakutayika
scene	chakuchitika
scenery	kawonekero
scent	kununkhira
schedule	ndondomeko
school	sukulu
science	sayansi
scientist	wasayansi
scientists	wa sayansi
scissors	sizasi
scold	tuka
scope	kutandazika
score	hozya
scrap	viswaswa
scratch	kwantha
scream	chemelezga
screen	chakubekerapo vinthu sikirini
screw	kumasula
script	malemba
sea	nyanja
seal	kumata
search	penja
season	nyengo
seat	mpando
second	wachiwiri
secret	chisisi
section	chigaba
secure	kuvikilirika
security	walonda
see	wona
see you	tisanganenge
see you later	tisanganenge nyengo inyakhe
see you soon	tisanganenge
see you tomorrow	tisanganenge namachelo
seed	mbewu
seek	penja
seem	kuwoneka
seems	vikuwoneka
seen	woneka
seize	poka
seizure	kukomoka
seldom	kaŵirikaŵiri
select	sankha
self	yekha
self healing	kupola chekha
selfish	kujitemwa
sell	guliska
send	tumizga
send me your picture	tuma pikichala yako
senior	mulala
sense	kumanyikwa
sensible	vuazelu
sensitive	kukhwasika
sent	tuma
sentence	chiganizo
sentences	viganizo
separate	patulapo
Sepedi	Sepedi
september	sepitembala
sequence	ndondomeko
series	mndandanda
serious	kuzirwa
seriously	mwambura kukayika
serve	gwilila ntchito
service	uteŵeti
session	gawa
set	wikika
set up	kuwikika
setting	ndondomeko
settle	khazikika
seven	vinayi na viwiri
seventeen	khumi na vikhondi na viŵiri
seventy	makumi ghankhondi na ghawiri
several	vinandi
severe	ŵinya
sew	sona
shade	mthunzi
shadow	chizgezge
shake	sukunya
shall	yikwenera
shallow	chifupi
shame	soni
shape	kawonekero
share	gawa
sharp	kuthwa
she	iyo
she has	wali na
she is	iyo wali
shed	janda
sheep	khosa
sheet	pepala
shelf	shelefu
shell	shelo
shelter	mwakukhala
shield	chiskango
shift	suntha
shine	kuwala
ship	sitima
shipping	kutumizga katundu
shirt	malaya
shoes	skapato
shoot	womba
shop	shopu
shopping	kugula
shore	pamtunda
short	mufupi
shortage	kuchepa
shot	womba
should	wakeneranga
shoulder	chiphanga
shout	chemelezga
show	longola
show me	nioneske
shower	shawa
shrimp	shirimpi
shrink	konyeka
shut	jala
shut up	jala
shy	soni
sibling	mubale
siblings	wabali
sick	kuluwala
side	luwande
sigh	kupuma mwakukwiya
sight	kuwonela
sightseeing	kuwona malo
sign	chilongozgi
signature	siginitchala
significant	khumbika chomene
silence	chiwawa
silent	kwambula chiwawa
silk	silika
silly	uzeleza
silver	siliva
similar	kuyana
simp	simpi
simple	chipusu
simultaneously	pa nyengo yimoza
since	kufuma
sincere	kugomezgeka
sincerely	mwakunweka
sing	yimba
singer	wakwimba
single	yekha
sink	mila
Sir	Bwana
sister	mudumbu wako mwanakazi
sister in law	mlamu
sit	khala
site	malo
situation	chakuchitika
six	vinkhondi na chimoza
sixteen	khumi na vikhondi na chimoza
sixty	makumi ghankhondi na limoza
size	saizi
skill	luso
skills	maluso
skin	thupi
skinny	kughanda
skip	jumpha
skirt	siketi
sky	kuchanya
slave	kapolo
sleep	gona
sleeping	kugona
sleepy	tulo
sleeve	woko la chakuvyala
slice	chidutswa
slide	teremuka
slightly	pachoko waka
slim	kughanda
slip	kuteremuka
slope	pakukhila
slot	bowo
slow	pachoko
slowly	pachokopachoko
small	kachoko
smart	waluso
smell	kununkha
smile	mwetulila
smoke	josi
smooth	kusalala
snack	sinaki
snail	nkhono
snake	njoka
snap	chithunzi
snow	sinowo
so	ntheula
so cute	kutowa chomene
so far	mpaka sono
soak	nyika
soap	sopo
sober	wakuŵa maso
soccer	bola
social	umoyo wa ŵanthu
society	mudzi
socks	stionking'i
soft	kufewa
soil	dongo
sold	guliskika
sold out	vyaguliskika
soldier	musilikali
sole	-moza
solid	chakukhorwa
solution	zgoro
solve	werengeska
some	vinyake
somebody	munyakhe
somehow	mu nthowa yinyake
someone	munthu munyakhe
something	chinthu chinyakhe
sometimes	nyengozinyakhe
song	sumu
soon	sono sono
sophisticated	makono
Sorani	Sorani
sore	vilonda
sore throat	vilonda vya pa singo
sorrow	chitima
Sorry	Phepani
sort	nozga
sought	penja
soul	muzimu
soulmate	bwenzi lako
sound	phokoso
soup	musuni
sour	kuwawaska
source	uko chafuma
south	kumwela
space	malo
spam	sipamu
span	utali wanyengo
Spanish	Chisipanishi
spare	kuleka
speak	yowoya
special	chapadera
species	mitundu
specific	kuyowoya waka
spectacular	chakuzizwiska
speech	kayowoyelelo
speechless	kwambula mazgo
speed	luwiro
spell	chithumwa
spend	kugwiriskira ntchito
spent	nanga
spicy	chakunowa
spike	kukwera chomene
spin	kuzungulizga
spinach	sipinachi
spirit	mzimu
spit	thunya
splendid	makora chomene
split	gawa
spoil	nanga
spoiled	nanga
spontaneous	mwazizizi
spoon	supuni
spot	malo
spouse	mufumuwako
spouse	mwanakazi wako
spread	tambasula
spring	nyengo ya vula
square	sikweya
squeeze	finya
squid	sikwidi
squirrel	sikwilu
stab	gwaza
stable	wakukhora
stack	unjika
staff	watchito
stage	siteji
stain	kudayika
stairs	masitepe
stake	chakugwazira
stalk	phesi
stall	khola
stamp	chidindo
stand	ima
standard	sitandade
star	nyenyezi
start	yamba
started	kuyamba
starving	kufwa na njala
state	chalo
statement	mazgu
station	siteshoni
statue	chikozgo
status	udindo
stay	khala
stay safe	khala makola
steady	chakukhazikika
steak	nyama yambura mafupa
steal	iba
steam	muthuzi
steel	chisulo
steep	malo ghakulutira kusika
stem	nthonga
step	sitepe
stick	ndodo
stiff	wakukhora
still	nangauli
sting	luma
stingy	mukaka
stir	chiwawa
stock	katundu
stolen	kwibika
stomach	nthumbo
stone	libwe
stood	ima
stool	tebulo lichoko
stop	ima
storage	mwakusungila
store	sitolo
storm	chivundungwelu
story	nkhani
stove	chitofu
straight	kunyoloka
straightforward	vyakunyoloka waka
strain	kusefa
strange	minthondwe
stranger	mulendo
strategy	nthowa
straw	sitirowo
strawberry	sitiroberi
streak	muzere
stream	dambo
street	nthowa
strength	nkhongono
stress	kusuzgika maghanoghano
stretch	kutakasuka
strict	wakukhora
strike	tchaya
string	chingwe
strip	kuvula
strive	kulimbikira
stroke	sitiroko
strong	wakukhora
struck	kutchayika
structure	ndondomeko
struggle	kulimbana
struggling	kulimbana
stubborn	kunonopeska
stuck	wakakika
student	mwana wa sukulu
study	welenga
studying	kuwazga
stuff	vinthu
stunning	chakutowa chomene
stupid	chindele
style	sitailo
subject	mutu
submission	kujipeleka
submit	peleka
substance	chinthu
substitute	m'malo mwa
subtle	suzga kupulikiska
succeed	kutola malo
success	kupambana
successful	fiska
such	ntheura
such as	nga ni
suck	yonkha
sudden	mabuchibuchi
suddenly	mwamabuci
suffer	suzgika
suffering	kusuzgika
sufficient	vakukwana
sugar	shuga
suggest	sachizga
suggestion	sachizgo
suit	suti
suitable	wakwenelera
suitcase	sutikesi
sum	samuzi
summary	chidule
summer	chihanya
summit	ungano
sun	zuba
sunday	sabata
sunny	kwa zuba
sunset	manjililo gha zuba
sunshine	kubala kwa zuba
super	chakurya chanamize
superior	bwana
supervisor	wakubekerera
supper	chakurya cha namise
supply	peleka
support	kuovwila
suppose	tiyelezgere
supposed	ŵakughanaghana
sure	kuneneska
surface	pachanya
surge	kukwera mwamabuchi
surgery	sajale
surname	zina la dada
surprise	buchizga
surprised	chuluskika
surrender	kujipeleka
surrounding	vyakuzingilira
surveillance	kubekerera
survey	kafukufuku
survive	pulumuka
suspect	ŵakukayika
suspended	lekiska
suspicious	kukaikiska
sustain	kupa moyo
sustainability	kukwaniskika
sustainable	kukhazikika
swag	katani
swallow	mila
swap	sintha
swear	lumbila
sweat	thukuta
sweater	swetala
sweep	phyela
sweet	kunowa
sweet dreams	maloto ghawemi
sweet tooth	kutemwa vyakunong'omera
sweetheart	wakutemweka
swell	tupa
swelling	kutupa
swim	kuskamba
swimming	kuskamba
swing	zendewera
switch	sintha
swollen	kutupa
sword	lupanga
symbol	chimanyisko
sympathy	chitima
symptoms	vimanyisko
system	ndondomeko
table	thebulu
tackle	nozga
tag	pepala lakumata kulongola mtengo wa chinthu
tail	muchila
take	tola
take away	tolera kunyake
take care	ujipwelelele
take off	nyamuka
taken	toleka
talk	yowoya
talkative	wakuyowoya
tall	utali
tap	mpopi
tape	kaseti
target	kuchalira
task	ntchito
taste	kanowelo
tasty	vakunowa
taught	sambizga
tea	tiyi
teach	sambizga
teacher	musambizi
team	timu
tear	kelula
tears	mazosi
tease	kusuzga
technology	umanyi
teeth	mino
tell	phalila
tell me	niphalile
temper	ukali
temperature	tempuritcha
temple	tchalitchi
temporary	chambula kukhazikika
ten	khumi
ten thousand	vikwi khumi
tenant	uyo wakurenta
tend	kutemwa
tendency	kukhumba kuchita
tender	peleka
tense	wakufipa mtima
tension	kusuzgika maghanoghano
tent	tenti
tentative	keyezgerereka
term	teremu
terms	mazgu
terrible	kuofya
terrific	chiofyi
territory	chigawa
test	kanowelo
text	malemba
than	kuluska
thank	wonga
thank you	yewo
thank you	naonga
Thank you for your patience while we investigate shipment	Tawonga pakuzizipizga kwinu apo tafufuzanga za katundu winu uyo wakatumizgika
thank you so much	naonga chomene
thank you very much	naonga chomene
thanks	taonga
thanks	naonga
Thanks for using our app	taong apakugwiliska ntchito app yithu
that	iyo
that is	ni ivi
that's good	vili makola
theft	kwiba
their	awo
them	iwo
theme	mutu
themselves	Iwo
then	apo
theory	kulongosola maghanoghano
there	apo
there are	pali
there is	pali
therefore	ntheula
these	ivi
they	iwo
they are	wali na
thick	-nandi
thief	mukhungu
thigh	ntchafu
thin	kughanda
thing	chinthu
things	vinthu
think	ganiza
third	chitatu
thirsty	nyota
thirteen	khumi na zitatu
thirty	makumi ghatatu
this	ichi
this is	ichi ni
thorough	mwakukwana
thoroughly	mwakukwana
those	awo
though	mu
thought	ghanoghano
thoughtful	wakughanaghanira
thoughts	maghanoghano
thousand	chikwi
thread	uzi
threat	wuofyi
threaten	wofya
three	vitatu
threshold	pakunjilira
thrilled	kondwa
thrive	chita makora
throat	kusingo
through	kwizira mu
throughout	kose
throw	hucha
thumb	chigunyo
thunder	bingu
Thursday	chinayi
thus	ntheura
tick	chonga
tide	mathithi
tidy	kutowa
tie	kaka
tiger	nyalugwe
tight	thina
Tigrinya	Tigrinya
time	nyengo
timid	wakuchita wofi
tiny	kachoko
tip	nsonga
tips	matipi
tire	vuka
tired	kuvuka
tissue	tishu
title	mutu
to	ku
to be	kuwa
toast	tositi
today	mwahuno
toddler	mwana wakukhwaba
toes	njowe
together	vose
toilet	chimbuzi
told	phalira
tolerance	kuzizipizga
tolerate	kupulikana
tomato	tomato
tomorrow	namachelo
tongue	lulime
tonight	usiku uno
too	nawo
took	tola
tool	chiwiya
tools	vipangizo
tooth	mino
top	pachanya
topic	mutu
torn	kukelika
torture	pweteka
total	vyose pamoza
touch	khwaska
tough	chinonono
tour	ulendo
toward	sendela
towards	ku
towel	thawulo
town	mzinda
toxic	chapoizoni
trace	kulondezga
track	nthowa
trade	malonda
tradition	kakhaliro
traditional	chikhalidwe
traffic	thirafiki
trail	nthowa
train	sitima
training	kusambizga
trait	nkharo
traits	mikhaliro
transfer	lutiska malo ghanyakhe
transition	kusintha
translate	tanthauzgila
transparent	vyakuonekela
transport	mayendelo
transportation	mayendelo
trap	koleka
trash	vyambula ntchito
trauma	kuzizika
travel	yenda
tray	thireyi
treasure	usambazi
treat	kusamalira
treatment	wovwiri
tree	khuni
tremendous	ghakuru chomene
trend	manyikwa
trial	kuyezgelela
trick	kupusikika
tried	kuyezga
trigger	kwambiska
trim	chepeska
trip	ulendo
trouble	suzgo
trousers	buluku
truck	galimoto ikulu yakunyamula katundu
TRUE	vyaunenesko
trunk	thunthu
trust	khulupilila
truth	unenesko
try	yezga
Tsonga	Tsonga
tube	chitoliro
Tuesday	chibiri
tuition	malipiro gha sukulu
Tumbuka	Tumbuka
turkey	nkhukundembo
turmeric	turmeric
turn	khweta
turtle	kamba
tutor	musambizgi
twelve	khumi na viwiri
twenty	makumi ghawiri
twenty-one	makumi ghaŵiri na limoza
Twi	Twi
twice	kabiri
twist	pinda
two	vibiri
type	mutundu
typical	kawirikawiri
ugly	uheni
ultimate	kuumaliro
umbrella	ambulera
unable	kutondeka
uncle	asibweni wanalume
unconscious	kufenta
under	pasi
underneath	pasi
underrated	kukaikila
understand	pulikiska
understood	pulikiska
unfortunately	mwambura kukondwa
uniform	yunifolomu
unique	wapadera
unit	chigawa
university	univesite
unknown	wambulakumanyikwa
unless	pokhapokha
until	kufikila
unusual	vyambula kuchitikachitika
up	kukwera
up to you	vili na iwe
update	kusintha
upgrade	kwezga
upon	pa
upset	kukwiya
urban	mu tawuni
urge	kukhuŵilizgika
urgent	luwiloluwilo
us	ise
use	gwilisa ntchito
used	kugwilisa ntchito
useful	cha ntchito
useless	wambula ntchito
usual	chizgowezi
usually	chomene chomene
utility	kugwiriskira ntchito
vacation	tchuthi
vaccination	nyereti
vaccine	katemela
vacuum	mwambula kanthu
vague	pulikikwa makora yayi
valid	kuzomerezgeka
valley	chigodobu
valuable	vyamakopala
value	mutengo
variety	vyakupambanapambana
various	vinandi
vary	kupambana
vase	vasi
vast	unandi
vegetable	mphangwe
vegetables	mphangwe
vehicle	galimoto
vendor	wamalonda
venom	ululu
venture	kuchita chinthu chakofya
venue	malo
verify	kuwoneseska
versatile	kugwiliskira ntchito vinthu vinandi
version	baibolo
vertical	ima sitileti
very	chomene
very good	wachita makola
vessel	sitima
via	kujumphira
vibe	umo ukujipulikira
vibes	nkharo
vicious	ŵankhaza
victim	wakuzuzika
video	kanema
view	beka
village	kukaya
villain	muheni
vinegar	viniga
vintage	chaka cha mpheska
violence	zawe
violent	mbembe
virgin	mwanakazi uyo wandagoneko na mwanalume
virtual	pafupifupi
virtue	uwemi
vision	masomphenya
visit	wona
visual	vyakuoneka
vital	chakuzirwa
vivid	kuwonekera
vocabulary	mazgu
voice	mazgo
void	mwambura kanthu
volume	unandi
volunteer	wakujipeleka
vomit	bokola
vulnerable	-mbura chitetezo
wage	malipilo
wages	malipilo
waist	chiuno
wait	lindila
waiter	wakupelekela
waiting	kulindilila
wake	wuka
wake up	wuka
walk	yenda
walking	kuyenda
wall	chiliba
wallet	waleti
wander	kwendayenda
wanna	tikukhumba
want	nkhukhumba
wanted	kumbikwa
war	nkhondo
wardrobe	kabati ya vyakuvwara
warehouse	nyumba yakusungiramo katundu
warm	kufunda
warn	kuofya
warning	chenjezgo
warrior	wa nkhondo
was	wakawa
wash	chapa
waste	nangika
watch	wonela
water	maji
watermelon	chimwamaji
wave	funde
way	nthowa
we	ise
we are	ise ndi
we can	tingapanga
weak	kufooka
weakness	kufooka
wealth	chuma
wealthy	chuma
wear	vwala
wearing	kuvwala
weather	nyengo
wedding	zowala
Wednesday	chitatu
weed	thondo
week	sabata
weekend	umaliro wa sabata
weight	uzito
weird	chakuzizika
welcome	nakupokelela
welcome	mwapokeleleka
welfare	umoyo uwemi
Well	Makola
well done	wapanga makola
went	luta
were	wakawa
west	kumanjiliro gha dazi
wet	nyowa
whale	chisomba cha whale
what	vichi
what about you	iwe ke
what are you doing	kasi ukuchita vichi
what are you doing now	apa ukuchita vichi
what are you doing right now	ukuchita vichi apa nthe
what do you do	ukuchita vichi
what do you do for a living	ukuchita vichi kuti usange chakurya
what do you mean	ukung
what do you mean	anamula vichi
what do you want	ukukhumba vichi
what happened	changuchitika ntchivichi
what is	ichi ni
what is this	ni vichi
what is your job	ukugwila ntchito uli
what is your name	zina lako ni njani
what's up	kasi nchi vichi
what's your name	zina lako ni njani
whatever	chilichose
wheat	tirigu
wheel	magudumu
when	pa uli
whenever	nyengo iliyonse
where	nkhu
where are you	Uli nkhu
where are you from	kasi ukufuma nkhu
where are you now	uli nkhu sono
where do you live	ukukhala nkhu
where is	vili nkhu
whereas	apo
whether	panji
which	izo
while	apo
whisper	kutokotosela
whistle	pinto
white	chituba
who	njani
who are you	niwe njani
who is	ni njani
who is this	ni njani uyu
whole	chose
whom	uyo
whose	ni yanjani
why	chifukwa wuli
why not	chifukwa wuli yayi
wicked	uheni
wide	usani
widow	chokolo
width	mu ufupi
wife	muboli wako
wild	chamuthondo
will	kuzamuwa
willing	khumbilo
win	wina
wind	mphepo
window	windo
windy	mphepo
wine	phele
winter	nyengo ya kuzizima
wipe	kusisita
wire	waya
wisdom	zeru
wise	mahala
wish	khumbilo
wish you all the best	nkhukukhumbila viwemi vyose
witch	mufwiti
with	na
withdraw	leka
withdrawal	kufunyako
within	mukati
without	kwambula
witness	kaboni
witty	kuchita vinthu mwakuchenjera
wolf	chirombo
woman	mwanakazi
women	wanakazi
won	kuwina
won't	nipangenge yayi
wonder	dabwa
wonderful	kuzizwiska
wood	chikhuni
wool	weya
word	mazgo
words	mazgo
work	ntchito
work out	panga
working	kugwila ntchito
world	chalo cha pasi
worm	nyongolosi
worn	kukeluka
worried	kufipa mutima
worry	ndandaulo
worse	kuyipa kwakuluska
worship	pemphela
worst	uheni chomene
worth	chuma
worth it	chakwenelera
worthy	wakwenelera
would	wangachita
wound	chilonda
Wow	Wooo
wrap	kuvwala
wrath	ukali
wrist	janja
write	lemba
Write here	lemba apa
writing	kulemba
written	kulembeka
wrong	chiheni
wrote	kulemba
yard	muyezo
yawn	yasamula
Yeah	Enya
year	chilumika
years	vyaka
yeast	yisiti
yell	kuchemerezga
yellow	chikasu
Yes	Enya
yes baby	enya wakutemweka
yes dear	enya wakutemweka
yes honey	enya wakutemweka
yes my love	enya wakutemweka
yes of course	enya na
yesterday	mayilo
yet	mpaka sono
yield	kolola
you	imwe
you	iwe
you are	ndimwe
you are beautiful	uli wakutowa
you are so beautiful	uli wakutowa
you are welcome	nakupokelela
you can	ungapanga
You know	ukumanya
you too	iweso
you're welcome	ndagha
young	muchoko
your	wako
your welcome	wapokeleleka
yourself	ine
youth	ukilano
you’re welcome	muli wakupokeleleka
you’re welcome	namupokelerani
yummy	kunowa
zero	Zero
