Yembo	a
Rayouga	rat
Fo kalé	rate
Togs	rather
Wiligui	ratio
Poui in zengé	rational
Pa maneg	raw
Sinkindnin	re
Nta	reach
Kiimin	reached
Leoké	reaction
Karem	read
In karemdin	reading
Kenge	ready
Sɩd bũmbu	real
Sid sida	reality
N maane	realize
Maané	realized
Sida	really
poore	rear
Boum	reason
Sinwinda	reasonable
Tingré	recall
Yaanmin	receipt
Reegé	receive
Regé	received
paale	recent
Sin pa kaossé	recently
Reesgo	reception
Zẽ-biisi	recipe
Tẽeda	reckless
Poutinré	recognition
bang zaamin	recognize
Sẽn sagle	recommend
Boolé	recommended
N gʋlse	record
Reegé	recover
Lebg deegé	recovery
Yaas susus yaremba	rectangle
Miougou	red
Lebginda	redeem
Pengré	redemption
Booge	reduce
Yeelin yilmé	redundant
Ges-a…	refer
Sin wilgida	reference
Sin winda	reflect
tagsé	reflection
Gounsem menga	refrain
Sin maagdkoom	refrigerator
Samd lebsgo	refund
Zongsé	refuse
Zongsé	refused
Sẽn wẽnde	regard
Sin kindenin	regarding
Sẽn pa naag ne	regardless
Pʋʋsem	regards
Soolem	region
Yʋʋr gʋlsgo	register
Sousanga	regret
Wakat fãa bũmbu	regular
Wakat faan	regularly
lobgé	reject
Winligui sin yi toto	relate
Sẽn dɩk n make	related
Wakaté	relationship
Sẽn dɩk n tɩ make	relative
Rogdba	relatives
N vʋʋse	relax
Basé	release
Bas ti yi	released
Boto	relevant
Songo	reliable
Zĩig gãaga	relief
Paam minga	relieve
Paam menga	relieved
Tẽebo	religion
Toudem	religious
Gẽreda	reluctant
N tẽ bũmb zugu	rely
Pabo	remain
Sin kéta	remaining
Pawindtaaba	remarkable
Tiim	remedy
Ket intinre	remember
N lebg boole	remind
tingé	reminder
telkomande	remote
N yãke	remove
Kissé	render
N waooge	rent
manegre	repair
N yɩlme	repeat
N ledge	replace
N leoke	reply
Wiligri	report
N ledge	represent
yaoodo	reputation
Kosgo	request
N modge	require
Balgé	required
fãagre	rescue
Baoobo	research
Winlgo	resemble
Kindamin	resentment
Bao pinda	reservation
Bingui	reserve
Teng n neda	resident
Bastouma	resign
Konminga	resilience
Sakamin	resilient
Rasaké	resist
Rasaké	resistance
malgre	resolution
Paam tiim	resolve
Yalss lamer noore	resort
Kibay yiib zinga	resources
Waoré	respect
Leoke	respond
Léokré	response
Ned tʋʋmde	responsibility
Asoaba	responsible
Woussem	rest
Wend maag teng tif gaandé	rest in peace
Rɩɩb roogo	restaurant
wabe	restore
Tèka	restrict
Sen dogninda	result
Sen dog ninda	results
Viim sebre	resume
Vẽenem	retail
N gare	retain
Tongom minga	retention
Rik wuusgo	retired
Vousgo	retreat
Reegé	retrieve
Lebgé	return
Vin-negé	reveal
wiligui	revealed
Sabé_infangé	revenge
yõodo	revenue
Lebindé	reverse
Magbo	review
Tingré	revise
lebg n gesga	revision
Tedg panga	revolution
Waoogr-kũuni	reward
Kolibri	rhythm
Logré	rib
mui	rice
Ligd soaba	rich
Laknin	rid
Tal inkingé	ride
Sẽn maan laado	ridiculous
Ritgo	right
Moss mossan	right now
Kèginga	rigid
luunga	ring
N yẽese	rinse
Kintaaba	riot
Pargué	rip
Lalga	ripe
Paasé	rise
Sabaa-wẽng sẽn tõe wa	risk
Rataaga	rival
bãko	river
route	road
Sin mooré	roast
Tar yako	robust
pagle	rock
Lèooga	rod
Tʋʋmde	role
Foobre	roll
sugri	roof
Rogaanga	room
Yangré	root
Winri	rope
Pongé	rotten
Kon_minga	rough
Wind ya	roughly
gilga	round
Si wouka	route
Pa teemda	routine
Na-kẽndre	row
Rou	rub
sũudu	rubber
Sagdo	rubbish
Nobé	rude
tapi	rug
Lʋɩɩse	ruin
Nao kindré	rule
Nao kindré	ruler
Nao kinda	rules
Woudgui	run
Be sorin	running
Tẽn-kɩrenga	rural
Gnangbo	rush
korgo	sack
gutungulungu	sacred
maande	sacrifice
Wininga	safe
Yikr sen tar gnon koglego	safe flight
Yon koglego	safety
Bogosem	sage
A yeel	said
Kindin gildin	sail
Peendé	sailing
Ranme	sake
yaoodo	salary
koosgo	sale
ziinfou	salmon
yamsem	salt
Baa	same
A yé wa ka	Same here
Lembé	sample
bĩisri	sand
Budism goama	Sanskrit
Poutolaado	sarcastic
Toom	sassy
Zindi	sat
La nonga woto	satisfaction
Sẽn ta raabo	satisfied
Ta yam	satisfy
Ta yam	satisfying
sibiri	Saturday
Nim zom	sausage
Yidigri	savage
N gũ	save
Sinwanda	saw
Yeelé	say
N gãnge	scale
N zãmbe	scam
wiifou	scar
Sen ka bé wakat fan	scarce
Yayissé	scared
pendé	scarf
Sẽn wat ne yɛɛsgo	scary
Saeege	scattered
Maoore	scene
Zi viogo	scenery
Rik pemsem	scent
Yuum day sondg debre	schedule
Karemdoogo	school
Yidigri	science
Bang bèda	scientist
Bangbèda	scientists
Sisso	scissors
Tansé	scold
Sẽn tata	scope
Sindog ninda	score
bassé	scrap
wurgi	scratch
Kaasé	scream
Tounsi	screen
Viim	screw
Sin dinglé	script
mogre	sea
Bangé	seal
baoobo	search
Sinwogo	season
Toum noor zinga	seat
Yiibẽ soaba	second
Yelsogedem	secret
ziing taki	section
koglé	secure
Yõ-koglgo	security
Yan	see
Id bé bilifou	see you
Nin daaré	see you later
Nindaaré	see you soon
Beoogo	see you tomorrow
bila	seed
Pogsada	seek
N wẽnege	seem
Winlgo	seems
Yan	seen
Bindé	seize
Kinsinkinri	seizure
Sin ka bé wakat kinré	seldom
tounsi	select
Fo	self
Tipim tooré	self healing
Zogdo	selfish
Koosé	sell
Toolé	send
Tool maam fo foto	send me your picture
kasema	senior
Sẽn datẽ n yeelga	sense
Nintam	sensible
Sẽn yaa bedre	sensitive
Sẽn tʋme	sent
gomde	sentence
Gom soakdga	sentences
Welgré	separate
Gom zems	Sepedi
Bon biuungo kiougou	september
Pʋsʋka	sequence
Sin pogd taaba	series
Yaa sida	serious
Sidsida	seriously
N tʋme	serve
Tʋʋm zĩiga	service
Wakat ninda	session
Pogdinga	set
viglgu	set up
Zin ninda son toin bangé	setting
N maneg n zemse	settle
Yopoé	seven
Pii la yopoyé	seventeen
Pis-sopoyé	seventy
kateka	several
Sin paké a soaba	severe
Sinbo	sew
sh	sh
Maasem zinga	shade
Maasem	shadow
Miimi	shake
tilaeenga	shall
Zouloug bilifou	shallow
yãnde	shame
Yako	shape
Pouibo	share
Sɩlenga	sharp
Yinda	she
A tara	she has
A yaa	she is
zãnde	shed
pesgo	sheep
vãaoogo	sheet
Teed rotemdem	shelf
Winnego	shell
Solgr zĩiga	shelter
gaongo	shield
teoongo	shift
impilé	shine
Batio	ship
Toolé	shipping
fuugu	shirt
noeeda	shoes
Také	shoot
Tolong roogo	shop
raademsé	shopping
Kul noore	shore
Koayiga	short
Sin kaé	shortage
Winbo	shot
Segd_dilamin	should
bãooko	shoulder
Maan bourgo	shout
Wilgui	show
Wilig maam	show me
soobo	shower
Kul suure	shrimp
Boogé	shrink
Pagé	shut
Pag-a	shut up
Maasim	shy
Yao ne tao	sibling
Babiraado la babipogsé	siblings
Banda	sick
nenga	side
Siri	sigh
Yẽebo	sight
Guesg zinga	sightseeing
Wilgi	sign
Nug-tikri	signature
Tilay	significant
Bourg kaye	silence
Sii sii	silent
Souldoogo	silk
Yalma	silly
Ligdi	silver
Wenlogo	similar
Tingkougr zinga	simp
pa toé	simple
Wakat yɛnga	simultaneously
al	since
Sid yinga	sincere
Sid sid yinga	sincerely
N yɩɩle	sing
Yiida	singer
a yé	single
Konbgo	sink
Mnedsongo	Sir
Babipoaka	sister
Deem-poaka	sister in law
N zĩndi	sit
Ningui	site
Ziinga sin bé	situation
Yoobé	six
Pii la yoobé	sixteen
Pis soobé	sixty
Woglem	size
bãngre	skill
bãngre	skills
Gango	skin
Wagré	skinny
N yẽke	skip
zipu	skirt
gningri	sky
Yemdaogo	slave
Gounssi	sleep
Goin	sleeping
Sousgou	sleepy
Fou nougou	sleeve
Bu girga	slice
N salge	slide
Bilf bala	slightly
Faagé	slim
Salgé	slip
Sik zinga	slope
Wedgre	slot
maasga	slow
Nin maasem	slowly
kidiga	small
bangda	smart
yũugo	smell
laado	smile
Bougzonga	smoke
Saalga	smooth
Ribila	snack
Garwengo	snail
Waafo	snake
Singpogin	snap
Nɛze	snow
Rinda	so
Gninsem minga	so cute
Ne woto	so far
Losé	soak
Safan	soap
Sii	sober
Yinwisgre balé	soccer
Nongtaaba	social
zamaana	society
Nao wuuga	socks
noogo	soft
Toumd téoogo	software
Tẽnga	soil
Sẽn koose	sold
Yao ti sa	sold out
Sodaag	soldier
a yé	sole
Koɛɛnga	solid
A tiim	solution
N manege	solve
Sanda	some
Neda	somebody
Sen ya a soab fan	somehow
neda	someone
Boumbou	something
Wakat ninda	sometimes
yiilé	song
Wakaté	soon
Sẽn tar pãnga	sophisticated
Ira ramb goama	Sorani
zábré	sore
Kokor zabda	sore throat
Soun_saanga	sorrow
Gaafaré	Sorry
N take	sort
Sẽn gẽesde	sought
Sinna toun	soul
noanga	soulmate
Bʋʋre	sound
Biim koom	soup
Miisim	sour
Kaseto	source
Goabg babgo	south
Vɩʋʋgo	space
Kibar b sẽn ka rata	spam
bouki	span
Espagnol zamaana	Spanish
Sẽ tedgda	spare
N gome	speak
Sin pa tarto	special
buudu	species
Sin ya yé	specific
Kasenga	spectacular
Koɛɛga	speech
Ka tar koaega	speechless
Zoé bèda	speed
yi	spell
Raamin	spend
Ligd yitga	spent
Nin zinbiisi	spicy
Tang yiilé	spike
Wẽnsgo	spin
Zinbiisi	spinach
Sɩɩga	spirit
Kongsé	spit
Neem	splendid
Pouibo	split
N sãame	spoil
Sanmé	spoiled
Ziing pougin	spontaneous
Soutougou	spoon
weere	spot
In maané	spouse
Lebguiningui	spread
Sigri	spring
Koudré	square
yangbo	squeeze
Bougsem	squid
kiiga	squirrel
St	st
Konsé	stab
Wedbaré	stable
Sinbé	stack
Tongo	staff
N tigsi	stage
teka	stain
Tounb ziiga	stairs
zoé bon neda	stake
Ambga	stalk
Basga	stall
Sin kond seb	stamp
N pa	stand
Sẽn lebe	standard
Andga	star
N sɩnge	start
Singué	started
Kom-tara	starving
Goosneere	state
Noorgomdé	statement
Loay yalsgo zinga	station
Nin naanda	statue
Menga	status
Pa	stay
Gousi y mensé	stay safe
Nao bogd zugu	steady
Zim nemdo	steak
N yẽke	steal
N yũ	steam
Kud kadre	steel
Faando	steep
raoogo	stem
raaga	step
Yinda	stick
keema	stiff
Wakat fàan	still
Konsé	sting
Ninvineda	stingy
Rambé	stir
Ligd ningdga	stock
zouki	stolen
yãoogo	stomach
geela	stone
Ra bee	stood
Zaooga	stool
Yalsgo	stop
Bingr zinga	storage
Teed-roogo	store
Seb kasenga	storm
Soalma	story
Sam laaga	stove
Tirga	straight
Tirga	straightforward
Yẽgre	strain
Bounlinguidem	strange
Saana	stranger
Yamminim	strategy
moodo	straw
Tibila	strawberry
Vuudri	streak
Lika	stream
sore	street
Panga	strength
Yɛɛsgo	stress
dja	stretch
Sẽn be a nao bogd zugu	strict
pãbe	strike
Sɛnde	string
Peen loetga	strip
fooge	strive
Zug-bãaga	stroke
Panga	strong
panbé	struck
tuum moore	structure
Maoré	struggle
Zouloess pougin	struggling
Ka yam	stubborn
Pagé	stuck
Karẽn-bi-bedre	student
Karengo	study
In katemdin	studying
Bondo	stuff
Teksongo	stunning
Pawoumtoubre	stupid
Manesem	style
Makrsebré	subject
sakintoun	submission
Sakre	submit
Zẽlem	substance
Sen leka	substitute
Sẽn tall gesgo	subtle
Toongé	succeed
Paoogo	success
paamda	successful
Wala	such
Wa la	such as
Mogsé	suck
Vugr bala	sudden
Wakaninga	suddenly
N namse	suffer
Ninbanega	suffering
Sẽn seke	sufficient
Sɩkre	sugar
Wilingui	suggest
wilgri	suggestion
Bourkindlim	suit
Inzemse	suitable
korgo	suitcase
Sod koumsidga	sum
Sẽn kʋmse	summary
Sẽn be	summer
Zoug suka	summit
wĩndga	sun
hato	sunday
Windga beemin	sunny
Wind louiré	sunset
windiga	sunshine
Songoo	super
In yiida	superior
Taoosoaba	supervisor
Sèglé	supper
songtipaam	supply
Teelé	support
N mage	suppose
Sombamin	supposed
Yaa sida	sure
zĩiga	surface
N rʋ	surge
Wedgré	surgery
sondre	surname
N lingi	surprise
Lingri	surprised
Inkengé	surrender
Wevioogo	surrounding
Gounsgou	surveillance
Vaiisgo	survey
N yi	survive
Oub sin balgda soaba	suspect
Yalsé	suspended
Vẽenem kaalem	suspicious
teelé	sustain
Kaosig-pogin	sustainability
Sẽn kaoosda	sustainable
bo gnagdga	swag
N vele	swallow
Teké	swap
Winlé	swear
Toulgo	sweat
Yin wisgri fougou	sweater
Piisé	sweep
Noogo	sweet
Zames somin	sweet dreams
Katré	sweet tooth
nonglem	sweetheart
mondé	swell
Woukri	swelling
Koom rougbou	swim
Koom rougbou	swimming
luulga	swing
toeeme	switch
Mondé	swollen
Zangoe suuga	sword
bon naadi	symbol
Kuilbo	sympathy
Malesem	symptoms
Maasim	system
Wal-kẽenga	table
Pigui	tackle
Sin yanké	tag
Zʋʋre	tail
Riké	take
Tal in loogé	take away
Tal fo ming neeré	take care
N yẽka	take off
Rik	taken
Gomé	talk
Burgo	talkative
Kassenga	tall
robini	tap
diké	tape
ratenga	target
Tʋʋmde	task
noosem	taste
Lembda	tasty
Zamsé	taught
te	tea
N karme	teach
Karemsaamba	teacher
sulli	team
Nin-tãm	tear
Nintame	tears
Gabse	tease
Nasaar tapaala	technology
Yẽna	teeth
Yeelé	tell
Yel-ma	tell me
Manesem sen welgda	temper
Tʋʋlg makdga	temperature
Pous-roogo	temple
Rassem a wan pougin	temporary
Piiga	ten
Tousa yi	ten thousand
Zakasoaba	tenant
N tɩpe	tend
Vuuli	tendency
kũuni	tender
Bindé	tense
Soun-yikri	tension
Sukunga	tent
Nananda	tentative
taabo	term
Sen maan toto	terms
Yelbeedo	terrible
zemsamin	terrific
tinga	territory
veesé	test
Goulsbiisi	text
Ké	than
N pʋʋs barka	thank
Barka	thank you
Bark ne i toogominga nand tid vayisdin in naa bang toolgan	Thank you for your patience while we investigate shipment
Bark wusgo	thank you so much
Bark wʋsgo	thank you very much
Barka	thanks
Bark ne y sin toumd nrd toulda téoogo	Thanks for using our app
Yanwa	that
Ra	that is
Yaa soma	that's good
wa	the
yik	theft
Banb	their
Bamba	them
Gom zougou	theme
Bamb minga	themselves
Rinda	then
Sin gomd	theory
Ka	there
Sen ta	there are
Yaa	there is
Rinda	therefore
Bamba	these
Ibi	they
Oub bee	they are
Taoko	thick
wagdre	thief
gere	thigh
Banega	thin
bũmbu	thing
Bõn-yoodo	things
Tagsé	think
Tanbo in soba	third
Ko-yũud tarm	thirsty
Pii la tan	thirteen
Pis tan	thirty
Yanwa	this
Ya	this is
zanga	thorough
Som sombo	thoroughly
Oub ramb	those
la	though
Tagsé	thought
Tagsé	thoughtful
Tagsé	thoughts
Kobisi	thousand
wĩiri	thread
tãse	threat
Tuuda	threaten
Sou_taooda	three
noore	threshold
Zoun-noogo	thrilled
N fɩɩge	thrive
kokore	throat
Sin touné	through
Hali ti ta	throughout
Singé	throw
Nug raoogo	thumb
Saaga yambré	thunder
Lamoussa	Thursday
Ri	thus
tiki	tick
kingo	tide
Bingi	tidy
karvate	tie
Ambga	tiger
Simbgé	tight
Etiopi goama	Tigrinya
Wakaté	time
Nin sindiri	timid
Kidiga	tiny
saglga	tip
Saglsé	tips
Pini	tire
Yaamin	tired
Peendé	tissue
Yʋʋre	title
Innaa	to
Yi	to be
Sin	toast
Runda	today
Kidiga	toddler
Nao gninga	toes
Lagemtaaba	together
Kosolsiga	toilet
Yeel	told
Kon-sougri	tolerance
Bas tisa	tolerate
Tomat	tomato
Béoogo	tomorrow
Zɩlemde	tongue
Rounda zaabran	tonight
Sinpaasdé	too
Yingri	took
Leo	tool
Toumd teedo	tools
Yindé	tooth
yĩngri	top
Gom zugou	topic
Panrgé	torn
Namsé	torture
Faan	total
Sɩɩsgo	touch
Toogo	tough
Guesgo	tour
Sendebd	toward
Sando	towards
Peendé	towel
Gãlo-tẽnga	town
Kasomba	toxic
riigé	trace
Sobila	track
Tolongo	trade
rogomiki	tradition
Kʋdemde	traditional
Sortounbou	traffic
Sor bila	trail
Zamssé	train
zãmsgo	training
Reegre	trait
Manesem dameb sen welgeda	traits
toolgo	transfer
piougré	transition
Lebgé	translate
Ti nin pooré	transparent
Sotoaka ligdi	transport
Touké	transportation
Bindogo	trap
Tãpʋʋre	trash
Namsgo	trauma
Sotoaka	travel
Lalinga	tray
nonga	treasure
Tipé	treat
manesem	treatment
Tɩɩga	tree
Soma wisgo	tremendous
Bank if sin debidi	trend
Bʋʋdo	trial
Yambi	trick
N make	tried
N sɩnge	trigger
Manegda	trim
Sotoaka	trip
Yayssé	trouble
kurga	trousers
Lo bedre	truck
Woto	TRUE
yãoogo	trunk
Consida	trust
Sɩda	truth
Mamsé	try
Afirik di sud ramb goama	Tsonga
Foogo	tube
talato	Tuesday
Karemdoog ligdi	tuition
Turki tenga	turkey
Sadig tedo	turmeric
Gulgri	turn
Kouri	turtle
Gangsoaba	tutor
Pii la yi	twelve
Pissi	twenty
Pisi la yé	twenty-one
Gana ramb gombuudu	Twi
Noora yi	twice
Koudsé	twist
A yiibu	two
N wẽ	type
Ayé	typical
Winga	ugly
Satem satem	ultimate
Saa fougou	umbrella
Patoin	unable
Yasba	uncle
Ka tagsda	unconscious
Tingre	under
sorga	underneath
Sam-bé	underrated
Woumbo	understand
Woumé	understood
Zoubouko	unfortunately
Tourounfou	uniform
Ye_tan	unique
Nu nu	unit
Karemdobedré	university
Sin pa mi	unknown
San pa	unless
Ntitangue	until
Sẽn ka minimi	unusual
Sin bé gningri	up
Foo seg in wa	up to you
Nif guesgo	update
Teksongo	upgrade
Gningri	upon
Sokasenga	upset
Gãlo-tẽnga	urban
Yam-leoogo	urge
Yãgdem yelle	urgent
Tondo	us
Sin talé	use
Sẽn zoe ningi	used
Sẽn tar yõodo	useful
Ka gnondo	useless
Minoungou	usual
Naorwusgo	usually
Katarto	utility
Vousgo	vacation
Bogbo	vaccination
bogbo	vaccine
Vioogo	vacuum
kowinri	vague
Sẽn ket n yaa sõma	valid
Tang seega	valley
Sẽn tar tilem	valuable
Sinta	value
bu tounsidi	variety
A taaba	various
téké	vary
Lakaséng	vase
yalenga	vast
Zinbiisi	vegetable
Zin biisi	vegetables
lore	vehicle
sinkonta	vendor
Zinem	venom
Toum nokaseng	venture
Zinga	venue
Guinsé	verify
Toin fan	versatile
Wilgri	version
Selle	vertical
Song	very
Sõma wʋsgo	very good
Koglego	vessel
Sen tou ne	via
reem noodo	vibe
Miougou	vibes
Tar paoré	vicious
Kooda	victim
Videyo	video
Guesser	view
vilaase	village
Poutooogo	villain
Miisim	vinegar
Koudré	vintage
Wingbo	violence
Zabsem	violent
wiibdo	viral
Pamifayi	virgin
Sẽn yẽt ne nini	virtual
Maan soma	virtue
Nif guesgo	vision
kaagre	visit
Sin géta	visual
tilaese	vital
Kind nifou	vivid
Gom-biis karengo	vocabulary
Koayiga	voice
N base	void
Vɩʋ-yãmga	volume
Toumd biiga	volunteer
Woubé	vomit
Nugpatapooré	vulnerable
Kiougligdi	wage
Kioug-ligdi	wages
Woglem	waist
Maaguiya	wait
koaasda	waiter
Nanda	waiting
In néké	wake
Nek-y yã	wake up
Kainé	walk
Kindé	walking
moomde	wall
Ligd korgo	wallet
Toudgri	wander
Rata	wanna
Nongin	want
B sẽn baooda	wanted
zabre	war
Teed ninsga	wardrobe
Règl-zinga	warehouse
Toulem	warm
salle	warn
Pindin wilgui	warning
zabzabda	warrior
Ra bee	was
Peké	wash
Sagdo	waste
S'en kot wakatan	watch
Koom	water
Nari	watermelon
sulli	wave
Soré	way
Tondo	we
Tond bee	we are
Tond toingnamin	we can
Ka_panga	weak
Komsem	weakness
Arzɛka	wealth
Rakanré	wealthy
Touké	wear
Kasak	wearing
Wakaté	weather
kãadem	wedding
arba	Wednesday
moodo	weed
Semɛnde	week
Semɛnd saabo	weekend
Paam riibo	weight
Pasoama	weird
Reegé	welcome
Toin ti	welfare
Soma	Well
Fo tão sõma	well done
A kenga	went
Rabé	were
yaanga	west
Maasem	wet
Zimbdre	whale
Boin	what
La foo	what about you
Fo maanda boin	what are you doing
Fo maanda boin Moss mossan	what are you doing now
Fo maanda boin mos mossa	what are you doing right now
Fo maanda bõe	what do you do
Fo maanda boin viima pougin	what do you do for a living
Fo rat in yeel ti boin	what do you mean
Fo rata boin	what do you want
Rawa	what happened
Yaa boin ti	what is
Boin la wan	what is this
Fo toumda boin	what is your job
Fo yuur la anda	what is your name
Boin kibar bé	what's up
Fo your la anda	what's your name
Ba sin ya a soaba	whatever
Bɩle	wheat
Karga	wheel
La	when
Wakat fan ti	whenever
Yaé	where
Fo bée yae	where are you
Yãmb yii yaé	where are you from
Fo be yɛ wakat kãnga	where are you now
Fo gãe yɛ	where do you live
A bé	where is
N yaoolẽ ka	whereas
Ngué	whether
Anda	which
Minkamin ti	while
Yiké	whisper
peebé	whistle
Peelga	white
Laafi tuum doogo	who
Fo yaa ãnda	who are you
Sin ya	who is
Ya and da	who is this
Naagtaaba	whole
Ãnda	whom
La	whose
Boin gninga	why
Boin yinga	why not
Nin-wẽnga	wicked
Yalengo	wide
Pog konré	widow
labsem	width
Paga	wife
Weogboumbou	wild
Yita	will
Sẽn dɩgle	willing
N paame	win
Sebgo	wind
Pemeslenga	window
Sin kot sobgo	windy
Vinraam	wine
Waog kaseng kiuugu	winter
Gninsé	wipe
Boug winri	wire
Bourkina	wisdom
Bogsgo	wise
yamdaabo	wish
Wend na malgé in kon yan	wish you all the best
Soingnan	witch
Nee	with
Winemde	withdraw
Reegré	withdrawal
Pougin	within
Ba	without
Kaset soaba	witness
Siiga	witty
Gigem baaga	wolf
paga	woman
pagba	women
Paamé	won
A pa na maan yé	won't
Tara panga	wonder
somblem	wonderful
raoogo	wood
Lango	wool
Gom-bila	word
Gom biis wugbo	words
Tuumdé	work
Zamsgo	work out
Toumd toto	working
Dounia	world
Yimbiiga	worm
Touké	worn
Yɛɛsgo	worried
rabeem	worry
Sẽn yɩɩda	worse
Toundem	worship
Wenga	worst
Sinta	worth
Rin sekamin	worth it
Halaale	worthy
Nawayi	would
N pogle	wound
Õ	Wow
N vɩlge	wrap
Soun yikri	wrath
Nug-sẽbre	wrist
Goulsé	write
Goulsi ka	Write here
In goulsidin	writing
Goulsé	written
Zinri	wrong
Goulsé	wrote
Yiri	yard
Yaango	yawn
Ngué	Yeah
Youmdé	year
Youma	years
Rabilé	yeast
kaasé	yell
rõodo	yellow
ingué	Yes
Ngé mbiiba	yes baby
Ingué mnonga	yes dear
Yibéoogo	yes honey
Ingué mnonga	yes my love
Ingé sida	yes of course
Zaamin	yesterday
Yeyaasa	yet
Boumsoaba	yield
Foo	you
Fo ya	you are
Fo yaa neere	you are beautiful
Fo yaa neer hali	you are so beautiful
Ka sek ye	you are welcome
Sinyaa soab fan	you can
Fo mi	You know
Fo me	you too
Ka sek ye	you're welcome
Bibiiga	young
Foo	your
Ka sek ye	your welcome
Fo minga	yourself
Bibiilem	youth
Ka sek yé	you’re welcome
Nooma	yummy
Zaalem	zero
