a little	qunxaama
mug	kubbayya
muscle	arqo
museum	daaran-araca
mushroom	ginni caxa
music	gada
music	kanniy
must	dirki
mute	anay mali
mute	duuda
mutual	ittin-gey
mutual	ambalaala
my	yi
My dear	yi kacanow
my friend	yi kataysa
My hovercraft is full of eels	yi kokkobeena kullimta ceela alak kibuk tan
my love	yi kacanu
my name is	migaq yok…
my pleasure	taqabi mali
my pleasure	yi ruffa
myself	yoo
mysterious	cuumiita
mystery	cuumi
myth	ragid sini aydaadu
myth	hayyayooni
nail	mismaara
nail	lifiqi
naive	garci le
name	migaq
narrative	tekkò gabbaaqu
narrow	ceena le
nasty	abici
national	agatiini
nationality	agattiina
native	baaxo baxa
native	sugeet numu
natural	ginoh imi
nature	gino
nausea	sakkitaanama
nausea	uydunuuqumu
near	xayih
nearby	gariik
nearly	edde xayuk
neat	saytunih
necessary	abaanam faxximtam
neck	filla
necklace	filli dahaba
need	faxximtah
negative	maleeyta
negative	asqassi
neglect	carrà dagna
negotiate	malbo ab
neighbor	cuggaane
neighborhood	ganda
neither	ulim hinna
nephew	maqanxa baxa
nephew	saqal baxa
nerd	baritto kacanu le
nervous	cunxuteh
nest	kimbirò-qari
net	oflo
network	netwarki
neutral	magabbise
never	way matakka
never give up	niya margaqin
never mind	aleey yanay xic
nevermind	yanay xic
nevertheless	takkay ikkal
new	qusbah
news	xaagu
next	ciggiilak
next to	garik
nice	meqeh
nice to meet you	koo geemih ruffa exce
nice to meet you	kot ongoorewem yot temqeh
niece	say toobokoyti baxa
niece	say maqanxa baxa
night	bara
nightmare	uma soono
nightmare	ascaakira
nine	sagaala
nineteen	taban kee sagaala
ninety	sagla tabana
No	bale
No	hinna
No	aleey
no problem	tù taqabi mali
no way	matakka
no way	balè
nobody	num hinna
noise	waxxaqto
noisy	wexxeq leemi
none	wohuk tu hinna
noon	laqo
nope	aleey
nor	wohuk tu hinna
normal	qaadik taniimi
north	kilbata
nose	sana
nostalgic	maxhaxa
not	hinna
not at all	balè wonna hinna
not bad	umam hinna
Not now	away hinna
not yet	uxih innah
not yet	awayam fan
note	kassiiseena
noted	aytì-gexxo li
nothing	ane waytaama
nothing	tu hinna
notice	ced
noticed	cedeh
noun	seecenta
nouns	muggaqse
novel	qusbaama
novel	haadala
november	naharsi kudo
now	away
now	awak
nowadays	awayyih uddu
nuisance	loklokoli
null	foyya
numb	diye xagara
number	ixxima
number	nibro
nurse	nersi
nut	loozu
nutmeg	koqso ibak fanat ruubaanama
nutrition	adooba-wag
oath	xiiba
obesity	kaxxa aroodu
obey	ammirtimiyya
object	tumamme
object	sadiyya
objective	hadafa
obligation	dirki
obscure	qubulli
observation	asseleeleqiyya
observe	cubbus
obsessed	kaxxa fayxi
obsessed	ceenisiyya
obsession	hawri sinni fayxi
obsolete	wakti elle tatrè
obstacle	adafa
obtain	geyiyya
obtained	geytimeh
obtained	geeh
obvious	qaduuk
obviously	qaduuk
occasionally	inki inki waqdi
occupation	taama
occupied	tintibbixe
occur	geytimiyya
occur	akkiyya
occurred	tekkeh
occurs	takkeh
ocean	kaxxa bada
october	kaxxa garablu
odd	ablewaynu
odd	raqle
odds	saami
of course	asmata
off	baysu
off	kal
offensive	umaama
offensive	tanqibiseemi
offer	xayyosiyya
office	kutbè buxa
official	reedantu
often	mango waqdi
often	mango widdir
Oh	yaa!
oh really	nummah ittaa
oil	saliidi
ok	naqam
ok	meqeh
ok	nagaya
ok dear	meqeh yi kacanow
ok honey	meqeh yi malabey
ok my love	meqeh yi kacanow
okay	naqam
okay	meqeh
okay	nagaya
okay baby	meqeh yi dahabey
okay dear	meqeh yi dahabow
okay dear	dahabey
okay honey	meqeh yi dahabey
okay my love	meqeh yi dahabey
old	raagteemi
old	idaltu
on	amo
once	dumah
once	inki adda
one	inkittu
one language is never enough	Inki af yaaxigeenim dubuk tumaxiqta
onion	basala
online	oyti maraba
only	dubuk
open	fakiyya
operation	cogda
opinion	akkala
opportunities	saami
opportunity	saami
opposite	sadi
optimistic	niyale
option	dooro
optional	dirki akke sinni
or	hinnammay
or	aw
orange	burtukaan
order	caddo
ordinary	dumak taniimi
ordinary	midu
organization	egla
organization	missoyna
orientation	mahoodo yaceenimi
origin	elle geytim
origin	ugutu
original	hunun
Oromo	Oroomoh afa
orphan	qayxixxu
other	kalah
otherwise	akkewaytek
ought	takkem faxximta
our	niimi
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Ni qalaama: kulli num, kulli baaxok  qaalam cedam kee af kaa abbixe kal is yaybullu xiqsiisaanama.
Our mission: to organize the world's information and make it universally accessible and useful.	Ni qalaama: Baadak inkih oyta missosahaanam kee  inkih yan baad gufsaanam kee tuxxiqil assaanama.
out	iro
outcome	xalu
outfit	sara
outfit	tikya
outgoing	tawqeemi
outlet	tuk mawqa
outline	sidoysiyya
outside	iro
outstanding	kaxxam meqeemi
outstanding	muxxò leemi
oven	mididdi
over	gaba kale
over there	wokkel
overall	amolladih
overcome	aysiyya
overthinking	mangom acsubiyya
overthinking	kaxxa bohoyu
overwhelmed	caddok daka takkem
overwhelming	caddok daga
owe	abuud aalliyya
owl	assadaara
own	cankah aalliyya
own	aalliyya
owner	lewanna
ox	aguru
pace	sissikaane
pack	quuka bicis
pack	packeeti
package	xammaqiyya
paid	mekkelsimteh
pain	qansaru
pain	beyak
paint	askutiyya
painting	muuci
painting	askutiyya
pair	nammaamih asgella
pair	nammay
pale	qadoomu
palm	ginnaqta
pan	maqayto
pandemic	tabta dalka
pandemic	dadhoyta
panic	qarkakiyya
pants	butanta
pants	adda saro
paper	warkata
paradise	firdawsi gannata
parallel	sittin missa
parcel	ittat taniimi
pardon	qafu
parents	xaleyna
park	walwalle araca
parrot	yabta kimbir qaynata
parsley	suruy meqe hurdin qoborta
part	garaba
participate	engel
particular	baxsa luk
particular	baxsa
particularly	baxsaluk
partner	siitalluk tu le mara
partner	saacib
party	missoyna
pass	taturu
passage	kawsa
passed	tatreh
passion	kaxxa kacanu
passionate	caylali
passive	sadusinna
password	sirri-loowo
past	tatre wakti
patch	luwaata
patch	ecla
path	gita
pathetic	taczunuseemi
patience	sabri
patience	xiqi
patient	dalkeyna
patient	lakmise
pattern	tu-mabullu
pause	inki waqdi soolo
pavement	gita
pavement	wallu
pay	mekel
pay	mekla
payment	mekla
peace	salaama
peaceful	saay leemi
peach	caxa fexxa
peak	exxà
pear	qado qinaba
peas	Qatiritte
peculiar	baxsaleemi
pee	daaco
peel	qalloysiyya
peel	fiikiyya
peel	qallo
peer	adoyta
peer	fiqimtu
peers	adoytiiti
peers	fiqmà
pen	kalama
pencil	kalama
pending	takkare kalah yaniinim
people	sinam
pepper	dat barbare
perceive	yacsubeenimi
perception	hangi
perception	ascab
perfect	kullim gitat lem
perform	duddaaliyya
perform	abiyya
performance	duddala
perhaps	balkih
perhaps	masalan
period	sona qabala
permanent	raagah
permanent	maytanih
permission	idini
permit	idini yaceenimi
perseverance	sabril kattaatanama
persistent	taqbe sinni
persistent	sabrili
person	inki numu
personal	cankah imi
personality	sehdaytuk caalata
perspective	tu-mabulu
persuade	geysiisaanama
pervert	adabi sinni numu
pet	buxah ala
phase	caddo
phenomenon	tekko
philosophy	tafakkur misso
phone	telephoonu
photo	taswiiri
photo	muuci
phrase	maxcà
phrase	muduqqa
physical	xagar wagittam
pick	door
pick	meex
pick up	ugsaanama
picture	taswiir
picture	muuci
piece	exxa
pieces	exxaaxi
pig	asaama
pigeon	camaama
pile	koboxu
pillow	makadda
pillow	barkuma
pilot	haadise
pilot	bayleeti
pin	mudeena
pineapple	tuffaaca
pink	agbi bisu
pit	naba boodo
pitch	booxa
pity	rooka
pity	xuwaawa
place	araca
places	aracitte
plague	taba lakima
plain	qaduuk
plain	bisu mali
plan	ikraaro
plane	tayyaara
plant	caxa
plant	daabis
plants	cooxu
plate	sacfat
plate	sacan
platform	missoyna
platform	madrak
play	digiri
playing	digraanama
pleasant	rufto leemi
please	magan
pleased	ruffa iyye
pleasure	rufto
pledge	xagana culiyya
plenty	nabah taniimi
plenty	mangoomu
plot	mako
plug	edde culsaanama
plum	qinab-xaylo
plumber	lee biubah taama abeena
plural	manga
podcast	walal barnaamiji
poem	qadaar
poetry	qadaara
point	ximmo
poison	summi
police	boliisi
policy	poolisi
policy	radmo
polite	caalat maqaane
pollution	wassakoosu
pollution	saadiyya
pond	dora
pool	kalawa
poop	caara
poop	markabak derreh exxa
poor	tu mali
poor	qayxixxu
pop	qunxa bakaqto
pop	mango mari yaabe gadih qaynata
popular	tamixxigeemi
popular	sinam kicniimi
population	ummata qadata
pork	cereyya cado
porridge	dakca
port	marso
position	araca
position	taama caddo
positive	leytak taniimi
possess	aalliyya
possess	leh
possession	cankah aalliyya
possessive	maalliino baxxaqsa
possible	takkem bictah
post	rub
post	takayru
postpone	geeri widirit cabiyya
postpone	waqdi ayxeeriyya
potato	xinnichi
potential	beeri dudda
pound	quuki loowo
poverty	baaca
poverty	qayxiixanna
power	cayla
powerful	cayla le
practical	abnisso
practice	qibisaanama
praise	fayla
prank	digir makko
pray	xooqat
pray	dooqa
precious	gaali
precise	gitat
precisely	gitaak
precisely	hununuh
predict	ekkel
predict	akkal hayis
prefer	doorah
preference	taakume dooro
pregnant	soolima
prejudice	qaxiinu
premises	naharsi mabla culenta
premium	fayyale mexxale
preparation	bicà
prepare	bicsiyya
prepare	gulgulise
prepared	bicteh
preposition	tekko tascasse qangooru
presence	geytimiyya
present	aniyya
present	acwa
presentation	xayyoosu
preserve	qambal
preserve	dacris
president	naharsi saqala
press	gutqo
press	matbaqa
pressure	gutqo
pretend	celssiisi
pretty	qaxmiqa
prevent	kallalu
previous	ahaak afa
prey	admo
price	mellebi
price	limo
pride	kibriya
priest	keesi
primary	qimbo caddo
prime	yayse daban
prime	qemboh
princess	amoyti say baxà
principal	barittò buxa saqal
prior	afal
priority	naharsiino kah yaceenimi
prison	casbi buxa
privacy	dubuukiya
private	cankah
privilege	gaariti
prize	acwa
prize	kaado
probably	aslan
probably	takkem bicta
problem	taqabi
procedure	gexsiti
proceed	bisoh inxic
process	gexso
produce	yamruteemi
product	murti
production	murti
profession	mihrata
professional	mihratle
profile	weelo
profit	xallotu
profound	adda leemi
progress	biso maxco
project	taddeera
project	projectii
prominent	tamixxigeemi
prominent	baxxaq leemi
promise	qaago
promise	xagana
promote	yaysexeexegeenimi
promotion	caddò dadala
promotion	aysixxigiyya
prompt	sissikaane
prone	qeeditiyys
prone	tut beyaakimiyyi manga
pronouns	bedi muggaqso
pronunciation	yoh seecis
pronunciation	silki yoh has
proof	sumaaqa
proof	alhumu
proper	faxximtaama
properly	gitaak
properly	missat
properties	ikoytiiti
properties	baxsale caalatitte
property	ikoytiino
proposal	mablal
prospect	qaago
prosperity	leeda
prosperous	leedimteemi
protect	dacris
proud	kaxxiiniteh
prove	sumaaqis
prove	cedsis
provide	baxaciyya
provide	xayyoosiyya
provided	yeceeh
provided	teceeh
province	rasu
provision	kurraabiyaanama
provision	xayyoosu
puberty	baxuwwiinu
puberty	furrayniinu
public	ayyunta
public	ummata
pull	giitaanama
pumpkin	kamadoora
punctual	saaqatal geytimiyya
pupil	barteena
purchase	xaamaanama
pure	saytun
purple	sissin bisu
purpose	hadaf
purse	gaba santa
pursue	kattaatiyya
pursuit	gorana
pursuit	goor
push	gutuq
put	hayis
qualification	faxximta xiqto
quality	mexxata
quantity	caddo
quantity	gidda
quarantine	deesiyya
quarantine	deesen araca
quarrel	naqaabu
quarrel	qeebi
quarter	rubqi
Quechua	Quechuah afa
queen	amoyatà
queen	malika
queer	baarra lakabta barra
queer	salaf xaga num
query	essero
question	essero
queue	daami rorta
quick	sissik
quickly	sissikuk
quiet	kaccà teemi
quiet	tibba teemi
quilt	calagto
quit	cabiyya
quite	qigdu
quite	inkinnaah
quiz	ux aqayyaare
quotation	mascassa
quote	ascassiyya
quotes	maxcooci
rabbit	bakkeela
race	qalala
race	agat
rage	bagcarra
rain	roobu
raise	fayyiso
raise	ugsiyya
raised	ugseh
raised	yeynebeh
ran	yerdeq
ran	terdeh
random	elle aninaan innal
range	roorisso farakka
rapid	sissik
rapidly	sissikuk
rare	dayih geyaanama
rarely	dayih
rash	xagar waybo
rat	cantuuta
rate	waadisiyya
rather	hinna immay
ratio	raashiyo
rational	sababli
raw	qasih
raw	alaye kal
re	qagu
reach	gufeh
reached	gufeh
reached	maadeh
reaction	wadir gacsa
read	kawis
reading	kawsiyya
ready	bicat gaciyya
real	numma
reality	numma
realize	cediyya
realize	nummaysiyya
realized	yixmiqeh
really	nummaak
rear	ellel maynubu
reason	sabab
reasonable	yakke sabab
reasonable	takkeemi
recall	kassit
receipt	yoofenta
receive	oggol
receive	hirig
received	hirgeh
received	oggoleh
recent	qusbaama
recently	xayi uddurut
reception	qibnaytiino
recipe	maaqò bicsih miracsenta
reckless	kas mali
reckless	baaqid mali
recognition	mamaxxaga
recognize	axmaqa
recommend	ascossa
recommend	qakali maco
recommended	fayu leemi
recommended	yescesseh
record	maysaqarra
recover	yeseeheleh
recover	andabbiyya
recovery	qaffootu
rectangle	affara gammili
red	qisi
redeem	mekliyya
redemption	wadu
reduce	daggos
redundant	qagaaqagu
redundant	fula
refer	tatrusiyya
reference	sumaaqisso
reflect	abaabis
reflection	abaabimi
refrain	is waaso
refrigerator	xamciseyna
refrigerator	barraada
refund	maalu gacsa
refuse	cinaanama
refused	cineh
regard	konnabna
regarding	wagsiisak
regardless	faxem takku
regards	wagsiisak
regards	nagaale
region	rakaakaya
register	maysaqarra
regret	nadaama
regular	timixxigi
regular	kulli waqdi
regularly	qaadih
regularly	kulli uddur
reject	cin
relate	ramaddos
related	ramad leemi
relationship	qalla
relationship	angaaraw
relative	ramada
relatives	ramaditte
relax	sabhalal
release	cabiyya
released	caben
relevant	angaaraw leemi
relevant	taguudeemi
reliable	aamanti leemi
relief	oftoyu
relieve	sahlisso
relieved	oftoy gee
religion	diini
religious	diini li
reluctant	namma kalbitak
rely	kibalsiti
rely	kelliti
remain	raq
remain	saabo
remaining	raqteemi
remarkable	qajaba
remarkable	cakkuumu
remedy	qellat massoosu
remember	kassit
remind	kassiisi
reminder	kassiisenta
remote	alla
remove	cabsis
remove	kal
render	issi maqna yecee
rent	kira
repair	bicsa
repeat	qagis
replace	arac korsa
reply	kaadu gacsa
report	gabbaaqu
represent	awlisso
reputation	meqe migaaqa
request	qaago
request	kallaci
require	faxsisso
require	faxximta
required	faxsissa
rescue	catiyya
rescue	wadiyya
research	kusaaqa
resemble	ceelo
resentment	carsiti
reservation	arac ibbix
reservation	teelo
reserve	arac ibbixi
resident	sigoh elle yan
resign	isih cabiyya
resilience	xiiqi
resilient	xiqto li
resist	sadu
resistance	saduh soolo
resolution	faatilisso
resolve	tifgideh
resolve	yifgideh
resort	sabhalal araca
resources	gadditte
respect	massakaxxa
respond	gacsa
response	gacsa
responsibility	esserimiyya
responsibility	qaaqa
responsible	masuuliyyat le
responsible	qaaqa li
rest	oftoyu
rest	qoof beyti
rest in peace	yalli kaah cabay
restaurant	maaqo buxa
restore	elle sugennah gacsa
restrict	waadot aysaadiyya
result	xalu
results	xalootitte
resume	fanak qemmis
retail	boqà tellemo
retain	daagisso
retain	raaqisso
retention	ayseediyya
retired	dadqoh yewqe
retreat	arac cabti
retrieve	gacsis
return	udur
return	madaara
reveal	qaddoysiyya
reveal	maysaballa
revealed	qaddowteh
revenge	cane gacsa
revenue	maali gibiri
reverse	qaksih gaciyya
reverse	derreh gaciyya
review	sekkactu
revise	sekkaacis
revise	aysis
revision	massosu
revolution	uguugumu
reward	acwa
rhythm	dubto
rib	masanglae lafa
rice	ruddi
rich	gaddali
rid	bayis
rid	kal
ride	amo gexiyya
ridiculous	taysuuleemi
ridiculous	ceelewaynu
right	cakki
right	migda
right now	awaqdiik
rigid	isih iyyem faxe
ring	ferranto
rinse	rukruk
riot	uluuluka
rip	qanxisiyya
ripe	alayte
rise	ugtiyya
rise	koomiti
risk	osodu
rival	anaakareyna
rival	naqboyta
river	dora
road	gita
roast	laqlaqo
robust	maqarle
rock	kelleyto
rock	xaa
rod	birti caxxa
role	midu
roll	galaadisiyya
roll	kokkobiya
roof	tarmaana
room	qari
root	ramidi
rope	akata
rotten	abicteemi
rough	cenkarli
roughly	amotilih
roughly	cayla luk
round	maro
round	meeko
route	gita
routine	ayrok ayrok
routine	qaada
row	rorta
rub	godciyya
rubber	labara
rubbish	nafqi mali
rude	adbi mali
rug	guula
rug	duuge saro
ruin	baysiyya
ruin	bookookiyya
rule	miraacis
rule	madqa
ruler	miraacise
rules	madqooqi
run	ered
running	arda
running	ardiyya
rural	barri
rush	sissikaane
sack	dagor le kiisi
sack	diiriyyo
sacred	diini massakaxxa leemi
sacrifice	fida
safe	kazna
safe	amaanat tanim
safe flight	salaam safara
safety	nagayna
sage	kasloyta
said	iyyeh
sail	doonik safara
sailing	doonik safara
sake	.ah sabbatah
salary	qasbi
sale	limo
salmon	naba kullunta
salt	qasbo
same	inkitto
Same here	baxsa le caalatitte
sample	ceelallo
sand	saacili
Sanskrit	Sanskrit afa
sarcastic	aysabahisil
sassy	yalliili
sat	daffeh
satisfaction	rufto
satisfied	ruffatem
satisfy	ruffa haanama
satisfying	rufto leemi
Saturday	sabti
sausage	yoogoren cado
savage	galel mali
save	wadiyya
saw	ubleh suge
say	ixxic
scale	mawqa
scam	duquusu
scam	ayra
scar	anxaqa
scarce	dagnà
scared	meesiteh
scarf	lakbayto
scary	meysissaama
scattered	fixixxeemi
scene	araca
scenery	baaxo bilaat
scenery	mayballays
scent	suruyu
schedule	ikraaro
school	barittoh buxa
science	misso
scientist	missiini mixigi
scientists	misso mixigwa
scissors	makasa
scold	sahtiyya
scope	caagidik ekraaro
score	loowo
scrap	cabiyya
scratch	fiiko
scream	deero abe
scream	kaayeh
screen	mablà gali
screw	diggoysiyya
script	ransa
sea	bada
seal	alif
search	gorana
season	qasri
season	wakti
seat	daffeyna
second	seconxi
second	nammay hayto
secret	cuumi
section	footima
section	kurto
secure	digga le
security	dacayri
see	mabla
see	ubul
see you	hayya hay
see you	koo ableh
see you later	sarra koo ableyyo
see you soon	xeyih itta geenno
see you soon	xeyih kableyyo
see you tomorrow	beera koo ableyyo
seed	dariyyu
seek	gorris
seem	ceelo
seems	ceelah
seen	tumbulleh
seize	abbax
seize	bukkus
seizure	bukkusiyya
seldom	inki inki adda
select	dooriyya
self	isih
self healing	isinni daylisiyya
selfish	is kicne
sell	aylammiyya
send	ruubiyya
send me your picture	Ku taswiir yoh rub
senior	saqala
senior	idaltu
sense	mabla
sense	maabba
sensible	kas le
sensitive	annaak yanqibi
sent	ruubumeh
sentence	maxca
sentence	ackumiyya
sentences	maxcooci
separate	baxsaanama
Sepedi	Sepdi afa
september	qunxa garablu
sequence	midu
series	sitallakle
serious	digir male
serious	cubbi luk
seriously	nummaak
serve	ayfaafayiyya
serve	xayyos
service	ayfaafaya
session	daffeyna
set	hayis
set up	bicsiyya
setting	tu elle tekkekke
setting	bicsi araca
settle	nooko
settle	afraqiyya
seven	malciini
seventeen	taban kee malciini
seventy	malci tabana
several	mango
severe	caylale
severe	gibdih
sew	axcixiyya
sh	uss.
shade	silaalo
shadow	silaalo
shake	axaxisiyya
shallow	adda sinniimi
shame	qaybi
shame	wacarriyi
shape	weelo
share	asgalliyya
sharp	exxaleyta
she	teeti
she has	is leh
she is	is kinnih
shed	qeksu
shed	kalti
sheep	ida
sheep	illi
sheet	ansoola
shelf	uwwi rooru
shelf	riigi
shell	sara
shelter	reebu
shelter	iraawoh arac
shield	goobu
shift	milaagiyya
shine	uriyya
shine	liliiqiyya
ship	dooniki
shipping	baddi merraytu
shirt	shamiizi
shoes	kabeeli
shoot	utuk
shoot	ugur
shop	dukkaana
shopping	limò
shopping	xaamiyya
shore	qaxa
short	uxxih
shortage	nukusi
shot	ugra
shot	atka
should	taguudeh
should	takkem faxximtam
shoulder	lakba
shout	kaayiyya
show	uybulluy
show	mayballaata
show me	yoo uybulluy
shower	dagay kaqaylo
shrimp	qunxaama
shrink	kiiqitiyya
shrink	addah gaciyya
shut	alif
shut up	tibba xic
shy	wacarriyli
sibling	maqanxa
sibling	toobokoyta
siblings	maqanxa
siblings	toobokoyta
sick	biyakli
side	gambi
sigh	laclaci ufuy ruubo
sight	yableenimi
sightseeing	gufne gexo
sign	asta
sign	afrimiyya
signature	firma
significant	kaxxam faxximtaama
silence	tibba
silent	tibbale
silk	cariiri
silly	qulaal
silver	lakqo
similar	sitta ceela
simple	sahali
simultaneously	sittalluk
since	tohuuk xabba haanam
since	wagitak
sincere	kalbiik
sincerely	nummaak
sincerely	sorkocobaxaak
sing	gad ab
singer	gadabe
single	tiya
sink	anxuqumiyya
Sir	Gifta
sister	maqanxa
sister in law	say ballise
sit	daffey
site	fanteena
site	araca
situation	caalata
six	leceyi
sixteen	taban kee leceyi
sixty	lactama
size	caddo
skill	mihrata
skills	miharata
skin	araba
skinny	qaku le
skip	tatur
skirt	gurdi-kamiisi
sky	qaraana
slave	naqasu
sleep	xiini
sleeping	xiiniyya
sleepy	camuccu iyye
sleepy	xinti fayxi
sleeve	gaba gufta saro
slice	exxa
slide	aftuciyya
slightly	dagoo caddol
slim	qaku le
slip	aftuciyya
slip	addak tabsiyya
slope	uluullu
slot	faxo
slot	booha
slow	caatih
slowly	caatih
small	qunxa
smart	agiru
smell	suruysiyya
smell	suruyu
smile	asal
smile	bikkiqitiyya
smoke	qeerisiyya
smooth	missa le
smooth	xabca le
snack	elle suga maaqo
snail	caatih gexiyya
snail	sankaraaraqz
snake	baaxot ala
snap	argiqiyya
snow	barafa
so	tohih sabbatah
so cute	kaxxam qaxmeqe
so far	awayam fan
soak	arqusiyya
soap	saabunu
sober	cubbi le
soccer	ibi koqsò
social	ayyuntiimi
society	ayyunta
socks	kalsitte
soft	xabcin
software	kombiter tadeera
soil	siisa
soil	ballaaqe
sold	kallimteh
sold	yeylemmeenih
sold out	inkih tellemmeh
soldier	qaskara
sole	soolu
solid	gibdo
solution	fidga
solve	ifdig
solve	raddi gacis
some	inki inki
somebody	inki num
somehow	faxennal
someone	inki numu
someone	barra
something	inki caagid
sometimes	inki inki waqdi
song	gada
soon	xeyih
soon	xayuk
sophisticated	qusba qasrih imi
Sorani	Sorani afa
sore	dale le
sore throat	garayri dale
sorrow	rookitiyya
sorrow	cuzni
Sorry	aczuneh
Sorry	qafu
sort	riksiyya
sort	missoysiya
sought	gorriseh
soul	rooci
soulmate	sorkocò baxi kacnoyta
sound	xongolo
soup	shorba
sour	tamu aamiyya
sour	cenkar baahiyya
source	ayqu
south	gabbi
space	araca
span	maada
span	baaxa
Spanish	Esbeen afa
spare	fula
speak	yab
special	baxsa le
species	samaditte
specific	baxisa luk
spectacular	cakkuumuk taniimi
speech	yaaba
speechless	yab yeffere
speed	sissikaane
spell	kawsiyya
spell	warrisiyya
spend	ayyaaqiyya
spent	yeyyeeqe
spent	laclaceh
spicy	carrissa maaqo
spike	osiyya
spike	afle birta
spin	meekis
spinach	Yankamme caffale caxaaxuwi
spirit	rooci
spit	tuf
splendid	qaxmeqe
split	kuriyya
split	baqsiyya
spoil	baysiyya
spoiled	batriiseenimi
spontaneous	likaacise
spontaneous	garciik abaanama
spoon	malkaqa
spot	araca
spouse	baqala
spouse	barra
spouse	lewanna
spread	aydariyya
spread	gufsiyya
spring	sugumu
square	booxa
squeeze	xukkut
squid	bacra ibale baddi ala
squirrel	geera qadoytà
stab	mudiyya
stable	yesseedeh
stack	kobxisiyya
staff	taama abeyniiti
stage	madraka
stain	darba
stairs	rankooka
stake	kela
stalk	kattaata
stall	eyseediyya
stall	qunxa dukkaana
stamp	atbiqiyya
stand	sooliyya
standard	madab
star	cutukta
start	qembo
start	qimmis
started	qembiseh
starving	qululu
state	xiinisso
state	caalat
statement	qaddoosu
station	fanteyna
statue	sehdaytu kee ali weelol sooliseenimi
status	caalata
stay	sug
stay safe	nagay sug
steady	qilsih
steak	qasa cado
steal	garqiyya
steam	hofo
steel	birta
steep	daaba
stem	caxa rimidu
stem	laqibi
step	caddo
step	maaqatta
stick	caxxa
stiff	digga le
still	uxih
still	kacca yaanama
sting	mudiyya
stingy	gabaggidba li
stir	arac korsa
stir	taqabi ugsa
stock	uwaat badaaqa
stolen	garqimteemi
stomach	bagu
stone	xaa
stood	sooleh
stool	daffeyna
stop	soolis
storage	gaaboyseyna
store	daagisiyya
store	dukkaana
storm	mermeritta qaane
story	aydaadu
stove	mididdi
straight	saanih
straight	missa
straightforward	qaduk
strain	silloysiyya
strange	barteweenimi
stranger	qibnaytu
strategy	cogda
straw	caffa
strawberry	injorri
streak	firti asta
stream	lee le bixaaxi
street	giti qaxa
strength	cayla
stress	xiicimiyya
stretch	giit
stretch	fidis
strict	digga le
strike	uluuluka
strike	taama soolo
string	tufulu
strip	fiikiyya
strip	kaliyya
strive	gabbatiyya
stroke	sorkocò baxi atka
strong	maqar le
strong	digga le
struck	yumuttukeh
structure	rikissi
struggle	giclo
struggling	angacalluk
stubborn	giddi le
stuck	daabiteh
stuck	yeedeh
student	barteyna
study	ikriy
study	kusaaqa
studying	kusaaqisiya
studying	bartiyya
stuff	tumamme
stunning	cakkumu
stunning	qajaaqibi
stupid	duquru
style	sari haytih cogda
subject	dikmiyya
subject	ammunta
submission	gaciyya
submit	culsaanam
substance	tumamme
substance	lani caagidi
substitute	nagreyna
substitute	milaag
subtle	sabhal luk
subtle	cubbi luk
subtle	caatih
succeed	arcimiyya
success	arcimiyya
successful	arcimta
such	tanah tsnim
such as	ceelalloh
suck	muxuuqiyya
suck	axiiyya
sudden	garciik
suddenly	garciik
suffer	qansaritiyya
suffering	qansaru
sufficient	xiqtah
sugar	sokkara
suggest	ascossiyya
suggestion	ascossa
suggestion	mabla
suit	bica leemi
suitable	bica le
suitcase	lubbi santa
sum	ossa
summary	amoggacsa
summer	cagaya
summit	fayya le daffeyna
sun	ayroyta
sunday	caada
sunny	ayro le
sunset	ayro culma
sunshine	ayro diifu
super	daga raaqa
superior	daga raaqa
supervisor	lowsiise
supper	afxago
supply	xayyoosu
support	qokolu
suppose	akkaliyya
supposed	who ekkele
sure	asmata
surface	irò weelo
surge	haffo
surge	garcik fayya
surgery	qamaliyya
surgery	xaqar qanxiso
surname	abba migaaqa
surprise	cakkumsiisiyya
surprised	cakkumsuteh
surrender	gaba yaceenimi
surrounding	marot
surveillance	kattaata
survey	nadar qidiyya
survive	asillimiyya
survive	raaqiyya
suspect	dareemime
suspect	bohoyitiyya
suspended	waasenih
suspicious	bohoyu
suspicious	waagisiyya
sustain	soole kalaanama
sustainability	waarisso
sustainable	waar le
swag	liglig
swallow	unxuq
swap	milaag
swap	giyyar
swear	xiibitiyya
sweat	xooqu
sweater	shurraaba
sweep	fiy
sweet	salfa le
sweet dreams	meqe soono
sweet tooth	canti moddina
sweetheart	kacnoyta
swell	duddubiyya
swelling	dudduba
swim	giiris
swimming	giirisiyya
swing	ligligiyya
switch	milaagiyya
swollen	duddubteemi
sword	gile
sword	sayfi
symbol	bedu
symbol	asta
sympathy	xuwaawa
symptoms	astooti
system	adabi
system	gexso
table	miizi
tackle	afdigiyya
tackle	awqiyya
tag	muggaqsiyya
tail	geera
take	beyiyya
take	bey!
take away	iroh bey
take care	hayya hay
take care	hanaawis
take off	ugsiyya
take off	kaliyya
taken	beytimteh
talk	yaaba
talk	yab
talkative	yab nabo
tall	xer
tap	xag
tap	giit
tape	tebbi tufulu
target	hadafa
task	taama
taste	tamu
tasty	salfa leemi
taught	barseh
tea	shaahi
teach	baris
teacher	barseyna
team	dokonu
team	horta
tear	ximo
tears	ximooma
tease	anqaasa
technology	teknolooji
teeth	moddina
tell	waris
tell me	yoh waris
temper	naqabu
temper	qamalli
