a	Yembo
rat	Rayouga
rate	Fo kalé
rather	Togs
ratio	Wiligui
rational	Poui in zengé
raw	Pa maneg
re	Sinkindnin
reach	Nta
reached	Kiimin
reaction	Leoké
read	Karem
reading	In karemdin
ready	Kenge
real	Sɩd bũmbu
reality	Sid sida
realize	N maane
realized	Maané
really	Sida
rear	poore
reason	Boum
reasonable	Sinwinda
recall	Tingré
receipt	Yaanmin
receive	Reegé
received	Regé
recent	paale
recently	Sin pa kaossé
reception	Reesgo
recipe	Zẽ-biisi
reckless	Tẽeda
recognition	Poutinré
recognize	bang zaamin
recommend	Sẽn sagle
recommended	Boolé
record	N gʋlse
recover	Reegé
recovery	Lebg deegé
rectangle	Yaas susus yaremba
red	Miougou
redeem	Lebginda
redemption	Pengré
reduce	Booge
redundant	Yeelin yilmé
refer	Ges-a…
reference	Sin wilgida
reflect	Sin winda
reflection	tagsé
refrain	Gounsem menga
refrigerator	Sin maagdkoom
refund	Samd lebsgo
refuse	Zongsé
refused	Zongsé
regard	Sẽn wẽnde
regarding	Sin kindenin
regardless	Sẽn pa naag ne
regards	Pʋʋsem
region	Soolem
register	Yʋʋr gʋlsgo
regret	Sousanga
regular	Wakat fãa bũmbu
regularly	Wakat faan
reject	lobgé
relate	Winligui sin yi toto
related	Sẽn dɩk n make
relationship	Wakaté
relative	Sẽn dɩk n tɩ make
relatives	Rogdba
relax	N vʋʋse
release	Basé
released	Bas ti yi
relevant	Boto
reliable	Songo
relief	Zĩig gãaga
relieve	Paam minga
relieved	Paam menga
religion	Tẽebo
religious	Toudem
reluctant	Gẽreda
rely	N tẽ bũmb zugu
remain	Pabo
remaining	Sin kéta
remarkable	Pawindtaaba
remedy	Tiim
remember	Ket intinre
remind	N lebg boole
reminder	tingé
remote	telkomande
remove	N yãke
render	Kissé
rent	N waooge
repair	manegre
repeat	N yɩlme
replace	N ledge
reply	N leoke
report	Wiligri
represent	N ledge
reputation	yaoodo
request	Kosgo
require	N modge
required	Balgé
rescue	fãagre
research	Baoobo
resemble	Winlgo
resentment	Kindamin
reservation	Bao pinda
reserve	Bingui
resident	Teng n neda
resign	Bastouma
resilience	Konminga
resilient	Sakamin
resist	Rasaké
resistance	Rasaké
resolution	malgre
resolve	Paam tiim
resort	Yalss lamer noore
resources	Kibay yiib zinga
respect	Waoré
respond	Leoke
response	Léokré
responsibility	Ned tʋʋmde
responsible	Asoaba
rest	Woussem
rest in peace	Wend maag teng tif gaandé
restaurant	Rɩɩb roogo
restore	wabe
restrict	Tèka
result	Sen dogninda
results	Sen dog ninda
resume	Viim sebre
retail	Vẽenem
retain	N gare
retention	Tongom minga
retired	Rik wuusgo
retreat	Vousgo
retrieve	Reegé
return	Lebgé
reveal	Vin-negé
revealed	wiligui
revenge	Sabé_infangé
revenue	yõodo
reverse	Lebindé
review	Magbo
revise	Tingré
revision	lebg n gesga
revolution	Tedg panga
reward	Waoogr-kũuni
rhythm	Kolibri
rib	Logré
rice	mui
rich	Ligd soaba
rid	Laknin
ride	Tal inkingé
ridiculous	Sẽn maan laado
right	Ritgo
right now	Moss mossan
rigid	Kèginga
ring	luunga
rinse	N yẽese
riot	Kintaaba
rip	Pargué
ripe	Lalga
rise	Paasé
risk	Sabaa-wẽng sẽn tõe wa
rival	Rataaga
river	bãko
road	route
roast	Sin mooré
robust	Tar yako
rock	pagle
rod	Lèooga
role	Tʋʋmde
roll	Foobre
roof	sugri
room	Rogaanga
root	Yangré
rope	Winri
rotten	Pongé
rough	Kon_minga
roughly	Wind ya
round	gilga
route	Si wouka
routine	Pa teemda
row	Na-kẽndre
rub	Rou
rubber	sũudu
rubbish	Sagdo
rude	Nobé
rug	tapi
ruin	Lʋɩɩse
rule	Nao kindré
ruler	Nao kindré
rules	Nao kinda
run	Woudgui
running	Be sorin
rural	Tẽn-kɩrenga
rush	Gnangbo
sack	korgo
sacred	gutungulungu
sacrifice	maande
safe	Wininga
safe flight	Yikr sen tar gnon koglego
safety	Yon koglego
sage	Bogosem
said	A yeel
sail	Kindin gildin
sailing	Peendé
sake	Ranme
salary	yaoodo
sale	koosgo
salmon	ziinfou
salt	yamsem
same	Baa
Same here	A yé wa ka
sample	Lembé
sand	bĩisri
Sanskrit	Budism goama
sarcastic	Poutolaado
sassy	Toom
sat	Zindi
satisfaction	La nonga woto
satisfied	Sẽn ta raabo
satisfy	Ta yam
satisfying	Ta yam
Saturday	sibiri
sausage	Nim zom
savage	Yidigri
save	N gũ
saw	Sinwanda
say	Yeelé
scale	N gãnge
scam	N zãmbe
scar	wiifou
scarce	Sen ka bé wakat fan
scared	Yayissé
scarf	pendé
scary	Sẽn wat ne yɛɛsgo
scattered	Saeege
scene	Maoore
scenery	Zi viogo
scent	Rik pemsem
schedule	Yuum day sondg debre
school	Karemdoogo
science	Yidigri
scientist	Bang bèda
scientists	Bangbèda
scissors	Sisso
scold	Tansé
scope	Sẽn tata
score	Sindog ninda
scrap	bassé
scratch	wurgi
scream	Kaasé
screen	Tounsi
screw	Viim
script	Sin dinglé
sea	mogre
seal	Bangé
search	baoobo
season	Sinwogo
seat	Toum noor zinga
second	Yiibẽ soaba
secret	Yelsogedem
section	ziing taki
secure	koglé
security	Yõ-koglgo
see	Yan
see you	Id bé bilifou
see you later	Nin daaré
see you soon	Nindaaré
see you tomorrow	Beoogo
seed	bila
seek	Pogsada
seem	N wẽnege
seems	Winlgo
seen	Yan
seize	Bindé
seizure	Kinsinkinri
seldom	Sin ka bé wakat kinré
select	tounsi
self	Fo
self healing	Tipim tooré
selfish	Zogdo
sell	Koosé
send	Toolé
send me your picture	Tool maam fo foto
senior	kasema
sense	Sẽn datẽ n yeelga
sensible	Nintam
sensitive	Sẽn yaa bedre
sent	Sẽn tʋme
sentence	gomde
sentences	Gom soakdga
separate	Welgré
Sepedi	Gom zems
september	Bon biuungo kiougou
sequence	Pʋsʋka
series	Sin pogd taaba
serious	Yaa sida
seriously	Sidsida
serve	N tʋme
service	Tʋʋm zĩiga
session	Wakat ninda
set	Pogdinga
set up	viglgu
setting	Zin ninda son toin bangé
settle	N maneg n zemse
seven	Yopoé
seventeen	Pii la yopoyé
seventy	Pis-sopoyé
several	kateka
severe	Sin paké a soaba
sew	Sinbo
sh	sh
shade	Maasem zinga
shadow	Maasem
shake	Miimi
shall	tilaeenga
shallow	Zouloug bilifou
shame	yãnde
shape	Yako
share	Pouibo
sharp	Sɩlenga
she	Yinda
she has	A tara
she is	A yaa
shed	zãnde
sheep	pesgo
sheet	vãaoogo
shelf	Teed rotemdem
shell	Winnego
shelter	Solgr zĩiga
shield	gaongo
shift	teoongo
shine	impilé
ship	Batio
shipping	Toolé
shirt	fuugu
shoes	noeeda
shoot	Také
shop	Tolong roogo
shopping	raademsé
shore	Kul noore
short	Koayiga
shortage	Sin kaé
shot	Winbo
should	Segd_dilamin
shoulder	bãooko
shout	Maan bourgo
show	Wilgui
show me	Wilig maam
shower	soobo
shrimp	Kul suure
shrink	Boogé
shut	Pagé
shut up	Pag-a
shy	Maasim
sibling	Yao ne tao
siblings	Babiraado la babipogsé
sick	Banda
side	nenga
sigh	Siri
sight	Yẽebo
sightseeing	Guesg zinga
sign	Wilgi
signature	Nug-tikri
significant	Tilay
silence	Bourg kaye
silent	Sii sii
silk	Souldoogo
silly	Yalma
silver	Ligdi
similar	Wenlogo
simp	Tingkougr zinga
simple	pa toé
simultaneously	Wakat yɛnga
since	al
sincere	Sid yinga
sincerely	Sid sid yinga
sing	N yɩɩle
singer	Yiida
single	a yé
sink	Konbgo
Sir	Mnedsongo
sister	Babipoaka
sister in law	Deem-poaka
sit	N zĩndi
site	Ningui
situation	Ziinga sin bé
six	Yoobé
sixteen	Pii la yoobé
sixty	Pis soobé
size	Woglem
skill	bãngre
skills	bãngre
skin	Gango
skinny	Wagré
skip	N yẽke
skirt	zipu
sky	gningri
slave	Yemdaogo
sleep	Gounssi
sleeping	Goin
sleepy	Sousgou
sleeve	Fou nougou
slice	Bu girga
slide	N salge
slightly	Bilf bala
slim	Faagé
slip	Salgé
slope	Sik zinga
slot	Wedgre
slow	maasga
slowly	Nin maasem
small	kidiga
smart	bangda
smell	yũugo
smile	laado
smoke	Bougzonga
smooth	Saalga
snack	Ribila
snail	Garwengo
snake	Waafo
snap	Singpogin
snow	Nɛze
so	Rinda
so cute	Gninsem minga
so far	Ne woto
soak	Losé
soap	Safan
sober	Sii
soccer	Yinwisgre balé
social	Nongtaaba
society	zamaana
socks	Nao wuuga
soft	noogo
software	Toumd téoogo
soil	Tẽnga
sold	Sẽn koose
sold out	Yao ti sa
soldier	Sodaag
sole	a yé
solid	Koɛɛnga
solution	A tiim
solve	N manege
some	Sanda
somebody	Neda
somehow	Sen ya a soab fan
someone	neda
something	Boumbou
sometimes	Wakat ninda
song	yiilé
soon	Wakaté
sophisticated	Sẽn tar pãnga
Sorani	Ira ramb goama
sore	zábré
sore throat	Kokor zabda
sorrow	Soun_saanga
Sorry	Gaafaré
sort	N take
sought	Sẽn gẽesde
soul	Sinna toun
soulmate	noanga
sound	Bʋʋre
soup	Biim koom
sour	Miisim
source	Kaseto
south	Goabg babgo
space	Vɩʋʋgo
spam	Kibar b sẽn ka rata
span	bouki
Spanish	Espagnol zamaana
spare	Sẽ tedgda
speak	N gome
special	Sin pa tarto
species	buudu
specific	Sin ya yé
spectacular	Kasenga
speech	Koɛɛga
speechless	Ka tar koaega
speed	Zoé bèda
spell	yi
spend	Raamin
spent	Ligd yitga
spicy	Nin zinbiisi
spike	Tang yiilé
spin	Wẽnsgo
spinach	Zinbiisi
spirit	Sɩɩga
spit	Kongsé
splendid	Neem
split	Pouibo
spoil	N sãame
spoiled	Sanmé
spontaneous	Ziing pougin
spoon	Soutougou
spot	weere
spouse	In maané
spread	Lebguiningui
spring	Sigri
square	Koudré
squeeze	yangbo
squid	Bougsem
squirrel	kiiga
st	St
stab	Konsé
stable	Wedbaré
stack	Sinbé
staff	Tongo
stage	N tigsi
stain	teka
stairs	Tounb ziiga
stake	zoé bon neda
stalk	Ambga
stall	Basga
stamp	Sin kond seb
stand	N pa
standard	Sẽn lebe
star	Andga
start	N sɩnge
started	Singué
starving	Kom-tara
state	Goosneere
statement	Noorgomdé
station	Loay yalsgo zinga
statue	Nin naanda
status	Menga
stay	Pa
stay safe	Gousi y mensé
steady	Nao bogd zugu
steak	Zim nemdo
steal	N yẽke
steam	N yũ
steel	Kud kadre
steep	Faando
stem	raoogo
step	raaga
stick	Yinda
stiff	keema
still	Wakat fàan
sting	Konsé
stingy	Ninvineda
stir	Rambé
stock	Ligd ningdga
stolen	zouki
stomach	yãoogo
stone	geela
stood	Ra bee
stool	Zaooga
stop	Yalsgo
storage	Bingr zinga
store	Teed-roogo
storm	Seb kasenga
story	Soalma
stove	Sam laaga
straight	Tirga
straightforward	Tirga
strain	Yẽgre
strange	Bounlinguidem
stranger	Saana
strategy	Yamminim
straw	moodo
strawberry	Tibila
streak	Vuudri
stream	Lika
street	sore
strength	Panga
stress	Yɛɛsgo
stretch	dja
strict	Sẽn be a nao bogd zugu
strike	pãbe
string	Sɛnde
strip	Peen loetga
strive	fooge
stroke	Zug-bãaga
strong	Panga
struck	panbé
structure	tuum moore
struggle	Maoré
struggling	Zouloess pougin
stubborn	Ka yam
stuck	Pagé
student	Karẽn-bi-bedre
study	Karengo
studying	In katemdin
stuff	Bondo
stunning	Teksongo
stupid	Pawoumtoubre
style	Manesem
subject	Makrsebré
submission	sakintoun
submit	Sakre
substance	Zẽlem
substitute	Sen leka
subtle	Sẽn tall gesgo
succeed	Toongé
success	Paoogo
successful	paamda
such	Wala
such as	Wa la
suck	Mogsé
sudden	Vugr bala
suddenly	Wakaninga
suffer	N namse
suffering	Ninbanega
sufficient	Sẽn seke
sugar	Sɩkre
suggest	Wilingui
suggestion	wilgri
suit	Bourkindlim
suitable	Inzemse
suitcase	korgo
sum	Sod koumsidga
summary	Sẽn kʋmse
summer	Sẽn be
summit	Zoug suka
sun	wĩndga
sunday	hato
sunny	Windga beemin
sunset	Wind louiré
sunshine	windiga
super	Songoo
superior	In yiida
supervisor	Taoosoaba
supper	Sèglé
supply	songtipaam
support	Teelé
suppose	N mage
supposed	Sombamin
sure	Yaa sida
surface	zĩiga
surge	N rʋ
surgery	Wedgré
surname	sondre
surprise	N lingi
surprised	Lingri
surrender	Inkengé
surrounding	Wevioogo
surveillance	Gounsgou
survey	Vaiisgo
survive	N yi
suspect	Oub sin balgda soaba
suspended	Yalsé
suspicious	Vẽenem kaalem
sustain	teelé
sustainability	Kaosig-pogin
sustainable	Sẽn kaoosda
swag	bo gnagdga
swallow	N vele
swap	Teké
swear	Winlé
sweat	Toulgo
sweater	Yin wisgri fougou
sweep	Piisé
sweet	Noogo
sweet dreams	Zames somin
sweet tooth	Katré
sweetheart	nonglem
swell	mondé
swelling	Woukri
swim	Koom rougbou
swimming	Koom rougbou
swing	luulga
switch	toeeme
swollen	Mondé
sword	Zangoe suuga
symbol	bon naadi
sympathy	Kuilbo
symptoms	Malesem
system	Maasim
table	Wal-kẽenga
tackle	Pigui
tag	Sin yanké
tail	Zʋʋre
take	Riké
take away	Tal in loogé
take care	Tal fo ming neeré
take off	N yẽka
taken	Rik
talk	Gomé
talkative	Burgo
tall	Kassenga
tap	robini
tape	diké
target	ratenga
task	Tʋʋmde
taste	noosem
tasty	Lembda
taught	Zamsé
tea	te
teach	N karme
teacher	Karemsaamba
team	sulli
tear	Nin-tãm
tears	Nintame
tease	Gabse
technology	Nasaar tapaala
teeth	Yẽna
tell	Yeelé
tell me	Yel-ma
temper	Manesem sen welgda
temperature	Tʋʋlg makdga
temple	Pous-roogo
temporary	Rassem a wan pougin
ten	Piiga
ten thousand	Tousa yi
tenant	Zakasoaba
tend	N tɩpe
tendency	Vuuli
tender	kũuni
tense	Bindé
tension	Soun-yikri
tent	Sukunga
tentative	Nananda
term	taabo
terms	Sen maan toto
terrible	Yelbeedo
terrific	zemsamin
territory	tinga
test	veesé
text	Goulsbiisi
than	Ké
thank	N pʋʋs barka
thank you	Barka
Thank you for your patience while we investigate shipment	Bark ne i toogominga nand tid vayisdin in naa bang toolgan
thank you so much	Bark wusgo
thank you very much	Bark wʋsgo
thanks	Barka
Thanks for using our app	Bark ne y sin toumd nrd toulda téoogo
that	Yanwa
that is	Ra
that's good	Yaa soma
the	wa
theft	yik
their	Banb
them	Bamba
theme	Gom zougou
themselves	Bamb minga
then	Rinda
theory	Sin gomd
there	Ka
there are	Sen ta
there is	Yaa
therefore	Rinda
these	Bamba
they	Ibi
they are	Oub bee
thick	Taoko
thief	wagdre
thigh	gere
thin	Banega
thing	bũmbu
things	Bõn-yoodo
think	Tagsé
third	Tanbo in soba
thirsty	Ko-yũud tarm
thirteen	Pii la tan
thirty	Pis tan
this	Yanwa
this is	Ya
thorough	zanga
thoroughly	Som sombo
those	Oub ramb
though	la
thought	Tagsé
thoughtful	Tagsé
thoughts	Tagsé
thousand	Kobisi
thread	wĩiri
threat	tãse
threaten	Tuuda
three	Sou_taooda
threshold	noore
thrilled	Zoun-noogo
thrive	N fɩɩge
throat	kokore
through	Sin touné
throughout	Hali ti ta
throw	Singé
thumb	Nug raoogo
thunder	Saaga yambré
Thursday	Lamoussa
thus	Ri
tick	tiki
tide	kingo
tidy	Bingi
tie	karvate
tiger	Ambga
tight	Simbgé
Tigrinya	Etiopi goama
time	Wakaté
timid	Nin sindiri
tiny	Kidiga
tip	saglga
tips	Saglsé
tire	Pini
tired	Yaamin
tissue	Peendé
title	Yʋʋre
to	Innaa
to be	Yi
toast	Sin
today	Runda
toddler	Kidiga
toes	Nao gninga
together	Lagemtaaba
toilet	Kosolsiga
told	Yeel
tolerance	Kon-sougri
tolerate	Bas tisa
tomato	Tomat
tomorrow	Béoogo
tongue	Zɩlemde
tonight	Rounda zaabran
too	Sinpaasdé
took	Yingri
tool	Leo
tools	Toumd teedo
tooth	Yindé
top	yĩngri
topic	Gom zugou
torn	Panrgé
torture	Namsé
total	Faan
touch	Sɩɩsgo
tough	Toogo
tour	Guesgo
toward	Sendebd
towards	Sando
towel	Peendé
town	Gãlo-tẽnga
toxic	Kasomba
trace	riigé
track	Sobila
trade	Tolongo
tradition	rogomiki
traditional	Kʋdemde
traffic	Sortounbou
trail	Sor bila
train	Zamssé
training	zãmsgo
trait	Reegre
traits	Manesem dameb sen welgeda
transfer	toolgo
transition	piougré
translate	Lebgé
transparent	Ti nin pooré
transport	Sotoaka ligdi
transportation	Touké
trap	Bindogo
trash	Tãpʋʋre
trauma	Namsgo
travel	Sotoaka
tray	Lalinga
treasure	nonga
treat	Tipé
treatment	manesem
tree	Tɩɩga
tremendous	Soma wisgo
trend	Bank if sin debidi
trial	Bʋʋdo
trick	Yambi
tried	N make
trigger	N sɩnge
trim	Manegda
trip	Sotoaka
trouble	Yayssé
trousers	kurga
truck	Lo bedre
TRUE	Woto
trunk	yãoogo
trust	Consida
truth	Sɩda
try	Mamsé
Tsonga	Afirik di sud ramb goama
tube	Foogo
Tuesday	talato
tuition	Karemdoog ligdi
turkey	Turki tenga
turmeric	Sadig tedo
turn	Gulgri
turtle	Kouri
tutor	Gangsoaba
twelve	Pii la yi
twenty	Pissi
twenty-one	Pisi la yé
Twi	Gana ramb gombuudu
twice	Noora yi
twist	Koudsé
two	A yiibu
type	N wẽ
typical	Ayé
ugly	Winga
ultimate	Satem satem
umbrella	Saa fougou
unable	Patoin
uncle	Yasba
unconscious	Ka tagsda
under	Tingre
underneath	sorga
underrated	Sam-bé
understand	Woumbo
understood	Woumé
unfortunately	Zoubouko
uniform	Tourounfou
unique	Ye_tan
unit	Nu nu
university	Karemdobedré
unknown	Sin pa mi
unless	San pa
until	Ntitangue
unusual	Sẽn ka minimi
up	Sin bé gningri
up to you	Foo seg in wa
update	Nif guesgo
upgrade	Teksongo
upon	Gningri
upset	Sokasenga
urban	Gãlo-tẽnga
urge	Yam-leoogo
urgent	Yãgdem yelle
us	Tondo
use	Sin talé
used	Sẽn zoe ningi
useful	Sẽn tar yõodo
useless	Ka gnondo
usual	Minoungou
usually	Naorwusgo
utility	Katarto
vacation	Vousgo
vaccination	Bogbo
vaccine	bogbo
vacuum	Vioogo
vague	kowinri
valid	Sẽn ket n yaa sõma
valley	Tang seega
valuable	Sẽn tar tilem
value	Sinta
variety	bu tounsidi
various	A taaba
vary	téké
vase	Lakaséng
vast	yalenga
vegetable	Zinbiisi
vegetables	Zin biisi
vehicle	lore
vendor	sinkonta
venom	Zinem
venture	Toum nokaseng
venue	Zinga
verify	Guinsé
versatile	Toin fan
version	Wilgri
vertical	Selle
very	Song
very good	Sõma wʋsgo
vessel	Koglego
via	Sen tou ne
vibe	reem noodo
vibes	Miougou
vicious	Tar paoré
victim	Kooda
video	Videyo
view	Guesser
village	vilaase
villain	Poutooogo
vinegar	Miisim
vintage	Koudré
violence	Wingbo
violent	Zabsem
viral	wiibdo
virgin	Pamifayi
virtual	Sẽn yẽt ne nini
virtue	Maan soma
vision	Nif guesgo
visit	kaagre
visual	Sin géta
vital	tilaese
vivid	Kind nifou
vocabulary	Gom-biis karengo
voice	Koayiga
void	N base
volume	Vɩʋ-yãmga
volunteer	Toumd biiga
vomit	Woubé
vulnerable	Nugpatapooré
wage	Kiougligdi
wages	Kioug-ligdi
waist	Woglem
wait	Maaguiya
waiter	koaasda
waiting	Nanda
wake	In néké
wake up	Nek-y yã
walk	Kainé
walking	Kindé
wall	moomde
wallet	Ligd korgo
wander	Toudgri
wanna	Rata
want	Nongin
wanted	B sẽn baooda
war	zabre
wardrobe	Teed ninsga
warehouse	Règl-zinga
warm	Toulem
warn	salle
warning	Pindin wilgui
warrior	zabzabda
was	Ra bee
wash	Peké
waste	Sagdo
watch	S'en kot wakatan
water	Koom
watermelon	Nari
wave	sulli
way	Soré
we	Tondo
we are	Tond bee
we can	Tond toingnamin
weak	Ka_panga
weakness	Komsem
wealth	Arzɛka
wealthy	Rakanré
wear	Touké
wearing	Kasak
weather	Wakaté
wedding	kãadem
Wednesday	arba
weed	moodo
week	Semɛnde
weekend	Semɛnd saabo
weight	Paam riibo
weird	Pasoama
welcome	Reegé
welfare	Toin ti
Well	Soma
well done	Fo tão sõma
went	A kenga
were	Rabé
west	yaanga
wet	Maasem
whale	Zimbdre
what	Boin
what about you	La foo
what are you doing	Fo maanda boin
what are you doing now	Fo maanda boin Moss mossan
what are you doing right now	Fo maanda boin mos mossa
what do you do	Fo maanda bõe
what do you do for a living	Fo maanda boin viima pougin
what do you mean	Fo rat in yeel ti boin
what do you want	Fo rata boin
what happened	Rawa
what is	Yaa boin ti
what is this	Boin la wan
what is your job	Fo toumda boin
what is your name	Fo yuur la anda
what's up	Boin kibar bé
what's your name	Fo your la anda
whatever	Ba sin ya a soaba
wheat	Bɩle
wheel	Karga
when	La
whenever	Wakat fan ti
where	Yaé
where are you	Fo bée yae
where are you from	Yãmb yii yaé
where are you now	Fo be yɛ wakat kãnga
where do you live	Fo gãe yɛ
where is	A bé
whereas	N yaoolẽ ka
whether	Ngué
which	Anda
while	Minkamin ti
whisper	Yiké
whistle	peebé
white	Peelga
who	Laafi tuum doogo
who are you	Fo yaa ãnda
who is	Sin ya
who is this	Ya and da
whole	Naagtaaba
whom	Ãnda
whose	La
why	Boin gninga
why not	Boin yinga
wicked	Nin-wẽnga
wide	Yalengo
widow	Pog konré
width	labsem
wife	Paga
wild	Weogboumbou
will	Yita
willing	Sẽn dɩgle
win	N paame
wind	Sebgo
window	Pemeslenga
windy	Sin kot sobgo
wine	Vinraam
winter	Waog kaseng kiuugu
wipe	Gninsé
wire	Boug winri
wisdom	Bourkina
wise	Bogsgo
wish	yamdaabo
wish you all the best	Wend na malgé in kon yan
witch	Soingnan
with	Nee
withdraw	Winemde
withdrawal	Reegré
within	Pougin
without	Ba
witness	Kaset soaba
witty	Siiga
wolf	Gigem baaga
woman	paga
women	pagba
won	Paamé
won't	A pa na maan yé
wonder	Tara panga
wonderful	somblem
wood	raoogo
wool	Lango
word	Gom-bila
words	Gom biis wugbo
work	Tuumdé
work out	Zamsgo
working	Toumd toto
world	Dounia
worm	Yimbiiga
worn	Touké
worried	Yɛɛsgo
worry	rabeem
worse	Sẽn yɩɩda
worship	Toundem
worst	Wenga
worth	Sinta
worth it	Rin sekamin
worthy	Halaale
would	Nawayi
wound	N pogle
Wow	Õ
wrap	N vɩlge
wrath	Soun yikri
wrist	Nug-sẽbre
write	Goulsé
Write here	Goulsi ka
writing	In goulsidin
written	Goulsé
wrong	Zinri
wrote	Goulsé
yard	Yiri
yawn	Yaango
Yeah	Ngué
year	Youmdé
years	Youma
yeast	Rabilé
yell	kaasé
yellow	rõodo
Yes	ingué
yes baby	Ngé mbiiba
yes dear	Ingué mnonga
yes honey	Yibéoogo
yes my love	Ingué mnonga
yes of course	Ingé sida
yesterday	Zaamin
yet	Yeyaasa
yield	Boumsoaba
you	Foo
you are	Fo ya
you are beautiful	Fo yaa neere
you are so beautiful	Fo yaa neer hali
you are welcome	Ka sek ye
you can	Sinyaa soab fan
You know	Fo mi
you too	Fo me
you're welcome	Ka sek ye
young	Bibiiga
your	Foo
your welcome	Ka sek ye
yourself	Fo minga
youth	Bibiilem
you’re welcome	Ka sek yé
yummy	Nooma
zero	Zaalem
