a little	nnye
query	potso
question	potso
queue	mola
quick	ka pele
quick	itlhaganele
quickly	ka pele
quiet	didimetse
quilt	khwilete
quit	tlogela
quite	ruri
quiz	khwizi
quotation	lenanetlhwatlhwa
quotation	nopolo
quote	nopolo
quotes	mananetlhwatlhwa
quotes	dinopolo
rabbit	mmutla
race	lotso
race	lebelo
rage	kgalefo
rain	pula
raise	godisa
raised	tsholeditse
raised	godisitse
ran	tabogile
random	kgethafela
range	tlhatlhamano
rapid	bofefo
rapidly	ka bonako
rare	sa tlwaelega
rarely	sewelo
rash	boswata
rat	peba
rate	seelo
rather	bogolo
ratio	kabo
rational	rašenala
raw	tala
re	ka ga
reach	filthelela
reached	fitlhile
reaction	tsibogo
read	buisa
reading	puiso
reading	a buisa
ready	siame
real	ya tota
reality	boteng
realize	lemoga
realized	lemogile
really	tota
rear	morago
reason	lebaka
reasonable	isega
recall	gopola
receipt	kamogelo
receipt	rasiti
receive	amogela
received	amogetse
recent	bošeng
recently	gautshwane
reception	kamogelo
recipe	resipi
reckless	se nne kelotlhoko
recognition	temogo
recognize	lemoga
recommend	gakolola
recommended	atlenegisitswe
recommended	atlenegisitse
record	gatisa
recover	busa
recovery	nonofa
rectangle	khutlonnetsepa
red	khibidu
redeem	rekolola
redemption	thekololo
reduce	fokotsa
redundant	fetileng palo
refer	bua ka
refer	romela
reference	tshupetso
reflect	supatshwano
reflection	kakanyo
reflection	tshupotshwano
refrain	ikgogela morago
refrigerator	foritšhi
refund	pusetsomorago ya madi
refuse	gana
refused	ganetse
regard	tsaya
regarding	mabapi le
regardless	ntle le
regards	ka ga
regards	ditumediso
region	kgaolo
register	rejesetara
regret	ikotlhaya
regular	ya gale
regularly	ka gale
reject	galala
relate	amana
related	amana
relationship	kamano
relative	lesika
relative	leamanyi
relatives	masika
relax	iketle
release	golola
released	golotse
relevant	maleba
reliable	ikanyega
relief	thuso
relieve	imolola
relieve	golola
relieved	imolotse
relieved	wetse makgwafo
religion	tumelo
religious	bodumedi
reluctant	itsemeletsa
rely	ikanya
remain	sala
remaining	setseng
remarkable	tlhomogileng
remedy	pheko
remember	gopola
remind	gakolola
reminder	kgakololo
remote	kgakala
remove	tlosa
render	gagola
render	ranola
rent	gagoga
rent	hira
repair	baakanya
repeat	boeletsa
replace	emisetsa
reply	araba
reply	karabo
report	bega
represent	emela
reputation	serodumo
request	kopo
require	batla
required	tlhoka
rescue	falosa
research	patlisiso
resemble	tshwana le
resentment	kgalefo
reservation	pelaelo
reservation	rasefe
reservation	peeletsomanno
reserve	beela
resident	moagi
resign	leboga tiro
resilience	boitsetsepelo
resilient	na le boitsetsepelo
resist	ema kgatlhanong
resistance	twantsho
resolution	tshwetso
resolve	rarabolola
resolve	ikaelela
resort	go ineela
resort	lefelo la boikhutso
resources	metswedithuso
respect	tlotla
respect	tlotlo
respond	araba
response	tsibogo
responsibility	maikarabelo
responsible	nna le maikarabelo
rest	boikhutso
rest in peace	robala ka kagiso
restaurant	resetšhurente
restore	busetsa
restrict	thibela
result	botso
results	dipholo
resume	simolola gape
retail	kgwebo
retain	tshegetsa
retention	go tshegetsa
retired	rotse tiro
retreat	boela morago
retrieve	tsaya
return	busa
return	bowa
reveal	senola
revealed	senotse
revenge	boipusolosetso
revenge	ipusolosetsa
revenue	letseno
reverse	busa
review	sekaseka
revise	boeletsa
revision	poeletso
revolution	modikologo
revolution	tsulolo
reward	tuelo
rhythm	moribo
rib	kgopo
rice	raese
rich	huma
rid	tlosa
rid	golola
ride	palama
ridiculous	sa boeleele
right	moja
right	nepile
right	akere
right now	jaanong jaana
rigid	popota
ring	palamonwana
rinse	tsokotsa
riot	pheretlho
rip	gagola
ripe	butswitse
rise	tlhatlhoga
risk	kotsi
rival	mogadika
river	noka
road	mmila
roast	besa
robust	thata
rock	lejwe
rod	lere
role	seabo
roll	mogaro
roll	pitika
roof	marulelo
room	phaposi
root	modi
rope	kgwele
rotten	bodile
rough	magwata
roughly	ka tekanyetso
roughly	ka kgobololo
round	kgolokwe
route	tsela
routine	modirotlwaelo
row	komang
row	mola
row	fudua
rub	sedila
rub	tshasa
rubber	rabara
rubbish	matlakala
rude	makgakga
rug	mmata
ruin	senya
rule	busa
rule	molao
ruler	mmusi
ruler	rulara
rules	melao
run	taboga
running	tabogang
rural	selegae
rush	lepotlapotla
rush	itlhaganela
sack	kgetsi
sacred	boitshepo
sacrifice	setlhabelo
sacrifice	ntsha setlhabelo
safe	bolokesega
safe flight	leoto la sefofane le le babalesegileng
safety	polokego
sage	seiji
said	rile
sail	saile
sail	tsamaya ka sekepe
sailing	tsamaya ka sekepe
sake	ntlha
salary	tuelo
sale	thekiso
sale	sesolo
salmon	salemone
salt	letswai
same	tshwana
Same here	Go a tshwana le fano
sample	sampole
sand	santa
Sanskrit	Sanskrit
sarcastic	na le ngongolo
sassy	makgakga
sat	dutse
satisfaction	kgotsofalo
satisfied	kgotsofetse
satisfy	kgotsofatsa
satisfying	kgotsofatsang
Saturday	Lamatlhatso
sausage	boroso
savage	motho yo motala
save	boloka
saw	bone
say	re
scale	sekale
scam	tsietsa
scam	tsietso
scar	lebadi
scarce	tlhokega
scared	tshogile
scarf	sekhafo
scary	tshosang
scattered	phatlhaletse
scene	felo
scene	tema
scenery	lenaga
scent	monkgo
schedule	thulaganyo
school	sekolo
science	bonetetshi
scientist	monetitshi
scientists	banetetshi
scissors	dikere
scold	omanya
scope	sekoupu
score	sekoro
score	nosa
scrap	thatanyana
scratch	ngapa
scream	gowa
screen	sekerine
screw	kurufelela
script	lokwalo
sea	lewatle
seal	sekano
seal	letshwao
search	phuruphutsa
season	paka
seat	bodulo
second	bobedi
secret	sephiri
section	karolo
secure	tlhomameng
secure	bolokesega
security	tshireletso
see	bona
see you	ke tla go bona
see you later	ke tla go bona kgantele
see you soon	ke tla go bona mo bogautshwaneng
see you tomorrow	ke tla go bona kamoso
seed	peo
seek	batla
seem	lebega e kare
seems	ekete
seen	bone
seize	tshwara
seizure	go ngatega
seldom	sewelo
select	tlhopha
self	bonna
self	boena
self healing	iphodiso
selfish	timana
sell	rekisa
send	romela
send me your picture	nthomelela setshwantsho sa gago
senior	mogolo
sense	kutlo
sensible	molemo
sensitive	sisimoga
sent	rometse
sent	romile
sentence	katlholo
sentence	polelo
sentences	dipolelo
separate	tlhaola
separate	kgaoganya
Sepedi	Sepedi
september	lwetse
sequence	tatelano
series	tlhatlhamano
serious	masisi
serious	tlhonama
seriously	ka tlhwaafalo
serve	direla
service	tirelo
session	kopano
set	tlhoma
set	sete
set up	siamisa
setting	lefelo
setting	tlhomo
settle	ineela
settle	itshetlega
seven	supa
seventeen	somesupa
seventy	somasupa
several	mmalwa
severe	thata
sew	rokile
shade	moriti
shadow	moriti
shake	tsikinya
shall	tla
shallow	seng boteng
shame	tlhabisa ditlhong
shame	ditlhong
shape	popego
share	arolelana
sharp	bogale
she	o
she has	o na le
she is	o
shed	tsholola
shed	tlhotlhorega
shed	leobo
sheep	nku
sheet	lakane
sheet	letlhare
shelf	šelofo
shell	kokola
shell	kgapetla
shell	kgopana
shelter	botshabelo
shield	sireletsa
shield	thebe
shift	sutisa
shine	phatsima
ship	sekepe
shipping	go romela
shirt	hempe
shoes	ditlhako
shoot	thunya
shop	lebenkele
shopping	go reka
shore	losi
short	khutshwane
shortage	tlhaelo
shot	thuntsitse
should	tshwanetse
shoulder	legetla
shout	goa
show	pontsho
show	bontsha
show me	mpontshe
shower	shawara
shrimp	šhirimpo
shrink	ngotlega
shut	tswala
shut up	didimala
shy	ditlhong
sibling	ngwana wa ko gaabo
sibling	ngwana wa ko gae
siblings	bana ba motho
sick	lwala
side	letlhakore
sigh	go kgwa mowa
sight	pono
sightseeing	bona mafelo a a kgatlisang
sign	letshwao
signature	tshaeno
significant	botlhokwa
silence	tidimalo
silent	didimetse
silk	silika
silly	o seeleele
silver	selefera
similar	tshwanang
simp	seso
simple	bonolo
simultaneously	ka gangwe
since	e re ka
since	e sa le
sincere	pelo e phepa
sincerely	ka botswapelo
sing	opela
singer	moopedi
single	nosi
sink	nwela
Sir	Morena
sister	nnake
sister	nkgonne
sister	kgaitsedi
sister in law	mogwe
sister in law	mogokane
sit	dula
site	lefelo
situation	seemo
six	thataro
sixteen	somethataro
sixty	somamarataro
size	tekanyo
skill	kgono
skills	dikgono
skin	letlalo
skinny	sesane
skip	tlola
skirt	sekete
sky	loapi
slave	lelata
sleep	robala
sleeping	robetse
sleepy	otsela
sleeve	letsogo
slice	selae
slide	relela
slide	theletsane
slightly	go se sekae
slim	sesane
slip	thupana
slope	mogkokolosa
slot	nako
slow	bonya
slowly	ka bonya
small	nnye
smart	botlhale
smart	ntle
smell	monkgo
smile	monyenyo
smile	nyenya
smoke	mosi
smooth	borethe
snack	seneke
snail	kgopa
snake	noga
snap	kgagogela
snap	kgaoga
snow	semathana
so	jalo
so cute	ntle jang
so far	ga jaana
soak	inela
soap	sesepa
sober	ikgaphile
soccer	kgwele ya dinao
social	seloago
society	loago
socks	dikausu
soft	boleta
software	serweboleta
soil	mmu
sold	rekisitswe
sold out	fedile
soldier	lesole
sole	nosi
solid	tiileng
solution	tharabololo
solve	rarabolola
some	ngwe
somebody	mongwe
somehow	ka tsela nngwe
someone	mongwe
something	sengwe
sometimes	dinako dingwe
song	pina
soon	kgantele
sophisticated	marara
Sorani	Sorani
sore	botlhoko
sore throat	mometso o botlhoko
sorrow	kutlobotlhoko
Sorry	ikwatlhaya
Sorry	kutlobotlhoko
sort	mofuta
sort	tlhaola
sought	batlile
soul	motho
soul	mowa
sound	modumo
soup	sopo
sour	botlhale
source	motswedi
south	borwa
space	lefaufau
space	sebaka
spam	sepeme
span	paralatsa
span	sepane
Spanish	Spanish
spare	falodisa
spare	nngwe
speak	bua
special	kgethegileng
species	mefuta
specific	rileng
spectacular	morekaarekise
speech	puo
speechless	tlhoka puo
speed	lebelo
spell	peleta
spell	kgakge
spend	dirisa
spent	dirisitse
spent	nnile
spicy	baba
spike	tlhaba
spike	tlhatlhoga
spike	lomapo
spin	dikolosa
spinach	sepinatšhe
spirit	mowa
spit	kgwa
spit	mathe
splendid	ntle
split	phatloganya
spoil	senya
spoiled	sentse
spontaneous	ka nosi
spoon	leso
spot	lefelo
spot	bona
spouse	mogatsa
spread	phatlalatsa
spring	motswedi
spring	dikgakogolo
square	sekwere
squeeze	gamola
squid	sekwidi
squirrel	mošha
stab	tlhaba
stable	setale
stable	tlhomama
stack	mokoa
stack	tlhatlhaganya
staff	badiri
stage	seralo
stage	kgato
stain	selabe
stairs	ditepose
stake	seteiki
stalk	motlhaka
stalk	kukuna
stall	botlhatlhelo
stamp	setempe
stand	ema
standard	maemo
star	naledi
start	simolola
started	simolotse
starving	tshwere ke tlala
state	mmuso
state	boemo
statement	polelo
station	seteišhene
statue	sefikantswe
status	seemo
stay	dula
stay safe	nna o bolokesegile
steady	tsepama
steak	seteike
steal	utswa
steam	fufutsa
steam	phufudi
steel	tshipi
steep	ina
stem	kutu
step	kgato
stick	matarela
stick	thupa
stiff	tiile
still	kokobala
still	sa
sting	loma
sting	lobolela
stingy	timana
stir	fuduwa
stock	setoko
stolen	utswitswe
stomach	mpa
stone	letlapa
stood	eme
stool	mantle
stool	setilo
stop	emisa
storage	polokelo
store	lebenkele
store	setoro
storm	sefefo
story	kgang
stove	setofo
straight	tlhamaletse
straightforward	tlhamaletse
strain	kgatelelo
strange	seeng
stranger	moeng
strategy	togamaano
straw	lotlhaka
strawberry	setoroberi
streak	ralala
streak	moraladi
stream	molapo
street	mmila
strength	maatla
stress	kgatelelo
stress	gatelela
stretch	ngantsolola
strict	bogale
strike	ditshupetso
strike	tlhasela
string	mogala
string	senara
strip	sekgetšhana
strive	lwa
strive	leka ka natla
stroke	titeo
stroke	seterouku
strong	thata
struck	beditswe
structure	popego
struggle	kgaratlha
struggle	kgaratlho
struggling	sokola
stubborn	tlhogo e thata
stuck	kgomaretse
student	moithuti
study	ithuta
studying	ithutang
studying	ithuta
stuff	dilo
stunning	ntle
stunning	gakgamamtsa
stupid	sematla
style	setaele
subject	ikobela
subject	kgang
subject	serutwa
submission	boineelo
submit	tsenya
substance	sere
substitute	moemedi
subtle	matsetseleko
succeed	atlega
success	tswelelopele
successful	atlegile
such	ntse jalo
such as	jaaka
suck	momona
sudden	ka tshoganyetso
suddenly	ka tshoganyetso
suffer	boga
suffering	tshotlego
sufficient	lekane
sugar	sukiri
suggest	tsitsinya
suggestion	tlhagiso
suit	sutu
suit	tshwanela
suitable	tshwanela
suitcase	sutukheise
sum	palo
sum	tlhakano
summary	tshobokanyo
summer	selemo
summit	samiti
summit	setlhoa
sun	letsatsi
sunday	Latshipi
sunny	nang le letsatsi
sunset	phirimo ya letsatsi
sunshine	phatsimo ya letsatsi
super	golo
superior	gaisang
supervisor	motlhatlhobedi
supper	difitlholo
supply	naya
support	tshegetso
suppose	tsaya gore
supposed	tshwanetse
supposed	naganne
sure	tlhomama
surface	tlhaga
surface	boalogodimo
surge	kgomogo
surge	koketsego
surgery	karolo
surgery	boalafelo
surname	sefane
surprise	gakgamatsa
surprise	kgagamalo
surprised	maketse
surrender	ineela
surrounding	tikologo
surveillance	tshekatsheko
surveillance	tekanyo
survey	lekanya
survey	tshekatsheko
survive	go phologa
suspect	mmelaelwa
suspect	belaela
suspended	beetswethoko
suspicious	belaetsa
sustain	tsweletsa
sustainability	go tswelela
sustainable	ya leruri
swag	moswenko
swallow	kometsa
swap	refosana
swear	ikana
swear	rogana
sweat	fufula
sweat	mofufutso
sweater	jeresi
sweep	gogola
sweep	feela
sweet	botshe
sweet dreams	ditoro tse di monate
sweet tooth	rata botshe
sweetheart	mokapelo
swell	ruruga
swelling	boruruga
swim	thusa
swimming	thumang
swing	ya kwa pele le kwa morago
switch	fetola
swollen	rurugile
sword	sabole
symbol	letshwao
sympathy	kutlwelobotlhoko
symptoms	ditshupo
system	thulaganyo
table	tafole
tackle	rarabolola
tag	theke
tail	mogatla
take	tsaya
take away	tsamaya ka yona
take care	tlhokomela
take off	tloga
take off	tlosa
taken	tseilwe
talk	bua
talkative	balabala
tall	telele
tap	thepe
tap	kokota
tape	theipi
target	setotiwa
task	tiro
taste	tatso
tasty	latswega
taught	rutile
tea	mogodungwana
teach	ruta
teacher	morutabana
team	setlhopha
tear	gagola
tear	keledi
tears	dikeledi
tease	rumola
technology	thekenoloji
teeth	meno
tell	bolelela
tell me	mpolelela
temper	bogale
temperature	themperetšha
temple	tempele
temporary	nakwana
ten	lesome
ten thousand	dikete tse di lesome
tenant	mohiri
tend	a tle
tend	oka
tend	disa
tendency	tlwaelo
tender	thendara
tender	nolo
tense	paka
tense	gagamala
tension	kgogakgogano
tension	kgagamatso
tent	tente
tentative	sa totobalang
term	paka
terms	mafoko
terms	metlha
terrible	maswe
terrific	gaisa
territory	naga
test	teko
test	leka
text	sekwalwa
than	go na le
thank	leboga
thank you	Ke a leboga
Thank you for your patience while we investigate shipment	Re lebogela bopelotelele fa re ntse re batlisisa thoto e e rometsweng
thank you so much	ke leboga thata
thank you very much	ke leboga thata
thanks	Ke a leboga
Thanks for using our app	Re lebogela fa o dirisitse epo ya rona
that	gore
that	e
that is	ke gore
that's good	go siame
theft	bogodu
their	tsa bona
them	bone
theme	morero
themselves	bone ka bobone
then	ka nako eo
theory	tiori
there	foo
there are	go na le
there is	go na le
therefore	ka jalo
these	tse
they	ba
they are	ba
thick	kima
thief	legodu
thigh	serope
thin	tshesane
thing	selopo
things	dilo
think	nagana
third	boraro
thirsty	tshwerwe ke lenyora
thirteen	lesometharo
thirty	masomeamararo
this	se
this is	se ke
thorough	feta mo
thorough	ka
thoroughly	ka botlalo
those	bao
though	ntswa
thought	kakanyo
thoughtful	boakanyetsi
thoughts	dikakanyo
thousand	sekete
thread	mogala
threat	tshosetsa
threat	matshosetsi
threaten	tshosetsa
three	tharo
threshold	serepodi
thrilled	itumetse tota
thrive	gola sentle
throat	mometso
through	ka
throughout	ka nako ya
throw	latlhela
thumb	kgonotswe
thunder	duma
thunder	modumo wa tladi
Thursday	Labone
thus	jalo
tick	kgofa
tick	tshwaya
tide	lekhubu le le tlhatlogang
tidy	ithata
tie	bofa
tie	thae
tiger	nkwe
tight	gagamala
Tigrinya	Tigrinya
time	nako
timid	boi
tiny	nnyenyane
tip	kgakololo
tips	maele
tire	lapisa
tired	lapile
tissue	thitšhu
title	setlhogo
title	leina
to	go
to be	go nna
toast	thousotu
today	gompieno
toddler	mapimpana
toes	menwana ya dinao
together	mmogo
toilet	ntlwana
told	boleletse
tolerance	go itshokelana
tolerate	itshokela
tomato	tamati
tomorrow	kamoso
tongue	leleme
tonight	bosigong bono
too	thata
too	le
took	tseile
tool	sediriswa
tools	didiriswa
tooth	leino
top	godimo
topic	setlhogo
torn	gagogile
torture	bogisa
total	palogotlhe
touch	ama
tough	thata
tour	go ja nala
tour	loeto
toward	go
towards	go
towel	toulo
town	teropo
toxic	botlhole
trace	gatisa
trace	motlhala
trace	latela motlhala
track	motlhala
trade	gweba
tradition	dingwao
traditional	tsa setso
traffic	pharakano
trail	motlhala
train	terena
training	katiso
training	katisa
trait	ponalo
traits	dipopego
transfer	fetisa
transition	phetogo
translate	fetolela
transparent	letsatsa
transport	tsamaisa
transport	dipalangwa
transportation	thwalo
trap	serai
trash	matlakala
trash	senya
trauma	manokonoko
travel	eta
tray	terei
treasure	letlotlo
treat	tshwara
treatment	kalafi
treatment	tsholo
tree	setlhare
tremendous	golo
trend	ganelela go
trend	kganelelo
trial	tsheko
trick	tsietsa
trick	leano
tried	lekile
tried	sekisitswe
trigger	tsosa
trim	kera
trip	loeto
trouble	mathata
trouble	tshwenya
trousers	borokgwe
truck	teraka
true	NNETE
trunk	kutu
trunk	selopo
trunk	teranka
trust	tshepa
truth	nnete
try	leka
Tsonga	Tsonga
Tswana	Setswana
tube	tšhupu
Tuesday	Labobedi
tuition	thuto
turkey	kalakune
turmeric	tšhumeriki
turn	tsoketso
turn	faposa
turtle	turtle
tutor	morutisi
twelve	some le bobedi
twenty	masomamabedi
twenty-one	somamabedinngwe
Twi	Twi
twice	gabedi
twist	lokolola
twist	soka
two	pedi
type	thaepa
type	mofuta
typical	tlhophegileng
ugly	maswe
ultimate	gaisang
ultimate	ya bofelo
umbrella	sekgele
unable	se kgone
uncle	malome
unconscious	idibetse
unconscious	idibetseng
under	kwa tlase
underneath	tlase
underrated	tseelwa tlase
understand	tlhaloganya
understood	tlhalogantse
unfortunately	ka bomadimabe
uniform	yunifomo
unique	kgethegileng
unit	yuniti
university	yunivesithi
unknown	ga e itsege
unless	fa
until	go fitlha
unusual	sa tlwaelega
up	godimo
up to you	go tswa mo go wena
update	tlhabolola
upgrade	tokafatsa
upon	mo godimo ga
upset	kgophola
urban	seteropo
urge	rotloetsa
urgent	makgabeadipapetla
us	rona
use	dirisa
used	dirisitse
used	dirisitsweng
useful	mosola
useless	go tlhoka molemo
usual	tlwaelegileng
usually	tle
utility	sediriswa
vacation	itapoloso
vaccination	moento
vaccine	moento
vacuum	lolea
vague	go sa totobal
valid	amogelesega
valley	mogorogoro
valuable	nang le boleng
value	tlhwatlhwa
variety	mothalethale
various	farologaneng
vary	farologana
vase	morufašeše
vast	kgolo
vegetable	morogo
vegetables	merogo
vehicle	serori
vendor	morekisi
venom	botlhole
venture	bowelo
venue	lefelo
verify	rurifatsa
versatile	fetogangfetogang
version	thanolo
vertical	molatsepama
very	thata
very good	bontle tota
vessel	setsholo
via	ka
vibe	natefelwa
vibes	maikutlo a natefo
vicious	bogale
victim	motswasetlhabelo
video	vidiyo
view	pono
village	motse
villain	molotsana
vinegar	vinekara
vintage	tsa bogologolo
violence	dikgoka
violent	nna dikgoka
viral	ka ga mogare
viral	tlalatlala
virgin	legammana
virtual	mo inthaneteng
virtue	nonofo
vision	pono
visit	eta
visit	ketelo
visual	tsa pono
vital	botlhokwa
vivid	bonalang sentle
vocabulary	tlotlofoko
voice	lentswe
void	dirolola
volume	volumu
volunteer	moithaopi
volunteer	ithaopa
vomit	tlhatsa
vulnerable	mo kotsing
wage	mogolo
wages	dituelo
waist	letheka
wait	leta
waiter	moabadijo
waiting	eme
wake	tsosa
wake up	tsoga
walk	tsamaya
walking	tsamaya
wall	lebota
wallet	walete
wander	kaila
wanna	batla
want	batla
wanted	batlile
war	ntwa
wardrobe	wotoropo
warehouse	polokelo
warm	bothito
warn	tlhagisa
warning	tlhagiso
warrior	motlhabani
was	ne
wash	tlhatswa
waste	matlakala
waste	senya
watch	tshupanako
watch	leba
water	metsi
watermelon	legapu
wave	lekhubu
way	tsela
we	re
we are	re
we can	re ka
we can	re a kgona
weak	bokoa
weakness	bokowa
wealth	khumo
wealthy	humile
wear	apara
wearing	apereng
weather	bosa
wedding	lenyalo
Wednesday	Laboraro
weed	mofero
week	beke
weekend	mafelo a beke
weight	bokete
weird	sa tlwaelega
welcome	amogelesega
welfare	katlaatleloloago
Well	siame
well done	dirile sentle
well done	botsisitswe
went	ile
were	ne
west	bophirima
wet	kolobile
whale	leruarua
what	eng
what about you	go tweng ka wena
what are you doing	o dirang
what are you doing now	o dirang jaanong
what are you doing right now	o dira eng jaanong jaana
what do you do	o dira eng
what do you do for a living	o dira eng go itshedisa
what do you mean	o raya jang
what do you want	o batlang
what happened	go diragetseng
what is	ke eng
what is this	ke eng se
what is your job	tiro ya gago ke eng
what is your name	leina la gago ke mang
what's up	dintshang
what's your name	leina la gago ke mang
whatever	eng kapa eng
wheat	korong
wheel	leotwana
when	motlhang
when	leng
whenever	nako nngwe le nngwe
where	kae
where are you	o ko kae
where are you from	o tswa kae
where are you now	o ko kae jaanong
where do you live	o nna kae
where is	e kae
whereas	le mororo
whether	kana
which	efe
while	ya re
while	lobaka
whisper	seba
whistle	molodi
whistle	letsa molodu
white	tshweu
who	mang
who	yo
who are you	o mang
who is	ke mang
who is this	ke mang yo
whole	feletse
whom	yoo
whose	ga mang
why	goreng
why not	goreng
wicked	ikepa
wide	atlhama
widow	motlholagadi
width	bophara
wife	mosadi
wild	tlhaga
will	tla
will	thato
willing	batla
win	fenya
wind	phefo
window	letlhaphefo
windy	diphefo
wine	veine
winter	mariga
wipe	phimola
wire	terata
wisdom	botlhale
wise	botlhale
wish	keletso
wish you all the best	nala
wish you all the best	katlego
wish you all the best	masego
witch	moloi
with	ka
with	le
withdraw	gogela morago
withdrawal	kgogo
within	mo teng
without	ntle le
witness	paki
witty	ka matlhajana
wolf	phiri
woman	mosadi
women	basadi
won	fentse
won't	nkitla
wonder	kgagamatso
wonderful	gakgamatsa
wood	legong
wool	bobowa
word	lefoko
words	mafoko
work	tiro
work out	tsamaya sentle
work out	itshidila mmele
working	dirang
world	lefatshe
worm	seboko
worn	aperwe
worried	tshwenyegile
worry	tshewenyega
worse	maswe go feta
worship	obamela
worst	maswe go gaisa
worth	boleng
worth it	go mosola
worthy	tshwanelwa ke
would	o ne a tla
wound	ntho
Wow	Haa!Haa!
wrap	phutela
wrath	tšhakgalo
wrist	letlhalela
write	kwala
Write here	Kwala fa
writing	mokwalo
written	kwadilwe
wrong	fosa
wrote	kwadile
yard	jarata
yawn	edimola
Yeah	Mm
year	ngwaga
years	dingwaga
yeast	yisiti
yell	goa
yellow	serolwane
Yes	ee
yes baby	ee motho wa ka
yes dear	ee moratiwa
yes honey	ee moratiwa
yes my love	ee moratiwa
yes of course	ee nnete
yesterday	maabane
yet	ise
yield	ntsha
yield	kungo
you	wena
you are	o
you are beautiful	o montle
you are so beautiful	o montle jang
you are welcome	o amogelesegile
you can	o ka
You know	Waitse
you too	le wena
you're welcome	O amogelesegile
young	nšha
your	gago
your welcome	kamogelo ya gago
yourself	wena ka wesi
youth	boša
youth	baša
you’re welcome	o amogetswe
yummy	monate
zero	lefela
