a	أ
resentment	غضب
reservation	حجز
reserve	احتياطي
resident	مقيم
resign	يستقيل
resilience	صمود
resilient	مرن
resist	يقاوم
resistance	مقاومة
resolution	حل
resolution	وضوح
resolve	يحل
resort	منتجع سياحي
resources	موارد
respect	إحترام
respect	يحترم
respond	يرد
response	رد
responsibility	مسؤولية
responsible	مسؤول
rest	راحة
rest	فضلات
rest in peace	ارقد في سلام
restaurant	مطعم
restore	يسترجع
restrict	يقيد
result	النتيجة
results	نتائج
resume	يستأنف
resume	سيرة ذاتية
retail	بيع بالتجزئة
retain	يحتفظ ب
retention	يحتفظ
retired	نزل معاش
retired	تقاعد
retreat	انسحب
retrieve	يسترجع
return	يرجع
reveal	يكشف
revealed	مكشوف
revenge	انتقام
revenue	إيراد
reverse	يعكس
review	مراجعة
review	يراجع
revise	يراجع
revision	مراجعة
revolution	ثورة
reward	جائزة
rhythm	إيقاع
rib	ضلع
rice	أرز
rich	غني
rid	يتخلص
ride	يركب
ride	ركوب
ridiculous	سخيف
right	صاح
right	حق
right now	الآن
rigid	صلب
ring	خاتم
ring	حلبة مصارعة
rinse	شطف
riot	شغب
rip	فتحة
rip	شق
rip	يشق
ripe	ناضج
rise	ارتفاع
rise	يرتفع
risk	خطر
risk	يخاطر
rival	منافسة
river	نهر
road	طريق
roast	مشوي
robust	قوي
rock	صخرة
rod	عصا
role	وظيفة
roll	لفة
roof	سقف
room	غرفة
root	جذر
rope	حبل
rope	يربط
rotten	حقير
rough	عنيف
roughly	بقسوة
round	دائري
route	طريق
routine	نمط يومي
row	صف
rub	معوج
rub	دعك
rubber	مطاط
rubbish	قمامة
rude	قليل أدب
rug	سجادة
ruin	يخرب
rule	قاعدة
ruler	مسطرة
rules	قواعد
run	أجري
running	جري
rural	قروي
rush	يندفع
rush	هجوم
sack	نهب
sack	كيس
sack	طرد
sacred	مقدس
sacrifice	يضحّي
safe	آمن
safe flight	رحلة امنة
safety	أمان
sage	حكيم
said	قال
sail	ريشة
sailing	إبحار
sake	من أجل
salary	مرتب
sale	بيع
salmon	سمك السالمون
salt	ملح
same	نفس الشيء
Same here	نفس الشيء هنا
sample	عينة
sand	رمل
Sanskrit	اللغة السنسكريتية
sarcastic	ساخر
sassy	قليل أدب
sat	جلس
satisfaction	رضى
satisfied	راضي
satisfy	يرضى
satisfying	رضى
Saturday	السبت
sausage	سجوق
savage	همجي
save	يحفظ
saw	رأى
say	يقول
scale	مقياس
scam	إحتيال
scar	ندبة
scar	جرح قديم
scarce	نادرة
scared	خايف
scarf	شال
scarf	وشاح
scary	مخيف
scattered	مشتت
scene	مشهد
scenery	منظر طبيعى
scent	عطر
schedule	جدول مواعيد
schedule	يجدول
school	مدرسة
science	علم
scientist	عالم
scientists	العلماء
scissors	مقص
scold	لام وعاتب
scope	مجال
score	نتيجة
score	يسجل هدف
scrap	خردة
scratch	يخدش
scream	يصرخ
screen	شاشة
screw	لولب
screw	مفك
script	النصي
sea	بحر
seal	ختم
search	يبحث
season	موسم
seat	مقعد
second	الثاني
secret	سر
section	قسم
secure	يؤمن
secure	يضمن
security	أمن
see	أنظر
see you	نتلاقى إنشاء الله
see you later	أراك لاحقًا
see you soon	اراك قريبا
see you tomorrow	أشوفك بكرا
seed	بذرة
seek	يسعى
seem	يبدو
seems	يبدو
seen	مرئي
seize	انكمش
seize	إعتقل
seizure	مصادرة
seldom	نادراً
select	يختار
self	النفس
self healing	شفاء ذاتي
selfish	أناني
sell	يبيع
send	يرسل
send me your picture	رسل لي صورتك
senior	كبير
senior	أعلى مرتبة
sense	إحساس
sensible	منطقي
sensitive	حساس
sent	أرسل
sentence	محاكمة
sentence	جملة
sentences	عقوبة
sentences	جًُمل
separate	أفصل
Sepedi	لغة سيبيدي
september	سبتمبر
sequence	تسلسل
series	مسلسل
serious	خطير
seriously	بجد
serve	يخدم
service	خدمة
session	محاضرة
set	الضبط
set	يضبط
set up	إعداد
setting	جلسة
settle	يستقر
seven	سبعة
seventeen	سبعة عشر
seventy	سبعون
several	متعدد
severe	صارم
sew	خياطة
shade	الظل
shadow	ظل
shake	هزة
shall	سوف
shallow	سطحي
shame	عار
shape	شكل
share	يشارك
sharp	حاد
she	هي
she has	هي تملك
she is	هي
shed	سقيفة
sheep	خروف
sheet	ستارة
sheet	شيت ورق
shelf	رف
shell	قشرة
shelter	ملجأ
shield	درع
shift	تحول
shine	يسطع
ship	سفينة
shipping	شحن
shirt	قميص
shoes	أحذية
shoot	أطلق النار
shoot	قتل
shop	دكان
shopping	التسوق
shore	شاطئ
short	قصير
shortage	نقص
shot	طلقة
shot	ضرب نار
should	يجب
shoulder	كتف
shout	يصرخ
show	عرض
show	يستعرض
show me	وريني
shower	يستحم
shrimp	سمك جمبري
shrink	ينكمش
shut	اغلق
shut up	أسكت
shy	خجول
sibling	أشقاء
siblings	أخوان أشقاء
sick	مريض
side	جانب
sigh	تلهف
sight	مشهد
sightseeing	معالم
sign	يوقع
signature	توقيع
significant	مهم
silence	الصمت
silent	صامت
silk	الحرير
silly	سخيف
silver	فضة
similar	مثل
simp	بسيط
simple	بسيط
simultaneously	مع بعض
since	من زمان
sincere	مخلص
sincerely	تحياتي
sing	يغنى
singer	مغني
single	عاذب
sink	حوض
sink	يغرق
Sir	سيد
sister	أخت
sister in law	اخت الزوجة
sister in law	أخت الزوج
sit	يجلس
site	موقع
situation	حال
six	ستة
sixteen	السادس عشر
sixty	ستين
size	مقاس
skill	مهارة
skills	مهارات
skin	جلد
skinny	نحيف
skip	يتخطى
skirt	سكيرت
sky	السماء
slave	عبد
sleep	ينام
sleeping	نائم
sleepy	نعسان
sleeve	كم
slice	قطعة
slice	يقطع الى شرائح
slide	الانزلاق
slide	صفحة في شيت
slightly	براحة
slim	ضعيف
slip	ينزلق
slope	إنحناء
slot	فتحة
slow	بطيء
slowly	ببطء
small	صغير
smart	ذكي
smell	يشم
smile	إبتسامة
smile	يبتسم
smoke	دخان
smooth	ناعم
snack	وجبة خفيفة
snail	حلزون
snake	ثعبان
snap	عض
snow	تلج
so	إذن
so cute	ظريف جدًا
so far	حتى الآن
soak	بلل
soap	صابون
sober	هادئ
soccer	كرة القدم
soccer	هداف
social	اجتماعي
society	جمعية
socks	جوارب
soft	ناعم
software	برمجة
soil	تربة
sold	إتباع
sold out	إنتهى وخلص
soldier	جندي
sole	مفرد واحد
sole	نعال
solid	صلب
solution	حل
solve	يحل
some	بعض
somebody	شخص ما
somehow	بطريقة ما
someone	شخص
something	حاجة
sometimes	أحياناً
song	أغنية
soon	قريباً
sophisticated	متطور
Sorani	لغة سوراني
sore	موجع
sore	التهاب
sore throat	إلتهاب حلق
sorrow	حزن
Sorry	أسف
sort	صنف
sought	طلب
soul	روح
soulmate	صديق العمر
sound	صوت
soup	شوربة
sour	تعفن
source	مصدر
south	جنوب
space	مساحة
spam	بريد عشوائي
span	اتساع
Spanish	أسباني
spare	إضافي
spare	وفر
speak	اتكلم
special	خاص
species	أصناف
specific	محدد
spectacular	مُذهِل
speech	خطاب
speechless	اخرس
speed	سرعة
spell	يتهجى
spend	يقضي وقت
spend	يصرف
spent	قضى وقت
spent	يصرف
spicy	حار
spike	مسمار
spike	يرتفع
spin	يدور
spinach	سبانخ
spirit	روح
spit	بصق
splendid	رائع
split	انفصال
split	ينقسم
spoil	يخرب
spoiled	مدلل
spontaneous	تلقائي
spoon	ملعقة
spot	بقعة
spouse	شريك حياة
spread	ينتشر
spring	الربيع
square	مربع
squeeze	يعصر
squid	الحبار
squirrel	سنجاب
stab	طعنة
stable	مستقر
stack	مداخن
stack	كوم
staff	فريق عمل
stage	مرحلة
stain	بقعة
stairs	سلالم
stake	خاطر
stake	عود
stake	عصا
stalk	ساق نبات
stalk	مشى بتكبر
stalk	إنتشر المرض
stall	صالة
stall	المماطلة
stamp	ختم
stand	يقف
stand	وقوف
standard	معيار
star	نجمة
start	أبدأ
started	بدأ
starving	يجوع
state	ولاية
state	يعلن
statement	تصريح
statement	بيان
station	محطة
statue	تمثال
status	حالة
stay	يبقى
stay	إقامة
stay safe	ابق في أمان
steady	ثابت
steak	قطعة لحم
steal	يسرق
steam	بخار
steel	فُولاَذ
steep	شرب
steep	انحدار
stem	قصبة
step	خطوة
stick	عصا
stiff	قاسٍ
still	لا يزال
still	هاديء
sting	لدغة
stingy	بخيل
stir	يحرك
stock	أسهم
stock	مخزون
stolen	مسروق
stomach	المعدة
stone	حجر
stood	وقف
stool	صاحب
stool	مقعد
stop	أقف
storage	تخزين
store	متجر
storm	عاصفة
story	قصة
stove	موقد
straight	مستقيم
straightforward	صريح
strain	إجهاد
strange	غريب
stranger	شخص غريب
strategy	إستراتيجية
straw	قَشَّة
strawberry	الفراولة
streak	أثَر
stream	مجرى
street	طريق
strength	قوة
stress	ضغط
stretch	يتسع
strict	متشدد
strike	يهجم
string	خيط
strip	شريط
strip	نزع
strive	يجتهد
stroke	جلطة
strong	قوي
struck	أصاب
structure	هيكل
struggle	معضلة
struggle	يعافر
struggling	يكافح ويناضل
stubborn	عنيد
stuck	متورط
student	طالب
study	يدرس
study	مذاكرة
studying	دراسة
stuff	مواد خام
stuff	عفش
stunning	مدهش
stupid	غبي
style	أسلوب
subject	اسم الفاعل
subject	موضوع
submission	استسلام, تسليم
submit	يُقدِّم
substance	مادة
substitute	بديل
subtle	غامض
succeed	ينجح
success	نجاح
successful	ناجح
such	مثل حرف تشبيه
such as	مثل
suck	يمص
Sudanese Arabic	عربي سوداني
sudden	مفاجئ
suddenly	فجأة
suffer	يعاني
suffering	معاناة
sufficient	كافي
sugar	سكر
suggest	يقترح
suggestion	اقتراح
suit	يناسب
suit	بدلة
suitable	مناسب
suitcase	حقيبة سفر
sum	مجموع
summary	مختصر
summer	الصيف
summit	قمة
sun	الشمس
sunday	الأحد
sunny	مشمس
sunset	غروب
sunshine	شروق الشمس
super	خارق
superior	أعلى
supervisor	مشرف
supper	عشاء
supply	إمداد
supply	يزود
support	يدعم
support	دعم
suppose	يفترض
supposed	مفترض
sure	متأكد
surface	سطح
surge	طفرة
surgery	جراحة
surname	الاسم الثاني
surprise	مفاجأة
surprised	مندهش
surrender	يستسلم
surrounding	محاط
surveillance	مراقبة
survey	استطلاع رأي
survey	يجري استطلاع
survive	ينجو
suspect	يتهم
suspect	متهم
suspended	مؤجل
suspicious	مشكوك فيه
sustain	تحمل
sustainability	الإستمرارية
sustainable	مستمر
swag	غنيمة
swallow	يبلع
swap	تبادل
swear	يحلف
sweat	يعرق
sweater	جاكت برد
sweep	مسح
sweet	حلو
sweet dreams	أحلام جميلة
sweet tooth	بحب الحلويات
sweetheart	حبيب
sweetheart	حبيبة
swell	أنيق
swell	تضخم
swelling	تورم
swelling	متكبر
swim	يسبح
swimming	سباحة
swing	أرجوحة
swing	يتأرجح
switch	مفتاح تحويل
switch	يحوّل
swollen	منفوخ
sword	سيف
symbol	رمز
sympathy	تعاطف
symptoms	أعراض
system	نظام
table	طربيزة
tackle	يتصدى
tag	وسم
tag	يشير الى
tail	ذيل
take	استلم
take away	أبعد
take care	إحذر
take off	اخلع
taken	محتل
talk	يتحدث
talk	محادثة
talkative	كثير الكلام
tall	طويل
tap	حنفية
tape	شريط
target	هدف
target	يستهدف
task	مهمة
taste	طعم
taste	يتذوق
tasty	حلو المذاق
taught	عَلَّمَ
tea	شاي
teach	يدرس
teacher	أستاذ
team	فريق
tear	دموع
tears	دموع
tease	يضايق
technology	تكنولوجيا
teeth	أسنان
tell	يخبر
tell me	أخبرني
temper	مزاجي
temper	صلب
temperature	درجة الحرارة
temple	معبد
temporary	مؤقت
ten	عشرة
ten thousand	عشرة آلاف
tenant	مؤجر
tend	ينزع
tendency	إتجاه
tender	مزايدة في السعر
tense	زمن الفعل
tense	متوتر
tension	توتر
tent	خيمة
tentative	مؤقت
term	مصطلح
terms	مصطلحات
terrible	فظيع
terrific	رائع
territory	إِقلِيم
test	إختبار
test	يختبر
text	نص
than	من
thank	شكر
thank you	شكرا ليك
Thank you for your patience while we investigate shipment	شكرا على انتظارك أثناء تحقيقنا في موضوع الشحنة
thank you so much	شكرا جزيلا
thank you very much	شكرا جزيلا
thanks	شكرا
Thanks for using our app	شكرا لأنك بتستخدم تطبيقنا
that	داك
that is	إنه
that's good	هذا جيد
the	ال
theft	سرقة
their	هم
them	هم
theme	سمة
theme	موضوع
themselves	أنفسهم
then	ثم
theory	نظرية
there	هناك
there are	هناك
there is	هناك
therefore	لذلك
these	هؤلاء
they	هم
they are	هم
thick	سمك
thief	حرامي
thigh	فخد
thin	ضعيف
thing	شيء
things	حاجات وأشياء
think	يفكر
third	ثالث
thirsty	عطشان
thirteen	ثلاثة عشر
thirty	ثلاثين
this	هذا
this is	هذا
thorough	شامل
thoroughly	كاملاً
those	أولئك
though	بالرغم من
thought	ظن
thought	فِكْرٌ
thoughtful	مدروس
thoughts	أفكار
thousand	ألف
thread	سلسلة
threat	يهدد
threaten	هدد
three	ثلاثة
threshold	عتبة
thrilled	بسعادة
thrive	يزدهر
throat	حلق
through	من خلال
throughout	طول فترة
throw	يرمي
thumb	إبهام
thunder	رعد
Thursday	الخميس
thus	وهكذا
tick	غطاء
tick	قرادة
tide	حركة امواج البحر
tidy	مرتب
tie	يربط
tie	ربطة عنق
tiger	نمر
tight	ضيق
Tigrinya	لغة التيغرينية
time	وقت
timid	خجول
tiny	صغير
tip	بقشيش
tips	نصائح
tire	لستق
tire	عجل
tired	تعبان
tissue	منديل
title	عنوان
to	ل
toast	خبز محمص
today	اليوم
toddler	طفل صغير
toes	أصابع القدم
together	مع بعض
toilet	الحمام
told	كلم
tolerance	تسامح
tolerate	تساهل
tomato	طماطم
tomorrow	غداً
tongue	لسان
tonight	الليلة
too	أيضا
took	أخذ
tool	أداة
tools	أدوات
tooth	سن
top	قمة
topic	موضوع
torn	ممزق
torture	يعذب
total	المجموع
touch	يلمس
tough	خشن
tour	رحلة سياحية
toward	باتجاه
towards	بإتجاه
towel	فوطة
town	مدينة
toxic	مسموم
trace	يتبع
track	يتبع
trade	يتاجر
trade	تجارة
tradition	تقاليد
traditional	تقليدي
traffic	حركة
trail	أثر
trail	مقطورة
train	قطار
train	يتمرن
training	تمرين
trait	ميزة
traits	ميزات
transfer	تحويل
transition	انتقال
translate	يترجم
transparent	شفاف
transport	ينقل
transportation	مواصلات
trap	فخ
trash	مهملات
trauma	صدمة
travel	يسافر
tray	صينية
treasure	كنز
treasure	أحب
treat	إتعامل
treatment	علاج
tree	شجرة
tremendous	هائِل
trend	شائع
trend	مشهور
trial	محاولة
trial	محاكمة
trick	حيلة
tried	حاول
trigger	يضغط
trigger	زناد
trim	زخارف
trip	رحلة
trouble	مشكلة
trousers	بناطلين
truck	شاحنة
true	صاح
trunk	جذع
trust	يثق
trust	ثقة وصدق
truth	ثقة
try	يحاول
Tsonga	لغة تسونجا
tube	أنبوب
Tuesday	الثلاثاء
tuition	دراسة
turkey	ديك رومى
turmeric	الكُركُم
turn	ينعطف
turn	يلف
turtle	سلحفاة
tutor	مدرس خاص
twelve	اثني عشر
twenty	عشرين
twenty-one	واحد وعشرين
Twi	لغة توي
twice	مرتين
twist	إلتواء
two	أثنين
type	نوع
typical	متكرر
ugly	قبيح
ultimate	أقصى
umbrella	مظلة
unable	غير قادر
uncle	خال
uncle	عم
unconscious	غير واعي
under	تحت
underneath	تحته
underrated	مُهمَل
understand	يفهم
understood	مفهوم
unfortunately	للأسف
uniform	زي رسمي
unique	فريد
unit	وحدة
university	جامعة
unknown	مجهول
unless	إلا إذا
until	حتى
unusual	غير عادي
up	فوق*
up to you	على كيفك
update	تحديث
update	يحدث
upgrade	يجدد
upgrade	تجديد
upgrade	يحدث
upon	على
upset	منزعج
urban	متحضر
urge	يعجل
urge	استعجال
urgent	عاجل
us	نحن
use	إستعمال
use	يستخدم
used	مستخدم
useful	مفيد
useless	عديم الفائدة
usual	عادي
usually	في العادة
utility	جدوى
vacation	إجازة
vaccination	لقاح
vaccine	لقاح
vacuum	مكنسة
vague	غامض
valid	ساري المفعول
valley	الوادي
valuable	قيّم
value	قيمة
value	يقدر
variety	متنوع
various	مختلف
vary	يختلف
vase	مزهرية
vast	واسع
vegetable	الخضروات
vegetables	خضروات
vehicle	عربية
vendor	بائع
venom	حسد
venom	السم
venture	يغامر
venue	مكان
verify	يؤكد
versatile	متنوع القدرات
version	إصدار
vertical	رأسي
very	شديد
very good	جيد جدا
vessel	وعاء
via	عبر
vibe	شعور
vibes	مشاعر
vicious	فاسد
victim	ضحية
video	فيديو
view	منظر
village	قرية
villain	خسيس
vinegar	الخل
vintage	كلاسيكي
violence	عنف
violent	عنيف
viral	فيروسي
virgin	بِكر
virtual	إفتراضي
virtue	فضيلة
vision	رؤية
visit	يزور
visit	زيارة
visual	مرئي
vital	حيوي
vivid	واضح
vocabulary	مفردات
voice	صوت
void	فراغ
volume	حجم
volunteer	متطوع
vomit	أخرج
vomit	إستفراغ
vulnerable	مُعَرَّض
wage	مرتب
wages	مرتبات
wages	أجور
waist	خصر
wait	انتظر
waiter	جرسون
waiting	ينتظر
wake	يستيقظ
wake up	أصحى
walk	يمشي
walk	مشي
walking	المشي
wall	حيطة
wallet	جزلان
wander	سنين
wander	تجول
wanna	تريد
want	عايز
wanted	مطلوب
war	حرب
wardrobe	خزانة ملابس
warehouse	مستودع
warm	يسخن
warm	دافيء
warn	تحذير
warning	تحذير
warrior	محارب
was	كان
wash	يغسل
waste	يضيع
waste	نفايات
watch	ينظر
watch	ساعة يد
watch	حراسة
water	ماء
watermelon	بطيخ
wave	موجة
way	شارع
we	نحن
we are	نحن
we can	نستطيع
weak	ضعيف
weakness	ضعف
wealth	ثروة
wealthy	غني
wear	ألبس
wearing	يلبس
weather	الجو
wedding	زفاف
Wednesday	الأربعاء
weed	حشيش
week	أسبوع
weekend	عطلة نهاية الاسبوع
weight	وزن
weight	يوزن
weird	مخيف
welcome	مرحب بيك
welfare	رفاهية
welfare	شؤون اجتماعية
Well	كويس
well done	شغل جميل
went	مشى
were	كان
west	غرب
wet	رطوبة
whale	الحوت
what	ماذا
what about you	طيب وأنت
what are you doing	بتعمل في شنو
what are you doing now	بتعمل في شنو حاليا
what are you doing right now	ماذا تفعل الآن
what do you do	ماذا تفعل
what do you do for a living	ماذا تعمل لكسب لقمة عيشك
what do you mean	قصدك شنو
what do you want	ماذا تريد ؟
what happened	ماذا يحدث
what is	ماذا يكون
what is this	ما هذا؟
what is your job	ما وظيفتك
what is your name	إسمك منو
what's up	كيف أخبارك
what's your name	اسمك منو
whatever	أيا كان
wheat	قمح
wheel	عجل عربية
when	متين
whenever	في أي وقت
where	أين
where are you	أنت وين
where are you from	أنت من وين
where are you now	أنت وين الآن
where do you live	أنت عايش وين
where is	أين هو
whereas	بينما
whether	سواء
which	التي
while	عندما
whisper	يهمس
whistle	صفارة
white	أبيض
who	منو
who are you	أنت منو
who is	الذي هو
who is this	دا منو
whole	كل
whom	من
whose	الذين
why	لماذا
why not	ولم لا؟
wicked	الفاسد
wide	واسع
widow	أرملة
width	العرض
wife	زوجة
wild	متوحش
will	وصية
will	سوف
willing	يرغب في
win	يفوز
wind	رياح
window	نافذة او شباك
windy	عاصف
wine	مشروب خمر
winter	الشتاء
wipe	يمسح
wire	الأسلاك
wisdom	حكمة
wise	حكمة
wish	أماني
wish	يأمل
wish you all the best	أتمنى لك الأفضل
witch	ساحرة
with	مع
withdraw	يسحب
withdrawal	سحب
within	ضمن
without	بدون
witness	شاهد
witness	يشهد
witty	مضحك
witty	ذكي
wolf	ذئب
woman	إمراة
women	امرأة
won	فاز
wonder	يتعجب
wonderful	عجيب
wood	خشب
wool	صوف
word	كلمة
words	كلمات
work	عمل
work	يعمل
work out	حل
working	عمل
world	العالم
worm	دُودَة
worn	لبس
worried	متوتر
worry	خوف
worse	أسوأ
worship	يعبد
worst	الأسوأ
worth	يستحق
worth it	يستحق التعب
worthy	مستحق
wound	جرح
Wow	وااو
wrap	لف
wrath	غيظ
wrist	معصم اليد
write	أكتب
Write here	اكتب هنا
writing	كتابة
written	مكتوب
wrong	خطأ
wrote	كتب
yard	حديقة المنزل
yawn	يتثائب
yawn	تثاؤب
Yeah	نعم
year	عام
years	سنين
yeast	خميرة
yell	صراخ
yellow	أصفر
Yes	نعم
yes baby	نعم حبيبي
yes dear	نعم عزيزي
yes honey	نعم حبيبتي
yes my love	أي حبيبتي
yes of course	نعم أكيد
yesterday	أمس
yet	قط بفتح القاف
yield	خضوع
yield	محصول
you	أنت
you are	أنت
you are beautiful	أنت جميل
you are so beautiful	أنت جميلة جداً
you are welcome	عفوا
you can	أنت قادر
You know	أنت عارف
you too	أنت أيضاً
you're welcome	العفو
young	شاب
your	حقك
your welcome	العفو
yourself	نفسك
youth	شباب
you’re welcome	العفو
yummy	لذيذ
zero	صفر
