a little	неуна
nevertheless	сы вылӧ видзӧдтӧг
new	выль
news	выльторъяс
next	мӧд
next to	орччӧн
nice	шань
nice to meet you	нимкодь тӧдмасьны
niece	племяннича
niece	воча ныв
night	вой
nightmare	лёк вӧт
nine	ӧкмыс
nineteen	дас ӧкмыс
ninety	ӧкмысдас
No	Абу
no problem	дерт
no way	нинӧм понда
nobody	некод
noise	шум
noisy	шума
none	ни ӧти
noon	лун шӧр
nope	абу
nor	ни
normal	нормальнӧй
north	войвыв
nose	ныр
nostalgic	кольӧмасьыс гажтӧмтчана
not	абу
not	он
not	оз
not at all	ньӧти
not bad	абу лёк
Not now	Оз ӧні
not yet	абу на
note	пасйӧд
noted	пасйӧм
nothing	нинӧм
notice	казявны
noticed	казяліс
noticed	казялӧма
noun	эмакыв
nouns	эмакывъяс
novel	роман
november	вӧльгым
now	ӧні
nowadays	ӧні
nuisance	падмӧг
null	ноль
numb	гегдӧм
numb	позялӧм
number	номер
nurse	медсестра
nut	ӧрек
nutmeg	мускат ӧрек
nutrition	вердӧм
oath	кыв сетӧм
obesity	тшӧгӧм
obey	кывзысьны
object	объект
objective	мог
obligation	уджмог
obscure	гудыр
observation	видзӧдӧм
observe	видзӧдны
obsession	сетчӧм
obsolete	важмӧм
obstacle	мытшӧд
obtain	босьтны
obtained	босьтіс
obvious	тыдалана
obviously	тыдалӧ
obviously	буракӧ
occasionally	кадысь кадӧ
occupation	уджсикас
occupied	занят
occur	вӧвны
occur	лоны
occurred	лоис
occurs	вӧчсьӧ
ocean	океан
october	йирым
odd	тешкодь
odds	позянлунъяс
of course	дерт
off	кусӧдӧм
offensive	увтыртана
offer	вӧзйыны
offer	вӧзйӧм
office	кабинет
official	официальнӧй
often	сука
often	тшӧкыда
Oh	О
oh really	збыльысь
oil	вый
ok	ладнӧ
ok dear	бур, донаӧй
ok honey	бур, донаӧй
ok my love	бур, мусаӧй
okay	бура
okay	бур
okay baby	бур, мусаӧй
okay dear	бур, донаӧй
okay honey	дона
okay honey	бур, муса
okay my love	бур, менам муслунӧй
old	пӧрысь
old	важ
old	важся
on	вылын
once	ӧтчыд
one	ӧти
one language is never enough	ӧти кывйыд некор абу тырмымӧн
onion	лук
online	онлайн
only	сӧмын
open	восьса
operation	операция
opinion	видзӧдлас
opportunities	позянлунъяс
opportunity	позянлун
opposite	паныд
optimistic	бурӧ эскысь
option	ног
option	позянлун
optional	лоны вермана
optional	абу быть
or	либӧ
orange	апельсин
orange	вижовгӧрд
order	тшӧктыны
order	арт
ordinary	прӧстӧй
organization	котыр
orientation	нырвизь
origin	лоӧм
original	аслыспӧлӧс
Oromo	Оромо
orphan	батьтӧм-мамтӧм
other	мӧд
otherwise	мӧд ног
ought	колӧ
our	миян
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Миян мог: сетны позянлун быдлаын да быдӧнлы гӧгӧрвоны мирсӧ да петкӧдлыны асьнысӧ ас кывйӧн.
Our mission: to organize the world's information and make it universally accessible and useful.	Миян мог: лӧсьӧдны мир йылысь тӧдӧмлунъяс да вӧчны найӧс быдӧнлы восьсаӧн да коланаӧн.
out	ортсысяньыс
outcome	бӧртас
outfit	снаряженньӧ
outgoing	петысь
outlet	розетка
outline	мыгӧр
outside	ортсын
outstanding	нималана
oven	пач
over	вывті
over there	кӧнкӧ сэні
overall	комбинезон
overcome	венны
overthinking	юрын гартлӧм
overwhelmed	пикӧ воӧм
overwhelming	весьӧпӧртана
owe	лоны уджйӧза
owl	сюзь
own	ас
own	кутны
owner	кутысь
ox	ӧш
pace	ӧд
pack	гартны
package	упаковка
paid	мынтӧма
paid	мынтіс
pain	дой
paint	серпасавны
paint	краска
painting	серпас
painting	серпасасьӧм
pair	гоз
pale	блед
palm	ки пыдӧс
pan	рач
pandemic	пандемия
panic	шӧйӧвошӧм
pants	гач
paper	кабала
paradise	рай
parallel	параллельнӧй
parcel	ыстӧмтор
pardon	прӧститӧм
parents	бать-мам
park	парк
parrot	попугай
parsley	петрушка
part	юкӧн
participate	пырӧдчыны
particular	торъялана
particularly	торйӧн
partner	ёрт
party	рытпук
pass	ветлӧдлыны
pass	кольны
passage	вуджанін
passed	колис
passion	сьӧлӧмсянь сетчӧм
passionate	биа
passive	водзмӧстчытӧм
password	гусякыв
past	кольӧм
patch	йӧр
patch	юкӧн
path	ордым
pathetic	коньӧр
patience	терпенньӧ
patient	висьысь
patient	дӧзмытӧм
pattern	сер
pause	коставлӧм
pavement	пода туй
pay	мынтыны
payment	мынтысьӧм
peace	мир
peaceful	лӧнь
peach	персик
peak	йыв
pear	груша
peas	анькытш
peculiar	аслыспӧлӧс
pee	кудзасьны
pee	кудз
peel	кор
peel	кыш
peer	тшӧтшъя
peers	тшӧтшъяяс
pen	ручка
pencil	карандаш
pending	виччысиг
people	йӧз
pepper	гормӧг
perceive	гӧгӧрвоны
perception	гӧгӧрвоӧм
perfect	тыр-бур
perform	вӧчны
performance	вӧчны верманлун
perhaps	вермас лоны
period	кадколаст
permanent	вежласьтӧм
permission	лэдзӧм
permit	лэдзны
perseverance	личлэдзлытӧмлун
persistent	сетчытӧм
person	морт
personal	ас
personality	морт
perspective	видзӧдлас
persuade	эскӧдны
pervert	пеж морт
pet	гортса пемӧс
phase	фаза
phenomenon	петкӧдчӧм
philosophy	философия
phone	телепон
photo	фото
phrase	кывйитлӧс
physical	физическӧй
pick	ӧктыны
pick up	босьтны
pick up	лэптыны
picture	серпас
piece	тор
pieces	торъяс
pig	порсь
pigeon	гулю
pile	чукӧр
pillow	юрлӧс
pilot	пилот
pin	булавка
pineapple	ананас
pink	кельыдгӧрд
pit	гӧп
pitch	медджуджыдін
pitch	джуджда
pity	жалитӧм
place	ин
place	инавны
places	инъяс
plague	чума
plain	ясыд
plan	план
plane	самолёт
plant	быдмӧг
plants	быдмӧгъяс
plate	тасьті
platform	платформа
play	пьеса
play	ворсны
playing	ворсысь
pleasant	лӧсьыд
please	пӧжалуйста
please	бур вылӧ
please	могмӧдны
pleased	дӧвӧль
pleasure	сьӧлӧм бурмӧдантор
pledge	кыв сетӧм
plenty	уна
plot	сюрӧс
plug	тупкыны
plum	слива
plumber	ва нюжӧдысь
plural	уна лыда
podcast	подкаст
poem	кывбур
poetry	поэзия
point	чут
poison	яд
police	полиция
policy	политика
polite	вежавидзысь
pollution	няйтчӧдӧм
pond	пруд
pool	варччанін
poop	сітасьны
poor	коньӧр
poor	гӧль
pop	потны
popular	нималана
population	олысьяс
pork	порсь яй
porridge	рок
port	порт
position	ин
positive	прамӧй
possess	кутны
possession	кутӧм
possessive	асалан
possible	лоны вермана
post	пошта
post	йӧзӧдны
postpone	водзӧ вылӧ пуктыны
potato	картупель
potential	позяна
potential	лоны вермана
pound	пунт
poverty	гӧльлун
power	власьт
power	вын
powerful	вына
practical	практическӧй
practice	практика
practice	практикуйтчыны
praise	ошкыны
prank	вильшалӧм
pray	кевмысьны
precious	дона
precise	буретш
precisely	стӧча
predict	водзвыв висьтавны
prefer	ёнджыка радейтны
preference	ёнджыка радейтӧм
pregnant	нӧбасьысь
prejudice	подувтӧм видзӧдлас
premises	мутас
premium	вылыс тшупӧда
preparation	дасьтысьӧм
prepare	дасьтыны
prepared	дась
preposition	предлог
presence	эм
present	ӧнія
present	козин
presentation	петкӧдлӧм
preserve	кольны
president	президент
press	личкыны
press	газет-журнал
pressure	личкӧм
pressure	давленньӧ
pretend	лэдзчысьны
pretty	вель
pretty	мичаник
prevent	видзчысьны
previous	воддза
prey	кыйдӧс
price	дон
pride	асьтӧ пыдди пуктӧм
priest	вичкоын служитысь
primary	медтӧдчана
prime	медшӧр
princess	принцесса
principal	веськӧдлысь
prior	воддза
priority	медтӧдчанатор
prison	дзескыдін
privacy	йӧзӧдтӧмлун
private	аспом
privilege	торъя инӧд
prize	приз
probably	вермас лоны
problem	мытшӧд
procedure	процедура
proceed	водзӧ вӧчны
process	вӧдитны
process	вӧчны
process	вӧчӧм
produce	вӧчны
product	вӧчӧмтор
production	производство
profession	уджсикас
professional	профессионал
profile	профиль
profit	чӧжӧс
profound	пыді
progress	сӧвмӧм
progress	сӧвмыны
project	проект
prominent	нималана
promise	кӧсйысьӧм
promise	кӧсйысьны
promote	сӧвмӧдны
promotion	кыпӧдӧм
prompt	тэрыб
prone	кымыньӧн куйлысь
pronouns	нимвежтасъяс
pronunciation	шуанног
proof	докажитӧм
proper	колана
properly	колана ногӧн
properties	аслыспӧлӧслунъяс
property	ас эмбур
proposal	вӧзйӧм
prospect	аскиа лун
prosperity	дзордзалӧм
prosperous	дзоридзалан
protect	дорйыны
proud	тшап
prove	эскӧдны
provide	сетны
provide	могмӧдны
provided	могмӧдӧм
province	обласьт
provision	могмӧдӧм
puberty	тыр вир-яйӧ воӧм
public	восьса
pull	кыскыны
pumpkin	тыква
punctual	чочкӧм
pupil	велӧдчысь
purchase	ньӧбны
pure	сӧстӧм
purple	гӧрдовлӧз
purpose	мог
purse	кӧшель
pursue	вӧтчыны
pursuit	вӧтлысьны
pursuit	вӧтлысьӧм
push	йӧткыны
put	пуктыны
qualification	кужанлун
qualification	квалификация
quality	качество
quantity	мында
quarantine	карантин
quarrel	пинясьны
quarrel	пинясьӧм
quarter	нёльӧд пай
Quechua	Кечуа
queen	королева
queen	ӧксань
queer	аслыссяма
query	корӧм
question	юалӧм
queue	ӧчередь
queue	сувтны ӧчередьӧ
quick	тэрыб
quickly	ӧдйӧ
quiet	лӧнь
quilt	лестукъясысь вурӧм эшкын
quit	эновтны
quit	шыблавны
quite	вель
quite	дзик
quiz	юасьӧм
quotation	цитата
quote	цитата
quote	ыстысьны
quotes	цитатаяс
rabbit	кӧч
rabbit	кролик
race	панласьӧм
rage	ярлун
rain	зэр
rain	зэрны
raise	кыпӧдны
raise	кыпӧдчӧм
raised	лэптіс
raised	лэптӧм
ran	котраліс
random	водзвыв лӧсьӧдтӧм
range	рад
rapid	тэрыб
rapidly	ӧдйӧ
rare	гежӧд
rare	шоч
rarely	гежӧда
rash	кисьталӧм
rat	крыса
rate	ӧд
rather	вель
ratio	йитчӧм
ratio	ӧта-мӧд вылӧ тӧдчӧм
rational	вежӧртана
raw	уль
reach	воны
reach	судзны
reached	шедӧдӧма
reached	шедӧдіс
reaction	вочавидзӧм
read	лыддьыны
reading	лыддьысьӧм
ready	дась
real	збыльвывса
reality	збыль
realize	гӧгӧрвоны
realized	гӧгӧрвоис
realized	гӧгӧрвоӧма
really	збыльысь
rear	бӧр
reason	помка
reasonable	тӧлка
recall	тӧд вылӧ вайӧдны
receipt	квитанция
receive	босьтны
received	пӧлучитіс
recent	неважӧнся
recently	неважӧн
reception	примитӧм
reception	вочаалӧм
recipe	рецепт
reckless	вежӧртӧм
recognition	пыдди пуктӧм
recognize	тӧдмавны
recommend	вӧзйыны
recommended	вӧзйӧм
record	гижны
record	гижӧд
recover	бурдны
recovery	бурдӧм
rectangle	веськыдсэрӧг
red	гӧрд
redeem	вештыны
redemption	вештӧм
reduce	этшаммӧдны
reduce	чинтыны
reduce	ичӧтмӧдны
redundant	вывті ыджыд
refer	ыстысьны
reference	ыстӧг
reflect	петкӧдлыны
reflection	петкӧдчӧм
refrain	кутчысьны
refrigerator	кӧзӧд
refund	вештыны
refund	вештӧм
refuse	ӧткажитчыны
refused	ӧткажитіс
regard	пыдди пуктыны
regarding	кузя
regardless	видзӧдтӧг
regards	чолӧм
region	регион
register	пасйыны
regret	каитчыны
regret	жалитны
regular	коставтӧм
regularly	пыр
reject	ӧтдортны
relate	йитчыны
related	йитчӧм
relationship	йитӧдъяс
relative	мыетшкӧ
relative	рӧдвуж
relatives	рӧдвуж
relax	шойччыштны
release	мездмӧм
release	мездыны
released	мездмӧм
relevant	лӧсялана
reliable	зумыд
reliable	эскыны позяна
relief	кокньӧдӧм
relieve	кокньӧдны
relieved	кокнипырысь
religion	эскӧм
religious	эскысь
reluctant	дышкодь
rely	мыджсьыны
remain	кольны
remaining	кольӧм
remarkable	тӧдчана
remedy	бурдӧдчантор
remember	тӧд вылын кутны
remind	тӧд вылӧ уськӧдны
reminder	тӧд вылӧ уськӧдӧм
remote	ылысса
remove	бырӧдны
remove	чышкыны
render	сетны
rent	кӧртымалӧм
repair	дзоньтавны
repeat	мӧдысь вӧчны
replace	вежны
reply	вочакыв
reply	вочавидзны
report	юӧртны
report	доклад
represent	петкӧдлыны
reputation	ним
request	корны
request	корӧм
require	корны
required	корана
rescue	мездыны
research	туялӧм
resemble	мунны
resentment	лӧг кутӧм
reservation	бронируйтӧм
reserve	кольӧдны
resident	олысь
resign	ӧткажитчыны
resilience	зумыдлун
resilient	зумыд
resist	водзсасьны
resistance	водзсасьӧм
resolution	кывкӧртӧд
resolve	решитны
resort	курорт
resources	ресурсъяс
resources	озырлун
respect	пыдди пуктыны
respect	пыдди пуктӧм
respond	вочавидзны
response	вочакыв
responsibility	кывкутӧм
responsible	кывкутысь
rest	шойччӧм
rest in peace	югыдін да шоныдін
restaurant	ресторан
restore	выль пӧв лӧсьӧдны
restrict	дзескӧдны
result	бӧртас
results	бӧртасъяс
resume	водзӧ вӧчны
retail	розничнӧй
retain	кольны
retention	кутӧм
retired	пенсия вылын
retreat	бӧрыньтчыны
retrieve	бӧр босьтны
return	бӧр сетны
return	бӧр локны
reveal	восьтыны
revealed	восьтіс
revenge	водзӧс
revenue	чӧжӧс
reverse	бӧр
review	дженьыда висьталӧм
review	видлавны
revise	прӧверитны
revision	выльысь видлалӧм
revolution	революция
reward	награда
rhythm	ритм
rib	ордлы
rice	рис
rich	озыр
rid	мынтӧдчыны
ride	ветлыны
ride	ветлӧм
ridiculous	серам петкӧдлан
right	веськыдвыв
right	правлун
right now	дзик ӧні
rigid	чорыд
ring	чунькытш
ring	кытш
rinse	пожъявны
riot	кыпӧдчӧм
rip	косявны
rip	косяссьӧм
ripe	кисьмӧм
rise	кыпӧдчыны
rise	кыпӧдчӧм
risk	риск
risk	рискуйтны
rival	конкурент
river	ю
road	туй
roast	пражитны
robust	ён
rock	из
rock	кырта
rod	ньӧр
role	роль
roll	гӧгыльтны
roof	вевт
room	жыр
root	вуж
rope	гез
rotten	сісь
rough	вежавидзтӧм
rough	чорыд
roughly	гӧгӧр
roughly	кымын
round	гӧгрӧс
route	мунан туй
routine	быдлунся
row	рад
rub	вуштыны
rub	зыртны
rubber	резина
rubbish	лӧп-ёг
rude	мывкыдтӧм
rude	вежавидзтӧм
rug	ковёр
ruin	жугӧдны
rule	правилӧ
ruler	веськӧдлысь
rules	правилӧяс
rules	индӧдъяс
run	котӧртны
run	пышйыны
run	гӧнитны
running	котӧртысь
rural	сиктса
rush	чепӧсйыны
rush	тэрмасьӧм
sack	сепыс
sacred	вежа
sacrifice	жертва
safe	абу ӧпаснӧй
safe flight	бура лэбны
safety	лёк суӧмысь видзӧм
sage	мывкыд морт
said	шуис
sail	плавайтны
sail	тӧвдӧра
sailing	плавайтысь
sailing	плавайтӧм
sake	понда
salary	удждон
sale	вузасьӧм
salmon	чими
salt	сов
same	дзик жӧ сійӧ
Same here	Тані дзик жӧ сійӧ
sample	видлӧг
sand	лыа
Sanskrit	Санскрит
sarcastic	ёся тешитчан
sassy	збой
sat	пукалі
sat	пукаліс
satisfaction	сьӧлӧм бурмӧм
satisfied	дӧвӧль
satisfy	могмӧдны
satisfying	сьӧлӧм бурмӧдысь
Saturday	Субӧта
sausage	калбас
savage	велӧдтӧм
savage	вӧй
savage	кид
save	видзны
saw	аддзыліс
say	сёрнитны
scale	масштаб
scam	ылӧдлӧм
scar	вурыс
scarce	этшаӧн овлан
scared	повзьӧдӧм
scarf	шарп
scary	повзьӧдчана
scattered	разі-пели
scene	сцена
scenery	серпас
scent	кӧр
schedule	планируйтны
schedule	расписанньӧ
school	школа
science	наука
scientist	учёнӧй
scientists	туялысьяс
scissors	ножич
scold	пинявны
scope	шымыртӧм
score	тшӧт
scrap	курас-карас
scratch	сарпалӧм
scratch	сарпавны
scream	горзыны
screen	экран
screw	винт
script	сценарий
sea	саридз
seal	печать
search	корсьны
season	вогӧгӧрся кад
seat	пуклӧс
second	мӧд
second	секунд
secret	гусятор
section	юкӧн
secure	лӧнь
security	лёк суӧмысь видзӧм
see	аддзыны
see you	аддзысьлам
see you later	аддзысям сёрӧнджык
see you soon	аддзысьлытӧдз
see you soon	регыд аддзысям
see you tomorrow	аскиӧдз
seed	кӧйдыс
seek	корсьны
seem	кажитчыны
seems	чайтсьӧ
seen	аддзылӧма
seize	кутны
seizure	босьтӧм
seizure	асалӧм
seldom	корсюрӧ
select	бӧрйыны
self	ачыс
self healing	аснаукӧн бурдӧдчӧм
selfish	асьсӧ радейтысь
sell	вузавны
send	ыстыны
send	мӧдӧдны
send me your picture	ысты меным ассьыд фототӧ
send me your picture	ыстӧй меным ассьыныд фотонытӧ
senior	ыджыд
sense	кылӧм
sensible	тӧлка
sensitive	ляб
sent	ыстіс
sent	ыстӧма
sentence	сёрникузя
sentences	сёрникузяяс
separate	торъя
Sepedi	Сепеди
september	кӧч
sequence	сьӧрсьӧн-бӧрсьӧн мунӧм
series	сериал
serious	авъя
serious	тӧлка
serious	серьёзнӧй
seriously	збыльысь
serve	служитны
service	служба
session	сессия
set	лӧсьӧдны
set	набор
set	пуктыны
set up	лӧсьӧдны
setting	ладмӧдӧм
settle	овмӧдчыны
seven	сизим
seventeen	дас сизим
seventy	сизимдас
several	некымын
severe	сьӧкыд
sew	вурны
sew	вурсьыны
sh	тс-с
shade	вуджӧр
shadow	вуджӧр
shake	таркӧдны
shall	колӧ
shallow	ляпкыд
shame	яндзим
shape	бала
share	юксьыны
sharp	ёсь
she	сійӧ
she has	сылӧн эм
she is	сійӧ лоӧ
shed	лэбув
sheep	ыж
sheet	кабала тор
shelf	джадж
shell	кыш
shelter	юр сюянін
shield	сайӧд пӧв
shift	вешйыны
shine	югъявны
ship	караб
shipping	вайӧм
shirt	дӧрӧм
shoes	кӧм
shoot	лыйны
shoot	лыйсьыны
shop	лавка
shopping	ньӧбасьӧм
shore	ва дор
shore	берег
short	дженьыд
shortage	тырмытӧм
shot	лыйны
shot	лыйӧм
should	должен
shoulder	пельпом
shout	горзыны
show	петкӧдчӧм
show	петкӧдлыны
show me	петкӧдлы меным
show me	петкӧдлӧй меным
shower	душ
shrimp	креветка
shrink	пуксьыны
shut	пӧдлавны
shut up	вом пӧдлавны
shy	яндысьысь
sibling	вок али чой
siblings	чой-вок
sick	висьысь
side	дор
sigh	ышловзьӧм
sight	аддзан
sightseeing	нималанаторъяс видзӧдалӧм
sign	пас
signature	кырымпас
significant	тӧдчана
silence	чӧв олӧм
silent	чӧв олысь
silent	чӧв
silk	шӧвк
silly	йӧй
silly	бӧб
silver	эзысь
similar	ӧткодь
simp	мӧмӧт
simple	прӧстӧй
simultaneously	ӧттшӧтш
sincere	сьӧлӧмсянь
sincerely	сьӧлӧмсянь
sing	сьывны
singer	сьылысь
single	ӧтка
single	дзик ӧти
sink	раковина
sink	вӧйны
Sir	Ӧксай
sister	чой
sister in law	монь
sit	пукавны
site	ин
situation	ситуация
six	квайт
sixteen	дас квайт
sixty	квайтымын
size	ыджда
skill	кужанлун
skills	сям
skin	кучик
skinny	вӧсни
skip	чеччавны
skirt	юбка
sky	енэж
slave	раб
sleep	узьны
sleeping	узьысь
sleepy	унзіль
sleeve	сос
slice	шӧрӧм
slice	шӧравны
slide	исковтны
slightly	муртса
slim	статя
slip	исковтны
slope	ньывк
slot	розь
slow	ньӧжмыд
slowly	ньӧжйӧ
small	ичӧтик
small	дзоля
smart	сюсь
smell	кӧр
smile	нюм
smile	нюмъявны
smoke	куритчыны
smoke	тшын
smooth	мольыд
smooth	шыльыд
snack	нуръясянтор
snail	лёльӧ
snake	змей
snap	колскӧдны
snow	лым
snow	лымъявны
so	и сідз
so cute	сэтшӧм мусаник
so far	ӧнӧдз
so far	сэтчӧдз
soak	йиджтыны
soap	майтӧг
sober	садь
soccer	футбол
social	социальнӧй
society	котыр
society	йӧзкотыр
socks	носки
soft	небыд
software	уджтасулов
soil	мусин
sold	вузалӧм
sold	вузаліс
sold out	вузалӧма
soldier	салдат
sole	под
sole	куш ӧти
solid	топыд
solution	кывкӧртӧд
solve	решитны
some	некымын
some	мыйтакӧ
somebody	кодкӧ
somehow	кыдзкӧ
someone	кодкӧ
something	мыйкӧ
sometimes	мукӧддырйи
sometimes	корсюрӧ
song	сьыланкыв
soon	регыд
sophisticated	дзуг
Sorani	Сорани
sore	доймӧм
sore	дой
sore throat	висьысь горш
sorrow	шог
Sorry	Прӧща кора
sort	сикасавны
sought	нырччис
soul	лов
soulmate	ас морт
sound	шы
soup	шыд
sour	шома
source	ӧшмӧс
south	лунвыв
space	гӧгӧртас
spam	спам
span	коласт
Spanish	Испания
spare	видзтыны
spare	запаснӧй
speak	сёрнитны
special	аслыс сикас
special	торъялан
species	сикас
specific	стӧч
specific	торъя
spectacular	синмӧ шыбитчан
speech	сёрни
speechless	кыввортӧм
speed	ӧд
spell	нимкыв
spend	лотны
spent	видзӧм
spicy	ёсь кӧра
spike	ёсь
spike	шеп
spin	бергӧдлыны
spinach	шпинат
spirit	лов
spit	сьӧлавны
splendid	торъя бур
split	торъялӧм
split	торйӧдны
spoil	тшыкӧдны
spoiled	тшыкӧм
spontaneous	виччысьтӧм
spoon	пань
spot	чут
spouse	верӧс
spread	паськӧдны
spring	тулыс
square	квадрат
squeeze	пычкыны
squid	кальмар
squirrel	ур
st	вежа
stab	начкыны
stable	зумыд
stack	сабри
staff	уджалысьяс
stage	сцена
stain	ляк
stairs	пос
stake	ставка
stalk	за
stall	лавка
stamp	печать
stand	сулавны
standard	стандартнӧй
star	кодзув
start	заводитны
started	заводитӧм
starving	тшыгъялысь
state	аскылӧм
state	эскӧдны
statement	шыӧдчӧм
station	станция
statue	статуя
status	статус
stay	кольччыны
stay	олӧм-вӧлӧм
stay safe	видз асьтӧ
stay safe	видзӧй асьнытӧ
steady	зумыд
steak	бифштекс
steal	гусясьны
steam	ру
steel	емдон
steep	крут
stem	за
step	воськов
stick	бедь
stiff	чорыд
still	на
still	вӧрзьывтӧм
sting	чушкыны
stingy	скуп
stir	гудравны
stock	запас
stolen	гусялӧм
stomach	кынӧм
stone	из
stood	сулаліс
stool	джек
stop	сувтлыны
storage	видзанін
store	лӧдны
storm	бушков
story	висьт
stove	плита
straight	веськыд
straightforward	веськыд
strain	напряженньӧ
strange	тешкодь
stranger	тӧдтӧм
strategy	нуӧданног
straw	идзас
strawberry	оз
streak	визь
stream	визув
street	улич
strength	эбӧс
strength	вынйӧр
strength	вын
stress	стресс
stretch	нюжӧдны
strict	стрӧг
strike	кучкӧм
strike	кучкысьны
strike	кучкыны
string	струна
strip	визь
strive	зільны
stroke	кучкӧм
strong	вына
strong	ён
struck	вартіс
struck	вартӧма
structure	тэчас
struggle	тышкасьны
struggle	тыш
struggling	тышкасьысь
stubborn	асныра
stuck	сибдӧм
student	студент
study	туялӧм
study	туявны
studying	туялӧм
stuff	сюйны
stunning	чуймӧдана
stupid	йӧй
style	стиль
subject	тор
subject	эмтор
submission	кывзысьӧм
submit	кывзысьны
substance	вещество
substitute	вежантор
substitute	вежысь
substitute	вежны
subtle	ӧдва аддзана
succeed	артмыны
success	вермӧм
successful	бура олысь
successful	бура уджалысь
such	татшӧм
such as	сэтшӧм
such as	кыдзи
suck	нёнявны
sudden	виччысьтӧм
suddenly	виччысьтӧг
suffer	сьӧкыд нуны
suffering	страдайтӧм
sufficient	тырмана
sugar	сакар
suggest	вӧзйыны
suggestion	вӧзйӧм
suit	костюм
suit	лӧсявны
suitable	шогмана
suitcase	чемодан
sum	ӧтувъя лыд
summary	сюрӧс
summer	гожӧм
summit	йыв
sun	шонді
sunday	вежалун
sunny	шондіа
sunset	шонді пуксьӧм
sunshine	шонді югыд
super	зэв бур
superior	медвылыс
supervisor	супервайзер
supper	ужын
supply	могмӧдны
supply	могмӧдӧм
support	отсӧг
support	отсавны
suppose	чайтны
supposed	чайтана
sure	дерт
surface	веркӧс
surge	кыпавны
surgery	хирургия
surname	ов
surprise	чуймӧдны
surprised	чуймӧм
surrender	сетчыны
surrounding	гӧгӧрса
surveillance	видзӧдӧм
survey	юасьӧм
survey	юасьны
survive	ловйӧн кольны
suspect	чайтны мыжаӧн
suspect	мыжаӧн чайтана
suspended	ӧшӧдӧм
suspicious	тӧдтӧм
sustain	сетны отсӧг
sustainability	зумыдлун
sustainable	зумыд
swag	лайкъявны
swallow	ньылавны
swap	вежласьны
swear	кыв сетны
swear	ёрччыны
sweat	ньылӧм
sweater	свитер
sweep	чышкыны
sweet	юмов
sweet dreams	юмов вӧтъяс
sweet tooth	юмов радейтысь
sweetheart	сьӧлӧмшӧр
swell	туктыны
swelling	пыкӧс
swim	варччыны
swimming	варччӧм
swing	качайтчыны
swing	гытсан
switch	переключайтны
switch	переключатель
swollen	пыктӧм
sword	шыпурт
symbol	пас
sympathy	сьӧлӧмсянь гӧгӧрвоӧм
symptoms	симптомъяс
system	система
system	тэчас
table	пызан
tackle	решитавны
tag	пас
tail	бӧж
take	босьтны
take away	мырддьыны
take care	видз асьтӧ
take off	пӧрччыны
taken	босьтӧм
talk	сёрнитны
talk	сёрни
talkative	варов
tall	джуджыд
tall	кузь
tap	кран
tap	кучкавны
tape	лента
target	пуктыны мог
target	мишень
task	мог
taste	видлыны
taste	кӧр
tasty	чӧскыд
taught	велӧдіс
tea	тшай
teach	велӧдны
teacher	велӧдысь
team	команда
tear	синва
tears	синва
tease	дэльӧдны
technology	вӧчанног
teeth	пиньяс
tell	сёрнитны
tell	висьтавны
tell me	висьталӧй меным
tell me	висьтав меным
temper	сям
temperature	температура
temple	вичко
temporary	недыр кадся
ten	дас
ten thousand	дас сюрс
tenant	олысь
tend	зільны
tendency	нырвизь
tender	мелі
tense	зэлалӧм
tension	зэлалӧм
tent	вон
tentative	ылӧсас вӧчӧм
term	термин
terms	условиеяс
terrible	весьӧпӧртана
terrific	шензьӧдана
territory	мутас
test	прӧверяйтны
test	тест
text	гижӧд
text	текст
than	дорысь
thank	аттьӧавны
thank you	аттьӧ
Thank you for your patience while we investigate shipment	Аттьӧ виччысьӧмсьыныд, сэк кості ми тӧдмалам, кӧні ыстӧмторйыс
thank you so much	ыджыд аттьӧ
thank you very much	ыджыд аттьӧ
thanks	аттьӧ
Thanks for using our app	Аттьӧ миян приложенньӧӧн вӧдитчӧмысь
that	сійӧ
that is	тайӧ лоӧ
that's good	тайӧ бур
theft	гусясьӧм
their	налӧн
them	найӧс
theme	тема
themselves	асьнысӧ
then	сэк
theory	теория
there	сэні
there are	эмӧсь
there is	эм
therefore	сы вӧсна
these	тайӧяс
they	найӧ
they are	найӧ лоӧны
thick	кыз
thief	гусясьысь
thigh	лядьвей
thin	вӧсни
thing	тор
things	кӧлуй
think	мӧвпавны
third	коймӧд
thirsty	косьмӧм горша
thirteen	дас куим
thirty	комын
this	тайӧ
this is	тайӧ лоӧ
thorough	быд боксянь
thorough	пыдісянь
thoroughly	тырвыйӧ
those	найӧ
though	кӧть
thought	мӧвпаліс
thought	мӧвп
thoughtful	мӧвпалысь
thoughts	мӧвпъяс
thousand	сюрс
thread	сунис
threat	грӧз
threaten	повзьӧдлыны
three	куим
threshold	тагӧс
thrilled	нимкодь
thrive	дзоридзавны
throat	горш
through	пыр
through	мысти
throughout	быдлаті
throw	шыблавны
thumb	пев
thunder	гым
Thursday	Четверг
thus	татшӧм ногӧн
tick	вӧрса лудік
tide	туӧм-ямӧм
tidy	пельк
tie	галстук
tie	кӧртавны
tiger	тигр
tight	дзескыд
Tigrinya	Тигринья
time	кад
timid	рам
tiny	зэв ичӧтик
tip	пом
tips	чай вылӧ
tire	шына
tired	мудз
tired	мудзӧм
tissue	салфетка
title	ним
