a	ए
must	मावथारनांगौ मुवा
must	बाध्य जा
mute	बबा
mutual	गावजों गाव
my	आंनि
My dear	आंनि आंगो
my friend	आंनि लोगो
My hovercraft is full of eels	आंनी जाहाजा नाबामिजं बुंफबजोबनाय
my love	आंनि अननाय
my name is	आंनि मुंआ
my pleasure	खावलायनाय
myself	आं गावनो
mysterious	गोमोथाव
mystery	रहस्य
myth	गोदोनि सल' बाथा
nail	गाजोल
naive	गोरलै
name	मुं
narrative	बिजिरलु
narrow	गुसेब
nasty	गिलु बालु
national	हारियारि
nationality	नोगोरथि
native	जोनोम जायगा
natural	मिथिंगायारि
nature	मिथिंगा
nausea	गोबाल' गोबाल' मोननाय
near	खाथि
nearby	साखाथि
nearly	खाथियै
neat	साफा
necessary	गोनांथार
neck	गोदोना
necklace	माला
need	गोनांथि
need	गोनां जा
negative	गैयि
neglect	गोसो दाहो
negotiate	सावराय
neighbor	न'खाथिनि मानसि
neighborhood	खाथि खालायाव थानाय जायगा
neither	मोनसेआबो नङा
nephew	बानायसो
nervous	लोरबांथि
nest	बासा
net	जे
network	मिरुनि राहा
neutral	दिदोम
never	माब्लाबाबो जायै
never give up	माब्लाबाबो जेननो नाङा
never mind	नेवसिगार
nevermind	जेबो दासान
nevertheless	अब्लाबो
new	गोदान
news	रादाब
next	फैगौ
next to	उननि
nice	मोजां
nice to meet you	नोंथांखौ लोगो हमना गोजोननाय मोन्दों
niece	भागिन जो
night	हर
nightmare	गिथाव सिमां
nine	गु
nineteen	जिगु
ninety	गुजि
No	नङा
no problem	जेबो नङा
no way	जेबो राहा गैया
nobody	रावबो नङा
noise	दावराव
noisy	दावराव
none	रावबो नङा
noon	सानजौफु
nope	नङा
nor	गैया एबा नङा
normal	सरासनस्रायै
north	साहा दिक
nose	गनथं
nostalgic	गोसोखांथि
not	नङा
not at all	नंथारा
not bad	गाज्रि नङा
Not now	दानो नङा
note	सुंद' फोरमायथि
noted	गोसोआव ला
nothing	जेबो गैया एबा जाया
notice	नुनाय
noticed	नायसननाय
noun	मुंमा
nouns	मुंमा
novel	सल'मा
november	इंराजि बोसोरनि जिसेथि दान
now	दा
nowadays	आजिखालि
nuisance	दावराव दावसि
null	जेबो गैयै
numb	थ'र गैयै
number	अनजिमा
nurse	बेरामि जाथोन लाग्रा हिनजाव
nut	सायाव गोरा बिगुर एबा बिखंथानाय बेगर
nutmeg	जाइफल
nutrition	आदार एबा खाजा
oath	समायखिरा
obesity	लोदोद्राय
obey	बिथोन फालि
object	मुवा
objective	थांखि
obligation	बिबान
obscure	खोमसि
observation	धियान
observe	नोजोर हो
obsessed	नागिर थिं
obsession	भुतनि गागलोबनाय
obsolete	गोजाम बाहायजायै
obstacle	बादा
obtain	लाभ खालाम
obtained	मोन
obvious	नुसारनाय
obviously	रोखायै
occasionally	सम समै
occupation	सासे सुबुंनि खामानि
occupied	दखल खालामनाय
occur	जाजानाय
occurred	जाथाय जानाइ
occurs	जाथाय जानाय
ocean	लैथोमा
october	इंराजि बोसोरनि जिथि दान
odd	गोमोथाव
odds	खाबु
of	नि
of	निफ्राय
of course	नंथारगौ
off	गोजानाव
offensive	अफमान गोनां
offer	दान होनाय
offer	जासि
office	मावख'
official	सरकारि बिबानगिरि
often	गले गले
Oh	गोमोनाय
oh really	नंगौना
oil	थाव
ok	जागोन
ok dear	जागोन स'ना
ok honey	अनजालि
ok honey	जागोन अनजालु
ok my love	जागोन आंनि अनजालि
okay	थिक दं
okay baby	जागोन अनजालि
okay dear	जागोन नोंथां
okay honey	जागोन रजे
okay my love	जागोन आंनि अनजालि
old	बैसो जानाय
on	सोलिबाय थानाय
once	खोनसे
one	से
one language is never enough	मोनसे रावआ थोआ
onion	सामब्राम गोजा
online	सुंजाब जानाय
only	मोनसेल'
open	फाङै
operation	मावफुंनाय
opinion	बिबुंथि
opportunities	खाबुफोर
opportunity	खाबु
opposite	उलथा
optimistic	आसागोनां
option	सायख'नाय
optional	गावनि गोसोनि
or	एबा
orange	नारें कमला
orange	नारें कमला गाब
order	बिथोन
order	हुखुम हो
ordinary	सरासनस्रा
organization	फसंथान
orientation	नोजोर लानाय
origin	गुदि
original	गुबै
Oromo	साहा खेनियानि राव
orphan	रावबो आंगो गैजायै
other	गुबुन
otherwise	नङाब्ला
ought	मोजां जा
our	जोंनि
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	जोंनि थांखि: गासैबो, जेरावबो संसारखौ बुजिनो हानाय आरो गासै राव आव फोरमायनो हानाय खालामनाय
Our mission: to organize the world's information and make it universally accessible and useful.	जोंनि थांखि: बुहुमनि खौरांफोरखौगौथुम खालामना गासै मुलुग आव मोननो हानाय आरो बाहायनो हाथाव खालामनाय
out	बाहेराव
outcome	फिथाइ
outfit	सि-जोम
outgoing	बिदायी
outlet	ओंखार लांग्रा लामा एबा गुदुं
outline	सिमा हांखो
outside	बाहेरा
outstanding	जोबोद गाहाम
oven	सौखा
over	सायाव
over there	बैयाव
overall	गासै
overcome	देरहा
overthinking	बांद्राय साननाय
overwhelmed	फुरायै फेजेन
overwhelming	जोबोद गेदेर
owe	दाहार
owl	फेसा
own	बिगोमा जा
own	गावनि
owner	बिगोमा
ox	बलद मोसौ
pace	जायगा
pack	थन
package	थालि थफला
paid	रां हो
pain	सानाय
paint	गाब
painting	गाब फोननाय खामानि खामानि
pair	जरा
pale	बेरानि खुनथा
palm	खिजुर
pan	एवखां खावखां खालामग्रा दो
pandemic	हादर नाङै गोसारनाय
panic	हरखाब गिनाय
pants	पायजामा
paper	लेखा बिलाइ
paradise	गोजोनफुरि
parallel	समान
parcel	थफ्ला
pardon	खमा हो
parents	बिमा बिफा
park	मटर - गारि लाखिग्रा जायगा
parrot	भाटौ
parsley	मोदोमफ्रु मैगं
part	बाहागो
participate	बाहागो ला
particular	मोनसे थि आइदा
particularly	मोनसे थि आयदा
partner	बाहागोगिरि
party	दोलो
pass	बारलां
passage	बारलांनाय
passed	बारबाय
passion	अननाय
passionate	रागा
passive	सहायसुला
password	रैखाथि होग्रा अनजिमा
past	थांखानाय
patch	थालि हो
path	लामा
pathetic	दुखुनांथाव
patience	सहायनाय
patient	सहायहाग्रा
patient	जब्रा
pattern	बिदिनथि
pause	दोनथ'
pavement	फुतपाथ
pay	हो
payment	सुख'नाय
peace	सांति
peaceful	गोजोनगोनां
peach	बिलाथि बैग्रि
peak	हाजो थिखिनि
pear	नाचपति
peas	मटर
peculiar	बिसेस
pee	हासुनाय
pee	हासु
peel	जिर
peer	समरा समरि लोगो
peers	समान थाखोनि
pen	कलम
pencil	तुलि
pending	दिनदां थानाय
people	मानसिफोर
pepper	गोसोम गाबनि मस्ला गथा
perceive	नोजोर हो
perception	मोनदांथि
perfect	आबुं
perform	मावफुं
performance	मावफुंनाय
perhaps	जानो हागौ
period	सम
permanent	अरायथा
permission	गनायथि
permit	गनायथि
perseverance	मोजाङै लाखिनाय
persistent	हमथाबबाय थाग्रा
person	सुबुं
personal	गावनि
personality	सुबुंसार
perspective	नुथाय
persuade	बुरखाय
pervert	गाज्रि लिमाथिं बोख्लें
pet	फिसिनाय जुनार
phase	थाखो
phenomenon	गोमोथाव नुथाय
philosophy	सानथौ बिगियान
phone	जानबुं
photo	सावगारि
phrase	बाथ्रा खोनदोब
physical	देहायारि
pick	खन
pick up	दिखां
picture	सावगारि
piece	खोनदो
pieces	थुख्रा
pig	अमा
pigeon	बाथ'
pile	दामोल
pillow	गानदु
pilot	अख्रां दिङा सालायगिरि
pin	खिला
pineapple	रायमालि
pink	जाथोसे बिबार
pit	हाखर
pitch	धुना
pity	अनखांनाय
place	थि थावनि
place	लाखि एबा दोन
places	जायगाफोर
plague	महामारि
plain	समान
plan	हांखो सावगारि
plane	एर'प्लेन
plant	गाय
plants	लाइफां
plate	थोरसि
platform	जौसां
play	गेलेनाय
play	गेले
playing	गेलेदों
pleasant	निजोम
please	अननानै
pleased	गोजोननाय
pleasure	रंजानाय
pledge	समाय लानाय
plenty	बुरजा
plot	दब्लाय
plug	मुखा
plum	बैग्रि फिथाइ
plumber	पाइप मिस्रि
plural	गोबां
poem	खनथाय
poetry	खनथाय बिदां
point	बिजौ
poison	बिस
police	पुलिच
policy	राजखानथियारि मावसोला
polite	सोद्रोम
pollution	गुबुंले जानाय
pond	फुख्रि
pool	फुक्रि
poop	नेहात जामबा मानसि
poor	गोरिब
pop	नुजा
popular	मोन्थि जानाय
population	सुबुं अनजिमा
pork	अमा बेदर
porridge	पायस
port	जाहाज गाथोन
position	जायगा
positive	खाथां
possess	बिगोमा
possession	लोगोआव थानाय
possessive	दबथायनो नागिर नाय
possible	हाथाव
post	खुनथिया
post	सिथाब हो
postpone	दोनथ'
potato	आलु
potential	जानोहाथाव गुनथानाय
pound	देख्रुब
poverty	निखावरि
power	सकति
powerful	गोहोगोरा
practical	मावनो हाथाव
practice	सर' खालाम
practice	सर'
praise	बाखनाय
prank	थामसा
pray	आरज गाब
precious	दाम गोसा
precise	थार
precisely	थार
predict	सिगांनो बुं
prefer	सायख'नाय
preference	सायख'नाय
pregnant	गोरबोगोनां
prejudice	बानगैयै साननाय
premises	थानाय जायगा
premium	गिबिसिन
preparation	थागथियारि
prepare	थागथियारि जा
prepared	थियारि
preposition	महरथि
presence	नुजाथि
present	आथिखाल
present	दानि सम
present	बानथा
presentation	दिनथिनाय खामानी एबा बानथाहोनाय खामानि
preserve	मोजां लाखिनाय
president	आफादगिरि
press	सेबखांग्रा जनथ्र'
press	नारसिन
pressure	नारथाय
pretend	जाप्ला
pretty	खमबो नङा बाराबो नङा बिब्दि रोखोमै
pretty	नाइनो मोजां
pretty	इसे बिबाङै
prevent	होबथा
previous	सिगांनि
prey	मैहुर
price	बेसेन
pride	दुगा
priest	दौरि
primary	गुदि
prime	गिबिसिन
princess	राजखुंग्रि
principal	गोरायुं
prior	आगोलनि
priority	गोनांथि खालामनाय
prison	जोबथेसालि
privacy	निजोमथि
private	लाखोमानो गोनां
privilege	जुनिया
prize	बानथा
probably	जोबोद जानोहाथाव
problem	जेंना
procedure	खानथि
proceed	आवगाय
process	मावख'आरि नेमजों माव
process	फारिखानथि
produce	दिनथि
product	दिहुनजा मुवा
production	दिहुनजा मुवा
profession	बृत्ति
professional	फालांगियारि
profile	खेंसालिया महर
profit	लाभ
profound	गोथौ
progress	दावगानाय
progress	दावगा
project	बिथांखि
prominent	मुंदांखा
promise	समाय
promise	समाय ला
promote	जौगा
promotion	मासि जौगानाय
prompt	हरखाब
prone	गोसोजानाय
pronouns	मुंराय
pronunciation	रिंसार खालाम
proof	फोरमान
proper	थार
properly	आरजाथाव
properties	समफथिफोर
property	समफथि
proposal	थांखि
prospect	फैलाव नुथाय
prosperity	जौगानाय
prosperous	जौगालु
protect	रैखा
proud	दुगा
prove	फोरमान खालाम
provide	जगार खालामना हो
provided	जगाय
province	प्रदेस
provision	थाकथियारि
puberty	लाइमोन बैसो
public	राइजो राजा
pull	बो
pumpkin	जोगोनार
punctual	सम फालिग्रा
pupil	सोलोंसाफोर
purchase	बायनाय
pure	गोथार
purple	फान्थाव गाब
purpose	थांखि
purse	रां लाग्रा मना
pursue	ला
pursuit	उनसंनाय
push	नार
put	दोन
qualification	रोंगौथि
quality	गुन
quantity	अनजिमा
quarantine	हारसिं दोननाय
quarrel	नांलायनाय
quarrel	नांलाय
quarter	ब्रै बाहागोनि से बाहागो
Quechua	आमेरिखान इंडियान राव
queen	रानि
queer	आसदा
query	सोंथि
question	सोंलु
queue	सारि जा
queue	सारि
quick	हरखाब
quickly	थाब
quiet	सिरि
quilt	लेप
quit	नागार
quite	सिरि
quite	निजोम
quite	फुरायै
quiz	सोंथि सों
quotation	मख'नाय राव
quote	बिदिनथि हो
quote	मालायनि बुंनायखौ बुंफिन
quotes	बेसेन खालाम
rabbit	सेसा
race	फोलेर
rage	रागा
rain	अखा
raise	जोथोन खालाम
raise	गोजौआव दैखां एबा दैखो
raised	गोजौआव दैखांनाय
ran	खारलां
random	जिखुनु
range	सारि
rapid	गोख्रै
rapidly	गोखोरै
rare	मोननो थाङै
rarely	खमैसो
rash	माबार माबार मावनाय
rat	एनजर
rate	दाम
rather	बबेखानि
ratio	रुजुथाय
rational	गियानि
raw	गोथां मुवा
re	नंगौ
reach	मोनहै
reached	सफैबाय
reaction	उलथा जाथाय खालाम
read	फराइ
reading	फरायनाय खामानि
ready	थियारि
real	नंगुबै
reality	सैथोथा
realize	बुजिमोन
realized	बुजिमोनबाय
really	थारैनो
rear	उन बाहागो
reason	जाहोन
reasonable	जुक्ति गोनां
recall	गोसोखां
receipt	रचीट
receive	नाजाव
received	नाजावबाय
recent	गोदान
recently	बावैसो
reception	बरायनाय
recipe	संनाय खावनायनि दिथा
reckless	गोसो होयै
recognition	गनायथि होनाय
recognize	सिनाय
recommend	बाखनायना होनाय
recommended	मोजां बुंना होनाय
record	रेबगनथि
record	लिरना दोन
recover	फाहामजानाय
recovery	मोनफिननाय
rectangle	आयट दबलाय
red	गोजा
redeem	उदां खालाम
redemption	बोखांनाय
reduce	खम खालाम
redundant	बांद्राय
refer	मुंख'
reference	रायखांनाय
reflect	मोदान
reflection	रिफिनाय
refrain	गावखौ दबथाय
refrigerator	गुसुयै लाखिग्रा जनथ्र'
refund	रांखौ हरफिननाय
refuse	नेवसि
refused	नेवसि
regard	नोजोर हो
regarding	नोजोर बोनानै
regardless	गोसो होआलासे
regards	मान
region	ओनसोल
register	हाजिरा बही
regret	दुखु खालाम
regular	गले गले
regularly	सानफ्रोमबो
reject	नागार
relate	बिजिर
related	सोमोन्दो गोनां
relationship	सोमोनदो
relative	सोमोनदो थानाय
relative	खुरमा
relatives	बाहागि
relax	गुरै खालाम
release	हगारना होनाय
release	हगारना हो
released	हगार
relevant	लोबबा गोनां
reliable	फोथाइ जाथाव
relief	सुगलायनाय
relieve	रेहाय
relieved	खमायनाय
religion	धोरोम
religious	धोरोमि
reluctant	गोसोगैयै
rely	सोनार
remain	थालां
remaining	था
remarkable	नामजादा
remedy	मुलि
remember	गोसोखां
remind	गोसोखांहो
reminder	गोसोखांहोग्रा
remote	गोजान
remove	बोखार
render	हरथ'
rent	भारा
repair	फाहाम
repeat	बुंफिन
replace	सिगांनि जायगायाव दोनफिन
reply	फिननाय हो
reply	फिननाय
report	खौरां हर
report	फोरमायथि
represent	सोरनिबा जानानै मावनाय
reputation	मुंदांखाथि
request	खावलाय
request	आरज गाबनाय
require	गोनां
required	गोनांथि
rescue	बोखांनाय
research	नाइबिजिरनाय
resemble	गोरोब
resentment	रागा
reservation	खथा
reserve	जुनियायै दोन
resident	बासिन्दा
resign	एंगार
resilience	सिगांनि अबस्थायाव फैफिननाय गोहो
resilient	सिगांनि अबस्थायाव फैफिननाय गोहो
resist	होबथा
resistance	बादा
resolution	गोसोनि गोराथि
resolve	जेंना बोस्रां
resort	उफाय
resources	राहा
respect	मान
respect	मान खालाम
respond	फिननाय
response	फिननाय
responsibility	बिबान
responsible	दाय गोनां
rest	जिरायनाय
rest in peace	गोजोनै आराम खालामदो
restaurant	हथेल
restore	मोनफिन
restrict	सिमा गोनां खालाम
result	फिथाइ
results	फिननाय
resume	जागायफिन
retail	खुसरायै फान एबा फान जा
retain	लाखि
retention	गोसोखांनाय
retired	आजिरा लानाय
retreat	गिदिंना थांफिन
retrieve	उदां खालाम
return	फैफिन
reveal	खोनथानाय
revealed	बुंथिना ला
revenge	फिनसाजा
revenue	खाजोना
reverse	गुबुन दिकफारसे
review	बिसावरायनाय
review	बिजिरना नाइफिन
revise	फिन आनजाद नायनाय
revision	फोसाबनाय
revolution	बिग्रायनाय
reward	बानथा
rhythm	ख'बाम
rib	बेगें
rice	माइरं
rich	धोनि
rid	उदां जा
ride	गारियाव दावबाय
ride	सालायनाइ
ridiculous	जाथावै
right	थार
right	थिक
right	आगदा
right now	दानो
rigid	गोरा
ring	आसथाम
rinse	दैजों सुस्रा
riot	दाङाबाजि
rip	बिसिनाय
rip	बिसि
ripe	गोमोन
rise	सिखां
rise	दावखोनाय
risk	बिबान
risk	खैफोद आफोद एबा गोमानाय - खहा जानायनि बिबानखौ ला
rival	बादायारि
river	दैमा
road	लामा
roast	अराव साव
robust	जांगिला
rock	अनथाइ
rod	लावथि
role	बाहागो
roll	मेराय
roof	न'नि उखुम
room	खथा
root	रोदा
rope	दिरुं
rotten	गेसाव
rough	गोब्रा
roughly	गोरायै
round	सोरगिदिं
route	लामा
routine	मावफारि
row	सारि
rub	हु
rubber	हुखुमोरग्रा
rubbish	दाखोर - दाला
rude	खाब्रां खाथां
rug	कमबल
ruin	सिलिंखार
rule	सासन
ruler	सासनगिरि
rules	नेम
run	खार
running	खारगासिनो
rural	गामियारि
rush	हाखु दाखु
rush	नारला नारसि
sack	बस्ता
sacred	गोथार
sacrifice	बाउनाय
safe	खैफोथ गैयि
safe flight	खैफोद गैयि बिरलां
safety	रैखा
sage	साधु
said	बुंनाय
sail	जाव
sailing	जावगासिनो
sake	थाखाय
salary	दरमा
sale	फाननाय
salmon	जाथोसे गेदेर ना
salt	संक्रि
same	एखे
Same here	बियावबो एखे
sample	नमुना
sand	बाला
Sanskrit	हिनदुनि लिरग्रा हांखो
sarcastic	जंखायलु
sassy	गोख्रों जानाय
sat	जिराय
satisfaction	गोजोननाय
satisfied	गोजोनबाय
satisfy	गोजोनहो
satisfying	गोजोनहोनाय
Saturday	शनिबार
sausage	संख्रि होनानै जानाय बेदरनि लारु
savage	सोद्रोमनङै
save	बासाय
saw	नुदों
say	बुं
scale	ज'खासुग्रा लावथि
scam	थगायनानै रां आरजिनाय
scar	दागो
scarce	दाग
scared	गिनाय
scarf	माफलार
scary	गिथावना
scattered	गोसारना थानाय
scene	नायजाब फैसालि
scenery	मिथिंगायारि
scent	मोदोमफ्रु मोदोमनाय
schedule	तालिका एबा सम फारिलाइ बानाय
schedule	समनि फारिलाइ
school	फरायसालि
science	बिगियान
scientist	बैगानिक
scientists	बैगानिक
scissors	खेमसि
scold	रायनाय
scope	सुबिदा
score	नैजि अनजिमा
scrap	फिसा थुख्रा
scratch	खुर
scream	हज्रि
screen	फैसालि
screw	बलथु
script	साफायनाय हांखो
sea	लैथो
seal	गोरायै बन्द' खालामनाय
search	नागिर
season	बोथोर
seat	मासि
second	नैथि
secret	सिंनि
section	बाहागो
secure	खैफोद गैयै
security	रैखाथि
see	नाइ
see you	थाबैनो नुज्लायगोन
see you later	इयुनाव लोगो हमलाय फिनगोन
see you soon	नोंथांजों थाबैनो नुज्लायगोन
see you tomorrow	नोथांखौ गाबोन लोगो हमगोन
seed	बेगर
seek	नाइगिर
seem	आनदाज खालाम
seems	आनदाज खालाम
seen	नुनाय
seize	हरखाबै हम
seizure	गागलोबनाय
seldom	माब्लाबा माब्लाबा
select	सायख'
self	गावनो
self healing	गाव हारसिं फाहामथाय
selfish	गावखौल' सानग्रा
sell	फानहर
send	हर
send me your picture	आनो नोनि सावगारिखौ दैथाय सर
senior	देरसिन
sense	मोनदां
sensible	बुजिगोरों
sensitive	मोनदांथि
sent	दैथाय हर
sentence	बाथरा
sentences	बाथ्राफोर
separate	आलादा
Sepedi	साहा स'थ' नि राव
september	इंराजि बोसोरनि गुथि दान
sequence	थाखो फारि
series	फारि
serious	गोनांथार
seriously	गोसो गोथौयै
serve	खामानियाव फै
service	खामानि
session	जुथुममा
set	मुवाफोरनि हानजा
set	दोन
set up	थासारि
setting	गायसननाय
settle	मिमांसा खालाम
seven	स्नि अनजिमा
seventeen	जिस्नि
seventy	स्निजि
several	गोबां बुरजा
severe	गोब्राब
sew	सावले
shade	साया
shadow	सायखं
shake	जांख्रि
shall	इयुन फोरमायग्रा लोगो थाइजा
shallow	थौले
shame	लाजिनाय
shape	महर
share	बाहागो
sharp	गोबौ
she	बिथांजो
she has	बिथांजो हा
she is	बिथांजो
shed	उखुम साल
sheep	बोरमा मेनदा
sheet	धातु
shelf	आइजें आइला
shell	बिखं
shelter	आश्रय
shield	दाहाल
shift	जायगा सोलाय
shine	जों
ship	गेदेर जाहाज
shipping	दैथाय हरनाय
shirt	गसला
shoes	जुथा
shoot	गुलि गाव
shop	गला
shopping	बायहैनाय
shore	लैथोनि फार
short	गुसुं
shortage	खम जानाय
shot	गुलि गावनाय सोदोब
shot	गुलि गावनाय
should	मोजां
should	गाहाम
shoulder	फाफलि
shout	हसिख्रावनाय
show	दिनथिनाय
show	दिनथि
show me	आंनो दिनथि
shower	अखा दामब्रा हानाय
shrimp	नाथुरना
shrink	थनथ्र
shut	फांथे
shut up	सिरि था
shy	लाजिगुसु
sibling	आंगोनि बिदा फंबाय एबा बिब बिनानाव
siblings	बिदा - फंबाइ एबा बिब बिनानावफोर
sick	बेरामि
side	रुगुं
sigh	हांमा सुरनाय
sight	नुथाय गोहो
sightseeing	नायदिंनाय
sign	नेरसोन
signature	चही
significant	ओंथिगोनां
silence	निजोम
silent	सिरि
silk	मुगा खुनदुं
silly	आदुवा
silver	रुफा
similar	एखे
simp	जाम्बा मानसि
simple	गोरलै
simultaneously	एखे समावनो जानाय एबा खालामनाय
since	बै समनिफ्रायनो
sincere	नंगुबै
sincerely	नंगुबैयै
sing	खन
singer	रोजाबगिरि
single	हारसिं
sink	गाजाव
sink	दोबै
Sir	मानिनां
sister	बिनानाव
sister in law	बाजै
sit	ज'
site	जायगा
situation	थासारि
six	द' अनजिमा
sixteen	जिद'
sixty	द'जि
size	बिबां
skill	सोलो
skills	गुन गोनां
skin	मोदोमनि बिगुर
skinny	रानथें
skip	बाज्ल'
skirt	हिनजावफोरनि जानजियाव गाननाय सि
sky	अख्रां
slave	ग'लाम
sleep	उनदु
sleeping	उनदुदों
sleepy	उनदुनो ओंखारनाय
sleeve	गसलानि आखाइ
slice	थुख्रा थुख्रा हानाय
slice	थुख्रा हा
slide	रिमोनलां
slightly	इसे
slim	गांजेब
slip	रिमोन
slope	खेंसालिया जायगा
slot	थि खालामनाय सम
slow	लासै
slowly	लासै
small	फिसा
smart	सियान
smell	मुनामसु
smile	मिनिखैरो मिनिनाय
smile	मिनि खैरो मिनिनाय
smoke	उखुन्दै
smooth	मिहि
snack	रेजें खाजा
snail	साम'
snake	जिबौ
snap	हरखाब अर
snow	बरफ
so	बेनिखायनो
so cute	जोबोर अन्थाव
so far	बेसे गोजान
soak	रान
soap	साबुन
sober	दद्र'
soccer	जोलुर
social	सामाजिक
society	समाज
socks	मुजा
soft	गुरै
software	नोरोमथि
soil	जहा
sold	फान
sold out	फान हरबाय
soldier	सानथ्रि
sole	खेंसालिया जायगा
solid	गथा
solution	जेंना सुस्रांनाय
solve	समाधान
some	खायसे
somebody	सोरबा सासे
somehow	खुनुरुखु
someone	सोरबा
something	माबा मोनसे
sometimes	माब्लाबा
song	मेथाय
soon	थाबै
sophisticated	गोदान आदब खायदाजों जेथो गोनां
Sorani	इरान इराखनि राव
sore	बिस गोनां
sore	साबाय थानाय
sore throat	गारमा सानाय
sorrow	दुखु - दाहा
Sorry	निमाहा बिनाय
sort	जाथो
sought	नागिर
soul	जिवमा
soulmate	जिउनि लोगो
sound	सोदोब
soup	बिदै
sour	गोखै
source	फुंखा
south	खोला दिक
space	लांदां जायगा
spam	नंखाय
span	गुवार
Spanish	सफेनिस
spare	ईसे इसेयै बाहाय
spare	निमाहा हो
speak	बुं
special	सरासनस्रा नङै
species	जाथि
specific	मबेबा मोनसे
speech	बिबुंथि
speechless	बाथ्रा गैयै
speed	गोख्रै
spell	हांखो जथाय
spend	बाहाय
spent	बाहाय
spicy	फानलु गोसा
spike	खिलि
spin	गिदिंनाय
spinach	जाथोसे रोसिगोनां मैगं
spirit	जिवमा
spit	मुजु
splendid	साबना हामना
split	गावस्रानाय
split	गावस्रा हो
spoil	गारजि खालाम
spoiled	गारजि खालाम
spontaneous	एरैनो जानाय
spoon	सामस
spot	दागो
spouse	हवा - हिनजाव
spread	गोसार हो
spring	गोबारै बाजल'
square	बर्ग महरनि मुवा
squeeze	सेब
squid	जाथोसे लैथोनि ना
squirrel	मान्दाब
st	धोरोमसुला मानसि
stab	सु
stable	गराय दोनग्रा जायगा
stack	गांसो
staff	लोगोसे खामानि मावग्रा हानजा
stage	फैसालि
stain	दागो
stairs	जांख्ला
stake	खुनथिया
stalk	नायखुमा
stall	मोसौ मैसो
stamp	आथिंजों गादामब्ला
stand	थोंजों था
stand	गसं
standard	फिरफिला
star	हाथरखि
start	जागाय
started	जागायबाय
starving	उखैनाय
state	अबस्ता
state	बिजिर
statement	फोरमायनाय
station	दावबाइयारि दैखांग्रा जायगा
statue	मुरथि
status	सनमान
stay	थानाय खामानि
stay	था
stay safe	गाहामै था
steady	गोम गसंनाय
steak	बेदर एबा नानि दाबला थुख्रा
steal	खाव
steam	दैसा
steel	तिखा
steep	थोंगोर
stem	देनथा
step	आगान
stick	लावथि
stiff	फदमनो हायि
still	बे समसिम
still	दासिमबो
still	निजोम हास्रि
sting	खिसलां जों सु
stingy	खिलाजों सु
stir	सोमाव
stock	दोनथुमनाय
stolen	खावजानाय
stomach	उदै
stone	अनथाइ
stood	गसंदों
stool	जनाय तुल
stop	थाट'
storage	बाख्रि
store	दोनथुम
storm	बारहुंखा
story	स'ल'
stove	सौखा
straight	सिदा
straightforward	सादा सिदा
strain	गोरायै बो
strange	सिनायमोनै
stranger	सिनाय मोनि
strategy	दावहानि सालो
straw	जिगाब
strawberry	जामु फिथाइ
streak	रेगा
stream	आयदा
street	सहरनि लामा
strength	बोलो
stress	मेलेमारि नारसिनथाय
stretch	बोफलाव
strict	खरा
strike	सौदाव
string	फिसा दिरुं
strip	लनथं खालाम
strive	नांलाय
stroke	हुब्लिर
strong	बोलोगोरा
struck	थाबथानाय
structure	दाथाय
struggle	जोबोद नाजा
struggle	जुजिनाय
struggling	खस्त मोन्दों
stubborn	बुजियै
stuck	थाबथाना थानाय
student	फरायसा
study	गोसो होथाबना फरायनाय
study	गोसो होनानै फराय
studying	फरायदों
stuff	माल माथा
stunning	बिराद समायना
stupid	आदुवा
style	फाव
subject	फोरजा
submission	दाखिल खालामनाय
submit	गथाय
substance	सार बाहागो
substitute	सोलाय
subtle	फालथु
succeed	देरहा
success	जाफुंसार
successful	जाफुंसार
such	बिब्दि
such as	बेरोखोमै
suck	सोला
sudden	हरखाब
suddenly	हरखाबै
suffer	भुगि
suffering	खस्थ मोननाय
sufficient	थोजासे
sugar	चिनि
suggest	बोसोन हो
suggestion	बोसोन हो
suit	गसर
suit	खाब जा
suitable	मेलायनाय
suitcase	सि सोग्रा बाकसु
sum	दाजाबगासे
summary	गुबै राव
summer	गोलोम बोथोर
summit	थिखिनि
sun	सान
sunday	रबिबार
sunny	सानदुं स्रां जानाय
sunset	मोनाबिलि
sunshine	सानदुं
super	जोबोर मोजां
superior	गेदेरसिन
supervisor	नायदिंगिरि
supper	मोनाबिलिनि खाजा
supply	जगायना हो
supply	जगायनाय
support	हेफाजाब
support	मदद हो
suppose	हमना ला
supposed	हमना ला
sure	थार
sure	नंथारगौ
surface	सा बाहागो
surge	गेदेर दैथुन
surgery	अस्त्रसिकितसा
surname	उफ्रा मुं
surprise	गोमोनाय
surprised	बाखदावखांनाय
surrender	गेजेन जा
surrounding	सोरगिदिं
surveillance	नायदिंनाय
survey	जरिप
survey	हानि ज'खा सु
survive	बासायना था
suspect	सन्देह खालामनाय
suspect	सन्देह खालाम
suspended	बन्द' खालामथ' नाय
suspicious	सन्देह गोनां
sustain	सौसिनाय
sustainability	जोरथि
sustainable	जोरथाव
swag	गोसो बायदि थानाय
swallow	मन'
swap	सोलाय सोल'
swear	समाय ला
sweat	गोलोमदै
sweater	गुदुं गसला
sweep	सिब
sweet	गोदै
sweet dreams	गोदै सिमां
sweet tooth	गोदै हाथाइ
sweetheart	रजे
swell	बुखांनाय
