abandoned	fililen
presence	sen jɔ
presentation	perezantasiyɔn
present	sisan
preserve	ka lasago
president	jamakuntigi
press	ka digi
pressure	gɛrɛntɛ
pretend	ka kɛ i na fɔ
pretty	cɛɲi
prevent	k'a bali
previous	tɛmɛnen
prey	sɔ́nnifɛn
price	sɔngɔ
pride	kuncɛbaya
priest	sarakalasebaga
primary	fɔlɔ
prime	pirimu
princess	masaden
principal	ɲɛmaa
priority	min bɛ kɛ fɔlɔ
prior	sa ni
prison	kaso
privacy	daamu
private	yɛrɛye
privilege	fɔ́lɔyali
prize	donbolo
probably	a bɛ se ka kɛ
problem	kunko
procedure	taabolo
proceed	ka tɛ̀mɛ a fɛ
process	ka tɛmɛ
produce	ka kɛ
production	sɛnɛ
product	ka kɛ
professional	baarakɛla
profession	baara
profile	porofili
profit	tɔnɔ
profound	dunya
progress	ɲɛfɛtaali
project	poroze
prominent	sɛ̀bɛlama
promise	ka lahidu ta
promote	ka layiriwa
promotion	jalayɛlɛ
prompt	balina
prone	dùsuba
pronouns	nɔnabila
pronunciation	fɔcogo
proof	séereya
proper	dafalen
properly	kaɲɛ
properties	bolo fɛnw
property	ta
proposal	poropozisiyɔn
prospect	hakilina
prosperity	ɲɛsuma
prosperous	sabatili
protect	ka lakana
proud	kuncɛbaa
prove	ka kíisa yira
provided	dilen
provide	k'a di
province	marali
provision	dumuni
puberty	denkɔrɔbaya
public	foroba
pull	ka sama
pumpkin	jě
punctual	wagati la
pupil	lakɔliden
purchase	ka san
pure	yɛrɛyɛrɛ
purple	koloji
purpose	kun
purse	bee
pursue	nɔgɛn
pursuit	nɔgɛn
push	ka ɲɔni
put	k'a don
qualification	donko
quality	kalite
quantity	hakɛ
quarantine	ka i madogo ka bɔ mɔgɔw la
quarrel	kɛlɛ
quarter	kin
Quechua	Kecuwa
queen	masamuso
queer	dabaliban
query	ɲininkali
question	ɲininkali
queue	kun
quickly	joona
quick	teliman
quiet	mumalen
quilt	dara
quite	Bɛrɛ t'a jɛ
quit	ka bɔ
quiz	dɔnnin sɛgɛsɛgɛli
quotation	sɔngɔ di
quote	ka sɔngɔ jateminɛ
quotes	sɔngɔn di
rabbit	sonsan
race	siya
rage	wulubana
rain	sanji
raised	lawili
raise	ka kɔrɔta
random	kunfɛ
range	labɛnko ɲuman
ran	ka boli
rapidly	joona-joona
rapid	teliman
rarely	a man ca
rare	manteli ka kɛ
rash	farikolo bana
rate	hakɛ
rather	fisa
ratio	kɛmɛsarada
rational	nafaman
rat	toto
raw	kɛnɛ
reached	a sera
reach	ka sɔrɔ
reaction	reyakisɔn
reading	gafekalan
read	ka kalan
ready	labɛn
reality	kow
realized	kɛlen
realize	ka kɛ
real	lakika
really	lakika
rear	kɔfɛla
reasonable	fisa
reason	kun
recall	ka segin ka wele
receipt	seereya sɛbɛn
received	sɔrɔ la
receive	ka sɔrɔ
recent	kɔsa in na
recently	kɔsa in na
reception	donda
recipe	eresɛti
reckless	ɲɛ́malobali
recognition	boɲamasegin
recognize	k'a lakodɔn
recommended	lakofɔlen
recommend	ka gɛ̀lɛya
record	ka kumakan ta
recover	ka kɛnɛya
recovery	kɛnɛyali
rectangle	selekenaani
red	bilema
redeem	ka kunmabɔ
redemption	sarali
reduce	ka dɔgɔya
redundant	tanikasegin
reference	tàyɔrɔ
refer	ka yira
reflection	hakilijakabɔ
reflect	taasi
refrain	yɛrɛ minɛ
refrigerator	firigo
refund	ka sara
refused	banna
refuse	ka ban
regard	bonya
regarding	ka ɲɛsin
regardless	ka bɔ a la
regards	folikanws
region	màra
register	tɔgɔwelekaye
regret	ka nimisa
regular	kumabɛ
regularly	kuman bɛ
reject	ka fili
re	ko kura
related	ka talikɛ
relate	ka sagan
relationship	jɛɲɔgɔnya
relative	limaanaw
relatives	balimaw
relax	sɛgɛnlafiɲɛbɔ
released	labilalen
release	ka bila
relevant	nafaman
reliable	lanayabaa
relief	dɛmɛ
relieved	kɛnɛya la
relieve	ka labila
religion	diinɛ
religious	diinɛ
reluctant	yíranyirannci
rely	ka jigi da
remaining	tɔ
remain	ka to
remarkable	kɔ̀lɔsilen
remedy	saraka
remember	ka hakilina jigi
reminder	hakilinajiginla
remind	hakili jigin
remote	samanen
remove	ka labɔ
render	ka i yɛrɛ di
rent	luwanse
repair	ka dilan
repeat	seginkan
replace	ka falen
reply	ka a jaabi
report	cisama
represent	ka nɔnabila kɛ
reputation	tɔgɔ
request	delili
required	laɲininnen
require	ka laɲini
rescue	ka dɛmɛ don
research	ɲinili
resemble	ka bɔ ... fɛ
resentment	koniya
reservation	lakofɔli
reserve	ka mara
resident	lasigiden
resign	ka baara bila
resilience	ko ku
resilient	fasaman
resistance	firifirili
resist	ka firifiri
resolution	ŋaniya
resolve	ka ɲɛnabɔ
resort	eresɔri
resources	sɔ̀rɔda
respect	bonya
respond	ka jaabi
response	jaabi
responsibility	bólokanbila
responsible	kuntigi
restaurant	dumunikɛyɔrɔ
rest in peace	ka diina i la
rest	ka lafiɲɛ
restore	ka lasegin
restrict	ka dansiri
result	jaabi
results	jaabiw
resume	ka daminɛ ko kura ye
retail	dɔgɔdɔgɔnifeere
retain	ka majɔ
retention	marali
retired	sɛngɛ lafiɲɛ
retreat	ka senbɔ
retrieve	Sigikamine
return	segin
revealed	jiralen
reveal	ka jira
revenge	ta sara
revenue	sɔrɔ
reverse	ka yɛlɛma
review	ka sɛgɛsɛgɛ
revise	ka sɛgɛsɛgɛ
revision	seginkanni
revolution	erewolisɔn
reward	sara
rhythm	fɔ́lisen
rib	galakakolo
rice	malo
rich	nafolotigi
ride	ka boli
ridiculous	ko lankolon
rid	ka fili
right	jo
right now	sisan
rigid	makama
ring	balolanɛgɛ
rinse	sananko
riot	balawu
ripe	mɔlen
rip	ka fara
rise	ka funun
risk	farati
rival	kɛlɛɲɔgɔn
river	ba
road	sira
roast	worotilen
robust	ka fɔri
rock	farakurun
rod	kala
role	jɔyɔrɔ
roll	ka kolonkolon
roof	bili
room	soden
root	dili
rope	juruden
rotten	tolila
rough	gɛlɛnman
roughly	ɲɔ̀gɔnna
round	kúlukutulen
route	sira
routine	don o don
row	mankan
rubber	manama
rubbish	ɲaman
rub	tereke
rude	malobali
rug	tapi
ruin	jaasi
ruler	tiiricilan
rule	sariya
rules	sariyaw
run	ka boli
running	boli
rural	burusi
rush	ka girin
sack	bɔrɛ
sacred	lasirannen
sacrifice	saraka
safe flight	pan ɲuman
safe	lakanalen
safety	lakana
sage	hakilitigi
said	fɔ
sailing	batoboli
sail	ka kurunboli
sake	kɔsɔn
salary	sara
sale	feere
salmon	somɔn jɛgɛ
salt	kɔgɔ
same	hali
Same here	o kelen do yan
sample	esantiyɔn
sand	cɛncɛn
Sanskrit	Sanskrit
sarcastic	yɛlɛko
sassy	nafantan
satisfaction	wasali
satisfied	wàsabagatɔ
satisfying	wasa
satisfy	wasa
sat	sigilen
Saturday	sibiri
sausage	na
savage	kungofɛn
save	ka mara
saw	a ye
say	ka fɔ
scale	sumanikɛlan
scam	namara
scarce	dɔ́gɔ
scared	lasiran
scarf	dankana
scar	jolifɔn
scary	lasiranfɛn
scattered	serilen
scene	kɛnɛ
scenery	ɲɔ́gɔlɔn
scent	wusulan
schedule	waati
school	kalanso
science	dɔnniya
scientists	dɔnniyabagaw
scientist	siyantifiki
scissors	sizo
scold	ka kɔrɔfɔ
scope	nafa
score	bi
scrap	ɲaman
scratch	ka siyɛn
scream	kulekan
screen	ekaran
screw	wisi
script	sɛbɛnni
sea	kɔgɔji
seal	tuguda
search	ɲini
season	wagati
seat	sigilan
second	filanan
secret	gundo
section	fan
secure	ka lakana
security	lakana
seed	si
see	ka ye
seek	ɲini
seem	i n'a fɔ
seems	i n'a fɔ
seen	a yela
see you	kan bɛn
see you later	kan bɛn kɔfɛ
see you soon	kan bɛn sɔɔni
see you tomorrow	k'an bɛn sini
seize	ka minɛ
seizure	minɛli
seldom	ɲinin ka
select	ka sugandi
self healing	yɛrɛ kɛnɛyali
selfish	ɲɛngo
self	yɛrɛ
sell	ka feere
send	ka ci
send me your picture	i foto ci ne ma
senior	kùntigi
sense	kɔrɔ
sensible	fɛgɛya
sensitive	ɲɛ́namisɛn
sent	a ci la
sentence	kumasen
sentences	kumasenw
separate	ka fara
Sepedi	Sepedi
september	sɛtanburukalo
sequence	dasigi
series	seriw
seriously	sɛbɛla
serious	sɛbɛ
serve	ka sɔn
service	cákɛda
session	sesiyɔn
set	ka kɛ
setting	paramɛtiri
settle	ka sigin
set up	ka bila sen kan
seventeen	tan ni wolonfila
seventy	biwolonfila
seven	wolonfila
several	damadɔ
severe	juguman
sew	ka kala
shade	ka dibi don
shadow	ja
shake	ka yigiyigi
shall	kan
shallow	ka kunu
shame	maloya
shape	ka labɛn
share	niyɔrɔ
sharp	daduman
she	bi
shed	ka bɔn
sheep	saga
sheet	dara
she has	a ye ... sɔrɔ
she is	a ye
shelf	mɛ̀mɛ
shell	ka wɔrɔ
shelter	siyɔrɔ
shield	nɛgɛbɛnnan
shift	ka yɛlɛma
shine	Ka manamana
ship	baton
shipping	cili bato fɛ
shirt	duloki
sh	jɛgɛ
shoes	samaraw
shoot	ka ci
shop	butigi
shopping	sanni
shore	jida
shortage	danya
short	surun
shot	tiri
shoulder	kamakun
should	ka kan
shout	ka kule
shower	ɲɛgɛn
show	k'a jira
show me	a jira ne ma
shrimp	kerevɛti
shrink	ka woyo
shut	ka datugu
shut up	ka i da tugu
shy	malo
sibling	balima
siblings	balimaw
sick	banabagatɔ
side	kɛrɛ
sight	ɲɛ
sightseeing	turizimu
sigh	yeli
signature	bolonɔ
significant	nafama
sign	taamasiyɛn
silence	kumabaliya
silent	dotugu
silk	fuu
silly	naloma
silver	warijɛ
similar	ɲɔgɔn
simple	nɔgɔman
simp	nɔgɔman
simultaneously	ɲɔ̀gɔnfɛ
since	Kabini
sincerely	sɛbɛsɛbɛla
sincere	sɛbɛ
singer	dɔnkilidala
sing	ka dɔnkili da
single	cɛganan
sink	lawabo
Sir	cɛ
sister	balimamuso
sister in law	nimɔgɔmuso
site	yɔrɔ
sit	ka sigi
situation	koɲɛw
sixteen	tan ni wɔɔrɔ
sixty	biwɔɔrɔ
six	wɔɔrɔ
size	kundama
skill	dɔnko
skills	dɔ́nko
skin	golo
skinny	fasalen
skip	ka lasogo
skirt	zipu
sky	sankolo
slave	jɔn
sleeping	sunɔgɔ
sleep	ka sunɔgɔ
sleepy	sunɔgɔ
sleeve	gulokiboloda
slice	ka tigɛ finitifitini
slide	ka cɛɛnɛ
slightly	dɔɔni
slim	misɛn
slip	cɛɛnɛ
slope	jigi-jigi
slot	ka don
slowly	dɔɔnin-dɔɔnin
slow	suma
small	fitinin
smart	kegun
smell	kasa
smile	ka yɛlɛ
smoke	sisi
smooth	nugu
snack	daladumini
snail	kerekete
snake	sa
snap	ka ja ta
snow	nɛzi
soak	ka ɲigin
soap	safunɛ
sober	sulen
soccer	ntolatan
social	sosiyali
society	sosiyete
socks	susɛti
so cute	cɛ ka ɲi ka kojugu
so far	sisan
soft	magan
software	lozisiyɛli
soil	dugukolo
sold	feere la
soldier	sɔrɔdasi
sold out	ka feere
sole	kelen
solid	jalen
solution	fɛɛrɛ
solve	ka ɲɛnabɔ
somebody	mɔgɔ
some	dɔw
somehow	cogodɔ la
someone	mɔgɔ
something	fɛn dɔ
sometimes	tuma dɔ
song	dɔnkili
so	o de kama
soon	sɔɔni
sophisticated	ɲɛnabɔlen
Sorani	Sorani
sore	joli
sore throat	kan dimi
sorrow	ɲɛnasisi
Sorry	Hakɛto
sort	ka woloma
sought	laɲinilen
soulmate	taamaɲɔgɔn
soul	ni
sound	kanɲɛ
soup	naji
source	bununda
sour	kumu
south	worodugu
space	yɔ́rɔ
spam	bataki siganaman
Spanish	Ɛsipaɲɔli
span	janya
spare	ka mara
speak	ka kuma
special	kɛrɛnkɛrɛnlen
species	násuguyaw
specific	kɛrɛnkɛrɛnlen
spectacular	ílɛlifɛn
speech	kumakan
speechless	bobo
speed	teliya
spell	kilisi
spend	ka wari bɔ
spent	kɛla
spicy	farin
spike	bìɲɛ
spinach	pinari
spin	ka munu
spirit	ni
spit	ka tu
splendid	a kaɲi kojugu
split	ka cɛci
spoiled	cɛnnen
spoil	tiɲɛ
spontaneous	sisan
spoon	kuyɛri
spot	sigiyɔrɔ
spouse	furumuso
spread	ka jɛnsɛn
spring	k'a ta marisikalo la ka taa bila mɛkalo
square	kɛrɛnaani
squeeze	ka madigi
squid	kalamu
squirrel	nkɛlen
stab	ka muru curu
stable	basigilen
stack	faraɲɔgɔnkan
staff	baarakɛlaw
stage	dakun
stain	nɔ
stairs	yɛlɛnyɛlɛnnan
stake	bɔlɔ
stalk	kala
stall	ka kale
stamp	tɛnburu
standard	sariya
stand	ka jɔ
star	dolo
started	daminɛna
start	ka daminɛ
starving	kɔngɔ
state	faso
statement	dantigɛli
station	sitasiyɔn
statue	jirimɔgɔnin
status	sigisariyaw
stay	ka to
stay safe	ka i lakana
steady	basigilen
steak	sogo
steal	ka sonya
steam	sisi
steel	nɛgɛ
steep	teliman
stem	kala
step	etapu
stick	bere
stiff	fɛgɛma
still	hali bi
sting	ka kin
stingy	tɛgɛmagɛlɛ
stir	ka lamaga
stock	ka mara
stolen	sonyalen
stomach	kɔnɔbara
stone	gabakurun
stood	jɔ̀len
stool	kurun
stop	ka dabila
storage	marayɔrɔ
store	butigi
storm	funufunu
story	tariki
stove	furuno
straightforward	tilennen
straight	tilennen
strain	gungurun
strange	dunan
stranger	dunan
strategy	fɛɛrɛ
strawberry	firɛzi
straw	karata
streak	seri
stream	kɔ
street	bɔlɔn
strength	barika
stress	hamina
stretch	ka sama
strict	kilennen
strike	báarabila
string	gaari
strip	ka wɔrɔ
strive	ka sabati
stroke	kuru bɔ
strong	fɔrɔlen
struck	gosilen
structure	kɛcogo
struggle	kɛlɛ
struggling	kɛlɛ
stubborn	tulomagɛlɛn
stuck	nɔrɔlen
student	kalanden
studying	kalan
study	kalan
stuff	fɛn
stunning	dabaliban
stupid	naloma
st	waliju
style	mɔdɛli
subject	walekɛlan
submission	majigi
submit	ka kolo
substance	kɔnɔnafɛn
substitute	ka falen
subtle	ko lankolon
succeed	sabati
successful	sanga sɔrɔ
success	sanga
such as	i n'a fɔ
such	ni
suck	ka min
sudden	ka bali
suddenly	yɔrɔni kelen
suffering	dimi
suffer	ka tɔɔrɔ
sufficient	ɲɛnama
sugar	sukaro
suggest	hakilina yira
suggestion	poropozisiyɔn
suitable	min bɛ bɛn
suitcase	walisi
suit	ka minɛ
sum	hakɛ
summary	farankan
summer	k'a ta zuwɛnkalo ka taa sɛtanburukalo la
summit	kuncɛ
sunday	kari
sunny	tilebilen
sunset	tilebin
sunshine	tileɲɛ
sun	tile
super	a kaɲi
superior	a sanfɛ
supervisor	ɲɛmɔgɔ
supper	ka dumini kɛ
supply	ka di a ma
support	sɛmɛjiri
supposed	i n'a fɔ
suppose	ka bisigi
sure	jaati
surface	kɛnɛ
surge	ka yɛlɛ
surgery	operelikɛyɔrɔ
surname	jamu
surprise	bala
surprised	balinan
surrender	yɛrɛdi
surrounding	lamini
surveillance	lakɔlɔsi
survey	ɲininili
survive	ka balo
suspect	siganamɔgɔ
suspended	kɔnlen
suspicious	siganama
sustainability	mɛli
sustainable	mɛta
sustain	ka mɛn
swag	kado
swallow	ka kunu
swap	ka falen
swear	ka kalen
sweater	jugujugu
sweat	wɔsi
sweep	ka fura
sweet	bɔnbɔn
sweet dreams	sugo ɲumanw
sweetheart	dusukunni
sweet tooth	myɛ̀tɔya
swelling	funuli
swell	ka funun
swimming	nɔnni
swim	nɔn
swing	búmusò
switch	ka mɛnɛ
swollen	kununen
sword	npan
symbol	sɛnboli
sympathy	mɔgɔya
symptoms	bana taamasiyɛnw
system	sisitɛmu
table	tabali
tackle	ka ɲɛnabɔ
tag	ka nɔrɔ
tail	kukala
take away	a ta ka boyi
take care	i janto i yɛrɛ la
take	ka ta
taken	a talen
take off	ka bɔ
talkative	kumakɛlaba
talk	ka kuma
tall	jamajan
tape	worobinɛ
tap	worobinɛ
target	kun
task	baara
taste	ka nɛnɛ
tasty	timi
taught	kalan
teacher	karamɔgɔ
teach	ka kalan
team	ekipu
tear	ɲɛji
tears	ɲɛji
tease	ka dálabɔ
tea	te
technology	tɛkinolozi
teeth	ɲinw
tell	ka lakali
tell me	a fɔ ne ye
temperature	goniyahakɛ
temper	dimi
temple	Alabatosoba
temporary	waatininko
tenant	luwanse
tendency	cogo
tender	timi
tend	ka sama
tense	waati
tension	tansiyɔn
ten	tan
tentative	ka eseye
tent	finiso
ten thousand	ba tan
term	dan
terms	bɛnkanw
terrible	jugu
terrific	sariyanfɛn
territory	jamana
test	kɔrɔbɔli
text	masalabolo
thank	i ni ce
thanks	barika
Thanks for using our app	Aw ni ce aw ye taalikɛ ni anw ka aplikasɔn nin ye
thank you	a' ni cɛ
Thank you for your patience while we investigate shipment	i ni ce i ka makɔnɔli la, an bɛ ka sama ci
thank you so much	i ni ce kɔsɛbɛ
thank you very much	i ni ce kɔsɛbɛ
than	ni...
that is	nin don
that	o
that's good	o ka ɲi
the	e
theft	sonyali
their	u
theme	dakun
themselves	u yɛrɛ
them	u
then	o de kosɔn
theory	kɛ cogo
there are	bɛ ye
therefore	ola
there is	a bɛ yen
there	yen
these	ninnu
they are	u ye
they	olu
thick	fasaman
thief	nson
thigh	woro
thin	fasa
thing	fɛn
things	fɛnw
think	ka miiri
third	sabanan
thirsty	minɔgɔ
thirteen	tan ni saba
thirty	minnɔgɔ
this is	nin ye
this	nin
thorough	fɛsɛfɛsɛ
thoroughly	kɔsɛbɛ
those	minnu
though	nka
thoughtful	miiriya
thought	miiriya
thoughts	miirili
thousand	ba kelen
thread	gaari
threaten	ka lasiran
threat	lasiranli
three	saba
threshold	dantigɛ
thrilled	lasiralen
thrive	ka sabati
throat	gɔnɔ
through	fɛ
throughout	cɛ
throw	ka fili
thumb	bolokɔni kunba
thunder	sanpɛrɛnkan
Thursday	alamisa
thus	o de kosɔn
tick	ka yigi-yigi
tide	jikuru
tidy	ladonen
tie	ka siri
tiger	wara
tight	ncɔyin
Tigrinya	Tigrinya
time	waati
timid	maloya
tiny	dɔgɔmani
tip	laadilikan
tips	laadilikanw
tired	sɛgɛnnen
tire	sɛgɛn
tissue	fìnimugu
title	titiri
toast	ka tɔsi kɛ
to be	ka kɛ
today	bi
toddler	bilakoroniw
toes	senkɔni
to	fɛ
together	ɲɔgɔn fɛ
toilet	ɲɛgɛn
told	fɔla
tolerance	yafa
tolerate	ka yafa
tomato	tamati
tomorrow	sini
tongue	nɛ
tonight	su ni na
too	fana
took	a y'a ta
tool	minɛn
tools	minɛnw
tooth	ɲin
topic	dakun
top	san fɛ
torn	tunɔminen
torture	ka tɔɔrɔ
total	kasabi
touch	ka maga
tough	gɛlɛ
tour	turi
towards	kasin
toward	ye
towel	jɔsilan
town	duguba
toxic	baga
trace	ka nɔ bɔ
track	nɔ
trade	feere
traditional	laadalako
tradition	laada
traffic	sirikilasiyɔn
trail	kiri
training	degeli
train	tɛrɛn
traits	taamasiyɛn
trait	taamasiyɛn
transfer	ka ci
transition	furancɛfanga
translate	ka bayɛlɛma
transparent	jɛlen
transportation	táransipɔrɔ
transport	pase
trap	foolo
trash	ɲaman
trauma	jawili
travel	ka taama
tray	tiriwari
treasure	nafolo
treat	ka furakɛ
treatment	furakɛli
tree	yiri
tremendous	dákabana
trend	taabolo
trial	kiri
trick	ka lafili
tried	sɛgɛnlen
trigger	ka ci
trim	ka gana
trip	ka talon
trouble	kɔnɔnafilila
trousers	pantalɔn
truck	kamiyɔn
true	sɛbɛ
trunk	kɛsu
trust	dannaya
truth	tìɲɛ
try	ka kɔrɔbɔ
Tsonga	Tsonga
tube	tiyo
Tuesday	tarata
tuition	ladonli
turkey	kulokulo
turmeric	káliyakuru
turn	ka yɛlɛma
turtle	koorokaara
tutor	ladonbaga
twelve	tannifila
twenty	mugan
twenty-one	mugan ni kelen
twice	siɲɛ fila
twist	ka tunɔmi
Twi	Tuwi
two	fila
type	ka sɛbɛen masin na
typical	gansan
ugly	cɛjugu
ultimate	kɔ́dan
umbrella	sanjibɛnnan
unable	se tan
uncle	bɛnkɛ
unconscious	míiribali
under	jukɔrɔ
underneath	jukɔrɔ
underrated	sɔngojugu
understand	ka famuya
understood	famuyala
unfortunately	kunagoya
uniform	teni
unique	kelenpe
unit	inite
university	kalansoba
unknown	lakodonbali
unless	fɔ
until	fɔ
unusual	kɛrɛnkɛrɛnlen
update	ka lakuraya
upgrade	ka fisaya
upon	tigitigiya
up	sanfɛ
upset	diminen
up to you	n'i ko cogo min
urban	duguba
urge	ka laɲini
urgent	makogɛlen
us	an
used	kɔrɔlen
useful	nàfaman
use	k'a nafa bɔ a la
useless	kolon
usual	kɔrɔlen
usually	ka caaya
utility	nafa
vacation	kɔnze
vaccination	boloci
vaccine	fura
vacuum	lankolon
vague	kɔnɔdun
valid	a kaɲin
valley	kùlufurancɛ
valuable	nafaman
value	nafama
variety	suguya
various	wɛrɛ
vary	ka yɛlɛ ka jigi
vase	tinto
vast	ka bon
vegetable	nafɛn kɛnɛ
vegetables	yiridenw
vehicle	bolimafɛn
vendor	feerekɛla
venom	baga
venture	ka taga awantiri la
venue	yɔrɔ
verify	sɛgɛsɛgɛ
versatile	nafacaman
version	wɛrisiyɔn
vertical	jɔ̀len
very good	a kaɲi kɔsɛbɛ
very	kɔsɛbɛ
vessel	bato
via	fɛ
vibe	kunpan
vibes	yigiyigi
vicious	juguya
victim	kàsaaratɔ
video	wideyo
view	yeli
village	dugu
villain	cɛjugu
vinegar	winɛgiri
vintage	kɛnɛ
violence	tɔɲɔnli
violent	nijugu
viral	diɲɛ lamini
virgin	npogotigi
virtual	bɔlɔlɔ kan
virtue	kalite
vision	jiralifɛn
visit	ka taa bɔ
visual	ye ko
vital	ɲɛnama
vivid	yelenman
vocabulary	wokabilɛri
voice	kan
void	lankolon
volume	mankan
volunteer	wɔlɔntɛri
vomit	ka fɔnɔ
vulnerable	barikatan
wage	sara
wages	sara
waist	cɛkisɛ
waiter	ɲinikɛla
waiting	makɔnɔli
wait	ka kɔnɔ
wake	ka wuli
wake up	ka kunun
walking	tagama
walk	ka taama
wallet	bee
wall	kogo
wander	yaalayaala
wanna	bɛna
want	bɛ ... fɛ
wanted	laɲinilen
wardrobe	alimɔri
warehouse	màgasan
war	kɛlɛ
warm	wɔlɔkɔ
warning	lasɔmi
warn	ka lasɔmi
warrior	kɛlɛkɛcɛfarin
wash	ka ko
waste	ka tiɲɛ
was	tun
watch	mɔnturu
water	ji
watermelon	nsɛrɛ
wave	jikuru
way	cogo
weak	fɛgɛnman
weakness	fɛgɛnya
wealth	nafolo
wealthy	nafolotigiya
we	ani
we are	anw ye
wearing	donfini
wear	ka don
weather	waati
we can	an bɛ se
wedding	furusiri
Wednesday	araba
weed	bin
week	dɔgɔkun
weekend	dɔgɔkunlaban
weight	girinya
weird	balinanko
welcome	i danse
welfare	kɛnɛya
well done	a ɲɛna
Well	Kɔsɛbɛ
went	taara
were	a tun be
west	tilebin
wet	ɲigin
whale	balɛni
what about you	i yɛrɛ dun
what are you doing	i be ka mun kɛ
what are you doing now	i be ka mun kɛ sisan
what are you doing right now	i bɛ ka mun de kɛ sisan sisan
what do you do	e bɛ mun baara kɛ
what do you do for a living	e bɛ baara jumɛ de kɛ
what do you mean	i b'a fɛ ka mun de fɔ
what do you want	e bɛ mun fɛ
whatever	fɛn o fɛn
what happened	mun kɛra
what is	mun do
what is this	nin ye mun ye
what is your job	i bɛ mun baara kɛ
what is your name	i tɔgɔ ye di
what	mun
what's up	mun bɛ ye
what's your name	i tɔgɔ bɛ di
wheat	alikama
wheel	sen
whenever	kuma o kuma
when	waati
where are you from	i be bɔ dugu jumen na
where are you	i bɛ min
where are you now	i bɛ min sisan
whereas	ka sɔrɔ
where do you live	e sigi bɛ min
where is	a bɛ min
where	min
whether	ni
which	jumɛn
while	ka .... to....
whisper	ŋùnuŋunu
whistle	filenin
white	jɛman
who are you	e ye jɔn ye
who is	jɔn ye
who is this	nin ye jɔn ye
who	jon
whole	mumɛ
whom	min
whose	jɔn ta
why	munna
why not	munna ayi
wicked	mɔgɔjugu
wide	wagalen
widow	muso-cɛ-salen
width	jayan
wife	furumuso
wild	kungo
willing	sagoya
will	se
wind	fiɲɛ
window	finɛtiri
windy	fiɲɛma
wine	diwɛn
win	ka sɔ̀rɔ
winter	samiya
wipe	ka jɔsi
wire	filijuru
wisdom	hakilitigiya
wise	halilitigi
wish	sago
wish you all the best	ne ka duba i ye
witch	subaga
with	ani
withdrawal	labɔli
withdraw	bɔsili
within	cɛma
without	-bali
witness	seere
witty	hakilinako
wolf	lugaru
woman	muso
women	muso
wonderful	dusumgali
wonder	k'i yɛrɛ ɲininka
won	sɔrɔla
won't	tɛna
wood	yiri
wool	sagasi
word	daɲɛ
words	kumadenw
work	baara
working	baara
work out	ka labɛn
world	duniya
worm	ntumu
worn	ka kànkarimadá
worried	jɔrɔlen
worry	kɔnɔnafilila
worse	juguman
worship	batoli
worst	kolon
worth it	a bɛ a kun bɔ
worth	nafa
worthy	nafaman
would	bɛ
wound	joli
Wow	oow
wrap	ka meleke
wrath	dimi
wrist	bololanɛgɛ
Write here	a sɛbɛ yan
write	ka sɛbɛn
writing	sɛbɛnni
written	sɛbɛnnen
wrong	hakɛ
wrote	sɛbɛnna
yard	dukɛnɛ
yawn	haalo
Yeah	Awɔ
year	san
years	sanw
yeast	fununnan
yell	ka pɛrɛn
yellow	nɛrɛmuguman
Yes	Awɔ
yes baby	ɔwɔ bb
yes dear	ɔwɔ balima
yes honey	Awɔ n jarabi
yes my love	Awɔ n jarabi
yes of course	ɔwɔ kɛ
yesterday	kunu
yet	fɔlɔ
yield	nafa sɔrɔli
you are beautiful	i cɛ ka ɲi
you are	e ye
you are so beautiful	i cɛ ka ɲi
you are welcome	i ni ce
you can	i bɛ se
you	i
You know	i bɛ a dɔn
young	kamalen
your	aw ta
you’re welcome	i dancɛ
you're welcome	i ni ce
yourself	i yɛrɛ
your welcome	i ka bisimilayi
youth	denmisɛnya
you too	e fana
yummy	timiman
zero	fu
