ا	a
سمڤورنا	perfect
ملقساناكن	perform
ڤريستاسي	performance
موڠكين	perhaps
تيمڤوه	period
ككال	permanent
كبنرن	permission
ممبنركن	permit
كتاباهن	perseverance
برتروسن	persistent
اورڠ	person
ڤريبادي	personal
ڤرسوناليتي	personality
ڤنداڠن	perspective
ڤوجوق	persuade
ڤنچبول	pervert
حيوان ڤليهارأن	pet
فاسا	phase
فينومينا	phenomenon
فلسفه	philosophy
تيليفون	phone
فوتو	photo
فراس	phrase
فيزيكل	physical
ڤيليه	pick
منداڤتكن	pick up
مڠوتيڤ	pick up
ڬمبر	picture
بهاڬين	piece
كڤيڠن	pieces
بابي	pig
مرڤاتي	pigeon
لوڠڬوكن	pile
بنتل	pillow
جوروتربڠ	pilot
ڤين	pin
نناس	pineapple
ميره جمبو	pink
لوبڠ	pit
ليمڤر	pitch
كاسيهن	pity
تمڤت	place
تمڤت	places
وابق	plague
كوسوڠ	plain
ڤرانچڠن	plan
كاڤل تربڠ	plane
ساته	plane
ڤوكوق	plant
تومبوهن	plants
ڤيڠڬن	plate
ڤلاتفورم	platform
برماءين	play
برماءين	playing
مڽنڠكن	pleasant
تولوڠ	please
سنڠ	pleased
نعمت	pleasure
براقرار	pledge
باڽق	plenty
ڤلوت	plot
ڤالم	plug
بواه ڤلوم	plum
توكڠ ڤأيڤ	plumber
مجموع	plural
ڤودچست	podcast
شعير	poem
شعير	poetry
تونجوق	point
راچون	poison
ڤوليس	police
ڤوليسي	policy
سوڤن	polite
ڤينچيماران	pollution
كولم	pond
كولم	pool
تاهي	poop
ميسكين	poor
تيمبول	pop
تركنل	popular
ڤوڤولسي	population
داڬيڠ بابي	pork
بوبور	porridge
ڤلابوهن	port
كدودوكن	position
ڤوسيتيف	positive
مميليقي	possess
حق ميليق	possession
ڤوسيسيف	possessive
موڠكين	possible
هانتر	post
توندا	postpone
اوبي كنتڠ	potato
ڤوتينسي	potential
ڤاون	pound
كميسكينن	poverty
كواس	power
بركواس	powerful
ڤركتيكل	practical
برلاتيه	practice
ڤوجي	praise
ڬوراوان	prank
دعا	pray
برنيلاي	precious
تڤت	precise
دڠن تڤت	precisely
منجڠككن	predict
مميليه	prefer
ڤيليهن	preference
مڠاندوڠ	pregnant
ڤريجوديس	prejudice
ڤريميس	premises
ڤريميوم	premium
ڤرسياڤن	preparation
برسديا	prepare
دسدياكن	prepared
ڤريڤوسيسي	preposition
كحاضيرن	presence
سكارڠ	present
حاضر	present
ڤمبنتڠن	presentation
منجاڬ	preserve
ڤريسيدن	president
تكان	press
تكنن	pressure
برڤورا٢	pretend
چنتيق	pretty
هالڠ	prevent
يڠ لڤس	previous
مڠسا	prey
هرڬ	price
مرواه	pride
ڤندتا	priest
اوتاما	primary
ڤردان	prime
ڤوتري	princess
مودال	principal
ڤڠتوا	principal
سبلوم	prior
كاوتامأن	priority
ڤنجارا	prison
ڤريۏاسي	privacy
ڤرسنديرين	private
كايستيميوأن	privilege
هديه	prize
موڠكين	probably
مسئله	problem
ڤروسيدور	procedure
تروسكن	proceed
ڤروسيس	process
مڠحسيلكن	produce
ڤرودوق	product
ڤڠلوارن	production
ڤروفيسيون	profession
ڤروفيسيونل	professional
ڤروفيل	profile
اونتوڠ	profit
مندالم	profound
ڤركمبڠن	progress
ڤروجيك	project
ڤنتيڠ	prominent
جنجي	promise
ممڤروموسيكن	promote
كناءيقن ڤڠكت	promotion
سديا	prompt
تردده	prone
كات ڬنتي نام	pronouns
سبوتن	pronunciation
بوقتي	proof
سسواي	proper
دڠن بتول	properly
صفة٢	properties
هرتانه	property
چادڠن	proposal
ڤروسڤيك	prospect
كميواهن	prosperity
معمور	prosperous
ليندوڠ	protect
بڠڬ	proud
بوقتي	prove
مڽدياكن	provide
دسدياكن	provided
ولايه	province
ڤرونتوكن	provision
عاقل بالغ	puberty
اورڠ عوام	public
تاريق	pull
لابو	pumpkin
منڤتي ماس	punctual
موريد	pupil
ڤمبلين	purchase
سوچي	pure
اوڠو	purple
متلامت	purpose
دومڤيت	purse
مڠجر	pursue
مڠجر	pursuit
تكان	push
تولق	push
لتق	put
كلاياكن	qualification
كواليتي	quality
كوانتيتي	quantity
كوارنتين	quarantine
ڤرتيڠكرن	quarrel
سوكو	quarter
قويچوا	Quechua
ڤرماءيسوري	queen
ڤليق	queer
ڤرتاڽان	query
سؤالن	question
براتور	queue
چڤت	quick
دڠن چڤت	quickly
سڽڤ	quiet
سليموت	quilt
برهنتي	quit
بنر-بنر	quite
اڬق	quite
كويز	quiz
سبوت هرڬ	quotation
ڤتيكن	quote
ڤتيكن	quotes
ارنب	rabbit
لومبا	race
بڠسا	race
كمارهن	rage
هوجن	rain
ناءيقكن	raise
دينااقكن	raised
برلاري	ran
راواق	random
جولت	range
ڤانتس	rapid
دڠن ڤانتس	rapidly
لڠكا	rare
جارڠ	rare
جارڠ٢	rarely
روام	rash
تيكوس	rat
قدر	rate
لبيه باءيق	rather
نسبه	ratio
راسيونل	rational
منته	raw
سمولا	re
سمڤأي	reach
سمڤأي	reached
تيندق بالس	reaction
باچ	read
ممباچ	reading
برسديا	ready
ڽات	real
رياليتي	reality
سدر	realize
دسدري	realized
بنر	really
بلاكڠ	rear
السن	reason
مناسبه	reasonable
ايڠت باليق	recall
رسيت	receipt
تريما	receive
تريما	received
بارو٢ اين	recent
بارو٢ اين	recently
سمبوتن	reception
ريسيڤي	recipe
چواي	reckless
ڤڠيعترافن	recognition
مڠنالي	recognize
مڠشوركن	recommend
ديثيوركن	recommended
راكم	record
ڤوليه	recover
ڤموليهن	recovery
سڬي امڤت تڤت	rectangle
ميره	red
تبوس	redeem
ڤنبوسان	redemption
كورڠكن	reduce
برلبيهن	redundant
روجع	refer
رجوكن	reference
مرنوڠ	reflect
ريفليكسي	reflection
مناهن ديري	refrain
ڤتي ايس	refrigerator
ڤولڠن سمولا	refund
اڠڬن	refuse
منولق	refused
اڠڬڤ	regard
بركنأن	regarding
تيدق كيرا	regardless
كيريم سلام	regards
كاوسن	region
دفتر	register
مڽسل	regret
بياسا	regular
كرڤ	regularly
منولق	reject
كايتكن	relate
بركاءيتن	related
هوبوڠن	relationship
ساودارا مارا	relative
ساودارا مارا	relatives
بريحت	relax
لڤسكن	release
دلڤسكن	released
بركاءيتن	relevant
بوليه دڤرچايأي	reliable
بنتوان	relief
ملڬاكن	relieve
لڬا	relieved
اڬام	religion
براڬام	religious
كبرتن	reluctant
برڬنتوڠ	rely
برباكي	remain
يڠ تيڠڬل	remaining
لوار بياسا	remarkable
ڤناور	remedy
ايڠت	remember
ممڤرايڠتكن	remind
ڤريڠاتن	reminder
الت كاولن جاوه	remote
ترڤنچيل	remote
بواڠ	remove
ريندر	render
سيوا	rent
باءيقي	repair
اولڠ	repeat
ڬنتي	replace
بالس	reply
لاڤورن	report
مواكيلي	represent
ريڤوتاسي	reputation
ڤرمينتأن	request
ممرلوكن	require
دڤرلوكن	required
مڽلامتكن	rescue
كاجين	research
مڽروڤأي	resemble
راس دندم	resentment
تمڤهن	reservation
سيمڤنن	reserve
ڤندودوق	resident
لتق جاوتن	resign
داي تاهن	resilience
برداي تاهن	resilient
ملاوان	resist
رينتاڠن	resistance
ريسولوسي	resolution
عزم	resolve
تمڤت ڤراڠينن	resort
سومبر	resources
حرمت	respect
تيندق بالس	respond
معلوم بالس	response
تڠڬوڠجواب	responsibility
برتڠڬڠجواب	responsible
ريحت	rest
بريحت دڠن تنڠ	rest in peace
ريستورن	restaurant
مموليهكن	restore
مڽكت	restrict
كڤوتوسن	result
كڤوتوسن	results
سمبوڠ	resume
رونچيت	retail
ممڤرتاهنكن	retain
ڤڠكلن	retention
برسارا	retired
بروندور	retreat
منداڤتكن سمولا	retrieve
ڤولڠ	return
مڠيشتهاركن	reveal
دددهكن	revealed
ممبالس دندم	revenge
ڤولڠن	revenue
ترباليق	reverse
اولسن	review
مڽمق سمولا	revise
اولڠ كاجي	revision
ريۏولوسي	revolution
ڬنجرن	reward
ايرام	rhythm
روسوق	rib
ناسي	rice
كاي	rich
مڽيڠكيركن	rid
توڠڬڠ	ride
مرڤك	ridiculous
بتول	right
كانن	right
سكارڠ	right now
تڬر	rigid
چينچين	ring
بيلس	rinse
روسوهن	riot
چاريق	rip
رانوم	ripe
ناءيق	rise
ريسيكو	risk
ساءيڠن	rival
سوڠاي	river
جالن	road
ڤڠڬڠ	roast
منتڤ	robust
باتو	rock
باتڠ	rod
توڬس	role
ڬولوڠ	roll
اتڤ	roof
بيليق	room
اكر	root
تالي	rope
بوسوق	rotten
كاسر	rough
سچارا كاسرڽ	roughly
بولت	round
لالوان	route
روتين	routine
باريسن	row
ڬوسوق	rub
ڬيته	rubber
سمڤه	rubbish
بيادڤ	rude
كرڤيت	rug
مروسقكن	ruin
ڤراتورن	rule
ڤمباريس	ruler
ڤراتورن	rules
لاري	run
برلاري	running
لوار بندر	rural
ترڬسا٢	rush
ڬوني	sack
سوچي	sacred
ڤڠوربنن	sacrifice
سلامت	safe
ڤنربڠن سلامت	safe flight
كسلامتن	safety
بيجق ڤنداي	sage
تله بركات	said
بلاير	sail
بلاير	sailing
دمي	sake
ڬاجي	salary
جوالن	sale
ايكن سلمون	salmon
ڬارام	salt
سام	same
سام دسيني	Same here
سمڤل	sample
ڤاسير	sand
سنسكريت	Sanskrit
سركستيق	sarcastic
لنچڠ	sassy
دودوق	sat
كڤواسن	satisfaction
ممواسكن	satisfied
ممواسكن	satisfy
ممواسكن	satisfying
سبتو	Saturday
سوسيج	sausage
كجم	savage
ڬانس	savage
سيمڤن	save
تله ليهت	saw
كات	say
سكالا	scale
ڤنيڤوان	scam
ڤراوت	scar
ترحد	scarce
تاكوت	scared
سليندڠ	scarf
مناكوتكن	scary
برتابورن	scattered
اديڬن	scene
ڤمنداڠن	scenery
هارومن	scent
جدوال	schedule
سكوله	school
ساءينس	science
اهلي ساءينس	scientist
اهلي ساءين س	scientists
ڬونتيڠ	scissors
ممارهي	scold
سكوڤ	scope
سكور	score
لوسوه	scrap
چاكر	scratch
منجريت	scream
سكرين	screen
سكرو	screw
سكريڤ	script
لاوت	sea
توتوڤ	seal
چارين	search
موسيم	season
تمڤت دودوق	seat
كدوا	second
رهسيا	secret
سيكشن	section
سلامت	secure
كسلامتن	security
ليهت	see
جومڤا لاڬي	see you
جومڤا لاڬي	see you later
جومڤا لاڬي	see you soon
جومڤا كامو ايسوق	see you tomorrow
بنيه	seed
منچاري	seek
كليهاتن	seem
نمڤقڽ	seems
دليهت	seen
رامڤاس	seize
ڤنڽيتأن	seizure
كادڠ٢	seldom
ڤيليه	select
ديري سنديري	self
ڤڽمبوهن ديري سنديري	self healing
ڤنتيڠكن ديري سنديري	selfish
جوال	sell
هانتر	send
هانتركن ڬمبر اوق كڤد ساي	send me your picture
سنياور	senior
دريا	sense
ماسوق عقل	sensible
سينسيتيۏي	sensitive
تله هانتر	sent
حكومن	sentence
ايات	sentence
ايات	sentences
برڤيسه	separate
سيڤدي	Sepedi
سيڤتيمبر	september
توروتن	sequence
سيري	series
سريوس	serious
بنر٢	seriously
هيدڠ	serve
ڤرخدمتن	service
سيسي	session
بوات	set
مڽدياكن	set up
تتڤن	setting
سلساي	settle
توجوه	seven
توجوه بلس	seventeen
توجوه ڤولوه	seventy
ببراڤ	several
تروق	severe
منجاهيت	sew
تدوه	shade
بايڠ	shadow
ڬونچڠ	shake
ڤرلو	shall
چيتيق	shallow
ممالوكن	shame
بنتوق	shape
كوڠسي	share
تاجم	sharp
دي	she
دي ممڤوڽاءي	she has
دي اداله	she is
بڠسل	shed
بيري٢	sheep
هلايان	sheet
رق	shelf
چڠكراڠ	shell
تمڤت برليندوڠ	shelter
ڤريساءي	shield
مڠوبه	shift
برسينر	shine
كاڤل	ship
ڤڠهنترن	shipping
كميجا	shirt
كاسوت٢	shoes
تيمبق	shoot
كداي	shop
ممبلي بله	shopping
ڤسيسير ڤنتاي	shore
ڤينديق	short
ككوراڠن	shortage
تيمبكن	shot
ڤاتوت	should
باهو	shoulder
جريت	shout
تونجوق	show
تونجوقكن كڤد ساي	show me
مندي	shower
أودڠ	shrimp
مڠچوت	shrink
توتوڤ	shut
ديام	shut up
مالو	shy
اديق براديق	sibling
اديق براديق	siblings
ساكيت	sick
سيسي	side
مڠلوه	sigh
ڤڠليهتن	sight
برسيار٢	sightseeing
تندا	sign
تنداتاڠن	signature
ڤنتيڠ	significant
سڽڤ	silence
سڽڤ	silent
سوترا	silk
مڠاروت	silly
ڤراق	silver
سام	similar
ڤق ڤندير	simp
ريڠكس	simple
سرنتق	simultaneously
سجق	since
إخلاص	sincere
إخلاص	sincerely
ڽاڽي	sing
ڤڽاڽي	singer
بوجڠ	single
توڠڬل	single
تڠڬلم	sink
انچئ	Sir
اديق ڤرمڤوان	sister
كاكق	sister
كاكق ايڤر	sister in law
دودوق	sit
تاڤق	site
سيتواسي	situation
انم	six
انم بلس	sixteen
انم ڤولوه	sixty
ساءيز	size
سكيل	skill
سكيل	skills
كوليت	skin
كوروس	skinny
لڠكاو	skip
سكرت	skirt
لاڠيت	sky
همبا	slave
تيدور	sleep
سداڠ تيدور	sleeping
مڠنتوق	sleepy
لڠن باجو	sleeve
هيريسن	slice
لونچور	slide
همڤير٢	slightly
كوروس	slim
ترڬلينچير	slip
چرون	slope
سلوت	slot
لمبت	slow
ڤرلاهن٢	slowly
كچيل	small
بيجق	smart
با‍و	smell
سڽوم	smile
اسڤ	smoke
لمبوت	smooth
ماكنن ريڠن	snack
سيڤوت	snail
اولر	snake
سنتڤ	snap
ثلجي	snow
جادي	so
سوڤاي	so
ساڠت چوميل	so cute
ساڠت جاوه	so far
رندام	soak
سابون	soap
سوده سدر	sober
بولا سيڤق	soccer
سوسيال	social
مشاركت	society
ستوكين	socks
لمبوت	soft
ڤرايسين	software
تانه	soil
دجوال	sold
هابيس دجوال	sold out
عسكر	soldier
توڠڬل	sole
ڤجال	solid
جالن ڤڽلساين	solution
سلساي	solve
ببراڤ	some
سساورڠ	somebody
انته باڬايمانا	somehow
سساورڠ	someone
سسواتو	something
كادڠ٢	sometimes
لاڬو	song
اكن داتڠ	soon
چڠڬيه	sophisticated
سورني	Sorani
مرادڠ	sore
ساكيت تكاق	sore throat
كسدهن	sorrow
معاف	Sorry
مڠيسيه	sort
منچاري	sought
روح	soul
ڤاسڠن هيدوڤ	soulmate
بوڽي	sound
سوڤ	soup
ماسم	sour
سومبر	source
سلتن	south
رواڠ	space
سڤم	spam
رنتڠ	span
بهاس سيڤڽول	Spanish
مڽراهكن	spare
برچكڤ	speak
ايستيميوا	special
سيڤسيس	species
ترتنتو	specific
هيبت	spectacular
اوچاڤن	speech
تق تركات	speechless
كلاجوان	speed
ايجا	spell
بلنجا	spend
دبلنجاكن	spent
ڤدس	spicy
ڤنچاڠ	spike
ڤوسيڠ	spin
بايم	spinach
سماڠت	spirit
ملوده	spit
اينده	splendid
ڤيسه	split
روسق	spoil
منجا	spoiled
سچارا سڤونتن	spontaneous
سودو	spoon
تمڤت	spot
ڤاسڠن	spouse
سبار	spread
مات اير	spring
موسيم بوڠا	spring
سڬي امڤت سام	square
ممره	squeeze
سوتوڠ	squid
توڤاي	squirrel
جالن	st
سوچي	st
تيكام	stab
ستابيل	stable
تيمبونان	stack
كاكيتاڠن	staff
ڤريڠكت	stage
ڤنتس	stage
كوتورن	stain
تڠڬ	stairs
ڤنچاڠ	stake
تڠكاي	stalk
ڬراي	stall
ستيم	stamp
برديري	stand
ڤياواين	standard
بينتڠ	star
مولا	start
برمولا	started
كلاڤرن	starving
كادأن	state
نڬري	state
كڽاتأن	statement
ستيسين	station
ڤاتوڠ	statue
ستاتوس	status
تيڠڬل	stay
ككال سلامت	stay safe
تڬوه	steady
ستيق	steak
چوري	steal
كوكوس	steam
كلولي	steel
چورم	steep
باتڠ	stem
لڠكه	step
باتڠ	stick
كاكو	stiff
ماسيه	still
تتڤ	still
مڽڠت	sting
كدكوت	stingy
كاچاو	stir
ستوق	stock
دچوري	stolen
ڤروت	stomach
باتو	stone
برديري	stood
نجيس	stool
برهنتي	stop
ڤنڽيمڤنن	storage
ستور	store
كداي	store
ريبوت	storm
چريتا	story
داڤور	stove
لوروس	straight
تروس ترڠ	straightforward
مناڤيس	strain
ڤليق	strange
اورڠ اسيڠ	stranger
ستراتيڬي	strategy
ستراو	straw
ستراوبري	strawberry
چوريتن	streak
اليرن	stream
جالن	street
كقواتن	strength
ترتكان	stress
ستريسس	stress
مرڬڠكن	stretch
تڬس	strict
ڤوكول	strike
بنڠ	string
جالور	strip
بروسها	strive
ستروق	stroke
ڤوكولن	stroke
كوات	strong
ملندا	struck
ستروكتور	structure
ڤرجواڠن	struggle
برڬلوت	struggling
دڬيل	stubborn
ترسڠكوت	stuck
ڤلاجر	student
بلاجر	study
بلاجر	studying
بارڠ	stuff
مڠيسي	stuff
مناقجوبكن	stunning
بودوه	stupid
ڬاي	style
سوبجيك	subject
ڤڽرهن	submission
هانتر	submit
باهن	substance
ڤڠڬنتي	substitute
ليچيك	subtle
هالوس	subtle
برجاي	succeed
كجايأن	success
برجاي	successful
سدميكيان	such
سڤرتي	such as
مڠهيسڤ	suck
مڠجوت	sudden
تيبا٢	suddenly
مران	suffer
ڤندريتاان	suffering
چوكوڤ	sufficient
ڬولا	sugar
چادڠ	suggest
چادڠن	suggestion
سسواي	suit
سسواي	suitable
بيڬ ڤاكاين	suitcase
جومله	sum
ريڠكسن	summary
موسيم ڤانس	summer
سيدڠ كمونچق	summit
ماتهاري	sun
احد	sunday
چره	sunny
ماتهاري تربنم	sunset
چهاي ماتهاري	sunshine
ساڠت هيبت	super
اتسن	superior
ڤڽليا	supervisor
ماكن مالم	supper
بكلن	supply
سوكوڠ	support
انداين	suppose
سڤاتوتڽ	supposed
ڤستي	sure
يقين	sure
ڤرموكأن	surface
ملندا	surge
ڤمبدهن	surgery
نام كلوارڬ	surname
كجوتن	surprise
تركجوت	surprised
سراه ديري	surrender
سكليليڠ	surrounding
ڤڠاواسن	surveillance
منينجاو	survey
ترسلامت	survive
سوسڤك	suspect
دڬنتوڠ	suspended
چوريڬ	suspicious
مڠكلكن	sustain
كلستارين	sustainability
ليستاري	sustainable
تلن	swallow
برتوكر٢	swap
برسومڤه	swear
ڤلوه	sweat
باجو سجوق	sweater
مڽاڤو	sweep
مانيس	sweet
ميمڤي اينده	sweet dreams
ڬيڬي مانيس	sweet tooth
ككاسيه هاتي	sweetheart
ممبڠكق	swell
بڠكق	swelling
بيرينڠ	swim
بيرينڠ	swimming
ايونن	swing
سوايس	switch
توكر	switch
بڠكق	swollen
ڤدڠ	sword
سيمبول	symbol
سيمڤاتي	sympathy
ڬجالا	symptoms
سيستم	system
ميجا	table
مڠاتسي	tackle
تاڬ	tag
ايكور	tail
امبيل	take
باوا ڤولڠ	take away
جاڬ	take care
برلڤس	take off
دأمبيل	taken
برچاكڤ	talk
باڽق چاكڤ	talkative
ڤنجڠ	tall
سنتوه	tap
ڤيت	tape
ساسرن	target
توڬسن	task
راس	taste
سداڤ	tasty
تله اجر	taught
تيه	tea
اجر	teach
ڬورو	teacher
چيئڬو	teacher
كومڤولن	team
اير مات	tear
اير مات	tears
مڠوسيك	tease
تيكنولوڬي	technology
ڬيڬي	teeth
بريتاهو	tell
بريتاهو ساي	tell me
ڤراڠاي	temper
سوهو	temperature
كويل	temple
سمنتارا	temporary
سڤولوه	ten
سڤولوه ريبو	ten thousand
ڤڽوا	tenant
چندروڠ	tend
كچندروڠن	tendency
امڤوك	tender
تڬڠ	tense
كتڬڠن	tension
خايماه	tent
تنتاتيف	tentative
شرط	term
شرط	terms
تروق	terrible
هيبت	terrific
ولايه	territory
اوجين	test
تيكس	text
بربنديڠ	than
تريما كاسيه	thank
تريما كاسيه	thank you
تريما كاسيه اتس كصبرن اندا سمنتارا كامي مڽياسات كيريمن	Thank you for your patience while we investigate shipment
تريما كاسيه باڽق٢	thank you so much
تريما كاسيه باڽق	thank you very much
تريما كاسيه	thanks
تريما كاسيه كران مڠڬوناكن اڤليكسي كامي	Thanks for using our app
يڠ	that
ايت	that
ايت اداله	that is
ايت باڬوس	that's good
يڠ	the
ايت	the
كچورين	theft
مريك	their
مريك	them
تيما	theme
ديري مريك سنديري	themselves
كمودين	then
سلڤس ايت	then
اوليه سبب يڠ دمكين	then
تيوري	theory
سان	there
دسانا اد	there are
د سان اد	there is
اوليه ايت	therefore
اين	these
مريك	they
مريك اداله	they are
تبل	thick
ڤنچوري	thief
ڤها	thigh
نيڤيس	thin
بندا	thing
ڤركارا	things
فيكير	think
كتيڬ	third
داهڬ	thirsty
تيڬ بلس	thirteen
تيڬ ڤولوه	thirty
اين	this
اين اداله	this is
تليتي	thorough
سچارا مڽلوروه	thoroughly
ايت	those
والاوڤون	though
فيكيرن	thought
برتيمبڠ راس	thoughtful
فيكيرن	thoughts
ريبو	thousand
بنڠ	thread
انچمن	threat
مڠنچم	threaten
تيڬ	three
حد	threshold
ساڠت تروجا	thrilled
بربياق	thrive
تكاق	throat
ملالوءي	through
سڤنجڠ	throughout
ليمڤر	throw
ايبو جاري	thumb
ڬوروه	thunder
خاميس	Thursday
دڠن ايت	thus
تنداكن	tick
اير ڤاسڠ	tide
كمس	tidy
ايكت	tie
هريماو	tiger
كتات	tight
تيڬريڽ	Tigrinya
ماس	time
ڤمالو	timid
كچيل	tiny
هوجوڠ	tip
ڤتوا	tip
ڤتوا	tips
تاير	tire
ڤنت	tired
تيسو	tissue
تاجوق	title
اونتوق	to
اكن منجادي	to be
روتي بكر	toast
هاري اين	today
كانق٢ كچيل	toddler
جاري كاكي	toes
برسام	together
تاندس	toilet
ممبريتاهو	told
توليرنسي	tolerance
برتولق انسور	tolerate
توماتو	tomato
ايسوق	tomorrow
ليده	tongue
مالم اين	tonight
جوڬ	too
امبيل	took
الت	tool
التن	tools
ڬيڬي	tooth
اتس	top
توڤيق	topic
كويق	torn
ڤڽك سءن	torture
جومله	total
سنتوه	touch
كوات	tough
كوكوه	tough
لاوتن	tour
ك اره	toward
ك اره	towards
توالا	towel
ڤكن	town
توكسيك	toxic
جيجق	trace
لندسن	track
جيجق	track
ڤرداڬڠن	trade
تراديسي	tradition
تراديسيونل	traditional
ترافيق	traffic
جيجق	trail
كريتا اڤي	train
لاتيهن	training
چيري	trait
چيري٢	traits
ڤينده	transfer
ڤراليهن	transition
منترجمه	translate
لوتسينر	transparent
ڤڠڠكوتن	transport
ڤڠڠكوتن	transportation
ڤراڠكڤ	trap
سمڤه	trash
تراوما	trauma
مڠمبارا	travel
دولڠ	tray
خزانه	treasure
لاين	treat
بلنجا	treat
راوتن	treatment
ڤوكوق	tree
لوار بياسا	tremendous
ترند	trend
اوجين	trial
تيڤو حيله	trick
تله منچوبا	tried
ڤيچو	trigger
منچتوسكن	trigger
ممڠكس	trim
ڤرجالنن	trip
مسئله	trouble
سلوار	trousers
ترك	truck
بنر	true
باتڠ	trunk
ڤرچاي	trust
كبنرن	truth
چوبا	try
ثونڬا	Tsonga
تيوب	tube
سلاس	Tuesday
تويشن	tuition
ايم بلندا	turkey
كوڽيت	turmeric
ڬيليرن	turn
ڤڽو	turtle
ڤمبيمبيڠ	tutor
دوا بلس	twelve
دوا ڤولوه	twenty
دوا ڤولوه ساتو	twenty-one
توي	Twi
دوا كالي	twice
برڤوسيڠ	twist
دوا	two
جنيس	type
تيڤيكل	typical
هودوه	ugly
معتمد	ultimate
ڤايوڠ	umbrella
تق ممڤو	unable
ڤق چئ	uncle
تق سدر ديري	unconscious
باوه	under
د باوه	underneath
دڤندڠ رنده	underrated
فهم	understand
فهم	understood
مالڠڽ	unfortunately
سراڬم	uniform
اونيك	unique
اونيت	unit
اونيۏرسيتي	university
تيدق دكتاهوي	unknown
ملاءينكن	unless
سهيڠڬ	until
لوار كبياساان	unusual
اتس	up
ترڤولڠ كڤد اندا	up to you
كمس كيني	update
ناءيق تارف	upgrade
د كڤد	upon
سديه	upset
بندر	urban
مڠڬسا	urge
سڬرا	urgent
كامي	us
ڬونا	use
دڬوناكن	used
برڬونا	useful
تيدق برڬونا	useless
بياسا	usual
بياساڽ	usually
اوتيليتي	utility
ڤرچوتين	vacation
ۏكسيناسي	vaccination
ۏكسين	vaccine
ۏاكوم	vacuum
كلام كابور	vague
سه	valid
لمبه	valley
برنيلاي	valuable
نيلاي	value
ڤلباڬاي	variety
ڤلباڬاي	various
بربيذا٢	vary
ڤاسو	vase
لواس	vast
سايور	vegetable
سايور سايورن	vegetables
كندرأن	vehicle
ۏيندور	vendor
راچون	venom
اوسها نياڬ	venture
تمڤت	venue
مڠسهكن	verify
سربا بوليه	versatile
ۏرسي	version
منڬق	vertical
ساڠت	very
ساڠت باڬوس	very good
كاڤل	vessel
ملالوءي	via
ڬيترن	vibe
ڬيترن	vibes
ڬانس	vicious
مڠسا	victim
ۏيدياو	video
ڤمنداڠن	view
كامڤوڠ	village
ڤنجاهت	villain
چوكا	vinegar
ۏينتاج	vintage
كڬانسان	violence
ڬانس	violent
تولر	viral
انق دارا	virgin
ماي	virtual
كباجيكن	virtue
ڤڠليهتن	vision
لاوت	visit
ۏيسوال	visual
ڤنتيڠ	vital
ترڠ	vivid
كوس كات	vocabulary
سوارا	voice
ممبطلكن	void
ايسي ڤادو	volume
سوكاريلاون	volunteer
مونته	vomit
تردده	vulnerable
اوڤه	wage
اوڤه	wages
ڤيڠڬڠ	waist
توڠڬو	wait
ڤلاين	waiter
سداڠ منوڠڬو	waiting
باڠون	wake
باڠون	wake up
جالن	walk
برجالن	walking
دينديڠ	wall
دومڤيت	wallet
مراياو	wander
نق	wanna
ماهو	want
دكهندقي	wanted
ڤراڠ	war
الماري	wardrobe
ڬودڠ	warehouse
سوام	warm
هاڠت	warm
ممبري امران	warn
امران	warning
ڤهلاون	warrior
تله	was
باسوه	wash
سيسا	waste
جاڬ	watch
ليهت	watch
اير	water
بواه تمبيكاي	watermelon
ڬلومبڠ	wave
جالن	way
كامي	we
كامي اداله	we are
كيت بوليه	we can
لمه	weak
كلمهن	weakness
هرتا	wealth
كاي راي	wealthy
ڤاكاي	wear
مماكاي	wearing
چواچ	weather
مجليس كهوين	wedding
رابو	Wednesday
رومڤأي	weed
ميڠڬو	week
هوجوڠ ميڠڬو	weekend
برت	weight
ڤليق	weird
سام-سام	welcome
سلامت داتيڠ	welcome
كباجيكن	welfare
باءيق	Well
تهنيئه	well done
تله ڤرڬي	went
تله	were
بارت	west
باسه	wet
ايكن ڤاوس	whale
اڤكه	what
باڬايمانا دڠن كامو	what about you
اوق سداڠ بوات اڤ	what are you doing
اڤ يڠ اوق بوات سكارڠ	what are you doing now
اڤ يڠ اوق بوات سكارڠ	what are you doing right now
اڤ ڤكرجأن اوق	what do you do
اوق كرجا اڤ	what do you do for a living
اڤ يڠ اوق مقصودكن	what do you mean
اڤ يڠ كامو ماهو	what do you want
اڤ يڠ برلاكو	what happened
اڤاكه يڠ	what is
اڤاكه اين	what is this
اڤاكه ڤكرجأن اندا	what is your job
اڤ نام اوق	what is your name
اڤ خبر	what's up
سياڤا نام اوق	what's your name
سبارڠ	whatever
ڬندوم	wheat
رود	wheel
بيلا	when
بيلا٢	whenever
د مان	where
اوق د مان	where are you
اوق دري مان	where are you from
اوق د مان سكارڠ	where are you now
دمانكه اوق تيڠڬل	where do you live
د مانكه	where is
مانكالا	whereas
سام اد	whether
يڠ	which
يڠ مان	which
سمنتارا	while
بربيسيق	whisper
ويسيل	whistle
ڤوتيه	white
سياڤا	who
اوق سياڤا	who are you
سياڤاكه	who is
سياڤا اين	who is this
كسلوروهن	whole
سياڤا	whom
يڠ مان	whose
كناڤ	why
كناڤ تيدق	why not
جاهت	wicked
لواس	wide
جندا	widow
ليبر	width
استري	wife
ليار	wild
