एको	a
स्थल	venue
चंचल	versatile
संस्करण	version
खड़ा	vertical
बहुत	very
बरतन	vessel
अनुभूति	vibe
अनुभूति	vibes
बुरा	vicious
पीड़ित	victim
भिडियो	video
देखू	view
गाम	village
खलनायक	villain
सिरका	vinegar
हिंसा	violence
उग्र	violent
वायरल	viral
कुमारि	virgin
आभासी	virtual
सद्गुण	virtue
दृष्टि	vision
भेंट	visit
दृश्य	visual
महत्वपूर्ण	vital
जीवंत	vivid
शब्दावली	vocabulary
आबाज	voice
सुन्ना	void
मात्रा	volume
स्वयंसेवी	volunteer
उलटी	vomit
बेतन	wage
वेतन	wages
डांड	waist
रुकू	wait
वेटर	waiter
उठलक	wake
जागू	wake up
टहलू	walk
घूमनाइ	walking
देवाल	wall
बटुआ	wallet
घुमनाइ	wander
चाह	want
आवश्यकता	wanted
युद्ध	war
अलमारी	wardrobe
गोदाम	warehouse
गर्म	warm
चेतावनी	warn
चेतावनी	warning
योद्धा	warrior
धोनाइ	wash
अपशिष्ट	waste
देखू	watch
जल	water
तरबूज	watermelon
लहर	wave
रास्ता	way
कमजोर	weak
कमजोरी	weakness
संपत्ति	wealth
धनी	wealthy
पहिरू	wear
मौसम	weather
विवाह	wedding
बुधदिन	Wednesday
भांग	weed
सप्ताह	week
सप्ताहान्त	weekend
वजन	weight
विचित्र	weird
स्वागत	welcome
कल्यान	welfare
ठीक	Well
गेल	went
पश्चिम	west
भीजल	wet
की	what
गहूम	wheat
पहिया	wheel
जखन	when
जखनहुं	whenever
कतय	where
चाहे	whether
जकर	which
फुसफुसानाइ	whisper
सीटी	whistle
उजर	white
के	who
समग्र	whole
जकर	whom
केकर	whose
किएक	why
खराब	wicked
चौड़ा	wide
विधवा	widow
चौड़ाई	width
पत्नी	wife
जंगली	wild
करब	will
इच्छा	willing
जीतनाइ	win
हवा	wind
खिड़की	window
हवादार	windy
जाड़	winter
पोंछ	wipe
तार	wire
बुद्धिमत्ता	wisdom
ज्ञानी	wise
इच्छा	wish
चुड़ैल	witch
संग	with
निकालनाइ	withdrawal
गवाह	witness
विलक्षण	witty
भेड़िया	wolf
मउगी	woman
माउगी	women
आश्चर्य	wonder
आश्चर्यजनक	wonderful
लकड़ी	wood
ऊन	wool
शब्द	word
काज	work
व्यायाम	work out
दुनिया	world
कीड़ा	worm
थकल	worn
चिन्ता	worry
खराब	worse
पूजा	worship
महत्व	worth
योग्य	worthy
घाव	wound
वाह	Wow
मोड़नाइ	wrap
क्रोध	wrath
कलाई	wrist
लिखू	write
लिखावट	writing
लिखित	written
गलत	wrong
लिखल	wrote
अँगना	yard
हाफी	yawn
हं	Yeah
साल	year
साल	years
खमीर	yeast
चिल्लानाइ	yell
पीयर	yellow
हँ	Yes
काल्हि	yesterday
तहियो	yet
उपज	yield
अहां	you
जवान	young
अहांक	your
युवा	youth
स्वादिष्ट	yummy
सुन्ना	zero
हम अइसने आशा करे छी	I hope so
गोडक अंगुठा	toes
बहुत अच्छा	super
नहि अछि	doesn't
जाइत अछि	goes
पास अछि	has
लग अछि	have
ओ अछि	he is
केना अछि	how is
इ अछि	it's
ठीक अछि	It's okay
होत अछि	occurs
ओतबा अछि	over there
ओ अछि	she is
ओ अछि	that is
ओतह अछि	there are
ओतय अछि	there is
ई अछि	this is
की अछि	what is
कतह अछि	where is
के अछि	who is
ठीक अछि जानू	ok honey
अंतिम अछि पर कम नहि	last but not least
ठीक अछि प्रिय	okay honey
नीक अछि प्रिये	okay dear
ठीक अछि प्रिये	okay my love
ठीक अछि  प्रिये	ok my love
हवाई अड्डा	airport
क' अतिरिक्त	besides
क अतिरिक्त	in addition
प्रिय अध्यापक	Dear Sir
गूगल अनुवाद	Google Translate
हमरा अपन फोटो भेजू	send me your picture
हमरा अपन बहिन सँ प्यार हई	I love my little sister
हम अपना छोटका भाय सँ प्यार करई छी	I love my little brother
हमरा अपना बड़का भाय सँ प्यार हय	I love my big brother
हमरा अपना बाउ जी सँ प्यार हय	I love my father
हम अपना माई सँ प्यार करई छी	I love my mother
प्रिय अभिभावकसभ	Dear Parents
ढेर अर्थ बला	ambiguous
हम अलोह	I have been
आओर अहां	and you
की अहाँ एखनो ओतह छथि?	Are you still there?
की अहां ओतय छी	are you there
आइ अहांक की हाल-चाल	how are you doing today
हम अहां क चाहए छी	I want you
एखन अहां कतय छी	where are you now
हम अहांक पसिन करैत छी	I like you
हमहूं अहांक प्रेम करेत छी	I love you too
भगवान् अहाँक भला करू	god bless you
की अहां करैत छी	do you
अखन अहां की कए रहल छी	what are you doing right now
हम अहाँ केँ देखे चाहय छि	I want to see you
हम अहाँ केँ नहि बुझ रहल छि	I don't understand you
हैलो अहां केना छथि	hello how are you doing
नमस्ते अहाँ केना छथि	hi how are you
हम अहांके बहुत प्रेम करैत छी	I love you so much
हम अहांकें बहुत याद कए रहल छी	I miss you so much
हम अहांके याद क रहल छी	I miss you
आई अहां कोना छथि	how are you today
नमस्कार अहां कोना छी	hello how are you
की अहाँ खा लेल छी	have you eaten
की अहां छी	are you
हम अहां सँ प्रेम करैत छी	I love you
की अहाँ हमरा सँ प्रेम करे छी	do you love me
यहा आउ	come here
जल्दी आउ	come on
मुख्य आकर्षण	highlight
कम आँकल लगानाइ	underrated
ओकर आगू	beyond
भगवान् आत्माक शांति दे	rest in peace
नीक आदमी	simp
चक्कर आनाइ	dizzy
जल्दिये आबि रहल अछि	coming soon
गामक इलाका	countryside
रंग उड़ जानाइ	fade
स्वरक उतार-चढ़ाव	pitch
क्रमागत उन्नति	evolution
एप्पक उपयोग करे लेल धन्यवाद	Thanks for using our app
अहाँ ऊपर अछि	up to you
बस एकरा करू	just do it
अहां एखन की करैत छी	what are you doing now
हम एतबा छी	I'm here
क' एवज मे	redeem
बस एहिना	just
जी ओकिएनाइ	nausea
बीच क	intermediate
तरह क	kinda
अगिल-बगिल क	surrounding
माफ कए देनाइ	forgive
विकृत कएदेनाइ	pervert
निचोड़ कए निकाल देनाइ	squeeze
नहि कए सकैत अछि	can't
हम कए सकैत छी	I can
हम कए सकैत  छी	we can
आगू क काज करनाइ	follow up
अहाँ क काम की अछि	what is your job
बैठक कक्ष	living room
स्वागत कक्ष	reception
कखनो कखनो	sometimes
फूल क खिलनाइ	bloom
बिजली कडकेक आवाज	thunder
अहां कतय छी	where are you
अहां कतेक सालक छी	how old are you
कल्पित कथा	myth
माफ क दिय	Sorry
मील क पाथर	milestone
क्रिसमस क बधाई	merry christmas
अहाँ क बारे मे बताउ	how about you
शायदे कबो	hardly ever
घास क मैदान	lawn
अत्याचार कयल गेल	devastated
कब्जा कयल गेल	occupied
भुगतान कयल गेल	paid
प्राप्त कयल गेल	received
उपयोग कयल गेल	used
अहां कय सकैत छी	you can
संचय करएक समय	vintage
हम करए छी	I do
काम करए बला	working
बचा क रखनाइ	preserve
पालन ​​ करनाइ	abide
स्वीकार करनाइ	acknowledge
नाटक करनाइ	act
ठीक करनाइ	adjust
परेशान करनाइ	annoy
संलग्न करनाइ	attach
हमला करनाइ	attack
सहन करनाइ	bearing
देख-रेख करनाइ	caring
पूरा करनाइ	carry out
पीछा करनाइ	chase
सुलह करनाइ	compromise
खपत करनाइ	consume
संपर्क करनाइ	contact
पार करनाइ	cross
प्रदर्शन करनाइ	demonstrate
मना करनाइ	denied
मना करनाइ	deny
जमा करनाइ	deposit
रद्द करनाइ	discard
प्रदर्शन करनाइ	display
भाग करनाइ	divide
दान करनाइ	donate
छेड़ करनाइ	drill
योग्य करनाइ	enable
स्थापित करनाइ	establish
जाँच-पडताल करनाइ	examine
निष्पादित करनाइ	execute
अभिव्यक्त करनाइ	express
महसूस करनाइ	feel
ठीक करनाइ	fix
घिन करनाइ	hate
प्रभाबित करनाइ	impress
शामिल करनाइ	include
पूछताछ करनाइ	inquiry
प्रेरित करनाइ	inspire
अनुवाद करनाइ	interpret
सूचित करनाइ	intimate
आविष्कार करनाइ	invent
जाँच-पड़ताल करनाइ	investigate
अलग करनाइ	isolated
श्रृंगार करनाइ	make up
हेरफेर करनाइ	manipulate
मौन करनाइ	mute
राजी करनाइ	persuade
स्थगित करनाइ	postpone
प्रशंसा करनाइ	praise
उपज करनाइ	produce
खोज करनाइ	prospect
याद करनाइ	recall
सिफारिस करनाइ	recommend
सिफारिस करनाइ	recommended
दर्ज करनाइ	record
नीक करनाइ	recover
मना करनाइ	refused
अस्वीकार करनाइ	reject
संचय करनाइ	reserve
सिलाई करनाइ	sew
शिकार करनाइ	shoot
बंद करनाइ	shut
हिज्जे करनाइ	spell
पिछु करनाइ	stalk
छेड़छाड़ करनाइ	tease
टकाट-छांट करनाइ	trim
वापस करनाइ	withdraw
हम करब	I will
चमत्कृत करय वला	stunning
इन्तजार क रहल छी	waiting
उपलब्ध करायब	provide
प्राप्त करु	achieve
पुष्टि करु	confirm
सूचित करु	convey
नहि करु	don't
उत्साहित करु	encourage
आनंद करु	enjoy
क्षमा करु	excuse me
खतम करु	finish
कल्पना करु	imagine
बेहतर करु	improve
प्राप्त करु	obtain
प्राप्त करु	receive
कम करु	reduce
मुक्त करु	release
हल करु	resolve
साझा करु	share
प्रस्तुत करु	submission
कोशिश करु	try
सत्यापित करु	verify
गहिड करू	dig
नास्ता करू	have breakfast
मजा करू	have fun
जल्दी करू	hurry up
भेंट करू	meet
संघर्ष करे बला	struggling
स्वीकार करे योग्य	assertive
क्रिया कर्म	funeral
शिल्प कला	craft
अहाँ क लेल	for you
अहां क शुभकाना अछि	wish you all the best
कहियो कहियो	occasionally
शायदे कहियो	rarely
हमरा कहू	tell me
लिखित कागजात	document
साहसिक काज	adventure
उबाउ काज	chores
नीक काज	good job
समुद्रक कात	beach
एहि कारण सँ	due to
जेना कि	such as
जखन कि	whereas
आर किछ	anymore
सब किछु	everything
जे किछु	whatever
समुद्री किनारा	coast
समुन्दर किनारा	shore
अहां की कए रहल छी	what are you doing
अहां की करैत छी	what do you do
अहाँ की नाम अछि	what's your name
अहांक की मतलब अछि	what do you mean
अहां की विवाहित छी	are you married
अहां की व्यस्त छी	are you busy
अहांक की हाल-चाल	how are you doing
अहूं के	you too
ई के अछि	who is this
अहाँ केँ की चाहि	what do you want
अहां के छी	who are you
अहाँ के दिन शुभ हो	have a good day
अहां कें धन्यवाद	thank you
प्रसारित केनाइ	broadcast
बातचीत केनाइ	communicate
परिभाषित केनाइ	define
क्षमा केनाइ	excuse
प्रकट केनाइ	exhibit
प्रस्तुत केनाइ	render
तैयार केनाइ	set up
भाषांतर केनाइ	translate
भुगतान केयल गेल पाई	payment
बना के राखब	maintain
स्वीकृत केल	granted
प्रकट केल	revealed
खर्च केलक	spent
महसूस केलहुं	felt
कोशिश केलहुं	tried
नीक केलहुं	well done
हमरा कॉल करू	call me
इ कोन चीज छै	what is this
अहाँ कोना छथि	how do you do
अहांक कोना छी	how are you
अहां कोनाठाक छी	where are you from
अहं कोनाठाम रहैत छी	where do you live
स्वाभाविक क्रिया	spontaneous
भीषण क्रोध	rage
सांझक खाना	supper
हमर खुशी	my pleasure
नवका खोज	innovation
कम गति	slow
कोनो गप्प नहि	nevermind
गाना गानाइ	sing
बंदी गृह	pound
भ' गेनाइ	become
आबि गेल	arrived
ऊबि गेल	bored
टूट गेल	broke
आनल गेल	brought
गाडल गेल	buried
बोलावल गेल	called
पकड़ल गेल	caught
जुड़ गेल	connect
मानल गेल	considered
मर गेल	died
कयल गेल	done
बढ़ाबल गेल	extended
खुआओल गेल	feed
बिसैर गेल	forgot
दियल गेल	given
चलि गेल	gone
भेट गेल	got
हेराय गेल	lost
बनाओल गेल	made
दियल गेल	provided
देखल गेल	seen
बिका गेल	sold
सिखाओल गेल	taught
बुझ गेल	understood
जीत गेल	won
सभ गोटा	everybody
मूल ग्रन्थ	text
प्रिय ग्राहक	Dear Customer
कोनो घटना भेनाइ	happen
भनसा घर	kitchen
धोबी घर	laundry
सुरुजक चमक	sunshine
धीरे-धीरे चलनाइ	jogging
साइकिल चलानाइ	cycling
ल चलू	carry
हम चाहैत छी	I want
दंत चिकित्सक	dentist
लेखा चित्र	chart
कोनो चीज वा लोकनि मे मिलल होनाइ	consist
नोकदार छड़	spike
जानत छथि	knew
रहत छय	lives
लग छल	had
हम छलहुं	I was
ई छलाह	it was
गाछक छाल	bark
चाहय छि	wanna
हम छी	I am
हम छी	I'm
हम छी	I’m
ई छी	it is
अहां छी	you are
पानिक छींटा	dash
ठीक छै	Alright
उपलब्ध छै	available
बहुत छै	enough
ठीक छै	okay
ठीक छै नेना	okay baby
ठीक छैै	ok
छोट छोट काटनाइ	chop
एको छोट थारी	tray
चल जनाइ	departure
हम जनैत छी	I know
क जब्त	seize
हवाई जहाज	plane
हवाई जहाज चालक	pilot
बिसरि जाउ	forget
ले जाउ	take away
अहाँ जानय छथि	You know
बाहर जानाइ	exit
बाहर जाय वला	outgoing
एकरा जारी रखू	keep it up
कका जी	uncle
अहां जीवैक लेल की करैत छी	what do you do for a living
नीक जेना	properly
सूरज जेना चमकीला	sunny
सूते जेना महसूस करनाइ	sleepy
कोहरा जैसन	foggy
एक्के जैसन	identical
एक जैसन होनाइ	resemble
भाग जो	go away
क्षय ज्वर सँ सम्बंधित	hectic
एक टा भाषा कबो प्रयाप्त नहि अछि	one language is never enough
डाक टिकट	stamp
मॉसक टुकड़ा	steak
सब ठीक	all right
एकदम ठीक	exactly
एकदम ठीक	perfect
हम ठीक छी	I'm fine
बाधा डालनाइ	interfere
अहां ढेर सुनर छथि	you are so beautiful
किएक तँ	because
वा तँ	either
ऐतैक तक	even
एतय तक कि यद्यपि	even though
दूर तक पैदल यात्रा	hiking
ज्यादा तर	mostly
क' तरफ	towards
क तरफ सँ	behalf
पूरा तरह सँ	thoroughly
एहि तरहें	hence
खूब तेजी सँ	rapid
नियमित तौर पर	regularly
दूध दत्ता	sweet tooth
मादक दबा	dope
धमकी दय वला	bully
माथ दर्द	headache
चालक दल	crew
क दिआ	via
संतोस दिए बला	satisfying
बढिया दिन	good day
अहांक दिन केहन छल	how was your day
ई दिन घुरि-घुरि आय	many many happy returns of the day
अहांक दिन शुभ हो	have a nice day
ध्यान दिय	attention
टालि दिय	avoid
छोड़ि दिय	quit
छुटकारा दियल गेल	released
बेच दियल गेल	sold out
याद दियेनाइ	remind
याद दियेनाइ	reminder
छोड़ि दियौ	give up
हुअ दियौ	let
विश्वास दिलानाइ	convince
चारू दिस	around
उत्तर दिस	north
सब दिस	throughout
क' दिस	toward
एक दुसर	each other
हमरा देखाउ	show me
हम देखैत छी	I see
गारि देनाइ	abuse
काम देनाइ	assign
सहयोग देनाइ	assist
आशीर्वाद देनाइ	bless
उबा देनाइ	bore
भूमिका देनाइ	cast
सफाई देनाइ	clarify
छाप देनाइ	cover
जोर देनाइ	emphasis
जोर देनाइ	emphasize
सूचना देनाइ	inform
दखल देनाइ	interrupt
डिम देनाइ	laid
कर्ज देनाइ	lend
राहत देनाइ	relieve
अनुमति देल	allowed
देखाय देलक	appeared
छोड़ि देल गेल	abandoned
आशिर्बाद देलथि	blessed
गोलदारी दोकान	grocery
हमर दोस्त	my friend
प्रवेश द्वार	entrance
धोखा धडी	cheating
एखन धरि	so far
जाबत धरि हम सभ अहांक शिपमेंटक जाँच कहेल रहल छी, ताबत धरि धैर्य रखबाख लेल अहां के धन्यवाद	Thank you for your patience while we investigate shipment
किछु न किछु	slightly
कोनो न कोनो प्रकार सँ	anyways
कखनो नहि	never
कोनो नहि	nobody
कोनो नहि	none
आ नहि	nor
एकदम नहि	not at all
किछु नहि	nothing
एखन नहि	Not now
एखन नहि	not yet
काहे नहि	why not
खराब नहि अछि	not bad
हम नहि कए सकैत छी	I can't
चिन्ता नहि करु	Don't worry
हम नहि करैत छी	I don't
कोनो नहि कोनो तरह	somehow
कखनो नहि छोड़ू	never give up
हमरा नहि पता	I do not know
हमरा नहि पता	I don't know
हम नहि बुझल छलहूँ अहाँक की मतलब अछि	I don't understand what you mean
हमरा नहि बुझाइत अछि	I don't understand
हम नहि बुझैत छी	I do not understand
पहिल नाम	first name
अहांक नाम की छी	what is your name
हमर नाम थिक	my name is
हम नाय जानय छी	I don’t know
हम नाहि बुझए छि	I don’t understand
खोजि निकालु	find out
दिशा निर्देश	guidance
दृढ़ निश्चय	determination
चोटक  निसान	scar
बड्ड नीक	very good
ई नीक अछि	that's good
हम नीक छी	I am fine
हम नीक छी	I'm good
बिल्लीक नेना	kitten
भेंड़क नेना	lamb
खसि पड़नाइ	collapse
खसि पड़ल	fell
तासक पत्ता	deck
बिक्री पत्र	invoice
सामान पद बला	peer
पेय पदार्थ	beverage
कोनो पदार्थक प्रचलित मूल्य	quotation
बिछौना पर जाउ	go to bed
काज पर राखू	hire
चित्र परिचय	caption
हम परेम करे छि	I love
हमर पसंद	I like
कापिड़ पहनू	dress
कापिड़ पहिनु	get dressed
सबसँ पहिने	earlier
अपन पाप स्वीकार करनाइ	confess
हुनका पास अछि	she has
पूरा -पूरा	overall
बड्ड पैघ	enormous
बहुत पैघ	great
बड्ड पैघ	huge
पैघ प्रदर्शन	spectacular
सीधा प्रसारण	live
ठीक प्रिय	ok dear
हँ प्रिये	yes dear
हं प्रिये	yes honey
हमर प्रेम	my love
अहांक प्रेम करैत छी	love you
मुंह फट	blunt
क बगिल	next to
क बजाय	instead of
कोनो बड़का भवन मे कमराक समूह	apartment
अहाँ बड्ड सुन्नर छथि	you are beautiful
आगू बढ़ल	advanced
आगू बढ़ानाइ	facilitate
एकदम बढ़ियां	excellent
आगे बढ़ू	go ahead
आगू बढ़ू	proceed
बोली बंद भेनाइ	speechless
क' बदला मे	instead
जन्मदिनक बधाई	happy birthday to you
नमस्कार बंधु	hello dear
खाना बनाउ	cook
खाना बनानाइ	cooking
बिस्कुट बनाय बला कारखाना	bakery
अयोग्य बनेनाइ	disabled
विवाद बला	controversial
भीड़-भाड़ बला	crowded
बाद बला	latter
निम्नस्तर बला	lower
होए बला	to be
बेचय बला	vendor
पहिने बला	wearing
अंगूर बला दारु	wine
खाय बला सोडा	baking soda
अहांके बहुत-बहुत धन्यवाद	thank you so much
अहांक बहुत-बहुत धन्यवाद	thank you very much
कोनो बात नहि	it's ok
कोनो बात नहि	never mind
केना बार	how often
होबय बाली दुल्हिन वा बला दूल्हा	fiance
क' बिना	without
हां बिल्कुल	yes of course
क बीच	amid
एहि बीच	while
क' बीच मे	among
एहि बीच मे	meanwhile
हम बुझि छी	i guess
हम बुझैत छी	I understand
हां बेबी	yes baby
दू बेर	double
एक बेर	once
ढेर बेसी	a lot
ढेर बेसी	excess
ढेर बेसी	excessive
बहुत बेसी होबए	abundance
सहज बोध	intuition
खिन्न भ जनाइ	nostalgic
बड्ड भाय	elder
मोल - भाव	negotiate
वेष भूषा	costume
वापिस भेटनाइ	recovery
अंक भेटनाइ	score
सफलता भेटनाइ	succeed
स्वीकृत भेटल	approved
फेर भेट होएत	see you
जल्दिये भेट होएत	see you soon
कल भेट होएत	see you tomorrow
समाप्त भेनाइ	accomplished
आदी भेनाइ	addicted
टक्कर भेनाइ	crash
खुशी भेनाइ	delighted
व्यस्त भेनाइ	engaged
तंग भेनाइ	fed up
स्वस्थ भेनाइ	heal
स्वस्थ भेनाइ	healing
ताज्जुब भेनाइ	surprised
पल भेर मे	instant
सुरु भेल	began
खतम भेल	finished
प्राप्त भेल	obtained
संतुष्ट भेल	satisfied
शुरू भेल	started
चोरी भेल	stolen
ठड़ा भेल	stood
चिंता भेल	worried
की भेलै	what happened
रातिक भोजन	dinner
दुपहरक भोजन	lunch
प्रिय मण्डली	Dear Team
हमर मतलब अछि	I mean
पैघ मनोहर	so cute
पलटी मरनाइ	flip
गोली मरनाइ	shot
वैश्विक महामारी	pandemic
क मांग	demanding
माफी मांगनाइ	apologize
व्हेल माछ	whale
केवल मात्र	merely
केवल मात्र	only
उत्सव माननाइ	celebrate
आज्ञा माननाइ	obey
गप्प मानय बला	convinced
हमरा माफ क दिय	I'm sorry
लात मारनाइ	kick
चाकू मारनाइ	stab
रद्दी माल	scrap
लूटल माल	swag
सूअरक मास	pork
हमर मिसन: दुनियाक जानकारीक व्यवस्थित करनाई अउर एकरा सार्वभौमिक रूप सँ सुलभ अउर उपयोगी बनानाइ।	Our mission: to organize the world's information and make it universally accessible and useful.
हमर मिसन: सभ गोटाक, सभ जगह दुनिया क समझे अउर भाषा मे स्वम् क अभिव्यक्त करे मे सक्षम बनानाइ।	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
चिंता मुक्त भेल	relieved
विषय में	about
बाद मे	after
बाद मे	afterwards
संग मे	along
बगल मे	beside
बीच मे	between
वर्तमान मे	currently
निसा मे	drunk
वास्तव मे	In fact
भीतर मे	inside
बाद मे	later
हाल मे	recently
संग मे	together
भीतर मे	within
नरेटी मे खस खस	sore throat
सांचा मे ढालब	mold
आगि मे भुननाइ	roast
बाद मे भेट होएत	see you later
हमरो यहे विचार हय	Same here
समुद्री यात्रा	cruise
अहांक याद क रहल छी	miss you
देखे योग्य	remarkable
उदेश्य रखनाइ	intend
नीचू रखनाइ	lay
जारी रखनाइ	pursue
अलग रखनाइ	quarantine
प्राप्ति रसीद	receipt
व्यस्त रहनाइ	engage
सूति रहल	sleeping
आबि रहल अछि	coming
क रहल छी	doing
जा रहल छी	going
जा रहल छी	going to
पढत रहल बा	studying
खेल रहल हय	playing
सावधान रहू	be careful
करैत रहू	continue
चुप रहू	shut up
सुरक्षित रहू	stay safe
जारी राखू	carry on
रोकिक राखू	retain
ख्याल राखू	take care
आइ रात	tonight
अहांक राति केहन छल	how was your night
शुभ रात्रि	goodnight
बहुत रास	many
कोनो रास्ता नहि अछि	no way
पूर्ण रूप सं	absolutely
मूल रूप सं	basically
निश्चित रूप सं	certainly
सम्पूर्ण रूप सँ	completely
विशेष रूप सँ	particularly
निश्चित रूप सं	precisely
देख रेख करनाइ	monitor
पाव रोटी	loaf
ओकर लग अछि	he has
हमरा लग अछि	I have
हमरा लग छल	I had
चोट लगनाइ	injury
लेबल लगनाइ	tag
छड़ लगल ढांचा	grid
अंदाज लगाउ	guess
अंकुश लगानाइ	curb
हिसाब लगानाइ	figure out
दांव लगानाइ	stake
पता लगाब	detect
दोष लगेनाइ	blame
पता लगेनाइ	discover
झाड़ू लगेनाइ	sweep
नीक लगैत अछि	good looking
दस लाख	million
एकर लायक	worth it
कर्जा लिखनाइ	debit
एतह लिखू	Write here
मानि लिय	assume
मानि लिय	suppose
निगलि लिय	swallow
लिख लियल गेल	noted
ले लियल गेल	taken
सोख लेनाइ	absorb
सांस लेनाइ	breathe
जिम्मेबारी लेनाइ	guarantee
भाग लेनाइ	participate
क लेल	for
सदाक लेल	forever
उदाहरण लेल	For example
उदाहरनक लेल	for instance
क लेल	in order to
एहि लेल	therefore
निर्णय लेलक	decided
खा लेलौं	ate
खरीद लेलौं	bought
रूढ़िवादी लोकनि	conservative
साथी लोकनि	peers
हम लोकनि सभ	we are
ओ लोकनि सभ छथि	they are
आस-पड़ोसक लोग	neighborhood
बढ़बइ वला	booster
रेंगय वला	creepy
होइ वला	gonna
शोर वला	noisy
प्रिय विद्यार्थीसभ	Dear students
आकाशीय विद्युत	lightning
क' विरुद्ध	against
अहां विवाहित छी वा एकाकी	are you married or single
अपन व्यक्तित्व	self
नीति शास्त्र	ethics
जन्मदिनक शुभकामना	happy birthday
पहिनहि सँ	already
मुश्किल सँ	barely
आसानी सँ	easily
धडल्ला सँ	fluently
मुश्किल सं	hardly
ईमानदारी सं	honestly
जोर सँ	loud
खुद सँ	myself
ऊपर सँ	over
तेजी सँ	quickly
तेजी सँ	rapidly
दूर सँ	remote
गंभीरता सँ	seriously
निष्ठा सँ	sincerely
धीरे सं	slowly
माध्यम सँ	through
अपने सँ	yourself
सब सं अल्प	least
एहि सँ आगू	furthermore
पहिने सँ कए रखनाइ	anticipate
हाथ सं कएल गेल	manual
दांत सँ कटनाइ	bite
कम सँ कम	at least
कय सकैत	can
कय सकैत ह	could
सब सं खराब	worst
अपने सँ ठीक भेनाइ	self healing
शुभ संध्या	good evening
डरावना सपना	nightmare
सुन्नर सपना	sweet dreams
फेर सँ प्राप्त करनाइ	retrieve
अहांक सफलता भेटय	good luck
साफ सफाई	hygiene
झटका सँ फेकए बला	flirting
ई सब	these
ओ सब	those
हम सब	us
सब सं बढ़ियां	best
क' संबंध मे	regarding
अहांक संबंध में की	what about you
पुरखिन सभ	ancestors
फली सभ	beans
सीमा सभ	boundaries
बिसेसता सभ	characteristics
नेना सभ	children
चिमनी सभ	chimneys
अनाज सभ	crops
रोग सभ	diseases
कान सभ	ears
तथ्य सभ	facts
दोस्त सभ	friends
चीज सभ	items
नेना सभ	kids
फेफड़ा सभ	lungs
उपाय सभ	measures
संज्ञा सभ	nouns
गाझ सभ	plants
बैज्ञानिक सभ	scientists
वाक्य सभ	sentences
जूता सभ	shoes
शर्त सभ	terms
ओ सभ	they
चीज सभ	things
विचार सभ	thoughts
हम सभ	we
शब्द सभ	words
हम सभक बीच	among us
आत्मविश्वास सं भरल	confident
बिलम्भ सँ भेल	delayed
अहां सँ भैट कए नीक लागल	nice to meet you
सोचल- समझल	deliberate
ढेर समय सँ नहि देखले छलोह	long time no see
कोनो समस्या नहि अछि	no problem
जान सँ मारनाइ	kill
शिखर सम्मेलन	summit
अति संवेदनशील	vulnerable
फेर सं शुरू करनाइ	resume
फेन सँ स्थापित करनाइ	restore
जल्दी सँ स्वस्थ भ' जाउ	get well soon
कष्ट सहनाइ	suffer
की साच्चो मे	oh really
प्रिय साथी सभ	Dear All
के सामने	in front of
नया साल शुभ होय	happy new year
समय सीमा	deadline
समय सीमा समाप्त भेनाइ	expired
वस्तु सूची	inventory
हाथीक सूंढ	trunk
हम सोचए छी	I think
ढेर सोचनाइ	overthinking
निर्माण स्थल	site
बैसैक स्थान	seat
अहांक स्वागत अछि	you are welcome
अहांक स्वागत अछि	you're welcome
अहाँक स्वागत अछि	you’re welcome
अहांक स्वागत अछि	your welcome
क स्वामी वा मालिक भेनाइ	possess
दस हजार	ten thousand
पसलीक हड्डी	rib
सुप्रभात हमर प्रिये	good morning my love
हं हमर प्रिये	yes my love
हमरा हमर बड़की बहिन सँ लगाव हय	I love my big sister
मिलल हय	contains
बेरंग हरियरका विचार के नींद उड़ल	colorless green ideas slept furiously
सुरक्षित हवाईयात्रा	safe flight
हाल ही मा	lately
हम हेब	I would be
न होतय	won't
छेद होनाइ	leak
चोरी होनाइ	theft
की होब करय अछि	what's up
हमर होवरक्राफ्ट माछ सँ भरल अछि	My hovercraft is full of eels
