a	benn
shall	dina:
shallow	xóot tuuti
shame	Gaawu
shape	melo
share	seddale
sharp	ñaw
she	moom
she has	am na
she is	mu ngi
shed	sotti
sheep	xar
sheet	kawe coll
shelf	tegukaay
shell	xoru buuj
shelter	laxas
shield	muur
shift	kaar
shine	Meiteilon
ship	gaa ñi
shipping	yóbbu ci gaal
shirt	simis
shoes	ay dàll
shoot	dóor
shop	bitig
shopping	ndugg
shore	tefes
short	gas bën-bën
shortage	ñàkk
shot	bal soq
should	da nga
shoulder	mbaam-xuux
shout	yóoxu
show	xew-xew won
show me	won ma
shower	sangu
shrimp	sipax
shrink	suux
shut	tëj
shut up	noppil
shy	tóoy
sibling	mag ak rakk
siblings	mag
sick	feebar
side	wet
sigh	nokki
sight	gis-gis xool
sightseeing	wër di gis
sign	màndarga màndargaal
signature	xaatim
significant	am solo
silence	noppi
silent	noppi
silk	suwaa
silly	diwaan
silver	xaalis
similar	niroo
simp	jaamu
simple	yomb
simultaneously	amandoo
since	ndegem ci
sincere	dëggu
sincerely	ca dëgg-dëgg
sing	woy
singer	woykat
single	benn kese
sink	suuxu suux
Sir	Sëriñ bi
sister	ji garab
sister in law	goro bu góor
sit	toog
site	barab
situation	anam
six	juróom
sixteen	fukk-ag-juróom benn
sixty	juróom-benn fukk
size	ngandaay
skill	xereñteef
skills	ay xereñteef
skin	dër
skinny	sew
skip	romb
skirt	sipp
sky	asamaan
slave	jaajëfal
sleep	nelaw
sleeping	nelaw
sleepy	gëmmentu
sleeve	loxo
slice	xar
slide	saaraan
slightly	ci anam bu tuuti
slim	sew
slip	tarxiis
slope	dëng
slot	xar-xar
slow	yéex wàññi
slowly	ndànk ndànk
small	tuuti
smart	muus
smell	xeeñ
smile	ree
smoke	saxaar
smooth	neex
snack	lekk
snail	yéet
snake	jaamu
snap	poortale bu gaaw
snow	gafaka
so	kon
so cute	rafet lool
so far	ba léegi
soak	tooyal
soap	saabu
sober	yaru
soccer	kunu wóoluwul ñàkk a wóolu
social	bu askan
society	askan
socks	ay kawas
soft	nooy
software	amalin
soil	suuf
sold	jaaykat
sold out	jeex
soldier	soldaar
sole	kese
solid	dëgër
solution	saafara
solve	saafara
some	yenn ay
somebody	ak nit
somehow	ci nii mbaa ci naa
someone	ak nit
something	dara
sometimes	yenn saa yi
song	woy
soon	ci lu yàggul dara
sophisticated	mucc ayib
Sorani	Sorani
sore	metti
sore throat	metti góom
sorrow	naqqar
Sorry	Baal ma
sort	gënale
sought	seetoon
soul	ruu
soulmate	farandoo
sound	coow wér
soup	supp
sour	formaas
source	cosaan
south	bëj-saalum
space	yaatuwaay
spam	bataaxal bunu bëggul
span	dayoo
Spanish	eskaliye
spare	nay deñc
speak	wax
special	ferees
species	ay xeet
specific	leen
spectacular	bu fës
speech	wax
speechless	noppi
speed	gaaw woor
spell	bind ñaan
spend	seer ndieuk
spent	jëfandikoo
spicy	saf
spike	jàllukaay jàll
spin	ràbb
spinach	mburu
spirit	njuuma
spit	tuflit tufli
splendid	rafet
split	seddoo seddale
spoil	yàqq
spoiled	yàqq
spontaneous	jekk
spoon	ku yem ci boppam rekk
spot	bërab
spouse	way-deñcante
spread	law
spring	cooron tëb
square	ñeenti koñ màndu
squeeze	paccal
squid	kalaas
squirrel	jaanu-biir
st	st
stab	jam
stable	dal
stack	tegale
staff	naatangoowu liggéey
stage	tolluwaay
stain	suub
stairs	esaans
stake	teg
stalk	car
stall	bitig
stamp	tàmpong
stand	taxawaay taxaw
standard	tolluwaay bu jaar yoon
star	biddéew
start	Doon naa nekk
started	tàmbaliwoon
starving	xiif
state	anam
statement	wax
station	gaaraas
statue	Español
status	tolluwaay nekkin
stay	tokk
stay safe	nekkal ci jàmm
steady	wóor
steak	dogtoor
steal	sàcc
steam	ngelaw lu tàng
steel	asiye
steep	kawe
stem	car
step	jéego
stick	bant taf
stiff	dëgër
still	ba tey
still	ba léegi
sting	jam
stingy	nay
stir	yëngal
stock	action
stolen	sàcc
stomach	mbatit
stone	xeer
stood	taxawoon
stool	toogu
stop	dakkal dal
storage	deñc
store	dence
storm	tawu ngelaw
story	léeb
stove	Fulfulde
straight	jub
straightforward	jub xoj
strain	coono
strange	raglu
stranger	gan
strategy	pexe
straw	ñax
strawberry	fentkatu tabax
streak	diir
stream	deseer
street	mbebët
strength	donte
stress	jaaxle
stretch	tàllal doxantu
strict	tar
strike	door
string	buum
strip	summi
strive	xeex
stroke	daloon raay
strong	dëgër
struck	songoon
structure	tabax
struggle	am jafe-jafe ci
struggling	am jafe-jafe ci
stubborn	dëgër bopp
stuck	tëju
student	ndongo
study	njàng jàng
studying	nekk di jàng
stuff	sol bagaas
stunning	yéeme
stupid	dof
style	colin
subject	tomb
submission	jébbalu
submit	jox xel
substance	cër
substitute	wuutu
subtle	xereñ
succeed	am ndam
success	ndam
successful	am ndam
such	bu mel nii
such as	melni
suck	muucu
sudden	ci lu gaaw
suddenly	ci saa si
suffer	am mettit
suffering	sonn
sufficient	doy
sugar	suukar
suggest	joxe xalaat
suggestion	tektal
suit	yéré sol
suitable	jaar yoon
suitcase	waliis
sum	lim
summary	tënk
summer	tàngaay
summit	ndaje
sun	jàngu
sunday	dibéer
sunny	naaj
sunset	sowwu-jànt
sunshine	naaj
super	baax
superior	ci kaw
supervisor	saytukat
supper	reer
supply	lingeer
support	ndimbal dimbali
suppose	yaakaar
supposed	foofa
sure	wóor
surface	maa ngi tudd
surge	yéeg
surgery	opeere
surname	sant
surprise	mbënd
surprised	bettoon
surrender	bàyyi
surrounding	li ci bokkul
surveillance	wattu
survey	jàngalewoon
survive	dund
suspect	kumpa
suspended	wékku
suspicious	wóoradi
sustain	jàppalante
sustainability	luy wéy
sustainable	luy wéy
swag	taxawaalu
swallow	wonn
swap	weccee
swear	waat
sweat	ñaqq
sweater	yéré jiital
sweep	bale
sweet	neex
sweet	tàngal
sweet dreams	fanaan ak jàmm
sweet tooth	foqqale
sweetheart	seeri
swell	newwi
swelling	newwi
swim	féexal xol
swimming	féey
swing	njoowaan njoowaanu
switch	taalukaay taal
swollen	newwi
sword	xeec
symbol	màndarga
sympathy	yërmaande
symptoms	man ma
system	tëralin
table	taabal
tackle	song
tag	màndarga
tail	géej
take	jél
take away	yóbbu
take care	nekkal ci jàmm
take off	jog
taken	jël
talk	wax
talk	waxtaan
talkative	bari wax
tall	njool
tap	robine tànn
tape	bànd
target	jubluwaay
task	liggéey
taste	cafka mos
tasty	neex
taught	jàngalekat
tea	ataaya
teach	jàng njàng
teacher	jàngale kat
team	kureel
tear	xotti ràngooñ
tears	ay ràngooñ
tease	tooñ
technology	jumtukaayu internet
teeth	gën
tell	wax
tell me	wax ma
temper	mer
temperature	tàngooru yaram
temple	bërabu jaamukaay
temporary	bu yàggul
ten	fukk
ten thousand	fukk i junni
tenant	borom kër
tend	toppatoo
tendency	tolluwaay
tender	maye
tense	dëgër
tension	taansiyong
tent	tànt
tentative	jéem
term	anam
terms	ay anam
terrible	doywaar
terrific	raglu
territory	diwaan
test	xayma
text	juddoowaale
than	ni
thank	jaaduwul
thank you	jërëjëf
Thank you for your patience while we investigate shipment	Jërëjëf ci sab taaxirlu ci jamono ji ñuy gëstoo yónnee gi
thank you so much	dieredieufeuti
thank you very much	Maa ngi lay jaajëfal bu baax
thanks	jërëjëf
Thanks for using our app	jërëjëf
that	ba
that is	lii mooy
that's good	baax na
the	bi
theft	càcc
their	seen seeni
them	ñoom
theme	tomb
themselves	ñoom ci seen bopp
then	léegi nak
theory	njàngat
there	fee
there are	am na
there is	am na
therefore	ba taxna
these	yii
they	ñu ngi
they are	ñu ngi nekk
thick	ngand
thief	sàcc
thigh	pooj
thin	sew jeex
thing	daraa
things	ay mbir
think	xalaat
third	ñetteel
thirsty	mar
thirteen	fukk-ag-ñett
thirty	ñett fukk
this	bii
this is	lii lan la
thorough	mat
thoroughly	lépp
those	yooya
though	donte
thought	xalaat
thoughtful	teey
thoughts	ay xalaat
thousand	junni
thread	wëñ
threat	xupp
threaten	xupp
three	ñett
threshold	peggu bunt
thrilled	bég
thrive	yokku
throat	put
through	ci
throughout	ci diirub
throw	sànni
thumb	baaraamu dëy
thunder	dënn lajj
Thursday	Alxemes
thus	noonu
tick	ñaas
tide	duus
tidy	set
tie	fas
tiger	segg
tight	xat
Tigrinya	Tigrinya
time	waxtu
timid	tóoy
tiny	ndaw
tip	diggu bëccëg
tips	ay ndigle
tire	pono
tired	sònn
tissue	njandukaayu kayit
title	boppu
to	ngir
to be	nekk
toast	lakk
today	tey
toddler	liir
toes	ay baaraami tànk
together	àndadoo
toilet	gaañu-gaañu
told	waxoon
tolerance	yërmaande
tolerate	muñ
tomato	tamaate
tomorrow	suba
tongue	lam
tonight	tay ci guddi
too	itam
took	jéll daanu
tool	jumtukaay
tools	ay jumtukaay
tooth	bëñ
top	ci kaw
topic	tomb
torn	xotteeku
torture	mucc ayib
total	lépp
touch	laajoon
tough	dëgër
tour	doxalin dogal
toward	ci
towards	ci yoonu
towel	sarbet
town	dëkku taax
toxic	buy lore
trace	yoon rëdd
track	yoon
trade	njaay jaay
tradition	aada
traditional	bu aada
traffic	dem beek dikk
trail	ñàll
train	wotoraay
training	tàggat
trait	rëdd
traits	ay melokaan
transfer	toxal
transition	soppi yoon
translate	tekki
transparent	yaraax
transport	demak dikk
transportation	yóbbu
trap	ndëgg-sërëx
trash	mbalaan
trauma	gaañu-gaañu
travel	tukki
tray	palaat
treasure	alal
treat	faj
treatment	toppatoo
tree	garab
tremendous	mag
trend	li nga lan
trial	àtte
trick	këf
tried	jéem jéemal
trigger	yëkatiku yëkati
trim	rafetal
trip	tukki
trouble	jafe-jafe
trousers	pantalong
truck	kàmb
true	Dëgg la
trunk	waxande
trust	kóolute
truth	dëgg
try	jéem
Tsonga	Tsonga
tube	raakool
Tuesday	Talaata
tuition	payu njàng
turkey	koppar
turmeric	fekksi
turn	walbati coppite
turtle	monaat
tutor	njaatige
twelve	fukk-ag-ñaar
twenty	ñaar-fukk
twenty-one	ñaar-fukk-ag-benn
Twi	Twi
twice	ñaari yoon
twist	lem
two	ñaar
type	xeet tàppe
typical	bu melokaan
ugly	ñaaw
ultimate	bu mujj
umbrella	parasool
unable	mënoon doole
uncle	nijaay
unconscious	xëm
under	ci suufu
underneath	ci suufu
underrated	xeeb
understand	nànd
understood	ndàndoon
unfortunately	ci anam bu naxari
uniform	niroo
unique	benn rekk
unit	pàcc
university	daara ju kawe
unknown	lu jiitu
unless	lu dara jogul
until	ba
unusual	faraldi
up	ca kaw
up to you	ci yaw la aju
update	lunu mënul teg loxo
upgrade	yeesal yeesalaat
upon	ci kaw
upset	mer
urban	bu dëkku taax
urge	bëgg-bëgg ñaax
urgent	jamonoy tay
us	nu
use	jëfandikoo xaalis
used	jëfandikoo
useful	am njériñ
useless	ñàkk njëriñ
usual	lu faral di am
usually	ñaare
utility	njariñ
vacation	bër
vaccination	ñakku
vaccine	ñakk
vacuum	amul dara
vague	dunq
valid	baax
valley	tund
valuable	am njériñ
value	njariñ xayma
variety	yu bokkul
various	bari
vary	soppi
vase	këf
vast	yaatu
vegetable	yu sew
vegetables	ay lujum
vehicle	woto
vendor	jaay benn benn
venom	dangar
venture	këru liggéeyukaay dëgër
venue	bërab
verify	xoolaat
versatile	sikki-sakka
version	xeet
vertical	taxaw
very	lolli
very good	baax na lool
vessel	gaal
via	bu jaar ci
vibe	yëngu-yëngu
vibes	xumbte
vicious	soxor
victim	ki
video	widewoo
view	Gis naa
village	dëkk
villain	soxor
vinegar	bineegar
vintage	bu yàgg
violence	coxorte
violent	soxor
viral	bu wiris
virgin	ku
virtual	Luganda
virtue	baaxaay
vision	gis-gis
visit	wër seetsi
visual	lu galaase
vital	lu mënul ñàkk
vivid	leer
vocabulary	wokabileer
voice	baat
void	fo
volume	tolluwaay
volunteer	ci coobare
vomit	waccu
vulnerable	nééw doole
wage	payoor
wages	ay payoor
waist	ndigg
wait	xaar
waiter	serwëer
waiting	xaar
wake	yeewu
wake up	yeewu
walk	doxantu
walking	dox
wall	mettitu bopp
wallet	kàllaama
wander	taxawaalu
wanna	bëgg naa
want	bëgg soxla
wanted	bëggoon
war	xare
wardrobe	armuwaar
warehouse	màndu woyof lool
warm	ndugg nduggal
warn	àrtu
warning	àrtu
warrior	xarekat
was	nekkoon
wash	raxas
waste	yàqq
watch	seetaan montar
water	ndox
watermelon	xaal
wave	duus
way	yoon doxalin
we	nun
we are	nu ngi nekk
we can	Mën naa
weak	nooy
weak	néew doole
weak	néew kattan
weakness	woyofaay
wealth	alal
wealthy	am alal
wear	sol
wearing	sol
weather	climat
wedding	céyt
Wednesday	Allarba
weed	ñax
week	ayubés
weekend	njéexitalu ajubés
weight	diisaay
weird	doy waar
welcome	teeru
welcome	dalal ak jàmm
welfare	ndimbalu askan
Well	baax na
well done	baax na
went	demokaraasi
were	nekkoon
west	sowwu-jant
wet	tooy tooyal
whale	baleñ
what	Lan
what about you	yaw nag
what are you doing	loy def
what are you doing now	lan ngay def fi mu toll nii
what are you doing right now	lan ngay def nii
what do you do	lan ngay def
what do you do for a living	lan ngay liggéey
what do you mean	lan nga bëgg
what do you want	lan mooy
what happened	lu xew
what is	luy
what is this	liggéeyu tàggatu
what is your job	lan ngay liggéey
what is your name	nan nga tudd
what's up	lu xel nangu
what's your name	nan nga tudd
whatever	lépp
wheat	bele
wheel	pono
when	kañ
whenever	saa boo
where	fan
where are you	fan nga nekk
where are you from	fan nga bayyeekoo
where are you now	fo nekk nii
where do you live	fan nga dëkk
where is	fan
whereas	te
whether	wala
which	ban
while	ci diir
whisper	dex tëmb
whistle	wëliis
white	weex
who	kan
who are you	yaw yaay kan
who is	kañ
who is this	ki nu tooñ
whole	yépp
whom	kese
whose	Krio
why	Lu tax
why not	lunu yeesal yeesal
wicked	soxor
wide	yaatu
widow	ku fi nekkul
width	yaatuwaay
wife	jaba
wild	bu àll
will	bëgg-bëgg
willing	sopp
win	am ndam
wind	ngelaw jàdd
window	palanteer
windy	bari ngelaw
wine	sàngara
winter	seddaay
wipe	fompukaay
wire	buum
wisdom	xam-xam
wise	am xam-xam
wish	yéene
wish you all the best	di am
witch	njuuma
with	ak
withdraw	jël
withdraw	bàyyi
withdrawal	jël
within	ci biir
without	amul
witness	seede
witty	xelu
wolf	till
Wolof	Wolof
woman	jigéen
women	ay jigéen
won	jël dogal
won't	du man
wonder	laaj digal
wonderful	rafet na
wood	bant
wool	wëttéen
word	baat
words	ay baat
work	liggéey
work out	tàggat
working	liggéey
world	àddina
worm	sax
worn	sol
worried	jaaxle
worry	jaaxle
worse	yées
worship	jaam
worst	bi ci gën a bon
worth	njëg
worth it	jar na ko
worthy	jàppoon
would	dina
wound	ngagne
Wow	Waa
wrap	Lem NA
wrath	mer
wrist	tibb-jara
write	bind
Write here	Bindal fii
writing	bind
written	bind
wrong	wérul
wrong	baaxul
wrote	bindoon
yard	estati
yawn	óbbali
Yeah	Waaw
year	at
years	ay at
yeast	levure
yell	yóoxu
yellow	mbóoya
Yes	Waaw
yes baby	waaw bebe
yes dear	waaw sama soppe
yes honey	waaw sama xol
yes my love	waaw sama soppe
yes of course	waaw kay
yesterday	démb
yet	waaye
yield	yót
you	yow
you	yéen
you are	yaa ngi
you are beautiful	danga taaru
you are so beautiful	danga rafet lool
you are welcome	noo ko bokk
you can	mën nanu
You know	Xam nga
you too	yaw itam
you're welcome	noo ko bokk
young	ndaw
your	sa
your welcome	noo ko bokk
yourself	yaw sa bopp
youth	ndaw ñi
you’re welcome	ñoo ko bokk
yummy	neex
zero	tus
