ၼိူင်ႈဢၼ်	a
ဢမ်ႇႁူဝ်ဢမ်ႇႁၢင်	eternal
ၶိူဝ်းၵူၼ်း	ethics
တႅပ်းတတ်းၵႃႊၶၼ်	evaluate
တႅပ်းတတ်းၵႃႊၶၼ်	evaluation
သေတႃႉ	even
ႁဵတ်းႁိုဝ်ဝႃႈၵေႃႈ	even though
တၢမ်းၶမ်ႈ	evening
လွင်ႈပေႃႇပဵၼ်မႃး	event
ၵမ်းလိုၼ်းမႃး	eventually
တႃႇသေႇ	ever
ၵူႊ	every
ၵူႊၵေႃႉ	everybody
ၵူႊၵေႃႉ	everyone
ၵူႊလွင်ႈ	everything
ၶူဝ်းလၵ်းထၢၼ်	evidence
မိူၵ်ႈလိူင်း	evil
ၾိင်ႈပဵၼ်လႅၵ်ႈ	evolution
လႅၵ်ႈလၢႆႊ	evolve
ၶိူဝ်းဢိဝ်း	Ewe
ၵေႃႉၵဝ်ႇ	ex
တႅတ်ႈတေႃး	exact
တီႈတေႉမၼ်း	exactly
ပၢင်ထတ်ႈထိၼ်	exam
ၸႅတ်ႈႁႂ်ႈႁူႉ	examine
တူဝ်ယၢင်ႇ	example
လူၼ်ႉလိူဝ်	exceed
ၶႅမ်ႉတေႉတေႉ	excellent
ႁပ်ႉၶၢမ်ႇ	except
လိူဝ်ၼႆႉ	exception
တိူဝ်းတေႉ	excess
ၼမ်ႉလူၼ်ႉ	excessive
လႅၵ်ႈ	exchange
တိုၼ်ႇတဵၼ်ႈ	excited
ၸႂ်တိုၼ်ႇတဵၼ်ႈ	excitement
ၸႂ်တိုၼ်ႇတဵၼ်ႈ	exciting
ၸႂ်ႉတႃႇႁင်းၶေႃ	exclusive
ၶႅၼ်းတေႃႈ	excuse
ၵမ်းၵွၼ်ႇၶႃႈ	excuse me
ပၼ်တၢမ်ႇတၢႆ	execute
ပၼ်တၢမ်ႇတၢႆ	execution
ၵေႃပွင်ၸတ်းၵၢၼ်	executive
လဵၼ်ႈႁႅင်း	exercise
ၵၼ်ႊၽိုၵ်းလႅၼ်ႇ	exercise
တိုဝ်းၸႂ်ႉမူတ်းမူတ်း	exhaust
ၸႂ်ႉသဵင်ႈသဵင်ႈ	exhausted
ၶူဝ်းၶွင်ၼေႁၢင်ႊ	exhibit
ႁွင်ႈၼေၶူဝ်း	exhibition
တိုၵ်ႉလိပ်း	exist
မီးပဵၼ်ဝႆႉ	existence
မီးဝႆႉ	existing
ဢွၵ်ႇ	exit
ၶႂၢၵ်ႈၵႂၢင်ႈ	expand
မုင်ႈမွင်း	expect
မုင်ႈမွင်း	expected
ၵႃႊၸႂ်ႉၸၢႆႇ	expenses
ၵႃႊယႂ်ႇ	expensive
တူဝ်ထူပ်း	experience
တူဝ်ထူပ်း	experiment
ၽူႈလူင်ႉလႅၼ်ႇ	expert
ဢသၢၵ်ႈမူတ်းယဝ်ႉ	expired
သပ်းလႅင်း	explain
ၶေႃႈသပ်းလႅင်း	explanation
ၸုၼ်ႉ	exploit
ၶူၼ်ႉႁႃ	explore
တေႃႉသူင်ႇ	export
ၼေႁႂ်ႈႁၼ်လီ	expose
ၼေႁႂ်ႈႁၼ်လီ	exposed
ၶူၼ်ႉႁႃၼေ	exposure
ၸႅင်ႈၼႄ	express
ၶေႃႈၸႅင်ႈၼေ	expression
ၶႂၢၵ်ႈ	extend
ၶႂၢၵ်ႉ	extended
ၶႂၢၵ်ႈ	extension
တၢင်းၼမ်	extent
တႅၵ်ႈ	external
မူၺ်ႉယဝ်ႉ	extinct
ဢၼ်ပူဝ်ႇ	extra
ႁႅမ်ဢွၵ်ႇ	extract
တိူဝ်းဢၼ်ၽဵၼ်ႈၽဵၼ်ႈၼၼ်ႉ	extraordinary
ၸပ်းၽၢၵ်ႇႁႅင်း	extreme
ၶိုၵ်ႉၶႅမ်ႉ	extremely
မၢၵ်ႇတႃ	eye
တႃ	eyes
ပွတ်းတွၼ်ႊ ႁူင်းၵေႃႇသၢင်ႈ	fabric
ဢၢမ်းဢေႃး	fabulous
တေႃႇၼႃႈ	face
ၼႃႈတႃ	face
ႁႂ်ႈယဝ်ႉတူဝ်ႈငၢႆႈ	facilitate
ႁဵတ်းႁႂ်ႈယဝ်ႉငၢႆႈ	facilities
လႆႈမႃးငၢႆႈ	facility
လိူင်ႈပဵၼ်	fact
လွင်ႈတၢင်း	factor
ႁူင်းၸၢၵ်ႈ	factory
ၶေႃႈမုၼ်း	facts
သီမွင်ၵႃႇ	fade
လူႉသုမ်း	fail
တူၵ်းသုမ်း	failed
ၵၢၼ်ႉသုမ်း	failure
ႁႅင်းလဵၵ်ႉ	faint
ၽဵင်ႇပဵင်း	fair
ၽဵင်ႇပဵင်း	fairly
ၼၢင်းၽီၼႂ်းဢႃႊပုမ်ႇ	fairy
သႅတ်ႈၸႃႇ	faith
မီးသႅတ်ႉၸႃႇ	faithful
ဢၼ်ပွမ်	fake
ၼႃႈၶၢဝ်းၵတ်း	fall
လူမ်ႉ	fall
ၽိတ်း	false
လိုဝ်းလင်ႊ	fame
မိုတ်ႈၵိုဝ်းဝႆႉ	familiar
မုင်ႉႁေႃႁိူၼ်း	family
ဢိုပ်းႁႅင်ႈဢိုပ်းႁဵဝ်ႇ	famine
ၸိုဝ်းလိုဝ်းလင်ႊ	famous
ၵူၼ်းပၼ်ႁႅင်း	fan
ဝႂ်ႊၽတ်းလူမ်း	fan
တၢင်းဝူၼ်ႉ	fancy
ၶိုၵ်ႉၶႅမ်ႉ	fantastic
ၵႆ	far
သူင်ႇသင်ႇ	farewell
ၼႃး	farm
ၸဝ်ႈၼႃး	farmer
ၸၼ်ၸႂ်	fascinating
ၶူဝ်းၶိုတ်းၵၢပ်ႈ	fashion
ၽႂ်း	fast
ပီး	fat
ထိုင်တၢႆ	fatal
ၵၢမ်ႇႁၢႆႉ	fate
ပေႃႈ	father
ႁိူဝ်ႉဢူၼ်ႈ	fatigue
တၢင်းၽိတ်း	fault
လႆႈၸႂ်ႈသုတ်း	favorite
ၸွၺ်ႈထႅမ်	favour
လႆႈၸႂ်တီႈသုတ်း	favourite
ၵူဝ်ႁႄ	fear
ပၢင်ၵိၼ်မူႇ	feast
ၶူၼ်ၵႆႇ	feather
ႁႂ်ႈပႃး ဢၼ်လမ်ႇလွင်ႈ	feature
ႁၢင်ႊၽၢင်	feature
လၢၵ်ႇလၢႆး	features
ႁၢင်ႊၽၢင်	features
လိူၼ်သွင်	february
လဵင်ႉဝႆႉ	fed up
ၵႃႊၸွင်းၸေး	fee
လဵင်ႉ	feed
ပၼ်တၢင်းႁၼ်ထိုင်	feedback
ငိၼ်းထိုင်ၸႂ်	feel
ၸႂ်ႉၶုၺ်ႉႁူႉ	feeling
တိၼ်	feet
လူမ်ႉ	fell
ၽူႈၶဝ်ႈၸုမ်း	fellow
ၶုၺ်ႉ	felt
မေႊ	female
တႃႇႁူဝ်ႉ	fence
ၽုၼ်ႇမၼ်းလိၼ်လီ	fertile
ပၢင်ပွၺ်း	festival
ၵႂႃႇႁွင်ႉမႃး	fetch
ၼၢဝ်ၼူၵ်ႉ	fever
ဢိတ်းဢီႈ	few
ၵမ်ႉဢေႇ	fewer
ၵေႃႉမၼ်ႈ	fiance
ဝူၼ်ႉပဵၼ်ဢဝ်	fiction
ၵၢင်ပၢင်ႇ	field
မိူၵ်ႈမႂ်ႈ	fierce
သိပ်းႁႃႈ	fifteen
ႁႃႈသိပ်း	fifty
မင်ႈ	fight
ၶႄႉသဵင်ႇ	fight
ၶႄႉၶဵင်ႇ	fighting
မိူၼ်ႁၢင်ႊ	figure
ၶႅပ်းႁၢင်ႊ	figure
သၢင်းလၢင်း	figure out
ၽိုၼ်ၶေႃႈမုၼ်း	file
သႂ်ႇ	fill
ထႅမ်သႂ်ႇ	filled
ၸိူင်း	film
ႁႃႈသိပ်း	filthy
ၵမ်းလိုၼ်း	finally
ၵၢၼ်ငိုၼ်း တွင်း	finance
ၵၢၼ်ငိုၼ်းတွင်း	financial
ႁႃႁၼ်	find
သူၵ်ႈႁႃ	find out
ယူႇလီ	fine
ၼိဝ်ႉမိုဝ်း	finger
ယဝ်ႉတူဝ်ႈ	finish
ယဝ်ႉယဝ်ႉ	finished
ၾႆး	fire
ၵႅၼ်ႇၶႅင်	firm
လွင်ႈၵႅၼ်ႇၶႅင်	firm
ဢွၼ်တၢင်ႇသုတ်း	first
ၸိုဝ်ႈႁူဝ်ၼႃႈ	first name
မဵတ်းပႃ	fish
ပႃ	fish
တေႃႉတႄႉ	fit
ႁႃႈ	five
ၺႃးလီလီ	fix
မႄးႁဵတ်း	fixed
ၸွမ်ပိဝ်	flag
ၾႆႈမႅပ်ႈ	flash
လူမ်းၶိုၼ်ႈ	flat
ဢၼ်ၽႅပ်ႉ	flat
တၢင်းၽိတ်း	flaw
ဢမ်ႇမီးတီႈ ၸုတ်ႈယွမ်း	flawless
လႅၼ်ႈ	flee
သႅၼ်ႈသႂ်	flesh
မိၼ်	flew
သၢႆၾႆး	flex
ၵွတ်းလႆႈ	flexible
တၢင်းမိၼ်	flight
ဢဝ်မိုဝ်းတွၵ်ႈ	flip
လဵၼ်ႈပိူၼ်ႈ	flirt
ၸႂ်တူင်ႉတိုၼ်ႇ	flirting
ၽူး	float
ၼမ်ႉထူမ်ႈ	flood
ၸႂ်ႉတႂ်ႈ	floor
ၽွင်ၶဝ်ႈမုၼ်း	flour
ၼမ်ႉလႆ	flow
လႆလူင်း	flow
မွၵ်ႇယႃႈ	flower
ပဵၼ်ဢၢၼ်	flu
လႅၼ်ႇ	fluent
ႁူမ်ႇငမ်း	fluently
ၶူၼ်ပူင်းပူင်း	fluffy
ပဵၼ်ၼမ်ႉ	fluid
မိၼ်	fly
ပၵ်းၸႂ်	focus
သုၼ်ၵၢင်	focus
မွၵ်ႇဢိူမ်ႈ	fog
မွၵ်ႇဢိူမ်ႈ	foggy
တူပ်း	fold
ၸေႃႉလႅမ်	folks
ၸွမ်းလင်	follow
ၸွမ်းလင်မႃး	follow up
ၸွမ်းလင်	following
တၢင်းၵိၼ်	food
ငိူဝ်ႈ	fool
ၵူၼ်းယွင်ႇ	fool
ယွင်ႇၼႃႇ	foolish
တိၼ်	foot
မၢၵ်ႇၼင်လွမ်ႊ	football
တွၼ်ႈတႃႇ	for
တူဝ််ယၢင်ႇ	For example
ဢၼ်ပဵၼ်မႃး	for instance
တႃႇမႂ်း	for you
ၶေႃႈႁၢမ်ႈ	forbidden
ဢဵၼ်ႁႅင်း	force
လၢမ်းၶၢတ်ႈၶၢဝ်ႊၾႃႉ	forecast
ၼႃႈၽၢၵ်ႇ	forehead
မိူင်းၼွၵ်ႈ	foreign
ထိူၼ်ႇ	forest
တေႃႇၸူဝ်ႊ	forever
လိုမ်း	forget
ယွၼ်းတၢင်းၽိတ်း	forgive
လိုမ်းယဝ်ႉ	forgot
ၸေႃႉငႅမ်ႈ	fork
ပိူင်ၽၢင်	form
ၽိုၼ်တၢင်ႇလဝ်ႈ	form
ပိူင်ၽၢင်	formal
ယၢမ်ႈပဵၼ်	former
သုၼ်ႇလီ	fortunately
သုၼ်ႇ	fortune
သီႇသိပ်း	forty
သီႇသိပ်းသွင်	forty-two
သိုပ်ႇတင်းၼႃႈ	forward
လူလွမ်တူၺ်းထိုင်	foster
မင်ႈ	fought
သွၵ်ႈႁၼ်	found
ငဝ်ႈပိုၼ်ႉ	foundation
သီႇ	four
သိပ်းသီႇ	fourteen
မႃလိၼ်	fox
ၽုၺ်ႈ	fragile
ၶွပ်ႇ	frame
လွၵ်းၶွတ်ႇၽွတ်ႈ	framework
ယွၵ်ႇလႅၼ်	fraud
ၵူၼ်းၶလႅၵ်ႉ	freak
လၢႆလၢႆ	free
လွတ်ႈလႅဝ်း	freedom
လၢင်ႈ	freeze
လၢႆလၢႆၵမ်း	frequency
ပဵၼ်လၢႆလၢႆၵမ်း	frequent
ၵမ်းၵမ်း	frequently
သႅၼ်ႈသႂ်	fresh
ဝၼ်းၽတ်း	friday
တူႈယဵၼ်	fridge
ဢူၺ်းၵေႃႉ	friend
မေႃမိုတ်ႈၵိုဝ်း	friendly
ဢူၺ်းၵေေႃႉ	friends
တႆးၵေႃႉၵၼ်	friendship
တိုၼ်ႇ	frightened
တိုၼ်ႇ	frightening
ၶဵတ်ႇ	frog
မႃးတီႈ	from
တၢင်းၼႃႈ	front
လၢင်ႈၵတ်း	frozen
မၢၵ်ႇမႆႉ	fruit
ႁဵတ်းႁႂ်ႈလႅဝ်	frustrated
ၼမ်ႉမၼ်းယိူဝ်ႇ	fuel
ၶိူဝ်းၽူႇၽူႇတႄႇ	Fulfulde
တဵမ်	full
ႁုၼ်ႉၼူဝ်	fun
ပုၼ်ႈၽွၼ်း	function
ပိုၼ်ႉထၢၼ်ႈ	fundamental
မႃႇသႃႇ	funeral
ႁုၼ်ႉၼူဝ်	funny
ၶူၼ်	fur
ႁႅင်းႁႅင်း	furious
ၶူဝ်းႁိူၼ်းယေး	furniture
ၵႆတိူဝ်း	further
ထႅင်ႈတၢင်းၼိူင်ႈ	furthermore
ၶၢဝ်းၼႃႈ	future
ၼမ်ႉတွၼ်း	gain
မႅတ်ႈ	gain
တၢင်းလဵၼ်ႈ	game
ၵႃႇၵၼ်	gap
သိုင်ႇလူတ်ႉ	garage
ယုၵ်ႉယၢၵ်ႉ	garbage
သူၼ်မွၵ်ႇႁိူၼ်း	garden
ၽၵ်းလူဝ်	garlic
ၽၵ်းတူဝၢင်း	gate
ႁူမ်ႈၵၼ်	gather
ၸူႉတုမ်ၵၼ်	gathering
တီႈတၢင်းတႅၵ်ႈ	gauge
ပၼ်	gave
ၵီႇယႃႇ	gear
ၽွၵ်ႇ	gender
ၽဵၼ်ႈၽဵၼ်ႈ	general
ပေႃးဢဝ်ၽဵၼ်ႈဝႃႈ	generally
ပေႃႇပဵၼ်မႃး	generate
သႅၼ်းႁုၼ်ႈမႂ်ႇ	generation
ၸႂ်လီ	generous
ၺၢၼ်ႇလီ	genius
မဵဝ်းသႅၼ်းပၢႆးမွၼ်း	genre
ၽွၵ်ႇ	gentle
ၸၼ်ႉသုင်	genuine
ၼေတိၼ်ၼေမိုဝ်း	gesture
လႆႈ	get
လၢႆႊၶူဝ်း	get dressed
ၼွၼ်းလုၵ်ႉ	get up
တေလီမႃးယူႇ	get well soon
လႆႈမႃး	getting
ၽီၽဵတ်ႇ	ghost
ၽီမိၵ်ႉသႃႇ	ghosting
လူင်	giant
ၶူဝ်းတွၼ်ႈ	gift
ၶိင်	ginger
ယိင်းဢွၼ်ႇ	girl
ၸူႉ	girlfriend
ပၼ်	give
ယွမ်းသုမ်း	give up
ပၼ်ဝႆႉ	given
ႁူမ်ၸူမ်း	glad
ၵိုင်ႉၵၢင်ႉတူၺ်း	glance
ၵွၵ်းၵႅဝ်ႈ	glass
ၵႅဝ်ႈတႃ	glasses
ႁၼ်ၸငူႉၵဝၢႆႉ	glimpse
တင်းလူၵ်ႈ	global
လပ်းသိင်ႇ	gloomy
ဝႃႇမိုဝ်း	gloves
ၶဝ်ႈၸႂ်	glow
ႁိူဝ်ႈဢွၵ်ႇမႃး	glow
ၵေႃႉယႂ်ႇ	glow up
မုၵ်ၸပ်း	glue
ၵႂႃႇ	go
ၵႂႃႇႁူဝ်တေး	go ahead
ၵႂႃႇၵႆၵႆ	go away
ၵႂႃႇၼွၼ်း	go to bed
တႃႈယိူင်း	goal
ပဝ်ႉမၢႆ	goals
ပႄႉ	goat
ၾႃႉၸဝ်ႈ	god
ၾႃႉၸဝ်ႈယွၼ်းသူးပၼ်သူ	god bless you
ၵႂႃႇ	goes
ၵႂႃႇယူႇ	going
တေၵႂႃႇႁဵတ်း	going to
ၶမ်း	gold
ၵႂႃႇယဝ်ႉ	gone
တေႁဵတ်း	gonna
ႁဵတ်းၼႃႈဢီးလူ	goo
လီဢိူဝ်ႈ	good
မႂ်ႇသုင် ဝၢႆးဝၼ်း	good afternoon
မွၼ်းမွၼ်း	good bye
ဝၼ်းလီ	good day
မႂ်ႇသုင်တၢမ်းၶမ်ႈ	good evening
ႁဵတ်းလႆႈလီတေႉ	good job
ႁၢင်ႊလဝ်း	good looking
သုၼ်ႇလီ	good luck
မႂ်ႇသုင်ၵၢင်ၼႂ်	good morning
မႂ်ႇသုင်ၵၢင်ၼႂ် ၵေႃႉႁၵ်ႉ	good morning my love
မွၼ်းမွၼ်း ၼွၼ်းလပ်းဝၢၼ်ဝၢၼ်ၶႃႈ	good night
မွၼ်းမွၼ်း	goodbye
ၾၼ်လီ	goodnight
ၵုၼ်ႇ	goods
ၵူးၵႄး	Google
ၵူးၵႄး ပိၼ်ႇၾၢၼ်ၵႂၢမ်းလၢတ်ႈ	Google Translate
ႁၢၼ်ႇ	goose
လဝ်း	gorgeous
ၵႂၢမ်းမဝ်ၽၢင်း	gossip
လႆႈ	got
လႆႈယဝ်ႉ	got it
လူင်ပွင်ႊၸိုင်ႈ	government
ၸၵ်ႉဢဝ်	grab
ၸၼ်ႉႁဵၼ်း	grade
လွၺ်းလွၺ်းမႃး	gradually
လႆႈၶူး	graduate
မဵတ်ႉသၢၼ်	grain
ပၼ်ၶႂၢင်ႉ	grant
ပၼ်ၶႂၢင်ႉ	granted
မၢၵ်ႇဢိတ်ႇ	grapes
ဝၵ်ႉဝႆႉ	grasp
ယိူဝ်ႈယႃႈ	grass
ၸူမ်းထိုင်	grateful
ၶွပ်ႈၸႂ်	gratitude
လိုၵ်ႉလမ်ႇ	grave
သီမူၼ်ႇ	gray
ၶိုၵ်ႉၶႅမ်ႉ	great
လမ်ႇမၢၵ်ႈ	greed
ၸႂ်လမ်ႇမၢၵ်ႈ	greedy
သီၶဵဝ်	green
သိုပ်ႇမိုတ်ႈ	greet
သိုပ်ႇမိုတ်ႈ	greeting
သိုပ်ႇမိုတ်ႈ	greetings
သီမူၼ်ႇ	grey
ၶႅင်းၸီႇ	grid
တၢင်းမႆႈၸႂ်	grief
ၵၢပ်ႈ	grind
ဝၵ်းဝႆႉဝိုၼ်းဝိုၼ်း	grip
ၽၵ်းၶဵဝ်	grocery
ၸဝ်ႈမၢဝ်ႇ	groom
ႁၢဝ်ႈ	gross
လိၼ်	ground
ၸုမ်း	group
ႁုၼ်ႈယႂ်ႇမႃး	grow
ႁုၼ်ႈယႂ်ႇ	growth
ဝႆႉၼႃႈဢမ်ႇလီ	grumpy
ၶိူဝ်းၵႂႃႇရႅၼ်ႇၼီႇ	Guarani
ၶေႃႈႁပ်ႉပဝ်ႊ	guarantee
ၽူႈၵႅမ်တူဝ်	guard
လၢမ်းဢဝ်	guess
ၶႅၵ်ႇ	guest
ၼေတၢင်း	guidance
ၵူၼ်းၼေတၢင်း	guide
ၼေပၼ်တၢင်း	guide
ဢမ်ႇလုင်ႇတူဝ်	guilty
ၼေသူ	guy
ၵူၼ်းႁဝ်း	guys
လဵၼ်ႈႁႅင်း	gym
တၢင်းယၢမ်ႈ	habit
ၽိင်ႈယၢမ်ႈ	habitat
မီး	had
မၢၵ်ႇႁဵပ်း	hail
ၶူၼ်ႁူဝ်	hair
ၼိူင်ႈၶိုင်ႈ	half
ႁေႃ	hall
မိုဝ်း	hand
မိုဝ်းယိပ်း	handle
ႁၢင်ႈလဝ်း	handsome
ၽႅၼ်ဝႆႉ	hang
ဢဝ်ဢွၵ်ႇပႅတ်ႈ	hang out
ပဵၼ်မႃး	happen
ပဵၼ်မႃး	happened
တၢင်းသိူဝ်းၸႂ်	happiness
ဢၼ်မူၼ်ႈသိူဝ်း	happy
သူင်သိူဝ်းဝၼ်းၵိူတ်ႇၶႃႈ	happy birthday
မႂ်ႇသုင်ဝၼ်းၵိူတ်ႇ	happy birthday to you
သူင်သိူဝ်းပီႊမႂ်ႇ	happy new year
ဢၼ်ယၢပ်ႇ	hard
ယၢပ်ႇယၢပ်ႇ	hardly
ယၢပ်ႇတႃႇသေႇ	hardly ever
သၢင်ႊၸူဝ်ႈ	harm
တၢင်းသၢင်ႊ	harm
တိူဝ်ႉၸဵပ်း	harmful
လၢတ်ႈၸွမ်းသဵင်	harmony
ၵျၢမ်း	harsh
သိမ်းမၢၵ်ႇၶဝ်ႈတဝ်ႈၼမ်ႉ	harvest
မီး	has
ၸင်း	hate
မီး	have
ၵၢမ်ႇလီၼႃ	have a good day
ႁႂ်ႈပဵၼ်ဝၼ်းလိ	have a nice day
ၵိၼ်ၶဝ်ႈပၼ်ႈ	have breakfast
သိူဝ်းၸႂ်	have fun
သူၵိၼ်ယဝ်ႉႁႃႉ	have you eaten
မီးဝႆႉ	having
ႁတ်းၸုၼ်ႉ	hazard
မဵတ်ႉၼၢႆး	haze
မၼ်းၸၢႆး	he
မၼ်းမီး	he has
မၼ်းပဵၼ်	he is
ႁူဝ်	head
ႁူဝ်ၶႆႈ	headache
ယႃ	heal
ယူတ်းယႃ	healing
ယူႇလီ	health
ယူႇလီ	healthy
ငိၼ်း	hear
လႆႈငိၼ်း	heard
ႁူဝ်ၸႂ်	heart
ပၼ်ၾႆး	heat
မႆႈ	heat
မိူင်းၽီ	heaven
ၼၵ်း	heavy
ၸပ်းၼၢဝ်	hectic
တၢင်းသုင်	height
ၵေႃႉပုတ်ႈၶူဝ်းပုတ်ႈ	heir
ၸူၼ်	heist
ယိပ်းဝႆႉ	held
ငရၢႆး	hell
မႂ်ႇသုင်ၶႃႈ	Hello
မႂ်ႇသုင် ၵေႃႉႁၵ်ႉ	hello dear
မႂ်ႇသုင်။ ယူႇလီယူႇႁႃႉ။	hello how are you
မႂ်ႇသုင် ၸွင်ႇသူယူႇလီ	hello how are you doing
မၢၵ်ႇႁူဝ်ၵႅၼ်ႇ	helmet
ၸွၺ်ႈထႅမ်	help
ၶဝ်ႈတၢင်းၸွၺ်ႈထႅမ်	helpful
တႄႇၼႆႉၵႂႃႇ	hence
ၶူဝ်းမၼ်းၼၢင်း	her
ၽုင်ဝူဝ်းၵႂၢၺ်း	herd
တီႈၼႆႈ	here
ၶူဝ်းပုတ်ႈ	heritage
တူၼ်ႉႁူၼ်	hesitate
ႁိူၺ်ႉ	Hey
မႂ်ႇသုင်	Hi
မႂ်ႇသုင် ယူႇလီယူႇႁႃႉ	hi how are you
မႂ်ႇသုင်	Hi there
သိူင်ႇ	hidden
သိူင်ႇသိမ်း	hide
ၶပ်ႉလဵၵ်ႉတေႃႇယႂ်ႇ	hierarchy
ဢၼ်သုင်	high
ပၼ်ႁွၺ်း	highlight
ၶိုၼ်ႈလွၺ်	hike
ၶိုၼ်ႈလွၺ်	hiking
လီၶႂ်ႈၶူဝ်	hilarious
ၵုင်းလွၺ်	hill
မၼ်း	him
ၼေငိူၼ်ႈ	hint
ၵူၼ်ႈ	hip
ၵူၼ်ႈ	hips
ၸၢင်ႈ	hire
ႁပ်ႉႁဵတ်းၵၢၼ်	hiring
ၶွင်မၼ်း	his
ပိုၼ်း	history
ပၢႆးလႅင်ႊပိုၼ်း	history
တွၺ်ႇ	hit
ဢိုမ်း	Hmm
တၢင်းသူင်	hobby
ယိပ်းဝႆႉ	hold
ၵမ်ဝႆႉ	hold on
ႁူး	hole
ဝၼ်းလိုဝ်ႈ	holiday
ႁူႉလူမ်ႇ	hollow
ႁိူၼ်း	home
လိၵ်ႈၵၢၼ်ႁိူၼ်း	homework
သိုဝ်ႈယူဝ်း	honest
ဝႃႈသိုဝ်ႈသိုဝ်ႈ	honestly
ႁၵ်ႉဢိူၺ်း	Honey
ၽုင်း	honor
မုင်း	hood
မဵတ်း	hook
ယွပ်ႇ	hop
မုင်ႈမွင်း	hope
မီးတၢင်းမုင်ႈမွင်း	hopefully
ႁၢမ်းတၢင်းမုင်ႈမွင်း	hopeless
သိုဝ်ႈသိုဝ်ႈ	horizontal
ၶဝ်	horn
ႁၢၵ်းႁၢႆႉၼႃႇ	horrible
ၼႃႈလီၵူဝ်	horror
မႃႉ	horse
ႁူင်းယႃ	hospital
ႁပ်ႉၶႅၵ်ႇလႆႈလီ	hospitality
ၽူႈၵႂၼ်းထိင်း	host
ၵႂၢၼ်းထိင်း	host
ပၢၼ်းၽိတ်း	hostile
ဢၼ်မႆႈ	hot
ႁူင်းႁႅမ်း	hotel
ၸူဝ်ႊမူင်း	hour
ၸူဝ်ႊမူင်း	hours
ႁိူၼ်း	house
ၵၢၼ်ႁိူၼ်း	household
ၸိူင်ႉႁိုဝ်	how
သူလူး	how about you
ယူႇလီယူႇႁႃႉ	how are you
ၸွင်ႇယူႇလီ	how are you doing
မိူဝ်ႈၼႆႉမိူၼ်ၸိူင်ႉႁိုဝ်ဝႆႉ ယူႇလီယူႁႃႉ	how are you doing today
မိူဝ်ႈၼႆႉ ပဵၼ်ႁိုဝ်	how are you today
သူယူႇလီယူႇႁႃႉ	how do you do
ပဵၼ်ႁိုဝ်	how is
မီးၵႃႊႁိုဝ်	how many
ၵႃႊႁိုဝ်	how much
ၵႆႉၵႆႉပဵၼ်ႁိုဝ်	how often
ဢသၢၵ်ႈသူလႆႈၵႃႈႁိုဝ်	how old are you
သူပဵၼ်ႁိုဝ်ဝႆႉ	how was your day
ၶမ်ႈၼႆႉ ပဵၼ်ႁိုဝ်ၽွင်ႈ	how was your night
ၸိူင်ႉႁိုဝ်ၵေႃႈယဝ်ႉ	however
ငဝ်းလၢႆးလီ	hub
ၽူဝ်	hubby
လွင်ႈၵွတ်ႇ	hug
ၵွတ်ႇ	hug
ယႂ်ႇၵႂၢင်ႈ	huge
ၵူၼ်း	human
ယွမ်းတူဝ်	humble
ယမ်း	humid
ယိုၵ်းယမ်း	humidity
ၼိူင်ႈပၢၵ်ႇ	hundred
တွင်ႉမႆႈ	hungry
သုမ်ႉ	hunt
လူမ်းလႅင်ႉ ႁႃႇရီႇၵဵင်း	hurricane
ဝႆး	hurry
ဝႆးဝႆးလႄႈ	hurry up
ၸဵပ်းၸႂ်	hurt
ၽူဝ်	husband
မႄႈမွၵ်ႇယႃႈ	hustle
လိုပ်ႈဢွၵ်ႇ	hustle
သုမ်ႉ	hut
ၵဵင်ႈသႂ်တူဝ်ၶိင်း	hygiene
ၵဝ်	I
ႁဝ်းပဵၼ်	I am
ႁဝ်းယူႇလီယူႇ	I am fine
ႁဝ်းမေႃ	I can
ၵဝ်ဢမ်ႇမေႃ	I can't
ၵဝ်ဢိူဝ်ႈ	I do
ၵဝ်ဢမ်ႇႁူႉ	I do not know
ၵဝ်ဢမ်ႇပွင်ႇၸႂ်	I do not understand
ႁဝ်းဢမ်ႇလႆႈႁဵတ်း	I don't
ႁဝ်းဢမ်ႇႁူႉ	I don't know
ႁဝ်းဢမ်ႇပွင်ႇၸႂ်	I don't understand
ႁဝ်းဢမ်ႇပွင်ႇၸႂ် သူၶႂ်ႈမၢႆထိုင်သင်	I don't understand what you mean
ႁဝ်းဢမ်ႇပွင်ႇၸႂ်သူ	I don't understand you
ၵဝ်ဢမ်ႇႁူႉ	I don’t know
ႁဝ်းဢမ်ႇပွင်ႇၸႂ်	I don’t understand
ၵဝ်လၢမ်းတူၺ်း	i guess
ၵဝ်မီး	I had
ႁဝ်းမီး	I have
ႁဝ်းလႆႈပဵၼ်	I have been
ႁဝ်းၵေႃႈဝႃႈၼၼ်	I hope so
ႁဝ်းႁူႉဢိူဝ်ႈ	I know
ႁဝ်းလႆႈၸႂ်	I like
ႁဝ်းလႆႈၸႂ်သူ	I like you
ႁဝ်းႁၵ်ႉ	I love
ႁဝ်းႁၵ်ႉ ၸၢႆးႁဝ်း	I love my big brother
ႁဝ်းႁၵ်ႉပီႈသၢဝ်ႁဝ်း	I love my big sister
ႁဝ်းႁၵ်ႉပေႃႈႁဝ်း	I love my father
ႁဝ်းႁၵ်ႉၼွင်ႉၸၢႆးႁဝ်း	I love my little brother
