a little	сахал
policy	политика
polite	сăпайлă
pollution	вараланчăк
pond	пĕве
pool	бассейн
poop	пăх
poor	чухăн
pop	шаплаттарни
popular	сумлă
population	пурăнакан халăх
pork	сысна ашĕ
porridge	пăтă
port	порт
position	позици
positive	майлă
possess	тытса тăр
possession	пурлăх
possessive	камăнлăх
possible	пулма пултаракан
post	пĕлтер
post	пĕлтерӳ
postpone	кайрана хăвар
potato	çĕр улми
potential	пулма пултаракан
pound	стерлинг фунчĕ
poverty	чухăнлăх
power	хăват
powerful	хăватлă
practical	куллен усă курмалли
practice	хăнăх
practice	меслет
praise	мухта
prank	шалча
pray	кĕл ту
precious	хаклă
precise	тĕп-тĕрĕс
precisely	шăп та шай
predict	пулассине кала
prefer	мала хур
preference	мала хуни
pregnant	йывăр çын
prejudice	пĕлсех тăни
premises	пÿлĕм
premium	преми
preparation	хатĕрленÿ
prepare	хатĕрле
prepared	хатĕр
preposition	сӑлтавӗ
presence	пурри
present	хальхи
present	парне
present	халь
presentation	презентаци
preserve	хуп
president	президент
press	пусни
press	пус
pressure	пусăм
pretend	кӳште
pretty	илĕртӳллĕ
prevent	сирсе яр
previous	малтанхи
prey	тупӑш
price	хак
pride	мăнаçлăх
priest	священник
primary	пĕрремĕш
prime	чи лайӑххи
princess	принцесса
principal	аслă
prior	маларах
priority	приоритет
prison	тĕрме
privacy	пӗччен пулни
private	харпăр
privilege	çăмăллăх
prize	преми
probably	пулĕ
problem	ыйту
procedure	процедура
proceed	малалла тăс
process	тирпейле
process	процесс
produce	туса кăлар
product	продукт
production	производство
profession	професси
professional	професионал
profile	профиль
profit	тупăш
profound	тарăн шухăшлă
progress	прогресс
progress	малалла пыр
project	проект
prominent	палăрăмлă
promise	сăмах пани
promise	сăмах пар
promote	малалла яр
promotion	малалла кайни
prompt	хӑвӑрт
prone	хырăм çинче выртакан
pronouns	кала
pronunciation	сӑмах каланăвĕ
proof	çи витти
proper	тĕрĕс
properly	лайăх
properties	паллисем
property	пурлăх
proposal	сĕнӳ
prospect	малашлӑх
prosperity	вӑйлӑ аталанни
prosperous	ăнăçуллă
protect	хутĕле
proud	мăнаçлă
prove	кӑтартса пар
provide	тивĕçтер
provided	янтăланă
province	провинци
provision	саппас
puberty	çитĕнсе çитни
public	обществăлла
pull	турт
pumpkin	кавăн
punctual	пунктуаллӑ
pupil	вĕренекен
purchase	туян
pure	таса
purple	кĕрен
purpose	тĕл
purse	енчĕк
pursue	тытса пыр
pursuit	хӑвалани
push	чыш
put	хур
qualification	ăсталăх
quality	пахалăх
quantity	хисеп
quarantine	карантин
quarrel	тавлаш
quarrel	тавлашу
quarter	чĕрĕк
Quechua	Кечуала
queen	королева
queer	хӑйне евĕрлĕ
query	ыйту
question	ыйту
queue	черете тăр
queue	черет
quick	хăвăрт
quickly	хăвăрт
quiet	шăп
quilt	хайса çĕле
quit	çитет
quite	çителĕклĕ
quite	йӑлт
quiz	квиз
quotation	хакла сӗнӳ
quote	цитат
quote	цитатăла
quotes	кавычкăсем
rabbit	кролик
race	ăмăрту
rage	хаярлӑх
rain	çумăр
raise	çĕкле
raise	çĕклени
raised	çĕкленнĕ
ran	чупнă
random	суйласа
range	анлăш
rapid	вӑрт-варт
rapidly	ыткăнса
rare	сайра
rarely	сайра
rash	силлени
rat	йĕкехÿре
rate	хак
rather	пайтах
ratio	пропорци
rational	ăслă-тăнлă
raw	чĕртавар
reach	çит
reached	çитнĕ
reaction	реакци
read	вула
reading	вулани
ready	хатĕр
real	чӑн
reality	чăнлăх
realize	ăнкарса ил
realized	пурнӑҫа кӗртнӗ
really	чăннипех
rear	кайри
reason	сӑлтав
reasonable	рационаллӑ
recall	тепĕр хут шăнкăравла
receipt	рецепт
receive	ил
received	илнĕ
recent	тин
recently	нумаях пулмасть
reception	йышăну
recipe	рецепт
reckless	пахмат
recognition	паллани
recognize	палла
recommend	сĕн
recommended	сĕннĕ
record	çырни
record	çыр
recover	ҫӗнӗрен ту
recovery	юсав
rectangle	тӳркĕтеслĕх
red	хӗрлӗ
redeem	тÿлесе ил
redemption	хӑтару
reduce	пĕчĕклет
redundant	тепĕр хут
refer	пăх
reference	ссылка
reflect	ӳкерсе ил
reflection	сăнарланни
refrain	тытса чар
refrigerator	холодильник
refund	укçа-тенке тавăрса пани
refuse	ан килӗш
refused	йышӑнман
regard	мĕне те пулин пăхни
regarding	ҫыхăннӑ
regardless	пăхмасăр
regards	хисеплесе
region	регион
register	реестр
regret	пӑшӑрхан
regular	шавах
regularly	тӑтӑш
reject	тирке
relate	ҫыхăнса тăр
related	çыхăннă
relationship	хутшăну
relative	тăван
relative	тăванлăх
relatives	тӑвансем
relax	çемçел
release	хăтарни
release	хăтар
released	кăларнă
relevant	кирлĕ пек
reliable	шанчӑклӑ
relief	лăш кайни
relieve	хăтар
relieved	кăларнă
religion	тĕн
religious	тӗн
reluctant	хирĕç тăракан
rely	шанса тăр
remain	юл
remaining	юлашки
remarkable	паллă
remedy	пĕтер
remember	асту
remind	аса илтер
reminder	аса илтерни
remote	инçет
remove	кăларса ил
render	ту
rent	арендăла
repair	юса
repeat	тепĕр хут ту
replace	улăштар
reply	хуравла
reply	хурав
report	отчет ту
report	отчет
represent	паллаштар
reputation	чаплăлăх
request	ыйт
request	ыйту
require	ыйт
required	кирли
rescue	хăтар
research	тĕпчев
resemble	пӗрпеклӗхлĕ пул
resentment	тарăху туйăмĕ
reservation	резервлани
reserve	резерв
resident	резидент
resign	отставкӑна тух
resilience	пиçĕлĕх
resilient	пиҫӗ
resist	хирĕç тăр
resistance	хирĕç тăру
resolution	йышăну
resolve	шухăш тыт
resort	курорт
resources	ресурссем
respect	хисеп
respect	хисепле
respond	хуравла
response	хурав
responsibility	яваплăх
responsible	шанчăклă
rest	кан
rest in peace	тăпри çăмăл пултăр
restaurant	ресторан
restore	юсаса ҫитер
restrict	чар
result	результат
results	результатсем
resume	резюме
retail	расна суту-илÿ
retain	хăвар
retention	тытса чарни
retired	ӗҫрен кӑларнӑ
retreat	чак
retrieve	каялла тавăр
return	таврăн
reveal	уҫ
revealed	уҫнӑ
revenge	тавăру
revenue	тупăш
reverse	каялла
review	пăхса тухни
review	пăхса тух
revise	тепĕр хут ту
revision	редакци
revolution	революци
reward	чыслав
rhythm	ритм
rib	аяк пӗрчи
rice	рис
rich	пуян
rid	хӑтар
ride	кайса килни
ride	утлан
ridiculous	кулăшла
right	сылтăм
right	тĕрĕслĕх
right now	çак самантрах
rigid	хытă
ring	çĕрĕ
rinse	чÿхе
riot	култармăш
rip	ҫурӑлу
rip	çурăл
ripe	пиçнĕ
rise	ÿсни
rise	ÿстер
risk	хатарлăх
risk	хатарлан
rival	тупăшуçă
river	юхан шыв
road	çул
roast	ăшала
robust	патвар
rock	чул купи
rod	йĕпсе
role	вырăн
roll	рулон
roof	хупă
room	пÿлĕм
root	тымар
rope	кантра
rotten	пăсăк
rough	яка мар
roughly	тӳрккессӗн
round	саврака
route	маршрут
routine	яланхи
row	рет
rub	сăтăр
rubber	резина
rubbish	ӑпӑр-тапӑр
rude	евĕксĕр
rug	кавир
ruin	ишĕлчĕк
rule	правилă
ruler	линейка
rules	правилӑсем
run	чуп
running	чупу
rural	ялти
rush	вăркăн
rush	васкав
sack	мишук
sacred	сакраллă
sacrifice	парне кÿр
safe	хăрамалла мар
safe flight	хăрамалла мар вĕçев
safety	хăрушсăрлăх
sage	ӑслӑ ҫын
said	каларĕ
sail	парăс
sailing	карапа тытса пыни
sake	сăлтав
salary	шалу
sale	суту--илÿ
salmon	лосось
salt	тăвар
same	пĕрпек
Same here	Кунта çавăн пекех
sample	пример
sand	хăйăр
Sanskrit	Санскритла
sarcastic	сарказмлă
sassy	ҫивӗч чӗлхеллӗ
sat	лар
satisfaction	çырлаху
satisfied	кăмăлĕ тулнă
satisfy	тивĕçтер
satisfying	юрамалла
Saturday	шăмат кун
sausage	кăлпасси
savage	сĕмсĕр
save	хăтар
saw	курчĕ
say	кала
scale	виçе
scam	ултавлă ĕç
scar	йĕр
scarce	пурлă-ҫуклӑ
scared	хăранă
scarf	шарф
scary	хăратакан
scattered	сапаланчӑк
scene	сцена
scenery	пейзаж
scent	ырӑ шӑршӑ
schedule	график ту
schedule	график
school	шкул
science	наука
scientist	ученӑй
scientists	ăсчахсем
scissors	хачă
scold	ятла
scope	сфера
score	шут
scrap	татăк
scratch	шăйăрăлчăк
scream	кӑшкӑру
screen	экран
screw	винт
script	почерк
sea	тинĕс
seal	пичет
search	шырав
season	сезон
seat	вырăнти
second	иккĕмĕш
secret	вăрттăнлăх
section	секци
secure	хăрушсăрлантар
security	хăрушсăрлăх
see	кур
see you	тĕл пулапăр-ха
see you later	курнăçăпăр
see you soon	курнӑҫӑпӑр
see you tomorrow	ыранччен
seed	вăрлăх
seek	шыра
seem	туйăнать
seems	туйăнать
seen	курни
seize	ярса ил
seizure	конфискаци
seldom	сайра
select	суйла
self	хам
self healing	хăйне хăй сиплекен
selfish	хăй çине ытлашши шанакан
sell	сут
send	яр
send me your picture	сăн ÿкерчĕкне ман пата ярса пар
senior	аслă
sense	туйăм
sensible	ӑслӑ-тӑнлӑ
sensitive	сисчĕвлĕ
sent	отправленный
sentence	предложени
sentences	предложенисем
separate	уйрăм
Sepedi	Сепедила
september	авăн уйăхĕ
sequence	йĕрке
series	сери
serious	тарӑн шухӑшлакан
seriously	татăклă
serve	тивĕçтер
service	пулăшу
session	сесси
set	набор
set	наборла
set up	вырнаçтар
setting	параметрсем
settle	халăх пурăн
seven	çиччĕ
seventeen	вун çиччĕ
seventy	çитмĕл
several	темиçе
severe	йывӑр
sew	çĕле
shade	тӗс
shadow	мĕлке
shake	кисренӳ
shallow	ăшăх
shame	намăс
shape	форма
share	пайла
sharp	ҫивĕч
she	вăл
she has	унăн пур
she is	вăл
shed	витнĕ вырăн
sheep	сурăх
sheet	лист
shelf	çÿлĕк
shell	раковина
shelter	лупас
shield	щит
shift	смена
shine	çиç
ship	карап
shipping	турттарни
shirt	арçын кĕпи
shoes	туфли
shoot	пер
shop	лавкка
shopping	туяну
shore	çыран
short	кĕске
shortage	ҫитменлӗх
shot	ӳкерчĕк
shot	ӳкерчĕк ту
shoulder	хул пуççи
shout	кăшкăр
show	кăтарт
show	кăтарту
show me	мана кăтарт
shower	душ
shrimp	креветка
shrink	пĕчĕклетес
shut	хуп
shut up	хуп
shy	вăтанчăк
sibling	пĕр тăван
siblings	пĕр тăвансем
sick	чирлĕ
side	ен
sigh	ассӑн сывлани
sight	курăм
sightseeing	паллӑ вырӑнсене пӑхса çӳрени
sign	паллӑ
signature	алă пусни
significant	пĕлтерĕшлĕ
silence	шăплăх
silent	шăплăх
silk	пурçăн
silly	ăссăр
silver	кĕмĕл
similar	пĕрпек
simp	айван
simple	ахаль
simultaneously	пĕр вăхăтрах
since	унтанпа
sincere	таса чӗреллӗ
sincerely	тӳрĕ кăмăлпа
sing	юрлама
singer	юрăçă
single	пĕччен
sink	раковина
sink	анса кай
Sir	Господин
sister	йăмăк
sister in law	хӗрсем
sit	лар
site	площадка
situation	лару-тӑру
six	улттă
sixteen	вун улттă
sixty	утмăл
size	размер
skill	хăнăху
skills	ăслай
skin	тир
skinny	типшӗм
skip	сиктерсе хăвар
skirt	юбка
sky	тÿпе
slave	чура
sleep	çывăр
sleeping	çывăракан
sleepy	ыйхăллă
sleeve	çанă
slice	чĕлĕ
slice	чĕллĕн-чĕллĕн кас
slide	слайд
slightly	кăштах
slim	яштака
slip	вăрттăн тар
slope	тайлӑк
slot	хушăк
slow	ерипе
slowly	майпен
small	пĕчĕккĕ
smart	хӳхĕм
smell	шăршă
smile	кул
smile	кулă
smoke	тĕтĕм
smooth	яка
snack	ҫырткаламалли
snail	шуй
snake	çĕлен
snap	шĕкĕлче
snow	юр
so	çапла
so cute	питĕ çивĕч ăслă
so far	ку таранччен
soak	кĕлер
soap	супăнь
sober	урӑ ҫын
soccer	соккер
social	хутшăнма юратакан
society	общество
socks	нуски
soft	ҫемҫе
software	программа
soil	тăпра
sold	сутăннă
sold out	сутăннă
soldier	салтак
sole	атă-пушмак тĕпĕ
solid	хытă
solution	мел
solve	шутла
some	кăшт
somebody	камтăр
somehow	темле май
someone	камтӑр
something	мĕн те пулин
sometimes	хутран-ситрен
song	юрă
soon	час
sophisticated	çепĕç
Sorani	Соранила
sore	чирлĕрех
sore	ыратни
sore throat	пыр ыратни
sorrow	хуйхă
Sorry	Каçарăр
sort	уйăр
sought	шырамалли
soul	чун
soulmate	çывăх чун
sound	сасă
soup	яшка
sour	йӳçек
source	сӑлтав
south	кăнтăр
space	космос
spam	спам
span	хушă
Spanish	Испанла
spare	янтăлăх
spare	сыхла
speak	калаçма
special	юри
species	тĕс
specific	ятарлă
spectacular	курăмлă
speech	калаçу
speechless	чĕмсĕр
speed	хăвăртлăх
spell	сас паллисемпе кала
spend	тăккалан
spent	тăкакланă
spicy	шарак
spike	шӗвӗр вӗҫ
spin	çавăр
spinach	шпинат
spirit	хавал
spit	сирпĕт
splendid	капăр
split	пайл
split	пайлани
spoil	пăсăл
spoiled	пăсăк
spontaneous	питĕ хăвăрт
spoon	кашăк
spot	пăнчă
spouse	мăшăр
spread	сар
spring	çуркунне
square	квадрат
squeeze	пӑчӑртаса кӑлар
squid	кальмар
squirrel	пакша
stab	чик
stable	çирĕп
stack	хутлă-хутлă çӳлĕк
staff	штат
stage	картлашка
stain	морилка
stairs	картлашкисем
stake	шалчасемпе ҫап
stalk	мăнаçлăн ут
stall	киоск
stamp	пичет
stand	тăр
stand	стенд
standard	стандартлă
star	çăлтар
start	пуçла
started	пуçларĕ
starving	выҫӑллӑ-тутӑллӑ
state	кăтарт
state	хал
statement	çирĕплетсе калани
station	станци
statue	статуя
status	статус
stay	чарăн
stay	чарăну
stay safe	асăрхануллă пул
steady	çирĕп
steak	стейк
steal	вăрла
steam	пăс
steel	хурçă
steep	чӑнкӑ вырӑн
stem	кӗпҫе
step	утăм
stick	патак
stiff	пиçĕ мар
still	лăпкă
still	лăп
sting	сăнă
stingy	хыт кукар
stir	пăтрат
stock	янтă пурри
stolen	вăрланă
stomach	хырăм
stone	чул
stood	тăнă
stool	пукан
stop	чарăн
storage	управ
store	упра
storm	тăвăл
story	калав
stove	плита
straight	тӳрĕ
straightforward	тӳрĕ
strain	тăс
strange	тĕлĕнтермĕш
stranger	ҫул ҫӳревҫӗ
strategy	стратеги
straw	улăм перчи
strawberry	ҫӗр ҫырли
streak	çинçе йĕр
stream	юхăм
street	урам
strength	вӑй-хал
stress	пăлхану
stretch	турт
strict	çирĕп
strike	çап
string	хĕлĕх
strip	ансӑр йӗр
strive	пурнăçла
stroke	сулăм
strong	вăйлă
struck	çапнă
structure	тытăм
struggle	кĕрешӳ
struggle	кĕреш
struggling	кĕрешекен
stubborn	улшăнми
stuck	кĕрсе ларнă
student	студент
study	вӗренӳ
study	вӗрен
studying	вӗренӳ
stuff	япала
stunning	хăлхана çуракан
stupid	ухмах
style	стиль
subject	предмет
submission	пăхса тухма пани
submit	пăхса тух
substance	япала
substitute	вырнаҫтар
subtle	вăрттăн
succeed	преемник пул
success	ăнăçу
successful	ăнăçуллă
such	капла
such as	çавăн пек
suck	сăхса ил
sudden	кӗтмен ҫӗртен
suddenly	кĕтмен çĕртен
suffer	аптăра
suffering	асапланакан
sufficient	çителĕклĕ
sugar	сахăр
suggest	сĕн
suggestion	сĕнÿ
suit	тивĕçтер
suit	костюм
suitable	юрăхлă
suitcase	чăматан
sum	сумма
summary	сводка
summer	çулла
summit	аслă шайлă канашлу
sun	хĕвел
sunday	вырсарни кун
sunny	хĕвеллĕ
sunset	хĕвел анăç
sunshine	хĕвел çути
super	супер
superior	çÿлти
supervisor	тĕрĕслевçĕ
supper	каçхи апат
supply	илсе кил
supply	илсе килни
support	пулăшу
support	пулăш
suppose	шан
supposed	шухӑшлакан
sure	шанăçлă
surface	çий
surge	шăмпăлтату
surgery	хирург
surname	хушамат
surprise	кĕтменлĕх
surprised	тӗлӗннӗ
surrender	парăн
surrounding	таврари
surveillance	асăрхав
survey	тĕпчев
survey	тĕпче
survive	чĕрĕ юл
suspect	шанманлӑх
suspect	сиссе ил
suspended	çакăнса тăракан
suspicious	иккĕлентерекен
sustain	чăтса ирттер
sustainability	тавралăх патне тимлĕ пулни
sustainable	çирĕп
swag	усӑнса ан
swallow	чĕкеç
swap	ылмаштар
swear	тупа ту
sweat	тар
sweater	свитер
sweep	шăл
sweet	пылак
sweet dreams	тутлӑ тĕлĕксем
sweet tooth	пылак юратакан
sweetheart	пылак юратакан
swell	кÿпчесе кай
swelling	кӳпчени
swim	иш
swimming	ишев
swing	ярӑнчӑк
swing	суллан
switch	переключатель
switch	куҫар
swollen	шыçăннă
sword	хĕç
symbol	паллӑ
sympathy	симпати
symptoms	паллăсем
system	система
table	сĕтел
tackle	хатӗр-хӗтӗр
tag	тэг
tail	хÿре
take	ил
take away	илсе кай
take care	пăх
take off	салтăн
taken	илнĕ
talk	калаҫу
talk	калаҫ
talkative	калаçма юратакан
tall	ҫуллӗ
tap	шаккани
tap	шакка
tape	пленка
target	тӗл ларт
target	тӗл
task	хушнă ĕç
taste	тутан
taste	тутă
tasty	тутлă
taught	вӗрентрӗ
tea	чей
teach	вĕрент
teacher	вĕрентекен
team	команда
tear	ăнтăл
tears	куççуль
tease	чăркăш
technology	технологи
teeth	шăлсем
tell	каласа пар
tell me	мана кала
temper	екки
temperature	температура
temple	шаблон
temporary	вӑхӑтлӑх
ten	вуннă
ten thousand	вунă пин
tenant	хваттерте пурăнакан
tend	тайăл
tendency	тенденци
tender	тендер
tense	вăхăт
tension	карӑнтарни
tent	палатка
tentative	хӑюсӑр
term	термин
terms	терминсем
terrible	хӑрамалла
terrific	калама ҫук
territory	территори
test	тĕрĕслев
test	тĕрĕсле
text	текст
thank	тав ту
thank you	тавтапуç
Thank you for your patience while we investigate shipment	Тав сире чăтăмлă пулнăшăн эпир яракан япалана тĕрĕсленĕ вăхăтра
thank you so much	пысăк тав сана
thank you very much	пысăк тав
thanks	тав
Thanks for using our app	Тавтапуç пирĕн приложенипе усă курнăшăн
that	çав
that is	çак
that's good	ку лайăх
theft	вăрлани
their	вĕсен
them	вĕсене
theme	тема
themselves	хăйсемех
then	унтан
theory	теори
there	унта
there are	пур
therefore	эппин
these	кусем
they	вӗсем
they are	вĕсем
thick	хулăм
thief	вăрă
thigh	пĕçĕ
thin	çинçе
thing	япала
things	япаласем
think	шутла
third	виççĕмĕш
thirsty	ӗҫес килет
thirteen	вун виççĕ
thirty	вăтăр
this	ку
this is	ку
thorough	тӗплӗ
thoroughly	тĕплĕ
those	вĕсем
though	çавах
thought	шухăшланă
thought	шухăшла
thoughtful	шухăшлă
thoughts	шухăшсем
thousand	пин
thread	çип
threat	хăрушлăх
threaten	хăратса тар
three	виççĕ
threshold	чикĕ
thrilled	чӗтре
thrive	паркалан
throat	пыр
through	витĕр
throughout	пĕтĕм
throw	ывăт
thumb	пуç пÿрне
thunder	аслати
Thursday	Кĕçнерникун
thus	çавна пула
tick	тиклет
tide	юхӑм май иш
tidy	тирпейлĕ
tie	çых
tie	йăлă
tiger	тигр
tight	хивре
Tigrinya	Тигриньяла
time	вӑхӑт
timid	шиклĕ
tiny	пĕчĕк
tip	вĕç
tips	усăллă канашсем
tire	шина
tired	ывăннă
tissue	пусма
title	ят
to	еннелле
to be	пул
toast	гренок
today	паян
toddler	утма вӗренекен пӗчӗк ача
toes	ура пÿрни
together	пĕрле
toilet	туалет
told	каланă
tolerance	чăтăмлăх
tolerate	тÿс
tomato	помидор
tomorrow	ыран
tongue	чĕлхе
tonight	кĕçĕр
too	та
took	илчĕ
tool	мел
tools	мелсем
tooth	шăл
top	çӳлти
topic	тема
torn	ҫӗтӗк
torture	асап
total	пурĕ
touch	тĕкĕн
tough	хытă
tour	тур
toward	хирĕç
towards	хирӗҫ
towel	башня
town	пысăк мар хула
toxic	наркăмăшлă
trace	йĕр
track	йĕр
trade	суту-илӳ
trade	сутă ту
tradition	йăла
traditional	йăлана кĕнĕ
traffic	куçăм
trail	йӗрле
train	поезд
training	вĕрентÿ
trait	паллă уйрăмлăх
traits	пит-куҫ йӗрӗсем
transfer	куçар
transition	куҫни
translate	куçар
transparent	витӗр курӑнакан
transport	транспорт
transportation	турттарса куçар
trap	капкăн
trash	çÿп-çап
trauma	травма
travel	ҫул ҫӳре
tray	поднос
treasure	мул
treat	сипле
treatment	сыватни
tree	йывăç
tremendous	мăнă
trend	тренд
trial	тĕрĕслени
trick	чеелĕх
tried	тăрăшнă
trigger	тапратса ямалли япала
trigger	тапратса яр
trim	чутла
trip	ҫул ҫӳрев
trouble	ырă мар япала
trousers	йĕм
truck	грузовик
true	чăнлăх
trunk	хобот
trust	шанăç
trust	шан
truth	тĕрĕслĕх
try	тăрăш
Tsonga	Тсонгала
tube	пăрăх
Tuesday	Ытлари кун
tuition	вĕренÿшĕн тÿлемелли хак
turkey	кăркка
turmeric	куркума
turn	пăр
turtle	тимĕр шапа
tutor	воспитатель
twelve	вун иккĕ
twenty	çирĕм
twenty-one	çирĕм пĕрре
Twi	Твила
twice	икĕ хут
twist	пĕтĕр
two	иккĕ
type	тĕс
typical	кăтартуллă
ugly	сăнсăр
ultimate	татӑклӑ
umbrella	сунчăк
unable	пултарайман
uncle	пичче
unconscious	тӑнран кайнӑ
under	айĕнче
underneath	аялти пайĕ
underrated	кирлĕ пек хакламан
understand	ăнлан
understood	ăнланчĕ
unfortunately	шел
uniform	униформа
unique	пĕртен-пĕр
unit	пĕрре
university	университет
unknown	паллă мар
until	çитиччен
unusual	хайне евĕрле
up	çӳлте
up to you	санран килет
update	ҫӗнет
update	ҫӗнетни
upgrade	модернизациле
upgrade	модернизаци
upon	хыççӑн
upset	салху
urban	хулари
urge	васкат
urge	хăвăрт
urgent	хăвăрт
us	пире
use	усă курни
use	усă кур
used	усă курнă
useful	киревлĕ
useless	усăсăр
usual	яланхи пек
usually	куллен
utility	инженер тетелӗсем
vacation	каникул
vaccination	вакцинаци
vaccine	вакцина
vacuum	вакуум
vague	уçăмсăр
valid	вăйне çухатман
valley	айлӑм
valuable	хаклă
value	хак
value	хакла
variety	тĕрлĕлĕх
various	тĕрлĕрен
vary	уйрăлса тăр
vase	ваза
vast	пысăк
vegetable	пахча çимĕç
vegetables	пахча çимĕçсем
vehicle	грузовой машина
vendor	поставщик
venom	тарӑхтар
venture	предприяти
venue	ирттермелли вырӑн
verify	тĕрĕсле
versatile	тĕрлĕ енлĕ
version	верси
vertical	вертикальлĕ
very	питĕ
very good	питĕ лайăх
vessel	карап
via	урлӑ
vibe	сисĕм
vibes	туйăм
vicious	пăсăк
victim	инкек курни
video	видео
view	курăм
village	ял
villain	путсӗр
vinegar	уксус
vintage	винтажлӑ
violence	ирӗксӗрлӗх
violent	хаяр
viral	анлă саралнă
virgin	çын пырса тĕкĕнмен
virtual	чăн пурнăçри мар
virtue	чыслăх
vision	курӑну
visit	пырса кур
visit	пырса курни
visual	куçпа пăхма пулать
vital	пысăк пĕлтерĕшлĕ
vivid	курăмлă
vocabulary	сăмахсар
voice	сасă
void	вăйне çухатнă
volume	хисеп
volunteer	волонтер
vomit	хăс
vomit	хăсăк
vulnerable	амантма çăмăл
wage	ĕç укçи
wages	ĕçлесе илнĕ укçа
waist	пилĕк
wait	кĕт
waiter	официант
waiting	кĕтекен
wake	вăрат
wake up	тăр
walk	уҫӑлса ҫӳрени
walk	уҫӑлса ҫӳр
walking	уçăлса çӳрекен
wall	стена
wallet	енчĕк
wander	ҫӳре
wanna	кӑмӑл ту
want	сĕмлен
wanted	ыйтакан
war	вăрçă
wardrobe	гардероб
warehouse	склад
warm	ӑшӑ
warm	ӑшӑт
warn	систер
warning	асăрхаттару
warrior	çар ҫынни
was	пулнă
wash	çу
waste	салат
waste	ҫӳпӗ
watch	сăна
water	шыв
watermelon	арбуз
wave	хум
way	çул
we	эпир
we are	эпир
we can	эпир пултаратпăр
weak	халсăр
weakness	вӑйсӑрлӑх
wealth	пуянлăх
wealthy	пуян
wear	тăхăн
wearing	тумланнă
weather	ҫут-ҫанталӑк
wedding	туй
Wednesday	Юн кун
weed	çум
week	эрне
weekend	кану кунĕ
weight	виç
weight	виçе
weird	темĕскерле
welcome	ырă сунса кĕтетпĕр
welfare	ырлӑх
Well	Аван
well done	лайăх тунă
went	кайрĕ
were	пулчĕç
west	анăç
wet	йӗперех
whale	кит
what	мĕн
what about you	эсӗ мӗнле
what are you doing	эсир мĕн тăватăр
what are you doing now	халĕ эсир мĕн тăватăр
what are you doing right now	эсĕ халь мĕн тăватăн
what do you do	кам пулса ĕçлетĕр
what do you do for a living	эсĕ мĕн ĕçлесе пурăнатăн
what do you mean	эсĕ мĕн каласшăн кунпа
what do you want	сана мӗн кирлӗ
what happened	мĕн пулчĕ
what is	мĕн
what is this	ку мĕн
what is your job	эсĕ кам пулса ĕçлетĕн?
what is your name	эсĕ мĕн ятлă
what's up	мĕн пулчĕ?
what's your name	Эсĕ мĕн ятлă
whatever	кирек мĕн
wheat	тулă
wheel	кустăрма
when	хăçан
whenever	хăçан та пулин
where	ăçта
where are you	эсĕ ӑҫта
where are you from	ăçтан эсир
where are you now	эсӗ ӑҫта халь
where do you live	эсĕ ăçта пурăнатăн
where is	ăçта
whereas	шута илсе
whether	ши
which	хăшĕ
while	çав вăхăтрах
whisper	пăшăлтату
whistle	шăхличĕ
white	шурă
who	кам
who are you	эсӗ кам пулатӑн
who is	кам
who is this	кам ку
whole	пӗтӗмпех
whom	кама
whose	камӑн
why	мĕншĕн
why not	ма çук
wicked	сипетсĕр
wide	сарлака
widow	тăлăх арăм
width	анăш
wife	арăм
wild	тискер
will	ăнтăлу
willing	хаваллă
win	çĕнтер
wind	çил
window	чÿрече
windy	ҫиллӗ
wine	эрех
winter	хĕл
wipe	шăл
wire	пралук
wisdom	ăслăх
wise	ăс-халлă
wish	сун
wish	сунни
wish you all the best	сана чи пахине сунатăп
witch	тухатмăш
with	пĕрле
withdraw	каялла ил
withdrawal	чӗнсе ил
within	вăхăтĕнче
witness	свидетель
witness	кăтартса пар
witty	çивĕч ăслă
wolf	кашкăр
woman	хĕрарăм
women	хĕрарăм
won	çĕнтернĕ
won't	пулмастӑп
wonder	асам
wonderful	ытарма çук
wood	вутă
wool	çăм
word	сӑмах
words	сăмахсем
work	ĕçле
work	ĕç
work out	туса кăлар
working	ĕçлекен
world	мир
worm	ăман
worn	çĕтĕлнĕ
worried	хумханса кайнă
worry	пăшăрхан
worse	начартарах
worship	шута хуни
worst	чи япӑххи
worth	пахалӑх
worth it	тĕшне тăрать
worthy	тивӗҫлӗ
wound	суран
Wow	Ой-ой
wrap	чĕрке
wrath	витĕр тарӑху
wrist	алă сулли
write	çыр
Write here	Кунта çыр
writing	çыру ĕçĕ
written	çырнă
wrong	йăнăш
wrote	çырчĕ
yard	картиш
yawn	анасла
yawn	анаслу
Yeah	Ăхă
year	çул
years	çулсем
yeast	çĕпре
yell	çухăрни
yellow	сарă
Yes	Çапла
yes baby	çапла пепкем
yes dear	çапла, хаклă çыннăм
yes honey	çапла чунăм
yes my love	çапла манăн юратăвăм
yes of course	паллах
yesterday	ĕнер
yet	ха
yield	тухăçлăх
you	эсир
you are	эсĕ
you are beautiful	эсир хитре
you are so beautiful	эсир питĕ хитре
you are welcome	ырă сунса кĕтетпĕр
you can	эсĕ пултаратăн
You know	Эсĕ пĕлетĕн
you too	эсĕ те
you're welcome	ырӑ сунса кӗтетпӗр
young	çамрăк
your	сирĕн
your welcome	ырă сунса кĕтетпĕр
yourself	хам
youth	çамрăксем
you’re welcome	ырă сунса кĕтетпĕр
yummy	тутлă
zero	ноль
