кӀеззиг	a little
кхечу кепара	otherwise
кхечу тайпана	otherwise
деза	ought
тхан	our
Тхан декхар: Ӏаламах болу хаамаш синтеме хиларх массо а кхетор - иза нийса а ду.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Тхан декхар: Ӏаламан хаамаш системе балина иштта цуьнах массо а кхеташ волуш иза пайдане хиллийтар ду.	Our mission: to organize the world's information and make it universally accessible and useful.
чуьра ара	out
йист яккха	outcome
чекхдаккха	outcome
гӀирс	outfit
дӀадохьуьйту	outgoing
арадалар	outlet
контур	outline
арахула	outside
гӀараваьлла	outstanding
товха	oven
тӀехула	over
дӀо цига	over there
нийса аьлча	overall
тола	overcome
толам баккха	overcome
тӀехьарчо	overthinking
цецдаккхина	overwhelmed
аргӀаддахийтина	overwhelmed
дукхахберш	overwhelming
хила деза	owe
бухӀа	owl
долара	own
долахь	own
да	owner
долахо	owner
сту	ox
болар	pace
дӀахьарчор	pack
пакет	package
схьатекхаш	paid
лазар	pain
басардан	paint
сурт	painting
шиъ	pair
беса	pale
кераюкъ	palm
яй	pan
ун	pandemic
пандеми	pandemic
кхерадалар	panic
дохар	panic
хеча	pants
кехат	paper
ялсамани	paradise
тераниг	parallel
параллель	parallel
поштехула яийтина хӀума	parcel
бехк ма била	pardon
да-нана	parents
парк	park
тоти	parrot
чам бен буц	parsley
дакъа	part
дакъалацар	participate
билгалдина	particular
шадаьккхина	particular
къаьсттина	particularly
накъост	partner
декъашхо	partner
синкъерам	party
чекхдала	pass
чекхдалар	passage
чекхдаьлла	passed
даггара хилар	passion
даггара	passionate
партал	passive
пароль	password
дахнарг	past
хилларг	past
лелларг	past
дӀадаьлларг	past
йома	patch
некъ	path
гӀийла	pathetic
собар	patience
собаре	patient
сапаргӀат	patient
шаблон	pattern
бустам	pattern
сацангӀа	pause
некъ	pavement
мах дӀабала	pay
ахча дала	pay
мах балар	payment
дуьне	peace
машаре	peaceful
гӀаммагӀа	peach
бохь	peak
кхор	pear
хьормат	pear
кхоьш	peas
башхалле	peculiar
яздан	pee
чкъуьйриг	peel
цхьатерра	peer
тера	peer
нийсархой	peers
къолам	pen
къолам	pencil
хьежар	pending
нах	people
бурч	pepper
кхета	perceive
моьттург	perception
хетарг	perception
вуно дика	perfect
тоьлла	perfect
хӀоттор	perform
хӀоттам	perform
эвсаралла	performance
кхочушдар	performance
аьтто хиларе хьаьжжина	perhaps
аьтто баларе терра	perhaps
ницкъ ма-кхоччу	perhaps
мур	period
даим	permanent
диллина	permanent
цахеддаш	permanent
пурба	permission
магийта	permit
ондалла	perseverance
чӀогӀалла	perseverance
чӀогӀа	persistent
стаг	person
адам	person
шен	personal
шеггара	personality
адам	personality
перспектива	perspective
хиндерг	perspective
тешна хила	persuade
сийсаздаккхархо	pervert
цӀера дийнат	pet
фаза	phase
феномен	phenomenon
цецвоккхург	phenomenon
философи	philosophy
телефон	phone
сурт	photo
фраза	phrase
дешнийн кочар	phrase
ницкъаша	physical
физически	physical
харжар	pick
схьалахьо	pick up
сурт	picture
юьхк	piece
дакъа	piece
дакъош	pieces
хьакха	pig
кхокха	pigeon
оьла	pile
гӀайба	pillow
кемалелорхо	pilot
пин	pin
ананас	pineapple
ал-бос	pink
ор	pit
кховдор	pitch
далар	pitch
къинхетам	pity
меттиг	place
меттигаш	places
ун	plague
могӀара	plain
атта	plain
план	plan
Ӏалашо	plan
кема	plane
орамат	plant
ораматаш	plants
кад	plate
бошхап	plate
платформа	platform
тӀегӀа	platform
ловза	play
лакхара	playing
тамехьа	pleasant
там болуш	pleasant
Делан дуьхьа	please
резахилар	pleased
там	pleasure
закъалт	pledge
дукха	plenty
сюжет	plot
штекер	plug
хьач	plum
сантехник	plumber
дукхалин терахь	plural
подкаст	podcast
байт	poem
поэзи	poetry
тӀадам	point
дӀовш	poison
полици	police
политика	policy
гӀиллакхе	polite
сийсаздар	pollution
бехдар	pollution
Ӏам	pond
бассейн	pool
цӀано ян	poop
миска	poor
къен	poor
тата	pop
гӀараваьлла	popular
бахархой	population
хьакхин жижиг	pork
кенан худар	porridge
порт	port
дарж	position
меттиг	position
хьал	position
самукъане	positive
бакъхьара	positive
долалла	possess
долалла	possession
тӀеозаран	possessive
тарлуш ду	possible
хила тарлуш ду	possible
пост	post
юьстахдилла	postpone
картол	potato
потенциал	potential
гӀора	potential
пунт	pound
къоьлла	poverty
беркъалла	poverty
ницкъ	power
чӀогӀа	powerful
практикан	practical
практика	practice
зеделларг	practice
хестор	praise
харцхьалла	prank
доӀа дан	pray
деза	precious
мехала	precious
леррина	precise
леррина	precisely
прогноз яр	predict
тоьлуш	prefer
бакъахьа	prefer
бакъхьа хетар	preference
доьзалхочух	pregnant
берах	pregnant
бӀатилар	prejudice
таро хилар	premises
уггаре лакхарчу сортан	premium
кечам	preparation
кечдан	prepare
кечдинарг	prepared
бахьана	preposition
нисдалар	presence
тӀедар	presence
совгӀат	present
презентаци	presentation
довзийтар	presentation
лардар	preserve
паччахь	president
зорба	press
тӀетаӀор	press
тӀеӀаткъам	pressure
кеп лело	pretend
моттаргӀанаш лело	pretend
тайна	pretty
товш	pretty
ца дайта	prevent
дуьхьало ян	prevent
хьалхара	previous
даккхар	prey
мах	price
куралла	pride
мозгӀар	priest
хьалхара	primary
юьхь	prime
коьрта	prime
паччахьан йоӀ	princess
лакхара	principal
хьалххе	prior
приоритет ерг	priority
хьалхадаккха дезарг	priority
набахте	prison
къайлаха	privacy
долара	private
долахь	private
гӀоли	privilege
совгӀат	prize
хила торуш	probably
хила тарлуш	probably
хьовзам	problem
проблема	problem
гӀайгӀа	problem
процедура	procedure
хьесап	procedure
дӀадахьа	proceed
процесс	process
дан	produce
продукт	product
кхоллар	production
професси	profession
корматаллин	professional
профиль	profile
пайда	profit
кӀорга	profound
кхиам	progress
прогресс	progress
проект	project
гуш	prominent
ваӀда дан	promise
дош дала	promise
гӀодан	promote
хьаладаккхар	promotion
чехка	prompt
тӀера	prone
цӀерметдешнаш	pronouns
алар	pronunciation
тоьшалла	proof
нийса	proper
хила ма-дезза	proper
нийса	properly
хила ма-деза	properly
ладаме	properly
башхаллаш	properties
долалла	property
кховдо	proposal
перспектива	prospect
кхиам	prosperity
кхиош долу	prosperous
лардан	protect
кура	proud
тешо	prove
латтор	provide
кхачамбар	provide
гайтинарг	provided
провинци	province
латтор	provision
гӀеметтахӀоттар	puberty
юкъараллин	public
озор	pull
гӀабакх	pumpkin
дурсе	punctual
дешархо	pupil
эцар	purchase
цӀена	pure
цӀexo-сийна	purple
Ӏалашо	purpose
бохча	purse
тӀаьхьадаьлла лела	pursue
лар лаца	pursue
тӀаьхьадаьлла лелар	pursuit
татта	push
охьадилла	put
говзалла	qualification
квалификаци	qualification
дикалла	quality
барам	quantity
карантин	quarantine
эгӀар	quarrel
доьалгӀаниг	quarter
Кечуа	Quechua
паччахьан зуда	queen
тамашена	queer
хаттар	query
хаттар	question
рогӀехь	queue
рагӀ	queue
сиха	quick
чехка	quick
сиха	quickly
маса	quickly
меллаша	quiet
детта	quilt
пайдаэца	quit
лело	quit
реза хила	quite
дуьззина	quite
квиз	quiz
цитата	quotation
мах хадо	quote
дешнаш	quotes
пхьагал	rabbit
сихалла	race
дералла	rage
догӀа	rain
тӀедала	raise
деста	raise
хьалаайдина	raised
даздина	raised
дӀададар	ran
ларамза	random
диапазон	range
гуо	range
сиха	rapid
сиха	rapidly
нилха	rare
чорда	rare
наггахь	rarely
хьара	rash
кхарта	rash
мукадахка	rat
балл	rate
чехкаха	rather
сихаха	rather
дозуш хилар	ratio
эвсаре	rational
тӀуьна	raw
юха	re
кхачадала	reach
тӀекхача	reached
реакци	reaction
деша	read
дешар	reading
кийча	ready
долуш дерг	real
баккъал	real
бакъдерг	reality
кхочушдан	realize
кхета	realize
кхета	realized
баккъал	really
тӀехьара	rear
бахьана	reason
хьекъале	reasonable
хетарг алар	recall
чек	receipt
схьаэца	receive
схьаэцнарг	received
дукха хан йоццуш	recent
дукха хан йоццуш	recently
тӀелацар	reception
рецепт	recipe
кхетамбоцу	reckless
хьекъалдоцу	reckless
довзар	recognition
кхета	recognize
хьехам бар	recommend
хьехош дийриг	recommended
дӀаяздан	record
юхаметтахӀотта	recover
юхаметтахӀоттор	recovery
нийса саберг	rectangle
цӀен	red
мах дӀабала	redeem
схьаэца	redeem
бехктакхар	redemption
лахдан	reduce
кӀезиг дан	reduce
жимдан	reduce
дукха	redundant
дан	refer
тӀедозар	reference
юхатоха	reflect
юхатохар	reflection
сатохар	refrain
шелорг	refrigerator
рефрижиратор	refrigerator
ахча юхадерзор	refund
дуьхьал хилар	refuse
дуьхьал хила	refused
ларам	regard
доьзна	regarding
хьакхалуш	regarding
пусар доцу	regardless
ларамца	regards
меттиг	region
кӀошт	region
регион	region
регистраци ян	register
дагахьбаллам	regret
даима а	regular
диллина	regular
даим	regularly
юхататта	reject
дозуш хила	relate
дихкина	related
гергарло	relationship
зӀе	relationship
юкъаметтиг	relationship
гергара стаг	relative
гергара нах	relatives
малдала	relax
арахеца	release
кхочушдан	release
мукъадаккха	release
арахецна	released
мегаш	relevant
торуш долу	relevant
тешаме	reliable
атто	relief
паргӀатдаккха	relieve
аттачу дала	relieved
дин	religion
динан	religious
хьайна	reluctant
лаам боцу	reluctant
дог ца догӀу	reluctant
тешар	rely
саца	remain
диса	remain
сацийра	remaining
башха	remarkable
гӀирса	remedy
дагадан	remember
дагадаийтар	remind
дагадаийтар	reminder
дӀехьадаьккхина	remote
юьстахдаьккхина	remote
арадаьккхина	remote
дӀадаккхар	remove
юхаэцар	remove
юхадаккхар	remove
дан	render
аренде эца	rent
йоле диллина схьаэца	rent
тодар	repair
юха ала	repeat
хийцар	replace
жопдалар	reply
довзийтар	report
хаамбар	report
довзийта	represent
ларам	reputation
репутаци	reputation
жоп дехар	request
схьадеха	require
юхадеха	require
схьадоьхург	required
кӀелхьалдаккхар	rescue
таллар	research
зер	research
эха	resemble
эргӀаддала	resentment
дӀалацар	reservation
тӀаьхьало	reserve
вахархо	resident
дӀавалар	resign
ондалла	resilience
онда	resilient
дуьхьало ян	resist
дуьхьало	resistance
резолюци	resolution
жамӀ	resolution
жамӀе кхача	resolve
курорт	resort
аьргаллаш	resources
ресурсаш	resources
ларар	respect
ларам	respect
дакъалаца	respond
жоп	response
жоьпалла	responsibility
жоьпаллин	responsible
мукъахилар	rest
садаӀар	rest
Маьрша Ӏилла	rest in peace
ресторан	restaurant
юхаметтахӀотто	restore
доза тухуш	restrict
жамӀ	result
хилам	result
хилам	results
юхадоладала	resume
терзанахь узуш дохкар	retail
латтор	retain
сацор	retention
мукъа хилар	retired
духадалар	retreat
даха	retrieve
даккха	retrieve
юхадерзо	return
юхадало	return
схьаделла	reveal
билгалдина	revealed
бекхам	revenge
тӀедогӀург	revenue
юхадогӀу	reverse
хьажар	review
зер	review
юхахьажар	revise
юхахьажар	revision
революци	revolution
совгӀат	reward
ритм	rhythm
пӀенда	rib
дуга	rice
бахам болу	rich
хьал долу	rich
дехаш долу	rich
хьалхадаккхар	rid
эха	ride
лела	ride
лартӀахь доцу	ridiculous
бакъ ду	right
нийса ду	right
аьтту агӀор	right
хӀинца	right now
декъа	rigid
шога	rigid
го	ring
хӀоз	ring
чӀуг	ring
дитта	rinse
хича хьакхо	rinse
дила	rinse
гӀаттам	riot
хадор	rip
хилла долу	ripe
айар	rise
кхераме хила	risk
кхерам латта	risk
кхерамбала	risk
къийсархо	rival
хи	river
некъ	road
кхарза	roast
тешаме	robust
онда	robust
рок	rock
гӀад	rod
декхар	role
дечун дакъа	role
рулон	roll
тхов	roof
чоь	room
орам	root
тӀийраг	rope
дахкаделла	rotten
морса	rough
шога	rough
чорда	roughly
горга	round
маршрут	route
маьӀна доцу болх	routine
могӀа	row
хьекхо	rub
резаьнка	rubber
нехаш	rubbish
морса	rude
шога	rude
куз	rug
дохор	ruin
бакъо	rule
паччахь	ruler
урхаллча	ruler
бакъонаш	rules
дада	run
вадар	running
юртара	rural
юртан	rural
сихалла	rush
гали	sack
деза	sacred
сагӀа дан	sacrifice
кхерамза	safe
маьрша гӀойла	safe flight
кхерамзалла	safety
хьекъалча	sage
элира	said
гата	sail
парус	sail
гатанан спорт	sailing
сакэ	sake
алапа	salary
дохкар	sale
лосось	salmon
туьха	salt
тера	same
иштта	same
изза	Same here
масал	sample
гӀум	sand
Санскрит	Sanskrit
Ӏиттарш яр	sarcastic
кӀоршаме	sassy
хиина Ӏийна	sat
тамхилар	satisfaction
тоаме далор	satisfaction
тоаме	satisfied
кхачаме	satisfied
кхачамбар	satisfy
кхачамехь	satisfying
шот	Saturday
йоьхь	sausage
къиза адам	savage
вон адам	savage
акха адам	savage
Ӏалашдан	save
тӀечӀагӀдан	save
гира	saw
ала	say
кхачо	scale
масштаб	scale
афера	scam
тешнабехк	scam
бозбуанчалла	scam
мо	scar
зене	scarce
кхерийна	scared
шарф	scarf
инзаре	scary
дӀасакхийсина	scattered
сцена	scene
пейзаж	scenery
хьож	scent
график	schedule
раж	schedule
ишкол	school
Ӏилма	science
дешна стаг	scientist
Ӏалам нах	scientists
тукар	scissors
дов дан	scold
доза	scope
дукхалла	scope
барам	scope
чот	score
кӀозалг	scrap
мӀараш таса	scratch
махцарг	scratch
мохь	scream
экран	screen
винт	screw
скрипт	script
хӀорд	sea
мухӀар	seal
лахар	search
зама	season
охьахоийла	seat
шолгӀа	second
къайле	secret
секци	section
декъар	section
кхерамзалла	secure
кхерамзалла	security
ган	see
гур ду вай	see you
тӀаьхьа гур ду вай	see you later
гур ду вай	see you soon
кхана гур ду вай	see you tomorrow
хӀу	seed
леха	seek
хетадала	seem
хетало	seems
гина	seen
схьалаца	seize
доладерзор	seizure
наггахь	seldom
харжар	select
ша	self
шен дарбанаш лелор	self healing
дегала	selfish
саьхьара	selfish
дохка	sell
дахийта	send
хьажо	send
хаьйн сурт даийта суна	send me your picture
лакхара	senior
хаам	sense
кхетамчохь долу	sensible
экама	sensitive
дӀадахьийтар	sent
кховдор	sentence
кховдор	sentences
къаьстина	separate
дӀакъаьстина	separate
Сепеди	Sepedi
сентябрь	september
цхьаьнадар	sequence
башхаллаш	series
билгалонаш	series
сереш	series
леррина	serious
баккъал	seriously
хьашт кхочушдан	serve
гӀуллакх дар	service
сесси	session
эцар	set
хӀотто	set up
дӀахоттор	setting
чухаа	settle
ворхӀ	seven
вуьрхӀитта	seventeen
кхузткъе	seventy
масех	several
буьрса	severe
тегар	sew
ш	sh
ӀиндагӀа	shade
ӀиндагӀ	shadow
дегадар	shake
дийр ду	shall
кегий	shallow
гомха	shallow
жима	shallow
эхь	shame
васт	shape
кеп	shape
барам	shape
декъадала	share
ира	sharp
и	she
иза	she
цуьнгахь ду	she has
иза	she is
божал	shed
жий	sheep
тахта	sheet
дакъа	sheet
агӀо	sheet
цастар	sheet
терхи	shelf
лахьорч	shell
тховкӀело	shelter
турс	shield
такхар	shift
лепа	shine
кема	ship
дӀадахьар	shipping
коч	shirt
мачаш	shoes
тохар	shoot
туька	shop
туькана вахар	shopping
эцарш дан	shopping
хийист	shore
доца	short
оьшуш хилар	shortage
далар	shot
тохар	shot
хила тарло	should
хила мега	should
белш	shoulder
мохь	shout
гайта	show
гайта суна	show me
душ	shower
луьйчийла	shower
креветка	shrimp
жимдалар	shrink
хабар	shrink
дӀакъовла	shut
дӀакъовла	shut up
эсала	shy
эхье	shy
ваша-йиша	sibling
вежарий	siblings
йижарий	siblings
цомгуш	sick
сиркхо	sick
агӀо	side
синош даха	sigh
хьажар	sight
бӀаьргтохар	sight
езачу меттигашка хьажар	sightseeing
томмагӀа	sign
куьг яздар	signature
ладам боллуш	significant
кхачаме	significant
тийналла	silence
тийна	silent
дера	silk
Ӏовдал	silly
дети	silver
тера	similar
хӀилланзаниг	simp
цхьалха	simple
цхьана хеннахь	simultaneously
дуьйна	since
тӀера дӀа	since
даггара	sincere
даггара	sincerely
лекха	sing
эшаршлакхархо	singer
цхьалха	single
ной	sink
чо	sink
чоь	sink
Сэр	Sir
йиша	sister
маьрйиша	sister in law
хиина Ӏан	sit
сайт	site
хьал	situation
ситуаци	situation
ялх	six
ялхитта	sixteen
кховзткъе	sixty
барам	size
карадерзар	skill
карадерзинарг	skills
Ӏаьмнарг	skills
зеделларг	skills
цӀока	skin
оза	skinny
чекхдалийтар	skip
юбка	skirt
стигал	sky
гӀарбаш	slave
наб ян	sleep
набъяр	sleeping
набаран	sleepy
пхьош	sleeve
цастар	slice
гу	slide
меллаша	slightly
дуткъа	slim
шерша	slip
басе	slope
слот	slot
меллаша	slow
мела	slowly
кегий	small
жима	small
хьекъале	smart
хьожа	smell
делакъажа	smile
кӀур	smoke
шера	smooth
тӀекхаллар	snack
этмаьӀиг	snail
лаьхьа	snake
тӀах дан	snap
ло	snow
хӀета	so
иштта	so
оццул	so
хьомсара	so cute
хӀинца а	so far
малар	soak
саба	soap
дахаза	sober
футболан	soccer
юкъараллин	social
юкъаралла	society
пазаташ	socks
кӀеда	soft
программан кхачам	software
латта	soil
доьхкина	sold
доьхкина	sold out
салти	soldier
айра	sole
онда	solid
сацам	solution
къаста	solve
цхьаверг	some
цхьадерг	some
цхьаъ	somebody
мухха а	somehow
муьлхха	someone
цхьа хӀума	something
цхьамма	something
цхьана хенахь	sometimes
наггахь	sometimes
илли	song
кеста	soon
сихха	soon
чолхе	sophisticated
зеделла	sophisticated
Сорани	Sorani
даӀ	sore
къамкъарг лазош	sore throat
гӀайгӀа	sorrow
къинтӀера вала	Sorry
Бехк ма била	Sorry
литта	sort
дӀасакъасто	sort
лахара	sought
са	soul
гергара стаг	soulmate
аз	sound
гӀара	sound
суп	soup
муьста	sour
хьост	source
къилбе	south
шорте	space
тӀурнене	space
космос	space
стигал	space
спам	spam
нехаш	spam
юкъ	span
Испахойн	Spanish
тӀаьхьалонан	spare
къамел дан	speak
къаьсттина	special
кеп	species
леррина	specific
битаме	spectacular
къамел	speech
дистцахирг	speechless
сихалла	speed
неӀалт	spell
дохкар	spend
дайина	spent
кӀон	spicy
кӀохцал	spike
хьийзор	spin
шпинат	spinach
са	spirit
туйнаш кхийсар	spit
исбаьхьа	splendid
декъа	split
талхор	spoil
талхина	spoiled
цахетарг	spontaneous
Ӏайг	spoon
томмагӀа	spot
майра	spouse
даржор	spread
бӀаьсте	spring
майда	square
тӀетаӀор	squeeze
кальмар	squid
тарсал	squirrel
ур	st
урс тохар	stab
чӀагӀделла	stable
барз	stack
рагӀ	stack
хоьла	stack
персонал	staff
рагӀ	stage
томмагӀа	stain
лами	stairs
дакъа	stake
гӀодам	stalk
ога	stall
мухӀар	stamp
латта	stand
стандарт	standard
седа	star
дӀадолор	start
долина	started
мацала хьоьгург	starving
пачхьалкх	state
дехар	statement
станци	station
хӀоллам	statue
статуя	statue
статус	status
хьал	status
саца	stay
диса	stay
Ӏан	stay
ларлуш хила	stay safe
цхьабосса	steady
цхьана хьесапехь	steady
стейк	steak
кхаьрзина жижиг	steak
лечкъо	steal
Ӏаь	steam
болат	steel
Ӏункар	steep
бух	stem
ког	step
тӀетаса	stick
сацо	stick
тӀетоха	stick
декъа	stiff
шога	stiff
юха а	still
цхьана эшшара	still
цхьабосса	still
ю тоха	sting
пис	stingy
новкъарло	stir
ларма	stock
лачкъина	stolen
хьер	stomach
тӀулг	stone
лаьтташ хила	stood
гӀант	stool
саца	stop
сацар	stop
хьаьтта	storage
ларма	storage
туька	store
ларма	store
шайтӀан мох	storm
истори	story
экъа	stove
нийса	straight
къайле йоцуш	straightforward
дог цӀена	straightforward
тӀетаӀор	strain
тамаше	strange
цавевзарг	stranger
стратеги	strategy
ча	straw
цӀазам	strawberry
аса	streak
долуш хила	stream
хила	stream
урам	street
ницкъ	strength
стресс	stress
дохалла	stretch
къовламе	strict
тийна	strict
тохар	strike
могӀа	string
аса	strip
гӀерта	strive
тохар	stroke
чӀогӀа	strong
ницкъала	strong
эшна	struck
дӀахӀоттам	structure
къийсам	struggle
къийсам	struggling
аьрха	stubborn
сонта	stubborn
дисина	stuck
студент	student
Ӏамо	study
талла	study
Ӏамор	studying
материал	stuff
хӀума	stuff
цецвоккху	stunning
Ӏовдал	stupid
стиль	style
хӀума	subject
субъект	subject
муьтӀахь дар	submission
тӀечӀагӀдан	submit
хӀума	substance
хийцар	substitute
дуткъа	subtle
кхиаме	succeed
аьтто	success
кхиаме	successful
ишта	such
цунах терра	such as
цӀубдан	suck
цӀаьххьана	sudden
цӀеххьана	suddenly
бала хьега	suffer
бала хьегар	suffering
кхачаме	sufficient
шекар	sugar
хьехам бан	suggest
ала	suggest
хьеха	suggest
алар	suggestion
мегаш долу	suit
мегаш долу	suitable
чамда	suitcase
барам	sum
резюме	summary
жамӀ	summary
аьхке	summer
вовшах кхетар	summit
малх	sun
кӀиранде	sunday
маьлхе	sunny
малх чубузар	sunset
маьлхан серло	sunshine
супер	super
дикаллица билгалвериг	superior
куьйгалхо	supervisor
пхьор	supper
кхачо	supply
дала	supply
латто	supply
гӀо	support
ойла хила	suppose
дагадан	suppose
моьтту	supposed
дера	sure
тӀехуле	surface
тӀехулара	surface
тулгӀе	surge
хирурги	surgery
фамили	surname
дайн цӀе	surname
совгӀат	surprise
цецваьлла	surprised
каравахар	surrender
гонахара	surrounding
терго	surveillance
ледара	survey
дийна диса	survive
дегабаам	suspect
оьллинарг	suspended
сацийнарг	suspended
шеконе	suspicious
шеконан	suspicious
чӀагӀдан	sustain
чӀогӀа хилар	sustainability
цхьана эшшара	sustainable
къепал	swag
салпал	swag
къурдаш дан	swallow
хийцар	swap
дуй	swear
хьацар	sweat
пазаткоч	sweater
свитер	sweater
нуй хьакха	sweep
мерза	sweet
наб беркате хуьлда	sweet dreams
мерза хӀума езарг	sweet tooth
хьомениг	sweetheart
дестар	swell
дестар	swelling
нека дан	swim
нека дан	swimming
техко	swing
дӀайойъург	switch
лакъорг	switch
дистина	swollen
тур	sword
символ	symbol
васт	symbol
безам	sympathy
симптомаш	symptoms
система	system
шун	table
текх	table
кечамаш	tackle
билгало	tag
цӀога	tail
схьаэца	take
дӀадахьа	take away
юьхьаръэца	take care
тӀелаца	take care
гӀайгӀа бан	take care
эца	take off
схьаэцнарг	taken
мотт бийца	talk
къамел дан	talk
вистхила	talk
къамеле	talkative
лекха	tall
кран	tap
лента	tape
Ӏалашо	target
Ӏалашо	task
чам	taste
мерза	tasty
гӀоьртина	taught
чай	tea
Ӏамо	teach
хьехархо	teacher
команда	team
тоба	team
этӀо	tear
бӀаьрхиш	tears
хичаш ян	tease
технологи	technology
цергаш	teeth
дийца	tell
ала соьга	tell me
характер	temper
температура	temperature
килс	temple
ханна	temporary
итт	ten
итт эзар	ten thousand
йолах нехан хӀума лелориг	tenant
арендатор	tenant
болам баржа	tend
терго ян	tend
тенденци хила	tend
тенденци	tendency
тендер	tender
гӀоьртина хьал	tense
тӀетаӀор	tension
гӀортор	tent
гӀаж	tent
хьалххе	tentative
хан	term
хьелаш	terms
къемате	terrible
къиза	terrible
инзардоккху	terrific
доза	territory
таллам	test
тест	test
текст	text
мел	than
иза доцург	than
баркалла	thank
баркалла	thank you
Тхо дӀахьажийна довллалц сатохарна баркалла хьуна	Thank you for your patience while we investigate shipment
докха баркалла ду шуна	thank you so much
доккха баркалла ду хьуна	thank you very much
баркалла	thanks
Баркалла тхан хьехамах пайда эцарна	Thanks for using our app
дӀогарниг	that
иза	that
вуьшт аьлча	that is
иза дика ду	that's good
лачкъор	theft
церан	their
церан	them
тема	theme
шайн	themselves
цул тӀаьхьа	then
тӀаккха	then
теори	theory
дӀога	there
цига	there
цигахь	there are
иза ду	there is
цундела	therefore
уьш	these
уьш	they
уьш бу	they are
стомма	thick
къу	thief
варе	thigh
дуткъа	thin
хӀума	thing
хӀуманаш	things
ойла ян	think
кхолгӀа	third
хьагдала	thirsty
ткъе итт	thirteen
ткъе итт	thirty
и	this
иза	this
иза ду	this is
леррина	thorough
дикка	thoroughly
уьш	those
хӀета а	though
мукъа а	though
амма	though
ойла	thought
хетарг	thought
ойлане	thoughtful
ойланаш	thoughts
эзар	thousand
хьаса	thread
кхерам	threat
кхерам таса	threaten
кхоъ	three
неӀсагӀа	threshold
синтем байна	thrilled
зазадаккха	thrive
къамкъарг	throat
бахьаница	through
чекх	through
тӀехула	through
чекх	throughout
кхийса	throw
нанапӀелг	thumb
стигал къовкъар	thunder
еара	Thursday
оцу кеппара	thus
билгалдаккхар	tick
хӀорд тӀекхетар	tide
дурсе	tidy
галстук	tie
цӀоькъалом	tiger
чорда	tight
дуткъа	tight
Тигринья	Tigrinya
хан	time
зама	time
ийзалург	timid
жима	tiny
хьехам	tip
чайнан хӀума	tips
зоьпар	tire
гӀорасиз	tired
кӀаддала	tired
кӀеда	tissue
цӀе	title
хила	to be
тост	toast
тахана	today
кога доьду бер	toddler
когапӀелгаш	toes
цхьаьна	together
туалет	toilet
аьлла	told
сатохар	tolerance
сатохар	tolerate
помидор	tomato
кхана	tomorrow
мотт	tongue
тховса	tonight
кхин а	too
а	too
схьаэцна	took
гӀирс	tool
инструмент	tool
инструменташ	tools
церг	tooth
лакхара	top
тоьлла	top
тема	topic
датӀийна	torn
Ӏазап	torture
дерриг	total
куьг Ӏоттар	touch
чӀогӀа	tough
тур	tour
дуьхьал	toward
агӀор	toward
дуьхьал	towards
агӀор	towards
гата	towel
гӀала	town
дӀаьвше	toxic
лар	trace
некъан аса	track
некъ	track
дохкар	trade
ламаст	tradition
ламастан	traditional
трафик	traffic
лар	trail
цӀерпошт	train
хьехар	training
Ӏамор	training
амалан башхалла	trait
сизаш	traits
меттахдаккхар	transfer
дехьавалар	transition
гочдар	translate
чекх са гун	transparent
транспорт	transport
дӀадахьар	transportation
гура	trap
нехаш	trash
чов	trauma
кхарста	travel
араваьлла лела	travel
лоток	tray
хазна	treasure
дарба лело	treat
дарба лелор	treatment
дитт	tree
доккху	tremendous
тенденци	trend
зеран	trial
зуьйш	trial
хӀилла	trick
гӀоьртира	tried
лаг	trigger
тодар	trim
кхарстар	trip
лелар	trip
вахар	trip
бала	trouble
хеча	trousers
кирлелош йолу машен	truck
бакъдерг	true
багажник	trunk
теша	trust
бакъдерг	truth
хьажа	try
Тсонга	Tsonga
трубка	tube
биргӀа	tube
шинара	Tuesday
Ӏамор	tuition
Туркойн мохк	turkey
куркума	turmeric
paгӀ	turn
уьнтӀапхьид	turtle
репетитор	tutor
шийтта	twelve
ткъа	twenty
ткъе цхьаъ	twenty-one
Тви	Twi
шозза	twice
твист	twist
шиъ	two
тайпа	type
тайпаналлин	typical
цӀармата	ugly
ирча	ugly
тӀаьхьара	ultimate
четар	umbrella
хьолехь цахилар	unable
деваша	uncle
ненаваша	uncle
кхетаме доцу	unconscious
кӀел	under
кӀел	underneath
богӀу мах ца хадийна	underrated
кхета	understand
кхийтира	understood
дакъазалла	unfortunately
униформа	uniform
башха	unique
дустаран барам	unit
университет	university
вевзаш воцу	unknown
нагахь санна и ца	unless
оцу тӀе кхаччалц	until
хӀетталц	until
башха	unusual
ирх	up
хьала	up
хьуна хаа мега	up to you
дуза	update
карладаккха	update
хийца	update
карладаккха	upgrade
хенахь	upon
телхина	upset
халахетар	upset
цатам	upset
гӀалин	urban
самадаккха	urge
сиха	urgent
тхуна	us
пайдаэцар	use
лелор	use
пайда эцнарг	used
пайде	useful
пайде доцу	useless
гуттар	usual
гуттар а	usually
даима а	usually
пайда	utility
мукъа хан	vacation
балхах садоӀу денош	vacation
вакцинаци	vaccination
дарба	vaccine
вакцина	vaccine
вакуум	vacuum
къастанза	vague
билгалза	vague
нийса	valid
бакъдолу	valid
тогӀе	valley
мехала	valuable
мах	value
мехалла	value
маьӀна	value
башхалла	variety
тайп-тайпаналла	variety
башхалла йолуш	various
