a	with
quarter	vegher
Quechua	Quechua
queen	torkwase
queer	cimin
query	mbapin
question	kwaghpinen
queue	nongo
quick	fese
quick	fele
quickly	fesefese
quiet	Ving
quilt	de
quit	de
quite	jimin cii
quiz	kyaren
quotation	avur
quotation	nger
quote	or kwagh la voughur
quotes	ivur
rabbit	alom
race	ayem
rage	iyugh
rage	ishima vihin
rain	ura
raise	Kende
raised	yese
ran	yevese
random	ngenangena
range	atô kposo kposo
rapid	fele
rapidly	fele
rare	ban
rarely	aan a an
rash	nure eren
rash	gagh
rat	ihyev
rate	inyaregh
rather	kpa
ratio	iyenge
rational	sha kwaghfan
raw	kô
re	he
reach	ar
reached	nyor
reaction	ieren
read	Ôr
reading	ôron
reading	ôr
ready	kohol iyol
ready	kegh iyol
real	kpookpoo
real	mimi
reality	kwagh umimi
realize	mumbur
realized	kav er
really	Mimi nee
rear	ken jime
reason	ityôkyaa
reasonable	fatyô
reasonable	ityôkwagh
recall	umbur
receipt	lishii
receive	ngohol
received	ngohol
recent	ainge
recently	nyen nyen
recently	ahegen-ahegen
recently	ndor-ndor
reception	ngohol
recipe	akaa ayorun
reckless	daangdaang
recognition	kav
recognition	iwuese
recognize	kav
recognize	fa
recognize	kaven
recommend	tesen or kwagh
recommended	kaa
record	nger ver her
recover	ngohol
recover	hide
recovery	hide taver
recovery	sôron
rectangle	kokonan
red	nyian
redeem	yima
redeem	paa
redemption	yima
reduce	songor
reduce	goho
reduce	pande
redundant	nger gande
refer	tesen apegenegh
reference	i ter
reflect	gbidye kwar
reflection	tesen
refrain	palegh
refrigerator	firiiji
refund	hiden ami
refuse	venda
refused	venda
regard	icivir
regarding	sha kwagh
regardless	sha nahan kpaa
regards	mna isughun
region	tiôn tar
register	ati a ior man akaa
regret	afanyô
regular	fele fele
regularly	haanma shie
reject	venda
relate	zough
relate	zua
related	war zolun
relationship	mwe
relationship	ikyar
relative	tsombur
relatives	tsombor
relatives	angbianev
relax	memnya
release	pase
release	osogh
released	pase
relevant	ngi a inja
reliable	ngu u suur sha
relief	shiman gban shin mi
relieve	mpeveryol
relieved	mkpeyol
religion	kwagh aondo
religious	kwaghaondo
reluctant	ihwev
rely	ver ashe
remain	shi
remaining	shi her
remarkable	gbenda u vesen
remedy	sôr
remember	umbur
remind	umbur mo
reminder	umbur
remote	ke atotoho
remove	dugh sha
render	nan
rent	haiya
repair	sor
repeat	kimbir
replace	dugh wa ugeen
reply	na ikyaa
report	ibaver
represent	tile sha ityou ki
reputation	mbamhen mbaior sha or
request	kwagh sônon
request	sôn
require	gba pe
required	gba
rescue	duen akwagh ken zaiyol sha
research	Kwaghtovôn
resemble	bee
resentment	shima vihin ker
reservation	ver sha ciu
reserve	ver
resident	ushirmbaiorov
resident	or ya
resign	de tom
resilience	taver shima
resilience	ishima wan
resilient	ishimawan
resist	venda
resist	hendan
resistance	hendan a
resolution	mkur u kwagh
resolve	kure
resolve	sôr
resort	hingir
resort	gema
resources	akaa a
respect	civir
respond	ngohol
respond	ungwa
response	mlumun
responsibility	mba mgbe
responsible	tom
rest	mem
rest in peace	mem ken bem
restaurant	ijiir i teen kwaghyan
restore	hide
restrict	nyume ian i eren kwagh
result	rizôtu
results	due
resume	hii
retail	tee cukucuku
retain	hide
retention	ver
retention	umbur akaa
retired	ordentom
retreat	hide jime
retrieve	hinde
retrieve	dugh
return	hide
reveal	yôô
revealed	mpase
revealed	uyoon
revenge	iyevoron
revenue	nyaregh ki zua ami
reverse	hinden lun
reverse	kôr gema
review	kengese
revise	sor
revise	nyôôso
revision	shinde sôr
revolution	numgban
reward	iyuwa
rhythm	ityoughlov
rib	hwan
rice	cinkafa
rice	cingapa
rich	shagbaor
rid	ta kera
rid	tim
ride	henda
ride	kwaghhendan
ridiculous	kunya kor
right	Iyan
right now	hengen
rigid	norom ikyaa
ring	iyou ki ke we
rinse	elegh
riot	num
rip	ande
rip	tsuwe
ripe	via
rise	kôndo
risk	eren kwagh cier iyol
rival	henda
river	waa
road	gbenda
roast	gbagh
robust	kpishi
robust	ngee
rock	iywen
rock	vande
rod	iyough
role	tomwam
roll	menger
roof	haa ku ya
room	ijiir i tsan
room	ian
room	iyou
root	mise
rope	kor
rotten	hoo
rough	shua shua
roughly	shainjaga
round	gbilititi
route	gbenda
routine	eren vough
row	nongu
rub	koo
rubber	loba
rubbish	ibumekwagh
rubbish	ihyôghnough
rude	gemgem
rug	rog
ruin	vihin kwagh
rule	tindi
ruler	tor
rules	atindi
run	yevese
running	yevese
running	ayem
rural	agar
rush	torough
sack	zenda
sacred	icighan
sacrifice	iyuwa
safe	war
safe flight	zende sha girgi u doo
safety	kuran yol
sage	kwaghfan
said	ôr
sail	nyôr tso
sailing	tso u nahan
sake	ci
sake	sha a ci
salary	injaatom
sale	teen
salmon	kusugh
salt	baa
same	môm
Same here	mo kpaa
sample	ikyav
sand	inya
Sanskrit	Sanskrit
sarcastic	hom
sassy	tswam
sat	tema
satisfaction	mkom
satisfied	kuma
satisfy	kuma
satisfying	kumam
Saturday	sati
sausage	nyam
savage	vihi tu
save	ver
save	kura
saw	yan m nenge
say	or
scale	kyaren
scam	aiye
scar	iyolough
scarce	taver zuwan ami
scared	Mciem
scared	Cian
scarf	adikpo
scary	cieriyol
scattered	sambe wue wue
scene	ijiir
scene	tembe
scenery	ijiir
scenery	akongo
scent	ihuma
schedule	ver aynge
school	makeranta
school	sukuu
science	sainsi
science	sangen yeke
scientist	Mbatôvonkwaghfan
scientists	mbahenkwagh
scissors	keshi
scold	zoho
scope	kwagh u alu ker yo
score	akaaôron
scrap	avur
scratch	agher
scream	genger
scream	ngor
screen	jingi
screw	kusa
script	kwaghngeren
sea	tyeku
seal	ikyagen
seal	varen
search	keren
season	shighe
seat	kwagh teman
second	sha uhar
secret	kwagh myer
section	vegher
secure	kuran
secure	mbakuran
security	kura
see	nenge
see you	nenge awe
see you later	saa shie gen
see you soon	saa shi se nenge
see you tomorrow	se nenge kper
seed	isham
seek	ker
seem	kam er
seems	Kam er
seen	nenge
seize	kor vernya
seizure	ngohol shaage
seldom	Fe eren
select	sange
self	yol yam
self healing	sorun iyol you
selfish	wa bo
sell	tee
send	tindi
send me your picture	tindim a foto wou
senior	ortamen
senior	orvesen
sense	kwaghfan
sensible	kwaghfan
sensitive	fan akaa fele
sent	tindi
sentence	ingyeren
sentences	ingyeren
separate	ver kposo
separate	pav
Sepedi	Sepedi
september	wer u sha utaankar unyiin
sequence	sha aver aver
series	akaa eren
serious	vesen
seriously	tsung
seriously	beelee ga
serve	er or tom
service	eren tom
session	shighe
set	tim
set	hôn
set up	ver voughur
setting	shighe
settle	memnya
seven	utaan kar uhar
seventeen	puekar utaan kar uhar
seventy	akunduatar gber
several	kpishi
severe	vihi kpishi
sew	kor
sh	sh
shade	mule
shadow	jijingi
shake	tsongur
shall	alu
shallow	za shimi ga
shallow	Kpôôkpôô
shame	kunya
shape	mlu
share	bur
share	kwar
share	ci
sharp	ese
she	un
she has	kwase la
she is	kwase la
shed	cii
sheep	yongu
sheet	bamber kwagh
shelf	lwagh veren kyav
shell	igbende
shell	kwembe
shelter	ijiir i memen
shield	kura
shift	kporum
shine	wanger
ship	giigi mnger
shipping	tindin a kyav
shirt	liga i gba ave
shirt	sheti
shoes	akov angahar
shoot	ta
shop	ijir i teen kwagh(noun)
shop	yamen kwagh(verb)
shopping	yamen akaa
shore	kpe ifi
short	tiôn
shortage	yina
shot	tume
shot	ta
should	nahan
shoulder	vandegh
shout	nande
shout	ngoo
shout	genger imo
show	tese
show me	tesem
shower	iyoloon
shrimp	ishu
shrink	hide jime
shut	senda
shut up	cir dzwa
shy	cia ashe
sibling	angbian
siblings	an gbyanev
sick	Dedoo ga
side	kpe
sigh	shii shima
sight	kenger
sight	nenge
sightseeing	ahumne
sightseeing	zende kenger
sign	sain
sign	ikyav
signature	wegh ku wan
significant	vesen
silence	ahuan
silent	viin
silk	silk
silly	tumbulu
silver	azurufa
similar	imba
simp	ibumeor
simple	taverga
simultaneously	eren akaa ahar shien mon
since	Ashen je
sincere	mimi
sincerely	sha mimi
sing	gber icam
singer	or gberen icham
single	kwav
single	gbenger
sink	mile
Sir	orvesen
sister	an gbyan u kwase
sister in law	won u kwase
sit	tema
site	ijiir
situation	mlu
six	ateratar
sixteen	pue ka uteratar
sixty	akundu atar
size	cukuu
size	kehe
skill	tomavee
skills	tor avee u fan
skin	kwavyologh
skinny	kehe ga
skip	aver
skirt	shikee
sky	kwavaôndo
slave	kpan
sleep	yav
sleeping	yaven
sleepy	mnyam
sleeve	wegh ku riga
slice	kpenkwagh
slide	dorugh sha kwagh
slightly	cukuutso
slim	kpuaa
slim	cuku
slip	osough
slip	lyemen
slope	vegher uwo
slot	ian
slow	teelee
slowly	kule kule
small	kiriki
small	cuku
small	kpuaa
smart	tsera tsera
smart	tsev tsev
smell	huma
smile	sen
smoke	mnyim
smooth	lue-lue
snack	kuese
snail	Ikyôr
snake	iyô
snap	tôô photo
snap	ta hwa
snow	kpikpishi
snow	iikpii
so	Je
so	Nahan
so cute	dooshima
so far	sha nahan yo
soak	ma
soap	chahul
sober	kundu shima
sober	sambe
sober	teghlee
soccer	bol u gbidyen
social	mkombo
social	iniongo
society	tar
socks	hingir
soft	taver ga
software	kômputa
soil	inya
sold	tee
sold out	tee bee
soldier	orshoja
sole	tseegh
solid	gbanggbang
solution	sôr mzeiyol
solution	shilishôn
solve	bee zaiyol
some	A ngen
some	Mba ngen
somebody	or
somehow	gbem tsô
someone	or
something	kwagh
sometimes	ashie ngenen
song	icam
soon	fese
sophisticated	kwagh taver
Sorani	Sorani
sore	avav a ken
sore throat	gôngul u nyion
sorrow	mzungu
sorrow	ijungwen
Sorry	M sugh u
sort	sor ver
sought	keren
soul	uma
soulmate	shioryam
sound	ayoosu
soup	iue
sour	iangen
sour	ange
source	imbor
south	shi yange milen
space	ian
spam	loho mba byumev
span	mtse
span	anyom
Spanish	mba lamen dzwa u ken spain
spare	tsegha
speak	lam
special	ishima tsung
special	inja tsung
species	akaa a maren kposokposo
specific	jighilii
spectacular	kpilighyol
speech	kwaghorun
speechless	orkondonikyer
speed	ayem
spell	supeli
spend	vihi
spent	vihi
spicy	tsee mkem
spike	ser
spin	dzomun
spinach	ashwe
spirit	jijingi
spit	ijer
splendid	doo je gande
split	pav
spoil	vihi
spoiled	vihi
spontaneous	kar e ishima
spoon	cokeli
spot	acôghor
spot	ijiir
spouse	iyaagh
spouse	kwase
spread	wumbur
spread	tar
spread	gbukugh
spring	hwembe
spring	nule
square	sukwia
square	tembe
squeeze	kam
squid	nyam mger
squirrel	alom
st	orjighjigh
stab	kuma
stable	zanyol ga
stable	tenger ga
stack	injuku
staff	gbough
staff	mbatomov
stage	tsembe
stain	ii
stairs	gbenda u unden sha
stake	tahav ken kwagh
stalk	dondon
stall	kor tile
stamp	ikyav
stand	tilesha
standard	tandad
star	ishan
start	hii
started	hiin
starving	ijen
state	Siteiti
statement	ikyaan
station	tashan
statue	imaagh
status	iaven
stay	lu her
stay safe	lu tsembelee
steady	tile jiilaa
steak	nyam bua
steal	iv
steam	tulugh
steel	iyôgh
steep	tingir
stem	tine
step	iaven
step	tôô angahar
stick	kon
stiff	taver
still	girgir
sting	ta
stingy	vihi kwagh
stir	tuur
stir	kende
stir	mgbegha
stock	ikyav mbi teen cii
stolen	ii
stomach	gbor
stone	iwen
stood	tile
stool	kwagh teman
stop	tile
stop	de
storage	koso
storage	koson
store	ijiir kosun akaa
storm	hiar
storm	ahumbeaura
story	injakwagh
story	kwaghhir
stove	imienger
straight	jighilaa
straight	orototo
straightforward	jighligh
strain	mnyion
strange	cier iyol
strange	kpiligh iyol
stranger	orvanya
stranger	fa nan ga
strategy	gbenda
straw	apee
strawberry	ityamegh
streak	usough
stream	tungu
street	godobi
strength	agee
stress	mvoor
stretch	nalegh
strict	taveraa
strike	ta sha agee
string	idzuan
strip	dugh
strive	nôngo
stroke	kpe vesgh mon
strong	taver
struck	gbidye
struck	ta
structure	kwagh maan
struggle	iniôgon
struggling	nôngon
stubborn	taver ityough
stubborn	gen
stuck	taver
student	mbayevmakeranta
study	kwagh-henen
studying	henen
stuff	kwagh
stunning	kpiligh iyol
stupid	bume
style	mlu
subject	itine kwagh
submission	ungwan imo
submit	na sha ikev
substance	urum
substitute	sha tyough ki
substitute	sha a ci u
subtle	beelee
succeed	kôr cio
success	za ikyura
successful	kule voughul
such	imba
such as	er
suck	suse
sudden	gagh
suddenly	fese
suddenly	dase
suddenly	baver
suffer	ican
suffering	ican
sufficient	kuma
sugar	shuga
sugar	shoga
suggest	mhen
suggestion	mhen
suit	suutu
suitable	injaa
suitcase	igbaikondo
sum	cii
summary	suma kwagh
summer	fam
summit	itough
sun	yange
sunday	yange i memen
sunny	yange ta
sunset	aikegh
sunset	iyange i miren
sunshine	iyange i taan
super	ijever
superior	orvesen
supervisor	orvesen
supper	kwagh yan u aikighe
supply	na
support	Ishuen
suppose	gba pe
supposed	alaghga
supposed	tôô ase wer
sure	vangertiôr
surface	sha taregh
surge	mseer
surgery	ipyaven
surname	iti is ter
surprise	kpilighiyol
surprised	kpiligh yough
surrender	haa kya inya
surrender	gbihi
surrender	na yol
surrounding	kase
surveillance	keren shi kuran
survey	tsofia
survive	mwar
suspect	mhen
suspended	hila mem
suspended	har
suspicious	wanger ga
sustain	koso
sustain	kura
sustainability	uzaan hemen a kwagh
sustainable	eren zanzan
swag	ikyondo
swallow	mena
swap	musan
swear	hum
sweat	iusa
sweater	riga u wuhe
sweep	ese
sweet	nyoho
sweet dreams	mnyaciem ma dedoo
sweet tooth	inyigh ki nyohon
sweetheart	adoomshima
swell	mor
swelling	mulan
swim	uwe ôôn
swimming	iyol tungun
swing	gema fese
switch	gema
swollen	mula
sword	sankegh
symbol	ikyav
sympathy	zungwe
symptoms	akav
system	shighr
table	tebul
tackle	fatyô u been
tag	keren yô
tail	tsa
take	Ngohol
take away	too sha
take care	wa kiô
take off	mou
taken	kôr
taken	tôô
talk	yôôso
talk	lam
talkative	soo liam
tall	taven
tall	tav
tap	zwa mnger
tape	tser
target	aver ashe
task	ityom
taste	nenge mnyoho
tasty	nyoho
taught	tese
tea	tii
teach	tese
teacher	ortesen
team	nongu
tear	ande
tear	mlian
tears	mliam
tease	hôm
tease	numbe
technology	iwavaren
technology	iwabuter
teeth	anyi
tell	Ôr
tell	kaa
tell me	orum
temper	ityoronshima
temperature	iyol tseen
temple	tempel
temporary	hila
ten	pue
ten thousand	akpa akunduahar gber
tenant	mba hen ya wou
tend	sha verashe
tendency	sha inja
tender	teelee
tense	zayol
tension	haghelaa
tension	ayôôso
tent	tenti
tentative	henen
term	shie kpuaa
terms	inja
terrible	mbamzeyol
terrific	kpilighiyol
territory	hen haregh
test	kyaren
text	loho
than	hemba
thank	msugh
thank you	Msugh u
Thank you for your patience while we investigate shipment	M sugh a shima wan se tov kwagh ikyav bi shun
thank you so much	msugh u kpishi
thank you very much	msugh kpishi
thanks	M sugh u
Thanks for using our app	se sugh u eren kwagh sha kwagh ne
that	la
that is	kwagh la
that's good	kwaghla doo
the	u
theft	iv
their	uve
them	ve
theme	itinekwagh
themselves	ve ayol ave
then	maa
theory	kwaghfan u kpilighiyol
there	haal
there are	mba
there is	kwagh u
therefore	nahan
these	Mba
they	ve
they are	mba
thick	civilii
thick	cafa
thief	ormbaiv
thigh	namegh
thin	vende
thing	kwagh
things	akaa
think	hen
third	u sha utar
thirsty	imula
thirsty	imura
thirteen	kyundu gber
thirty	ikyundu gber
this	ka
this is	kun
this is	ngun
thorough	kpoghuloo
thoroughly	tsema tsema
thoroughly	vighe vighe
those	mba
though	Shin
thought	hen
thoughtful	mhen u dedoo
thoughts	mba mhen
thousand	akpa ataan
thread	nongukwagh
threat	mciem
threaten	tacin
three	utar
threshold	mhii u kwagh
thrilled	doon
thrive	nongun
throat	kyer
through	Ken
through	Hen
throughout	jimin cii
throughout	sha won cii
throw	ker
thumb	nomhôwe
thunder	dyuran
Thursday	tom anyiin
thus	nahan yô
tick	ya
tide	kange
tidy	wang
tie	kange
tiger	anyam
tight	tsule
Tigrinya	Tigrinya
time	shie
timid	bume
tiny	vegh vegh
tip	ankyughur ice
tips	ikyuurce
tire	vor
tired	Due ishima
tired	Vôr
tissue	kwa takerada
title	iti
Tiv	Tiv
to	hen
to be	u lun
toast	shiorkwase
toast	kaa kyek
today	nyian
toddler	wanakiriki
toes	ahôangahar
together	imômgo
toilet	ihyungwa
told	kaa
tolerance	shimawan
tolerate	shimawan
tomato	tumatu
tomorrow	Kpee
tongue	nombugh
tonight	nyian aikegh
tonight	tugh bun
too	kpaa
took	tôôr
tool	ikyav mbi tomov
tools	ikyav
tooth	inyigh
top	sha tyo
topic	itinekwagh
topic	ityôkwagh
torn	ande
torture	atsan
torture	mtsaha
total	cica cii
touch	bende
tough	taver
tough	tsulugh
tour	zende
tour	ningir ken gar
toward	eren ave
toward	eren hen
towards	sha
towel	ikondo i uman yol
town	geri
toxic	vihin
trace	tov
track	gbenda
track	hwange
trade	tee
trade	kpenga
tradition	atesen
traditional	tyo
traffic	mngee u akaahendan sha gbenda
trail	sha angahar
trail	dondon
train	igirgi dogo
training	ityesen
trait	ieren
traits	akav
traits	aeren
transfer	na pegeen
transition	geman nan
translate	gema ken zwa ugen
transparent	nenge tsula
transport	zenden
transportation	kwagh hendan
trap	hôn
trash	wanger ami
trauma	mnyoon
travel	zende
tray	gbande u vesen
treasure	akaa a doon
treat	sôr
treat	tôr
treatment	ieren aor
tree	kon
tremendous	ulun kpen kpen
tremendous	kpishi
trend	ieren
trend	akaa a ieren ainge
trial	kaa
trick	tsugh
tried	nongun
trigger	tughur
trim	tondu
trip	zende
trouble	imange
trousers	wondu
truck	mato
TRUE	Mimi
trunk	iwyenge
trust	suur
truth	mimi
try	kalegh
try	nôngo
Tsonga	Tsonga
tube	tuub
Tuesday	tom ahar
tuition	kimbin injar
turkey	kyer
turmeric	kwatoho
turn	goom
turn	gema
turn	atsa
turtle	kulugh
tutor	tese
twelve	pue kar uhaa
twenty	kyundu
twenty-one	kyundu ka mom
Twi	Twi
twice	kwa har
twist	goom
two	uhar
type	inja kwagh
type	ityo kwagh
typical	ieren i sha mimi
ugly	vihi
ugly	tsumuu
ultimate	hemban cii
ultimate	vesen
umbrella	nima
unable	fa tyo ga
uncle	angô u terem
unconscious	hume
under	Shin
underneath	shinya
underrated	iwuese ga
understand	kav
understood	mfe
unfortunately	kwagh er vihi
uniform	yonofum
unique	zeeng
unit	kar
university	makeranta
unknown	faga
unless	saa
until	saa
unusual	ka vande lu nahan ga
up	sha Aondo
up to you	mkuma sha we ga
update	sôr mkav
update	seer tan iwanger
upgrade	kenden sha
upon	sha
upset	nduul
urban	geri
urge	shima taver
urgent	fese
urgent	fele
us	Se
use	er gba iyol
used	yusu
useful	liba
useless	a inja ga
useless	gbilinkwagh
usual	ivandelun
usually	ashie kpishi
utility	er tom ami
vacation	memyol
vaccination	gber iwambe
vaccine	icigh
vacuum	ovor ihyundu
vague	atyokyaashio
valid	shami
valley	shin pev
valuable	kwagh dedoo
value	mpani
value	injaa
variety	atô kposo kposo
various	atô kposo kposo
vary	koso
vary	kaha
vase	gbande u tumuun
vast	gbagerlaa
vegetable	ikyayue
vegetables	ikyayue
vehicle	moto
vendor	orteen kasua
venom	megh
venture	imôngo
venture	kpenga
venue	ijiir
verify	tovon fan
versatile	eren akaa cii
version	kwaghuhe
vertical	sen a sen
very	je
very good	doo kpishi
vessel	ikav
via	sha ikyev
vibe	saan
vibes	myoon ken shima
vibes	msaan ken ishima
vicious	vihi tsung
victim	ya ican
video	vidio
view	mnenge
village	ijiir i mar
villain	orihom
vinegar	viniger
vintage	utse
violence	num
violence	ipila
violent	tswam
violent	ipila
viral	anyigôr
virgin	iniunkwase
virtual	sha ahumbe
virtue	sha inja
vision	mpase
vision	mnenge
visit	vanya
visual	ufoto
vital	hangehange
vivid	vie vie
vocabulary	ati akaa
voice	ikyenge
void	ityokyaaga
volume	mngee
volunteer	na yol you
volunteer	na iwasen
vomit	suwa
vulnerable	taver ga
wage	injar
wages	injar
waist	iywenge
wait	Kegh
waiter	or keghen
waiting	kegh
wake	nder
wake	lun per
wake up	nder
walk	zende
walking	zenden
wall	kpukpe
wallet	ikpa
wander	tsume
wanna	msoo ape
want	Soo
wanted	keren
war	ityav
wardrobe	wadroo
warehouse	iyou i kosun kyav
warm	sule
warm	Saa
warn	ta icin
warning	tan icin
warrior	ortuya
was	lu
wash	kire
waste	vihi
watch	agogo
watch	kura
water	Mngerem
watermelon	fulum
wave	zege humbe
way	gbenda
we	Se
we are	se mba
we can	se fatyo
weak	gbeda gbeda
weakness	vôr
wealth	shagba
wealthy	inyaregh gbin
wealthy	shagba
wear	hua
wearing	huan ikyondo
wearing	huan
weather	fam
weather	nyom
wedding	ivese
Wednesday	tomatar
weed	toho
week	lahadi
weekend	mkurtom
weight	myohom
weird	cimin inja
welcome	M sugh u da van
welfare	mkpeyol
Well	Sha mi
Well	Doo doo
Well	Ijôr
well done	msugh a tom
went	za
were	ngu
west	yange milen
wet	ndor
wet	fam
whale	zege shu
whale	ishu
what	Ka nyi
what about you	we di yee
what are you doing	Ka nyi u lu eren
what are you doing now	U ngu eren nyi hegen
what are you doing right now	u ngu eren nyi higen
what do you do	kanyi kwagh u eren ne
what do you do for a living	kanyi tom u eren
what do you mean	inja kwagh la ye nyii
what do you want	kanyi u soo
what happened	ka nyi i er
what is	ka nyi
what is this	kanyi nee
what is your job	tom wou ka nyi
what is your name	I ti you ye ana
what's up	i er nena
what's your name	Iti you ér ana?
whatever	nyityôkwagh
wheat	amine
wheel	ikyaven
wheel	kikye
when	Haa ma shien
whenever	hanma shie
where	Hana
where are you	U ngu hana
where are you from	U ngu ba hana
where are you now	u ngu hana hegon
where do you live	ka han a utse
where is	ka hana
whereas	gadiyo
whether	aluer
which	Haa mo
while	er
whisper	ivarvase
whistle	tungwa
white	Pupuu
who	Ana
who are you	u ngu ana
who is	ka ana
who is this	ka ana ne
whole	jimin
whom	ana
whose	unô
why	Ha cii U nyi
why not	er nan
wicked	vihi tu
wicked	vihi inja
wide	belabela
wide	gbanger
wide	kpuung
widow	kwasecôghol
width	igbyanger
wife	hwan
wife	kwase ya
wife	amelia
wild	toho
will	me er
willing	mlumun u eren
win	hemba
wind	ahumbe
window	ian ke kpe kpe
window	windoo
windy	ahumbe
wine	wain
wine	msôrom
winter	inyom
wipe	ese
wipe	tim
wire	kor
wire	u taan sha kwagh
wisdom	kwaghfan
wise	bugh-ashe
wish	tôm
wish you all the best	aôndo a za awe
witch	ormbatsav
with	a
withdraw	dugh ave
withdraw	due
withdrawal	dughn ave
withdrawal	ngohol
within	ken
without	shio
witness	shiada
witty	atseregh
wolf	gbaseela
woman	kwase
women	kasev
won	hemba
won't	ga
wonder	kpiligh iyol
wonderful	kpiligh iyol
wood	ikon
wool	aive a iyôngo
word	iti
words	ati
work	Tom
work out	eren tom
working	eren tom
world	tar
worm	anyigôr
worn	bee yol
worried	mzungu
worry	mzaiyol mba ken ishima
worse	hemba vihin
worship	civir
worst	vihin cii
worth	mpani
worth it	saa gbilin ga
worthy	kuma
would	luun
wound	ivav
Wow	wanda
wrap	kule
wrath	iyugh
wrist	kishiwe
write	nger
Write here	nger heen
writing	kwagh ngeren
writing	ngeren
written	nger
wrong	kwagh bo
wrote	nger
yard	tembe
yawn	aver
Yeah	Een
year	inyom
years	anyom
yeast	kwa
yell	ngoor
yellow	nyian bulumaa
Yes	Aan
yes baby	mm wanwam
yes dear	adoom shima
yes honey	een u doon shima
yes my love	een dooshima iyam
yes of course	Een, kape i lu je la
yesterday	nyen
yet	kpa
yield	gure
you	we'
you are	u ngu
you are beautiful	u doo kwase
you are so beautiful	u doo kwase
you are welcome	meraba
you are welcome	m sugh u da van
you can	u fatyô
You know	u fa
you too	we kpaa
you're welcome	msugh za van
young	iyev
your	Yenegh
your welcome	msugh za van
yourself	yol yol
youth	agumaior
youth	gumor
youth	ikyaior
you’re welcome	se sugh za van
yummy	kwaghnyohon
zero	môm ga
