ए	a
कळोवप	refer
संदर्भ	reference
प्रतिबिंबीत	reflect
प्रतिबिंब	reflection
आडावप	refrain
फ्रीज	refrigerator
परतावो	refund
रिफंड	refund
न्हयकार	refuse
इश्टचिंतन	regard
इश्टचिंतन	regards
प्रदेश	region
प्रांत	region
नोंदणी	register
खेद	regret
नियमीत	regular
नेमान	regularly
न्हयकार	reject
संबंदीत	relate
संबंदीत	related
नातें	relationship
नातें	relative
सोयरो	relative
सोयरे	relatives
आराम	relax
उजवाडावणी	release
उत्सर्जन	release
मुक्ती	release
सोडोवप	release
उजवाडावणी	released
मुक्ती	released
प्रसंगोचीत	relevant
वास्तवीक	relevant
भंरवशाचें	reliable
विस्वासाचें	reliable
मजत	relief
सुसेग	relief
सुटका	relieve
सुसेग	relieve
सोडयलें	relieved
धर्म	religion
धर्मिक	religious
नाखूश	reluctant
पातयेवप	rely
बाकी	remain
शिल्लक	remain
बाकी	remaining
शिल्लक	remaining
उपाय	remedy
उगडास	remember
याद	remember
स्मरण	remember
स्मरण	remind
स्मरण	reminder
पयसुल्लें	remote
रिमोट	remote
काडचें	remove
रेंडर	render
भाडें	rent
दुरुस्ती	repair
पुनरावृत्ती	repeat
बदलचें	replace
प्रत्युत्तर	reply
अहवाल	report
कळोवणी	report
मान	reputation
मागणी	request
विनंती	request
गरजेचें	required
वाटावप	rescue
संशोधन	research
तिडक	resentment
आरक्षण	reservation
आरक्षीत	reserve
निवासी	resident
राजीनामो	resign
कोल्लीपण	resilience
लवचीकपणा	resilience
फोल्ग	resilient
प्रतिकार	resist
विरोध	resist
प्रतिकार	resistance
थाराव	resolution
संकल्प	resolution
सोडोवप	resolve
रेझॉर्ट	resort
साधनसामुग्र्यो	resources
आदर	respect
मान	respect
प्रतिसाद	respond
प्रतिसाद	response
मत	response
जापसालदारकी	responsibility
जापसालदार	responsible
बाकीचें	rest
विसव	rest
उपहारगृह	restaurant
रॅस्तोरण्ट	restaurant
निकाल	result
निकाल	results
रिझ्युमे	resume
किरकोळ	retail
दवरप	retain
धारणशक्त	retention
निवृत्त	retired
आलाशिरो	retreat
विसव	retreat
पुनर्प्राप्ती	retrieve
बदलो	revenge
महसूल	revenue
उरफाटें	reverse
परतें	reverse
नियाळ	review
उजळणी	revise
सुदारणा	revise
उजळणी	revision
क्रांती	revolution
इनाम	reward
पुरस्कार	reward
ताल	rhythm
मेळ	rhythm
बरगडी	rib
तांदूळ	rice
गिरेस्त	rich
मुक्त	rid
मेकळें	rid
रपेट	ride
सवारी	ride
हास्यास्पद	ridiculous
उजवें	right
बरोबर	right
आतांच	right now
निबर	rigid
मुदी	ring
धुंवप	rinse
रथ	riot
फाळप	rip
पिकिल्लें	ripe
उदेवप	rise
वाडप	rise
धोको	risk
शत्रूत्व	rival
न्हंय	river
मार्ग	road
रस्तो	road
भाजप	roast
बळिश्ट	robust
शिळा	rock
तोणको	rod
रॉड	rod
भुमिका	role
रोल	roll
छप्पर	roof
पाखें	roof
कूड	room
सुवात	room
मूळ	root
दोरी	rope
राजू	rope
कुशील्लें	rotten
ओबडधोबड	rough
खडबडीत	rough
ओबडधोबड	roughly
गोल	round
मार्ग	route
रुटीन	routine
रांक	row
वळ	row
घासप	rub
रब्बर	rubber
वायट	rubbish
निश्ठूर	rude
रग	rug
मातयेभरवण	ruin
नेम	rule
राजा	ruler
शासक	ruler
नेम	rules
धांवडी	run
धांवप	run
धांवडी	running
ग्रामीण	rural
गर्दी	rush
धांव	rush
साक	sack
पवित्र	sacred
त्याग	sacrifice
सुरक्षीत	safe
सुरक्षा	safety
तपस्वी	sage
संबंदीत	said
सांगप	said
सफर	sail
सफर	sailing
खातीर	sake
पासत	sake
पगार	salary
विक्री	sale
रावस	salmon
मीठ	salt
समान	same
नमूनो	sample
रेंव	sand
संस्कृत	Sanskrit
उपहासाचें	sarcastic
थोमण्यांचें	sarcastic
सेसी	sassy
शेन	sat
समाधान	satisfaction
समाधानी	satisfied
समाधान	satisfy
शेनवार	Saturday
सौसेज	sausage
क्रूर	savage
पाशवी	savage
सांबाळचें	save
खरवत	saw
म्हण	say
सांग	say
प्रमाण	scale
स्केल	scale
घोटाळो	scam
दाग	scar
दुर्मिळ	scarce
भियेल्ले	scared
भियोवपाचें	scared
स्कार्फ	scarf
भिरांकुळ	scary
भिश्टेवणे	scary
पसरिल्लें	scattered
दृश्य	scene
चेर	scent
परमळ	scent
थारावप	schedule
नियोजन	schedule
वेळापत्रक	schedule
शाळा	school
विज्ञान	science
शास्त्रज्ञ	scientist
शास्त्रीय	scientists
कात्री	scissors
तापोवप	scold
आंवाठ	scope
स्कोअर	score
भंगार	scrap
आड्डप	scream
रडप	scream
स्क्रीन	screen
स्क्रू	screw
लिखीत	script
लिपी	script
दर्या	sea
छाप	seal
सील	seal
सोद	search
हंगाम	season
सीट	seat
दुसरो	second
सेकंद	second
गुपीत	secret
विभाग	section
सुरक्षीत	secure
सुरक्षा	security
पळोवप	see
बियो	seed
सोदप	seek
दिसता	seem
दिसता	seems
पळयलें	seen
जप्ती	seize
धाड	seizure
क्वचीत	seldom
वेंचचें	select
स्वता	self
सुवार्थी	selfish
विकप	sell
धाडचें	send
धाडप	send
वडिल	senior
अक्कल	sense
सँस	sense
अर्थपूर्ण	sensible
संवेदनशील	sensitive
धाडलें	sent
वाक्य	sentence
वाक्यां	sentences
वेगळें	separate
सेपेडी	Sepedi
सप्टेंबर	september
अनुक्रम	sequence
माळो	series
गंभीर	serious
तीव्र	serious
ख-यानीच	seriously
गंभीरतायेन	seriously
वाडप	serve
सेवा	serve
सेवा	service
सत्र	session
मांडप	set
मांडावळ	setting
सेटिंग्स	setting
निर्णय	settle
स्थापना	set up
सात	seven
सतरा	seventeen
सत्तर	seventy
साबार	several
खर	severe
गंभीर	severe
निश्ठूर	severe
शिंवप	sew
श्य	sh
छटा	shade
सावळी	shadow
हालोवचें	shake
करतले	shall
जातले	shall
अप्लबुद्दी	shallow
उथळ	shallow
लज	shame
आकार	shape
वांटचें	share
वांटो	share
हिस्सो	share
टोकदार	sharp
तिक्ष्ण	sharp
ती	she
तें	she
शेड	shed
सावळी	shed
मेंढरां	sheep
पत्रक	sheet
पत्रो	sheet
शॅल्फ	shelf
शिपली	shell
आलाशिरो	shelter
घर	shelter
ढाल	shield
शिफ्ट	shift
चकचकसाण	shine
जहाज	ship
शिपींग	shipping
बुशकोट	shirt
बूट	shoes
शूज	shoes
कोंब	shoot
दुकान	shop
खरेदी	shopping
दर्यादेग	shore
ल्हान	short
संक्षिप्त	short
उणाव	shortage
शॉट	shot
खांद	shoulder
भूज	shoulder
आड्डप	shout
कार्यावळ	show
दाखोवचें	show
शिंवर	shower
पोटिंग	shrimp
आकुंचन	shrink
बंद	shut
चूप्प	shut up
भिडेस्त	shy
भावडां	sibling
भावंडां	siblings
दुयेंत	sick
कूस	side
सुसकार	sigh
नदर	sight
चिन्न	sign
लक्षणा	sign
सय	signature
अर्थपूर्ण	significant
म्हत्वाचें	significant
शांतताय	silence
शांत	silent
रेशमी	silk
मूर्ख	silly
रुपें	silver
समान	similar
सीम्प	simp
सोंपें	simple
सावंन	since
निश्ठावान	sincere
प्रामाणीक	sincere
विस्वासू	sincerely
गाणे	sing
गायक	singer
एकसुरो	single
एकोडो	single
खचप	sink
मोरी	sink
घुसळप	Sir
हालोवप	Sir
भयण	sister
नणंद	sister in law
भावज	sister in law
मेवणी	sister in law
बसप	sit
सायट	site
सुवात	site
स्थिती	situation
स	six
सोळा	sixteen
साठ	sixty
आकार	size
कौशल्य	skill
कौशल्यां	skills
कात	skin
कांतीचें	skinny
सोडप	skip
घागरो	skirt
स्कर्ट	skirt
मळब	sky
गुलाम	slave
न्हीद	sleep
न्हिदप	sleeping
झेमेवपी	sleepy
बाह्यो	sleeve
हात	sleeve
स्लायस	slice
स्लायड	slide
थोडेंशें	slightly
मात्शें	slightly
पातळ	slim
स्लीप	slip
देंवती	slope
स्लॉट	slot
सवकास	slow
सवकास	slowly
ल्हान	small
सुंदर	smart
स्मार्ट	smart
घाण	smell
वास	smell
हांसो	smile
धुम्रपान	smoke
नरम	smooth
मवाळ	smooth
मोव	smooth
लुसलुशीत	smooth
अल्पाहार	snack
गोगलगाय	snail
जिवाणें	snake
फोटो	snap
स्नॅप	snap
बर्फ	snow
कारण	so
म्हणून	so
म्हूण	so
शाबू	soap
विचारशील	sober
सॉकर	soccer
समाजीक	social
सोसायटी	society
मेय	socks
सॉक्स	socks
मोव	soft
सॉफ्टवॅर	software
माती	soil
खपलें	sold
विकलें	sold
सरदार	soldier
खपलें	sold out
विकलें	sold out
एकमेव	sole
स्वता	sole
घन	solid
उपाय	solution
समाधान	solution
सोडोवप	solve
कांय	some
कोणतरी	somebody
कशेंतरी	somehow
कोणतरी	someone
किदेंतरी	something
कांयवेळा	sometimes
केन्नाय	sometimes
गाणे	song
पद	song
रोखडेंच	soon
विकसीत	sophisticated
सोरानी	Sorani
दुखपी	sore
दुख्ख	sorrow
वर्गवारी	sort
तपास	sought
आत्मो	soul
जीवनसाथी	soulmate
आवाज	sound
शाबू	soup
आंबट	sour
आमट	sour
स्त्रोत	source
दक्षिण	south
अंतर	space
सुवात	space
स्पॅम	spam
काळ	span
स्पेनीश	Spanish
सुटे	spare
उलय	speak
उलोवप	speak
चर्चा	speak
विशेश	special
प्रजाती	species
खास	specific
विशेश	specific
भव्य	spectacular
भाशण	speech
वाचा	speech
मुकें	speechless
मोनें	speechless
वेग	speed
बोली	spell
वर्णरचना	spell
खर्च	spend
खर्च	spent
मसालेदार	spicy
कणशी	spike
घुंवप	spin
पालक	spinach
तेज	spirit
थुंकप	spit
भव्य	splendid
फूट	split
फोडप	split
पेड्डेर	spoil
सातत्यान	spontaneous
कुलेर	spoon
खीण	spot
सुवात	spot
जोडीदार	spouse
विस्तार	spread
झरांव	spring
वसंत	spring
चवकोन	square
वर्ग	square
पिळप	squeeze
माणकी	squid
चानी	squirrel
सॅ.	st
घाय	stab
थीर	stable
दाळ	stack
कर्मचारीवर्ग	staff
माची	stage
दाग	stain
जिनो	stairs
पाय-यो	stairs
भाग	stake
स्टेक	stake
देठ	stalk
मांड	stall
छाप	stamp
शिक्को	stamp
स्टॅण्ड	stand
प्रमाणित	standard
नखेत्र	star
सुरवात	start
झुजप	starving
राज्य	state
स्थिती	state
निवेदन	statement
विधान	statement
स्टेशन	station
पुतळो	statue
स्थिती	status
रावचें	stay
रावप	stay
थीर	steady
कपो	steak
चोरप	steal
वाफ	steam
तिख्यें	steel
देठ	stem
कृती	step
पांवडो	step
पावल	step
बडी	stick
आंखुडिल्लें	stiff
तरी	still
लेगीत	still
दंश	sting
कंजूस	stingy
घुंवडावप	stir
धवळप	stir
रास	stock
स्टॉक	stock
चोरलें	stolen
पोट	stomach
फातर	stone
कदेल	stool
गू	stool
थांब	stop
राव	stop
सांठवण	storage
दुकान	store
सांठवण	store
स्टोअर	store
वादळ	storm
काणी	story
स्टोव	stove
सरळ	straight
कश्ट	strain
तकालस	strain
अजापाचें	strange
अपरिचीत	strange
विचित्र	strange
परकी	stranger
युक्ती	strategy
स्ट्रॉ	straw
स्ट्रॉबेरी	strawberry
आघात	streak
स्ट्रीक	streak
झरो	stream
प्रवाह	stream
स्ट्रीम	stream
वाट	street
ताकद	strength
बळ	strength
ताण	stress
ओडप	stretch
ताणप	stretch
कडक	strict
आघात	strike
खोडप	strike
संप	strike
दोरी	string
माळ	string
स्ट्रीप	strip
झूजप	strive
आघात	stroke
स्ट्रोक	stroke
खर	strong
ताकदी	strong
बळिश्ट	strong
चिकटप	struck
बांदावळ	structure
झगडप	struggle
झुजता	struggling
घमंडी	stubborn
निश्ठूर	stubborn
चिकटप	stuck
विद्यार्थी	student
अभ्यास	study
सामायन	stuff
मनभुलोवणें	stunning
मादक	stunning
अक्कलशून्य	stupid
मंद	stupid
मूर्ख	stupid
शैली	style
विशय	subject
पदार्थ	substance
बदली	substitute
सुक्षीम	subtle
जैतिवंत	succeed
येस	succeed
येस	success
विजय	success
येसस्वी	successful
जशें	such
तशें	such
शोशण	suck
अचकीत	sudden
अकस्मात	suddenly
अचकीत	suddenly
पिडा	suffer
कश्ट	suffering
दुख्ख	suffering
फावोशें	sufficient
साकर	sugar
सुचोवचें	suggest
सुचोवणी	suggestion
जुळप	suit
देमांद	suit
सूट	suit
उपयुक्त	suitable
योग्य	suitable
सुटकेस	suitcase
बेरीज	sum
रक्कम	sum
सारांश	summary
गीम	summer
परिशद	summit
समीट	summit
सूर्य	sun
आयतार	sunday
वताळ	sunny
सुर्यास्त	sunset
वत	sunshine
उत्तम	super
श्रेश्ठ	superior
पर्यवेक्षक	supervisor
पुरवठो	supply
तेंको	support
जर	supposed
निश्चीत	sure
पृष्ठभाग	surface
कल्लोळ	surge
शस्त्रक्रिया	surgery
आडनांव	surname
अजाप	surprise
अजाप	surprised
शरणागती	surrender
सरेंडर	surrender
सरभोंवतण	surrounding
देखरेख	surveillance
पाळत	surveillance
सर्वेेक्षण	survey
जिवें	survive
दुबावीत	suspect
निलंबीत	suspended
दुबावीत	suspicious
शाश्वत	sustain
शाश्वती	sustainability
शाश्वत	sustainable
गांठवल	swag
गिळप	swallow
सोपूत	swear
घाम	sweat
स्वेटर	sweater
झाडप	sweep
गोड	sweet
मोगाळ	sweetheart
सूज	swell
सुजप	swelling
पेंवप	swim
पेंवप	swimming
झोपाळो	swing
धोलप	swing
स्विच	switch
तलवार	sword
चिन्न	symbol
दया	sympathy
लक्षणां	symptoms
प्रणाली	system
यंत्रणा	system
मेज	table
हाताळप	tackle
टॅग	tag
शेपडी	tail
व्हर	take
व्हेेलें	taken
उड्डाण	take off
उलोवणें	talk
चर्चा	talk
चर्चात्मक	talkative
वाचाळ	talkative
उंच	tall
नळ	tap
टेप	tape
मोख	target
लक्ष्य	target
काम	task
कार्य	task
रूच	taste
रुचीचें	tasty
शिकोवप	taught
च्या	tea
शिकोवप	teach
शिक्षक	teacher
पंगड	team
दूक	tear
दुकां	tears
छळप	tease
तंत्रज्ञान	technology
दांत	teeth
सांगप	tell
उलयात	tell me
पाजप	temper
सभाव	temper
तापमान	temperature
देवूळ	temple
तत्पुरतें	temporary
धा	ten
टेनंट	tenant
कलप	tend
क्षमता	tendency
मोव	tender
मोवसार	tender
काळ	tense
ताण	tension
तंबू	tent
तत्पुरतें	tentative
शब्द	term
संज्ञा	term
अटी	terms
कश्टदायक	terrible
भिरांकूळ	terrific
प्रदेश	territory
चाचणी	test
परिक्षा	test
लिखीत	text
मागीर	than
दिनवास	thank
दिनवास	thanks
दिनवास	thank you
तुमकां	thank you very much
दिनवास	thank you very much
तें	that
थंय	that
दी	the
चोरी	theft
तांगेले	their
तांचे	their
तांकां	them
ते	them
माथाळो	theme
ते	themselves
मागीर	then
प्रमेय	theory
तेवटेन	there
थंय	there
थंयसर	there
ताकालागून	therefore
हे	these
ते	they
दाट	thick
चोर	thief
जांघ	thigh
बारीक	thin
गजाल	thing
गजाली	things
दिसप	think
तिसरें	third
तानेल्लें	thirsty
तेरा	thirteen
तीस	thirty
हें	this
पूर्ण	thorough
पुरायेन	thoroughly
सारकें	thoroughly
तें	those
तरीय	though
कल्पना	thought
विचार	thought
कल्पक	thoughtful
विचारी	thoughtful
विचार	thoughts
हजार	thousand
धागो	thread
जोखीम	threat
धोको	threat
तीन	three
दरवटो	threshold
हुमरो	threshold
उत्कर्श	thrive
गळो	throat
ताळो	throat
मार्फत	through
वरवीं	through
अखेरमेरेन	throughout
साद्दंत	throughout
उडोवप	throw
शेवटीवप	throw
आखाणो	thumb
आंगठो	thumb
बिरेस्तार	Thursday
ल्हार	tide
वेवस्थीत	tidy
गांठ	tie
टाय	tie
वाग	tiger
घट्ट	tight
तिग्रिन्या	Tigrinya
वेळ	time
भिवकुरें	timid
बारीक	tiny
टीप	tip
तोंक	tip
टिप्स	tips
टायर	tire
ऊती	tissue
तंतू	tissue
शीर्षक	title
कडेन	to
प्रती	to
लागीं	to
टोस्ट	toast
जातलें	to be
शक्य	to be
आयज	today
बोटां	toes
एकठांय	together
टॉयलेट	toilet
मुतारी	toilet
सांगलें	told
सोंंसप	tolerance
सहन	tolerate
तोमाट	tomato
फाल्यां	tomorrow
जीभ	tongue
खूब	too
घेतलें	took
साधन	tool
उपकरणा	tools
साधनां	tools
दांत	tooth
वयर	top
विशय	topic
पिंदप	torn
छळ	torture
एकूण	total
स्पर्श	touch
कठीण	tough
टूर	tour
कडेन	toward
खातीर	towards
लागीं	towards
तुवालो	towel
नगर	town
विख	toxic
विखारी	toxic
विष	toxic
विषारी	toxic
माग	trace
माग	track
वेपार	trade
परंपरा	tradition
पारंपारीक	traditional
येरादारी	traffic
खुबी	trail
ट्रेन	train
प्रशिक्षण	train
प्रशिक्षण	training
खुबी	trait
खुबी	traits
लक्षणां	traits
स्थलांतर	transfer
स्थित्यंतर	transition
पारदर्शक	transparent
येरादारी	transport
येरादारी	transportation
जाळें	trap
फांस	trap
गोबोर	trash
प्रवास	travel
भोंवडी	travel
ट्रे	tray
खजानो	treasure
मेजवानी	treat
उपचार	treatment
झाड	tree
प्रचंड	tremendous
कल	trend
ट्रेंड	trend
ट्रायल	trial
प्रयोग	trial
हिकमत	trick
ट्रीगर	trigger
वाडोवप	trigger
पर्यटन	trip
प्रवास	trip
फेरी	trip
कश्ट	trouble
त्रास	trouble
कालसांव	trousers
ट्रक	truck
खरें	true
तोंड	trunk
सोंड	trunk
ट्रस्ट	trust
भंरवसो	trust
विस्वास	trust
खरेपण	truth
सत	truth
सोंगा	Tsonga
ट्यूब	tube
नळी	tube
मंगळार	Tuesday
ट्युशन	tuition
टर्की	turkey
हळद	turmeric
वळण	turn
वळप	turn
कासव	turtle
ट्युटोर	tutor
बारा	twelve
वीस	twenty
एकवीस	twenty-one
ट्वी	Twi
दोनदां	twice
मोडण	twist
दोन	two
प्रकार	type
नमुनेदार	typical
कुरूप	ugly
विद्रूप	ugly
अंतीम	ultimate
सत्री	umbrella
असक्षम	unable
काका	uncle
मामा	uncle
अज्ञात	unconscious
खाला	under
पोंदा	underneath
समजलें	understand
समजलें	understood
दुर्दैवान	unfortunately
एकसमान	uniform
गणवेश	uniform
अद्वितीय	unique
एकमेव	unique
युनिट	unit
विद्यापिठ	university
अज्ञात	unknown
अनवळखी	unknown
बगर	unless
शिवाय	unless
तेमेरेन	until
तोमेरेन	until
अपूर्व	unusual
वेगळें	unusual
वयर	up
अपडेट	update
वयर	upon
विशीं	upon
अस्वस्थ	upset
नगर	urban
उर्बां	urge
ताकतिकेचें	urgent
आमकां	us
आमी	us
वापर	use
वापरिल्लें	used
उपेगाचें	useful
निरर्थक	useless
सदचें	usual
उपयुक्तताय	utility
सुटी	vacation
वासीन	vaccination
वासीन	vaccine
व्हॅक्युम	vacuum
अस्पश्ट	vague
वैध	valid
देंगण	valley
मोलादीक	valuable
मान	value
मोल	value
जात	variety
प्रकार	variety
विंगडविंगड	various
साबार	various
फरक	vary
वाज	vase
विपूल	vast
भाजी	vegetable
भाजयो	vegetables
वाहन	vehicle
विक्रेतो	vendor
वीश	venom
आस्थापन	venture
थळ	venue
अष्टपैलू	versatile
आवृत्ती	version
उबे	vertical
खूब	very
अतिउत्तम	very good
आयदन	vessel
वरवीं	via
भावना	vibe
दुश्ट	vicious
पिडेस्त	victim
व्हिडियो	video
देखावो	view
पळोवप	view
गांव	village
दुश्ट	villain
विनेगर	vinegar
हिंसा	violence
हिंसक	violent
पातळप	viral
वायरल	viral
पवित्र	virgin
आभासी	virtual
व्हर्च्युअल	virtual
सदगूण	virtue
नदर	vision
दृश्य	visual
व्हिज्युअल	visual
म्हत्वाचें	vital
हूबेहूब	vivid
उतरावळ	vocabulary
शब्दसंग्रह	vocabulary
आवाज	voice
पोकळी	void
शुन्य	void
आवाज	volume
वॉल्युम	volume
स्वयंसेवी	volunteer
ओंकारी	vomit
भेद्य	vulnerable
पगार	wage
वेतन	wage
वेतन	wages
कमर	waist
वेटर	waiter
चलप	walk
भोंवप	walk
चलप	walking
वणट	wall
वॉलेट	wallet
भोंवप	wander
इत्सीत	wanna
जाय	want
जाय	wanted
झुज	war
युध्द	war
आलमार	wardrobe
गुदांव	warehouse
हूनहूनीत	warm
शिटकावणी	warn
शिटकावणी	warning
झुजारी	warrior
योध्दो	warrior
आशिल्लो	was
धुंवप	wash
कोयर	waste
वादीव	waste
घड्याळ	watch
पळोवप	watch
उदक	water
काळींग	watermelon
तरंग	wave
लाट	wave
प्रमाणें	way
वाट	way
आमी	we
कमजोर	weak
दुबळें	weak
कमजोरी	weakness
कल्याण	wealth
संपत्ती	wealth
गिरेस्त	wealthy
संपत्तीवान	wealthy
घालप	wear
नेसप	wear
घालां	wearing
नेसण	wearing
हवामान	weather
लग्न	wedding
बुधवार	Wednesday
वाल	weed
सप्तक	week
सप्तकीसुटी	weekend
वजन	weight
विचित्र	weird
येवकार	welcome
कल्याण	welfare
कल्याण	Well
बरें	Well
हीत	Well
गेल्लें	went
गेल्लो	went
आशिल्लीं	were
अस्तंत	west
ओले	wet
वलें	wet
देवमासो	whale
किदें	what
करता	what do you do
तुमी	what do you do
तुमकां	what do you mean
किदेंय	whatever
गंव	wheat
चाक	wheel
केन्ना	when
केन्नाय	whenever
खंय	where
जाल्यार	whereas
जाल्यार	where is
एकतर	whether
खंयचें	which
जाल्यार	while
कुजबूज	whisper
शिटी	whistle
धवें	white
कोण	who
पुराय	whole
कोण	whom
कोणाचें	whose
तागेले	whose
किद्याक	why
पातकी	wicked
रुंद	wide
विस्तृत	wide
जनेल	widow
रुंदाय	width
रुंदी	width
बायल	wife
रानटी	wild
इत्सा	will
कामना	willing
जैत	win
वारें	wind
जनेल	window
वादळी	windy
वायन	wine
शिंयाळी	winter
पुसप	wipe
तार	wire
शाणेपण	wisdom
बुदवंत	wise
हूशार	wise
इत्सा	wish
चेटकीण	witch
वरवीं	with
वांगडा	with
सयत	with
काडप	withdraw
अंतर्गत	within
भितर	within
बगर	without
शिवाय	without
गवाय	witness
फाकाणेर	witty
लांडगो	wolf
बायल	woman
बायल	women
जैत	won
स्वताचें	won
आश्चर्य	wonder
सुंदर	wonderful
लागना	won't
मदेर	wood
लाकूड	wood
लोकर	wool
शब्द	word
शब्द	words
काम	work
वावुरपी	working
कसरत	work out
काम	work out
जग	world
संवसार	world
किडो	worm
जीर्ण	worn
हुस्को	worried
हुस्को	worry
वायट	worse
प्रार्थना	worship
वायट	worst
मोल	worth
वालोर	worth
वालोर	worth it
मोलादीक	worthy
घाय	wound
जखम	wound
वा	Wow
गुठलावप	wrap
क्रोध	wrath
मनगट	wrist
बरोवप	write
लिखाण	write
लेखन	write
लिखाण	writing
लिखीत	written
चूक	wrong
बरयलें	wrote
यार्ड	yard
जांभय	yawn
हय	Yeah
वर्स	year
वर्सां	years
बुरशी	yeast
आड्डप	yell
हळदुवें	yellow
हय	Yes
काल	yesterday
अजून	yet
उत्पन्न	yield
तुमी	you
तूं	you
तरनाटो	young
नेणार	young
तुमचें	your
तुमी	yourself
तरनाटो	youth
रुच्चीक	yummy
शुन्य	zero
तुमी अजुनूय थंयच आसात?	Are you still there?
गुगल अणकार	Google Translate
संवसाराक अंतरलो	passed
ते अतिरिक्त	in addition
मेक अप	make up
पिक अप	pick up
शब्दयोगी अव्यय	preposition
अर्थ असो आसा	I mean
तुमी आंकवार काय लग्न जाल्यात	are you married or single
तुमी आतां खंय आसात	where are you now
परत आपोवप	recall
तूं आयज कशें आसा	how are you today
तुमकां आयज कशें दिसता	how are you doing today
दिसून आयलां	noticed
बेजार आयलो	fed up
सूज आयिल्लें	swollen
म्हाका आवडटा	I like
वयलें आवरण काडप	scratch
गर्दी आशिल्लें	crowded
तें आशिल्लें	it was
हांव आशिल्लो	I was
हांव आसतलों	I would be
खबर आसप	aware
ताब्यात आसप	possess
स्वताकडेन आसप	possess
संबंद आसप	regard
साम्य आसप	resemble
सारकें आसप	resemble
इत्सा आसप	willing
मान्यताय आसपी	allowed
क्षमता आसपी	capable
उमळशीक आसपी	curious
ताणांत आसपी	depressed
रिणांत आसपी	owe
समा आसपी	suitable
बरें आसा	Alright
अस्तित्वांत आसा	exist
ताचेकडेन आसा	he has
तो आसा	he is
आस्त आसा	hopefully
हांव आसा	I am
म्हजेकडेन आसा	I have
बरें आसा	I'm fine
समावेश आसा	include
तें आसा	it is
तें आसा	it's
खबर आसा	knew
बरें आसा	okay
गरज आसा	ought
तयार आसा	prepared
गरज आसा	require
तीचेकडेन आसा	she has
तें आसा	she is
तें आसा	that is
थंय आसा	there is
हें आसा	this is
किदें आसा	what is
तुमी आसात	are you
इतले आसात	there are
ते आसात	they are
आमी आसात	we are
तुमी आसात	you are
अशें आसुनूय	nevertheless
म्हजे इश्टा	my friend
मागणें उक्तावपी	would
आवरो उडप	trauma
सुरक्षीत उड्डाण	safe flight
तें उत्तम	that's good
ते उपरांत	afterwards
दसून उरप	stuck
याद उरपासारकें	remarkable
तोंडार उलोवपी	straightforward
तकली उसळप	headache
आमचें ऍप वापरिल्ल्या खातीर देव बरें करूं	Thanks for using our app
आमकां एक भास खबर आसून कांयच फायदो ना	one language is never enough
कोणूय एकलो	anyone
जण एकलो	everybody
जण एकलो	everyone
तुका 'ऑल दी बॅस्ट' म्हणटा	wish you all the best
घरची ओड	nostalgic
तुमचे कडेन आसा	up to you
सविस्तर कथन	explain
कमीत कमी	least
नाश्तो कर	have breakfast
विचार कर	think
तोखणाय करची	appreciate
चर्चा करची	discuss
मजा करची	enjoy
अंलबजावणी करची	executive
स्थापणूक करची	install
राखण करची	protect
खुणा करची	tick
खात्री करची	verify
जमा करचें	add
लागू करचें	apply
आकर्शीत करचें	attract
कैद करचें	cease
स्पश्ट करचें	clarify
पुराय करचें	compete
कनॅक्ट करचें	connect
निर्माण करचें	create
स्पश्ट करचें	define
वर्णन करचें	describe
निश्क्रीय करचें	disable
डावनलोड करचें	download
संपादन करचें	edit
स्थापन करचें	establish
सुटावें करचें	fix
अनुसरण करचें	follow
अनुसरण करचें	follow up
तयार करचें	generate
तयार करचें	make
निरिक्षण करचें	observe
बंद करचें	off
फारीक करचें	pay
पुरवण करचें	provide
रिडीम करचें	redeem
माफ करचें	Sorry
टॅप करचें	tap
अपग्रेड करचें	upgrade
दृश्य करचें	view
विस्तार करचो	extend
अणकार करचो	translate
येत्न करचो	try
हुस्को करचो न्हय	Don't worry
हांव करतलो	I will
हांव करता	I do
मस्करी करता	kidding
प्रतिनिधित्व करता	represent
अभ्यास करता	studying
अनुकुलीत करप	adapt
भरती करप	admit
अर्ज करप	apply
पक्षपात करप	biased
खेडीत करप	break
खुणा करप	check
एकठांय करप	collect
तुळा करप	comparison
तडजोड करप	compromise
रुपांतरीत करप	convert
बरोबरी करप	cope
जमा करप	deposit
समृध्द करप	enhance
स्पश्ट करप	explain
उघड करप	expose
उघड करप	exposure
प्रगट करप	exposure
सोयीचें करप	facilitate
लगट करप	flirting
माफ करप	forbidden
माफ करप	forgive
सुवादीन करप	gave
गोल करप	goal
दुर्लक्ष करप	ignore
लागू करप	implement
अणकार करप	interpret
तपास करप	investigate
मात करप	overcome
नाकापुरो करप	overwhelmed
सादर करप	perform
विकृत करप	pervert
प्रसिद्दी करप	promote
सिद्द करप	prove
प्राप्त करप	receive
वळख करप	recognize
कमी करप	reduce
पूर्ववत करप	restore
मर्यादीत करप	restrict
उघड करप	reveal
धादोशी करप	satisfying
पाड करप	spoiled
कश्ट करप	strive
सुवादीन करप	submission
सुवादीन करप	submit
प्रतिस्थापित करप	substitute
बारीक करप	trim
आग्रो करप	urge
तोखणाय करपायोग्य	adorable
भाशांतर करपायोग्य	narrative
दावो करपी	assertive
अनुसरण करपी	following
क्षमा करात	excuse
मजा करात	have fun
