a	Un
proper	neaxkatilistli
properly	kuali inamik
properties	axkatiani
property	noaxka
proposal	kamanalijtoli
prospect	tlen nichiuas
prosperity	kisenpakayotl
prosperous	tlasempaktiani
protect	tanankiliya
proud	ueyimatketl
prove	machilis
provide	tlaskamatilis
provided	tlaonilipixki
province	pitepetl
provision	tlamantli
puberty	tlaiskaltilistli
public	tlen nochimej
pull	tlailana
pumpkin	ayojtli
punctual	puntual
pupil	tlamachtiketl
purchase	tlakoa
pure	atlaneyolo
purple	kamojpaltil
purpose	keloa
purse	xikiplitontli
pursue	totoka
pursuit	kitotoka
push	kuatopeuaj
put	xitlali
qualification	yolnankilistli
quality	kualtitok
quantity	poalis
quarantine	ompoalitonaltsajktok
quarrel	kamanalkualankayotl
quarter	inik naui
Quechua	Quechua
queen	siuatlajtoani
queer	uilontli
query	kantekalokan
question	tlatlanitl
queue	pantli
quick	ijisiuli
quickly	chikauak
quiet	motonaluij
quilt	ueyitlakemitl
quit	kaua
quite	muchijka
quiz	tlaneltilistli
quotation	tenauatilistli
quote	tenauatilistli
quotes	tenonotsa
rabbit	kuatochi
race	mekayotl
rage	chichitlauelilokayon
rain	kiauitl
raise	piui
raised	iskatiloni
ran	tlatlo
random	in patoli
range	tlentekiti
rapid	ijisiulti
rapidly	ijisiulti
rare	senkamochiuaj
rarely	sankemantsi
rash	sauatli
rat	tusa
rate	tochkaxil
rather	achkamati
ratio	tlatlanotsalistli
rational	tlainamiki
raw	ayaiksi
re	tlamantli
reach	xikasiti
reached	nikasik
reaction	reacción
read	tlapoa
reading	tlepojki
ready	toiuka
real	tlenkayotl
reality	yoyoniuikal
realize	ti'ijta
realized	asikamatili
really	tlen neliya
rear	ijka
reason	tlasikayotl
reasonable	ixtlamaki
recall	kinamiki
receipt	tlaselitlakuiloli
receive	niselij
received	niseli
recent	amanok
recently	amanok
reception	salistli
recipe	tlajkuiloltlakuali
reckless	amonauatilmak
recognition	noyolomaxilistli
recognize	teixmatis
recommend	tlalnemiktia
recommended	tlalnelmiktia
record	amochtlakuiloli
recover	kipanti
recovery	mochikaua
rectangle	rectángulo
red	chichiltik
redeem	tlaxtlauili
redemption	temakixtiani
reduce	nitlachiua
redundant	sampayanok
refer	kimakatoke
reference	tlen ikamoita
reflect	akeskauiya
reflection	teskatilistli
refrain	saualistli
refrigerator	sesekotlasaloni
refund	xikuepa
refuse	ayok nochiuas
refused	sampa nitekiui
regard	niyolnonotsa
regarding	ika ajkeya
regardless	in tlamachiui
regards	tlapololij
region	Tlaltokayotl
register	tlasemachilistli
regret	yolchokas
regular	sankuali
regularly	regularmente
reject	mayoui
relate	tenotsali
related	tenenotsali
relationship	Tenonotsali
relative	teixmatkauaj
relatives	teixmatkauaj
relax	mokoxteka
release	tepanmoyaualistli
released	momajkatok
relevant	ixnextili
reliable	niyolmaka
relief	teseuili
relieve	pachijki
relieved	teseuli
religion	yeknemilistli
religious	teknemini
reluctant	achtekakini
rely	temachi
remain	niuekaua
remaining	tlen poliui
remarkable	nenexi
remedy	tlapatilistli
remember	tlainamiki
remind	kilnamiki
reminder	teiknamili
remote	uejkaelij
remove	tlamaneloa
render	kaua
rent	tlakeua
repair	yejtia
repeat	sampayanok
replace	ixpatli
reply	tenankilistli
report	chiualispantilistli
represent	tepankisketl
reputation	teyotl
request	amatltlapaleuili
require	moneneki
required	tlatlani
rescue	kipantijke
research	tlatsintoka
resemble	pixaui
resentment	kualankayotl
reservation	kuania
reserve	reservar
resident	nemini
resign	mauiltsoltechiua
resilience	resiliencia
resilient	resiliente
resist	ixnamikilis
resistance	chikaukayotl
resolution	tlen asik
resolve	nikualalis
resort	tekiuili
resources	tlenoktekouili
respect	tlaixtilistli
respond	tlanankili
response	tlanankili
responsibility	responsabilidad
responsible	tepanichketsa
rest	siajkaua
rest in peace	paxia moseluili
restaurant	kalitlakualnamakake
restore	tlapajtia
restrict	axkiksuiya
result	katsa kiski
results	resultados
resume	tlakuilolmachitili
retail	sesen namakas
retain	tlatsakuili
retention	tlatsakuali
retired	yolitlamanemi
retreat	uejkatika
retrieve	kikuiti
return	mokuepa
reveal	nextiliya
revealed	nextilistli
revenge	netsonkuilistli
revenue	Tominxochiotilistli
reverse	ijikanemi
review	seyojuekta
revise	tlaltlachiliya
revision	tlamamachiliya
revolution	ikniuyaoyotl
reward	tetlanilili
rhythm	ritmo
rib	sikuili
rice	asentli
rich	ajuiyak
rid	kichti
ride	tlanenemi
ridiculous	nauilaua
right	kualtitok
right now	amatsi
rigid	topalkatl
ring	maxitlastli
rinse	uatsa
riot	yaolkuayankayotl
rip	postektli
ripe	ikoxik
rise	tlekojtis
risk	akilistli
rival	rival
river	atemitl
road	ojtli
roast	iksitoj
robust	tomauak
rock	texkali
rod	kuapipitstsi
role	tlen tichiuas
roll	tlayoualochtia
roof	kalkuauitl
room	innaui
root	nejuayo
rope	mekatl
rotten	palantok
rough	chachauak
roughly	aproximadamente
round	youaltik
route	oktipa
routine	sampayanok
row	pantli
rub	mamatso
rubber	tetlaixpouili
rubbish	tlasoli
rude	fiero kamati
rug	papetlatl
ruin	uejkaxolejtok
rule	tlauaualoni
ruler	tlanay
rules	piltlayeyekoli
run	tlalolistli
running	otskayotl
rural	chinankotl
rush	siajkapa
sack	yoyomitlamanali
sacred	teoyojtika
sacrifice	tlamanayotl
safe	melajtik
safe flight	kuali patlantli
safety	yoatlmotlakuauiya
sage	salviatl
said	kiijtok
sail	akalnemi
sailing	akaltikanemilistli
sake	tlen itonal ne
salary	tlaxtlauili
sale	namakas
salmon	xochimichin
salt	tsikuini
same	iuikal
Same here	nijka nojkia
sample	nextili
sand	xali
Sanskrit	Sanskrit
sarcastic	sarcástico
sassy	pícaro
sat	moseui
satisfaction	teyolmaxilistli
satisfied	teyolmachilistli
satisfy	yolmaxilia
satisfying	teyolmachilistli
Saturday	Sábado
sausage	tlanakasali
savage	chanek
save	tlajokuili
saw	kitak
say	kiito
scale	etik
scam	timo
scar	tsotsouistli
scarce	poliui
scared	mamajtok
scarf	ichkamekatl
scary	majmajtok
scattered	tetlaokoli
scene	akana
scenery	tlayekatitok
scent	auiyoinekistli
schedule	tlamapiluiloni
school	tlamachtiloya
science	tlamatilistli
scientist	tlatilismatini
scientists	científicos
scissors	tepostejtekitl
scold	kiuajua
scope	asitok
score	puntuación
scrap	se kentsi
scratch	uauana
scream	kuatsatsili
screen	tlapaloni
screw	tornillo
script	tlakuiloli
sea	ueyiatl
seal	namakas
search	temoli
season	panos
seat	ikpali
second	ompa
secret	ichtakayotl
section	sección
secure	aujka kena
security	tlakatokak
see	tlachiya
see you	nimitsita
see you later	sankentsi nimitsitas
see you soon	ninitsitas nima
see you tomorrow	mostla timoitase
seed	ijyoli
seek	temoua
seem	sanijki
seems	sanijki
seen	kiitak
seize	kiski
seizure	tetlakakaualtilistli
seldom	San kemantsi
select	tlapepenili
self	iuikal
self healing	selti pachiui
selfish	chauastili
sell	tlanamakilis
send	makajki
send me your picture	ximakaua moixkopinkayotl
senior	achtui
sense	nematiuanij
sensible	nematini
sensitive	ontlamatilistli
sent	makajki
sentence	teotlajtoli
sentences	teotlajtoli
separate	moxexeloa
Sepedi	Sepedi
september	septiembre
sequence	tlakuilchiuali
series	serie
serious	nelmauili
seriously	nenejliya
serve	tekiuiya
service	tlatekalistli
session	nechikali
set	mauiltili
set up	tlatlaliya
setting	tentli
settle	tlatlalijke
seven	chikome
seventeen	matlaktli uan chikome
seventy	expoali uan matlaktli
several	sekinojmej
severe	tekokoliani
sew	tlasoma
sh	ya
shade	tlakauili
shadow	tlakauilotl
shake	tsetseloa
shall	axmotekiuiya
shallow	ixmanil
shame	teijneltsi
shape	chiualistli
share	ajachimaka
sharp	tlateki
she	ya
she has	yeuaj kipiya
she is	ne ya elij
shed	tapanko
sheep	ixkatl
sheet	xiuitl
shelf	tlakitltlakalakiya
shell	ektli
shelter	choloakoyon
shield	chimali
shift	youalteki
shine	tlapetlantli
ship	auakali
shipping	tlamakaua
shirt	kemitl
shoes	kaktli
shoot	tlatopontli
shop	kaltlanamatili
shopping	tlakouani
shore	tlatemoa
short	kuekuetsi
shortage	anekotonali
shot	tepontlalistli
should	tlauika
shoulder	ajkol
shout	kuatsaske
show	tlamauisoli
show me	nexnextili
shower	auiuastli
shrimp	chakali
shrink	kototsiui
shut	kasajktok
shut up	kamatsakuaka
shy	mamajketl
sibling	ikni
siblings	ijnime
sick	kokoyiya
side	kampa
sigh	elsisiuilistli
sight	tlachiyali
sightseeing	chiua uijyayotl
sign	tlamachiyotl
signature	tlaneltiloni
significant	ki'itosneki
silence	ichaka
silent	mokaualistli
silk	seda
silly	uiui
silver	istateokuauitl
similar	iuikal
simp	ampoaneuak
simple	axpoyek
simultaneously	sansempainpeuasej
since	onkan
sincere	ijniyutl
sincerely	ijniyotl
sing	uikatl
singer	kuikani
single	amo namiki
sink	tlapapakatl
Sir	Totlayi
sister	pipi
sister in law	uejpol
sit	moseui
site	onouayan
situation	tlamantli
six	chikuase
sixteen	matlaktli uan chikuase
sixty	expoali
size	uext
skill	yolokayotl
skills	yolokayotl
skin	kuetlax
skinny	pitsauak
skip	tsikuintlu
skirt	kueitl
sky	eljuikak
slave	tlakotli
sleep	kochilistli
sleeping	koxtik
sleepy	kochmiki
sleeve	tlamaitl
slice	tlaxoxoli
slide	alaxtik
slightly	se kensi
slim	piastik
slip	xitlania
slope	tlekoayan
slot	tlauasantli
slow	yolik
slowly	yolik
small	kuekuetsi
smart	toiuka
smell	miyotilistli
smile	ixueskayotl
smoke	poktli
smooth	yamanik
snack	sekotlasalistli
snail	atekokolin
snake	coatl
snap	chasquear
snow	sepauitl
so	uajka
so cute	tlan yeyejtsi
so far	hasta amantsi
soak	apachoa
soap	xapo
sober	axtlaoni
soccer	tapayoliani
social	tlakakijnimej
society	maseualmej
socks	nometsyoyomitl
soft	yamantik
software	software
soil	tlali
sold	namakatok
sold out	namakajka
soldier	yaotl
sole	iyojtsi
solid	tetik
solution	mosenkaua
solve	kiyeyekos
some	se kentsi tlen
somebody	ajkaya
somehow	in kenin
someone	ajkaya
something	kentsi
sometimes	kemantsi
song	tlauikali
soon	chiuaya
sophisticated	piltikayotl
Sorani	Sorani
sore	chichinajtik
sore throat	toskajauaj
sorrow	pinaua
Sorry	Ni machiliya
sort	tlakualali
sought	temojki
soul	itonal
soulmate	itonal koatli
sound	kakalakistli
soup	tsopiatl
sour	chichik
source	yameyali
south	uitstlan
space	tlakatoyan
spam	tlasolamatlakuiloli
span	malkochka
Spanish	kaxtiltlajtoli
spare	tlasenkemiloni
speak	kamati
special	tlapanauiya
species	tlapiyalmej
specific	temachtitlani
spectacular	tlamauisoli
speech	amamekatlkamanali
speechless	axkamanali
speed	ueyojtli
spell	sesekamanali
spend	yalti
spent	yaltitok
spicy	kokolis
spike	uistli
spin	malakachoa
spinach	kanaukilitl
spirit	itonal
spit	chajcha
splendid	espléndido
split	xeliuilistli
spoil	tetlauelkatiliya
spoiled	tetlauelkaki
spontaneous	kamantikayotl
spoon	neollani
spot	kanke
spouse	siua
spread	tlakamauiyaj
spring	xopanili
square	tlanajasantli
squeeze	tlapaxka
squid	calamar
squirrel	tokomajtli
st	ojkali
stab	apuñalar
stable	axmoliniya
stack	pila
staff	tekimaceualmej
stage	kampa sentilise
stain	mancha
stairs	tlamamatlatl
stake	Tlakoipili
stalk	isijiuiya
stall	tlaxikali
stamp	tekiluastli
stand	ketsa
standard	estándar
star	sitlali
start	peualtili
started	pejki
starving	apismiki
state	Altepetl
statement	melaualistli
station	teposkalmimilolkoyan
statue	tekikuili
status	Tlaltokayotl
stay	makauas
stay safe	kuali ximotekipano
steady	chikauak
steak	uakaxnakatl
steal	tlaxtekili
steam	apojtli
steel	ueytepostli
steep	malinali
stem	kiyotl
step	se nenenki
stick	kuauitl
stiff	topalkatl
still	nojuan
sting	tlitsopintli
stingy	nexikoli
stir	maneloli
stock	chiuali
stolen	tlaixtektli
stomach	ijti
stone	tetl
stood	mokestok
stool	ikpal
stop	ketsa
storage	semanali
store	tlanamakiskali
storm	atlakamanilistli
story	nemiliskayotl
stove	tepostlekuili
straight	melauak
straightforward	xitlahuak
strain	kechtkaposteki
strange	chontali
stranger	koyotl
strategy	mochiuastili
straw	popotli
strawberry	asexokotl
streak	chichikuaua
stream	apachkatl
street	ojtli
strength	chikajtok
stress	kuesoualij
stretch	motitijlana
strict	tlanachikauak
strike	tekiketsa
string	mekatl
strip	majkaua
strive	nisenkauas tlen
stroke	apoplejía
strong	chikajtok
struck	xoxoktok
structure	kalmikistetl
struggle	tlauilantli
struggling	tlauilantli
stubborn	axtlakaki
stuck	potsaki
student	machtiani
study	tlamachtili
studying	machitilistli
stuff	tlamantli
stunning	ixapilpintsi
stupid	kuawiwiti
style	yautlajtolistli
subject	ajkeya
submission	Sanmokaua
submit	ipantlanextiliya
substance	yelistli
substitute	maxiltiani
subtle	sutil
succeed	nijpiya tlen nijkeki
success	teasistli
successful	teasilistli
such	tal
such as	kejtsa
suck	chichina
sudden	tlalochtla
suddenly	onmonextiya
suffer	ejeyouiya
suffering	tlaiyouili
sufficient	ixachi
sugar	tlasopeli
suggest	tlen nikijtoua
suggestion	kejatsa nochiuas
suit	yoyomitltsontli
suitable	kimonamiktia
suitcase	euapetlakali
sum	piui
summary	tlakuilolmachitili
summer	xopanatl
summit	itsonyok
sun	iselti
sunday	domingo
sunny	tona
sunset	teotlakili
sunshine	tonamini
super	súper
superior	sempaueyi
supervisor	tlachiyalitlanauatili
supper	kochkayotia
supply	tlailiuischiutli
support	tlapaleuili
suppose	nitlaliyaya
supposed	atlak
sure	tlamelaualistli
surface	ixko
surge	tlatejkoli
surgery	texotlatilistli
surname	tsonka
surprise	axnichiyayaya
surprised	sorprendido
surrender	motemaka
surrounding	tlayoualouaj
surveillance	ixtetlakuitlauiya
survey	maseualtlatlanilistli
survive	niyoltok
suspect	chikoyoloani
suspended	piloa
suspicious	ixkakauanelij
sustain	tekipanoa
sustainability	sostenibilidad
sustainable	mopaleuiketl
swag	tlsixtektekoli
swallow	tlatoloa
swap	tlapatlili
swear	itechtlajtoa
sweat	tlaitonal
sweater	uipiltejtektli
sweep	tlaxpana
sweet	tsopelik
sweet dreams	tsopelik kuckitl
sweet tooth	apixmiki
sweetheart	tlaxochiuilistli
swell	poxaua
swelling	xipotli
swim	ajki
swimming	ajkilistli
swing	tlauiuixoli
switch	tlapatlalistli
swollen	poxajtik
sword	teposmakuauitl
symbol	símbolo
sympathy	simpatía
symptoms	tlen mitskokoa
system	sistema
table	akolpechtli
tackle	tlejkolis
tag	pilamatlakuiloli
tail	tsimpa
take	kiski
take away	uijka
take care	ikayolik
take off	akopatlantli
taken	tlaitok
talk	kamalistli
talkative	sankamatijketl
tall	uejkapantik
tap	teposkisatl
tape	mekatl
target	neyoleualoni
task	semiluitekitl
taste	pakilistli
tasty	ajuiyak
taught	nextili
tea	xiuatl
teach	tlamaxtili
teacher	tlamaxtiketl
team	tlajkia
tear	kotoni
tears	ixayo
tease	tlamakakauiya
technology	teknolotilistli
teeth	tlankoch
tell	kijto
tell me	tleljui
temper	chiuilistli
temperature	totonanmakachiyola
temple	teokali
temporary	atlakualo
ten	matlaktli
ten thousand	se xikipili una makuili tsontli
tenant	kalitlanextili
tend	patlaua
tendency	tendencia
tender	seseltik
tense	imixpa
tension	tenkayotl
tent	kalitlanamakaketl
tentative	teteyeokani
term	tsonkisalistli
terms	sentlaloni
terrible	temamaui
terrific	ueyik
territory	kalitiloayan
test	tetlatemolistli
text	tlajkuiloli
than	tlen
thank	tlaskamati
thank you	Tlaskamati
Thank you for your patience while we investigate shipment	Tlaskamati ti mochistok tikitasej kanke eltok tlen timismakauiluke
thank you so much	miyaj tlaskamati
thank you very much	miyak tlaskamati
thanks	Tlaskamati
Thanks for using our app	tlaskamati titekiuuiya tlen to aplicación
that	Tlachke
that is	kenopa
that's good	nopa kuali
the	in
theft	tlaxtekitl
their	tlen
them	tlen
theme	temachtli
themselves	ne yeuantin
then	uajka
theory	teoria
there	nopano
there are	onka
there is	unka
therefore	yejka elis
these	ni me
they	yeuanti
they are	tlen
thick	tomauak
thief	tlaxtejketl
thigh	mestli
thin	pitsatsi
thing	tlamantli
things	tlenueli
think	tlainamiki
third	tlen eyi
thirsty	amiki
thirteen	matlaktli uan eyi
thirty	sempoali uan matlaktli
this	ne
this is	ni elij
thorough	in iitsintla
thoroughly	malmauili
those	inin
though	maske
thought	tlainamikili
thoughtful	inani
thoughts	ilnamikamatl
thousand	ometsontli uan matlakpoali
thread	ikpatl
threat	kamanalmamauiya
threaten	atemamauiya
three	eyi
threshold	umbral
thrilled	yolpakili
thrive	temoskalistli
throat	toskitl
through	kakanke
throughout	tlen nochipa
throw	majkaualistli
thumb	ueymapili
thunder	tlatomontli
Thursday	Jueves
thus	por consiguiente
tick	chipojtli
tide	aejekatl
tidy	tlatekpanali
tie	kechmekatl
tiger	yaoselotl
tight	tetsiltik
Tigrinya	Tigrinya
time	nemilis
timid	maukayotl
tiny	pilkinitsi
tip	tomitlatlami
tips	temakatlachtlauili
tire	olmalakatl
tired	tlasiauilistli
tissue	ikitilistli
title	Tlatokayotl
to	a
to be	elij
toast	totopochuitsa
today	ama
toddler	pilkonetsa
toes	xokpili
together	sansejko
toilet	kuitlakali
told	kijto
tolerance	tolerancia
tolerate	tolerar
tomato	tomatl
tomorrow	mostla
tongue	nejnepili
tonight	ni youali
too	nojkia
took	nikuik
tool	tepostlatkil
tools	tepostlatkil
tooth	tlankoch
top	itsima
topic	semaxkayotl
torn	tlatlatsayantli
torture	tlaktepauiya
total	nochi
touch	matoka
tough	ui
tour	nejnemi
toward	nepa
towards	kanke
towel	yoyonuajki
town	chinanko
toxic	tóxico
trace	tlatemachiua
track	pista
trade	tlasemananki
tradition	tlamamatilistli
traditional	tlen mochichiua
traffic	ixtlakaualijka
trail	tlanekuilistli
train	teposokuili
training	machtilistli
trait	kejatsa
traits	tlanechyalistli
transfer	makaualtomij
transition	tlapatlalistli
translate	tlaltojkuepa
transparent	tsalantik
transport	aniuaya
transportation	nailkixtilistli
trap	tlakestli
trash	tlasoli
trauma	trauma
travel	nenemilis
tray	akomitl
treasure	teokuitlakayotl
treat	nenemilis
treatment	tepatilistli
tree	kuauitl
tremendous	axtlakaki
trend	tendencia
trial	tetlasontekilistli
trick	truco
tried	nisenkajki
trigger	tepostlatoponi
trim	tejtejki
trip	nenemilis
trouble	tlauililokani
trousers	pantaloj
truck	ueyiteposkauayo
true	MELAUAK
trunk	kuatsomitl
trust	netechmachiliya
truth	Tlamelauak
try	uelis
Tsonga	Tsonga
tube	kokojtli
Tuesday	martes
tuition	tlaxtlauilmachtiyola
turkey	totoli
turmeric	cúrcuma
turn	kueptok
turtle	ayotsi
tutor	motatakajtok
twelve	matlaktli uan ome
twenty	sempoali
twenty-one	sempoali uan se
Twi	Twi
twice	ome uelta
twist	malina
two	ome
type	ajkaya
typical	kolenopaelij
ugly	axyeyejtsi
ultimate	tlaijka
umbrella	kiauiloni
unable	imimatki
uncle	tlayi
unconscious	iuintik
under	tlatsintla tlen
underneath	tlatsintla
underrated	infravalorado
understand	tlamachili
understood	nikuamachili
unfortunately	tlen aompayotl
uniform	yoyoniuikal
unique	iyoltsi
unit	se
university	ueyitlamachtiyoli
unknown	axnikixmati
unless	in pil maske
until	kani
unusual	inusual
up	ixko
up to you	ta tijmati
update	tlen amanok
upgrade	actualización
upon	ipa
upset	pilkualantok
urban	altepeyotl
urge	isiuteua
urgent	ijisiulti
us	tlen
use	tekiutl
used	tekiuijtok
useful	tekiuili
useless	nenkoyotl
usual	tekouiya
usually	tlatekiuili
utility	kitekuiuya
vacation	tekitlasiyakaketl
vaccination	tlatsopintli
vaccine	pajtlitsopintli
vacuum	ilakatstik
vague	sanenemi
valid	nouan kuali
valley	tepetsalan
valuable	patiyo
value	mosemakas
variety	kentsi nochi onka
various	sekinoj
vary	tlen ueli
vase	atliuani
vast	poli
vegetable	xiuitl
vegetables	achiotl
vehicle	teposkauayo
vendor	tlanamakaketl
venom	mikoapatli
venture	arriesgarse
venue	kanaya
verify	sampa xitlachili
versatile	versátil
version	mokamanalis
vertical	vertical
very	miam
very good	senka kuali
vessel	atliuani
via	tepots oktli
vibe	itonalpoloua
vibes	vibras
vicious	auilnemini
victim	tlajkoketl
video	ichtlakopinkamoliniya
view	tlachialis
village	chinanko
villain	tlajpaliuik
vinegar	xokoktli
vintage	uejkani
violence	tlauilantli
violent	tlauisneki
viral	viral
virgin	ichpochtli
virtual	tepostlaixnextili
virtue	chikaulistli
vision	tlachkotalistli
visit	paxaloketl
visual	tikijta
vital	yolnemili
vivid	nemilis
vocabulary	tlajtolsentilistli
voice	toska
void	ayojtle
volume	chikauak
volunteer	motemaka
vomit	misotla
vulnerable	teijnelsi
wage	tlaxtlauili
wages	tlaxtlauili
waist	pitsakayotl
wait	chia
waiter	Tlapaleuitlamakaketl
waiting	chía
wake	isak
wake up	isa
walk	nenemi
walking	nenemilistli
wall	tepamitl
wallet	ajoktomin
wander	neneketl
wanna	nejki
want	kineki
wanted	nenejki
war	yoatltlauilantli
wardrobe	kakokuiyoyomitl
warehouse	tlatiloyan
warm	achi tlatotoniya
warn	yolmeyauali
warning	kiluijkiya
warrior	yaotl
was	yajki
wash	chikuentli
waste	polijtok
watch	tlachiya
water	atl
watermelon	meloj
wave	akueyotl
way	teposojtli
we	tojuanti
we are	tojuanti
we can	tiuelij
weak	kokoxkayotl
weakness	kokoxkayotl
wealth	tlatkilistli
wealthy	ajuiyak
wear	uika
wearing	nijuika
weather	tlaliskayotl
wedding	ijuitlsiuali
Wednesday	miércoles
weed	akauatl
week	semano
weekend	tlanki semano
weight	etik
weird	raro
welcome	kualitiasij
welfare	chikaulistli
Well	Kuali
well done	kuali kichtol
went	yajki
were	yajke
west	ikalakian
wet	xolontok
whale	ueyimichin
what	Tlachke
what about you	tlen ipan ta
what are you doing	Tlachke ti chiua
what are you doing now	Tlachke tichiua amantsi
what are you doing right now	tlachke tichiua amantsi
what do you do	tlachke tichiua
what do you do for a living	tlen timotekichiuaj
what do you mean	tlaxke tijneki tikijtos
what do you want	tlaxke tijneki
what happened	tlen panok
what is	tlachke
what is this	nitlachi
what is your job	katlia moteki
what is your name	kejatsa motoka
what's up	tlachi pano
what's your name	kejatsa mo toka
whatever	tlen ueli
wheat	mekatlauili
wheel	malakachtli
when	kema
whenever	kema uelij
where	Kanke
where are you	kanke ti'istok
where are you from	Kanke ti ualaj
where are you now	kanke ti'istok amantsi
where do you live	kanke mocha
where is	kanke eltok
whereas	neyononotsali
whether	kena
which	katlia
while	maske ni
whisper	ixtakakamati
whistle	tlankikisa
white	chipauak
who	Ajkeya
who are you	tiajkeya
who is	ajkeya
who is this	ejkeya
whole	tlantok
whom	ajkeya
whose	tlen ajkeya
why	paratle
why not	kenke axtle
wicked	tlauelilok
wide	tlauexko
widow	okichmijki
width	koyauak
wife	siua
wild	tekualchine
will	tlanekilistli
willing	mosenkauani
win	tlatlani
wind	ajakatl
window	tlanexilotl
windy	iyeyi
wine	oktli
winter	tlaseseyankapa
wipe	xinechpanolti se yoyomitl
wire	mejatepostli
wisdom	tlamatilistli
wise	tlamatini
wish	aonemalistika
wish you all the best	tlen eluitilistli senka kuali
witch	siuanauali
with	uaya
withdraw	xiuikata
withdrawal	kueniya
within	kalajtok
without	atle
witness	tlen kiitak
witty	tlachialiani
wolf	koyotl
woman	siuatl
women	toauimej
won	tlatlanki
won't	axtiase
wonder	nimotlatlani
wonderful	tlamauitsoli
wood	kuauitl
wool	ixkatsomitl
word	kamanali
words	kamanali
work	tekitl
work out	neyekolistli
working	peualistli
world	Tlaltepaktli
worm	okuili
worn	nijuikak
worried	tekipachoa
worry	kuesoualij
worse	tlanaluili
worship	teotia
worst	tlanalui
worth	patiyotl
worth it	axtlapijnaltli
worthy	ixtikiloni
would	Axueli
wound	tlauitektli
Wow	guau
wrap	kemiloa
wrath	kokoli
wrist	siuajauili
write	tlakuiloli
Write here	nikani xitlakuilo
writing	machioli
written	tlakuiloli
wrong	axkuali
wrote	notlakuilo
yard	kalika
yawn	kochkamachaloli
Yeah	Kena
year	xiutl
years	xiuitl
yeast	xokotextli
yell	kuatsatsili
yellow	kostik
Yes	Kena
yes baby	kena konetl
yes dear	kena teijnelsi
yes honey	kejna teijnelsi
yes my love	Kena no tlasojtla
yes of course	kenaj
yesterday	yaljuaya
yet	nojuan
yield	tlatlanitomi
you	Ta
you are	elij
you are beautiful	tu elij yeyejtsi
you are so beautiful	ta ti elij tlauel yeyejtsi
you are welcome	Axtleno
you can	ya ti uelij
You know	ya tijmati
you too	ta nojkia
you're welcome	axtleno
young	telpokatl
your	ta
your welcome	axtleno
yourself	ta niman
youth	telpokayotl
you’re welcome	axtleno
yummy	ajuiyak
zero	amopouali
