a	i
quarter	ikota
Quechua	isiQuechua
queen	indlovukazi
query	umbuzo
question	umbuzo
queue	umjeje
quick	msinya
quickly	msinyazana
quiet	thula
quilt	ikhavara yombhede
quit	lisa
quite	pheleleko
quiz	ikhwizi
quotation	ikhothetjheni
quote	dzubhula
quote	umdzubhulo
quotes	imidzubhulo
rabbit	umqasa
race	ubuhlanga
rage	ukufutheka
rain	izulu
raise	khuphula
raise	ukukhuphula
raised	khuliswe
ran	balekile
random	ngakhethiko
range	umhlobo
rapid	msinya
rapidly	msinya
rare	ngakavami
rarely	ngokungakavami
rash	amathuthuva
rat	ikhondlo
rate	inani
rather	ngcono
ratio	iretjhiyo
rational	zwakalako
raw	hlaza
reach	fikelela
reached	fikelele
reaction	ipenduko
read	funda
reading	ukufunda
ready	lungele
real	kwamambala
reality	iqiniso
realize	ukulemuka
realized	lemuka
really	kwamambala
rear	ngakandi
reason	isizathu
reasonable	zwakalako
recall	khumbula
receipt	irasidi
receive	thola
received	tholile
recent	mhlapha
recently	mhlapha
reception	ukwamukela
recipe	iresibhu
reckless	ngakhathaliko
recognition	ukukhumbula
recognize	khumbula
recommend	phakamisa
recommended	phakamisiwe
record	rekhoda
record	ukurekhoda
recover	thola godu
recovery	ukululama
rectangle	uncane
red	bomvu
redeem	ukuhlenga
redemption	ukuhlengwa
reduce	phungula
redundant	okungafunekiko
refer	dlulisela
reference	ireferensi
reflect	tjengisa
reflection	isiboniso
refrain	zibambe
refrigerator	ifriji
refund	ukubuyiselwa imali
refuse	yala
refused	yala
regard	mayelana
regarding	mayelana
regardless	kungakhathaleki
regards	mayelana
region	isifunda
register	irejistara
regret	zisola
regular	kanengi
regularly	kanengi
reject	yala
relate	hlobana
related	hlobene
relationship	ubuhlobo
relative	hlobanako
relative	isihlobo
relatives	iinini
relax	ledlha
release	khupha
release	ukukhupha
released	khutjhwa
relevant	faneleko
reliable	thembekile
relief	ukuphumuza
relieve	ukuphungula
relieved	khululekile
religion	ikolo
religious	kwekolo
reluctant	ukuba nokuzaza
rely	thembela
remain	sala
remaining	seleko
remarkable	qalekako
remedy	ipengu
remember	khumbula
remind	khumbuza
reminder	isikhumbuzo
remote	kude
remove	susa
render	yenza
rent	irende
repair	lungisa
repeat	buyelela
replace	ukujamiselela
reply	phendula
reply	ipendulo
report	umbiko
report	bika
represent	jamela
reputation	ibuyelelo
request	bawa
request	isibawo
require	funeka
required	okufunekako
rescue	sindisa
research	irhubhululo
resemble	fuza
resentment	ukusilingeka
reservation	ukubekisa
reserve	ukubekisa
resident	umhlali
resign	tjhiya phasi
resilience	ukuqina
resilient	eqinileko
resist	yala
resistance	ukujamelana
resolution	isisombululo
resolve	rarulula
resort	indawo yokuphumula
resources	imithombo
respect	hlonipha
respect	ihlonipho
respond	phendula
response	ipendulo
responsibility	isibopho
responsible	nesibopho
rest	phumula
rest in peace	lala uphumule ngokuthula
restaurant	irestjurendi
restore	buyisela esigeni
restrict	vimbela
result	umphumela
results	imiphumela
resume	thoma
retail	isitolo
retain	buyisa
retention	ukulondwa
retired	thethe umhlalaphasi
retreat	ukuhlehla
retrieve	buyisa
return	ukubuya
reveal	vumbulula
revealed	bonisa
revenge	ukuzibuyiselela
revenue	irevenyu
reverse	buyela emva
review	ukubuyekeza
review	buyekeza
revise	buyekeza
revision	ukubuyekeza
revolution	ivukelombuso
reward	umtlomelo
rhythm	igido
rib	imbambo
rice	ireyisi
rich	ukunjinga
rid	susa
ride	khwela
ride	ukukhwela
ridiculous	hlekisako
right	kulungile
right	-isidlela
right now	njenganje
rigid	qina
ring	idzilamnwana
rinse	pula
riot	ukubhenyoga
rip	dabula
rip	ukudabula
ripe	vuthwa
rise	ukuphakama
rise	phakama
risk	ingozi
rival	bangisanako
river	umlambo
road	indlela
roast	osa
robust	qina
rock	ilitje
rod	intongana
role	indima
roll	gedeka
roof	umfulelo
room	ikamero
root	umrabhu
rope	irowubhu
rotten	ukubola
rough	maguzuguzu
roughly	maguzuguzu
round	rono
route	indlela
routine	kwangamalanga
row	ireyi
rub	hlikihla
rubber	iraba
rubbish	iinsila
rude	ukungazisi
rug	umada
ruin	ona
rule	umthetho
ruler	irula
rules	imithetho
run	gijima
running	ukugijima
rural	kwamaplasi
rush	rhaba
rush	ukurhaba
sack	umgodla
sacred	cwengileko
sacrifice	umhlatjelo
safe	phephile
safe flight	ukhambe kuhle
safety	ivikeleko
sage	hlakaniphile
said	uthe
sail	ukuthaya emanzini
sailing	ukuthaya
sake	ngenca
salary	umrholo
sale	indali
salmon	isalmoni
salt	itswayi
same	fanako
Same here	Nami kunjalo
sample	isampula
sand	isanta
Sanskrit	isiSanskrit
sarcastic	ukurhwala
sat	hlala
satisfaction	aneliseka
satisfied	aneliseka
satisfy	anelisako
satisfying	anelisako
Saturday	Mgqibelo
sausage	isoseji
savage	ukungalawuleki
save	onga
saw	bonile
say	itjho
scale	isikala
scam	ubukirikitjana
scar	isibazi
scarce	tlhogekako
scared	esaba
scarf	isikhafu
scary	sabekako
scattered	rhatjhekileko
scene	isiqephu
scenery	indawo
scent	umnuko
schedule	hlela
schedule	ihlelo
school	isikolo
science	isayensi
scientist	usosayensi
scientists	abososayensi
scissors	isikere
scold	ukukhalima
scope	isilinganiso
score	skora
scrap	isikrebhe
scratch	nghwara
scream	rhuwelela
screen	umpheme
screw	isikrufu
script	isikribhu
sea	ilwandle
seal	vala
search	rhubhulula
season	isikhathi somnyaka
seat	isihlalo
second	kwesibili
secret	ifihlo
section	isigaba
secure	vikeleka
security	ivikeleko
see	qala
see you	sizakubonana
see you later	sakubonana
see you soon	sizakubonana msinya
see you tomorrow	sakubonana kusasa
seed	imbewu
seek	funa
seem	kwangathi
seems	sengathi
seen	boniwe
seize	isayizi
seizure	ukutsirimezeka
seldom	kanengi
select	khetha
self	kwakho
self healing	ukuzelapha wena
selfish	ukuba nehliziyo embi
sell	thengisa
send	thumela
send me your picture	ngithumela isithombe sakho
senior	phezulu
sense	umuzwa
sensible	zwakalako
sensitive	ukuba nezwelo
sent	thumele
sentence	umutjho
sentences	imitjho
separate	hlukanisa
Sepedi	iSepedi
september	ukhukhulamungu
sequence	ukulandelana
series	ilungelunge
serious	ncamileko
seriously	kwamambala
serve	sebenza
service	umsebenzi
session	isetjheni
set	seda
set	isede
set up	ukuhlela
setting	indawo
settle	hlala
seven	ikhomba
seventeen	itjhumi nekhomba
seventy	amatjhumi alikhomba
several	okumbalwa
severe	ngamandla
sew	thunga
shade	umthunzi
shadow	isithunzi
shake	khuhluza
shall	ngizaku
shallow	ngatjhingiko
shame	ziinhloni
shape	ijamo
share	abelana
sharp	bukhali
she has	une
she is	uya
shed	itjhede
sheep	imvu
sheet	iphepha
shelf	itjhelfu
shell	iqephe
shelter	ubusithelo
shield	isihlangu
shift	tjhida
shine	rhanyazela
ship	isikepe
shipping	ukuthwala ngesikepe
shirt	irhambe
shoes	amanyathelo
shoot	dumuza
shop	isitolo
shopping	ukuthenga
shore	iqadi lamanzi
short	fitjhani
shortage	ukutjhoda
shot	ukudumuza
shot	dumuza
should	fanele
shoulder	ihlombe
shout	memeza
show	tjengisa
show	ukutjengisa
show me	ngitjengisa
shower	itjhawara
shrimp	imfanzi
shrink	ukurhunyela
shut	vala
shut up	thula
shy	iba neenhloni
sibling	umntwana wakwenu
siblings	izelamani
sick	gula
side	ihlangothi
sigh	ukububula
sight	ikghono
sightseeing	ukubona indawo
sign	itshwayo
signature	umtlikitlo
significant	qakathekileko
silence	ukuthula
silent	ukuthula
silk	isiliga
silly	ubudlhadlha
silver	isiliva
similar	fanako
simp	lula
simple	lula
simultaneously	kanye kanye
since	soloko
sincere	othandekako
sincerely	othandekako
sing	vuma
singer	umvumi
single	wedwa
sink	ukucwila
sink	cwila
Sir	Nomzana
sister	udade
sister in law	umrharibo
sit	hlala
site	indawo
situation	ubujamo
six	sithandathu
sixteen	itjhumi nesithandathu
sixty	amatjhumi asithandathu
size	isayizi
skill	ikghonofundwa
skills	amakghonofundwa
skin	isikhumba
skinny	matsikani
skip	yeqa
skirt	isikerde
sky	umkayi
slave	isigqila
sleep	lala
sleeping	ukulala
sleepy	ukulala
sleeve	umkhono
slice	ukusineya
slice	sineya
slide	tjhelela
slightly	kancazana
slim	matsikana
slip	tjhelela
slope	umkhuphuka
slot	indawo
slow	kabuthaka
slowly	kabuthaka
small	ncani
smart	hlakaniphileko
smell	umnuko
smile	momotheka
smile	ukumomotheka
smoke	intuthu
smooth	butjhelela
snack	isineki
snail	isibungu
snake	inyoka
snap	phahlaka
snow	irhwaba
so	yeke
so cute	kuhle khulu
so far	bekube nje
soak	thambisa
soap	isibha
sober	ngakadakwa
soccer	ibholo erarhwako
social	ihlalakuhle
society	umphakathi
socks	amakowusu
soft	thambileko
software	isoftwe
soil	ihlabathi
sold	thengisiwe
sold out	kuthengisiwe
soldier	isotja
sole	yedwa
solid	qinileko
solution	isisombululo
solve	rarulula
some	okhunye
somebody	omunye umuntu
somehow	ngenye indlela
someone	omunye umuntu
something	okuthileko
sometimes	kwesinye isikhathi
song	ingoma
soon	msinyazana
sophisticated	nelwazi
Sorani	isiSorani
sore	ubuhlungu
sore	buhlungu
sore throat	umphimbo obuhlungu
sorrow	isizi
Sorry	Ncancabe
sort	hlukanisa
sought	funa
soul	umphefumulo
soulmate	umathandana
sound	itjhada
soup	isobho
sour	siri
source	umthombo
south	esewula
South Ndebele	Isindebele
space	isikhala
spam	isipamu
span	isipani
Spanish	i-Spanish
spare	onga
spare	ongileko
speak	khuluma
special	khethekileko
species	imihlobo
specific	khethekileko
spectacular	qalekako
speech	ikulumo
speechless	tlhoga umlomo
speed	ibelo
spell	umoya omumbi
spend	sebenzisa
spent	sebenzisa
spicy	okubabako
spike	ihlabihlabi
spin	drayisa
spinach	isipinatjhi
spirit	umoya
spit	khafula
splendid	bukhazikhazi
split	ukuhlukanisa
split	ahlukanisa
spoil	ona
spoiled	konakele
spontaneous	ukuzenzakalela
spoon	isigobho
spot	icatjhazi
spouse	umlingani
spread	rhatjheka
spring	itwasahlobo
square	isikwere
squeeze	minya
squirrel	ubudorana
stab	hlaba
stable	nzinza
stack	isitaka
staff	isisebenzi
stage	isiteji
stage	isigaba
stain	ibala
stairs	amastebhisi
stake	isikhonkhwani
stalk	isiqu
stall	isitolo
stamp	isitembu
stand	ukujama
stand	jama
standard	ibanga
star	ikwekwezi
start	thoma
started	thomileko
starving	lamba
state	jama
state	ubujamo
statement	isitatimende
station	isitetjhi
statue	isithombe
status	ubujamo
stay	ukuhlala
stay	hlala
stay safe	uhlale ngokuphepha
steady	ngatjhidiko
steak	inyama yekomo
steal	yeba
steam	isitimu
steel	isimbi
steep	ehlela
stem	isiqu
step	isitepe
stick	isigodo
stiff	lukhuni
still	bekufike
still	-nganyakaziko
sting	tinyela
stingy	ukudimana
stir	rura
stock	isitoko
stolen	yetjiwe
stomach	amathumbu
stone	ilitje
stood	sikima
stool	amakaka
stop	jama
storage	indawo yokubeka
store	isitolo
storm	amawuruwuru
story	indatjana
stove	isitofu
straight	nqopha
straightforward	bunqopha
strain	ubudisi
strange	rarako
stranger	isivakatjhi
strategy	iqhinga
straw	isitro
strawberry	isitrubheri
streak	umuda
stream	umlanjana
street	isitrada
strength	amandla
stress	igandelelo
stretch	naba
strict	bukhali
strike	ukubhenyoga
string	intambo
strip	umtletle
strive	lwela
stroke	isitrowugu
strong	namandla
struck	wabetha
structure	isakhiwo
struggle	umtlhago
struggle	tlhaga
struggling	tlhaga
stubborn	unekani
stuck	pakelana
student	isitjudeni
study	funda
study	ukufunda
studying	ukufunda
stuff	izinto
stunning	karisako
stupid	isidlhadlha
style	isitayela
subject	isifundo
submission	ukuthumela
submit	thumela
substance	isiqa
substitute	jamiselela
subtle	okufihlekileko
succeed	phumelela
success	ipumelelo
successful	ngepumelelo
such	njenga
such as	okufana ne
suck	munya
sudden	msinyazana
suddenly	msinyazana
suffer	tlhaga
suffering	umtlhago
sufficient	kwanele
sugar	itjhukela
suggest	phakamisa
suggestion	isiphakamiso
suit	ukufanela
suit	fanela
suitable	faneleko
suitcase	isikhwama
sum	isibalo
summary	isirhunyezo
summer	ihlobo
summit	umbuthano
sun	ilanga
sunday	usondo
sunny	kuyatjhisa
sunset	ukutjhinga kwelanga
sunshine	ukuphuma kwelanga
super	phezulu
superior	ngaphezulu
supervisor	umtlhogomeli
supper	isidlo samadina
supply	thuthela
supply	ukuthuthela
support	sekela
support	ukusekela
suppose	kokudlumbana
supposed	okufanele
sure	kwamambala
surface	ilingaphandle
surge	iwobhu
surgery	isejari
surname	isibongo
surprise	rara
surprised	rareka
surrender	lahlela itewu
surrounding	ukuragelela
surveillance	ukugadwa
survey	phenya
survey	iphenyo
survive	sinda
suspect	umrhononwa
suspect	rhonona
suspended	janyisiweko
suspicious	solekako
sustain	nepumelelo
sustainability	nepumelelo
sustainable	sebenza isikhathi eside
swag	umswenko
swallow	ginya
swap	tjhentjha
swear	thukana
sweat	umjuluko
sweater	isikipa
sweep	thanyela
sweet	sudu
sweet dreams	ubhudange kamnandi
sweet tooth	ukuthanda izinto ezisudu
sweetheart	sithandwa
swell	ukuvuvuka
swelling	ukuvuvuka
swim	duda
swimming	ukududa
swing	jinka
swing	ukujinka
switch	ukukhanyisa
switch	khanyisa
swollen	vuvukile
sword	isabula
symbol	itshwayo
sympathy	izwelo
symptoms	amatshwayo
system	ihlelo
table	itafula
tackle	ukuzama
tag	ukumaka
tail	umsila
take	thatha
take away	thatha ukhambe
take care	tlhogomela
take off	thoma
taken	thethe
talk	khuluma
talk	ukukhuluma
talkative	khulumako
tall	dege
tap	pompa
tap	ipompi
tape	itheyibhu
target	ukuqothelwa
target	qothela
task	umsebenzi
taste	nambitha
taste	umnambitho
tasty	nambithekako
taught	fundisiwe
tea	itiye
teach	fundisa
teacher	umfundisi
team	isiqhema
tear	dabula
tears	iinyembezi
tease	rhuga
technology	ithekhnoloji
teeth	amazinyo
tell	tjela
tell me	ngitjela
temper	ilaka
temperature	izinga lokutjhisa
temple	ithempeli
temporary	kwesikhatjhana
ten	itjhumi
ten thousand	iinkulungwana ezilitjhumi
tenant	umqatjhi
tend	vane
tendency	umkhuba
tender	ithenda
tense	isikhathi
tension	ukutjhuba komoya
tent	itende
tentative	okungaba ngikho
term	ithemu
terms	imibandela
terrible	kumbi
terrific	kuhle khulu
territory	isifunda
test	hlahluba
test	isihlahlubo
text	itheksti
than	kuna
thank	thokoza
thank you	ngiyathokoza
Thank you for your patience while we investigate shipment	Ngiyathokoza ngokuzithoba kwakho
thank you so much	ngithokoza khulu
thank you very much	ngithokoza khulu
thanks	ngiyathokoza
Thanks for using our app	Siyathokoza ukobana usebenzise i-ep yethu
that	lokho
that is	ngilokhu
that's good	kuhle
the	i
theft	ukweba
their	kwabo
them	bona
theme	ummongo
themselves	bona
then	yeke
theory	ithiyori
there	lapha
there are	kuna
there is	kune
therefore	ngakhoke
these	lokhu
they	bona
they are	ba
thick	dege
thief	isilelesi
thigh	igoji
thin	matsikana
thing	into
things	izinto
think	cabanga
third	kwesithathu
thirsty	ukoma
thirteen	itjhumi nantathu
thirty	amatjhumi amathathu
this	lokhu
this is	lokhu yi
thorough	mbala
thoroughly	ngamandla
those	labo
though	nanyana
thoughtful	ocabangelako
thoughts	imibono
thousand	ikulungwana
thread	irhara
threat	ingozi
threaten	sabisa
three	kuthathu
threshold	ubungeno
thrilled	ukuthaba
thrive	zama
throat	umphimbo
through	dlulako
throughout	koke
throw	phosa
thumb	uthubhakghuru
thunder	amawuruwuru
Thursday	Lesine
thus	ngikho
tick	tshwaya
tide	bopha
tidy	hlanzekileko
tie	bopha
tie	ukubopha
tiger	ingwe
tight	qinileko
Tigrinya	isiTigrinya
time	isikhathi
timid	ukuba nevalo
tiny	ncani khulu
tip	isiyeleliso
tips	iiyeleliso
tire	itayere
tired	diniwe
tissue	ithitjhu
title	ithayitlela
to	ku
toast	ithowusti
today	namhlanjesi
toddler	umntwana omncani
toes	amazwani
together	sisoke
toilet	indlwana yangasese
told	tjele
tolerance	ukubekezela
tolerate	bekezela
tomato	itamati
tomorrow	kusasa
tongue	ilimi
tonight	ebusuku
too	ngokudlulisa
took	thethe
tool	isisetjenziswa
tools	iinsetjenziswa
tooth	izinyo
top	phezulu
topic	isihloko
torn	dabuka
torture	tlhorisa
total	inani loke
touch	thinta
tough	qinileko
tour	ikhambo
toward	ngaku
towards	nakusondele
towel	ithawula
town	idorobho
toxic	yimbi
trace	landela umkhondo
track	umkhondo
trade	rhweba
trade	irhwebo
tradition	isiko
traditional	kwendabuko
traffic	itrafiki
trail	umkhondo
train	isitimela
training	ibandulo
trait	umkhuba
traits	imikhondo
transfer	dlulisela
transition	ukutjhuguluka
translate	tjhugulula
transparent	tjhatjhalazi
transport	isithuthi
transportation	ukuthutha
trap	thiya
trash	iinsila
trauma	ukutlhoriseka
travel	khamba
tray	ithreyi
treasure	igugu
treat	phatha
treatment	ipatho
tree	umuthi
tremendous	ngokudluleleko
trend	umukghwa
trial	ukugwetjwa
trick	iqhinga
tried	zama
trigger	ukususa
trigger	susa
trim	qunta
trip	ikhambo
trouble	ingozi
trousers	amabhrugu
truck	ithraga
true	LIQINISO
trunk	umzimba
trust	ukuthembeka
trust	themba
truth	iqiniso
try	zama
Tsonga	isiTsonga
tube	itjhubhu
Tuesday	ngeLesibili
tuition	ifundo
turkey	igaligune
turmeric	itjhumeriki
turn	jika
turtle	ikghuru yelwandle
tutor	umfundisi
twelve	itjhumi nambili
twenty	amatjhumi amabili
twenty-one	amatjhumi amabili nanye
Twi	isiTwi
twice	kabili
twist	ukusonga
two	kubili
type	umhlobo
typical	yomhlobo
ugly	mbi
ultimate	ekugcineni
umbrella	isambreli
unable	ngakghoniko
uncle	umalume
unconscious	tsirimezeka
under	ngaphasi
underneath	ngaphasi
underrated	okungaphasi
understand	zwisisa
understood	zwisisa
unfortunately	ngebhadi
uniform	ijinifomu
unique	khethekileko
unit	iyunidi
university	iyunivesithi
unknown	ngaziwako
unless	ngaphandle kokuthi
until	bekube
unusual	ngakajayeleki
up	phezulu
up to you	kuphuma kuwe
update	khwezelela
update	ukukhwezelela
upgrade	khuphula
upgrade	ukukhuphula
upon	kwesinye
upset	dana
urban	edorobheni
urge	tjhisakala
urge	itjisakalo
urgent	msinya
us	thina
use	ukusebenzisa
use	sebenzisa
used	sebenzileko
useful	lisizo
useless	nganamsebenzi
usual	jayelekileko
usually	vamileko
utility	ukusebenziseka
vacation	iholideyi
vaccination	umjovo
vaccine	umjovo
vacuum	ilize lelize
vague	ngazwakaliko
valid	isemthethweni
valley	umbundu
valuable	okuligugu
value	siza
value	ukusiza
variety	imihlobohlobo
various	okuhlukahlukeneko
vary	hluka
vase	ivasi
vast	inengi
vegetable	umrorho
vegetables	imirorho
vehicle	isithuthi
vendor	umthengisi
venom	itjhefu
venture	ukuthoma
venue	indawo
verify	qinisekisa
versatile	ehlukahlukeneko
version	umhlobo
vertical	thwi
very	khulu
very good	kuhle khulu
vessel	isikepe
via	ukuya
vibe	ubujamo
vibes	okwenzekako
vicious	bukhali
victim	ungazimbi
video	ividiyo
view	umbono
village	isigodi
villain	isigebengu
vinegar	iviniga
vintage	kwakade
violence	inturhu
violent	inturhu
viral	ingogwana
virgin	ngakathintwa
virtual	ithungelelwano
virtue	ubuhle
vision	umbono
visit	ivakatjho
visit	vakatjha
visual	ezibonakalako
vital	qakathekileko
vivid	bonakalako
vocabulary	ilwazimagama
voice	iphimbo
void	isikhala
volume	umthamo
volunteer	ukuzinikela
vomit	ukuhlanza
vomit	hlanza
vulnerable	sengozini
wage	umrholo
wages	imirholo
waist	idini
wait	linda
waiter	uweyitha
waiting	lindileko
wake	vuka
wake up	vuka
walk	khamba
walk	ukukhamba
walking	ukukhamba
wall	umthangala
wallet	isikhwama
wander	zulazula
wanna	ngiza
want	funa
wanted	funwa
war	ipi
wardrobe	iwodrobho
warehouse	iwehawusi
warm	futhumala
warm	futhumeleko
warn	yelelisa
warning	ukukhalima
warrior	isotja
was	yabe
wash	hlanza
waste	ukona
waste	ona
watch	qala
water	amanzi
watermelon	ikhabe
wave	igagasi
way	indlela
we	thina
we are	si
we can	singakghona
weak	sibaga
weakness	ukubogaboga
wealth	umnono
wealthy	njingileko
wear	mbatha
wearing	ukwembatha
weather	ubujamo bezulu
wedding	umtjhado
Wednesday	ngeLesithathu
weed	umonyana
weed	isangu
week	iveke
weekend	ipelaveke
weight	ubudisi
weird	rarako
welcome	siyakwamukela
welfare	ihlalakuhle
Well	Kuhle
well done	usebenzile
went	khambile
were	besi
west	etjingalanga
wet	manzi
whale	umkhomo
what	ini
what about you	alo wena
what are you doing	wenzani
what are you doing now	wenzani njenganje
what are you doing right now	wenza ini njenganje
what do you do	wenza ini
what do you do for a living	usebenza kuphi
what do you mean	utjho ukuthini
what do you want	ufuna ini
what happened	kwenzekeni
what is	yini
what is this	khuyini lokhu
what is your job	uyini umsebenzi wakho
what is your name	ungubani ibizo lakho
what's up	kwenzekani
what's your name	ungubani ibizo lakho
whatever	nanyana yini
wheat	ikoroyi
wheel	ivilo
when	nini
whenever	nanyana ngiyiphi
where	kuphi
where are you	ukuphi
where are you from	ubuya kuphi
where are you now	ukuphi njenganje
where do you live	uhlala kuphi
where is	kuphi
whereas	njengokuthi
whether	namkha
which	yiphi
while	lokha
whisper	hleba
whistle	ifengwana
white	mhlophe
who	ngubani
who are you	ungubani wena
who is	ngubani
who is this	ngubani lo
whole	koke
whom	ngubani
whose	kabani
why	kubayini
why not	kubayini
wicked	ngakalungi
wide	banzi
widow	umfelokazi
width	ububanzi
wife	ukosikazi
wild	kwemmangweni
will	isifiso
will	-ngizaku
willing	ukufuna
win	thumba
wind	ummoya
window	ifesdere
windy	kunommoya
wine	iwayini
winter	ubusika
wipe	sula
wire	idrada
wisdom	ukuhlakanipha
wise	hlakaniphile
wish	isifiso
wish	fisa
wish you all the best	sikufisela okuhle kodwa
witch	umloyi
with	ne
withdraw	lisa
withdrawal	ukulisa
within	hlangana
without	ngaphandle kwe
witness	fakaza
witness	ufakazi
witty	uhlakaniphile
wolf	ipisi
woman	umfazi
women	abomma
won	thumba
wonder	ngiyazibuza
wonderful	kuhle
wood	iinkuni
wool	ivolo
word	igama
words	amagama
work	umsebenzi
work	sebenza
work out	sebenza
working	ukusebenza
world	iphasi
worm	isibungu
worn	embatha
worried	tshwenyeka
worry	tshwenyeka
worse	mbi khulu
worship	ukukhonza
worst	ngokudluleleko
worth	lungele
worth it	kuyafaneleka
worthy	faneleko
would	ngizoku
wound	isilonda
Wow	Bababe
wrap	phuthela
wrath	ilaka
wrist	isihlakala
write	tlola
Write here	Tlola lapha
writing	ukutlola
written	tlolwe
wrong	ngakalungi
wrote	tlole
yard	ijarada
yawn	ukuzamula
yawn	zamula
Yeah	Iye
year	umnyaka
years	iminyaka
yeast	isibiliso
yell	ukurasa
yellow	sarulani
Yes	Iye
yes baby	iye mntwana
yes dear	iye sithandwa
yes honey	iye sithandwa
yes my love	iye sithandwa sami
yes of course	iye kunjalo
yesterday	izolo
yet	ukube
yield	lisa
you	wena
you are	ungu
you are beautiful	wena umuhle
you are so beautiful	umuhle khulu
you are welcome	ngiyathokoza
you can	ungenza
You know	Uyazi
you too	nawe
you're welcome	wamukelekile
young	sesemutjha
your	yakho
your welcome	wamukelekile
yourself	wena ngokwakho
youth	itja
you’re welcome	ngiyathokoza
yummy	mnandi
zero	iziro
