kou'n	a
n'ga sran kula si i	official
tchin vie	often
Oh	Oh
oh sakpa	oh really
kan'ni n'zue	oil
essenci	oil
etipka	ok
n'tili mi sran kpa	ok dear
n'tili mi wu'n	ok honey
n'tili mi yi	ok honey
n'tili mi wu'n	ok my love
n'tili mi yi	ok my love
etipka	okay
n'tili mi yi	okay baby
n'tili mi sran kpa	okay dear
n'tili mi wu'n	okay honey
n'tili mi yi	okay honey
n'tili mi wu'n	okay my love
n'tili mi yi	okay my love
lã	old
issu	on
kpɛ kun'gba	once
ku'n	one
kun'gba	one
aien kun ti a kaka	one language is never enough
jaba	onion
interneti su	online
ku'n gba	only
tike	open
nigue me yolɛ	operation
akun'nda	opinion
juman mu	opportunities
saa kpaa	opportunity
n'dɛ fɛ	opportunity
bue kun	opposite
lafi su	optimistic
i wafa uflɛ	option
n'ga ti a tʃinji	optional
anzɛɛ	or
lomi	orange
domi	orange
suman	order
n'ga ti titi like	ordinary
iyo lɛ	organization
i kaki wlɛ	orientation
lika n'ga e fi'n	origin
iba kpa	original
Oromo	Oromo
ayika ba	orphan
uflɛ	other
iwafa uflɛ	otherwise
wa	ought
ye	our
Ye juman: ye yo nan sran n'gba, lika n'gba, be ti be wun anien kɔkun be yijɔ anien me nu.	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
Ye juman : sie sie minh nu n'dɛ nan sran me n'gba bé kwla wun' yi.	Our mission: to organize the world's information and make it universally accessible and useful.
guassu	out
i vie wlɛ	outcome
tralɛ	outfit
n'ga fite	outgoing
trã lɛ	outlet
fite	outlet
klekle	outline
guassu	outside
iti wlɛ	outstanding
fouri	oven
aliɛ n'vuen tonwlɛ	oven
issu	over
lɔ fan	over there
in'gba	overall
ekula yoli	overcome
bu akun'nda dan	overthinking
akun'nda son li	overwhelmed
e tin su	overwhelming
ye liɔ	owe
apkatue	owl
ibɔbɔ	own
sran n'ga liɛ	owner
apkatue	ox
iwafa n'ga efa yo	pace
kata i wun	pack
ibɔlɛ	package
pake	package
tua	paid
yaa	pain
pinturi yolɛ	paint
painturi yolɛ	painting
n'ɲon	pair
etiɛ i sran su	pale
n'me	palm
sɛ	pan
tukpa ʃɛ	pandemic
kunnu wa san'gan	panic
fieto mu	pants
fluwa	paper
blɔlɔ	paradise
n'nion	parallel
assiɛ	parcel
lika	parcel
yaki	pardon
ye si ni et ye nimu	parents
lika n'ga be jran loto mu	park
annun'man n'ga yijɔ	parrot
persili n'ɲa	parsley
bue	part
yo vie	participate
like kpa	particular
isso liɛ su	particularly
javuɛ	partner
fɛtri	party
sin	pass
atin'	passage
sin'wlɛ	passage
sin li	passed
like klolɛ	passion
n'klo i	passionate
n'ga sin	passive
i lacle	password
lã	past
n'ga be kwla sie sie	patch
ati'n	path
akpɔ	path
eyo anvon	pathetic
midɛlɛ	patience
kpli man	patient
trɛ i awlɛn	patient
issɔ tiɛ	pattern
jran kan	pause
apkɔ i lika n'ga be sin bé janu	pavement
to	pay
akatua	payment
akunudjuɛ	peace
aunjuɛ	peaceful
koa tolɛ	peach
iti pien'bie	peak
pɔmi i wafa kun	pear
nin'gue n'ma	peas
peti pua	peas
n'ga ti a titi like	peculiar
n'mie	pee
kplokplo	peel
n'ɲon	peer
n'nion	peers
biki	pen
biki	pencil
n'ga tɛ wolɛ	pending
n'ga be nan yoman	pending
sran mu	people
mankun	pepper
fa	perceive
iwafa n'ga a fa wu'n yi	perception
tɛ numan'nu	perfect
di juman	perform
affɛ	performance
ewa yo	perhaps
issɔ blɛ	period
dɔ kulã	permanent
man atin	permission
man ati'n	permit
awlin ba like	perseverance
ekin i yekun	persistent
sran	person
sran kun liɛ	personal
sran i wafa n'ga ti	personality
sran dan	personality
n'ga kula yo su	perspective
yo min ekpli'n su	persuade
e klo yassua	pervert
e klo bla	pervert
n'guã kanlin nin'gue	pet
i bue	phase
n'dɛ sɔ	phenomenon
minh i wunlɛ wafa wuflɛ	philosophy
telefɔni	phone
foto	photo
i jolɛ	phrase
ibɔbɔ ba	physical
man kun'ssu	pick
fa	pick up
man su	pick up
wawɛ	picture
photo	picture
i bue	piece
bue mu	pieces
kɔkɔti	pig
okuomo	pigeon
pili	pile
n'ga a sie a ti su	pillow
avion condufuɛ	pilot
tra i	pin
anana	pineapple
wufue	pink
kun'man	pit
idjɔwlɛ	pitch
siewlɛ	pitch
anvɔ	pity
lika	place
placi	places
lika	places
tupkaki	plague
assiɛ kpa	plain
akun'nda	plan
alapla	plane
dua	plant
waka n'ma mu	plants
kpon'gbo ba	plate
juman lika	platform
kan ngua	play
to	playing
eyo fɛ	pleasant
fɛ	pleasant
n'kpata wɔ	please
yo fɛ	pleased
yo fɛ	pleasure
man i nuan	pledge
i n'gba	plenty
yiwa	plenty
assiɛ	plot
fluwa	plug
i ti	plug
waka n'ma	plum
plombie	plumber
kaka'm	plural
like n'ga be ti ni be su	podcast
yijolɛ klanman	poem
kan n'dɛme ni yijolɛ klanman	poetry
lika kun	point
puazon	poison
polici	police
son'ja	police
n'mla	policy
iyii sran	polite
like bon wa	pollution
n'zue ba	pond
piscini	pool
tan	poop
bi	poop
yalɛfuɛ	poor
jue kun	pop
be si yi pka	popular
sran mu	population
kɔkɔti	pork
baka	porridge
pɔri	port
issie wlɛ	position
ti kpa	positive
fa'i	possess
like n'ga ti be liɛ	possession
kan'gan like su	possessive
n'ga be kula yo	possible
be fa fite	post
sie i iɲu'nu	postpone
alenda	potato
like n'ga kula yo	potential
kilo	pound
blofuɛ sika	pound
yalɛ	poverty
i timi	power
juejue	powerful
n'ga be yo	practical
iyolɛ	practice
flɛ	praise
n'gua	prank
flɛ	pray
like kpa	precious
like n'ga lɛ gua	precious
issu ɛ	precise
i su	precisely
duamua kanli	predict
klo n'ga	prefer
n'ga a klo i	preference
wun'zɛ	pregnant
ya n'ga eyo	prejudice
be lika	premises
sika n'ga a ɲin i	premium
sie sie	preparation
tonlɛ	preparation
ton'h	prepare
sie sie	prepared
like n'ga adumua kan	preposition
kɛ wolɛ	presence
issien	present
i klekle wa	presentation
sie	preserve
preziden	president
ti'n su	press
afɛ	pressure
e se kɛ	pretend
klanhan	pretty
dumua yo	prevent
n'ga dumua yoli	previous
n'nin	prey
i gua	price
gua	price
di enuan	pride
preti	priest
i kan'gan	primary
sika n'ga be fa man juman lɔ	prime
famiɛn bla	princess
ibo	principal
n'ga ti tʃin'tʃin	prior
n'dɛ tʃin'tʃin	priority
bisua	prison
sran klun n'dɛ	privacy
n'dɛ pka	private
sie wlɛ kpa	privilege
kado	prize
eyossu	probably
n'dɛ tɛ	problem
iyo lɛ	procedure
yo juman	proceed
di	proceed
iyolɛ nu	process
man	produce
yo	produce
n'ge atɛ yo lɛ liɛ	product
i yiwlɛ nu	production
like n'ga eyo	profession
juman	profession
essi i juman	professional
i wafa	profile
issu n'ga a ɲin i	profit
kunnu ti mua	profound
tin'nin	profound
ekɔ i ɲunu	progress
nin'gue n'ga a won yo	project
n'ga be si	prominent
ta n'da	promise
yo publicite	promote
kan i nin'gue n'dɛ	promote
sran su juman wulalɛ	promotion
nin'dɛ	prompt
assidan	prone
n'dɛ	prone
sran wafa'm	pronouns
ibo bo wlɛ	pronunciation
namwlɛ klelɛ	proof
sawun	proper
i like	properly
be like mu	properties
like	property
man akun'nda	proposal
like n'ga be won yo	prospect
kpa yo lɛ	prosperity
sika ɲanlɛ	prosperous
nianssu	protect
nian i lika	protect
yo ɔ wu'n kpakpa	proud
kle	prove
faman	provide
man li	provided
apkassua	province
nin'gue n'ga a fa man	provision
gnilε nu	puberty
sran mu	public
yʃoin	pull
ʃu	pumpkin
dɔ su	punctual
suklu ba	pupil
to	purchase
like kpa	pure
ble	purple
nin'gue n'ga be sun'nzu	purpose
su su	purse
yo lele	pursue
su issu	pursuit
tin'su	push
wulanu	put
sienu	put
n'ga e si i	qualification
like kpa	quality
i nuan	quantity
besie be lika kun	quarantine
utre	quarrel
bue	quarter
iba kun	quarter
Quechua	Quechua
famien bla	queen
yassua n'ga yo iwun ke bla	queer
wu salɛ	query
qosan	query
qosan	question
dua ba	queue
nin'dɛ	quick
nin'dɛ	quickly
dii'n	quiet
lafi wlɛ	quilt
djassolɛ	quit
etissu	quite
qosan kaka	quiz
i gua	quotation
inuan	quote
man n'dɛ su	quotes
gban'mlɔ	rabbit
wondi lɛ	race
fia	rage
n'zue	rain
ta	raise
man su	raised
wondi	ran
eyo sa	random
wa sun'nzu man	random
i wafa	range
nin'dɛ	rapid
nin'dɛ nu	rapidly
be ɲinmin	rare
like n'ga be gnin i dɔ kula su	rarely
be bo n'su	rash
bu man akun'nda	rash
ote	rat
inuan	rate
klo	rather
bue	ratio
n'ga ti kpa	rational
molin	raw
djussu	reach
to i	reach
e toli i	reached
kɛ a sɔssu	reaction
fluwa nianlɛ	read
i kan lɛ	reading
man siessie	ready
be wun yi	real
like n'ga yo wehin nu	reality
ewun yi kɛ	realize
wun' nu	realized
sapka	really
issin	rear
n'gatiɛ	reason
n'ga assi kɛ eti kpa	reasonable
flɛ ekun	recall
sɔli nu	receipt
fã	receive
sɔnu	received
koko n'ganu	recent
koko n'ganu	recently
i falɛ	reception
sika n'ga n'dɔssua a ɲin i	recipe
kekle	reckless
wun' yi wlɛ	recognition
siyi	recognize
wun'iwlɛ	recognize
kle ɔ	recommend
kan i n'dɛ kpa	recommended
fa sie itinu	record
yo juejue	recover
yo juejue	recovery
kɛ like paplapa	rectangle
ɔkulɛ	red
to	redeem
kaki ni	redeem
tin'gue lɛ	redemption
tissu	reduce
n'ga be fa yoman like kun'	redundant
nian su	refer
n'ga n'nianssu	reference
n'ga fitenu	reflect
nian nu	reflection
issu sɔlɛ	refrain
frigidɛri	refrigerator
tua	refund
nan kplin'n su	refuse
kplinman su	refused
nianlɛ	regard
issɔ tiɛ	regarding
issɔ su	regarding
ikulã	regardless
eni klolɛ	regards
apkassu	region
assiɛ	region
sie lika kun	register
n'ssissɔ	regret
titi	regular
tchin kula	regularly
fuen i	reject
to i blo	reject
kan	relate
n'ga be lɛ like bé afien	related
aniãn	relationship
issɔ like	relative
niãn mu	relatives
do wumien	relax
fa fite	release
yatchi nu	release
yi	released
fite	released
i kpa	relevant
lafissu	reliable
yo i ye	relief
yo i kpa	relieve
wa yoye	relieved
nianmien sulɛ	religion
nianmien like	religious
eya ɔ kɛ ayo	reluctant
lafi su	rely
ya	remain
ya lɛ	remaining
n'ga be wun yi	remarkable
are	remedy
bu i akun'nda	remember
nan awula fi su	remember
kpɛnnin su	remind
kpli'n akunu	reminder
mua like yowa	remote
yi i lɛ	remove
yo i	render
fa like	rent
sie sie iye	repair
kin yekun	repeat
kaki	replace
tɛ su	reply
kpli'n su	reply
kan	report
klebe	represent
i n'dɛ kpa	reputation
srɛlɛ	request
wussa	request
n'ga ti i su	require
efata kɛ	required
de i	rescue
wuka i	rescue
kun'dɛlɛ	research
e fa	resemble
n'ga a bu	resentment
dumua fa	reservation
sie	reserve
tranfuɛ	resident
jasso i juman nu	resign
yaki i juman	resign
i jranlɛ	resilience
n'ga fite ekun	resilient
n'ga ba ekun	resilient
jran ʃin'ʃin	resist
n'ga akula sua	resistance
n'dɛ sie sie lɛ	resolution
yo i kpa	resolve
lika n'ga be do wun'mien	resort
like n'ga be ye lɛ i	resources
iyi yi sran	respect
tɛ su	respond
i su tɛlɛ	response
wɔ like	responsibility
wɔ n'dɛ	responsibility
nian be su	responsible
do wumien	rest
min i wawuɛ ɔ klanman	rest in peace
aliɛ diwa lika	restaurant
yo i wuflɛ	restore
nian su kpa	restrict
i vie wlɛ	result
i vie wlɛ	results
yo ekun	resume
kan'gan	retail
jran i	retain
i jran lɛ	retention
do umien	retired
edi a juman kun	retreat
fiawlɛ	retreat
fa	retrieve
sa'assin	return
kan kle	reveal
kan kle	revealed
kɛ a yo sran like mɔ e yo wɔ vie	revenge
sika n'ga a ɲin i	revenue
i bue kun	reverse
nian nu ekun	review
nian nu eku'n	revise
nian nu ekun	revision
like kaki lɛ	revolution
be man like	reward
i yole wafa	rhythm
banki fluwa	rib
avie ma	rice
wlogbi fuɛ	rich
yi i lɛ	rid
fu	ride
fin'fin	ridiculous
kpa	right
iʃra	right now
kekle	rigid
n'ga	ring
salo	rinse
sran kaka	riot
min nianmien sunman i	rip
blo	ripe
wukassu	rise
n'ga kula ɲan ɔ	risk
wla	rival
nzue	river
atin'	road
kinhin	roast
e lɛ umien	robust
yɛbuɛ	rock
waka n'ma	rod
fon'tron	rod
i like n'ga e yo	role
kpɛ iwun	roll
sua tissu	roof
sua ba	room
i ja n'ma	root
ɲan'man	rope
kplɔwa	rotten
kokloko	rough
ni umien	roughly
i kun su	round
ati'n	route
like kun'gba	routine
ɔ bue n'ga a wo su	row
waka	rub
bi waka	rubber
like fien	rubbish
kpoha kpoha	rude
bachi	rug
saki	ruin
n'mla	rule
fussu	ruler
n'mla	rules
won'di	run
wondi lɛ	running
klɔ kan	rural
nan'mue nu	rural
nin'dɛ	rush
yijɔ issu	sack
n'ga be yoman	sacred
sraka	sacrifice
alaje	safe
kɔ klanhan	safe flight
nianmien suman ɔ	safe flight
n'dɛ numan su	safety
n'gwlɛlɛ	sage
seli	said
n'zue su kɔlɛ	sail
n'zue su kolɛ	sailing
yijɔ assu	sake
akatua	salary
fien	sale
jue	salmon
n'jin'	salt
ikun'gba	same
I kun'gba lefan	Same here
i kun	sample
awun ɲan	sand
Sanskrit	Sanskrit
srilɛ tɛ	sarcastic
i yin i a sran	sassy
tran'li	sat
yofɛ	satisfaction
ɔ yo kpa	satisfied
eti pka	satisfy
e ti su	satisfying
fue	Saturday
n'nin fle	sausage
blo like	savage
yo iye	save
wun'lii	saw
kan	say
baskuli	scale
avie	scam
kan'nvuen	scar
n'ga ti ya titi like	scarce
yo srɛ	scared
sumun	scarf
eyo srɛ	scary
trɛ trɛ wa	scattered
san'gan wa	scattered
sa mu	scene
filmi nu sa	scenery
parfum	scent
isun'zu'n lɛ	schedule
suklu	school
like n'ga blofuɛ me si'n	science
sran n'ga yo blofuɛ like	scientist
mu be n'ga be yi nin'gue	scientists
sizo mu	scissors
yijɔ be su	scold
i vilɛnu	scope
bi n'ga be wla	score
blalɛ	scrap
fuan fuan	scratch
e jajanu	scratch
kpanlɛ	scream
i ecran	screen
i gnunu	screen
kpɛ i wun	screw
filmi nu n'dɛ mu	script
jen'zue	sea
tampon	seal
kun'dɛ	search
afuɛ	season
tran'wlɛ	seat
bia	seat
i n'ɲon su	second
kunnu n'dɛ	secret
i bue	section
ti kpa	secure
n'ga sã tɛ numan lɛ	security
nian	see
ye tɛ wo nu	see you
ye tɛ wo nu	see you later
ye tɛ wo nu	see you soon
ye wo ayin'man	see you tomorrow
n'ga be duali	seed
kun'dɛ	seek
eti kɛ	seem
e ti kɛ	seems
wun' i	seen
tra nu	seize
i tralɛ	seizure
be ɲinmin i	seldom
n'ga tia titi like	seldom
fa kun	select
ibɔbɔ	self
yo ɔ wu'n are	self healing
awin fuɛ	selfish
to	sell
fa kɔ	send
fa wɔ foto blɛmi	send me your picture
be su pkin	senior
i wafa n'ga	sense
mon'ton	sensible
n'ga ti a lekle	sensitive
fawɔli	sent
fluwa klele	sentence
n'dɛ ma	sentences
titi nu	separate
Sepedi	Sepedi
septembri	september
i nuan kun	sequence
i bue bue nu	series
sran kpa	serious
mi n'dɛ kpa	seriously
man like	serve
like n'ga be yo	service
juman	session
fa sie	set
isie sielɛ	set up
i sie sie lɛ	setting
pklan	settle
n'so	seven
blu ni n'so	seventeen
ablo n'so	seventy
kaka	several
son'li	several
kunnu vi	severe
kpa trãlɛ	sew
wawɛ	shade
fɔnvɔ	shadow
keje	shake
kula	shall
timan tinnin	shallow
yanzuin	shame
ibɔbɔ	shape
man vie	share
lawa	sharp
blã	she
e ti	she has
e ti	she is
lika	shed
bua	sheep
fluwa	sheet
tan'ni	sheet
tabli kanhan	shelf
i bu	shell
fiawlɛ	shelter
sua	shelter
blalɛ n'ga be fa kata be ɲunu be di utre	shield
kakilɛ	shift
kpaja	shine
kloklo ale dan	ship
bato me like	shipping
fieto	shirt
culɔti	shirt
m'gbabua	shoes
to	shoot
butiki	shop
nin'gue tolɛ	shopping
n'zue nuan	shore
kpe	short
tia tin'nin	short
nin'gue n'ga nun manlɛ	shortage
to	shot
wati	shoulder
to i	shout
kle	show
kle mi	show me
abialiɛ	shower
crevɛtti	shrimp
kpɛ su	shrink
tonu	shut
kata i	shut up
tonu	shut up
eyidjɔ man	shy
niãn mu	sibling
niãn bla ni niãn yassua	siblings
sandiman	sick
bue	side
do umien	sigh
nianlɛ	sight
blofuɛ be nin'gue nianlɛ	sightseeing
wun' i wlɛ	sign
i signaturi	signature
dan	significant
kpa	significant
ya di'n	silence
teman su	silent
koton	silk
sia n'gulɛlɛ	silly
sika	silver
ikun'gba	similar
eni sran yijɔ kpa	simp
pɔpɔ	simple
nindɛ lɛ	simultaneously
efa fi'n	since
nan ato	sincere
i pka i	sincerely
sro jue	sing
to jue	sing
jue tofuɛ	singer
tʃɛgbaka bla	single
tʃɛgbaka yassua	single
ewa yo tɛ	sink
Bã	Sir
nian' bla	sister
mi yi niãn bla	sister in law
mi niãn yi	sister in law
mi wa yi	sister in law
tran	sit
lika	site
n'dɛ	situation
n'sien	six
blu ni n'sien	sixteen
ablossien	sixty
i tin'nin su	size
n'ga kula yo	skill
like n'ga assi yi yo	skills
kplo	skin
kɛklɛkɛ	skinny
sin' su	skip
tu tra su	skip
jupi	skirt
nianmien su	sky
sran n'ga be yo i tɛtɛ	slave
sran di juman man sran	slave
lafi	sleep
lafilɛ	sleeping
lafi	sleepy
i sa	sleeve
kpɛ kpɛ nu	slice
seri	slide
kan sa	slightly
srɛrɛ	slim
kanhan	slim
seri	slip
ati'n ba	slope
kpakiwlɛ	slot
kpaki	slot
blɛ blɛ	slow
blɛblɛ	slowly
blɛlɛ	slowly
kanhan	small
n'gulɛlɛ	smart
fɛ i n'van	smell
sri	smile
ta non'llɛ	smoke
mlonlon	smooth
dɔ n'ga be di aliɛ su	snack
buke	snail
wo	snake
sata	snap
bu i	snap
blɔfuɛ me arɛ blɛ	snow
issɔ ti	so
klanman	so cute
mua	so far
wla n'zue nu	soak
san'mlan	soap
fa blɛ	sober
banon	soccer
sran n'gba liɛ	social
ye sran mu	society
sosseti	socks
mu'hin	soft
mon'ton	soft
machini like	software
saki	soil
yo i atɛ	sold
fɛ	sold out
son'ja	soldier
kun'gba	sole
kokloko	solid
n'dlɛ siesielɛ	solution
sie sie	solve
be vie	some
sran	somebody
kan'gan	somehow
sran	someone
like	something
tchinvie	sometimes
jue	song
n'dɛnu	soon
ti pka	sophisticated
Sorani	Sorani
ya	sore
kan'ni	sore
kɔmian bo ya	sore throat
yatɛ	sorrow
sunlɛ	sorrow
Yaki	Sorry
fite	sort
kun'dɛ	sought
wawɛ	soul
mi wun	soulmate
mi yi	soulmate
eti kɛ	sound
tro	soup
vi	sour
klakla	sour
ibolɔ	source
ifi'nwlɛ	source
ja n'gua	south
lika	space
bue tɛ	spam
pkɛwun	span
Espaɲoli	Spanish
si'n	spare
yijɔ	speak
kun'gba	special
iwafa	species
kun'gba	specific
n'ga sran me nian i kaka	spectacular
ijɔ lɛ	speech
e lɛman ninh	speechless
nin'dɛ	speed
bo bo	spell
di	spend
sin	spent
di sika	spent
mankun wo nu	spicy
pointi	spike
kpɛ i wun	spin
n'dre	spinach
wawɛ	spirit
ti nuan n'zue	spit
klanman kpa	splendid
kpɛnu	split
titinu	split
saki	spoil
saki	spoiled
ilɛ fan	spontaneous
atiɛ	spoon
juman	spot
yi	spouse
bla	spouse
trɛ	spread
afuɛ n'ga	spring
lo'ngo	square
lika	square
tʃoin nu	squeeze
n'zue nu jue drongon drongon	squid
aklemia	squirrel
i ku'n su	st
wɔ ni kue	stab
fɔwun	stable
ibɔlɛ kun	stack
be wumuan	staff
like suan lɛ	stage
fien	stain
fuwlɛ mu	stairs
i vie wlɛ	stake
waka n'ma	stalk
fon'tron	stalk
i tilɛ	stall
tampon	stamp
jasso	stand
iti ti like	standard
n'zrama	star
bo i bo	start
wa bobo	started
awo	starving
awo kun'i	starving
kle ni ɔ sa	state
yi djɔlɛ	statement
lika n'ga be fa essenci	station
waka sran	statue
akatia	statue
wakasran	status
tran	stay
sie awun pka	stay safe
tran pka	stay safe
efa ɔ n'glo	steady
n'nin	steak
wa	steal
wun'srin	steam
blalɛ	steel
kiawa	steep
i n'ma wuflɛ	stem
ibue kan	step
man'tan	stick
kekle	stiff
eku'n	still
san	sting
sanyi	sting
sran n'ga kwla sika manlɛ	stingy
keje	stir
ibo lɔ	stock
wali	stolen
kunnu	stomach
yɛbuɛ	stone
yalilɛ	stood
bia	stool
djran	stop
issie wlɛ	storage
sua n'ga be sie nigue me nu	store
n'zu n'ga tɔ tɛ	storm
n'dɛ	story
be sa gan	stove
srere	straight
issu strere	straightforward
afɛ	strain
wumien	strain
tin'guɛ nu	strain
etiyɛ issu	strange
aofuɛ	stranger
isie sie lɛ	strategy
fefe	straw
waka n'ma n'ga be fa yo divin	strawberry
tʃoin	streak
n'ga sin dɔ kula su	stream
ati'n	street
apkɔ	street
umien	strength
srɛ	stress
tʃoin nu	stretch
tʃin'tʃin	strict
gnanman	strike
ɲanman	string
wa i	strip
like paplapa	strip
yo i kpa	strive
mian a yin'	strive
tukpa ʃɛ	stroke
ti yassua	strong
fin'yi	struck
societe sua	structure
jran kekle	struggle
di wutre	struggling
yi su kekle	stubborn
mantan	stuck
suklu ba	student
nian fluwa nu	study
fluwa suanlɛ	studying
niggue	stuff
like	stuff
mantan	stunning
sin'gli'n	stupid
iwafa n'ga e ti	style
iwafa n'ga e fa yo	style
n'dɛssɔ	subject
pklin su	submission
fa man	submit
like n'ga be fa yo	substance
i wuflɛ sie lɛ	substitute
like n'gbin	subtle
yo kpa	succeed
aklunjuɛ	success
eyo li kpa	successful
n'ga	such
kɛ	such as
non	suck
itchra	sudden
issulɛ	suddenly
fɛ	suffer
fɛlɛ	suffering
eju	sufficient
sukula	sugar
man akun'nda	suggest
aku'nda	suggestion
eya	suit
tikpa	suitable
valizi	suitcase
issu ukalɛ	sum
i kpe	summary
wawa	summer
i ti	summit
via	sun
mɔnnɛn	sunday
eni via	sunny
via tɔwlɛ	sunset
via	sunshine
kpa	super
ikpin	superior
itissu	superior
be su nian fuɛ	supervisor
aliɛ	supper
man	supply
wuka	support
n'bu kɛ	suppose
bu kɛ	supposed
lafissu kɛ	sure
issu	surface
issu uka	surge
dɔtrɔ operation	surgery
dun'man	surname
e bo nuan	surprise
e fu i nu	surprised
yaki i sɔ	surrender
yaki nu	surrender
i wu'n	surrounding
su nianlɛ	surveillance
ussawlɛ nu	survey
wa wuman	survive
tɛ dimin	survive
yi ɛ yoli	suspect
kpɛ kpo	suspended
bu kɛ	suspicious
ma wunmien	sustain
itʃele	sustainability
n'ga ʃɛ	sustainable
like n'ga be ɲin i	swag
min'	swallow
be wun kaki lɛ	swap
di iti amu	swear
wun'fle	sweat
tralɛ	sweater
tʃuan	sweep
ninkin ninkin	sweet
yo fɛ	sweet
laflɛ kpa	sweet dreams
mli'n m'lin	sweet tooth
mi anwlin	sweetheart
ya lɛ	swell
yalɛ	swelling
wɛ n'zue	swim
n'zue wɛ wa	swimming
toto yi	swing
nuan hi	switch
hun'wa	swollen
besse	sword
tokofi	sword
be like n'ga be fa sie be n'zɔliɛ	symbol
eni sran be yijɔ	sympathy
iyolɛ wafa	symptoms
iyowlɛnu	system
tabli	table
kan i	tackle
sie n'zɔliɛ	tag
du'ã	tail
fa	take
fa kɔ	take away
nien issu	take care
man su	take off
fali	taken
yidjɔ	talk
yi jo fuɛ dan	talkative
ɔ kula yossi	tall
tin su	tap
kasseti	tape
ivie wlɛ	target
juman kekle	task
nian i fɛ	taste
eyo fɛ	tasty
suan	taught
te	tea
nin'gue klelɛ	teach
fluwa klelɛ	teach
sran n'ga kle flua	teacher
ye sran bue mu	team
sun	tear
yima n'zue	tears
kin n'gua	tease
blɔfue like	technology
nuan nu je mu	teeth
kan	tell
se	tell
se mi	tell me
yeliɛ	temper
lika dolɛ	temperature
nianmien sua dan	temple
blɛ kun	temporary
blu	ten
koto kun blu	ten thousand
ifuɛ	tenant
tin'guɛ	tend
isso n'dɛ	tendency
monton'h	tender
juman	tender
srɛ	tense
ya n'a wo inu	tension
bachi	tent
iyo lɛ eku'n	tentative
issɔ like	term
yi jowlɛ mu	terms
tʃin'djin	terrible
kekle	terrible
n'ga yo srɛ	terrific
asiɛ	territory
juman nianlɛ	test
klɛwa	text
tra	than
kula	thank
n'yo kula	thank you
ye yo amu kula ni midɛlɛ kɛ yefa nian nigue me fakɔlɛ me su	Thank you for your patience while we investigate shipment
n'yo ame kula kpa	thank you so much
n'yo wɔ kula kpa	thank you very much
amu kula	thanks
Ye yo ame kwla ni ye machini like fa yo lɛ	Thanks for using our app
n'ga	that
e ti	that is
eti kpa	that's good
kou'n	the
avie	theft
be	their
be	them
n'dɛ	theme
be bɔ	themselves
issɔ ti	then
n'dɛ kun	theory
lɛ	there
be o	there are
be ti	there are
be wo	there is
vie ɛ	there is
itiyɛ	therefore
like n'ga mu	these
be	they
be ti	they are
gbugblugbu	thick
avie fuɛ	thief
sɔwa	thigh
kɛklɛkɛ	thin
srɛrɛ	thin
like	thing
nin'gue	thing
nin'gue mu	things
bu akun'nda	think
n'san su	third
n'zue oho ku'n	thirsty
blu ni n'san	thirteen
abla n'san	thirty
n'ga	this
n'ga yɛ	this is
i'nu	thorough
i sin'wlɛ su	thoroughly
like n'ga mu	those
sanguɛ	though
agun'da	thought
bu akun'nda	thoughtful
nian sran lika	thoughtful
akun'nda bulɛ	thoughts
koto kun kon	thousand
ɲanman	thread
n'dɛ n'ga wo assu	threat
yijɔ be su	threaten
n'san	three
anuan	threshold
inuanssu	threshold
yo i fɛ	thrilled
yo kpa	thrive
ɲan sika	thrive
kɔmian bo	throat
efassi'n	through
inu	throughout
to	throw
sãma kokotre	thumb
n'gblanlan	thunder
Jɔlɛ tʃin	Thursday
yɛ	thus
ja nu	tick
n'zue	tide
siessie wa	tidy
cravati	tie
jra	tiger
mian	tight
Tigrinya	Tigrinya
dɔ	time
di'n	timid
e yijo man	timid
kanhan	tiny
akun'nda kpa	tip
agun'da mu	tips
pine	tire
fɛ	tired
tan'ni	tissue
iti	title
ibo bo wlɛ	title
i	to
ti	to be
kinhin	toast
andɛ	today
bakan	toddler
jama	toes
ye n'gba	together
wun'ziwlɛ	toilet
seli	told
pklin like me su	tolerance
yaki nu	tolerate
tomati	tomato
ayin'man	tomorrow
anien	tongue
taflan'man	tongue
n'dɔ sua n'ga	tonight
eni	too
ekun	too
fali	took
like	tool
like'mu	tools
je	tooth
klan'man	top
n'glo	top
n'dɛ	topic
titi li	torn
akuatika	torture
i n'gba	total
kinhi	touch
kokloko	tough
kekle	tough
kpɛhi wun	tour
ibue lɔ	toward
ibue liɛ su	towards
like n'ga be fa nun'nun'bé nuan wu	towel
torichon	towel
min'h	town
ti man kpa	toxic
ati'n	trace
issi'n wlɛ	trace
ati'n	track
sin'sin wlɛ	track
niggue tɔnilɛ	trade
nin'gue atɛ	trade
m'mla	tradition
laa m'mla	tradition
laha nin'gue	traditional
loto me sin'wlɛ nu	traffic
ati'n	trail
ale	train
nin'gue suan lɛ	training
jawlɛ	trait
i n'zɔliɛ	traits
fa kɔ	transfer
i kakilɛ	transition
kin ibo	translate
n'ga be wun'nu	transparent
loto sika	transport
loto mu	transport
i fa kolɛ	transportation
aya	trap
tra	trap
wula utuwlɛ	trash
akun'nda wa san'gan	trauma
lika kɔlɛ	travel
gan'nan	tray
kpon'gbo dan	tray
like kpa	treasure
fɛ i	treat
iyo lɛ	treatment
n'san	tree
