kadikit	a little
nadalinas	slip
bakilid	slope
ruwang	slot
maluway	slow
luhay luhay	slowly
sadit	small
matali	smart
parong	smell
magngirit	smile
ngirit	smile
aso	smoke
makinis	smooth
merindal	snack
kuhol	snail
halas	snake
biglaan	snap
niyebe	snow
kaya	so
sagkod ngonyan	so far
palbag	soak
sabon	soap
bakong burat	sober
sosyal	social
sosyodad	society
medyas	socks
malumoy	soft
daga	soil
ipinabakal	sold
ubos na	sold out
soldados	soldier
solo	sole
solido	solid
solusyon	solution
masolusyunan	solve
pira	some
sarong tawo	somebody
maski papano	somehow
sarong tawo	someone
ibang bagay	something
minsan	sometimes
kanta	song
harani na	soon
sopistikada	sophisticated
makulog	sore
lugad	sore
makulog na halunan	sore throat
kamunduan	sorrow
Pasensya na	Sorry
klase	sort
hinanap	sought
kalag	soul
tanog	sound
sabaw	soup
maalsom	sour
pinaghalean	source
timog	south
espasyo	space
lawig	span
Espanyol	Spanish
pansalida	spare
iligtas	spare
taram	speak
espesyal	special
espisipiko	specific
makangangalas	spectacular
pagtaram	speech
mayong masabi	speechless
liksi	speed
maggastos	spend
naggastos	spent
maharang	spicy
ispaik	spike
talibong	spin
kangkong	spinach
ispirito	spirit
lutab	spit
kahanga-hanga	splendid
pagbanga	split
bangaon	split
raot	spoil
panos na	spoiled
kusa	spontaneous
kutsara	spoon
lugar	spot
agom	spouse
ikalat	spread
burabod	spring
biglang hiro	spring
kwadrado	square
paga	squeeze
pusit	squid
saksak	stab
matatag	stable
pagpatung-patungon	stack
entablado	stage
mantsa	stain
hagdan	stairs
taya	stake
pagsubaybay na pasekreto	stalk
puwesto	stall
pantatak	stamp
selyo	stamp
tindog	stand
itindog	stand
standard	standard
bituon	star
puon	start
nagpuon	started
nagugutom	starving
sabihon	state
estado	state
pahayag	statement
istasyon	station
estatwa	statue
estado	status
pag-istar	stay
mag-istar	stay
padagos kang mag-ingat	stay safe
danay	steady
habas	steal
sangaw	steam
bakal	steel
matarik	steep
sanga	stem
lakdang	step
dukot	stick
matagas	stiff
daing hiro-hiro	still
pa man	still
kagat	sting
kuripot	stingy
kalikuton	stir
paninda	stock
hinabas	stolen
tulak	stomach
gapo	stone
nagtindog	stood
udo	stool
magpundo	stop
sarayan	storage
itago	store
tindahan	store
bagyo	storm
estorya	story
lutuan	stove
tulid	straight
prangka	straightforward
pagalon	strain
kakaiba	strange
estranghero	stranger
estratehiya	strategy
dagami	straw
kurit	streak
magdalan nin bidyo sa internet	stream
sapa	stream
kalye	street
kusog	strength
inat	stretch
istrikto	strict
pakulon	strike
welga	strike
lubid	string
haleon	strip
pagsisikap	strive
makusog	strong
pinatamaan	struck
istraktura	structure
kasakitan	struggle
magpakasakit	struggle
nadidipisilan	struggling
matagas an payo	stubborn
napundo	stuck
estudyante	student
pag-aadal	study
mag-adal	study
nag-aadal	studying
mga bagay	stuff
sobrang gayon	stunning
mangmang	stupid
istilo	style
tema	subject
pagsusumiter	submission
isumiter	submit
substansiya	substance
kasalida	substitute
banayad	subtle
kapangganahan	succeed
kapangganahan	success
mapanggana	successful
arog kan	such
siring kan	such as
supsop	suck
bigla	sudden
bigla	suddenly
magdusa	suffer
pagsakit	suffering
supesyente	sufficient
asukar	sugar
magsuhestiyon	suggest
suhestiyon	suggestion
ibagay	suit
kaso	suit
angay	suitable
bagahe	suitcase
total	sum
sumaryo	summary
tag-init	summer
tuktok	summit
saldang	sun
domingo	sunday
maaldaw	sunny
pagsolnop kan saldang	sunset
sirang nin aldaw	sunshine
pinakang	superior
supervisor	supervisor
pamanggihan	supper
suportaran	supply
panuporta	supply
nagsusuporta	support
suporta	support
ipamugtak	suppose
dapat	supposed
sige	sure
ibabaw	surface
daluyong	surge
pag-oopera	surgery
apelyedo	surname
surpresa	surprise
nasorpresa	surprised
suko	surrender
kapalibutan	surrounding
magdanay	survive
suspetsado	suspect
pagduda	suspect
suspendido	suspended
kadudaduda	suspicious
sustenir	sustain
kakayahan na magsustenir	sustainability
nasususteneran	sustainable
halon	swallow
ribay	swap
sumpa	swear
daplos	sweat
sigid	sweep
mahamis	sweet
mahilig sa hamis	sweet tooth
nagdakula	swell
namamaga	swelling
langoy	swim
naglalangoy	swimming
iduyan	swing
duyan	swing
magbalyo	switch
pindutan	switch
hubag	swollen
espada	sword
simbolo	symbol
simpatiya	sympathy
sintomas	symptoms
sistema	system
lamesa	table
talakay	tackle
pananda	tag
ikog	tail
kua	take
nakua	take away
mag-ingat ka	take care
haleon	take off
kinua na	taken
olay	talk
makipag-olay	talk
madaldal	talkative
halangkaw	tall
tapikin	tap
tapik	tap
teyp	tape
patamaan	target
target	target
gibuhon	task
namitan	taste
namit	taste
manamit	tasty
tinukduan	taught
tsaa	tea
tukdo	teach
paratokdo	teacher
luha	tear
mga luha	tears
suba	tease
teknolohiya	technology
ngipon	teeth
sabihon	tell
sabihon sako	tell me
init nin payo	temper
temperatura	temperature
templo	temple
temporaryo	temporary
dyes	ten
dyesmil	ten thousand
nag-aarkila	tenant
inataman	tend
tendensiya	tendency
mayumok	tender
nananagas	tense
tensiyon	tension
tolda	tent
pansamantala	tentative
tataramon	term
peryudo nin panahon	term
termino	term
kondisyon	terms
terible	terrible
mahusay	terrific
teritoryo	territory
binabalo	test
pagbalo	test
teksto	text
kesa	than
salamat	thank
salamat	thank you
Salamat sa saimong pasensya mantang iniimbestigaran niamo an kargamento.	Thank you for your patience while we investigate shipment
salamat nin marhay	thank you so much
salamat nin marhay	thank you very much
salamat	thanks
Salamat sa paggamit kan samuyang app	Thanks for using our app
iyan	that
iyo iyan an	that is
marhay yan	that's good
an	the
mahabon	theft
saindang	their
sinda	them
tema	theme
sinda	themselves
saka	then
teorya	theory
duman	there
igwa nin mga	there are
igwa nin	there is
kaya	therefore
An mga ini	these
sinda	they
sinda	they are
mahibog	thick
mahabas	thief
hita	thigh
manipis	thin
bagay	thing
mga bagay	things
mag-isip	think
pangatolo	third
paha	thirsty
trese	thirteen
trienta	thirty
ini	this
ini an	this is
lubusan	thorough
lubusan	thoroughly
mga idto	those
maski	though
kaisipan	thought
nag-iisip	thought
mapag-isip	thoughtful
mga iniisip	thoughts
mil syen	thousand
torsido	thread
pananakot	threat
bantaan	threaten
tolo	three
limitasyon	threshold
nagkukubog-kubog	thrilled
umuswag	thrive
halunan	throat
paagi sa	through
sa bilog na	throughout
itapok	throw
tanggurangan	thumb
daguldol	thunder
Webes	Thursday
kaya	thus
tsekan	tick
pagtaas nin tubig	tide
malinig	tidy
pagkakabugkos	tie
ibugkos	tie
tigre	tiger
piot	tight
oras	time
masusupgon	timid
saditon	tiny
puro	tip
goma	tire
pagal	tired
tisyu	tissue
titulo	title
pasiring	to
magin	to be
magtusta	toast
ngonyan	today
aking sadit	toddler
garamoy sa bitis	toes
magkairibanan	together
banyo	toilet
nagsabi	told
pagtogot	tolerance
tolerar	tolerate
kamatis	tomato
sa aga	tomorrow
dila	tongue
ngonyan na banggi	tonight
man	too
kinua	took
kagamitan	tool
mga kagamitan	tools
ngipon	tooth
taas	top
topiko	topic
gisi	torn
pasakit	torture
kabilugan	total
dutan	touch
matatag	tough
pasyar	tour
pasiring	toward
pasiring sa	towards
twalya	towel
banwa	town
nakakahilo	toxic
susog	trace
subaybayan	track
komersyo	trade
makipagnegosyo	trade
tradisyon	tradition
tradisyunal	traditional
trapiko	traffic
dalan	trail
tukdoan	train
tren	train
pagsasanay	training
katangian	trait
mga ugali	traits
lipat	transfer
transisyon	transition
tradusir	translate
silag	transparent
darhon	transport
transportasyon	transportation
silo	trap
basura	trash
magbyahe	travel
trey	tray
kayamanan	treasure
trato	treat
pagtrato	treatment
kahoy	tree
makangangalas	tremendous
uso	trend
purbar	trial
liksi nin kamot	trick
nagpurbar	tried
gatilyo	trigger
gatungan	trigger
putulan	trim
byahe	trip
gusto lang gibuhon na mayo nin rason	trip
ribok	trouble
pantalon	trousers
trak	truck
TOTOO	true
likod nin kotse	trunk
lawas nin kahoy	trunk
magtiwala	trust
tiwala	trust
katotoohan	truth
purbar	try
tubo	tube
Martes	Tuesday
matrikula	tuition
pabo	turkey
liko	turn
pagong	turtle
tagapagtokdo	tutor
dose	twelve
baynte	twenty
byante-uno	twenty-one
duwa	twice
biribidon	twist
duwa	two
klase	type
kaladasan	typical
makanos	ugly
panghuri	ultimate
payong	umbrella
dai kaya	unable
amaon	uncle
mayong malay	unconscious
irarom	under
sa irarom	underneath
maintindihan	understand
naintindihan	understood
uniporme	uniform
kakaiba	unique
yunit	unit
unibersidad	university
dai maaraman	unknown
maliban na sana kun	unless
sagkod sa	until
bakong ordinaryo	unusual
sa itaas	up
nasa saimo	up to you
sa	upon
anggot	upset
sulsolan	urge
sulsol	urge
dalian	urgent
kita	us
gamiton	use
paggamit	use
ginamit	used
kapaki-pakinabang	useful
mayong pakinabang	useless
kadalasan	usual
kadalasan	usually
bakasyon	vacation
pagbakuna	vaccination
bakuna	vaccine
bakong malinaw	vague
balido	valid
mahalaga	valuable
pahalagahan	value
kahalagahan	value
iba-ibang klase	variety
iba-iba	various
iba-iba	vary
laganan nin burak	vase
mahiwas	vast
gulay	vegetable
mga gulay	vegetables
behikulo	vehicle
paratinda	vendor
rara	venom
lugar	venue
biripikahon	verify
dakol na kayang gibuhon	versatile
bersyon	version
patindog	vertical
napaka	very
nakaparahay	very good
lunadan pandagat	vessel
paagi sa	via
may bisyo	vicious
biktima	victim
bidyo	video
hilingon	view
baryo	village
kontrabida	villain
suka	vinegar
luma	vintage
kadahasan	violence
madahas	violent
birhen	virgin
kabanalan	virtue
bisyon	vision
bisita	visit
bisitahon	visit
biswal	visual
importanteng marhay	vital
malinaw	vivid
bokabularyo	vocabulary
boses	voice
mayong bisa	void
dakol	volume
boluntaryo	volunteer
suka	vomit
nagsuka	vomit
maluya	vulnerable
sweldo	wage
sweldo	wages
iksan	waist
halat	wait
tubig	waiter
naghahalat	waiting
nagmata	wake
magmata	wake up
lakaw	walk
maglakaw	walk
naglalakaw	walking
lanob	wall
pitaka	wallet
lagaw-lagaw	wander
gusto	wanna
gusto	want
ginusto	wanted
giyera	war
aparador	wardrobe
bodega	warehouse
magpainit	warm
mainit-init	warm
balaan	warn
patanid	warning
gerero	warrior
laba	wash
basura	waste
ibasura	waste
dalan	watch
tubig	water
pakwan	watermelon
alon	wave
kaway	wave
dalan	way
kami	we
kami	we are
kaya ta	we can
maluya	weak
kaluyahan	weakness
yaman	wealth
mayaman	wealthy
sulot	wear
sulot	wearing
kamugtakan nin panahon	weather
kasal	wedding
Miyerkules	Wednesday
duot	weed
semana	week
katapusan in semana	weekend
gabat	weight
magpagabat	weight
kakaiba	weird
kapakanan	welfare
bueno	Well
matibay an pagkakagibo	well done
nagduman	went
solnopan	west
dumog	wet
balyena	whale
ano	what
ika	what about you
ano an piggigibo mo	what are you doing
ano an piggigibo mo ngonyan	what are you doing now
ano an ginigibo mo ngonyan	what are you doing right now
ano an ginigibo mo	what do you do
anong trabaho mo	what do you do for a living
ano an buot mong sabihon	what do you mean
ano an gusto mo	what do you want
anong nangyari	what happened
ano an	what is
ano ini	what is this
ano an trabaho mo	what is your job
ano an pangaran mo	what is your name
anong igwa	what's up
anong pangaran mo	what's your name
maski ano	whatever
trigo	wheat
ruweda	wheel
nuarin	when
nuarin man	whenever
saen	where
haen ka	where are you
taga saen ka	where are you from
haen ka ngonyan	where are you now
saen ka nakaistar	where do you live
saen an	where is
samantala	whereas
kun	whether
arin	which
mantang	while
hinghing	whisper
pito	whistle
puti	white
siisay	who
siisay ka	who are you
siisay an	who is
siisay ini	who is this
bilog	whole
para kiisay	whom
na an	whose
tano	why
tanu ta dai	why not
maraot	wicked
mahiwas	wide
balo	widow
lakbang	width
agom na babaye	wife
testamento	will
gusto	willing
manggana	win
duros	wind
bintana	window
madoros	windy
alak	wine
taglipot	winter
punas	wipe
kawad	wire
kadunungan	wisdom
madunong	wise
gusto	wish
gustuhon	wish
aswang	witch
kaiba	with
bawion	withdraw
pag-atras	withdrawal
sa laog nin	within
mayo	without
nakahiling	witness
nahiling	witness
matali	witty
lobo	wolf
babaye	woman
babaye	women
nanggana	won
dai	won't
nagngalas	wonder
kahanga-hanga	wonderful
kahoy	wood
lana	wool
tataramon	word
mga tataramon	words
trabaho	work
nagtatrabaho	work
tinatrabaho	work out
nagtatrabaho	working
kinaban	world
bulate	worm
sinulot	worn
nababahala	worried
hadit	worry
malala	worse
pagsamba	worship
malala	worst
halaga	worth
sulit	worth it
mahalaga	worthy
lugad	wound
Wow	Wow
nagpatos	wrap
kaanggotan	wrath
pulsohan	wrist
surat	write
Magsurat digdi	Write here
pagsurat	writing
nasusurat	written
sala	wrong
nagsurat	wrote
natad	yard
naghahagab	yawn
hagab	yawn
Iyo	Yeah
taon	year
mga taon	years
lebadura	yeast
suriyaw	yell
amarillo	yellow
Iyo	Yes
iyo baby	yes baby
iyo sakong namumutan	yes dear
iyo honey	yes honey
iyo sakong namumutan	yes my love
iyo syempre	yes of course
kasuhapon	yesterday
pa man	yet
nagtao	yield
ika	you
ika	you are
magayon ka	you are beautiful
magayonon ka	you are so beautiful
pwede kang	you can
Aram mo	You know
ika man	you too
aki pa	young
saimo	your
saimong sadiri	yourself
kabataan	youth
dagos tabi	you’re welcome
masiram	yummy
sero	zero
