Jun	a
tib´aj	Oh
ax	oh really
aseyt	oil
b´anatz´un	ok
b´a´antz´un	ok dear
kutzin k'ujlab'il	ok honey
kutzen	ok my love
b´anatz´un	okay
b´ana tzun nex	okay baby
kutzen	okay dear
kutzen	okay honey
kutzen	okay my love
ojtxi	old
xjoq´	old
toj	on
ju maj	once
jun	one
qa nim yol b´an	one language is never enough
sb'oy	onion
xnakite	onion
kub'ku	online
t-junilx	only
jiq´ijil	only
jaql	open
jqle	open
jqo´n k´ab´li	open
operacion	operation
t-b´isel tib´aje lo	opinion
anb'il	opportunities
anb´il	opportunity
tmaqb´il	opposite
tbʼanel	optimistic
toj tumel	option
onbʼil lu	optional
moqa	or
lanch	orange
txolb´il	order
chi ma ik'x	ordinary
chemb'l	organization
qmal nab'il	orientation
tlok´	origin
axixju	original
Oromo	Oromo
meb´a	orphan
yaj	orphan
b´eyb´il	orphan
juntl	other
me mya lo	otherwise
jaku tzʼoknin	ought
qe	our
qeya	our
qe´y	our
aju q'xime: te q´kaq´il tun tok ojtzq´et twitz tx´otx´ex tun txi qmet toj alux yol	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
aju q'xime: tun txi q'mete toj nuk'un te tnam ex t'un ko'k te ajb'en	Our mission: to organize the world's information and make it universally accessible and useful.
ex	out
exil	out
tuʼntzunju	outcome
ijb'aj	outfit
ma tz'el	outgoing
tzexa tzala	outlet
q´amalte	outline
pen	outside
jawil	outstanding
tx'aql	outstanding
tx'aqle	outstanding
jorn	oven
wosb´il	oven
tz´i´lsb´i´l	oven
tibaj	over
chixa	over there
tzachi´n	over there
chix	over there
k´aq´il	overall
tikʼx	overcome
b'isil	overthinking
n-qo ja ka´yen ti´j	overwhelmed
tq'optz'an	overwhelming
k'as	owe
tukru	owl
weye	own
tajwil	owner
tman wakx	ox
tiky'xil xjal	pace
n-a	pack
b'otz'	package
choj	paid
chojb´il	paid
k´ixk´o´j	pain
uk´sil	paint
tk'wa'	painting
kab'	pair
smuq´in	pale
xa'j	palm
pan	pan
pandemia	pandemic
xob'jil	panic
wexj	pants
uj	paper
tbʼanel najbʼil	paradise
mujtten	parallel
nim awal	parcel
ko'pil	pardon
mamb'aj	parents
manb'aj	parents
park	park
tnuq	parrot
tnuqil	parrot
rejil	parsley
q´esin	part
yek´il	participate
ikxje	particular
particularmente	particularly
quk´e	partner
nimq´ij	party
ninq´ij	party
iky´tz	pass
iky´	pass
iky'	passage
ma tz´ik	passed
qa tun t-b´ant	passion
txqan	passionate
tuq'li	passive
tal ja	password
ma k´ej	past
xb´uqb´il	patch
b'e	path
mya wen ka´yen	pathetic
noqx samel	patience
yab´	patient
nejinil	pattern
yoma	pause
ttxa´nklab´	pavement
choj	pay
chojb´il	pay
chjol	payment
nak´i´l	peace
numb´il	peace
txub´txaj	peace
mintiʼ in che qʼojin	peaceful
trasni	peach
trasin	peach
taxan	peach
tuk´b´il	peak
twi´ittzi	peak
tz´i	peak
jaxab lob'aj	pear
chenaq'	peas
aju in bʼant kyuʼn	peculiar
tz´a´lil	pee
txk´omil	peel
tuk´il	peer
t-xb'oj	peers
tz´ib´ab´il	pen
sb'qtz'ib'b'il	pencil
na´m	pending
xjal	people
pimient	pepper
ximil	perceive
tzen n-xi q-kayen	perception
b´a´n	perfect
b´inchalte	perform
yek´el	performance
qapa	perhaps
qaj	perhaps
amb´el	period
n-kij	permanent
permis	permission
amb´il	permit
tbʼanel techel	perseverance
te jumajx	persistent
xjal	person
aq´anal	personal
xjalil	personality
kayet	perspective
b´inchel tun ky-ni´men	persuade
nach	pervert
alu'maj	pet
amb'al	phase
txunab'il	philosophy
yolb´il	phone
tilb'ilal	photo
yoxchi'	phrase
xmilal	physical
sik´olte	pick
tzakj	pick
tun t-yet	pick up
tilb´ilal	picture
taqiky´	piece
tmojchaq´	pieces
b´och	pig
xkawaste´	pigeon
xu´ch	pigeon
k´loj	pile
job´an	pile
q´axweyj	pillow
yekil	pilot
choqol	pilot
b'aq	pin
matzjti'j	pineapple
b'ech	pink
jul	pit
matz'k'	pitch
q´obaj	pity
tenb´il	place
k'ayb'il	places
kʼixbʼisabʼil	plague
twutz tx´otx´	plain
nuk´il	plan
k´xlip	plane
k´ul	plant
k´ul	plants
techil totx´	plate
saqchal	play
saqchal	playing
k´ok´j	pleasant
bichanxa Xtalbil	please
k´uw	pleased
k´okj	pleasure
tuʼn tbʼant jlu kyu	pledge
nimxix	plenty
anq'ib'il	plot
xikyb´txaqb´il	plug
chky'anan	plum
b'inchil tub'	plumber
nimsal	plural
nchi yolin	podcast
pakab´	poem
pakab´	poetry
t´ak	point
venen	poison
xq'uqil	police
kawil	policy
ponex xjal	polite
yajel tx´otx´	pollution
matij pil	pond
piscina	pool
txa'	poop
meb´a	poor
yaj	poor
laq'in	pop
jotx wutzqilte	popular
tnam	population
b´och	pork
sqal	porridge
tziplow	port
tzen tayey	position
qo b´isen b´a´n	positive
etzil	possess
etzal	possession
lak'in	possessive
iktzen	possible
chik´b´a´n	post
toj jumajtil	postpone
sq´al	potato
tipumal	potential
ka'yla'j	pound
yaj	poverty
b´eyb´il	poverty
tipumal	power
kumil	powerful
nya kwest	practical
b´inchal	practice
jun yol b´an ti´je	praise
yaq	prank
naʼn dios	pray
b´anil	precious
ikja	precise
ikyjo	precisely
q'mal	predict
qa tajb'ila	prefer
nya b´an	pregnant
ch´onwi´	pregnant
xmayil	prejudice
ja jatumel	premises
tb'anel	premium
b'inchet	preparation
b'inchalte	prepare
b´inchan	prepared
ktel	presence
jalin	present
yekbʼil	presentation
k´ulte	preserve
nejenel	president
yiq´ob´il	press
b´etz´b´il	press
tipomal	pressure
taj tun tok	pretend
tb´anil	pretty
ka´ayil ti´j	prevent
nejtil	previous
tzyu'n	prey
twi	price
nimaltib'	pride
ajb'ech	priest
txexnaq´tz	primary
winaq	prime
winaq	principal
nam taq	prior
iltij	priority
jpub´il	prison
okx qe tajwil	privacy
te tajwi	private
tbʼanel ambʼil	privilege
chojb´al	prize
kotzalalb´il	prize
kab´ale	probably
q´oj	problem
ja ma tzaje	procedure
kxel b´inchet	proceed
qe tqiky´	process
b´nchalte	produce
k´ax	product
b'ichal yekil	production
in che aqʼunan	profession
ajb´inch	professional
aju´j	professional
plaj	profile
kanb´ab´il	profit
txe'	profound
ch'iysb'il	progress
aqʼuntl	project
q´anchal	prominent
kxel q-b´inchen	promise
n-jax	promote
k'loj	promotion
junratx	prompt
nya kwest tu'n	prone
xelb´ib´aj	pronouns
txelb´ib´aj	pronouns
qʼamanxa qe yol klarxix	pronunciation
niky'b'eb'il	proof
b´a´n	proper
qe	properly
tajwil	properties
iltij	property
txi yek´et	proposal
tzalaj	prosperity
qʼinin	prosperous
k´ayil	protect
tjonk´u´	proud
yek´b´il	prove
q'olte	provide
ma tzajtq'on	provided
kojb'il	province
amli´	provision
kuʼxin	puberty
qexjal	public
te kyaqilx	public
xo´l	pull
mukin	pumpkin
toj amb'il	punctual
xnaq´tzanjtz	pupil
loq´aj	purchase
sjanen	pure
Tikb´antel	purpose
tb´el pwaq	purse
joyil	pursue
jyol	pursue
joyil	pursuit
jyol	pursuit
lamo´n	push
jpu´n	push
qolte	put
tajlal xnaq'tz	qualification
t-kayb´ajtz	quality
tqan	quantity
qokx jpet	quarantine
b'uj	quarrel
te kyaje	quarter
quechua	Quechua
ti tzun la	queer
jyonkuxa	query
xjel	question
tje	queue
q´ela	quick
q´exa	quick
ojq´ela	quick
ojqel ch´intl	quickly
ojqel	quickly
chu´chil	quiet
watb'il	quilt
leb´il	quit
nim	quite
yek´il	quiz
b'il twi'	quotation
b´il twi´	quote
b´il twi´ kax	quotes
xiky	rabbit
rinel	race
ttx'u'jil	rage
xb'al	rain
matijset	raise
ma jaw twi'	raised
ma rinin	ran
noq ja	random
jaxex	range
jalinxix	rapid
oxqelx	rapidly
alkelaya	rare
bisil	rare
mya jotx maj	rarely
aq'unal	rash
ich´	rat
t-wi´	rate
te txel	rather
tiʼ toklen	ratio
mas b'an	rational
cha'x	raw
re	re
kanol	reach
xikan	reach
se´l	reach
ma k´ub´tij	reached
tmod	reaction
aj-u´j	read
ujil	reading
ma qo b´ant	ready
twutx	real
ikja	reality
kayinxa	realize
ma ti la	realized
iktzen	really
xo´pj	rear
xo´pb´aj	rear
txolil	reason
ximil	reasonable
nalte	recall
ma tz´okx	receipt
k´amol	receive
ma tzok k´amona	received
etzqeku	recent
tzma x-b´aj	recently
ttziʼ	reception
tu´jal	recipe
q´anb´il	recipe
nti txob´el	reckless
toklen	recognition
niky'tzil	recognize
o´qxenil	recommend
oq´xenil	recommended
ni juntl o japen ti´j	record
tten juntl maj	recover
ma tz'ajtz	recovery
xqin	rectangle
xqinswej	rectangle
k'eq	red
tx'exb'il	redeem
kyanmi	redemption
much´jsal	reduce
nuchsal	reduce
axjo	redundant
tun txi q-sma´n	refer
b´ilte ti´j	reference
yekʼbʼil	reflect
ximil	reflection
yoma	refrain
cheysb´il	refrigerator
q'ol tx'el	refund
ik'il	refuse
ma tzel ik´in	refused
ti´j	regard
el q´ib´aj	regarding
extzen ikje	regardless
q´olb´el	regards
in tzaj kyqʼamaʼn uʼj	register
tzul toj tk´uja	regret
b'a'nx b'a'n ch'in	regular
kukxjo	regularly
ik´il	reject
kyqʼamaʼn	relate
tok ti´j	related
tuk´e	relationship
relativo	relative
witzel	relatives
qo lajen	relax
tzaqpil	release
tz´loja´	release
me tzel k'opin	released
iltij	relevant
q´uqb´il k´u´j	reliable
b'a'nnixix	relief
q´amalte	relieve
q'anin	relieved
okslab´l	religion
okslal	religious
jun lu´n reacio	reluctant
q´uqk´u´jil	rely
axtz'u tenkuya	remain
ch'intl	remaining
q'anchal	remarkable
ti'chaq	remedy
k´u´jlal	remember
n´al	remind
nalte	reminder
n-qo manejaren ti´j naqche	remote
yekil	remove
yukchil	remove
majil	render
majnal	render
majil	rent
saqsan	repair
kyq´amantza	repeat
kyxnik´b´entza	repeat
txel	replace
tz'aq' wel	reply
n-tza t-q´man	report
xel	represent
q-b´ijte	reputation
q'anilte	request
wajb´le	require
q'anilte	required
iltij	required
klet	rescue
qe ajxpich'il	research
chi ma ikx	resemble
q'oj	resentment
ab'tzil	reserve
te tzalu'n	resident
il tiʼj tuʼn tkyaj ttzaqpiʼn	resign
tjaw weʼ t-xima	resilience
tipumala	resilient
nik'x	resist
ntipa	resistance
tzen kxel b´inchet	resolution
t-xi kybʼinchaʼn	resolve
tb'anel ja	resort
nim at te	resources
nimb´il	respect
tzaq´wel	respond
tz'aq'wel	response
tzaq'wel	response
matoklen	responsibility
xjal b´an b´isen tun t-b´an tu´n	responsible
ojlal	rest
chab´a tz´ojlan	rest in peace
nimwab´il	restaurant
k'awil wab'j	restore
mi tun toktz	restrict
t-pak´b´al	result
tuʼntzunju	results
taltqanil	resume
jun netz´ k´ayel	retail
tzyuma	retain
wab´il	retention
wa´lb´il	retention
retiro	retreat
tten juntl maj	retrieve
meltz'il	return
q'malte	reveal
ma txi tnam	revealed
t-xel	revenge
k'anb'abil	revenue
tijxi	reverse
k´ayilte	review
k'ayilte	revise
k'ayilte	revision
chʼixpubʼil	revolution
chojb´al	reward
kotzalalb´il	reward
ajqelil mo cheb'a	rhythm
xuk´b´aj	rib
tchil	rib
xu´k´b´aj	rib
saqji'l	rice
saqtriy	rice
q´inon	rich
tzaqpil	rid
wa'b'il	ride
q-tzeb´el	ridiculous
b´an	right
jalin	right now
kuj	rigid
xmilq´ab´aj	ring
xmilq´ob´j	ring
numsil	rinse
wulil	riot
laqin	rip
q´an	ripe
jax toj kya´j	rise
nya bʼaʼn	risk
ajq´oj	rival
a´	river
b´e	road
tx'ilin	roast
ma'	robust
ab'aj	rock
tze	rod
role	role
tolu'j	roll
yek´b´itz	roof
toj ja	room
tloq'	root
txe'	root
ech	rope
q´anaq	rotten
q´aynay	rotten
xnak´	rough
ma'xpa	roughly
t´ol	round
b'e	route
axju b'inchet	routine
txol.	row
tok´tz tib´aj	rub
xqechb´il	rubber
tz´is	rubbish
kuj	rude
b´etb´il	rug
jikyb'il	rule
jikyb´il	ruler
tal kawb'il	rules
qelaj	run
rinil	run
qelan	run
qelaj	running
rinil	running
qelan	running
toj aldea	rural
ch'akajlab'il	rush
ch'u'x	sack
ch'x	sack
xjan	sacred
tun txi oyet	sacrifice
axix	safe
q'uqil tk'uj	safe flight
xq'u'q'il	safety
qawaj	sage
ma tma	said
aja'yil	sail
aja´yil	sailing
b´an	sake
twi´ k´u´j	salary
k'axjil	sale
k'a'x	sale
kix	salmon
atz´in. atz´an	salt
ajxu	same
ikx tzalan	Same here
yekb'il	sample
tz´awin q´uq´	sand
Sanskrit	Sanskrit
yolb'il	sarcastic
atrevido	sassy
ma kuqe	sat
ttzalaja	satisfaction
ma noj	satisfied
k'ok'j	satisfy
qeb´ni tk´u´j	satisfying
qaq´ij	Saturday
te ch´um	savage
k'u'lte	save
k'u'l	save
ma til	saw
chitzan	say
q´amal	say
chi	say
t-we´	scale
ma k´u alq´an	scam
tiky'len	scar
ch´in	scarce
xob'il	scared
sik´pul	scared
potzb'il q'qul	scarf
xob´el	scary
chitil	scattered
txokbʼil	scene
chʼixpubʼil	scenery
k´okj	scent
amb´el	schedule
tja xnaq'tzb'l	school
xnaq´tzb´il kyten xjal	science
ajnab'xix	scientist
sjnab´xix	scientists
ch'ers	scissors
ilil	scold
wulil	scold
tpon kanin	scope
taq'b'il	score
tz'is	scrap
skyet xkatil	scratch
sch'il	scream
tilb'ilalb'il	screen
klawo	screw
wa´b´il	script
plow	sea
tipun	seal
otx´	seal
joyb´aj	search
xkotzb'il	season
q'ajtz	seat
tkab'	second
jask'ul	secret
k'loj	section
axix	secure
xq´uq´il	security
kayil	see
qa q'ib'	see you
qa wila nej	see you later
qa wila nej	see you soon
qa wila nejchij	see you tomorrow
ijaj	seed
jyol	seek
chi ma ikx	seem
chi ma ikx	seems
ma ku k'ayin	seen
k'wal	seize
k'al	seize
junjin maj	seldom
jk'ol	select
xilen	self
a	self
kykʼujlabʼil	self healing
xk'a	selfish
k'ayilte	sell
k'ayil	sell
q´olte	send
q´ontza jun tilb´ilala	send me your picture
qman	senior
tat	senior
bab'il	sense
tzeb'il	sense
kub' tna'n	sensible
nxi q-sentiren	sensitive
ma xtx´i	sent
txolyol	sentence
n'ajl dios	sentences
pa'n	separate
pa'in maj	separate
Sepedi	Sepedi
tb´exjaw	september
q-kayb´el	series
axix	serious
twitzxix	seriously
ajb´el	serve
ajb´el	service
amb'il	session
tkub´	set
tx´uk´	setting
qeyb´etz	settle
wuq	seven
wuqlaj	seventeen
oxk´al laj	seventy
txqan	several
kuj	severe
tzol	sew
slepil	sew
lek´in	shade
tewin	shadow
qusb'il	shake
chtol	shake
ma txi ya atz	shall
b'otz txe	shallow
ch´ixb´il	shame
tx´ixwa	shame
tx´ixaw	shame
tten. txolb´al	shape
nak´ul	shape
tz'an tten	shape
oyil	share
etzat ti´yax	share
kchil	sharp
a	she
a ti te	she has
a	she is
kyja chej	shed
rit	sheep
tx´an uj	sheet
yek´b´il k´axjel	shelf
i'jb'aj	shell
pa´til	shelter
ewil	shelter
kolb´aj	shelter
txo'w	shield
tokex	shift
qopil	shine
nim tib´aja´	ship
q´ol	shipping
kamixay	shirt
xjab´	shoes
xol q'aq'	shoot
k´ayil	shop
loq'il	shopping
mlaj	shore
xtok´	short
xkut	short
chin	shortage
sqach tzaq´	shot
tu´ntle	should
semu´l	shoulder
semiil	shoulder
xch'il	shout
yek´il	show
yek´al	show
yekintza	show me
txi su´l ti´b´	shower
txo´m	shrimp
k'oli	shrink
jpulte	shut
jpul	shut
numek´uya	shut up
tx´ixb´el	shy
itzikyb´aj	sibling
Atzikyb´aj	sibling
xib´an	siblings
wanab´e	siblings
anb´aj	siblings
yab´	sick
txlaj	side
b'sil	sigh
jiq'chil	sigh
kayb'il	sight
pasialil	sightseeing
b'til	sightseeing
sqitil	sign
sqitil	signature
tilel	significant
nakb´il	silence
nakb'l	silent
xur	silent
chub'	silk
xnak´	silly
t'ab'	silver
ch'i ma ik'x	similar
xnak	simp
noq	simple
ax ikx	simultaneously
axix toj	since
axix	sincere
axix	sincerely
b'itzil	sing
b´itzil	singer
n-junale	single
tkub´il a´	sink
qman	Sir
tat	Sir
anab´	sister
b´alak	sister in law
b´aluk	sister in law
q´ek´uya	sit
q´uqli	sit
k'a'yb'il	site
tzen tayey	situation
qaq	six
qaqlaj	sixteen
oxk´al	sixty
jni twe'	size
junpaqx	skill
junpaqx	skills
chib'jil	skin
slak´	skinny
slenk	skinny
t´ikypajil	skip
t´ikypaj	skip
mutz´amaj	skirt
kya´j	sky
yajin xjal	slave
tal	sleep
wtal	sleep
ktal	sleep
tal	sleeping
wtal	sleeping
ktal	sleeping
yolok´ watle	sleepy
tq'ob	sleeve
nik'jen	slice
q´itil	slide
cheb´e taj	slightly
slik'	slim
slak'	slim
ma ja q'itj	slip
tzaqʼwet	slope
jul	slot
chab´a	slow
chab´a	slowly
mux. nuch	small
b´o´s	small
q´tik´	smart
siqil	smell
tz´e´l	smile
sich´il	smoke
chab´a	smooth
tchi'	snack
xjul	snail
xleky	snail
kan	snake
pa'l	snap
ch'ew	snow
Yajtzutz	so
tb´anil	so cute
chaq´	so far
aktzan	soak
q´eq	soap
mya k'walq'e'n	sober
xpo'tzil	soccer
ch'uqxjal	social
ja otoye	society
ma'l	socks
chab'a	soft
tu'nxtib'	soft
tajq´xjab´	soil
k´ayin	sold
siktenil	sold out
mixitl	sold out
pint	soldier
o´kx	sole
xpint	solid
ajq´oj	solid
n-xi q-b´inchen tun t-b´ant jun lu´n	solution
jyol tumel	solve
junjun	some
jun qe la	somebody
ikyjo	somehow
a tix juntl	someone
jun lu´n	something
atmaj	sometimes
wechaq	sometimes
b´itz	song
chinxtil	soon
b´an yeken tib´	sophisticated
Sorani	Sorani
n-cho´n	sore
chun	sore throat
ky´ixk´aj q´ulle	sore throat
chunaq. chumb´aj	sore throat
b'isb'il	sorrow
najsama	Sorry
nik'ul	sort
joyb´aj	sought
injyojtz´	sought
anmi	soul
xjal ikxje tzenku awe	soulmate
siqmal	sound
tx'am	sour
kuj	source
kyiw	source
kaw	source
tajatz ta´w	south
temb´il	space
jun correo mya wen	spam
tipaj	span
kyol mos	Spanish
ma qe ch´in	spare
yolil	speak
Tb´anil	special
tk'ujil	species
wiq	species
axexje	specific
ka´yb´itz	spectacular
kib´itz	spectacular
yek´b´il	spectacular
yolina	speech
mixti nyolin	speechless
ti nyolin	speechless
tzʼok tilil	speed
q´mal	spell
nojsal	spend
najsal	spend
ma ku b'aj	spent
yab´	spicy
le'ch	spike
sutil	spin
sutlal	spin
xewb'aj xjan	spirit
tzub´il	spit
tb'anel	splendid
palte	split
chajilte	spoil
nq´ayj	spoiled
talpak´	spoon
t'ak	spot
xu'jilb'aj	spouse
xu'jlal	spouse
loqj	spread
b´echq´ijil	spring
swe'j	square
kyajb'utx'	square
sikte	squeeze
cheb´e	squid
ku'k	squirrel
klab´	st
pejk'il	stab
tbʼanel	stable
tkub´il a´	stack
xjal aq'anal	staff
yek'b'il	stage
b'etel	stain
yotx	stairs
yek´il	stake
lol	stalk
tu´n	stall
te	stall
wa´l	stand
junil	standard
che´w	star
qe'l	start
ajet	start
qetsal	start
ma txi q´e	started
ma k'im tun q'aq''in	starving
nimtam	state
q´mal	statement
xkotzb'il	station
ib´ilal	statue
tzen taye	status
junx tenkuya	stay
q'uqil tk'uj	stay safe
toj tbʼanel	steady
chi'b'j k'asin	steak
alq´amaj	steal
alq´al	steal
elq´an	steal
xb´akix	steam
k'uxb'il	steel
toj tzaj	steep
itz'jil	stem
iky´tz	step
mijajech	stick
kyaqluk'k'aj	stiff
loqey	still
ch'i'o'n	sting
xk´a	stingy
smol	stir
i´tz´	stock
chwiqlal	stock
alq'amaj	stolen
elq'an	stolen
alq'a'n	stolen
tz'on	stomach
k'u'b'aj	stomach
abj	stone
tenb'il	stood
txa´	stool
wab´il	stop
tzuy	stop
k'ulte	storage
kulte	store
nimxix jb'al	storm
aju tqʼama	story
k'achb'il q'aq'	stove
txuk	straight
txulin	straight
tz´inintij	straightforward
jun cepa	strain
alkayela	strange
chin bisine	stranger
tumel	strategy
ch´um	straw
ch´in	straw
xwis	strawberry
sq'it	streak
taq'il xqoptzaj	stream
klab´	street
ajmaq	strength
sik´ten	stress
q´inil	stretch
jun xjal b´an kayen tij amb´el wen	strict
qo ku we´	strike
xpotx´in	string
xonxa	strip
jya'tz	strive
n-tza lipen	stroke
kuj	strong
kyiw	strong
kaw	strong
k'ixb'	struck
tzen kxel b´inchen	structure
q´onka tilil	struggle
jya'tz	struggling
mib´in	stubborn
maqe q´et	stuck
xnaq´tzanjtz	student
u´jil	study
u'jilil	studying
lu´n	stuff
qo ja ka´yenx ti´j	stunning
xnak	stupid
xkonk	stupid
qejil	stupid
tq'anb'ech	style
qman	subject
xjal	subject
txu	subject
q´ol	submission
chq´ol	submit
aju	substance
xelb'aj	substitute
cheb´e	subtle
t-xi tqʼoʼna tbʼanel	succeed
tel b´aj	success
ma b´ant	successful
ikje	such
s'en xju	such as
tz´ub´il	suck
inan	sudden
qaxku	suddenly
mixininj	suddenly
ma k´uch´aj	suffer
yajiltib'il	suffering
okxju	sufficient
ch´iysb´il	sugar
jun q-yol	suggest
jun nab´il yol	suggestion
xb´alamb´alil	suit
t-b´an t-b´inchet	suitable
iq´ijtz	suitcase
talqan	summary
q´ijal	summer
witz	summit
q´j	sun
Domindo	sunday
q'ij	sunny
q'ale	sunset
q'ij	sunshine
nim	super
tibʼaj	superior
nejenel	supervisor
w´al	supper
tun tok	supply
mojel	support
nchiye	suppose
kubʼ kyximen	supposed
ax	sure
tib´aj	surface
chʼiy	surge
jqol xjal	surgery
k'olil	surname
kyimen	surprised
xi tqʼoʼn tibʼ	surrender
wa'b'il	surrounding
xq´uqal	surveillance
kayel qi´j	survey
xa´wan	survive
okslal	suspect
kawil	suspended
k´uj a	suspicious
tz'yul	sustain
tzi´yal	sustainability
txokal	sustainable
chunxjab'	swag
b´ilq´ul	swallow
qo tx'ixpun	swap
jurar	swear
mujk´aj	sweat
ta'yil xmilalb'aj	sweater
tz´isol	sweep
tz´isil	sweep
misol	sweep
chi´	sweet
chi´twatla	sweet dreams
chi´ q´ajt	sweet dreams
liq´	sweet tooth
tzeq	sweet tooth
k'ujlab'il	sweetheart
nmal	swell
mal	swelling
malil	swelling
chi'l	swim
chil	swimming
tik´	swing
tx'exb'il	switch
m´al	swollen
laqte	sword
tech	symbol
cho'n k'uj	sympathy
ti nch'iyon	symptoms
nuk'ul ttxolil	system
Mex	table
tenb'il	table
laq'eb'il	tackle
tu'jal pa	tag
tje	tail
k ´wal l	take
K´al	take
q´inxa	take away
ka´yinx tib´a	take care
loch´al lochi´l	take off
ma tx'iq'in	taken
ma b'aj	taken
yolil	talk
un xjal aju noq tgan tuʼn tyolin	talkative
nimin twe'	tall
makol	tap
si'pj	tape
tkb'antel	target
taq´in	task
yak'ol	taste
k'ok'jal	taste
k'ok'j	tasty
yek´ilte	taught
te'	tea
yek´il	teach
nejenel aq´untl	teacher
b'yuj	team
ta´lwitzb´aj	tear
ta'lwutzb'aj	tears
yajil	tease
saq	technology
b´aj	teeth
chitzan	tell
q´amal	tell
chi	tell
qamantza weya	tell me
tzen kyaq	temper
ab´il	temperature
tja kjawil	temple
junjen amb´el	temporary
lajuj	ten
laj	ten
junch´uy jwe´q´o´	ten thousand
majil	tenant
yob'il	tend
saq	tendency
jun ilicitación	tender
jip	tense
nya bʼaʼn	tension
ja	tent
q'eqab'	tentative
b´ajsil	term
jun yol	terms
taq'wix	terrible
ponix	terrific
n tx'otx'	territory
ka´yel	test
yol tz'ib'in	text
ti ju	than
qol chjonte	thank
chjonte	thank you
tzaj tqona tun qo jyone tij toqxena	Thank you for your patience while we investigate shipment
chjonte te amb´il	Thank you for your patience while we investigate shipment
chjonte	thank you so much
chjonte	thank you very much
chjonte	thanks
chjonte sajon aplicaciones qeye	Thanks for using our app
qeju	that
a natzun	that is
b'a'natzun	that's good
a	the
alqan	theft
qeye	their
aqe	them
tema	theme
eyex	themselves
nej	then
chinaj	theory
machi´w	there
txix	there
a ti	there is
extzen	therefore
ajlu´	these
aye	they
aqe	they
eye	they are
pin	thick
aleq'	thief
twi´tz k´uxe	thigh
slak	thin
slik	thin
lu´n	thing
tx´aqan	things
ximil	think
toxin	third
wje á	thirsty
oxlaj	thirteen
junk´al laj	thirty
a ju lu	this
ajlu´	this is
siktenil	thorough
cheb'a	thoroughly
aj	those
ixqa	though
exlaqa	though
b´awtl	though
xim	thought
k'u'jlan	thoughtful
xim	thoughts
kab´q´o´ lajk´al	thousand
noq´	thread
x'olb'tz'al	threat
xob´ajil	threaten
oxe	three
ox	three
ja tun t-kanen	threshold
tb'anel	thrilled
tun q-q´inex	thrive
qulb´aj	throat
kyoj	through
kyxol	throughout
chitil	throw
xo'l	throw
chita	throw
tal q'ob'aj	thumb
k´inkaq	thunder
q´ankyoq	thunder
kyaq'ij	Thursday
iku k´alani´	thus
q´ol techil	tick
yupaj witzb'aj	tide
txole'	tidy
txolb'i'n	tidy
xmol	tie
jitz'il	tie
b´alan	tiger
b´alun	tiger
noqxex	tight
Tigrinya	Tigrinya
amb´il	time
chin b´otz	tiny
nab'il	tip
nab'il	tips
llanta	tire
sikten	tired
chemaj	tissue
tx'ilu'j	title
tb'i	title
Te	to
tza lo	to be
tx'il wab'j	toast
jalin	today
botz k'wal	toddler
tal tq´an	toes
junx	together
tz´alb´il	toilet
ma tzaj tman	told
nimb'il	tolerance
nimb´il	tolerate
xko´ya	tomato
xkoya	tomato
nejchij	tomorrow
aq'	tongue
aq'b'aj	tongue
ja lin te q'onik'an	tonight
sub´an	too
ikx	too
k'ab'aj	took
k'wa'n	took
k'walte	took
makb'il	tool
makb'il	tools
b'aq	tooth
steb'aj	tooth
eyb'aj	tooth
jawni	top
jawna	top
b'i'yol	topic
lich'il	torn
yajil	torture
jte	total
tzyuma	touch
kuj	tough
ma b´et	tour
jayil	toward
jayil	towards
txo'wa	towel
tnam	town
mya wen	toxic
tik'len	trace
pista	track
k'yil	trade
xk'ayil	trade
anq´ib´il	tradition
n-qb´inchen toj q-tx´otx´	traditional
txqan kar	traffic
b´e	trail
no´xk´ux	train
kotkotan k´uxb´il	train
tiqantib´	train
xnaqtzb´il	training
ikja	trait
transferir	transfer
tx´xpub´l	transition
tel qnikʼ	translate
qanchal	transparent
b'etb'il	transport
b'etb'il	transportation
k'ob'il	trap
txatz´is	trash
tz´is	trash
job'aj	trauma
b´etel	travel
laq	tray
q-tesoro	treasure
txi q-b´inchen	treat
jun lu´n n-xi b´inchet	treatment
tze´	tree
nintz´k´u´	tremendous
ik tzeʼnx in kubʼ	trend
xnik'chalte	trial
xnik'chal	trial
ma chi tb´inchan	tried
b´inchalte	trigger
jol	trim
b´etel	trip
q´oj	trouble
wex	trousers
iqatzb´il	truck
ax	TRUE
ajtz´in	trunk
q´uqb´il tk´u´j	trust
ax	truth
B´inchal	try
Tsonga	Tsonga
tub	tube
kaq´ij	Tuesday
tok letra kyiʼj	tuition
chmeq´	turkey
ptz´ul	turn
paqtzul	turn
paqet	turn
petz	turtle
ab'tzil	tutor
kab´lajuj	twelve
kab´laj	twelve
junk'al	twenty
junk´al jun	twenty-one
Twi	Twi
kab´e maj	twice
sutil	twist
sutlal	twist
kab´	two
kab´e	two
wiq	type
ik tzeʼnx in kubʼ	typical
taq´wix	ugly
b'ajsb'il	ultimate
pa´t	umbrella
mnya b'an	unable
kyan	uncle
najnab´il	unconscious
chin	under
chaba	under
tjaq´	underneath
xnak	underrated
nakeyil	understand
toj twi´	understand
niky´	understand
