एकः	a
दूरस्थ	remote
अपाकरोति	remove
प्रतिदा	render
स्कन्ध	rent
उद्धार	repair
परिहरन	repeat
प्रत्याहृ	replace
उत्तरं	reply
वृत्तान्तः	report
रूपयति	represent
प्रतिष्ठा	reputation
अनुरोधः	request
आवश्यक	require
आवश्यकः	required
रक्ष्	rescue
अनुसंधानम्	research
सदृश्य	resemble
अमर्श	resentment
आरक्षणं	reservation
परिहर	reserve
निवासी	resident
निष्क्रम्	resign
रेषित	resilience
प्रतिरोध	resist
अवरोध	resistance
प्रस्ताव	resolution
संकल्प:	resolve
संश्रय	resort
संसाधनाः	resources
आदरः	respect
परतिक्रिया	respond
प्रतिक्रिया	response
उत्तरदायित्व	responsibility
उत्तरदायकः	responsible
विश्रान्तिः	rest
उपाहारगृह	restaurant
निर्यत्	restore
परिमिमीते	restrict
परिणाम	result
परिणामाः	results
पुनर्प्रारम्भय	resume
हृ	retain
धारण	retention
अवकासप्राप्त	retired
पलाय्	retreat
निर्वतनम्	return
उदग़रित	revealed
प्रतिशोध	revenge
आय	revenue
विपरीत	reverse
परिशीलयतु	review
कार्यदर्शन	revision
परिभ्रमण	revolution
सम्मान	reward
ताल	rhythm
अभिभेरति	rib
तांडुलः	rice
धनिकः	rich
संत्यज्	rid
वहते	ride
हास्यास्पद	ridiculous
दक्षिणः	right
वर्तमाने	right now
अनम्य	rigid
वर्तुल	ring
संक्षोभ	riot
शल्क	rip
पक्क	ripe
उदयः	rise
संशय	risk
प्रतिद्वंदी	rival
नदी	river
मार्गं	road
निष्टप्	roast
परिपूर्ण	robust
चट्टानं	rock
दण्डः	rod
भूमिका	role
लुण्ठन	roll
छाद	roof
कक्ष	room
मूलं	root
रज्जु	rope
शीर्ण	rotten
रूक्षः	rough
तृष्टदंश्मन्	roughly
वृत्त	round
मार्ग	route
योजना	routine
पंक्ति	row
घट्टते	rub
निर्घर्षणकः	rubber
करीष	rubbish
दुर्विनीतः	rude
कम्बल	rug
नाश	ruin
नियम	rule
वाताट	ruler
नियमाः	rules
चलति	running
ग्रामीयः	rural
स्ंरम्भ	rush
उत्सृज्	sack
पवित्र	sacred
बलिदानं	sacrifice
सुरक्षितः	safe
सुरक्षा	safety
संत	sage
उक्तवान्‌	said
नौका	sail
जलयात्रा	sailing
सर्पः	sake
वेतनं	salary
विक्रय	sale
वृहद्मीना	salmon
लवणं	salt
समान	same
प्रतिदर्श	sample
वालुका	sand
संस्कृत	Sanskrit
अवक्षेपक	sarcastic
चेष्टालु	sassy
उपविष्टवन्तः	sat
संतुष्टि	satisfaction
संतुष्ट	satisfied
संतोषजनक	satisfying
शनिवारं	Saturday
गोमांसांश:	sausage
हिंस्रः	savage
रक्ष्	save
अपश्यत्‌	saw
कथय	say
मापन	scale
कपटप्रबन्धः	scam
क्षतचिह्न	scar
दुर्लभ	scarce
भयसन्त्रस्तः	scared
उत्तरीय	scarf
भयंकरं	scary
कीर्ण	scattered
दृश्य	scene
दृश्य	scenery
गंध	scent
कार्यक्रमः	schedule
विद्यालयः	school
विज्ञानम्‌	science
वैज्ञानिकाः	scientist
वैज्ञानिकाः	scientists
साम्यवादिपक्षाः	scissors
निन्द्	scold
लब्द्धावसर	scope
अंक	score
तुच्छद्रव्य	scrap
व्रण	scratch
चटु	scream
पट	screen
भ्रामि	screw
प्रलेखन	script
समुद्रः	sea
मुद्राङ्कनम्‌	seal
अन्वेषण	search
ऋतु	season
आसन	seat
क्षण	second
रहस्य	secret
खंड	section
उरुष्य	secure
सुरक्षा	security
पश्यतु	see
बीज	seed
अन्विष्यति	seek
भाति	seem
भाति	seems
दृष्ट	seen
समादा	seize
ग्राह	seizure
दुर्लभः	seldom
विचि	select
स्वयं	self
स्वयोेपचारं	self healing
स्वार्थी	selfish
विक्रयिन्	sell
प्रेषयतु	send
ज्येष्ठ	senior
धारणा	sense
युक्त	sensible
संवेदनशील	sensitive
प्रेषित	sent
वाक्य	sentence
वाक्यानि	sentences
पृथक्	separate
सेपेडी	Sepedi
श्रेणी	sequence
श्रेणी	series
गम्भीरः	serious
गंभीरतया	seriously
सेवते	serve
सेवा	service
सत्र	session
दृढः	set
निर्याण	setting
समीकरोति	settle
स्थापयति	set up
सप्तं	seven
सप्तदश	seventeen
सप्तति	seventy
इतरेतर	several
अति	severe
सिव्	sew
श	sh
छाया	shade
छाया	shadow
घट्ट्	shake
भविष्यति	shall
गाध	shallow
लज्जा	shame
आकारः	shape
संविभागः	share
तीव्र	sharp
सा	she
मुञ्चते	shed
मेष	sheep
आस्तरण	sheet
सन्धाय	shelf
कोष्ठ	shell
आश्रयः	shelter
कवच	shield
विहरति	shift
दर्प	shine
नौका	ship
प्रेषण	shipping
युतक	shirt
पादत्र	shoes
औशिरिका	shoot
आपण	shop
विपणि	shopping
तट	shore
वामनः	short
लघुत्ता	shortage
प्रचुदित	shot
स्यात्‌	should
स्कन्ध	shoulder
आक्रोश	shout
दर्शयतु	show
धारा	shower
गनालिन	shrimp
प्रविशते	shrink
संवृ	shut
संरुणद्धि	shut up
लज्जालु	shy
सहोदर	sibling
जामयाः	siblings
रुग्णः	sick
पृष्ठभाग	side
दृश्य	sight
चिह्नम्‌	sign
हस्ताक्षर	signature
महत्वपूर्णः	significant
शांति	silence
शांत	silent
कौशेय	silk
दुर्बुधः	silly
रजत	silver
संरूप	similar
सरलः	simp
सरलं	simple
तन्त्रेन	simultaneously
यतः	since
निशथ	sincere
गंभीरतापूर्वक	sincerely
गायति	sing
गायकः	singer
एकैकः	single
जलनिर्गमः	sink
महोदयः	Sir
भगिनी	sister
ननान्दा	sister in law
क्षेत्र	site
परिस्थितिः	situation
षष्टं	six
षोडशन्	sixteen
षष्टि	sixty
आकृति	size
कौशलं	skill
कौशलानि	skills
चर्म	skin
चर्मन्	skinny
क्षिपते	skip
नीवी	skirt
गगनः	sky
दासः	slave
शयन	sleeping
सुप्त	sleepy
बाहुवस्त्र	sleeve
अंश	slice
च्यु	slide
स्तोकम्‌	slightly
श्लक्ष्ण	slim
स्खलनं	slip
प्रवत्	slope
चिह्नं	slot
मन्द	slow
मन्दम्	slowly
लघु	small
पटु	smart
गंध	smell
स्मितः	smile
धुंधं	smoke
मसृणः	smooth
परिका	snack
शम्बूक	snail
सर्प	snake
स्नापक	snap
तुषार	snow
अतः	so
सिच्	soak
फेनक	soap
अक्षीब	sober
फुटबॉलं	soccer
सामाजिक	social
समाज	society
पादकोश	socks
इति	so far
मृदु	soft
तन्त्रांश	software
मृदा	soil
विक्रीत	sold
भट	soldier
आत्मा	sole
ठोस	solid
समाधानं	solution
उत्तरयति	solve
केचन	some
कश्चन	somebody
कतप्यं	somehow
कश्चित्	someone
किञ्चित्‌	something
कदाचित्‌	sometimes
गीतं	song
शीघ्रम्‌	soon
परिष्कृतः	sophisticated
सोरानी	Sorani
क्रण	sore
दुःखं	sorrow
क्षम्यताम्‌	Sorry
प्रकारं	sort
अन्विष्ट	sought
आत्मा	soul
आत्मन्-मित्र	soulmate
ध्वनि	sound
आसवं	soup
अम्ल	sour
स्रोतः	source
दक्षिण	south
स्थानं	space
अनिष्ट	spam
अवधि	span
अतिरिक्त	spare
वदतिब्रू	speak
विशेषः	special
विजाति	species
विशिष्टः	specific
दर्शनीय	spectacular
भाषणम्‌	speech
मूकः	speechless
गति	speed
मन्त्र	spell
व्ययीकरोतु	spend
व्ययतित	spent
अवलेह	spicy
भृष्टि	spike
घूर्णन	spin
पालकं	spinach
आत्मा	spirit
वम्	spit
शोभन	splendid
भंज	split
ग्रह	spoil
भ्रष्ट	spoiled
तात्क्षणिक	spontaneous
चमस	spoon
स्थान	spot
पत्नी	spouse
विस्तीर्णम्‌	spread
वसन्तः	spring
चतुरश्रः	square
चाप	squeeze
स्क्विड	squid
चिक्रोड	squirrel
स्ट	st
भिन्न	stab
स्थावर	stable
स्त्राव	stack
कर्मकरगणः	staff
मञ्च	stage
कलङ्क	stain
चरणाः	stairs
पण	stake
पादपद्धति	stalk
शाला	stall
मुद्रा	stamp
उत्तिष्ठते	stand
स्तरीय	standard
नक्षत्र	star
प्रारंभः	start
आरंभित	started
छिन्नभक्त	starving
राज्यम्‌	state
वक्तव्यम्‌	statement
स्थानः	station
प्रतिमा	statue
स्थितिः	status
तिष्ठतु	stay
अचल	steady
स्तेय	steak
चोरयति	steal
अन्विष्ट	steam
अय	steel
प्रवण	steep
स्तम्भ	stem
चरण	step
दण्डः	stick
परूष	stiff
इदानीमपि	still
दंश	sting
कृपण	stingy
अभिप्रकम्पयति	stir
संग्रह	stock
ऊढ	stolen
उदर	stomach
प्रस्तरं	stone
स्थित्वा	stood
आसन्दिका	stool
विरमतु	stop
संग्रहण	storage
संग्रहः	store
चण्डवात	storm
कथा	story
चुल्लिका	stove
समरेखः	straight
सरलः	straightforward
आयसः	strain
अपरिचितः	strange
वैदेशिक	stranger
रणनीति	strategy
तृण	straw
तृणबदर	strawberry
राजि	streak
धारा	stream
मार्गं	street
बलः	strength
आयास	stress
विस्तार	stretch
कठोर	strict
ताड़्यति	strike
सूत्र	string
यस्	strive
प्रहार	stroke
समर्थः	strong
अभिप्रहत	struck
संरचना	structure
संघर्षः	struggle
संघर्षरत	struggling
स्तब्धः	stubborn
परिलग्नः	stuck
विद्यार्थी	student
अध्ययनम्‌	study
अध्ययन	studying
द्रव्यम्‌	stuff
जड	stunning
मूढ़	stupid
शैली	style
विषयः	subject
विधेयता	submission
उपस्थापयतु	submit
सार	substance
पर्याय	substitute
अतिसूक्ष्म	subtle
सफल	succeed
सफलता	success
सफल	successful
एतादृशः	such
समान	such as
चूष्	suck
आकस्मिक	sudden
सहसा	suddenly
दुःख	suffer
उत्पीड़न	suffering
पर्याप्त	sufficient
मधुरं	sugar
निर्दिशतु	suggest
परामर्श	suggestion
उपवासनम्‌	suit
उचितः	suitable
यानपेटिका	suitcase
योग	sum
संक्षेपः	summary
ग्रीष्म	summer
सम्मेलन	summit
सूर्य	sun
रविवारं	sunday
आतपीय	sunny
सूर्यास्त	sunset
निशथ	sunshine
महा	super
श्रेष्ठतर	superior
पर्यवेक्षक	supervisor
नक्तभोजन	supper
आपूर्ति	supply
समर्थनम्‌	support
यदि	suppose
विचारित	supposed
निश्चयेन	sure
तलं	surface
उद्गम	surge
शल्य-चिकित्सा	surgery
उपनाम	surname
आश्चर्य	surprise
अचंभित	surprised
आत्मसमर्पण	surrender
मण्डलिन्	surrounding
सर्वेक्षण	surveillance
सर्वेक्षणम्‌	survey
परितिष्ठनति	survive
संदिग्ध	suspect
निलंबित	suspended
संदेहास्पद	suspicious
सतत	sustain
सततता	sustainability
संवहनीयत्वम्	sustainable
लुट्	swag
निगिरति	swallow
व्यतिहरते	swap
शपथ	swear
स्वज	sweat
स्वेदक	sweater
मर्जन	sweep
मधुरम्‌	sweet
मधुर-निद्रा:	sweet dreams
हृदयप्रिय	sweetheart
आनंदमयी	sweet tooth
विश्वि	swell
शोथ	swelling
तरति	swim
तरण	swimming
दोला	swing
नुदति	switch
स्थूलीभूत	swollen
खङ्ग	sword
चिह्न	symbol
सहानुभूति	sympathy
लक्षणाः	symptoms
व्यवस्था	system
पीठिका	table
गृह्णाति	tackle
सूचकपत्त्र	tag
पुच्छ	tail
गृह्णातु	take
हृ	take away
अभिरक्षय	take care
आत्त	taken
परिनयति	take off
प्रलपतु	talk
समुख	talkative
उन्नतः	tall
नाल	tap
पट्ट	tape
लक्ष्य	target
कार्य	task
रुचि	taste
स्वादिष्ट	tasty
पाठितवान्‌	taught
चाय	tea
अध्यापनम्	teach
अध्यापकः	teacher
दल	team
अश्रू	tear
अश्रु	tears
रुशति	tease
तन्त्रज्ञान	technology
दंत	teeth
कथय	tell
दमाय्	temper
तापमान	temperature
मंदिर:	temple
स्वल्पकालं	temporary
दशम	ten
भाटक	tenant
अरुक्षण	tend
प्रवृत्ति	tendency
सुकुमार	tender
लकार	tense
तनावं	tension
पटमण्डप	tent
अनुमानित	tentative
दशत्सहस्र	ten thousand
पद	term
उपधा	terms
भयङ्करी	terrible
भयानक	terrific
प्रक्षेत्र	territory
परीक्षा	test
पाठ	text
अपेक्षया	than
धन्यवादः	thank
धन्यवादा	thanks
धन्यवाद	thank you
नैकधन्यवादाः	thank you very much
तत्‌	that
अर्थात्	that is
ततोत्तमं	that's good
हरण	theft
तेषाम्‌	their
ते	them
विषयवस्तु	theme
तस्मान्	themselves
तदा	then
सिद्धांत	theory
तत्र	there
अतएव	therefore
एतानि	these
ते	they
स्थूलः	thick
चोर	thief
जंघा	thigh
कृशः	thin
वस्तु	thing
द्रव्य	things
चिन्तयतु	think
तृतीयं	third
पिपासु	thirsty
त्रयोदश	thirteen
त्रिंशत्	thirty
अयम्‌	this
इदमस्ति	this is
पूर्ण	thorough
पूर्णतया	thoroughly
तानि	those
यद्यपि	though
विचिन्ता	thought
विचारशील	thoughtful
विचारानि	thoughts
सहस्रं	thousand
सूत्र	thread
तर्जन	threat
त्रयोदश	threaten
त्रयः	three
देहली	threshold
रोमांचित	thrilled
यत्न	thrive
कण्ठ	throat
समया	through
परमसर्वत्र	throughout
अङ्गुष्ठ	thumb
गर्जन	thunder
बृहस्पतिवारः	Thursday
इत्थम्‌	thus
खणखणाय	tick
ज्वार	tide
व्यवस्थित	tidy
बन्ध	tie
व्याघ्रः	tiger
सुश्लिष्टः	tight
तिग्रिन्या	Tigrinya
कालः	time
कातर	timid
तुच्छ	tiny
अग्र	tip
संकेता:	tips
प्रधि	tire
क्लान्तः	tired
उत्तक	tissue
शीर्षक	title
इत्यस्मै	to
टोस्ट	toast
भवेयुः	to be
अद्य	today
शिशु	toddler
प्रपद	toes
सम्भूय	together
प्रसाधन	toilet
कथित	told
सहनशीलता	tolerance
सहन	tolerate
रक्तफल	tomato
श्वः	tomorrow
जिह्वा	tongue
अद्यरात्री	tonight
अपि	too
परीगृहीत	took
उपकरण	tool
उपकरणाः	tools
दंत	tooth
उपरितन	top
विषय	topic
छिन्न	torn
पीडन	torture
कुल	total
स्पर्श	touch
कठिनम्‌	tough
यात्रा	tour
विमुख	toward
अभिमुखम्‌	towards
प्रोञ्छ	towel
नगरं	town
वैषिकः	toxic
चिह्न	trace
मार्ग	track
व्यापार	trade
परंपरा	tradition
पारंपरिक	traditional
सम्मर्द	traffic
पादपद्धति	trail
रेलयानम्‌	train
प्रशिक्षण	training
लक्षण	trait
लक्षणाः	traits
स्थानांतरण	transfer
परिस्थान	transition
अनुवदति	translate
पारदर्शी	transparent
परिवहन	transport
परिवहन	transportation
जाल	trap
तुच्छद्रव्य	trash
अभिघात	trauma
यात्रा	travel
पात्र	tray
निधि	treasure
समुपचरतु	treat
उपचार	treatment
वृक्षः	tree
प्रचंड	tremendous
त्रैंश	trend
परीक्षणं	trial
युक्ति	trick
उड्डी	tried
प्रवर्त्यम्	trigger
विटङ्क	trim
प्रवासः	trip
समस्या	trouble
प्रणाल	trousers
भारवाहन	truck
सत्यम्‌	true
शुण्डा	trunk
न्यासः	trust
सत्यं	truth
प्रयततु	try
सॉन्गा	Tsonga
नलिका	tube
मङ्गलवारः	Tuesday
अध्यापन	tuition
तुर्की	turkey
हरिद्रा	turmeric
वर्तनम्‌	turn
कच्छप	turtle
प्रशिक्षकः	tutor
द्विदशकं	twelve
विंशति	twenty
एकोविंशति	twenty-one
ट्वी	Twi
द्विबारं	twice
सृज्	twist
द्वि	two
प्रकारः	type
प्रारूपिक	typical
कुरूपः	ugly
अंतिम	ultimate
छात्र	umbrella
अक्षम	unable
पितृव्यः	uncle
निःसंज्ञ	unconscious
अधः	under
नीचैस्	underneath
उपहतक	underrated
अवबोधनम्‌	understand
विदित	understood
दौर्भाग्यवशात्‌	unfortunately
समवस्त्र	uniform
अद्वितीयः	unique
इंकाईं	unit
विश्वविद्यालयं	university
अज्ञात	unknown
यावत्‌	until
अनित्य	unusual
उपरि	up
अद्यतन	update
संवृध्	upgrade
उपरि	upon
उद्विग्नः	upset
नगरीय	urban
प्रेष	urge
अत्यावश्यकं	urgent
वयम्‌	us
उपयुञ्जताम्‌	use
प्रयुक्त	used
उपयुक्त	useful
अनुपयोगी	useless
यथावत्	usual
सामान्यतः	usually
उपयोगिता	utility
अवकाशः	vacation
रोगप्रतिबन्ध	vaccination
निवारक	vaccine
निर्वात	vacuum
अस्पष्ट	vague
मान्य	valid
घाटी	valley
मूल्यवान	valuable
मूल्यम्‌	value
विविधता	variety
विविधाः	various
विक्लृप्	vary
भृङ्गार	vase
विस्तृतः	vast
तरकारी	vegetable
शाक	vegetables
वाहनं	vehicle
व	vendor
विषं	venom
अभ्युत्सह्	venture
स्थान	venue
सत्यापन	verify
नागर	versatile
संस्करण	version
ऊर्ध्वाधर	vertical
अतीव	very
पात्र	vessel
माध्यमे	via
अनुभूति	vibe
किरणस्फुरणः	vibes
विषात्मक	vicious
पीड़ित	victim
विडिओ	video
दृश्यं	view
ग्राम	village
शत्रु	villain
अम्ल-पेय	vinegar
प्रक्काल	vintage
अपद्रव	violence
उग्र	violent
संक्रामक	viral
विरिष्ट	virgin
आभास	virtual
गुण	virtue
दृष्टि	vision
उपयाति	visit
दृश्य	visual
आवश्यक	vital
जीवंत	vivid
शब्दकोश	vocabulary
ध्वनि	voice
रिक्त	void
मात्रा	volume
स्वयंसेवी	volunteer
वमन	vomit
वेधनीयः	vulnerable
भृति	wage
भृति	wages
कटी	waist
प्रतीक्षतु	wait
वितारक	waiter
उपास्ते	waiting
उत्थापयति	wake
उत्थापयति	wake up
अटतु	walk
चलन	walking
भित्ति	wall
लघुपुट	wallet
विचलन	wander
इच्छामि	wanna
इच्छा	want
वांछित	wanted
जंग	war
मृदुवस्तु	wardrobe
दत्तांशसङ्ग्रहालय	warehouse
उष्णम्‌	warm
सचेत	warn
चेतवानी	warning
योद्धा	warrior
आसीत्‌	was
प्रधाव्	wash
अवक्षयः	waste
घटी	watch
जलम्‌	water
कालिङ्ग	watermelon
तरंगं	wave
वीथी	way
वयम्‌	we
सप्ताहः	weak
निर्बलता	weakness
श्री	wealth
धनी	wealthy
धारयतु	wear
वयमोस्मि	we are
धारण	wearing
वातावरणम्‌	weather
विवाह	wedding
बुधवारः	Wednesday
तृण	weed
सप्ताहः	week
सप्ताहांत	weekend
भारः	weight
विलक्षणः	weird
स्वागतम्‌	welcome
कल्याणं	welfare
कूपः	Well
अगच्छत्‌	went
आसन्‌	were
पश्चिम	west
आर्द्रम्‌	wet
तिमिङ्गिल	whale
किम्‌	what
यत्किमपि	whatever
किमाभवत्‌	what happened
किमस्ति	what is
गोधूम	wheat
चक्र	wheel
कदा	when
कदापि	whenever
कुत्र	where
यदर्थे	whereas
कतरः	whether
किम्‌	which
यावद्‌	while
घूर्घायेत्	whisper
शीश्कार	whistle
श्वेतः	white
कः	who
सम्पूर्णः	whole
कस्मै	whom
कस्य	whose
किमर्थम्‌	why
दुष्ट	wicked
विस्तृतः	wide
विधवा \	widow
विस्तार	width
भार्या	wife
अग्राम्यः	wild
भविष्यति	will
इच्छुकः	willing
जय	win
वायुः	wind
कोष्ठ	window
वातमय	windy
मदिरा	wine
शीतकाल	winter
मार्जयति	wipe
तन्तुः	wire
प्रज्ञा	wisdom
पण्डितः	wise
इच्छा	wish
कृत्यका	witch
सह	with
निर्ह्वयति	withdraw
निर्ह्वे	withdrawal
अन्तरा	within
विना	without
साक्षी	witness
चपल	witty
लोमशा	wolf
महिला	woman
नार्यः	women
विजित	won
विस्मयः	wonder
अद्भुतः	wonderful
असंभव	won't
काष्ठ	wood
ऊर्णा	wool
शब्दः	word
शब्दाः	words
कार्यम्‌	work
करोति	working
व्यायाम	work out
विश्वम्‌	world
कीट	worm
वेष्टि	worn
चिंतित	worried
चिंता	worry
दूषितः	worse
पूज़्	worship
मूल्यम्‌	worth
सुयोग्यं	worth it
योग्य	worthy
चेत्‌	would
क्षत	wound
अहो	Wow
उपवे	wrap
रोष	wrath
मणिबन्ध	wrist
लिखतु	write
लेखन	writing
लिखित	written
दोषपूर्णः	wrong
लिखित्वा	wrote
अङ्गण	yard
जृम्भ्	yawn
आम्‌	Yeah
वर्ष	year
वर्षाः	years
प्रकिण्व	yeast
चीत्कार	yell
पीतं	yellow
आम्‌	Yes
निश्चितेव	yes of course
ह्यः	yesterday
तथापि	yet
लब्धिः	yield
त्वम्‌	you
युवा	young
भवतः	your
स्वयमेव	yourself
युवा	youth
त्वमोपि	you too
स्वादिष्ट	yummy
शून्य	zero
बहुकालम् अनादृश्यं	long time no see
गूगल अनुवादं	Google Translate
सा अपत्यति	she has
मूर्खतया अपरिचितभासां वदन	My hovercraft is full of eels
त्वं अपि	and you
प्रिय अभिभावकगणाः	Dear Parents
अहम्‌ अवगच्छामि	I understand
त्वं असि	are you
त्वं असि	you are
सः अस्ति	he is
अयं अस्ति	it's
सा अस्ति	she is
तत्र अस्ति	there is
किदं अस्ति	where is
को अस्ति	who is
अयं अस्तु	it's ok
अहं अस्मि	I’m
त्वद्विरहविह्वलः अस्मि	I miss you
अत्र आगच्छतु	come here
शीघ्रेण आगच्छसि	coming soon
मम आनंदं	my pleasure
मम आशा तत्	I hope so
अहम्‌ आसम्‌	I was
मम आसीत्	I had
एं आसीत्	it was
मया आह्वे	call me
अहं इच्छामि	I want
त्वं इति सुन्दरि	you are so beautiful
भवान्‌ इदानीं किं करोति	what are you doing now
त्वं इदानीम् कुत्र असि	where are you now
परि- ईक्ष्	sightseeing
अति उत्तम	very good
अहं उत्तमोस्मि	I'm good
अहं ऊहामि	i guess
त्वं एकलं एकलोअसि वा	are you married or single
किञ्चित्‌ एव	little
अस्माकं ऐपस्य प्रयोजनाय धन्यवादं	Thanks for using our app
अस्य कः अर्थः	what do you mean
त्वं कः असि	who are you
आवासीय कक्षं	living room
व्रणित कंठ	sore throat
त्वं कथं करोसि	how do you do
भवान्‌ कथमसि	how are you
भवान्‌ कथम् असि	how are you doing
त्वं कथम् असि	how was your day
न कदाचित्	nevermind
कृच्छ्रेण कदापि	hardly ever
अहं करिष्यामि	I will
सुकरं करोति	facilitate
साकारी करोति	realize
पिधानं करोतु	close
पूर्णं करोतु	complete
दृढी करोतु	confirm
खली करोतु	crush
आलिङ्गनं करोतु	embrace
सक्रियं करोतु	enable
वर्धनं करोतु	increase
अनुमतिं करोतु	let
मापनं करोतु	measure
सज्जी करोतु	prepare
लघू करोतु	reduce
प्रकटी करोतु	reveal
धावनं करोतु	run
शयनं करोतु	sleep
क्षेपणं करोतु	throw
मा करोतुन	don't
न कश्चित्	none
वि- कस्	evolve
त्वां कामयामि	I love you
गणनां कारोतु	count
अहं कारोमि	I do
त्वां कार्यं किं	what is your job
इदं किं	what is this
अन्यत् किं	what's up
अयं किं अस्ति	who is this
भवान् किं करोति	hello how are you doing
भवान्‌ किं करोति	what are you doing
त्वं किं करोसि	what do you do
अंतिम किन्तु न्यूनतम मा	last but not least
त्वया किं वांक्षयते	what do you want
भवान्‌ कुतः अस्ति	where are you from
तवं कुत्र वससि	where do you live
भवान्‌ कुत्रास्ति	where are you
प्रातराशं कुरु	have breakfast
शिघ्रेन कुरु	hurry up
इममेव कुरु	just do it
पुनर्प्राप्त कुरु	retrieve
समीक्षा कुरू	revise
अहं कुशलं अस्मि	I am fine
शीघ्रेण कुशलं भव	get well soon
सद् कृत	well done
मया कृत्वा	I have been
ना केन	why not
प्रति- क्रम्	confess
प्रति- क्रम्	resilient
शुभ क्रिसमस	merry christmas
प्रिय क्रेता	Dear Customer
प्र- क्षल्	rinse
नि- खन्	bury
न खलु	Not now
दूरे गच्छ	go away
शय्यां गच्छ	go to bed
शांतिं गच्छे	rest in peace
प्रिय गुरु	Dear Sir
अपि च	as well as
अहं चिंतयामि	I think
भवतः छवि माम् प्रेषितु	send me your picture
उद्- छिद्	cease
अप- छिद्	chop
शुभं जन्मदिनम्‌	happy birthday
भवत् जानसि	You know
अहं जानामि	I know
अहं जानामि मा	I do not know
अहं जानामि मा	I don’t know
मा त्यज़्	never give up
नमस्ते त्वं कथं असि	hello how are you
किं त्वं करोसि	do you
इदानीम् त्वं किं करोसि	what are you doing right now
हे त्वं किदं असि	hi how are you
किं त्वं तत्र असि	are you there
किं त्वं तथेव असि?	Are you still there?
अहं त्वं पश्येयं	I want to see you
किं त्वं मया स्निहयसि	do you love me
कति त्वयि विषये	how about you
किं त्वं व्यस्तओसि	are you busy
मया त्वां अपि स्नीहयते	I love you too
मया त्वां इच्छते	I like you
अहं त्वां बहु कामयामि	I love you so much
अहं त्वां बोधगम्ये अक्षमास्मि	I don't understand you
अहं त्वां विकाङ्क्षमि	I want you
अहं त्वां विलक्षी करोमि	I miss you so much
प्रिय दलं	Dear Team
शुभ दिनं	have a nice day
शुभ दिवस	good day
शुभ दिवसं भवेत	have a good day
भूरिशः धन्यवादाः	thank you so much
आस्मान् ध्येयं: प्रकाराय प्रत्येकं, सर्वत्र विश्वं आचेतनार्थ स्वयमेव उदाहराय च।	Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.
आस्मान् ध्येयं:विश्वस्य सूचना एकंकृत्वा सार्वभौमिकरूपेण अभिगम्येतु च।	Our mission: to organize the world's information and make it universally accessible and useful.
कदापि न	never
दुर्गुण: न	not bad
किमपि न	nothing
अत्र न	not yet
दुर्गुण: न	nutmeg
अहं न अवबोधयामि	I don't understand
अहं न जानामि	I don't know
अहं न शक्नोमि	I can't
आ- नह्	bind
पथं ना	no way
मम नाम अस्ति	my name is
भवतः नाम किमस्ति	what is your name
प्रथम नाम्ना	first name
अंतिम नाम्ना	last name
तव नाम्ना किं	what's your name
भवतिः निर्भरति	up to you
त्वं निर्वाहनार्थ किं करोसि	what do you do for a living
अनिवार्य निवासी सेवा	internship
सर्वथा निष्क्रिष्टा	worst
उद्- पद्	generate
तत् पश्चात् अहं त्वां पश्यामि	see you later
अहं पश्यामि	I see
त्वां पश्यामि	see you
सुरक्षित पात	safe flight
मम पार्श्वे अस्ति	I have
क्षमा प्रयच्छ मे	excuse me
अयं प्राप्तः	got it
मम प्रिय	I like
अहो प्रिय	okay dear
हे प्रिये	hello dear
मम प्रिये	My dear
अस्तु प्रिये	okay honey
अस्तु प्रिये	ok dear
आं प्रिये	yes dear
दिवसस्य बहुधा प्रत्याय	many many happy returns of the day
मेलनेन बहु सन्तोषः	nice to meet you
द्वंद्वी भवति	hesitate
कथम्स्ति भवान्	how are you today
अद्य भवान्‌ किं करोति	how are you doing today
किं भवान् खादितवान्	have you eaten
ध्यायी भवेत	be careful
अहं भवेत	I would be
स्पेनी भाषा	Spanish
एकं भाषा कदापि पर्याप्तं मा	one language is never enough
विक्रयणं भूत्वा	sold out
द्विचक्रिकया भ्रमणं	cycling
अति मंजूषा	so cute
यथोचित मधु	ok honey
आम मधुप्रिये	yes honey
सुप्रभातं मम प्रिय	good morning my love
अहो मम प्रिय	ok my love
अस्तु मम प्रिये	okay my love
आम्‌ मम प्रिये	yes my love
क्षम्यताम्‌ मा	I'm sorry
अहं मा कारोमि	I don't
पश्य माम्	show me
अहं माम् अग्रजां स्नेहयामि	I love my big brother
अहं माम् अग्रजां स्नेहयामि	I love my big sister
अहं माम् तनुजं स्नेहयामि	I love my little brother
अहं माम् तनुजां स्नेह्ययामि	I love my little sister
अहं माम् पितरं स्नेहयामि	I love my father
अहं माम् मातरं स्नीह्यामि	I love my mother
मया मा विदते	I don’t understand
सुकरस्य माँस	pork
चिंता मास्तु	Don't worry
चिंतां मास्तु	never mind
अगस्त माह	august
दिसंबरं माह	december
फरवरी माह	february
जूनं माह	june
नवंबर: माह	november
अक्टूबर माह	october
सितंबरं माह	september
मम मित्रं	my friend
अहं यत्र अस्मि	I'm here
न यावत्‌	unless
तव रात्री किदं	how was your night
सम्- राध्	satisfy
अतिरिक्त रूपेन	additional
अत्र लिखतु	Write here
