a little	бер аҙ
okay baby	ярай бәләкәсем
okay dear	ярай ҡәҙерлем
okay honey	ярай йәнем
okay my love	ярай йөрәкәйем
old	ҡарт
old	иҫке
once	бер тапҡыр
one	бер
one language is never enough	бер тел бер выҡытта ла етмәй
onion	һуған
online	онлайн
only	генә
open	асыҡ
operation	операция
opinion	фекер
opportunities	мөмкинлектәр
opportunity	мөмкинлек
opposite	киреһенсә
optimistic	оптимист
option	вариант
optional	ихтыяри
or	йәки
orange	ҡыҙғылт һары
orange	әфлисун
order	тәртип
order	бойороҡ бирергә
ordinary	ғәҙәти
organization	ойошма
orientation	йүнәлеш алыу
origin	сығыш
original	үҙгәле
original	иң тәүге
Oromo	оромо теле
orphan	етем бала
other	икенсе
otherwise	башҡаса
ought	тейеш
our	беҙҙең
Our mission: to enable everyone, everywhere to understand the world and express themselves across languages.	Беҙҙең миссия: һәр кемгә, ҡайҙа ғына булһа ла, донъяны аңларға һәм үҙенең фекерен төрлө телдәрҙә әйтергә мөмкинлек биреү.
Our mission: to organize the world's information and make it universally accessible and useful.	Беҙҙең миссия: донъя мәғлүмәтен системалаштырыу һәм уны дөйөм ҡулланылышлы һәм файҙалы итеү.
out	тышта
outcome	һөҙөмтә
outfit	кейем-һалым
outgoing	алсаҡ
outlet	сығыш
outline	контур
outside	тышта
outstanding	данлыҡлы
oven	духовка
over	өҫтөндә
over there	тегендә
overall	дөйөм алғанда
overcome	еңеп сығырға
overthinking	күп уйлау
overwhelmed	тетрәнгән
overwhelming	өҫтөнлөк иткән
owe	бурыслы булырға
owl	өкө
own	үҙенеке
own	биләргә
owner	биләүсе
ox	үгеҙ
pace	тиҙлек
pack	төргәкләргә
package	төрөү материалы
paid	түләүле
pain	ауыртыу
paint	буярға
painting	картина
pair	пар
pale	аҡһыл
palm	ус
pan	кәстрүл
pandemic	пандемия
panic	паника
pants	ыштан
paper	гәзит
paper	ҡағыҙ
paradise	ожмах
parallel	параллель
parcel	посылка
pardon	ғәфү итергә
parents	ата-әсә
park	парк
park	торатырға
parrot	тутыйғош
parsley	петрушка
part	өлөш
participate	ҡатнашырға
particular	талымлы
particularly	атап әйткәндә
partner	партнер
party	байрам
pass	үтергә
passage	үтеү
passage	абзац
passed	үткән
passion	дәрт
passionate	дәртле
passive	пассив
passive	төшөм
password	пароль
past	үткән
patch	ямаулыҡ
path	юл
pathetic	меҫкен
patience	сабырлыҡ
patient	пациент
patient	түҙемле
pattern	өлгө
pause	пауза
pavement	тротуар
pay	түләргә
payment	түләү
peace	тыныслыҡ
peaceful	тыныс
peach	персик
peak	түбә
pear	груша
peas	борсаҡ
peculiar	үҙенсәлекле
pee	һейергә
pee	һейҙек
peel	әрсергә
peel	ҡабыҡ
peer	йәштәш
peers	ҡорҙаштер
pen	ручка
pencil	ҡәләм
pending	көтә-көтә
people	кешеләр
pepper	борос
perceive	үҙләштерергә
perception	зиһенгә алыу
perfect	идеаль
perform	башҡарырға
performance	тамаша
perhaps	ихтимал
period	нөктә
period	период
permanent	даими
permission	рөхсәт
permit	рөхсәт итергә
perseverance	ныҡышмалылыҡ
persistent	сыҙамлы
person	кеше
personal	шәхси
personality	шәхес
perspective	ҡараш
persuade	ышандырырға
pervert	аҙғын кеше
pet	йорт хайуаны
phase	фаза
phenomenon	күренеш
philosophy	философия
phone	телефон
photo	фото
phrase	фраза
physical	физик
pick	һайларға
pick up	күтәрергә
picture	рәсем
piece	киҫәк
pieces	өлөштәр
pig	сусҡа
pigeon	күгәрсен
pile	өйөм
pillow	мендәр
pilot	летчик
pin	төйрәүес
pineapple	ананас
pink	алһыу
pit	һөйәк
pit	соҡор
pitch	ыҫмала
pitch	бирергә
pity	йәлләү
place	урын
place	ҡуйырға
places	урындар
plague	чума
plain	ябай
plan	план
plane	самолет
plant	үҫемлек
plant	завод
plants	заводтар
plants	үҫемлек
plate	тәрилкә
platform	платформа
play	спектакль
play	уйнарға
playing	уйнау
pleasant	рәхәт
please	рөхсәт
please	кинәндерергә
pleased	ҡәнәғәт
pleasure	кинәнес
pledge	вәғәҙә
plenty	күмәк
plot	сюжет
plug	тығырға
plug	бөкө
plum	слива
plumber	сантехник
plural	күплек
podcast	подкаст
poem	шиғыр
poetry	шиғриәт
point	нөктә
point	мәрәй
poison	ағыу
police	полиция
policy	сәйәсәт
polite	ипле
pollution	бысраныу
pond	быуа
pool	бассейн
poop	ярау итергә
poor	ярлы
pop	поп
pop	шартларға
popular	танылған
population	халыҡ һаны
population	популяция
pork	сусҡа ите
porridge	һоло бутҡаһы
port	порт
position	позиция
position	вазифа
positive	ыңғай
possess	эйә булырға
possession	милек
possessive	эйәлек
possible	мөмкин
post	бағана
post	һалырға
postpone	кисектерергә
potato	картуф
potential	потенциаль
pound	фунт
poverty	ярлылыҡ
power	хакимлыҡ
power	көс
powerful	көслө
practical	ғәмәли
practice	практика
practice	күнегеүгә
praise	маҡтарға
prank	шаяртыу
pray	намаҙ уҡырға
precious	ҡиммәтле
precise	теүәл
precisely	дөрөҫ
predict	юрарға
prefer	өҫтөнлөк бирергә
preference	өҫтөнлөк
pregnant	йөклө ҡатын
prejudice	тиҫкәре мөнәсәбәт
premises	тәүшарттар
premium	юғары сорт
preparation	әҙерлек
prepare	әҙерләнергә
prepared	әҙер
preposition	препозиция
preposition	ярҙамсы һүҙ
presence	барлыҡ
present	хәҙерге
present	хәҙерге заман
present	бүләк
presentation	презентация
preserve	һаҡлап ҡалырға
president	президент
press	баҫырға
press	баҫыу
pressure	баҫым
pretend	юрамал ҡыланырға
pretend	дәғүә итергә
pretty	матур
pretty	байтаҡ
prevent	булдырмарға
previous	алдағы
prey	табыш
price	хаҡ
pride	ғорурлыҡ
priest	дин әһеле
primary	баш
prime	төп
princess	принцесса
principal	иң мөһим
prior	алдында
priority	беренселлек
prison	төрмә
privacy	яңғыҙлыҡ
private	шәхси
privilege	айырым хоҡуҡ
prize	приз
probably	бәлки
problem	мәсьәлә
procedure	процедура
proceed	дауам итергә
process	эшкәртергә
process	процесс
produce	етештерергә
product	продукт
production	етештереү
profession	һөнәр
professional	профессиональ
profile	профиль
profit	файҙа
profound	нигеҙле
progress	алға барырға
progress	прогресс
project	проект
prominent	күренекле
promise	вәғәҙә итергә
promise	вәғәҙә
promote	булышырға
promotion	вазифаһын күтәреү
prompt	тиҙ
prone	әүәҫ
pronouns	алмаштар
pronunciation	әйтелеше
proof	дәлил
proper	тейешле
properly	дөрөҫ
properties	үҙенсәлектәр
property	милек
property	сифат
proposal	тәҡдим
prospect	перспектива
prosperity	гөрләү
prosperous	хәлле
protect	яҡларға
proud	ғорур
prove	иҫбатларға
provide	тәьмин итергә
provided	тәҡдим ителгән
province	провинция
provision	тәьминәт
puberty	енси өлгөргәнлек
public	йәмәғәт
pull	тартырға
pumpkin	ҡабаҡ
punctual	пунктуаль
pupil	уҡыусы
purchase	һатып алған эйбер
pure	таҙа
purple	көрән күк
purpose	ниәт
purse	аҡса янсығы
pursue	артынан төшөргә
pursuit	эҙәрләү
push	этергә
put	һалырға
qualification	квалификация
quality	сифат
quantity	һан
quarantine	карантин
quarrel	бәхәсләшергә
quarrel	бәхәс
quarter	сирек
Quechua	кечуа теле
queen	королева
queer	сәйер
query	һорау
question	шикләнергә
question	һорау
queue	сиратта торорға
queue	сират
quick	тиҙ
quickly	шәп
quiet	тыныс
quilt	һырылған юрған
quit	ташларға
quite	бөтөнләй
quite	күп
quiz	викторина
quotation	цитата
quote	өҙөмтә килтерергә
quote	өҙөмтә
quotes	тырнаҡтар
rabbit	ҡуян
race	уҙыш
race	раса
rage	ярһыу
rain	ямғыр
raise	үҫтерергә
raise	күтәреү
raised	күтәрелгән
ran	йүгергән
random	осраҡлы
range	диапазон
rapid	тиҙ
rapidly	шәп
rare	һирәк
rarely	һирәк
rash	сабыртҡы
rat	ҡомаҡ
rate	тиҙлек
rate	тариф
rather	байтаҡ
ratio	мөнәсәбәт
rational	рациональ
raw	сей
re	тағы
reach	етергә
reach	һуҙырға
reached	тейелгән
reached	еткән
reaction	реакция
read	уҡырға
reading	уҡыу
ready	әҙер
real	ысын
reality	ысынбарлыҡ
realize	аңларға
realized	аңлаған
really	ысынлап та
rear	артҡы
reason	аҡыл
reason	сәбәп
reasonable	төплө
recall	иҫләргә
receipt	чек
receive	алырға
received	алған
recent	күптән түгел
recently	күптән түгел
reception	ҡабул итеү
recipe	рецепт
reckless	аҡылһыҙ
recognition	танылыу
recognize	танырға
recommend	кәңәш бирергә
recommended	кәңәш бирелгән
record	яҙырға
record	яҙымта
recover	һауығырға
recovery	тергеҙелеү
rectangle	тура дүртмөйөш
red	ҡыҙыл
redeem	түләп алырға
redemption	ҡотҡарыу
reduce	кәметергә
redundant	артыҡ
refer	һылтанырға
reference	һылтанма
reflect	көҙнәргә
reflection	сағылыш
refrain	тыйылырға
refrigerator	һыуытҡыс
refund	аҡса кире бирергә
refuse	кире ҡағырға
refused	баш тартты
regard	ихтирам
regarding	тураһында
regardless	бойондороҡһоҙ
regards	ихтирам менән
region	регион
register	теркәргә
regret	үкенергә
regular	нормаль
regular	тигеҙ
regularly	регуляр
reject	ҡабул итмәҫкә
relate	ҡағылырға
related	ҡағылышлы
relationship	бәйләнеш
relative	туған
relative	сағыштырма
relatives	ҡәрҙәштәр
relax	ял итергә
release	сығарырға
release	ебәрергә
released	ебәрелгән
relevant	тейешле
reliable	ышаныслы
relief	еңеллек
relieve	еңеләйтергә
relieved	еңеләйтелгән
religion	дин
religious	динле
reluctant	теләмәгән
rely	ышанырға
remain	ҡалырға
remaining	ҡалған
remarkable	күренекле
remedy	сара
remember	иҫтәргә
remind	иҫкә төшөрөргә
reminder	иҫкәртмә
remote	алыҫ
remove	сығарып алырға
render	яһарға
rent	ҡуртым
repair	йүнәтергә
repeat	ҡабатларға
replace	алмаштырырға
reply	яуап бирергә
reply	яуап
report	доклад яһарға
report	отчет
represent	күрһәтеү
reputation	репутация
request	һорарға
request	һорау
require	кәрәк
required	биргеҙәм
rescue	ҡотҡарырға
research	ғилми хеҙмәт
resemble	иҫкәртергә
resentment	асыу
reservation	бронләү
reserve	иплелек
reserve	резерв
resident	йәшәүсе
resign	отставкаға китергә
resilience	һығылмалылыҡ
resilient	һығылмалы
resist	ҡаршылыҡ күрһәтергә
resistance	ҡаршылыҡ
resolution	ҡарар
resolve	ҡыйыулыҡ етергә
resort	һыйыныр урын
resort	курорт
resort	ҡулланырға
resources	ресурстар
respect	хөрмәт
respect	хөрмәт итергә
respond	яуап бирергә
response	яуап
responsibility	яуаплылыҡ
responsible	яуаплы
rest	ял итергә
rest	башҡалар
rest in peace	тупрағы еңел булһын
restaurant	ресторан
restore	элекке хәленә ҡайтарырға
restrict	сикләргә
result	һөҙөмтә
results	һөҙөмтәләр
resume	яңыртырға
retail	ваҡлап һатыу
retain	тотоп торорға
retention	һаҡлап ҡалыу
retired	пенсияла
retreat	сигенергә
retrieve	сығарырға
return	кире барырға
return	кире бирергә
reveal	фаш итергә
revealed	асыҡланған
revenge	үс алыу
revenue	һатыуҙан килгән аҡса
reverse	кире
review	байҡау яһарға
review	байҡау
revise	яңынан ҡарарға
revision	ҡайтанан тикшереү
revolution	инҡилап
reward	награда
rhythm	ритм
rib	ҡабырға
rice	рис
rich	бай
rid	ҡотолорға
ride	сәфәр
ride	йөрөргә
ridiculous	аҡылға һыймаҫлыҡ
right	дөрөҫ
right	уңға
right now	шунда уҡ
rigid	ҡаты
ring	доңғолдарға
ring	балдаҡ
rinse	йыуырға
riot	бола
rip	өҙөргә
rip	өҙөк
ripe	бешкән
rise	күтәреү
rise	күтәрергә
risk	ҡурҡыныс аҫтына ҡуйырға
risk	ҡурҡыныс
rival	көнәркәш
river	йылға
road	юл
roast	ҡыҙҙырырға
robust	ныҡ
rock	таш
rock	рок
rod	сыбыҡ
role	роль
roll	ҡатлама
roll	төргәк
roof	ҡыйыҡ
room	бүлмә
root	тамыр
rope	бау
rotten	серек
rough	ҡытыршы
roughly	яҡынса
roughly	тупаҫлы
round	түңәрәк
route	маршрут
routine	рутина
row	саф
rub	ышҡырға
rubber	юйғыс
rubber	резина
rubbish	сүп сар
rude	тупаҫлыҡ
rug	балаҫ
ruin	емереп бөтөрөргә
rule	етәкселек итергә
rule	ҡағиҙә
ruler	мистар
ruler	хаким
rules	ҡағиҙәләр
run	йүгерергә
run	етәкселек итергә
running	йүгереүсе
rural	ауыл
rush	ҡабаланыу
rush	ашығырға
sack	эштән сығарырға
sack	тоҡ
sacred	изге
sacrifice	ҡорбан
safe	хәүефһеҙ
safe flight	хәйерле осоу
safety	хәүефһеҙлек
sage	тәрән аҡыллы
said	әйткән
sail	елкәнле карап менән һыуға сығырға
sailing	елкән спорты менән шөғөлләнеү
sake	өсөн
salary	эш хаҡы
sale	һатып бөтөрөү
salmon	һөмбаш
salt	тоҙ
same	шундай уҡ
Same here	Шулай уҡ
sample	үрнәк
sand	ҡом
Sanskrit	санскрит теле
sarcastic	саркастик
sassy	тәүәккәл
sat	ултырған
satisfaction	ҡәнәғәтләнеү
satisfied	ҡәнәғәт
satisfy	ҡәнәғәтләндерергә
satisfying	ҡәнәғәтләнерлек
Saturday	шәмбе
sausage	сосиска
savage	вәхши
save	ҡотҡарырға
saw	күрҙе
saw	бысҡы
say	әйтергә
scale	мизан
scam	афера
scar	яра эҙе
scarce	етер-етмәҫ
scared	ҡурҡытылҡан
scarf	шарф
scary	ҡурҡыныс
scattered	һибелгән
scene	күренеш
scene	мәүкиғ
scenery	пейзаж
scent	еҫ
schedule	теҙмә
schedule	билдәрергә
school	мәктәп
science	фән
scientist	ғалим
scientists	ғалимдар
scissors	ҡайсы
scold	әрләргә
scope	масштаб
score	иҫәп
scrap	киҫәк
scratch	бәшәк
scream	ҡысҡырырға
screen	экран
screw	шөрөп
script	сценарий
sea	диңгеҙ
seal	мисәт
seal	тюлень
search	эҙләргә
season	миҙгел
season	сезон
seat	урын
second	секунд
second	икенсе
secret	йәшерен
section	бүлек
secure	хәүефһеҙ
security	ышаныс биреү
security	һаҡ
security	хәүефһеҙлек
see	күрергә
see you	күрешербеҙ
see you later	һуңыраҡ күрешербеҙ
see you soon	тиҙҙән күрешербеҙ
see you tomorrow	иртәгә күрешербеҙ
seed	орлоҡ
seek	эҙләргә
seem	күренергә
seems	күренә
seen	күргәне
seize	тотоп алырға
seizure	алым
seizure	өйәнәк
seldom	һирәк
select	һайлап алырға
self	үҙе
self healing	үҙ сәләмәтләнеү
selfish	эгоистик
sell	һатырға
send	ебәрергә
send me your picture	миңә үҙ фотоңды ебәр әле
senior	өлкән
sense	тойғо
sensible	аҡыллы
sensitive	күренерлек
sent	ебәрелгән
sentence	һөйләм
sentence	иректән мәхрүм итеү
sentences	һөйләмдәр
separate	айырым
Sepedi	сепеди теле
september	сентябрь
sequence	эҙмә-эҙлелек
series	киҙемтә
serious	етди
seriously	етди
serve	хеҙмәт итергә
service	хеҙмәтләндереү
session	сессия
set	йыйылма
set	асыҡларға
set up	башларға
setting	параметр
settle	ҡунларға
seven	ете
seventeen	ун ете
seventy	етмеш
several	бер нисә
severe	ауыр
severe	ҡаты
sew	тегергә
sh	тс
shade	күләгә
shade	төҫмөр
shadow	күләгә
shake	һелкенергә
shall	булыр
shallow	ваҡ-төйәк
shame	хурлыҡ
shape	ҡалып
share	акция
share	бүлешергә
sharp	киҫкен
she	ул
she has	уныҡы бар
she is	ул
shed	һарай
sheep	һарыҡ
sheet	ҡағыҙ
shelf	кәштә
shell	ҡабырсаҡ
shelter	һыйыныу
shield	ҡалҡан
shift	күсеш
shift	смена
shine	яҡтырырға
ship	карап
shipping	ташыу
shirt	күлдәк
shoes	аяҡ кейеме
shoot	атырға
shoot	төшөрөргә
shop	магазин
shopping	магазиндар буйлап йөрөү
shore	яр
short	ҡыҫҡа
shortage	етмәү
shot	атырға
shot	атыу
should	тейеш
shoulder	ҡулбаш
shout	ҡысҡырырға
show	күргәҙмә
show	күрһәтергә
show me	күрһәтәле
shower	душ
shrimp	креветка
shrink	бөршәйергә
shut	ябырға
shut up	ауыҙыңды яп
shy	оялсан
sibling	ҡәрҙәш
siblings	ағайҙары һәм апайҙары
sick	ауырыу
side	яҡ
sigh	тын алыу
sight	күренес
sightseeing	иҫтәлекле урындарҙы ҡарау
sign	билдә
signature	ҡултамға
significant	мөһим
silence	тыныслыҡ
silent	шым
silk	ебәк
silly	ахмаҡ
silver	көмөш
similar	оҡшаған
simp	иҫәүән
simple	ябай
simultaneously	бер үк ваҡытта
since	бирле
sincere	ихласлыҡ
sincerely	ихлас күңелдән
sing	йырларға
singer	йырсы
single	яңғыҙ
sink	раковина
sink	батырға
Sir	Сэр
sister	һеңле
sister	апай
sister in law	ҡәйенбикә
sister in law	еңгә
sister in law	килен
sit	ултырырға
site	урын
site	сайт
situation	хәл
six	алты
sixteen	ун алты
sixty	алтмыш
size	үлсәм
skill	оҫталыҡ
skills	оҫталыҡтар
skin	тир
skinny	ябыҡ
skip	бармай ҡалырға
skirt	итәк
sky	күк йөҙө
slave	ҡоллоҡ
sleep	йоктарға
sleeping	йоклау
sleepy	йоҡоло
sleeve	еңдәр
slice	киҫәк
slice	киҫергә
slide	шыуырға
slightly	аҙ ғына
slim	ябыҡ
slip	шыуырға
slip	хата
slope	һөҙәклек
slot	ярыҡ
slow	яй
slowly	яй
small	бәләкәй
smart	зирәк
smell	еҫ
smile	йылмайыу
smile	йылмайырға
smoke	төтөн
smooth	шыма
snack	ашамлыҡ
snail	ҡусҡар
snake	йылан
snap	сиртергә
snow	ҡар
so	шул тиклем
so	шулай
so cute	шул тиклем һөйкөмлө
so far	әлегәсә
soak	еүешләргә
soap	һабын
sober	айыҡ
soccer	футбол
social	йәмәғәт
society	йәмғиәт
socks	ойоҡбаштар
soft	йомшаҡ
software	программа тәьминәте
soil	тупраҡ
sold	һатылған
sold out	һатылып бөткән
soldier	һалдат
sole	берҙән-бер
sole	табан
solid	ҡаты
solution	сиселеш
solve	хәл итергә
some	ҡайһы бер
somebody	кемдер
somehow	нисектер
someone	бер кем
something	нимәлер
sometimes	ҡайһы берҙә
song	йыр
soon	тиҙҙән
sophisticated	ҡатмарлы
Sorani	сорани теле
sore	ауырыу
sore	йәрәхәт
sore throat	ауырыу тамаҡ
sorrow	ҡайғы
Sorry	Ғәфү ит
sort	төр
sort	сорттарға айырыу
sought	эҙләгән
soul	йән
soulmate	туғанлыҡ йәне
sound	яңғырарға
sound	тауыш
soup	аш
sour	әсе
source	сығанаҡ
south	көнъяҡ
space	арауыҡ
space	йыһан
spam	спам
span	ара
Spanish	Испан
spare	һаҡларға
spare	запас
speak	һөйләшергә
special	айынсыҡ
species	төр
specific	үҙгәлекле
spectacular	тәьҫирле
speech	һүҙ
speechless	телдән ҡалған
speed	тиҙлек
spell	хәрефләп әйтергә
spell	арбау
spend	тоторға
spend	үткәрергә
spent	тотоп бөтөргән
spicy	әсе
spike	сәнскәк
spin	өйрөлөргә
spinach	шпинат
spirit	рух
spit	төкөрөү
splendid	бынамын тигән
split	айырыу
split	айырырға
spoil	боҙорға
spoiled	боҙолған
spontaneous	үҙенән-үҙе барлыҡҡа килгән
spoon	ҡалаҡ
spot	урын
spot	тап
spouse	тормош иптәше
spread	таратырға
spring	һикерергә
spring	яҙ
square	майҙан
squeeze	ҡыҫырға
squid	кальмар
squirrel	аҡһым
st	урамы
stab	сәнсергә
stable	ат һарайы
stable	тотороҡло
stack	өйөм
staff	эштәшлек
stage	осор
stage	сәхнә
stain	тап
stairs	баҫҡыс
stake	ҡаҙыҡ
stake	муйт
stalk	аңдырырға
stalk	һабаҡ
stall	кәртә
stall	оҙон-оҙаҡҡа һуҙырға
stamp	тамға
stand	стенд
stand	торорға
standard	стандартлы
star	йондоҙ
start	башларға
started	башланған
starving	аслыҡ
state	дәүләт
state	белдерергә
statement	белдереү
station	станция
statue	статуя
status	статус
stay	тормаҡ
stay	ҡалырға
stay safe	иҫән булып тор
steady	тотороҡло
steak	стейк
steal	урларға
steam	пар
steel	ҡорос
steep	текә
stem	һабаҡ
step	баҫырға
step	аҙым
stick	йәбештерергә
stick	таяҡ
stiff	ҡаты
still	томроҡ
still	элеккесә
sting	сағырға
stingy	һаран
stingy	ярлы
stir	болғарға
stock	мөгәзәй
stolen	урланған
stomach	ашҡаҙан
stone	таш
stood	торған
stool	артһыҙ ултырғыс
stop	туҡтарға
storage	һаҡлау
store	һаҡлыҡҡа һалырға
storm	дауыл
story	хикәйә
stove	мейес
straight	төҙ
straightforward	тура
strain	кирелеш
strange	ят
strange	сәйер
stranger	таныш түгел кеше
strategy	стратегия
straw	һалам
strawberry	ер еләге
streak	һыҙат
stream	ағыш
street	урам
strength	көс
stress	баҫым
stress	стресс
stretch	һуҙылырға
strict	ҡәтғи
strike	эш ташлау
strike	һуғырға
string	еп
strip	һыҙырырға
strip	буй
strive	тырышырға
stroke	инсульт
strong	көслө
struck	һуғылған
structure	структура
struggle	көрәшергә
struggle	көрәш
struggling	ҡыйынлыҡтарға юлыҡҡан
stubborn	тиҫкәре
stuck	батып ҡалған
student	уҡыусы
student	студент
study	уҡыу
study	уҡырға
studying	уҡыу
stuff	нәмәләр
stunning	һоҡланғыс
stupid	аҡылһыҙ
style	стиль
subject	фән
subject	дусар итергә
subject	подданный
submission	буйһоноу
submit	ҡарауға ҡуйырға
submit	буйһонорға
substance	матдә
substitute	алмаш
subtle	нескә
succeed	уңышҡа ирешергә
success	уңышлыҡ
successful	уңышлы
such	ундай
such as	кеүек
suck	имергә
sudden	ҡапыл
suddenly	көтмәгәндә
suffer	ғазапланырға
suffering	яфаланыу
sufficient	етерлек
sugar	шәкәр
suggest	тәҡдим итергә
suggestion	тәҡдим
suit	костюм
suit	тура килергә
suitable	килештерелгән
suitcase	сумаҙан
sum	ҡушылдыҡ
summary	һығымта
summer	йәй
summit	түбә
summit	илбаштар йыйыны
sun	ҡояш
sunday	йәкшәмбе
sunny	ҡояшлы
sunset	ҡояш быйыу
sunshine	ҡояш нуры
super	бик
superior	өҫтөнөрәк
supervisor	күҙәтсе
supper	киске аш
supply	тәьмин итергә
supply	тапшырыу
support	күтәремләргә
support	ярҙам
suppose	уйларға
supposed	күҙалланған
sure	әлбиттә
sure	инаныулы
surface	өҫтө
surge	сәпелдәү
surgery	хирургия
surgery	операция
surname	фамилия
surprise	көтөлмәгәнлек
surprised	аптыраған
surrender	бирешергә
surrounding	тирәге
surveillance	күҙәтеү
survey	белем тикшереү
survey	байҡарға
survive	иҫән ҡалырға
suspect	шикләнергә
suspect	шик
suspended	туҡтатып торолған
suspicious	ялартҡыс
sustain	бирешмәҫкә
sustainability	тотороҡлолоҡ
sustainable	тотороҡло
swag	талап йыйылған эйбер
swallow	йоторға
swallow	ҡарлуғас
swap	алмашыу
swear	ант итергә
swear	һүгек һүгергә
sweat	тирләргә
sweater	свитер
sweep	һеперергә
sweet	шәрбәт
sweet dreams	тәмле төштәр
sweet tooth	тәмлетамаҡ
sweetheart	һөйгәнем
swell	шешенергә
swelling	шешлек
swim	йөҙөргә
swimming	йөҙөү
swing	бәүетергә
swing	сайҡалырға
switch	һүндергес
switch	тоташтырырға
swollen	шешенгән
sword	ҡылыс
symbol	символ
sympathy	теләктәшлек
symptoms	симптомдары
system	система
table	йәҙүәл
table	өҫтәл
tackle	хәл итергә
tag	ярлыҡ
tail	ҡойроҡ
take	алырға
take away	алып китергә
take care	һаҡ бул
take off	сисергә
taken	алынған
talk	һөйләшергә
talk	һүҙ
talkative	телсән
tall	бейек
tap	кран
tap	баҫырға
tape	таҫма
target	маҡсат
target	төҙәргә
task	йомош
taste	тәмләп ҡарарға
taste	тәм
tasty	тәмле
taught	өйрәткән
tea	сәй
teach	өйрәтергә
teacher	уҡытыусы
team	команда
tear	йыртырға
tear	йәш
tears	күҙ йәштәр
tease	ҡорсоторға
technology	технология
teeth	тештәр
tell	әйтергә
tell me	эйтәле миңә
temper	холоҡ
temperature	температура
temple	сикә
temple	ғибәҙәтхана
temporary	ваҡытлы
ten	ун
ten thousand	ун мең
tenant	арендатор
tend	ынтылырға
tendency	үҫеш йүнәлеше
tender	наҙлы
tense	заман
tense	ныҡ тартылған
tension	көсөргәнеш
tent	палатка
tentative	алдан
term	сирек
term	шарт
term	срок
terms	шарттар
terrible	дәһшәтле
terrific	иҫ киткес
territory	территория
test	тест буйынса һынарға
test	тест
text	яҙырға
text	текст
thank	рәхмәт белдерергә
thank you	рәхмәт
Thank you for your patience while we investigate shipment	Беҙ һеҙҙең сабырлыҡҡа рәхмәтлебеҙ, һеҙ көткёнегеҙ өсөн, әлегә беҙ посылканы тикшерҙек
thank you so much	ҙур рәхмәт
thank you very much	ҙур рәхмәт
thanks	рәхмәт
Thanks for using our app	Беҙҙең приложение менән ҡулланғаны өсөн рәхмәт
that	тип
that is	йәғни
that's good	яҡшы
theft	урлау
their	уларҙың
them	уларҙы
theme	тема
themselves	үҙ-үҙеңде
then	ул ваҡытта
then	шунан
theory	тәғлимәт
there	шунда
there are	унда
there is	бында бар
therefore	шуға күрә
these	былар
they	улар
they are	улар
thick	ҡуйы
thief	ҡараҡ
thigh	мосай
thin	йоҡаҡ
thing	нәмә
things	эйберҙәр
think	уйларға
third	өсөнсө
thirsty	һыуһаған
thirteen	ун өс
thirty	утыҙ
this	ошо
this is	был
thorough	ентекле
thoroughly	ентекләп
those	шулар
though	ләкин
thought	уй
thought	уйлаәған
thoughtful	уйсан
thoughts	фекерҙәр
thousand	мең
thread	еп
threat	хәүеф
threaten	ҡурҡытырға
three	өс
threshold	тупһа
thrilled	тулҡынланған
thrive	уңышҡа өлгәшергә
throat	тамаҡ
through	аша
throughout	дауамында
throw	бәрергә
thumb	ҙур бармаҡ
thunder	күк күкрәү
Thursday	кесаҙна
thus	шулай итеп
tick	текелдәү
tick	билдә ҡуйырға
tide	һыу ҡалҡыу
tidy	таҙа
tie	бәйләргә
tie	галстук
tiger	юлбарыҫ
tight	тығыҙ
Tigrinya	тигринья теле
time	ваҡыт
time	тапҡыр
timid	эймәнсек
tiny	бәләкәй генә
tip	ос
tips	кәңәштәр
tire	покрышка
tire	йонсоторға
tired	арыған
tissue	туҡыма
title	исем
to be	булырға
toast	киптерелгән икмәк киҫәге
today	бөгөн
toddler	атлай алған бала
toes	аяҡ бармаҡтары
together	бергә
toilet	бәҙрәф
told	әйткән
tolerance	толерантлыҡ
tolerate	түҙергә
tomato	помидор
tomorrow	иртәгә
tongue	тел
tonight	бөгөн кис
too	шулай уҡ
took	алған
tool	инструмент
tools	инструменттар
tooth	теш
top	өҫтө
topic	тема
torn	өҙөлгән
torture	ғазап
total	дөйөм
touch	тейергә
tough	ҡаты
tour	тур
toward	табан
towards	ҡаршы
towel	таҫтамал
town	ҡала
toxic	ағыулы
trace	эҙ
track	андып
trade	сауҙа итергә
trade	сауҙа
tradition	йола
traditional	традицион
traffic	трафик
traffic	юл хәрәкәте
trail	эҙ
train	күнегеү үткәрергә
train	поезд
training	күнегеүҙәр
trait	характер һыҙаты
traits	шәхес һыҙаттары
transfer	күсерергә
transition	күсеү
translate	тәржемә итергә
transparent	үтә күренмәле
transport	транспорт
transportation	йөк ташыу
trap	тоҙаҡ
trash	сүп сар
trauma	йәрәхәт
travel	сәйәхәт итергә
tray	батмус
treasure	хазина
treat	тоторға
treat	һый
treatment	мөнәсәбәт
tree	ағас
tremendous	ғәйәт ҙур
trend	тенденция
trial	һынау
trial	мәхкәмә тәфтише
trick	хәйлә
tried	тырышҡан
trigger	активацияларға
trigger	триггер
trim	тигеҙләргә
trim	тәртипкә килтерергә
trip	сәфәр
trouble	бәлә
trousers	салбар
truck	йөк машина
true	хәҡиҡәт
trunk	олон
trust	ышаныс
trust	ышанырға
truth	дөрөҫлөк
